,https://roic.ai/company/IIVIP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000,87000,103000,212000,1160000,4479000,3863000,3081000,6809000,18352000,22417000,89409000,59899000
14,Depreciation and Amortization,- -,400000,600000,900000,1300000,1500000,1600000,1800000,1800000,2000000,2500000,3200000,3900000,4600000,5000000,8704000,8792000,9327000,9633000,12705000,15784000,16745000,15524000,15354000,21039000,25669000,34693000,40929000,53098000,53083000,56663000,63637000,80770000,92365000,220882000,270069000
15,EBITDA,300000,1600000,2600000,3600000,3100000,2000000,2600000,1900000,3500000,5400000,8500000,13200000,13500000,12700000,14916000,23260000,18302000,25377000,34050000,46655000,37119000,66652000,104728000,59720000,72285000,127198000,112831000,111668000,103351000,136058000,149699000,189234000,221316000,243595000,246363000,682558000
16,EBITDA ratio,0.0345,0.1633,0.2097,0.2590,0.2053,0.1333,0.1566,0.1105,0.1872,0.1942,0.2243,0.2505,0.2202,0.2055,0.2021,0.1886,0.1610,0.1979,0.2257,0.2404,0.1596,0.2532,0.3312,0.2044,0.2095,0.2530,0.2110,0.2000,0.1513,0.1834,0.1810,0.1947,0.1910,0.1788,0.1035,0.2198
17,Operating Income,200000,1200000,1900000,2400000,1700000,600000,1300000,200000,900000,3300000,5700000,9400000,9700000,8300000,10331000,18268000,11365000,17196000,24831000,34634000,38560000,48312000,61662000,46443000,51404000,101762000,78895000,50813000,38449000,79112000,89955000,118788000,122194000,128813000,-63928000,402119000
18,Operating Income ratio,0.0230,0.1224,0.1532,0.1727,0.1126,0.0400,0.0783,0.0116,0.0481,0.1187,0.1504,0.1784,0.1582,0.1343,0.1400,0.1481,0.1000,0.1341,0.1646,0.1785,0.1658,0.1836,0.1950,0.1589,0.1490,0.2024,0.1476,0.0910,0.0563,0.1066,0.1087,0.1222,0.1054,0.0945,-0.0269,0.1295
19,Total Other Income Expenses (Gains),100000,- -,100000,300000,100000,-100000,-300000,- -,800000,100000,300000,600000,-100000,-200000,-415000,-3712000,-1855000,-1146000,-414000,-684000,-17225000,1595000,28967000,-178000,-87000,- -,- -,6480000,-133000,- -,- -,- -,- -,- -,- -,-49529000
20,Income Before Tax,300000,1200000,2000000,2700000,1800000,500000,1000000,- -,1700000,3400000,6000000,10000000,9600000,8100000,9916000,14556000,9510000,16050000,24417000,33950000,21335000,49907000,90629000,46265000,51317000,101762000,78895000,57293000,38316000,79112000,89955000,118788000,122194000,128813000,-63928000,352590000
21,Income Before Tax Ratio,0.0345,0.1224,0.1613,0.1942,0.1192,0.0333,0.0602,- -,0.0909,0.1223,0.1583,0.1898,0.1566,0.1311,0.1343,0.1180,0.0836,0.1252,0.1619,0.1750,0.0918,0.1896,0.2866,0.1583,0.1487,0.2024,0.1476,0.1026,0.0561,0.1066,0.1087,0.1222,0.1054,0.0945,-0.0269,0.1135
22,Income Tax expense (Gain),100000,500000,700000,1000000,800000,100000,300000,- -,600000,900000,1600000,2900000,2800000,2600000,2476000,5065000,2246000,4430000,7080000,9107000,10541000,11941000,24936000,7407000,12582000,18744000,17620000,18766000,7325000,13137000,24469000,23514000,34192000,21296000,3101000,55038000
23,Net Income,200000,700000,1300000,1700000,1000000,400000,700000,100000,1100000,2500000,4400000,7100000,6800000,5500000,7440000,9491000,7264000,11620000,17337000,24843000,10794000,37966000,64268000,36781000,38577000,82682000,60306000,50813000,38449000,65975000,65486000,95274000,88002000,107517000,-67029000,297552000
24,Net Income ratio,0.0230,0.0714,0.1048,0.1223,0.0662,0.0267,0.0422,0.0058,0.0588,0.0899,0.1161,0.1347,0.1109,0.0890,0.1008,0.0770,0.0639,0.0906,0.1149,0.1280,0.0464,0.1443,0.2033,0.1259,0.1118,0.1644,0.1128,0.0910,0.0563,0.0889,0.0792,0.0980,0.0759,0.0789,-0.0282,0.0958
25,EPS,3.21,11.25,20.90,27.33,16.07,6.43,11.25,1.61,17.68,40.19,70.73,114.13,109.31,88.41,119.59,152.56,116.76,186.78,278.68,399.33,173.51,610.28,1033.06,591.23,620.10,1329.06,0.96,0.81,0.62,1.08,1.07,1.52,1.41,1.69,-0.79,3.51
26,EPS Diluted,3.21,11.25,20.90,27.33,16.07,6.43,11.25,1.61,17.68,40.19,70.73,114.13,109.31,88.41,119.59,152.56,116.76,186.78,278.68,399.33,173.51,610.28,1033.06,591.23,620.10,1299.79,0.94,0.80,0.60,1.05,1.04,1.48,1.35,1.63,-0.79,3.51
27,Weighted Average Shares Outstanding,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62823000,62411000,62248000,61219000,61366000,62576000,62499000,63584000,84828000,84828000
28,Weighted Average Shares Outstanding Diluted,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,62211,63612,64385000,63884000,63686000,62586000,62909000,64507000,65133000,65804000,84828000,84828000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/820318/000119312512371833/0001193125-12-371833-index.htm,- -,https://www.sec.gov/Archives/edgar/data/820318/000156459014003921/0001564590-14-003921-index.htm,- -,https://www.sec.gov/Archives/edgar/data/820318/000156459016024750/0001564590-16-024750-index.htm,https://www.sec.gov/Archives/edgar/data/820318/000156459017017901/0001564590-17-017901-index.htm,https://www.sec.gov/Archives/edgar/data/820318/000156459018022409/0001564590-18-022409-index.htm,https://www.sec.gov/Archives/edgar/data/820318/000156459019032471/0001564590-19-032471-index.htm,https://www.sec.gov/Archives/edgar/data/820318/000082031820000023/0000820318-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/820318/000082031821000017/0000820318-21-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15583000,21683000,21675000,26885000,32618000,69835000,95930000,108026000,149460000,134944000,185433000,174660000,173634000,218445000,271888000,247038000,204872000,493046000,1591892000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73767000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15583000,21683000,21675000,26885000,32618000,72835000,95930000,108026000,149460000,134944000,185433000,174660000,173634000,218445000,271888000,247038000,204872000,74260046000,1591892000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22086000,25540000,35985000,42122000,47724000,55866000,43109000,78624000,90606000,104761000,107173000,136723000,140772000,164817000,193379000,215032000,269642000,598124000,658962000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24384000,29201000,44916000,48454000,59857000,69642000,76620000,81397000,126430000,137607000,141859000,165873000,164388000,175133000,203695000,248268000,296282000,619810000,695828000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5762000,6156000,9162000,10172000,11713000,27926000,14648000,20223000,29044000,33061000,26679000,28475000,34174000,24568000,33334000,51499000,42115000,-73689011000,80712000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67815000,82580000,111738000,127633000,151912000,226269000,230307000,288270000,395540000,410373000,461144000,505731000,512968000,582963000,702296000,761837000,812911000,1788969000,3027394000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57954000,62339000,77900000,77713000,85639000,86331000,86413000,117937000,138135000,153918000,170672000,208939000,203812000,242857000,367728000,524890000,582790000,1214772000000,1242906000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23293000,24489000,26531000,26141000,56088000,64262000,80748000,123352000,196145000,195894000,233755000,250342000,270678000,319778000,1239009000,1296727000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33630000,34839000,55869000,14968000,13920000,13268000,12271000,24995000,28732000,44014000,86701000,136404000,122462000,124590000,133957000,125069000,139324000,758368000,718460000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33630000,34839000,55869000,38261000,38409000,39799000,38412000,81083000,92994000,124762000,210053000,332549000,318356000,358345000,384299000,395747000,459102000,1997377000,2015187000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9548000,15269000,15458000,10661000,11203000,11589000,11914000,11354000,11727000,69215000,76208000,73767000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3029000,3000,145000,2696000,4038000,2210000,7848000,3023000,2046000,8524000,22938000,33498000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3394000,4176000,7171000,6689000,11964000,8527000,3602000,3393000,5072000,6627000,8034000,9080000,8904000,9224000,8224000,7926000,14238000,-1213420337000,193665000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94978000,101354000,140940000,122663000,136012000,134657000,137975000,220711000,251662000,296113000,402658000,566195000,545196000,629628000,775001000,999824000,1140862000,3445745000,3485256000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162793000,183934000,252678000,250296000,287924000,360926000,368282000,508981000,647202000,706486000,863802000,1071926000,1058164000,1212591000,1477297000,1761661000,1953773000,5234714000,6512650000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6115000,8337000,10073000,9540000,14099000,16412000,9242000,21347000,25065000,29420000,23617000,45767000,45275000,53796000,65540000,89774000,104462000,268773000,294486000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6923000,7550000,3801000,7553000,55000,- -,- -,- -,3729000,- -,- -,20000000,20000000,20000000,20000000,20000000,23834000,93884000,87408000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1109000,7510000,5290000,8761000,7697000,4584000,9310000,12588000,12178000,17392000,20476000,33341000,20295000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2572000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22938000000,13926000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14577000,19909000,24010000,25370000,29595000,30113000,22821000,51838000,62173000,54308000,70817000,69298000,73881000,97446000,99412000,126693000,142267000,-22627764000,333769000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27615000,35796000,37884000,45035000,43749000,46525000,32063000,73185000,90967000,83728000,94434000,135065000,139156000,171242000,184952000,236467000,270563000,672893000,729589000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16782000,7986000,41180000,23614000,14940000,3791000,3665000,3384000,15000000,12769000,114036000,221960000,155957000,215917000,322022000,419013000,443163000,2186092000,1438632000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5579000,6177000,12349000,8119000,6087000,5210000,1910000,6195000,6641000,5883000,4095000,7440000,7105000,11103000,15345000,27241000,23913000,45551000,73962000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1296000,2108000,2399000,2937000,3708000,15274000,8268000,15357000,6515000,12720000,15129000,32418000,26865000,31991000,31000000,54629000,82925000,158674000,864297000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23657000,16271000,55928000,34670000,24735000,24275000,13843000,24936000,28156000,31372000,133260000,261818000,189927000,259011000,368367000,500883000,550001000,2390317000,2376891000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62017000,64173000,- -,- -,- -,- -,760149000,- -,- -,4875335000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23415000,- -,- -,119335000,150899000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51272000,52067000,93812000,79705000,68484000,70800000,45906000,98121000,124828000,116529000,227694000,396883000,329083000,430253000,576734000,737350000,820564000,3157911000,3106480000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,445319000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39430000,42429000,45217000,57431000,- -,- -,- -,- -,159186000,176295000,194284000,213573000,226609000,243812000,269638000,351761000,382423000,1486947000,2028273000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73071000,90267000,115110000,120321000,158287000,220325000,257106000,295683000,378365000,438671000,482878000,521327000,587302000,652788000,748062000,836064000,943581000,876552000,1136777000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,930000,1081000,631000,742000,939000,3576000,3862000,4008000,13116000,10238000,15600000,19406000,8665000,-14017000,-13778000,-3780000,-24221000,-87383000,14267000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1910000,-1910000,-2092000,-7903000,147589000,163864000,172420000,238295000,-28293000,-35247000,-56654000,-79263000,-93495000,-100245000,-103359000,-159734000,-168574000,-199313000,-218466000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111521000,131867000,158866000,170591000,219440000,290126000,322376000,410353000,522374000,589957000,636108000,675043000,729081000,782338000,900563000,1024311000,1133209000,2076803000,3406170000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162793000,183934000,252678000,250296000,287924000,360926000,368282000,508474000,647202000,706486000,863802000,1071926000,1058164000,1212591000,1477297000,1761661000,1953773000,5234714000,6512650000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,507000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162793000,183934000,252678000,250296000,287924000,360926000,368282000,508981000,647202000,706486000,863802000,1071926000,1058164000,1212591000,1477297000,1761661000,1953773000,5234714000,6512650000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/820318/000119312512371833/0001193125-12-371833-index.htm,- -,https://www.sec.gov/Archives/edgar/data/820318/000156459014003921/0001564590-14-003921-index.htm,- -,https://www.sec.gov/Archives/edgar/data/820318/000156459016024750/0001564590-16-024750-index.htm,https://www.sec.gov/Archives/edgar/data/820318/000156459017017901/0001564590-17-017901-index.htm,https://www.sec.gov/Archives/edgar/data/820318/000156459018022409/0001564590-18-022409-index.htm,https://www.sec.gov/Archives/edgar/data/820318/000156459019032471/0001564590-19-032471-index.htm,https://www.sec.gov/Archives/edgar/data/820318/000082031820000023/0000820318-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/820318/000082031821000017/0000820318-21-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,1700000,1000000,400000,700000,100000,1100000,2500000,4400000,7100000,6800000,5500000,7440000,9491000,7264000,11620000,17337000,24843000,10794000,37966000,64268000,36781000,38577000,82682000,60306000,50813000,38449000,65975000,65486000,95274000,88002000,107517000,-67029000,297552000
74,Depreciation and Amortization,- -,- -,- -,900000,1300000,1500000,1600000,1800000,1800000,2000000,2500000,3200000,3900000,4600000,5000000,8704000,8792000,9327000,9633000,12705000,15784000,16745000,15524000,15354000,21039000,25669000,34693000,40929000,53098000,53083000,56663000,63637000,80770000,92365000,220882000,270069000
75,Deferred Income Tax,- -,- -,- -,100000,100000,-100000,- -,-200000,100000,100000,-100000,-100000,-600000,300000,662000,1518000,794000,1361000,-169000,20000,-2944000,-3993000,-292000,-3851000,-951000,-2068000,577000,1962000,-4435000,-3781000,977000,-1184000,945000,-10462000,-42454000,-371000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4951000,8790000,9972000,11584000,11959000,12347000,11340000,9675000,11756000,15312000,21946000,68480000,70953000
77,Change in Working Capital,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40200000,6584000,27070000,8744000,25565000,71581000,18500000,16841000,89488000,22072000,40065000,3956000,3146000,37909000,105623000,8026000,16978000,573728000,1181729000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9355000,-23447000,-7197000,-8931000,6097000,-28486000,-10742000,-20770000,-26247000,-21044000,-50764000,-91981000,-51697000
79,Inventory,- -,- -,- -,-500000,-1000000,- -,-200000,-100000,-300000,-400000,-1300000,-2600000,-2500000,1100000,-4478000,-1745000,1700000,-3549000,-3373000,-11329000,-3082000,-5814000,-7170000,-7106000,2657000,-40403000,-8988000,5273000,12794000,-4207000,-8650000,-24992000,-38732000,-36392000,112572000,-44645000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7269000,6488000,2647000,2898000,-9549000,19813000,61000,5715000,6704000,17436000,15999000,45026000,2266000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40200000,46784000,73854000,82598000,108163000,179744000,198244000,215085000,304573000,326645000,366710000,370666000,373812000,411721000,517344000,525370000,542348000,1116076000,2297805000
82,Other Non-Cash Items,- -,- -,- -,-100000,-1800000,-300000,100000,-900000,-600000,800000,-3100000,-1800000,-3200000,-600000,-566000,-4209000,-712000,-36867000,-2986000,-46026000,8410000,-31932000,-105165000,-22822000,-11876000,-132249000,-41163000,-38121000,-7953000,-397000,-47740000,-156490000,-32041000,-49869000,-456315000,-1245579000
83,Cash Provided by Operating Activities,- -,- -,- -,2700000,600000,1500000,2400000,800000,2400000,5400000,3700000,8400000,6900000,9800000,12536000,15504000,16138000,25641000,30399000,18612000,40788000,44351000,45916000,48913000,72420000,73494000,88069000,107607000,95462000,129366000,122970000,118616000,161014000,178475000,297292000,574353000
84,CAPEX,- -,- -,- -,-3700000,-2500000,-800000,-1100000,-1900000,-1800000,-2400000,-6100000,-7400000,-20500000,-5400000,-8877000,-44425000,-8663000,-7017000,-12729000,-17656000,-15624000,-20184000,-17855000,-15557000,-13837000,-40859000,-42840000,-25273000,-29220000,-52313000,-58170000,-138517000,-153438000,-137122000,-140627000,-146337000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2172000,-2755000,-3754000,-29743000,-1678000,-4748000,-2387000,- -,-46597000,-12813000,-42663000,-124055000,-177676000,- -,-77157000,-40015000,-132559000,-87547000,-1038663000,-34394000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,-4853000,-4814000,-1180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30236000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-100000,- -,-100000,-2500000,-2000000,- -,- -,-600000,-2108000,259000,-1381000,485000,8000,-2065000,48000,-3405000,-1403000,2150000,186000,2360000,615000,4797000,79000,67000,161000,1291000,1047000,693000,-3750000,7774000
89,Cash Used for Investing Activites,- -,- -,- -,-3700000,-2500000,-800000,-1200000,-1100000,-1900000,-4900000,-8100000,-7400000,-20500000,-6000000,-10985000,-44166000,-12216000,-9287000,-16475000,-49464000,-17254000,-28337000,5591000,-15260000,-65062000,-52492000,-84888000,-144531000,-206817000,-52246000,-135166000,-177241000,-284950000,-223976000,-1179290000,-172957000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7509000,-558000,- -,-14295000,-11000000,-55000000,-68500000,-65700000,-25000000,-292000000,-135000000,-874668000,-925650000
91,Common Stock Issued,- -,- -,- -,100000,- -,- -,100000,- -,- -,300000,11100000,300000,200000,200000,681000,466000,370000,548000,1313000,1291000,1402000,3260000,3764000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,460000000
