,https://roic.ai/company/JBSS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000,- -,817000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2984000,2140000,2595000,4108000,4486000,- -,4823000,3723000,3484000,4264000,- -,55000,45000,35000,- -,- -
52,Other Current Liabilities,22100000,46900000,29300000,59200000,41500000,9400000,13600000,15000000,13200000,14900000,20800000,16100000,18122000,23654000,14025000,69270000,15994000,21106000,16938000,23467000,23221000,21358000,19768000,17511000,18553000,23238000,25965000,16299000,33080000,41511000,37722000
53,Total Current Liabilities,48000000,57500000,41400000,78800000,68200000,68200000,43800000,76000000,65000000,74400000,74700000,61400000,72300000,46600000,124152000,191100000,172700000,129300000,95100000,115600000,111914000,119700000,108800000,112200000,134105000,83259000,109873000,117193000,83906000,112168000,100204000
54,Long-Term Debt,13900000,34400000,46400000,52800000,74700000,63300000,68900000,63200000,57500000,51800000,39100000,40400000,29600000,12600000,67002000,5600000,19800000,52400000,49000000,42700000,42430000,36200000,33700000,35700000,32290000,28883000,25211000,27356000,20381000,17720000,12958000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,500000,1100000,- -,- -,- -,- -,- -,- -,- -,- -,7143000,- -,- -,- -,- -,- -,2050000,- -,827000,726000,4264000,- -,9095000,5024000,5723000,- -,- -
57,Other Non-Current Liabilities,- -,100000,- -,- -,- -,200000,1600000,2300000,2700000,2900000,2900000,3000000,3000000,6400000,- -,14100000,11800000,10700000,13100000,20100000,11687000,14800000,16073000,19174000,19998000,28071000,18412000,23278000,26739000,39331000,42799000
58,Total Non-Current Liabilities,13900000,34500000,46400000,52800000,75200000,64600000,70500000,65500000,60200000,54700000,42000000,43400000,32600000,19000000,74145000,19700000,31600000,63100000,62100000,62800000,56167000,51000000,50600000,55600000,56552000,56954000,52718000,55658000,52843000,57051000,55757000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12724000,- -,- -,- -,- -,- -,- -,- -,2990000,2103000
61,Total Liabilities,61900000,92000000,87800000,131600000,143400000,132800000,114300000,141500000,125200000,129100000,116700000,104800000,104900000,65600000,198297000,210800000,204300000,192400000,157200000,178400000,168081000,170700000,159400000,167800000,190657000,140213000,162591000,172851000,136749000,169219000,155961000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,100000,100000,100000,100000,100000,100000,100000,100000,107000,100000,100000,100000,100000,100000,108000,100000,100000,100000,112000,113000,114000,115000,115000,115000,116000
64,Retained Earnings,1900000,8000000,13700000,13700000,19500000,16500000,17000000,22100000,23900000,30700000,38300000,46000000,61000000,83600000,98108000,81400000,67800000,61900000,68200000,82600000,85437000,102600000,113400000,123100000,135664000,143573000,123190000,127320000,137712000,124058000,126336000
65,Other Comprehensive Income/Loss,-23800000,-27000000,-30800000,-36300000,-42900000,-50000000,-53700000,-60900000,-67600000,-74000000,-81000000,-88300000,-95800000,-104300000,-112727000,-117100000,-4057000,-3194000,-2700000,-3399000,-3242000,-4327000,-3164000,-3503000,-4834000,-6425000,-4404000,-3181000,-4325000,-8630000,-9025000
66,Other Total Stockholders Equity,47300000,51400000,86300000,90700000,99000000,106100000,109700000,116900000,123600000,130000000,136900000,144300000,153481000,201960000,210687000,217990000,99049000,99566000,99899000,100593000,101404000,102640000,104968000,107130000,110336000,113932000,116568000,118668000,121053000,122695000,125067000
67,Total Stockholders Equity,25400000,32400000,69200000,68100000,75600000,72600000,73100000,78200000,80000000,86800000,94300000,102100000,118781000,181360000,196175000,182390000,162892000,158372000,165499000,179894000,183707000,201013000,215304000,226827000,241278000,251193000,235468000,242922000,254555000,238238000,242494000
68,Total Liabilities And Stockholders Equity,87300000,124400000,157000000,199700000,219000000,205400000,187400000,219700000,205200000,215900000,211000000,206900000,223681000,246960000,394472000,393190000,367192000,350772000,322699000,358294000,351788000,371713000,374704000,394627000,431935000,391406000,398059000,415773000,391304000,407457000,398455000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-100000,19000,-60000,- -,-2290000,108000,28000,1000,6000,- -,-13000,-4000,-27000,- -,- -,- -,80000,- -,- -,- -
70,Total Liabilities & Equity,87300000,124400000,157000000,199700000,219000000,205400000,187400000,219700000,205200000,215800000,211000000,206800000,223700000,246900000,394472000,390900000,367300000,350800000,322700000,358300000,351788000,371700000,374700000,394600000,431935000,391406000,398059000,415853000,391304000,407457000,398455000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/880117/000088011700500005/0000880117-00-500005-index.html,https://www.sec.gov/Archives/edgar/data/880117/000088011701500010/0000880117-01-500010-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/880117/000095013706010425/c08205e10vk.htm,https://www.sec.gov/Archives/edgar/data/880117/000095013707014005/0000950137-07-014005-index.html,https://www.sec.gov/Archives/edgar/data/880117/000095013708011245/0000950137-08-011245-index.html,https://www.sec.gov/Archives/edgar/data/880117/000095012309038606/0000950123-09-038606-index.html,https://www.sec.gov/Archives/edgar/data/880117/000095012310081106/0000950123-10-081106-index.html,https://www.sec.gov/Archives/edgar/data/880117/000095012311082409/0000950123-11-082409-index.html,https://www.sec.gov/Archives/edgar/data/880117/000119312512375693/0001193125-12-375693-index.html,https://www.sec.gov/Archives/edgar/data/880117/000119312513349391/0001193125-13-349391-index.html,https://www.sec.gov/Archives/edgar/data/880117/000119312514323643/0001193125-14-323643-index.html,https://www.sec.gov/Archives/edgar/data/880117/000119312515298303/0001193125-15-298303-index.html,https://www.sec.gov/Archives/edgar/data/880117/000119312516689942/d217852d10k.htm,https://www.sec.gov/Archives/edgar/data/880117/000119312517265655/0001193125-17-265655-index.html,https://www.sec.gov/Archives/edgar/data/880117/000119312518255065/0001193125-18-255065-index.html,https://www.sec.gov/Archives/edgar/data/880117/000119312519226039/d748567d10k.htm,https://www.sec.gov/Archives/edgar/data/880117/000119312520224715/0001193125-20-224715-index.htm,https://www.sec.gov/Archives/edgar/data/880117/000119312521250438/0001193125-21-250438-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8200000,6400000,6100000,- -,5800000,-3000000,500000,5100000,1800000,6800000,7600000,7700000,15000000,22600000,14499000,-16700000,-13600000,-6000000,6900000,14400000,2835000,17100000,21800000,26300000,29305000,30395000,36125000,32500000,39466000,54110000,59741000
74,Depreciation and Amortization,2800000,3400000,4200000,6000000,7600000,8600000,4300000,8200000,7900000,8171000,8446000,8563000,11248000,11190000,10501000,10000000,13584000,15742000,15922000,15825000,16968000,17117000,16717000,16278000,16284000,16585000,15559000,15430000,17045000,17934000,18308000
75,Deferred Income Tax,-600000,- -,-100000,-200000,600000,400000,900000,800000,400000,-237000,226000,-123000,-378000,3359000,336000,-2500000,-750000,-466000,-474000,557000,-3021000,-809000,-947000,567000,-2384000,-170000,-1744000,3664000,-298000,104000,840000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273000,491000,730000,820000,905000,1105000,1952000,2489000,2504000,2796000,2644000,2472000,2908000
77,Change in Working Capital,-5700000,15900000,28700000,-19800000,21800000,-17200000,8900000,3000000,600000,6700000,-5100000,12300000,7800000,47600000,14964000,-115064000,-7300000,27500000,9800000,-3500000,16137000,21763000,27900000,22200000,13005000,8709000,-15410000,-12815000,10745000,-14731000,-1740000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-336000,-2169000,767000,-10836000,358000,-6231000,-19862000,-2436000,13243000,1751000,4447000,4015000,-9391000
79,Inventory,-2300000,-17200000,-13100000,-14300000,-7300000,19300000,14100000,-36500000,10500000,-16727000,7193000,-918000,-12531000,-15443000,-90165000,53234000,30231000,7127000,20743000,2574000,-14575000,-17446000,-12322000,-24124000,-15167000,41424000,-25847000,9759000,17338000,-15044000,24070000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1876000,3988000,-1365000,4784000,10527000,616000,307000,-1126000,6384000,8876000,-16958000,-6721000,11442000
81,Other Working Capital,11600000,27500000,56200000,36400000,58200000,41000000,49900000,52900000,53500000,60200000,55100000,67400000,75200000,122800000,137764000,22700000,15400000,42900000,52700000,49200000,65337000,87100000,115000000,137200000,150205000,158914000,143504000,130689000,141434000,126703000,124963000
82,Other Non-Cash Items,- -,-33000000,-41700000,11000000,-21800000,31700000,-7200000,-37000000,9500000,-18862000,7351000,-4074000,-26267000,-64524000,-97653000,165215000,30540000,-7159000,10993000,14284000,-26413000,-40086000,-30622000,-54500000,-44229000,31240000,15634000,24579000,13857000,3724000,24640000
83,Cash Provided by Operating Activities,4700000,-7300000,-2800000,-3000000,14000000,20500000,7400000,-19900000,20200000,2572000,18523000,24366000,7403000,20225000,-57353000,40951000,22474000,29617000,43414000,42057000,7236000,15905000,35753000,11950000,13933000,89248000,52668000,66154000,83459000,63613000,104697000
84,CAPEX,-2800000,-5400000,-19100000,-30900000,-13500000,-9200000,-1900000,-4200000,-4000000,- -,-8382000,-4559000,-7926000,-11149000,-63768000,-10244000,-36360000,-11569000,-5912000,-8616000,-5195000,-7531000,-7207000,-9928000,-14392000,-15018000,-10885000,-13229000,-15075000,-15022000,-25176000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3914000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32772000,-115000,- -,- -,- -,- -,- -,- -,-21727000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-7700000,-1700000,-300000,-3000000,-1100000,200000,-1000000,200000,1298000,-108000,51000,29000,1000,135000,-34787000,17578000,-93000,-108000,13000,133000,345000,828000,7872000,111000,93000,342000,-12000,461000,973000,2226000
89,Cash Used for Investing Activites,-2800000,-13100000,-20800000,-31200000,-16500000,-10300000,-1700000,-5200000,-3800000,-2616000,-8490000,-4508000,-7897000,-11148000,-63633000,-45031000,-18782000,-11662000,-6020000,-41240000,-5177000,-7186000,-6379000,-2056000,-14281000,-14925000,-10543000,-34968000,-14614000,-14049000,-22950000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-201165000,-233980000,-272261000,-317173000,-333615000,-299575000,-322422000,-369390000,-326339000,-5659000,-6851000,-7739000,-5309000
91,Common Stock Issued,21300000,900000,31200000,- -,200000,- -,- -,- -,- -,- -,- -,- -,1175000,39093000,199000,110000,80000,72000,36000,157000,84000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-11800000,-2600000,-300000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10889000,-16599000,-16759000,-22486000,-56464000,-28370000,-29074000,-68740000,-57463000
94,Other Financing Activites,-11100000,22400000,-7500000,35800000,2200000,-10100000,-5600000,25000000,-15600000,-236000,-10048000,-19684000,495000,-48533000,120587000,4317000,-3645000,-19670000,163882000,233580000,270002000,309592000,313505000,307330000,339591000,317827000,340413000,2337000,-32778000,26859000,-19838000
95,Cash Used/Provided by Financing Activities,-1600000,20700000,23400000,34100000,2400000,-10100000,-5600000,25000000,-15600000,-236000,-10048000,-19684000,1670000,-9440000,120786000,4427000,-3565000,-19598000,-37247000,-243000,-2175000,-7581000,-30999000,-8844000,410000,-74049000,-42390000,-31692000,-68703000,-49620000,-82610000
