,https://roic.ai/company/EDUC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-0.3462,0.1379,0.0370,0.0625,0.0769,0.0208,0.1429,0.1406,0.1688,0.1600,0.1399,0.1368,0.1606,0.1317,0.1215,0.1040,0.1246,0.1379,0.1321,0.1267,0.1243,0.1281,0.1268,0.1115,0.1112,0.0732,0.0912,0.0548,0.0379,0.0471,0.0639,0.0630,0.0911,0.0974,0.0891,0.0949
17,Operating Income,-400000,300000,200000,200000,500000,100000,500000,600000,1000000,1800000,3200000,2900000,2800000,2000000,1741672,1770362,2383863,3188462,3749433,3857069,3804092,3498755,3555300,- -,- -,- -,2186200,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,-0.1538,0.1034,0.0741,0.0625,0.1282,0.0208,0.0893,0.0938,0.1299,0.1440,0.1658,0.1368,0.1451,0.1198,0.1034,0.1006,0.1160,0.1282,0.1235,0.1219,0.1197,0.1114,0.1165,- -,- -,- -,0.0832,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-500000,100000,- -,- -,-200000,- -,- -,- -,-100000,100000,-300000,-300000,- -,-100000,6356,- -,56211,76323,83017,28005,10318,379346,176800,174800,125200,-61900,91500,53900,-378200,16100,232500,-416400,464400,628400,709200,1275100
20,Income Before Tax,- -,400000,- -,- -,300000,- -,500000,600000,900000,1900000,2900000,2600000,2800000,1900000,1748028,1770362,2440074,3264785,3832450,3885074,3814410,3878101,3732100,3138900,3052400,1870200,2277700,1282000,873500,1402500,3545900,4612100,7832700,9180800,7751900,17230800
21,Income Before Tax Ratio,- -,0.1379,- -,- -,0.0769,- -,0.0893,0.0938,0.1169,0.1520,0.1503,0.1226,0.1451,0.1138,0.1037,0.1006,0.1187,0.1312,0.1262,0.1227,0.1200,0.1235,0.1223,0.1068,0.1065,0.0686,0.0867,0.0503,0.0335,0.0431,0.0557,0.0433,0.0700,0.0773,0.0686,0.0842
22,Income Tax expense (Gain),- -,200000,- -,- -,100000,- -,200000,200000,300000,700000,1100000,1000000,1100000,600000,669000,680100,908800,1226700,1459000,1479000,1416000,1471000,1407700,1226300,1138800,702000,856800,479100,515900,543300,1426600,1751200,2618000,2502400,2106800,4606800
23,Net Income,-900000,200000,100000,100000,200000,- -,500000,600000,900000,1200000,1500000,1600000,1700000,1300000,1079028,1090262,1531274,2038085,2373450,2406074,2398410,2407101,2324400,1912600,1913600,1168200,1420900,802900,357600,859200,2119300,2860900,5214700,6678400,5645100,12624000
24,Net Income ratio,-0.3462,0.0690,0.0370,0.0313,0.0513,- -,0.0893,0.0938,0.1169,0.0960,0.0777,0.0755,0.0881,0.0778,0.0640,0.0620,0.0745,0.0819,0.0782,0.0760,0.0754,0.0767,0.0762,0.0651,0.0667,0.0429,0.0541,0.0315,0.0137,0.0264,0.0333,0.0268,0.0466,0.0562,0.0500,0.0617
25,EPS,-0.12,0.03,0.01,0.01,0.03,- -,0.05,0.07,0.13,0.13,0.14,0.15,0.17,0.13,0.13,0.14,0.20,0.27,0.30,0.31,0.32,0.32,0.31,0.25,0.24,0.15,0.18,0.10,0.04,0.10,0.26,0.35,0.64,0.82,0.68,1.51
26,EPS Diluted,-0.12,0.03,0.01,0.01,0.03,- -,0.05,0.07,0.12,0.11,0.14,0.15,0.16,0.13,0.12,0.14,0.19,0.24,0.28,0.29,0.31,0.31,0.30,0.25,0.24,0.15,0.18,0.10,0.04,0.10,0.26,0.35,0.64,0.81,0.68,1.50
27,Weighted Average Shares Outstanding,7500000,6666667,10000000,10000000,8000000,10000000,10000000,9230769,10000000,9230769,10677668,10707876,10432152,10073148,8729216,7911054,7734442,7670822,7896386,7804150,7495518,7511216,7496242,7593418,7733020,7775790,7796290,7868704,7936428,8007404,8098308,8155390,8175996,8144390,8318412,8352474
28,Weighted Average Shares Outstanding Diluted,7500000,8000000,10000000,10000000,8000000,10000000,10000000,9230769,10000000,10909091,10677668,10707876,10676376,10196334,8853672,8085284,8123912,8317562,8587604,8176260,7797474,7750000,7719874,7595570,7736164,7780768,7797586,7868704,7936428,8007404,8103356,8165708,8181322,8244938,8323128,8426724
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/31667/000093066197001421/0000930661-97-001421-index.html,https://www.sec.gov/Archives/edgar/data/31667/000093066198001267/0000930661-98-001267-index.html,https://www.sec.gov/Archives/edgar/data/31667/000093066199001267/0000930661-99-001267-index.html,https://www.sec.gov/Archives/edgar/data/31667/000093066100001198/0000930661-00-001198-index.html,https://www.sec.gov/Archives/edgar/data/31667/000095013401501263/0000950134-01-501263-index.html,https://www.sec.gov/Archives/edgar/data/31667/000095013402004531/0000950134-02-004531-index.html,- -,https://www.sec.gov/Archives/edgar/data/31667/000095013404008072/0000950134-04-008072-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000095013405011792/0000950134-05-011792-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000095013406010631/0000950134-06-010631-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000095013407012675/0000950134-07-012675-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000110465908036284/0001104659-08-036284-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000110465909035801/0001104659-09-035801-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000110465910031546/0001104659-10-031546-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518511000808/0001185185-11-000808-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518512001227/0001185185-12-001227-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518513001217/0001185185-13-001217-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518514001448/0001185185-14-001448-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518515001485/0001185185-15-001485-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518516004722/0001185185-16-004722-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518517001294/0001185185-17-001294-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518518001008/0001185185-18-001008-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518519000818/0001185185-19-000818-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518520000726/0001185185-20-000726-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518521000644/0001185185-21-000644-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,100000,200000,200000,214321,268271,906889,1432982,260505,364024,321537,1254304,2440300,2896200,1196900,1988200,760100,469100,680000,383900,1183700,699200,2723300,3199300,2999400,1812200
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,100000,200000,200000,214321,268271,906889,1432982,260505,364024,321537,1254304,2440300,2896200,1196900,1988200,760100,469100,680000,383900,1183700,699200,2723300,3199300,2999400,1812200
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,2200000,2200000,1800000,2020454,1551052,2040423,2137412,2180092,2496241,2946462,2852703,2611800,3253000,3313500,3076300,3575000,3648400,3000800,3076700,2513300,2917000,2813800,3258800,3188900,3346700
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11800000,10000000,10400000,9500000,8364096,9211942,8291950,11413715,13795235,11749238,12159360,12387959,11818700,10302600,11285300,10010100,9854000,9724700,9869400,11181000,17479500,34253100,26618500,33445600,30087300,51762400
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,200000,200000,500000,358081,344926,339041,234774,177224,148146,261208,212889,309100,532300,525300,683200,656900,820200,521500,624000,1326300,1161800,1142000,1603500,950600,1219300
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15400000,12500000,13000000,12000000,10956952,11376191,11578303,15218883,16413056,14757649,15688567,16707855,17179900,16984100,16321000,15757800,14846000,14662400,14071700,15265600,22502800,39031100,33297600,41507200,37226200,58140600
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,800000,600000,300000,85270,84179,1907615,1941270,2046142,2402767,2493929,2385322,2382800,2278400,2147500,2042400,2000400,1915500,1877600,2073200,26710300,27034300,27860500,27164600,26377700,29951000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,430300,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6300,- -,59700,56800,96800,81900,149600,43300,50500,60400,55300,65900,76900,71400,80200,50900,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,- -,- -,1297800,1004980,683880,341880,570996,723290,379570,459119,459000,628400,831500,849500,849100,815700,737600,594200,431000,253500,462800,594500,1098900,758900
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,900000,600000,300000,1383070,1095459,2591495,2342850,2673938,3222857,2955399,2994041,2885100,2957300,3039400,2947200,3165400,3238400,2686600,2747600,27192200,27287800,28323300,27759100,27476600,30709900
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16300000,13400000,13600000,12300000,12340022,12471650,14169798,17561733,19086994,17980506,18643966,19701896,20065000,19941400,19360400,18705000,18011400,17900800,16758300,18013200,49695000,66318900,61620900,69266300,64702800,88850500
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,2300000,2100000,1100000,1681601,1703151,3380102,4997273,3719428,3612877,3042937,3308304,2456900,2653200,2259100,2407900,1793900,1862100,2543700,2237700,7801300,17565300,12469000,14228600,9661100,19674300
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,2000000,900000,800000,1278000,1084000,- -,- -,394000,1428000,676000,- -,- -,150000,75000,75000,250000,1250000,- -,1400000,3947200,5781400,881200,945900,1027400,5778800
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102200,- -,23800,64200,- -,140900,244600,948800,1945100,2356400,1303400,499300,1116600
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2925200,633100,693000,965600,385300,1914100
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,800000,400000,300000,408012,444372,661355,847855,755709,807483,1586399,732301,811000,1092900,1529200,1563600,1749900,1336900,1632200,2047200,4104400,6117300,7107600,7383400,5312800,10548100
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9500000,5100000,3400000,2200000,3367613,3231523,4041457,5845128,4869137,5848360,5305336,4040605,3267900,3896100,3863300,4046500,3793800,4449000,4175900,5684900,18778100,30097100,21150800,23523500,16386600,37915300
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,75000,- -,- -,- -,- -,- -,17687400,20665800,19825100,18830700,17784300,10451200
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,- -,24300,13000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338600,136900,872600,993300,89900
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000,109000,145800,134300
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,100000,- -,24300,13000,- -,- -,- -,- -,- -,- -,150000,75000,- -,- -,- -,- -,- -,17687400,21004400,20068000,19812300,18923400,10675400
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9600000,5100000,3500000,2300000,3367613,3255823,4054457,5845128,4869137,5848360,5305336,4040605,3267900,4046100,3938300,4046500,3793800,4449000,4175900,5684900,36465500,51101500,41218800,43335800,35310000,48590700
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1085848,1085848,1085848,1088328,1119268,1152468,1154368,1158368,1161400,1207800,1207800,1208200,1208200,1208200,1208200,1208200,1208200,1208200,1209200,2418400,2482000,2482000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,3400000,5100000,6300000,7259141,8270624,9647723,11455662,13435164,14214093,15300999,17707698,19206100,18062800,17391700,16575100,16124900,15194700,14280500,13857200,14557500,16317800,21532500,25754900,29732200,39683000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-400000,-700000,-1000000,-1330464,-1390128,-1446034,-1559537,-1690519,-1803304,-1904934,-2048500,-2187900,-2327700,-2464200,-2588900,-2707000,-2821200,-2936600,-3066000,-3340500,-4419500,-5667600,-7123400,-8549100,-10182300
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5200000,5300000,5700000,4700000,1957884,1249483,827804,732152,1353944,-1431111,-1211803,-1156275,-1382500,-1047600,-713200,-535900,-408500,-129900,30300,328900,804300,2110900,3328000,4880600,5727700,8277100
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,8300000,10100000,10000000,8972409,9215827,10115341,11716605,14217857,12132146,13338630,15661291,16797100,15895300,15422100,14658500,14217600,13451800,12582400,12328300,13229500,15217400,20402100,25930500,29392800,40259800
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16300000,13400000,13600000,12300000,12340022,12471650,14169798,17561733,19086994,17980506,18643966,19701896,20065000,19941400,19360400,18705000,18011400,17900800,16758300,18013200,49695000,66318900,61620900,69266300,64702800,88850500
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16300000,13400000,13600000,12300000,12340022,12471650,14169798,17561733,19086994,17980506,18643966,19701896,20065000,19941400,19360400,18705000,18011400,17900800,16758300,18013200,49695000,66318900,61620900,69266300,64702800,88850500
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/31667/000093066197001421/0000930661-97-001421-index.html,https://www.sec.gov/Archives/edgar/data/31667/000093066198001267/0000930661-98-001267-index.html,https://www.sec.gov/Archives/edgar/data/31667/000093066199001267/0000930661-99-001267-index.html,https://www.sec.gov/Archives/edgar/data/31667/000093066100001198/0000930661-00-001198-index.html,https://www.sec.gov/Archives/edgar/data/31667/000095013401501263/0000950134-01-501263-index.html,https://www.sec.gov/Archives/edgar/data/31667/000095013402004531/0000950134-02-004531-index.html,- -,https://www.sec.gov/Archives/edgar/data/31667/000095013404008072/0000950134-04-008072-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000095013405011792/0000950134-05-011792-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000095013406010631/0000950134-06-010631-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000095013407012675/0000950134-07-012675-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000110465908036284/0001104659-08-036284-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000110465909035801/0001104659-09-035801-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000110465910031546/0001104659-10-031546-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518511000808/0001185185-11-000808-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518512001227/0001185185-12-001227-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518513001217/0001185185-13-001217-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518514001448/0001185185-14-001448-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518515001485/0001185185-15-001485-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518516004722/0001185185-16-004722-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518517001294/0001185185-17-001294-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518518001008/0001185185-18-001008-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518519000818/0001185185-19-000818-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518520000726/0001185185-20-000726-index.htm,https://www.sec.gov/Archives/edgar/data/31667/000118518521000644/0001185185-21-000644-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,100000,200000,- -,500000,600000,900000,1200000,1500000,1600000,1700000,1300000,1079028,1090262,1531274,2038085,2373450,2406074,2398410,2407101,2324400,1912600,1913600,1168200,1420900,802900,357600,859200,2119300,2860900,5214700,6678400,5645100,12624000
74,Depreciation and Amortization,- -,- -,- -,100000,- -,- -,100000,100000,100000,100000,100000,300000,300000,300000,299179,59662,120738,165910,167500,125570,138023,143549,139400,139800,136500,124700,118100,114200,115400,129400,274500,1079000,1251000,1455800,1425700,1633200
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,100000,-100000,100000,- -,100000,- -,-90000,75700,-27900,-24100,44800,-28900,-82000,-43500,26700,-35600,-41300,-105700,-22700,-12600,127600,700,-19100,221100,264900,735700,120700,-903400
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35600,- -,- -,- -,- -,- -,- -,- -,- -,401800,665100,938600
77,Change in Working Capital,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,5900000,1500000,2200000,200000,-2210661,555329,-607822,1836909,2170164,-2634630,1473942,2284019,1244750,-824000,-630300,-746400,-659100,-838800,-317600,-315100,-5856000,5209300,3212800,5836900,2855900,-614300
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1174700,-1259900,-1390400,-1373500,-1352800,-559700,-1356900,-676200,-686900,-407700,-419100,227700,-519400
79,Inventory,- -,- -,- -,-100000,100000,-500000,100000,-300000,-600000,-3300000,-5100000,2000000,-200000,900000,-97422,-572826,1241092,-2779765,-2610636,1893703,-66402,-308146,569400,2095700,-1073700,1341200,201100,118300,-55900,-1192200,-6048600,-16771700,7079000,-7106800,2598200,-21542300
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-128900,835700,182500,6837000,11427000,-4918900,2399100,-4567500,8952000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,7400000,9600000,9800000,7589339,8144668,7536846,9373755,11543919,8909289,10383231,12667250,13912000,13088000,12457700,11711300,11052200,10213400,9895800,9580700,3724700,8934000,12146800,17983700,20839600,20225300
82,Other Non-Cash Items,- -,- -,- -,- -,-200000,-100000,-200000,-300000,-600000,-1800000,-11900000,700000,-3100000,-300000,2593625,-625888,3231371,-2898146,-6126439,4206887,-2548536,-2312235,-1223750,2817800,-1001800,2374600,-73300,573300,2482100,-935800,10131900,-10942700,-710700,-11161800,-6468100,-5860400
83,Cash Provided by Operating Activities,- -,- -,- -,100000,- -,-100000,400000,400000,500000,-600000,-4300000,4100000,1200000,1500000,1671171,1155065,4247661,1118658,-1370525,4075001,1379839,2478934,2511500,4010600,412300,2815400,783900,639000,2765100,-261600,6650600,-1572400,9232700,3946800,4244400,7817700
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-300000,-600000,-300000,- -,-100000,-43184,-58571,-1888933,-155744,-235854,-483358,-229185,-34942,-136900,-30500,-5600,-19600,-76100,-29300,-77500,-325000,-24911600,-2485400,-1437700,-1399400,-638800,-4145300
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-709800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
