,https://roic.ai/company/SPWR,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/867773/000086777308000017/0000867773-08-000017-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777309000011/0000867773-09-000011-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/867773/000086777310000008/0000867773-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777311000008/0000867773-11-000008-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777313000012/0000867773-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777314000011/0000867773-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777315000013/0000867773-15-000013-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/867773/000086777316000101/0000867773-16-000101-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777318000016/0000867773-18-000016-index.htm,- -,https://www.sec.gov/Archives/edgar/data/867773/000086777320000010/0000867773-20-000010-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/867773/000086777321000026/0000867773-21-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,70000,345000,5600000,- -,143592000,165596000,285200000,202300000,- -,615900000,605400000,457500000,762500000,956200000,- -,954528000,435097000,309407000,422955000,- -,232765000
32,Short-Term Investments,- -,- -,- -,- -,- -,16496000,105500000,17200000,- -,200000,38700000,10885000,8892000,7158000,- -,6475000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,70000,345000,5600000,- -,143592000,182092000,390700000,219500000,- -,616100000,644100000,468385000,771392000,963358000,- -,961003000,435097000,309407000,422955000,- -,232765000
34,Net Receivables,- -,- -,1000000,- -,25498000,51680000,155500000,274200000,- -,322600000,502900000,599800000,494100000,591800000,- -,283969000,294258000,292167000,371028000,- -,243892000
35,Inventory,- -,- -,1300000,- -,13147000,22780000,179600000,278000000,- -,228400000,402600000,327800000,277400000,395700000,- -,421075000,352829000,308146000,358257000,- -,210582000
36,Other Current Assets,- -,- -,200000,- -,3236000,32049000,76500000,78200000,- -,115300000,244200000,542215000,645608000,451942000,- -,848473000,269329000,164051000,228691000,- -,103076000
37,Total Current Assets,- -,- -,8100000,- -,185473000,288601000,802300000,849900000,- -,1282400000,1793800000,1938200000,2188500000,2402800000,- -,2514520000,1351513000,1073771000,1380931000,- -,790315000
38,PP&E,- -,- -,22800000,- -,110559000,202428000,378000000,622500000,- -,682300000,578600000,774900000,878900000,976300000,- -,1262750000,1576191000,932428000,429322000,- -,151237000
39,Goodwill,- -,- -,- -,- -,- -,2883000,184700000,196700000,- -,198200000,345300000,- -,- -,21200000,- -,58135000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,21622000,14049000,50900000,39500000,- -,25000000,66800000,744000,- -,16800000,- -,61442000,25519000,12582000,7466000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,21622000,16932000,235600000,236200000,- -,223200000,412100000,744000,- -,38000000,- -,119577000,25519000,12582000,7466000,- -,697000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,44380000,- -,10885000,144113000,243206000,- -,222774000,20325000,88694000,226602000,- -,624873000
43,Tax Assets,- -,- -,- -,- -,- -,- -,6200000,6500000,- -,6800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,68875000,231600000,367600000,- -,457820000,594800000,616171000,687187000,685294000,- -,737372000,655766000,245174000,127600000,- -,79360000
45,Total Non-Current Assets,- -,- -,22800000,- -,132181000,288235000,851400000,1232800000,- -,1414500000,1585500000,1402700000,1710200000,1942800000,- -,2342473000,2277801000,1278878000,790990000,- -,856167000
46,Other Assets,1212000,9254000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1212000,9254000,30900000,- -,317654000,576836000,1653700000,2082700000,- -,2696900000,3379300000,3340900000,3898700000,4345600000,- -,4856993000,3629314000,2352649000,2171921000,- -,1646482000
48,Accounts Payable,- -,- -,8200000,- -,16727000,29443000,124700000,259400000,- -,234700000,382900000,414300000,444000000,419900000,- -,514654000,406902000,325550000,441759000,- -,166066000
49,Short-Term Debt,- -,- -,2000000,- -,- -,- -,425000000,- -,- -,11300000,198000000,14700000,56900000,18100000,- -,21041000,357816000,40074000,9463000,- -,159590000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62932000,29618000,44287000,- -,41058000,- -,27471000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48715000,225550000,308650000,83440000,- -,115739000,104828000,108381000,- -,- -,72424000
52,Other Current Liabilities,- -,- -,26500000,- -,13503000,30889000,158600000,170800000,- -,289100000,158785000,307050000,850950000,608160000,- -,347168000,226639000,231001000,447187000,- -,131651000
53,Total Current Liabilities,- -,- -,36700000,- -,30230000,60332000,708300000,430200000,- -,535100000,788400000,961600000,1660500000,1129600000,- -,998602000,1096185000,705006000,898409000,- -,529731000
54,Long-Term Debt,- -,- -,5300000,- -,- -,- -,- -,411800000,- -,636300000,641900000,825700000,491100000,1046200000,- -,1744583000,1247088000,1442302000,934086000,- -,478890000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128936000,176925000,176804000,- -,179779000,252663000,155273000,- -,- -,66697000
56,Deferred Tax Liabilities,- -,- -,- -,- -,336000,46000,- -,- -,- -,6777000,- -,-7086000,-188266000,130948000,- -,140786000,- -,- -,- -,- -,13468000
57,Other Non-Current Liabilities,- -,- -,- -,- -,28438000,27687000,81300000,142100000,- -,142323000,291600000,438450000,642241000,327848000,- -,344094000,786281000,199954000,329263000,- -,151210000
58,Total Non-Current Liabilities,- -,- -,5300000,- -,28774000,27733000,81300000,553900000,- -,785400000,933500000,1386000000,1122000000,1681800000,- -,2409242000,2286032000,1797529000,1263349000,- -,710265000
59,Other Liabilities,4681000,15276000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112313000,140515000,- -,162070000,508842000,583418000,55552000,- -,53344000
61,Total Liabilities,4681000,15276000,42000000,- -,59004000,88065000,789600000,984100000,- -,1320500000,1721900000,2347600000,2782500000,2811400000,- -,3407844000,3382217000,2502535000,2161758000,- -,1239996000
62,Preferred Stock,- -,9366000,9366000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,7500000,- -,61000,70000,100000,100000,- -,100000,100000,100000,100000,100000,- -,137000,140000,141000,168000,- -,170000
64,Retained Earnings,- -,- -,-29400000,- -,-58533000,-32017000,-22800000,68000000,- -,-114300000,63700000,-902100000,-806500000,-560600000,- -,-747617000,-2115188000,-2480988000,-2449679000,- -,-2085246000
65,Other Comprehensive Income/Loss,- -,- -,-2800000,- -,1000000,-2101000,6000000,-26000000,- -,4000000,7000000,-3000000,-4000000,-13000000,- -,-7000000,-3000000,-4150000,-10000000,- -,8799000
66,Other Total Stockholders Equity,- -,- -,-5145000,- -,316122000,- -,880790000,979274000,- -,1485721000,1586634000,1898352000,1926553000,2107674000,- -,2203629000,2260966000,2276301000,2469674000,- -,2480444000
67,Total Stockholders Equity,-3469000,-6022000,-20479000,- -,258650000,488771000,864090000,1021374000,- -,1375521000,1657434000,993352000,1116153000,1534174000,- -,1449149000,142918000,-208696000,10163000,- -,404167000
68,Total Liabilities And Stockholders Equity,1212000,9254000,21521000,- -,317654000,576836000,1653690000,2005474000,- -,2696021000,3379334000,3340952000,3898653000,4345574000,- -,4856993000,3525135000,2293839000,2171921000,- -,1644163000
69,Minority Interest,- -,- -,9379000,- -,- -,- -,10000,77226000,- -,879000,-34000,-52000,47000,26000,- -,- -,104179000,58810000,- -,- -,2319000
70,Total Liabilities & Equity,1212000,9254000,30900000,- -,317654000,576836000,1653700000,2082700000,- -,2696900000,3379300000,3340900000,3898700000,4345600000,- -,4856993000,3629314000,2352649000,2171921000,- -,1646482000
71,SEC Link,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/867773/000086777308000017/0000867773-08-000017-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777309000011/0000867773-09-000011-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/867773/000086777310000008/0000867773-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777311000008/0000867773-11-000008-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777313000012/0000867773-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777314000011/0000867773-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777315000013/0000867773-15-000013-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/867773/000086777316000101/0000867773-16-000101-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777318000016/0000867773-18-000016-index.htm,- -,https://www.sec.gov/Archives/edgar/data/867773/000086777320000010/0000867773-20-000010-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/867773/000086777321000026/0000867773-21-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-3533000,-14500000,- -,-15843000,26516000,28300000,-124400000,- -,32500000,178700000,-352000000,95600000,245900000,- -,-187019000,-851163000,-811091000,22159000,- -,475048000
74,Depreciation and Amortization,- -,200000,1300000,- -,11851000,21053000,57585000,71477000,- -,101104000,140669000,117770000,98191000,108795000,- -,138007000,188698000,127204000,80081000,- -,48304000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-9424000,46116000,- -,12238000,15889000,-4332000,1138000,21656000,- -,63672000,-6966000,-6862000,5067000,- -,19241000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,46994000,54372000,42439000,45678000,55592000,- -,58960000,34674000,26353000,26935000,- -,24817000
77,Change in Working Capital,- -,200000,-28600000,- -,209543000,73026000,-134269000,325700000,- -,327600000,258100000,-186600000,-448600000,745200000,- -,242718000,-569196000,113437000,113757000,- -,-221938000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50510000,-132184000,11522000,-53756000,-31505000,- -,311743000,-458000,-175000,-66194000,- -,98962000
79,Inventory,- -,- -,- -,- -,-8731000,-9586000,-87033000,-98999000,- -,53740000,-114534000,28324000,-6243000,-1247000,- -,-237764000,-38236000,-39174000,-128404000,- -,-29808000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-28600000,- -,155243000,228269000,94000000,419700000,- -,747300000,1005400000,976600000,528000000,1273200000,- -,1515918000,255328000,368765000,482522000,- -,260584000
82,Other Non-Cash Items,- -,433000,33000000,- -,-187780000,-158546000,60180000,-165246000,- -,-399111000,-481158000,411626000,370422000,-1168783000,- -,-1042569000,936541000,7570000,-518412000,- -,-532863000
83,Cash Provided by Operating Activities,- -,-2700000,-8800000,- -,17771000,-37951000,2372000,153647000,- -,121325000,166572000,28903000,162429000,8360000,- -,-726231000,-267412000,-543389000,-270413000,- -,-187391000
84,CAPEX,- -,-5400000,-14800000,- -,-71616000,-108307000,-193484000,-265549000,- -,-167811000,-119152000,-255232000,-152546000,-166936000,- -,-338370000,-282878000,-183330000,-111602000,- -,-21105000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-98645000,-18311000,- -,- -,-285578000,-13817000,-17761000,-132091000,- -,470943000,-12673000,445278000,28091000,- -,-107994000
86,Purchases of Investments,- -,- -,- -,- -,- -,-38990000,-210503000,-90373000,- -,-2403000,-57931000,-1436000,-99928000,-30000,- -,- -,-1306000,- -,- -,- -,-1338000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,17500000,91600000,155833000,- -,39149000,1572000,17403000,100947000,1380000,- -,- -,- -,- -,42957000,- -,259627000
88,Other Investing Activites,- -,- -,- -,- -,1251000,-11548000,-63086000,-107390000,- -,-125494000,33679000,33015000,16110000,-11562000,- -,-33110000,3773000,12952000,61920000,- -,- -
89,Cash Used for Investing Activites,- -,-5400000,-14800000,- -,-70365000,-141345000,-474118000,-325790000,- -,-256559000,-427410000,-220067000,-153178000,-309239000,- -,109399000,-293084000,274900000,21366000,- -,129190000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75636000,-282650000,-352686000,-334140000,-201218000,- -,-621261000,-541274000,-583892000,-273974000,- -,-571453000
91,Common Stock Issued,- -,- -,- -,- -,180158000,201300000,176105000,5128000,- -,218781000,- -,163616000,- -,- -,- -,- -,- -,- -,171834000,- -,- -
92,Common Stock Repurchased,- -,8100000,- -,- -,- -,- -,-1975000,-6682000,- -,-4327000,-3689000,-5691000,-19829000,-57548000,- -,-43780000,-4756000,-5530000,-5565000,- -,-12842000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-169637000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,300000,28800000,- -,12252000,- -,410495000,94935000,- -,413532000,547680000,288690000,648037000,757332000,- -,1285008000,1135962000,675269000,452019000,- -,430443000
95,Cash Used/Provided by Financing Activities,- -,8400000,28800000,- -,192410000,201300000,584625000,93381000,- -,552350000,261341000,-75708000,294068000,498566000,- -,619967000,589932000,85847000,344314000,- -,-153852000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,6739000,-4121000,- -,-3568000,-10962000,-1259000,1705000,-4023000,- -,-4782000,689000,2068000,-373000,- -,200000
97,Net Change In Cash,- -,300000,5200000,- -,139816000,22004000,119618000,-82883000,- -,413548000,-10459000,-268131000,305024000,193664000,- -,-1647000,30125000,-180574000,94894000,- -,-211853000
98,Cash at the End of Period,- -,309707000,5200000,- -,143592000,165596000,285214000,202331000,- -,615879000,605420000,457487000,762511000,956175000,- -,954528000,544337000,363763000,458657000,- -,246804000
99,Cash at the Beginning of Period,- -,309407000,- -,- -,3776000,143592000,165596000,285214000,- -,202331000,615879000,725618000,457487000,762511000,- -,956175000,514212000,544337000,363763000,- -,458657000
100,Free Cash Flow,- -,-8100000,-23600000,- -,-53845000,-146258000,-191112000,-111902000,- -,-46486000,47420000,-226329000,9883000,-158576000,- -,-1064601000,-550290000,-726719000,-382015000,- -,-208496000
101,SEC Link,undefined,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/867773/000086777308000017/0000867773-08-000017-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777309000011/0000867773-09-000011-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/867773/000086777310000008/0000867773-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777311000008/0000867773-11-000008-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777313000012/0000867773-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777314000011/0000867773-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777315000013/0000867773-15-000013-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/867773/000086777316000101/0000867773-16-000101-index.htm,https://www.sec.gov/Archives/edgar/data/867773/000086777318000016/0000867773-18-000016-index.htm,- -,https://www.sec.gov/Archives/edgar/data/867773/000086777320000010/0000867773-20-000010-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/867773/000086777321000026/0000867773-21-000026-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
