,https://roic.ai/company/PLCE,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5331000,- -,3162000,- -,- -,966000,988000,1123000,1120000,1019000,1558000,1915000,730000,253000,63000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97000,- -,8101000,5731000,1530000,1184000,644000,494000,936000,1399000,1953000,2222000,3534000,8194000,11906000,-18618000
14,Depreciation and Amortization,4017000,6400000,8600000,13849000,20880000,27628000,35797000,40088000,52101000,53424000,66280000,80143000,72128000,71447000,71640000,74573000,77435000,64858000,60494000,62685000,65734000,68159000,68884000,223794000,66405000,- -
15,EBITDA,13539000,19800000,43700000,71249000,91080000,103428000,45297000,76841000,119624000,152747000,189715000,-8641000,206122000,160550000,203689000,182149000,167731000,141874000,141305000,153466000,214700000,231584000,180942000,320405000,-133447000,238412000
16,EBITDA ratio,0.0941,0.1028,0.1539,0.1690,0.1551,0.1574,0.0675,0.0963,0.1033,0.0915,0.1350,-0.0057,0.1264,0.0977,0.1217,0.1062,0.0927,0.0803,0.0802,0.0889,0.1203,0.1238,0.0934,0.1713,-0.0876,0.1245
17,Operating Income,12802000,14400000,35600000,57837000,71314000,76001000,14865000,36498000,69952000,102670000,119395000,-88698000,122397000,130072000,136336000,110007000,89715000,76283000,80043000,90080000,147408000,161510000,111328000,96358000,-199915000,275648000
18,Operating Income ratio,0.0890,0.0748,0.1254,0.1372,0.1214,0.1157,0.0221,0.0457,0.0604,0.0615,0.0850,-0.0583,0.0751,0.0791,0.0814,0.0641,0.0496,0.0432,0.0454,0.0522,0.0826,0.0864,0.0574,0.0515,-0.1313,0.1439
19,Total Other Income Expenses (Gains),-3280000,-2700000,-600000,-437000,-1114000,-301000,-5365000,255000,-3652000,-9170000,-395000,117598000,-4939000,-13572000,-8636000,-5207000,-15000,217000,-168000,-698000,-395000,-307000,-2804000,-7941000,-11843000,-18618000
20,Income Before Tax,9522000,11700000,35000000,57400000,70200000,75700000,9500000,36753000,66300000,93500000,119000000,28900000,117458000,116500000,127700000,104800000,89700000,76500000,79875000,89382000,147013000,161203000,108524000,88417000,-211758000,257030000
21,Income Before Tax Ratio,0.0662,0.0607,0.1233,0.1362,0.1195,0.1152,0.0141,0.0461,0.0573,0.0560,0.0847,0.0190,0.0720,0.0709,0.0763,0.0611,0.0496,0.0433,0.0453,0.0518,0.0823,0.0862,0.0560,0.0473,-0.1391,0.1342
22,Income Tax expense (Gain),-20919000,4700000,14400000,22400000,27500000,29200000,4000000,13796000,26923000,39323000,35938000,-29184000,43523000,-328000,51219000,32092000,26452000,23522000,22987000,31498000,44677000,76505000,7564000,15117000,-71393000,69859000
23,Net Income,30441000,8700000,20700000,35000000,42700000,46600000,5500000,22957000,40600000,60000000,87400000,-59600000,82370000,83700000,79300000,74300000,63200000,53000000,56888000,57884000,102336000,84698000,100960000,73300000,-140365000,187171000
24,Net Income ratio,0.2116,0.0452,0.0729,0.0830,0.0727,0.0709,0.0082,0.0288,0.0351,0.0360,0.0622,-0.0392,0.0505,0.0509,0.0474,0.0433,0.0349,0.0300,0.0323,0.0335,0.0573,0.0453,0.0521,0.0392,-0.0922,0.0977
25,EPS,1.49,0.24,0.83,1.38,1.65,1.77,0.34,0.86,1.61,2.37,3.03,-2.05,2.81,3.10,3.07,3.03,2.60,2.35,2.62,2.83,5.51,4.82,6.10,4.71,-9.59,12.82
26,EPS Diluted,1.28,0.22,0.80,1.32,1.60,1.73,0.33,0.85,1.57,2.27,2.92,-2.05,2.79,3.08,3.03,3.01,2.58,2.32,2.59,2.80,5.40,4.67,6.01,4.68,-9.59,12.59
27,Weighted Average Shares Outstanding,20421000,21821000,24939759,25382000,25847000,26262173,26501000,26646000,26919000,27676000,28828000,29090000,29307000,28463000,27084000,25459000,24092000,22537000,21681000,20438000,18584000,17569000,16542000,15547000,14631000,14597000
28,Weighted Average Shares Outstanding Diluted,23804000,24358000,25875000,26648000,26668000,26963662,26978000,27099000,27633000,28877000,29907000,29090000,29548000,28707000,27436000,25668000,24276000,22835000,21924000,20702000,18959000,18151000,16805000,15653000,14631000,14870000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1041859/000089968198000271/0000899681-98-000271-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000104746999007192/0001047469-99-007192-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1041859/000091205702013999/0000912057-02-013999-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000104746903016008/0001047469-03-016008-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000110465904010155/0001104659-04-010155-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000110465905016518/a05-6731_110k.htm,https://www.sec.gov/Archives/edgar/data/1041859/000110465906024467/a06-2271_110k.htm,https://www.sec.gov/Archives/edgar/data/1041859/000110465907087151/a07-20912_410k.htm,https://www.sec.gov/Archives/edgar/data/1041859/000104746908004012/0001047469-08-004012-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000104746909003676/0001047469-09-003676-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000104746910002730/0001047469-10-002730-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000104746911002755/a2202356z10-k.htm,https://www.sec.gov/Archives/edgar/data/1041859/000144530512000769/0001445305-12-000769-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000144530513000737/0001445305-13-000737-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000144530514001116/plce-212014x10k.htm,https://www.sec.gov/Archives/edgar/data/1041859/000162828015001999/plce-1312015x10k.htm,https://www.sec.gov/Archives/edgar/data/1041859/000162828016013022/0001628280-16-013022-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000162828017002857/0001628280-17-002857-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000162828018003499/0001628280-18-003499-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000162828019003243/0001628280-19-003243-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000162828020003840/0001628280-20-003840-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000162828021005818/0001628280-21-005818-index.htm,https://www.sec.gov/Archives/edgar/data/1041859/000162828022007305/0001628280-22-007305-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3422000,900000,16400000,2200000,8100000,45200000,36600000,74772000,165200000,173300000,114500000,81600000,226206000,168400000,183700000,176700000,194100000,174000000,173291000,187534000,193709000,244519000,69136000,68487000,63548000,54787000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75200000,- -,- -,- -,- -,- -,15000000,62500000,52000000,40100000,49300000,15000000,- -,- -,- -,- -
33,Cash and Short-Term Investments,3422000,900000,16400000,2200000,8100000,45200000,36600000,74772000,165200000,173300000,189700000,81600000,226206000,168400000,183700000,176700000,209100000,236500000,225291000,227634000,243009000,259519000,69136000,68487000,63548000,54787000
34,Net Receivables,890000,1900000,2700000,5100000,9100000,11900000,13600000,8462000,24000000,29100000,35200000,41100000,19639000,16900000,16100000,17400000,18500000,26000000,31928000,37773000,31873000,47163000,42346000,36510000,39534000,21863000
35,Inventory,14425000,20300000,35300000,56000000,68100000,59100000,75400000,96128000,162000000,213700000,239000000,196600000,211227000,206200000,210500000,237800000,267000000,322400000,297631000,268831000,286343000,324435000,303466000,327165000,388141000,428813000
36,Other Current Assets,8951000,15300000,8100000,10300000,13700000,15800000,19600000,20070000,41000000,43900000,59200000,191600000,62518000,65400000,67400000,57000000,50600000,44400000,54429000,47070000,49938000,25387000,20447000,17718000,55860000,76075000
37,Total Current Assets,27688000,38400000,62500000,73600000,99000000,132000000,145200000,199432000,392200000,460000000,523100000,510900000,519590000,456900000,477700000,488900000,545200000,629300000,609279000,581308000,611163000,656504000,435395000,449880000,547083000,581538000
38,PP&E,20299000,32100000,42300000,87700000,127200000,144700000,155000000,146707000,204400000,248600000,341700000,354100000,318116000,312800000,320600000,323900000,330100000,312100000,310301000,290980000,264280000,258537000,260357000,630718000,465425000,349659000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75464000,73665000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75464000,73665000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,14711000,- -,- -,- -,- -,- -,- -,12428000,- -,- -,- -,- -,96104000,- -,- -,- -,- -,- -,35580000,- -,- -,- -,- -,- -,45579000,- -
44,Other Non-Current Assets,1781000,8900000,6000000,9700000,5500000,6100000,9100000,1099000,19600000,55400000,72200000,132500000,5947000,84400000,56000000,53500000,48100000,49200000,3458000,25660000,35056000,25187000,31294000,25335000,8375000,106263000
45,Total Non-Current Assets,36791000,41000000,48300000,97400000,132700000,150800000,164100000,160234000,224000000,304000000,413900000,486600000,420167000,397200000,376600000,377400000,378200000,361300000,349339000,316640000,299336000,283724000,291651000,731517000,593044000,455922000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,64479000,79400000,110800000,171000000,231700000,282800000,309300000,359666000,616200000,764000000,937000000,997500000,939757000,854100000,854300000,866300000,923400000,990600000,958618000,897948000,910499000,940228000,727046000,1181397000,1140127000,1037460000
48,Accounts Payable,8322000,9500000,13300000,20200000,28300000,22200000,30800000,35173000,78100000,81600000,82200000,80800000,73333000,55500000,50700000,55500000,87500000,150700000,155323000,154541000,178208000,210300000,194786000,213115000,252124000,183758000
49,Short-Term Debt,- -,1100000,- -,6500000,3300000,- -,- -,- -,37300000,- -,- -,89000000,30000000,- -,- -,- -,- -,- -,- -,- -,15380000,21460000,48861000,170808000,344363000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,16135000,49078000,- -,3845000,- -,1212000,1143000,1788000,2459000,1039000,- -,1611000,13812000,6911000,997000,5607000,19444000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,3784000,6043000,16410000,25321000,- -,17540000,18282000,1300000,700000,1800000,- -,400000,3133000,3803000,2180000,2762000,8975000,- -
52,Other Current Liabilities,7415000,7600000,13700000,19500000,26400000,32500000,35100000,49984000,95716000,142357000,142490000,115379000,103662000,72460000,61418000,74800000,103300000,118800000,119144000,120081000,132476000,124961000,85572000,208322000,113037000,408068000
53,Total Current Liabilities,15737000,18200000,27000000,46200000,58000000,54700000,65900000,85157000,214900000,230000000,241100000,310500000,206995000,145500000,130400000,131600000,191500000,271300000,274467000,275022000,329197000,360524000,331399000,595007000,718499000,591826000
54,Long-Term Debt,19040000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,289519000,184446000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94394000,94569000,92598000,88563000,- -,70250000,61128000,52425000,44329000,- -,6873000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18282000,17188000,9714000,10859000,- -,15486000,17504000,34598000,5080000,6782000,- -,- -
57,Other Non-Current Liabilities,2404000,2700000,3200000,4700000,7000000,11100000,14400000,17504000,100400000,138400000,174100000,214800000,129883000,119600000,3524000,-2057000,8688000,3178000,95033000,9397000,6383000,18982000,31801000,344421000,31859000,35716000
58,Total Non-Current Liabilities,21444000,2700000,3200000,4700000,7000000,11100000,14400000,17504000,100400000,138400000,174100000,214800000,184883000,119600000,116200000,109700000,111000000,102600000,95033000,95133000,85015000,106005000,81210000,351203000,328251000,220162000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,433776000,388758000,- -
61,Total Liabilities,37181000,20900000,30200000,50900000,65000000,65800000,80300000,102661000,315300000,368400000,415200000,525300000,391878000,265100000,246600000,241300000,302500000,373900000,369500000,370155000,414212000,466529000,412609000,946210000,1046750000,811988000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1281000,- -,2500000,2600000,2600000,2600000,2700000,2673000,2700000,2800000,2900000,2900000,2947000,2700000,2600000,2500000,2300000,2200000,2108000,1948000,1776000,1726000,1588000,1476000,1464000,- -
64,Retained Earnings,-31825000,-26600000,-5900000,29100000,71800000,118400000,127300000,150290000,181900000,238600000,326000000,259800000,342164000,374000000,382000000,399500000,389700000,389600000,374074000,321148000,274912000,226303000,180792000,108215000,-42790000,- -
65,Other Comprehensive Income/Loss,-12083000,-12800000,-19300000,-27400000,-45200000,-70100000,600000,-137782000,5000000,7000000,4000000,14000000,-3000000,8000000,13000000,13000000,13000000,-2000000,-17000000,-27000000,-20000000,-13000000,-15000000,-14000000,-13816000,- -
66,Other Total Stockholders Equity,69925000,97900000,103300000,115800000,137500000,166100000,98408000,241824000,122063000,144466000,188887000,195533000,205768000,204270000,210127000,194366000,215949000,226978000,229936000,231697000,239599000,258670000,147057000,139496000,148519000,- -
67,Total Stockholders Equity,27298000,58500000,80600000,120100000,166700000,217000000,229008000,257005000,311663000,392866000,521787000,472233000,547879000,588970000,607727000,609366000,620949000,616778000,589118000,527793000,496287000,473699000,314437000,235187000,93377000,225472000
68,Total Liabilities And Stockholders Equity,64479000,79400000,110800000,171000000,231700000,282800000,309308000,359666000,626963000,761266000,936987000,997533000,939757000,854070000,854327000,850666000,923449000,990678000,958618000,897948000,910499000,940228000,727046000,1181397000,1140127000,1037460000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-8000,- -,-10763000,2734000,13000,-33000,- -,30000,-27000,15634000,-49000,-78000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,64479000,79400000,110800000,171000000,231700000,282800000,309300000,359666000,616200000,764000000,937000000,997500000,939757000,854100000,854300000,866300000,923400000,990600000,958618000,897948000,910499000,940228000,727046000,1181397000,1140127000,1037460000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1041859/000089968198000271/0000899681-98-000271-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000104746999007192/0001047469-99-007192-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1041859/000091205702013999/0000912057-02-013999-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000104746903016008/0001047469-03-016008-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000110465904010155/0001104659-04-010155-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000110465905016518/a05-6731_110k.htm,https://www.sec.gov/Archives/edgar/data/1041859/000110465906024467/a06-2271_110k.htm,https://www.sec.gov/Archives/edgar/data/1041859/000110465907087151/a07-20912_410k.htm,https://www.sec.gov/Archives/edgar/data/1041859/000104746908004012/0001047469-08-004012-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000104746909003676/0001047469-09-003676-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000104746910002730/0001047469-10-002730-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000104746911002755/a2202356z10-k.htm,https://www.sec.gov/Archives/edgar/data/1041859/000144530512000769/0001445305-12-000769-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000144530513000737/0001445305-13-000737-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000144530514001116/plce-212014x10k.htm,https://www.sec.gov/Archives/edgar/data/1041859/000162828015001999/plce-1312015x10k.htm,https://www.sec.gov/Archives/edgar/data/1041859/000162828016013022/0001628280-16-013022-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000162828017002857/0001628280-17-002857-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000162828018003499/0001628280-18-003499-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000162828019003243/0001628280-19-003243-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000162828020003840/0001628280-20-003840-index.html,https://www.sec.gov/Archives/edgar/data/1041859/000162828021005818/0001628280-21-005818-index.htm,https://www.sec.gov/Archives/edgar/data/1041859/000162828022007305/0001628280-22-007305-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,30441000,8700000,20700000,35000000,42700000,46600000,5500000,22957000,40600000,60000000,87400000,-59600000,82370000,83700000,79300000,74300000,63200000,53000000,56888000,57884000,102336000,84698000,100960000,73300000,-140365000,187171000
74,Depreciation and Amortization,4017000,6400000,8600000,13849000,20880000,27628000,35797000,40088000,52101000,53424000,66280000,80143000,72128000,71447000,71640000,74573000,77435000,64858000,60494000,62685000,65734000,68159000,68884000,223794000,66405000,- -
75,Deferred Income Tax,-21263000,4200000,12000000,2726000,1886000,490000,830000,-4996000,2584000,-30276000,-30001000,-55844000,32152000,17345000,27473000,3953000,1973000,-3552000,5627000,12166000,-9379000,34894000,-5568000,5364000,-32660000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7391000,8450000,8045000,9286000,14253000,21210000,17783000,21119000,28040000,30797000,27415000,16219000,14316000,- -
77,Change in Working Capital,-5708000,8249000,15300000,-8100000,13600000,36300000,2000000,34975000,63025000,52700000,52000000,-81600000,112195000,-1195000,35900000,10000000,-3600000,4300000,-23188000,-28526000,-24320000,14014000,-191984000,-249123000,-26289000,6845000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12468000,3009000,- -,- -,- -,- -,-6268000,2318000,-7561000,5386000,-9127000,3148000,-3616000,- -
79,Inventory,-1812000,-5900000,-15000000,-20682000,-12084000,9010000,-16322000,-19880000,39504000,-51401000,-26168000,-40924000,-19855000,8438000,-2476000,-2760000,-28828000,-58941000,21022000,26121000,-16072000,-36434000,19380000,-23537000,-61080000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47294000,-18911000,-13134000,-617000,63277000,73609000,6049000,-4040000,18989000,28930000,-56893000,17502000,71720000,- -
81,Other Working Capital,11951000,20200000,35500000,27400000,41000000,77300000,79300000,114275000,177300000,230000000,282000000,200400000,312595000,311400000,347300000,357300000,353700000,358000000,334812000,306286000,281966000,295980000,103996000,-145127000,-171416000,-10288000
82,Other Non-Cash Items,359000,-16249000,-21600000,-8809000,-19324000,-24246000,-6456000,-24670000,54637000,-19952000,-40067000,115678000,-87858000,-24570000,-47847000,-16009000,51781000,33654000,43806000,57322000,36881000,-18179000,140207000,108348000,82876000,-60740000
83,Cash Provided by Operating Activities,7846000,11300000,35000000,34666000,59742000,86772000,37671000,68354000,212947000,115896000,135612000,-1223000,218378000,155177000,174511000,156103000,205042000,173470000,161410000,182650000,199292000,214383000,139914000,177902000,-35717000,133276000
84,CAPEX,-8492000,-17200000,-19800000,-58181000,-53120000,-49114000,-48536000,-31788000,-61512000,-89229000,-155069000,-199766000,-51693000,-62217000,-83945000,-79764000,-90182000,-72606000,-72212000,-42145000,-34684000,-58657000,-71114000,-134453000,-30585000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-107256000,2240000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52515000,-1869519000,-1040025000,- -,- -,- -,- -,-15000000,-47500000,-81000000,-99680000,-49300000,-15000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,52515000,1794344000,1115200000,- -,- -,- -,- -,- -,- -,91500000,111580000,40100000,49300000,15000000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-157000,-2030000,1023000,- -,-9072000,-2112000,-373000,2105000,-38000,406000,5000,-379000,-35052000,-59445000,-71863000,-134350000,-30374000,-29290000
89,Cash Used for Investing Activites,-8492000,-17200000,-19800000,-58181000,-53120000,-49114000,-48536000,-31788000,-168925000,-89019000,-229221000,-124591000,-60765000,-64329000,-84318000,-77659000,-105220000,-119700000,-61707000,-30624000,-44252000,-25145000,-56863000,-134350000,-30374000,-29290000
90,Debt Repayment,-164107000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-816275000,-268613000,-156712000,-117263000,-134865000,-124289000,-320230000,-556856000,-538035000,-572106000,-834404000,-879092000,-501902000,- -
91,Common Stock Issued,18936000,50700000,1500000,2907000,2625000,2716000,2054000,2019000,7619000,15928000,27161000,809000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-11845000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-642000,-73993000,-90623000,-91757000,-89020000,-65830000,-76129000,-120893000,-157809000,-118579000,-253543000,-131393000,-15490000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11491000,-12217000,-14785000,-28101000,-33042000,-34928000,- -,- -
94,Other Financing Activites,160515000,-47400000,-1100000,6442000,-3305000,-3324000,- -,-175000,36642000,-37268000,11001000,89132000,812483000,188594000,169327000,123992000,141628000,125979000,320247000,558613000,555581000,578186000,861806000,1001039000,578321000,-112741000
95,Cash Used/Provided by Financing Activities,3499000,3300000,400000,9349000,-680000,-608000,2054000,1844000,44261000,-21340000,38162000,89941000,-4434000,-154012000,-78008000,-85028000,-82257000,-64140000,-87603000,-131353000,-155048000,-140600000,-259183000,-44374000,60929000,-112741000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-5000,- -,265000,-283000,2141000,2590000,-885000,3459000,-8599000,5338000,3092000,-418000,-92000,-9761000,-12806000,-6430000,6183000,2172000,749000,173000,223000,-6000
97,Net Change In Cash,2853000,3300000,400000,-14166000,5937000,37050000,-8546000,38127000,90424000,8127000,-56332000,-32414000,144580000,-57826000,15277000,-7002000,17473000,-20131000,-706000,14243000,6175000,50810000,-175383000,-649000,-4939000,-8761000
98,Cash at the End of Period,3422000,- -,- -,2204000,8141000,45191000,36645000,74772000,165196000,173323000,116991000,82076000,226206000,168380000,183657000,176655000,194128000,173997000,173291000,187534000,193709000,244519000,69136000,68487000,63548000,54787000
99,Cash at the Beginning of Period,569000,3400000,900000,16370000,2204000,8141000,45191000,36645000,74772000,165196000,173323000,114490000,81626000,226206000,168380000,183657000,176655000,194128000,173997000,173291000,187534000,193709000,244519000,69136000,68487000,63548000
100,Free Cash Flow,-646000,-5900000,15200000,-23515000,6622000,37658000,-10865000,36566000,151435000,26667000,-19457000,-200989000,166685000,92960000,90566000,76339000,114860000,100864000,89198000,140505000,164608000,155726000,68800000,43449000,-66302000,133276000
