,https://roic.ai/company/WBA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,826100000,957800000,1123600000,1249700000,1341900000,1477300000,1667000000,1830900000,2034300000,2283000000,2524200000,2806800000,3137000000,3521000000,4054900000,4747000000,5175800000,5980800000,6950900000,8055100000,9363800000,10467100000,12093200000,13202500000,14366000000,15518000000,16127000000,16878000000,17543000000,17992000000,22571000000,23910000000,23740000000,24569000000,25242000000,27045000000,24586000000
11,COGS and Expenses,2984100000,3464000000,4070900000,4659300000,5126600000,5763300000,6411800000,7116500000,7888600000,8779300000,9875000000,11174300000,12655000000,14472000000,16823400000,19982800000,23224700000,27056900000,30657100000,35365500000,39777600000,44707500000,50611300000,55593600000,60088000000,63962000000,67819000000,68169000000,68641000000,72815000000,99091000000,111387000000,112792000000,125314000000,132032000000,138565000000,129028000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000000,85000000,71000000,88000000,165000000,156000000,605000000,596000000,693000000,616000000,704000000,639000000,905000000
14,Depreciation and Amortization,- -,- -,- -,- -,63800000,70400000,84300000,92100000,104700000,118100000,131500000,147300000,164000000,189000000,210100000,230100000,269200000,307300000,346100000,403100000,482100000,572200000,675900000,840000000,975000000,1030000000,1086000000,1166000000,1283000000,1316000000,1742000000,1718000000,1654000000,1770000000,2038000000,1927000000,1973000000
15,EBITDA,173700000,187600000,194100000,209000000,307600000,351300000,396300000,445100000,480800000,576500000,655300000,754200000,876000000,1040000000,1237400000,1493400000,1691900000,1944600000,2234800000,2579400000,2937700000,3326300000,3865000000,4269900000,4222000000,4488000000,5451000000,4630000000,5343000000,4930000000,7623000000,7484000000,7185000000,8408000000,7312000000,3382000000,6087000000
16,EBITDA ratio,0.0549,0.0512,0.0453,0.0428,0.0572,0.0581,0.0589,0.0595,0.0580,0.0624,0.0630,0.0640,0.0656,0.0679,0.0694,0.0704,0.0687,0.0678,0.0688,0.0688,0.0696,0.0702,0.0719,0.0723,0.0667,0.0666,0.0755,0.0646,0.0740,0.0645,0.0737,0.0638,0.0608,0.0639,0.0534,0.0242,0.0459
17,Operating Income,177800000,196600000,210700000,224200000,253500000,284200000,321200000,358500000,406200000,455700000,520100000,604100000,708000000,835000000,1015400000,1224100000,1398300000,1624200000,1848300000,2142700000,2424000000,2701500000,3150700000,3440700000,3247000000,3458000000,4365000000,3464000000,3940000000,4194000000,4668000000,6001000000,5557000000,6414000000,4998000000,1312000000,2342000000
18,Operating Income ratio,0.0562,0.0537,0.0492,0.0459,0.0471,0.0470,0.0477,0.0480,0.0490,0.0493,0.0500,0.0513,0.0530,0.0546,0.0569,0.0577,0.0568,0.0566,0.0569,0.0571,0.0574,0.0570,0.0586,0.0583,0.0513,0.0513,0.0605,0.0484,0.0546,0.0549,0.0451,0.0511,0.0470,0.0488,0.0365,0.0094,0.0177
19,Total Other Income Expenses (Gains),-4100000,-9000000,-16600000,-15200000,-9700000,-3300000,-9200000,-5500000,-6500000,2700000,3700000,2800000,4000000,42000000,11900000,39200000,24400000,13100000,40400000,33600000,31600000,52600000,38400000,-10800000,-83000000,-85000000,-71000000,-88000000,-45000000,-637000000,643000000,-857000000,-704000000,-439000000,-471000000,-569000000,-347000000
20,Income Before Tax,173700000,187600000,194100000,209000000,243800000,280900000,312000000,353000000,399700000,458400000,523800000,606900000,712000000,877000000,1027300000,1263300000,1422700000,1637300000,1888700000,2176300000,2455600000,2754100000,3189100000,3429900000,3164000000,3373000000,4294000000,3376000000,3895000000,3557000000,5311000000,5144000000,4853000000,5975000000,4527000000,743000000,1995000000
21,Income Before Tax Ratio,0.0549,0.0512,0.0453,0.0428,0.0453,0.0464,0.0463,0.0472,0.0482,0.0496,0.0504,0.0515,0.0533,0.0573,0.0576,0.0596,0.0578,0.0571,0.0581,0.0580,0.0582,0.0581,0.0593,0.0581,0.0500,0.0500,0.0595,0.0471,0.0539,0.0466,0.0513,0.0438,0.0411,0.0454,0.0331,0.0053,0.0151
22,Income Tax expense (Gain),79500000,84500000,90600000,79900000,89600000,106300000,117000000,132400000,154400000,176500000,203000000,235200000,276000000,340000000,403200000,486400000,537100000,618100000,713000000,816100000,896100000,1003500000,1147800000,1273200000,1158000000,1282000000,1580000000,1249000000,1445000000,1526000000,1056000000,997000000,760000000,998000000,588000000,360000000,667000000
23,Net Income,94200000,103100000,103500000,129100000,154200000,174600000,195000000,220600000,221700000,281900000,320800000,371700000,436000000,511000000,624100000,776900000,885600000,1019200000,1175700000,1360200000,1559500000,1750600000,2041300000,2156700000,2006000000,2091000000,2714000000,2127000000,2450000000,1932000000,4220000000,4173000000,4078000000,5024000000,3982000000,456000000,2542000000
24,Net Income ratio,0.0298,0.0282,0.0242,0.0264,0.0287,0.0289,0.0290,0.0295,0.0267,0.0305,0.0309,0.0316,0.0326,0.0334,0.0350,0.0366,0.0360,0.0355,0.0362,0.0363,0.0370,0.0369,0.0380,0.0365,0.0317,0.0310,0.0376,0.0297,0.0339,0.0253,0.0408,0.0356,0.0345,0.0382,0.0291,0.0033,0.0192
25,EPS,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0.28,0.33,0.38,0.44,0.52,0.62,0.77,0.87,1.00,1.15,1.33,1.53,1.73,2.04,2.18,2.03,2.13,2.97,2.43,2.59,2.03,4.05,3.85,3.80,5.07,4.32,0.52,2.94
26,EPS Diluted,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0.28,0.33,0.38,0.44,0.51,0.62,0.76,0.86,0.99,1.14,1.32,1.52,1.72,2.03,2.17,2.02,2.12,2.94,2.42,2.56,2.00,4.00,3.82,3.78,5.05,4.31,0.52,2.93
27,Weighted Average Shares Outstanding,982368000,983920000,984064000,984224000,984272000,984384000,984568000,984568000,984568000,989122807,987076923,991200000,990909091,992169240,1000363234,1007393572,1016197785,1022554460,1024908276,1024512865,1019669630,1010252562,998633559,990609865,990000000,981700000,915100000,874700000,946000000,953100000,1043200000,1083100000,1073500000,991000000,921500000,879400000,864800000
28,Weighted Average Shares Outstanding Diluted,982368000,983920000,984064000,984224000,984272000,984384000,984568000,984568000,984568000,989122807,987076923,991200000,990909091,1005692912,1014281715,1019888808,1028946613,1032270946,1031580327,1031798418,1028333842,1019400724,1006340068,995543546,991300000,987900000,924500000,880100000,955200000,965200000,1053900000,1091100000,1078500000,995000000,923500000,880300000,866400000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1618921/000114036115038791/0001140361-15-038791-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000114036116083198/0001140361-16-083198-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892117000069/0001618921-17-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000162828018012472/0001628280-18-012472-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000069/0001618921-19-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892120000082/0001618921-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892121000129/0001618921-21-000129-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1017100000,1695500000,576800000,919900000,254800000,442700000,2087000000,1880000000,1556000000,1297000000,2106000000,2646000000,3000000000,9807000000,3301000000,785000000,1023000000,516000000,1193000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,494800000,415100000,- -,- -,500000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1017100000,1695500000,1071600000,1335000000,254800000,442700000,2587000000,1880000000,1556000000,1297000000,2106000000,2646000000,3000000000,9807000000,3301000000,785000000,1023000000,516000000,1193000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1017800000,1169100000,1396300000,2062700000,2236500000,2527100000,2496000000,2450000000,2497000000,2167000000,2632000000,3218000000,6849000000,6260000000,6528000000,6573000000,7226000000,7132000000,5663000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4202700000,4738600000,5592700000,6050400000,6790500000,7249000000,6789000000,7378000000,8044000000,7036000000,6852000000,6076000000,8678000000,8956000000,8899000000,9565000000,9333000000,9451000000,8159000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120500000,161200000,255900000,257300000,228700000,214600000,177000000,214000000,225000000,260000000,284000000,302000000,1130000000,860000000,1025000000,923000000,1118000000,974000000,799000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6358100000,7764400000,8316500000,9705400000,9510500000,10433400000,12049000000,11922000000,12322000000,10760000000,11874000000,12242000000,19657000000,25883000000,19753000000,17846000000,18700000000,18073000000,15814000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4940000000,5446400000,6165000000,6948900000,8199900000,9775500000,10802000000,11184000000,11526000000,12038000000,12138000000,12257000000,15068000000,14335000000,13642000000,13911000000,13479000000,35065000000,34141000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1060200000,1437600000,1461000000,1887000000,2017000000,2161000000,2410000000,2359000000,16372000000,15527000000,15632000000,16914000000,16560000000,15268000000,12421000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1114000000,1212000000,1286000000,1307000000,1180000000,12351000000,10302000000,10156000000,11783000000,10876000000,10753000000,9937000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1060200000,1437600000,1461000000,3001000000,3229000000,3447000000,3717000000,3539000000,28723000000,25829000000,25788000000,28697000000,27436000000,26021000000,22358000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6140000000,6261000000,8135000000,2389000000,6174000000,6320000000,6610000000,6851000000,7338000000,6987000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107800000,131300000,127300000,476800000,543000000,763700000,830000000,168000000,377000000,1077000000,1491000000,1009000000,2945000000,467000000,506000000,1060000000,1132000000,677000000,1985000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5047800000,5577700000,6292300000,7425700000,9803100000,11976800000,13093000000,14353000000,15132000000,22702000000,23607000000,24940000000,49125000000,46805000000,46256000000,50278000000,48898000000,69101000000,65471000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11405900000,13342100000,14608800000,17131100000,19313600000,22410200000,25142000000,26275000000,27454000000,33462000000,35481000000,37182000000,68782000000,72688000000,66009000000,68124000000,67598000000,87174000000,81285000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2077000000,2641500000,2918200000,4039200000,3733300000,4289400000,4308000000,4585000000,4810000000,4384000000,4635000000,4315000000,10088000000,11000000000,12494000000,13566000000,14341000000,14458000000,11136000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,878500000,82700000,15000000,12000000,13000000,1319000000,570000000,774000000,1068000000,323000000,251000000,1966000000,5738000000,5965000000,3565000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,73000000,674000000,- -,521000000,482000000,176000000,206000000,329000000,273000000,216000000,110000000,94000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1498000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1343500000,1436400000,1562800000,1716100000,2132500000,2271800000,2446000000,2836000000,3260000000,3019000000,3678000000,3806000000,5401000000,5690000000,5802000000,6135000000,5690000000,5149000000,7353000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3420500000,4077900000,4481000000,5755300000,6744300000,6643900000,6769000000,7433000000,8083000000,8722000000,8883000000,8895000000,16557000000,17013000000,18547000000,21667000000,25769000000,27070000000,22054000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1337200000,2336000000,2389000000,2396000000,4073000000,4477000000,3736000000,13315000000,18705000000,12684000000,12431000000,11098000000,12203000000,29828000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228000000,327600000,240400000,141100000,158200000,149500000,265000000,318000000,343000000,545000000,600000000,1048000000,3538000000,2644000000,2281000000,1815000000,1785000000,1498000000,1850000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,561700000,708600000,997700000,1118900000,1306800000,1410200000,1396000000,1735000000,1785000000,1886000000,2067000000,2942000000,4072000000,4045000000,4223000000,5522000000,4794000000,25267000000,3731000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,789700000,1036200000,1238100000,1260000000,1465000000,2896900000,3997000000,4442000000,4524000000,6504000000,7144000000,7726000000,20925000000,25394000000,19188000000,19768000000,17677000000,38968000000,35409000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24399000000,24412000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4210200000,5114100000,5719100000,7015300000,8209300000,9540800000,10766000000,11875000000,12607000000,15226000000,16027000000,16621000000,37482000000,42407000000,37735000000,41435000000,43446000000,66038000000,57463000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80100000,80100000,80100000,80100000,80100000,80000000,80000000,80000000,80000000,80000000,80000000,80000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6417800000,7591600000,8836300000,10311700000,12026800000,13792000000,15327000000,16848000000,18877000000,20156000000,21523000000,22229000000,25089000000,27684000000,30137000000,33551000000,35815000000,34210000000,35121000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1422300000,-1647900000,-76800000,-70300000,-55500000,-26600000,37000000,-24000000,16000000,68000000,-98000000,178000000,-214000000,-2992000000,-3051000000,-3002000000,-3897000000,-3771000000,-2109000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2120100000,2204200000,50100000,-205700000,-947100000,-976000000,-1068000000,-2504000000,-4126000000,-2068000000,-2051000000,-2030000000,5974000000,5176000000,368000000,-4554000000,-8418000000,-9814000000,-9605000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7195700000,8228000000,8889700000,10115800000,11104300000,12869400000,14376000000,14400000000,14847000000,18236000000,19454000000,20457000000,30861000000,29880000000,27466000000,26007000000,23512000000,20637000000,23419000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11405900000,13342100000,14608800000,17131100000,19313600000,22410200000,25142000000,26275000000,27454000000,33462000000,35481000000,37078000000,68343000000,72287000000,65201000000,67442000000,66958000000,86675000000,80882000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104000000,439000000,401000000,808000000,682000000,640000000,499000000,403000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11405900000,13342100000,14608800000,17131100000,19313600000,22410200000,25142000000,26275000000,27454000000,33462000000,35481000000,37182000000,68782000000,72688000000,66009000000,68124000000,67598000000,87174000000,81285000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1618921/000114036115038791/0001140361-15-038791-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000114036116083198/0001140361-16-083198-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892117000069/0001618921-17-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000162828018012472/0001628280-18-012472-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000069/0001618921-19-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892120000082/0001618921-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892121000129/0001618921-21-000129-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,154200000,174600000,195000000,220600000,221700000,281900000,320800000,371700000,436000000,511000000,624100000,776900000,885600000,1019200000,1175700000,1360200000,1559500000,1750600000,2041300000,2156700000,2006000000,2091000000,2714000000,2127000000,2450000000,1932000000,4220000000,4173000000,4078000000,5024000000,3982000000,456000000,2542000000
74,Depreciation and Amortization,- -,- -,- -,- -,63800000,70400000,84300000,92100000,104700000,118100000,131500000,147300000,164000000,189000000,210100000,230100000,269200000,307300000,346100000,403100000,482100000,572200000,675900000,840000000,975000000,1030000000,1086000000,1166000000,1283000000,1316000000,1742000000,1718000000,1654000000,1770000000,2038000000,1927000000,1973000000
75,Deferred Income Tax,- -,- -,- -,- -,17100000,23300000,19200000,22800000,-12600000,5700000,-7200000,3000000,8000000,-1000000,-9400000,21000000,46900000,22900000,58900000,72200000,-70800000,-104000000,23200000,-60500000,260000000,63000000,132000000,265000000,148000000,177000000,-32000000,-442000000,-434000000,-322000000,100000000,-43000000,233000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84000000,84000000,135000000,99000000,104000000,114000000,109000000,115000000,91000000,130000000,119000000,137000000,155000000
77,Change in Working Capital,- -,- -,- -,- -,-96900000,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,-2800000,37500000,-14300000,2920200000,748900000,149000000,114600000,-1183900000,1023300000,1490500000,-791000000,-250000000,-2201000000,953000000,356000000,-247000000,5770000000,-7664000000,-5027000000,-3248000000,-1928000000,2757000000,2107000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,124000000,-243000000,394000000,-449000000,-616000000,-338000000,115000000,-153000000,-391000000,-789000000,163000000,-1451000000
79,Inventory,- -,- -,- -,- -,-115300000,-138200000,-124300000,-117100000,-99900000,-169400000,-190500000,-178100000,-101000000,-299000000,-435700000,-368200000,-651600000,-162800000,-557500000,-536000000,-854000000,-375700000,-676200000,-412200000,533000000,-307000000,-592000000,1083000000,321000000,860000000,719000000,-644000000,98000000,331000000,141000000,63000000,165000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,167000000,384000000,-439000000,182000000,-339000000,268000000,1572000000,1690000000,1323000000,954000000,-25000000,842000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,-5800000,31700000,17400000,2937600000,3686500000,3835500000,3950100000,2766200000,3789500000,5280000000,4489000000,4239000000,2038000000,2991000000,3347000000,3100000000,8870000000,1206000000,-3821000000,-7069000000,-8997000000,-6240000000,-4133000000
82,Other Non-Cash Items,- -,- -,- -,- -,45200000,-29200000,-86100000,2400000,-6900000,-50300000,-100100000,-110700000,42000000,-125000000,-196800000,-93800000,-468200000,-2795800000,-838100000,-331800000,-714200000,1404700000,-1407000000,-1387700000,1577000000,726000000,1777000000,-179000000,-40000000,601000000,-6145000000,9947000000,6889000000,4911000000,1283000000,250000000,-1455000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,183400000,239100000,212400000,337900000,306900000,355400000,345000000,411300000,650000000,571000000,625200000,971700000,719200000,1473800000,1491500000,1652700000,1371200000,2439600000,2356700000,3039000000,4111000000,3744000000,3643000000,4431000000,4301000000,3893000000,5664000000,7847000000,7251000000,8265000000,5594000000,5484000000,5555000000
