,https://roic.ai/company/RLGT,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.00,-0.01,0.00,0.00,0.04,-0.28,0.06,0.09,0.05,0.10,0.11,0.10,-0.11,0.06,0.16,0.27,0.21,0.45
27,Weighted Average Shares Outstanding,25938245,26490427,33185665000,33885872,34126972,34678755,32548492,30424020,32260375,33120767,33716367,36446778,48413361,48840797,49239870,49497007,49600506,49890945
28,Weighted Average Shares Outstanding Diluted,25938245,26490427,34584836000,33885872,34358746,34678755,32720019,32021404,35113021,35690119,35458401,38021511,48413361,49993595,50634671,51082652,51091799,51208295
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1171155/000114420406043594/0001144204-06-043594-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420407051947/0001144204-07-051947-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420408055182/0001144204-08-055182-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420409051414/0001144204-09-051414-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420410050908/0001144204-10-050908-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420411057029/0001144204-11-057029-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420412053025/0001144204-12-053025-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000119312513383579/0001193125-13-383579-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459014004139/0001564590-14-004139-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459015008176/0001564590-15-008176-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459016025164/0001564590-16-025164-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459017018600/0001564590-17-018600-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459018023101/0001564590-18-023101-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459019034613/0001564590-19-034613-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459020044824/0001564590-20-044824-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000095017021001831/0000950170-21-001831-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,19487,5266451,500000,719575,392223,890572,682108,434185,66888,1024192,2880205,7268144,4768000,5808000,6992000,5420000,34841000,13696000
32,Short-Term Investments,- -,- -,40000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,19487,5266451,40500000,719575,392223,890572,682108,434185,66888,1024192,2880205,7268144,4768000,5808000,6992000,5420000,34841000,13696000
34,Net Receivables,- -,- -,8500000,15105710,14472369,17888675,21650412,41739826,52050598,52459585,68089128,131561465,103195000,117010000,139683000,111406000,88930000,145102000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,25055,-39600000,293984,717745,1268430,1506639,2903350,3269010,3386468,3851639,7649305,5410000,6902000,6599000,8066000,16817000,17512000
37,Total Current Assets,19487,5291506,9400000,16119269,15582337,20047677,23839159,45077361,55386496,56870245,74820972,146478914,113373000,129720000,153274000,124892000,140588000,176310000
38,PP&E,- -,- -,300000,844919,717542,760507,881416,1428063,1735157,1289818,1265107,13175890,12453000,15227000,18566000,20127000,31292000,63173000
39,Goodwill,- -,- -,4700000,5532223,7824654,337000,982788,6650008,14951217,15952544,28247003,63089222,62888000,66779000,65389000,65389000,72199000,72582000
40,Intangible Assets,- -,- -,2400000,1789773,1242413,3179043,2019757,2879846,11722812,9231163,15041988,82954682,71941000,74729000,65264000,55742000,51192000,41404000
41,Intangible Assets,- -,- -,7100000,7321996,9067067,3516043,3002545,9529854,26674029,25183707,43288991,146043904,134829000,141508000,130653000,121131000,123391000,113986000
42,Investments,- -,- -,- -,- -,40000,40000,40000,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,800000,- -,- -,- -,106023,- -,33259,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,15907,-600000,738153,196280,399606,342276,545274,674457,409046,639163,3007492,2814000,3085000,2945000,1560000,4769000,3772000
45,Total Non-Current Assets,- -,15907,7600000,8905068,10020889,4716156,4372260,11543191,29116902,26882571,45193261,162227286,150096000,159820000,152164000,142818000,159452000,180931000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19487,5307413,17000000,25024337,25603226,24763833,28211419,56620552,84503398,83752816,120014233,308706200,263469000,289540000,305438000,267710000,300040000,357241000
48,Accounts Payable,- -,148388,4100000,11619579,11051690,16726353,18727522,34900824,40827753,35767785,48299922,92735266,75071000,85490000,90153000,74097000,65003000,87941000
49,Short-Term Debt,- -,- -,- -,800000,113306,- -,- -,- -,- -,767091,- -,543086,2416000,3382000,3726000,4088000,10609000,12178000
50,Tax Payable,- -,- -,1093996000,- -,498142,- -,76309,333999,- -,361571,436328,- -,- -,- -,- -,- -,- -,2713000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2000,- -,3300000,2920198,719950,472202,615163,2462620,4770212,9234958,10384240,19607458,19024000,21104000,22366000,20237000,18104000,26238000
53,Total Current Liabilities,2000,148388,7400000,15339777,11884946,17198555,19342685,37363444,45597965,45769834,58684162,112885810,96511000,109976000,116245000,98422000,93716000,126357000
54,Long-Term Debt,50000,- -,2500000,1974214,4272032,7869110,7641021,11869268,20532934,17213424,7243371,85892515,28903000,37040000,43197000,32500000,57759000,60708000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,680521,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,608523,422419,352387,- -,485907,- -,73433,2774506,17544417,12525000,10826000,8665000,7838000,7484000,4021000
57,Other Non-Current Liabilities,- -,- -,800000,- -,- -,- -,439905,752201,6289887,4811364,10387360,7890484,6349000,8233000,3717000,1670000,2906000,4752000
58,Total Non-Current Liabilities,50000,- -,3300000,2582737,4694451,8221497,8080926,13107376,27503342,22098221,20405237,111327416,47777000,56099000,55579000,42008000,68149000,69481000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16477000,44440000
61,Total Liabilities,52000,148388,10700000,17922514,16579397,25420052,27423611,50470820,73101307,67868055,79089399,224213226,144288000,166075000,171824000,140430000,161865000,195838000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,839,839,1000,1000,1000,- -,- -,- -
63,Common Stock,7418,12590,15067000,15417,16116,16157,16157,18051,14481,14803,15781,24018,30000,30000,31000,31000,32000,32000
64,Retained Earnings,-193238,-342272,-300000,-108850,1304055,-8425491,-6466946,-3615322,-1713928,1943530,6317473,10146282,4581000,7397000,15539000,26883000,37424000,60367000
65,Other Comprehensive Income/Loss,- -,- -,-100000,-258806,-655362,-1132549,-1574380,-1930032,-2327547,-2478808,-2898429,-394547,98000,65000,186000,187000,445000,1141000
66,Other Total Stockholders Equity,153307,5488707,- -,7396580,8359020,8883757,8746429,11583278,15331534,16337713,37448005,74654794,114391000,115919000,117715000,99933000,99465000,99570000
67,Total Stockholders Equity,-32513,5159025,6300000,7044341,9023829,-658126,721260,6055975,11304540,15817238,40883669,84431386,119101000,123412000,133472000,127034000,137366000,161110000
68,Total Liabilities And Stockholders Equity,19487,5307413,17000000,24966855,25603226,24761926,28144871,56526795,84405847,83685293,119973068,308644612,263389000,289487000,305296000,267464000,299231000,356948000
69,Minority Interest,- -,- -,- -,57482,- -,1907,66548,93757,97551,67523,41165,61588,80000,53000,142000,246000,809000,293000
70,Total Liabilities & Equity,19487,5307413,17000000,25024337,25603226,24763833,28211419,56620552,84503398,83752816,120014233,308706200,263469000,289540000,305438000,267710000,300040000,357241000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1171155/000114420406043594/0001144204-06-043594-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420407051947/0001144204-07-051947-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420408055182/0001144204-08-055182-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420409051414/0001144204-09-051414-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420410050908/0001144204-10-050908-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420411057029/0001144204-11-057029-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420412053025/0001144204-12-053025-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000119312513383579/0001193125-13-383579-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459014004139/0001564590-14-004139-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459015008176/0001564590-15-008176-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459016025164/0001564590-16-025164-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459017018600/0001564590-17-018600-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459018023101/0001564590-18-023101-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459019034613/0001564590-19-034613-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459020044824/0001564590-20-044824-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000095017021001831/0000950170-21-001831-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-25293,-149034,100000,162736,1412905,-9729546,1958545,2851624,1901394,3657458,5118313,5874359,-3519000,4862000,10188000,16346000,10541000,22943000
74,Depreciation and Amortization,- -,- -,310000,-841873,943917,1743159,1598195,1325289,3142849,3943795,4532135,6358847,12033000,12349000,14389000,15209000,16571000,16642000
75,Deferred Income Tax,- -,- -,- -,-165260,-243536,-1421657,-433125,-108647,-61320,-300269,-439971,-1756025,-3134000,-1713000,-2199000,-674000,-411000,-3392000
76,Stock Based Compensation,- -,- -,85619000,- -,204062,173759,218781,115346,225991,369351,666098,1115360,1407000,1304000,1514000,1612000,1663000,1071000
77,Change in Working Capital,-7150,5125631,-3143118,-1220508,2917899,-848269,1647352,3217443,2074614,1311880,5036399,17456294,-16731104,2882000,17285000,-10559000,20402000,3081000
78,Accounts Receivable,- -,- -,225271000,-6640739,405389,7669229,-4038459,-5372281,-10081398,-484383,-12170038,-3289498,25684000,-15102000,-21799000,11627000,20605000,-43495000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-7150,146387,-2590831000,7309007,- -,- -,- -,- -,- -,-4044136,10936833,779036,-16369000,10411000,3486000,-12090000,-9618000,24078000
81,Other Working Capital,17487,5143118,2000000,779492,3697391,2849122,4496474,7713917,9788531,11100411,16136810,33593104,16862000,19744000,37029000,26470000,46872000,49953000
82,Other Non-Cash Items,1200,-4941160,-83865882,3324468,-5915601,13851690,-2175798,-4469301,-5492021,-6083579,-7979280,-26998120,31365104,-4833000,-36416000,17879000,-18886000,-26245000
83,Cash Provided by Operating Activities,-31243,35437,-980000,1259563,-680354,3769136,2813950,2931754,1791507,2898636,6933694,2050715,21421000,14851000,4761000,39813000,29880000,14100000
84,CAPEX,- -,- -,-100000,-524346,-245015,-230892,-559818,-380137,-701062,-323430,-237733,-4091898,-3697000,-4935000,-5737000,-6675000,-5175000,-11431000
85,Acquisitions Net,- -,- -,-7358588000,-242890,- -,-5493799,- -,-3428528,-10827107,-2208617,-8763831,-44031165,-1484000,-11565000,-1166000,- -,-9150000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-15907,7351478000,- -,-1486266,-1004924,-1382567,-1576494,- -,- -,- -,233150,810000,191000,134000,212000,182000,358000
89,Cash Used for Investing Activites,- -,-15907,-7210000,-767236,-1731281,-6729615,-1942385,-5385159,-11528169,-2532047,-9001564,-47889913,-4371000,-16309000,-6769000,-6201000,-14143000,-11073000
90,Debt Repayment,- -,- -,656813000,-295722,- -,- -,-228089,- -,-865817,-767092,-14400703,- -,-54227000,-2354000,-3446000,-11429000,-574386000,-26092000
91,Common Stock Issued,- -,5202525,1018506000,- -,- -,- -,- -,180500,- -,- -,- -,108610,38430000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,1020000,- -,- -,-138250,-797940,-471265,- -,- -,- -,- -,- -,-253000,- -,-20980000,-2496000,-1909000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-744370,-2045550,-2046000,-2046000,-2046000,-1303000,- -,- -
94,Other Financing Activites,- -,24909,-1672909000,12000,2084283,3597078,-54000,2496247,10235182,1357807,19068956,52558624,-1730000,7129000,6843000,-1371000,589171000,4252000
95,Cash Used/Provided by Financing Activities,- -,5227434,3430000,-283722,2084283,3458828,-1080029,2205482,9369365,590715,3923883,50621684,-19573000,2476000,1351000,-35083000,12289000,-23749000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-394547,23000,22000,1841000,-101000,1395000,-423000
97,Net Change In Cash,-31243,5246964,-4760000,208605,-327352,498349,-208464,-247923,-367297,957304,1856013,4387939,-2500000,1040000,1184000,-1572000,29421000,-21145000
98,Cash at the End of Period,19487,5266451,540000,719575,392223,890572,682108,434185,66888,1024192,2880205,7268144,4768000,5808000,6992000,5420000,34841000,13696000
99,Cash at the Beginning of Period,50730,19487,5300000,510970,719575,392223,890572,682108,434185,66888,1024192,2880205,7268000,4768000,5808000,6992000,5420000,34841000
100,Free Cash Flow,-31243,35437,-1080000,735217,-925369,3538244,2254132,2551617,1090445,2575206,6695961,-2041183,17724000,9916000,-976000,33138000,24705000,2669000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1171155/000114420406043594/0001144204-06-043594-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420407051947/0001144204-07-051947-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420408055182/0001144204-08-055182-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420409051414/0001144204-09-051414-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420410050908/0001144204-10-050908-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420411057029/0001144204-11-057029-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000114420412053025/0001144204-12-053025-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000119312513383579/0001193125-13-383579-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459014004139/0001564590-14-004139-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459015008176/0001564590-15-008176-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459016025164/0001564590-16-025164-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459017018600/0001564590-17-018600-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459018023101/0001564590-18-023101-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459019034613/0001564590-19-034613-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000156459020044824/0001564590-20-044824-index.htm,https://www.sec.gov/Archives/edgar/data/1171155/000095017021001831/0000950170-21-001831-index.htm
102,false,,,,,,,,,,,,,,,,,,
