,https://roic.ai/company/PEGA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.2117,0.3612,0.0405,-0.3228,-0.0117,-0.2544,0.1467,0.1765,0.2198,0.1154,0.0452,0.0094,0.0614,0.0740,0.1796,-0.0184,0.0260,0.0670,0.1108,0.0813,0.0886,0.0469,0.0441,-0.0129,-0.1480,-0.1227,-0.1089
22,Income Tax expense (Gain),1800000,4600000,700000,-6400000,1500000,300000,1000000,1900000,4150000,3575000,-106000,-655000,3347000,4695000,15203000,-306000,705000,9077000,18350000,14739000,24183000,8216000,4166000,-22160000,-44413000,-63516000,-68947000
23,Net Income,2900000,7500000,1100000,-13100000,-2400000,-20856000,12534000,15297000,17681000,7554000,4718000,1842000,6595000,10977000,32212000,-5891000,10108000,21868000,38043000,33255000,36322000,26986000,32934000,10617000,-90433000,-61373000,-63040000
24,Net Income ratio,0.1306,0.2239,0.0248,-0.2169,-0.0313,-0.2581,0.1358,0.1570,0.1780,0.0783,0.0463,0.0146,0.0407,0.0519,0.1220,-0.0175,0.0243,0.0474,0.0747,0.0564,0.0532,0.0360,0.0392,0.0119,-0.0992,-0.0603,-0.0520
25,EPS,0.06,0.14,0.02,-0.23,-0.04,-0.35,0.19,0.23,0.26,0.10,0.07,0.03,0.09,0.15,0.45,-0.08,0.14,0.29,0.50,0.44,0.47,0.35,0.43,0.14,-1.14,-0.76,-0.77
26,EPS Diluted,0.06,0.14,0.02,-0.23,-0.04,-0.35,0.18,0.21,0.24,0.10,0.07,0.03,0.09,0.14,0.42,-0.08,0.13,0.28,0.49,0.42,0.46,0.34,0.40,0.13,-1.14,-0.76,-0.77
27,Weighted Average Shares Outstanding,48333333,52794000,56568000,57208000,57894000,58412000,65354000,67670000,69036000,71382000,71548000,70458000,71750000,72292000,72416000,74062000,74992000,75706000,75946000,76327000,76507000,76343000,77431000,78564000,79055000,80336000,81387000
28,Weighted Average Shares Outstanding Diluted,48333333,55384615,60536000,57208000,57894000,58412000,66868000,71960000,71514000,74086000,72924000,74268000,74866000,75210000,76226000,74062000,78808000,77718000,77974000,78531000,79043000,79732000,82832000,83064000,79055000,80336000,81387000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1013857/000102986997000410/0001029869-97-000410-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1013857/000092701603001028/0000927016-03-001028-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312504024129/0001193125-04-024129-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312505036360/0001193125-05-036360-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312506047234/d10k.htm,https://www.sec.gov/Archives/edgar/data/1013857/000119312507100183/d10k.htm,https://www.sec.gov/Archives/edgar/data/1013857/000119312508050901/d10k.htm,https://www.sec.gov/Archives/edgar/data/1013857/000119312509048654/0001193125-09-048654-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312510036506/0001193125-10-036506-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312511068758/d10k.htm,https://www.sec.gov/Archives/edgar/data/1013857/000119312512089352/0001193125-12-089352-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312513067337/0001193125-13-067337-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312514067420/d652619d10k.htm,https://www.sec.gov/Archives/edgar/data/1013857/000119312515065664/d835563d10k.htm,https://www.sec.gov/Archives/edgar/data/1013857/000119312516478369/0001193125-16-478369-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312517056299/0001193125-17-056299-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312518058491/0001193125-18-058491-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000101385719000005/0001013857-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000101385720000007/0001013857-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000101385721000032/0001013857-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1013857/000101385722000042/0001013857-22-000042-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,500000,24200000,52000000,24800000,30000000,17339000,33017000,57393000,67989000,20905000,21314000,26008000,26710000,36087000,63857000,71127000,60353000,77525000,80231000,114585000,93026000,70594000,162279000,114422000,68363000,171899000,159965000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,19946000,76455000,93421000,101750000,123271000,131142000,138796000,16124000,51079000,45460000,76461000,96631000,126052000,63167000,61469000,93001000,- -,293269000,202814000
33,Cash and Short-Term Investments,500000,24200000,52000000,24800000,30000000,17339000,33017000,57393000,87935000,97360000,114735000,127758000,149981000,167229000,202653000,87251000,111432000,122985000,156692000,211216000,219078000,133761000,223748000,207423000,68363000,465168000,362779000
34,Net Receivables,8900000,14600000,20300000,42300000,32800000,41416000,40951000,4897000,9602000,15528000,25486000,35304000,49134000,42801000,44442000,86904000,105838000,140327000,170302000,159346000,216616000,279183000,273993000,353528000,379939000,422982000,435122000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,400000,1200000,1500000,2400000,1700000,2297000,2286000,38271000,29292000,32594000,28490000,27536000,23211000,13947000,9146000,12845000,14691000,15698000,20223000,22518000,23171000,12188000,14559000,49684000,57308000,88760000,42317000
37,Total Current Assets,9800000,40000000,73800000,69500000,64500000,61052000,76254000,100561000,126829000,145482000,168711000,190598000,222326000,223977000,256241000,187000000,231961000,279010000,347217000,393080000,458865000,425132000,512300000,610635000,505610000,976910000,840218000
38,PP&E,2200000,3000000,5600000,10000000,8300000,6568000,3053000,1727000,992000,1586000,2792000,2453000,3613000,5723000,8931000,11010000,14458000,30827000,28957000,30156000,31319000,38281000,40359000,36635000,34283000,40398000,114358000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,3246000,- -,- -,- -,2346000,1933000,2141000,2391000,22618000,20451000,20451000,37463000,46860000,46776000,73164000,72952000,72858000,79039000,79231000,81923000
40,Intangible Assets,- -,- -,- -,- -,44600000,37401000,43155000,48667000,3075000,2725000,2375000,18512000,8836000,5892000,3312000,81907000,69369000,58232000,56574000,45664000,33418000,44191000,31899000,21235000,19717000,143759000,14063000
41,Intangible Assets,- -,- -,- -,- -,44600000,37401000,43155000,51913000,3075000,2725000,2375000,20858000,10769000,8033000,5703000,104525000,89820000,78683000,94037000,92524000,80194000,117355000,104851000,94093000,98756000,222990000,95986000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6599000,8117000,8710000,32729000,43286000,49292000,60925000,69258000,53350000,69898000,57127000,- -,- -,- -,180656000
44,Other Non-Current Assets,13900000,23900000,48100000,58600000,7600000,5472000,2610000,2025000,53832000,44462000,31485000,99000,- -,- -,- -,2217000,2186000,1680000,2526000,2783000,4030000,3990000,6969000,241190000,346163000,363964000,362313000
45,Total Non-Current Assets,16100000,26900000,53700000,68600000,60500000,49441000,48818000,55665000,57899000,48773000,36652000,23410000,20981000,21873000,23344000,150481000,149750000,160482000,186445000,194721000,168893000,229524000,209306000,371918000,479202000,627352000,753313000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,25900000,66900000,127500000,138100000,125000000,110493000,125072000,156226000,184728000,194255000,205363000,214008000,243307000,245850000,279585000,337481000,381711000,439492000,533662000,587801000,627758000,654656000,721606000,982553000,984812000,1604262000,1593531000
48,Accounts Payable,1700000,2700000,5400000,14800000,13600000,11917000,12840000,5220000,7784000,9502000,10769000,14474000,5670000,4726000,4791000,6286000,10899000,3330000,3745000,4752000,12675000,14414000,17370000,16487000,17475000,24028000,15281000
49,Short-Term Debt,- -,- -,- -,100000,200000,312000,81000,- -,- -,98000,103000,63000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6989000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,6176000,12145000,14180000,9114000,18749000,17062000,33178000,32231000,32870000,56903000,73840000,95546000,110882000,134672000,155873000,175647000,195073000,185145000,190080000,232865000,275844000
52,Other Current Liabilities,3700000,3000000,5700000,21800000,8800000,5065000,- -,7695000,8886000,7888000,8197000,11770000,23931000,27940000,30028000,51867000,57506000,56249000,72818000,90208000,98640000,97411000,111548000,130177000,170400000,203242000,187290000
53,Total Current Liabilities,5400000,5700000,11100000,36700000,22600000,17294000,19097000,25060000,30850000,26602000,37818000,43369000,62779000,64897000,67689000,115056000,142245000,155125000,187445000,229632000,267188000,287472000,323991000,331809000,377955000,460135000,485404000
54,Long-Term Debt,800000,- -,- -,200000,300000,84000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,577256000,678540000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17751000,15367000,18719000,34196000,20859000,15805000,10989000,6591000,- -,- -,- -,5655000
56,Deferred Tax Liabilities,4900000,8800000,3700000,800000,1000000,1000000,1000000,- -,625000,1480000,510000,2344000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6939000,- -,- -,- -
57,Other Non-Current Liabilities,100000,- -,- -,-100000,100000,52000,17000,239000,81000,973000,1234000,2137000,7584000,7839000,6677000,9004000,15343000,29169000,40233000,42605000,21906000,20306000,19946000,22274000,67847000,24699000,7844000
58,Total Non-Current Liabilities,5800000,8800000,3700000,900000,1400000,1136000,1017000,239000,706000,2453000,1744000,4481000,7584000,7839000,6677000,26755000,30710000,47888000,74429000,63464000,37711000,31295000,26537000,29213000,67847000,601955000,692039000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,165000,63000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52610000,59053000,94807000
61,Total Liabilities,11200000,14500000,14800000,37600000,24000000,18430000,20114000,25299000,31556000,29055000,39562000,47850000,70363000,72736000,74366000,141811000,172955000,203013000,261874000,293096000,304899000,318767000,350528000,361022000,445802000,1062090000,1177443000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,300000,326000,328000,343000,352000,361000,356000,353000,362000,358000,368000,372000,377000,379000,382000,764000,765000,766000,781000,785000,796000,809000,817000
64,Retained Earnings,14500000,22000000,23100000,10000000,9100000,-11777000,757000,16054000,33735000,41289000,46007000,46549000,47321000,53935000,81776000,71431000,77029000,94349000,127826000,153058000,180183000,198315000,221926000,510863000,410919000,339879000,276449000
65,Other Comprehensive Income/Loss,-1300000,-2500000,-4400000,-7600000,-12100000,-16381000,-12519000,-13852000,-14580000,-8230000,-8420000,1000000,2000000,1000000,2000000,1000000,2000000,3000000,4000000,-1000000,-4000000,-7000000,-7000000,-13000000,-13000000,-2948000,-6988000
66,Other Total Stockholders Equity,1500000,32900000,94000000,98100000,103700000,119895000,116392000,128382000,133665000,131780000,127858000,118256000,123261000,117821000,121075000,122867000,129350000,138751000,139580000,141883000,145911000,143808000,155371000,122883000,140295000,204432000,145810000
67,Total Stockholders Equity,14700000,52400000,112700000,100500000,101000000,92063000,104958000,130927000,153172000,165200000,165801000,166158000,172944000,173114000,205219000,195670000,208756000,236479000,271788000,294705000,322859000,335889000,371078000,621531000,539010000,542172000,416088000
68,Total Liabilities And Stockholders Equity,25900000,66900000,127500000,138100000,125000000,110493000,125072000,156226000,184728000,194255000,205363000,214008000,243307000,245850000,279585000,337481000,381711000,439492000,533662000,587801000,627758000,654656000,721606000,982553000,984812000,1604262000,1593531000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,25900000,66900000,127500000,138100000,125000000,110493000,125072000,156226000,184728000,194255000,205363000,214008000,243307000,245850000,279585000,337481000,381711000,439492000,533662000,587801000,627758000,654656000,721606000,982553000,984812000,1604262000,1593531000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1013857/000102986997000410/0001029869-97-000410-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1013857/000092701603001028/0000927016-03-001028-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312504024129/0001193125-04-024129-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312505036360/0001193125-05-036360-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312506047234/d10k.htm,https://www.sec.gov/Archives/edgar/data/1013857/000119312507100183/d10k.htm,https://www.sec.gov/Archives/edgar/data/1013857/000119312508050901/d10k.htm,https://www.sec.gov/Archives/edgar/data/1013857/000119312509048654/0001193125-09-048654-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312510036506/0001193125-10-036506-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312511068758/d10k.htm,https://www.sec.gov/Archives/edgar/data/1013857/000119312512089352/0001193125-12-089352-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312513067337/0001193125-13-067337-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312514067420/d652619d10k.htm,https://www.sec.gov/Archives/edgar/data/1013857/000119312515065664/d835563d10k.htm,https://www.sec.gov/Archives/edgar/data/1013857/000119312516478369/0001193125-16-478369-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312517056299/0001193125-17-056299-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000119312518058491/0001193125-18-058491-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000101385719000005/0001013857-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000101385720000007/0001013857-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1013857/000101385721000032/0001013857-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1013857/000101385722000042/0001013857-22-000042-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2900000,7500000,1100000,-13100000,-2400000,-20856000,12534000,15297000,17681000,7554000,4718000,1842000,6595000,10977000,32212000,-5891000,10108000,21868000,38043000,33255000,36322000,26986000,32934000,10617000,-90433000,-61373000,-63040000
74,Depreciation and Amortization,1500000,1600000,3200000,5600000,6800000,6631000,6228000,4992000,1496000,1417000,1725000,2284000,2192000,2153000,2801000,10838000,17073000,18566000,20035000,23352000,23093000,24137000,24713000,25295000,21396000,21348000,28593000
75,Deferred Income Tax,1800000,4000000,700000,-6600000,300000,- -,- -,559000,625000,1365000,-660000,-1656000,-163000,-3806000,1413000,-1574000,-15269000,-6164000,-7008000,-13896000,-2099000,-5810000,13795000,-30898000,-49317000,-59777000,-75336000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3532000,4673000,6745000,9028000,11506000,12869000,19205000,30054000,40821000,53313000,63862000,80909000,103068000,115947000
77,Change in Working Capital,-6000000,28400000,-29900000,9100000,1858000,13399000,18344000,20478000,22901000,12013000,16336000,12318000,-467000,29472000,-116608000,17772000,34169000,35887000,3676000,28229000,-54017000,50649000,90517000,-151171000,389120000,-88315000,-59532000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3121000,3405000,-23935000,-18504000,-35405000,-28316000,6209000,-62235000,-56730000,23814000,25779000,1088000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,34300000,62700000,32800000,41900000,43758000,57157000,75501000,95979000,118880000,130893000,147229000,159547000,159080000,188552000,71944000,89716000,123885000,159772000,163448000,191677000,137660000,188309000,278826000,127655000,516775000,428460000,-46058000
82,Other Non-Cash Items,600000,-44400000,14900000,-15000000,-258000,-10375000,-21213000,-14226000,-21700000,-14798000,3176000,5056000,17190000,-3929000,125090000,-9476000,-15294000,-38084000,13088000,9744000,29175000,-96909000,-57037000,186651000,-393840000,84486000,92486000
83,Cash Provided by Operating Activities,800000,-2900000,-10000000,-20000000,6300000,-11201000,15893000,27100000,21003000,7551000,25295000,19844000,25347000,38399000,49581000,18414000,39815000,43579000,80703000,99889000,62528000,39874000,158235000,104356000,-42165000,-563000,39118000
84,CAPEX,-1400000,-2000000,-4500000,-7500000,-2800000,-2626000,-561000,-1006000,-382000,-1109000,-2236000,-2434000,-2698000,-4050000,-6043000,-5748000,-9835000,-23610000,-5598000,-11463000,-11020000,-19088000,-13741000,-11893000,-10608000,-25369000,-10456000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-573000,- -,- -,- -,- -,- -,-798000,- -,-109478000,- -,- -,-25565000,-3918000,-1671000,-49113000,-297000,-800000,-10934000,- -,-4993000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-6053000,-46226000,-163777000,-44427000,-94012000,-109323000,-194474000,-79447000,-73619000,-57249000,-20204000,-60648000,-55520000,-75702000,-23969000,-27718000,-69494000,-11424000,-326549000,-79121000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,32324000,106603000,26475000,85675000,87174000,185558000,67327000,195686000,21696000,24576000,27814000,33244000,43941000,84998000,26997000,33991000,103040000,30235000,167073000
88,Other Investing Activites,- -,- -,-10000000,- -,200000,-354000,475000,157000,-34000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1400000,-2000000,-14500000,-7500000,-2600000,-2980000,-86000,-7475000,-14318000,-58283000,-20188000,-10771000,-24847000,-13764000,-18163000,6841000,-45388000,-19238000,-63997000,-37657000,-44452000,-7172000,-14759000,-48196000,70074000,-321683000,72503000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45000000,- -,- -
91,Common Stock Issued,- -,29400000,52600000,400000,1100000,1620000,361000,4434000,2954000,3549000,1849000,3700000,10915000,6720000,4473000,2268000,2622000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5877000,-6819000,-9135000,-19442000,-20922000,-15392000,-11097000,-9570000,-19791000,-21546000,-32601000,-43431000,-44952000,-92028000,-64772000,-100497000,-122636000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2122000,-4307000,-4368000,-4346000,-4441000,-4495000,-5680000,-3421000,-6874000,-9194000,-9174000,-9277000,-9432000,-9486000,-9628000,-9761000
94,Other Financing Activites,700000,-900000,- -,- -,100000,-54000,-315000,-81000,- -,-39000,-98000,339000,2276000,3736000,15746000,4314000,6658000,7159000,8645000,4388000,6411000,889000,- -,- -,45000000,533573000,10554000
95,Cash Used/Provided by Financing Activities,700000,28500000,52600000,400000,1200000,1566000,46000,4353000,2954000,3510000,-4126000,-4902000,-251000,-13354000,-5049000,-13251000,-6312000,-8091000,-14567000,-24032000,-35384000,-51716000,-54229000,-101460000,-74258000,423448000,-121843000
96,Effect of Forex Changes on Cash,100000,100000,-300000,-100000,300000,-50000,-175000,398000,957000,138000,-572000,523000,453000,-1904000,1401000,-4734000,1111000,922000,567000,-3846000,-4251000,-3418000,2438000,-2557000,290000,2334000,-1712000
97,Net Change In Cash,700000,28500000,52600000,400000,5200000,-12665000,15678000,24376000,10596000,-47084000,409000,4694000,702000,9377000,27770000,7270000,-10774000,17172000,2706000,34354000,-21559000,-22432000,91685000,-47857000,-46059000,103536000,-11934000
98,Cash at the End of Period,- -,- -,- -,- -,30000000,17339000,33017000,57393000,67989000,20905000,21314000,26008000,26710000,36087000,63857000,71127000,60353000,77525000,80231000,114585000,93026000,70594000,162279000,114422000,68363000,171899000,159965000
99,Cash at the Beginning of Period,500000,500000,24200000,52000000,24800000,30004000,17339000,33017000,57393000,67989000,20905000,21314000,26008000,26710000,36087000,63857000,71127000,60353000,77525000,80231000,114585000,93026000,70594000,162279000,114422000,68363000,171899000
100,Free Cash Flow,-600000,-4900000,-14500000,-27500000,3500000,-13827000,15332000,26094000,20621000,6442000,23059000,17410000,22649000,34349000,43538000,12666000,29980000,19969000,75105000,88426000,51508000,20786000,144494000,92463000,-52773000,-25932000,28662000
