,https://roic.ai/company/ATRO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,4100000,5600000,6000000,7000000,7700000,6800000,6500000,6300000,7000000,7400000,7700000,10600000,10300000,10900000,11100000,13838000,10874000,5611000,5494000,5477000,10246000,13582000,16408000,17419000,24114000,23224000,27175000,36817000,45553000,79680000,89141000,86328000,90516000,117033000,143358000,110528000,99051000
11,COGS and Expenses,11900000,14800000,16100000,21000000,23600000,21400000,22300000,20800000,20700000,22400000,25100000,35300000,35000000,39000000,43500000,62360000,74906000,36302000,31933000,35564000,70098000,101101000,133778000,160668000,178042000,171411000,194842000,233821000,297632000,573677000,593478000,559984000,577867000,739593000,759918000,516272000,478596000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190000,127000,29000,15000,50000,12000,22000,32000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),600000,1000000,- -,1200000,1500000,1300000,1400000,1100000,900000,500000,500000,800000,- -,400000,- -,678000,520000,223000,390000,409000,764000,911000,1420000,706000,2555000,2583000,1906000,- -,- -,- -,- -,- -,- -,- -,- -,6741000,6804000
14,Depreciation and Amortization,800000,1300000,1400000,1600000,1800000,1800000,1800000,1900000,2500000,2500000,2600000,2600000,2800000,3100000,3700000,4248000,4445000,1269000,1212000,1273000,2373000,2929000,3440000,4142000,7342000,4881000,4943000,6905000,11059000,27254000,25309000,25790000,27063000,35032000,33049000,31854000,29005000
15,EBITDA,2600000,4100000,1200000,2500000,500000,4000000,5300000,3600000,5600000,5000000,6100000,7500000,8400000,10200000,10600000,13856000,14916000,8413000,2982000,500000,7934000,12599000,27858000,17138000,2151000,29293000,35864000,38488000,49270000,106361000,119359000,94575000,52054000,87314000,101352000,-73815000,8849000
16,EBITDA ratio,0.1970,0.2398,0.0686,0.1142,0.0226,0.1695,0.2078,0.1519,0.2333,0.2008,0.2140,0.1953,0.2049,0.2213,0.2095,0.1925,0.1747,0.1959,0.0899,0.0144,0.1053,0.1137,0.1760,0.0987,0.0112,0.1496,0.1572,0.1444,0.1449,0.1609,0.1724,0.1494,0.0834,0.1087,0.1312,-0.1469,0.0199
17,Operating Income,1300000,2300000,1400000,900000,-1500000,2200000,3200000,2900000,3300000,2500000,3400000,3100000,6000000,7100000,7100000,9608000,10471000,6638000,1249000,-868000,5254000,9666000,24462000,13054000,-6222000,24343000,30821000,32625000,42305000,87362000,98801000,73139000,30360000,63663000,1701000,-100701000,-28674000
18,Operating Income ratio,0.0985,0.1345,0.0800,0.0411,-0.0679,0.0932,0.1255,0.1224,0.1375,0.1004,0.1193,0.0807,0.1463,0.1540,0.1403,0.1335,0.1226,0.1546,0.0376,-0.0250,0.0697,0.0873,0.1546,0.0751,-0.0325,0.1244,0.1351,0.1224,0.1244,0.1322,0.1427,0.1155,0.0486,0.0793,0.0022,-0.2004,-0.0644
19,Total Other Income Expenses (Gains),-100000,-500000,-1600000,- -,-1300000,-1300000,-1100000,-2200000,-800000,-500000,-400000,1000000,-400000,-400000,-200000,-678000,-520000,-223000,-200000,-314000,-457000,-907000,-1464000,-764000,-1524000,-2514000,-1806000,-1042000,-4094000,-8255000,-4751000,-4354000,-5369000,-11381000,66602000,-11709000,1714000
20,Income Before Tax,1200000,1800000,-200000,- -,-2800000,900000,2100000,700000,2500000,2000000,3000000,4100000,5600000,6700000,6900000,8930000,9951000,6415000,1049000,-1182000,4797000,8759000,22998000,12290000,-7746000,21829000,29015000,31583000,38211000,79107000,94050000,68785000,24991000,52282000,68303000,-112410000,-26960000
21,Income Before Tax Ratio,0.0909,0.1053,-0.0114,- -,-0.1267,0.0381,0.0824,0.0295,0.1042,0.0803,0.1053,0.1068,0.1366,0.1453,0.1364,0.1241,0.1166,0.1494,0.0316,-0.0341,0.0637,0.0791,0.1453,0.0707,-0.0405,0.1115,0.1272,0.1185,0.1124,0.1197,0.1359,0.1086,0.0400,0.0651,0.0884,-0.2237,-0.0606
22,Income Tax expense (Gain),400000,800000,100000,-300000,-800000,500000,900000,200000,1000000,700000,1200000,1400000,2000000,2400000,2100000,2835000,3453000,2368000,267000,-448000,2144000,3023000,7607000,3929000,-3944000,6881000,7424000,9709000,10945000,22937000,27076000,20361000,5312000,5479000,16286000,3371000,-1382000
23,Net Income,800000,1000000,-300000,- -,-2000000,400000,1200000,400000,1200000,1300000,1800000,2700000,3600000,4300000,4800000,6095000,6498000,4553000,1113000,-734000,2653000,5736000,15391000,8361000,-3802000,14948000,21591000,21874000,27266000,56170000,66974000,48424000,19679000,46803000,52017000,-115781000,-25578000
24,Net Income ratio,0.0606,0.0585,-0.0171,- -,-0.0905,0.0169,0.0471,0.0169,0.0500,0.0522,0.0632,0.0703,0.0878,0.0933,0.0949,0.0847,0.0761,0.1060,0.0335,-0.0212,0.0352,0.0518,0.0973,0.0481,-0.0199,0.0764,0.0946,0.0821,0.0802,0.0850,0.0967,0.0765,0.0315,0.0583,0.0673,-0.2304,-0.0575
25,EPS,0.08,0.08,-0.03,0.01,-0.18,0.03,0.11,0.03,0.10,0.11,0.16,0.18,0.30,0.41,0.41,0.50,0.42,0.30,0.07,-0.05,0.18,0.37,0.99,0.43,-0.18,0.21,1.02,1.01,1.03,1.70,1.99,1.44,0.60,1.45,1.62,-3.76,-0.82
26,EPS Diluted,0.08,0.08,-0.03,0.01,-0.18,0.03,0.11,0.03,0.10,0.11,0.14,0.18,0.29,0.38,0.38,0.48,0.41,0.29,0.07,-0.05,0.17,0.36,0.94,0.41,-0.18,0.20,0.95,0.95,0.98,1.63,1.93,1.40,0.58,1.41,1.60,-3.76,-0.82
27,Weighted Average Shares Outstanding,10264709,12028956,11547798,11306423,11321370,12830886,10497998,12830886,11547798,11372831,11390898,10777944,11808030,10610156,11816351,12093441,15439833,15373428,15300832,15696451,15017798,15332909,15590540,19702467,20657085,20987888,21223059,21751748,26592197,32996057,33677990,33546747,32798333,32277931,32109259,30792819,31061000
28,Weighted Average Shares Outstanding Diluted,10264709,12028956,11547798,11306423,11321370,12830886,10497998,12830886,11547798,11372831,12475746,11715157,12512987,11336879,12545755,12613589,16033673,15932461,15300832,15696451,15472882,15999557,16456681,20497340,20657085,22208339,22589941,23021044,27932281,34479076,34706367,34536800,33718000,33136000,32459000,30795000,31061000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8063/0000904802-96-000018-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8063/000089979703000139/form10_k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8063/000095015207002216/l24210ae10vk.htm,https://www.sec.gov/Archives/edgar/data/8063/000095015208001882/l29713ae10vk.htm,https://www.sec.gov/Archives/edgar/data/8063/000095015209002488/0000950152-09-002488-index.html,https://www.sec.gov/Archives/edgar/data/8063/000095012310019152/0000950123-10-019152-index.html,https://www.sec.gov/Archives/edgar/data/8063/000095012311021474/l41871e10vk.htm,https://www.sec.gov/Archives/edgar/data/8063/000119312512101055/0001193125-12-101055-index.html,https://www.sec.gov/Archives/edgar/data/8063/000119312513071168/0001193125-13-071168-index.html,https://www.sec.gov/Archives/edgar/data/8063/000119312514088997/d651807d10k.htm,https://www.sec.gov/Archives/edgar/data/8063/000119312515069887/d845354d10k.htm,https://www.sec.gov/Archives/edgar/data/8063/000162828016011645/0001628280-16-011645-index.html,https://www.sec.gov/Archives/edgar/data/8063/000000806317000004/0000008063-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/8063/000000806318000006/0000008063-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/8063/000000806319000009/0000008063-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/8063/000000806320000013/0000008063-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/8063/000000806321000007/0000008063-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/8063/000000806322000011/0000008063-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3500000,12200000,8300000,2100000,700000,1500000,3800000,4000000,3500000,3500000,800000,1100000,700000,500000,1200000,45000,9176000,7722000,11806000,8476000,4473000,222000,2818000,3038000,14949000,22709000,10919000,7380000,54635000,21197000,18561000,17901000,17914000,16622000,31906000,40412000,29757000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3500000,12200000,8300000,2100000,700000,1500000,3800000,4000000,3500000,3500000,800000,1100000,700000,500000,1200000,45000,9176000,7722000,11806000,9476000,4473000,222000,2818000,3038000,14949000,22709000,10919000,7380000,54635000,21197000,18561000,17901000,17914000,16622000,31906000,40412000,29757000
34,Net Receivables,1700000,2200000,2300000,2800000,2200000,2900000,2500000,2700000,2500000,3000000,4900000,3700000,4400000,5400000,6900000,12837000,11828000,9496000,4383000,5880000,12635000,17165000,20720000,22053000,30560000,30941000,35669000,45473000,60942000,88888000,95277000,109415000,132633000,182308000,147998000,93056000,107439000
35,Inventory,1800000,3000000,3300000,5700000,5800000,6100000,5800000,5400000,4900000,4200000,6300000,4900000,4800000,4900000,8700000,10521000,9012000,6139000,5707000,7110000,19013000,31570000,36920000,35586000,31909000,37763000,40094000,48624000,85269000,115053000,115467000,116597000,150196000,138685000,145787000,157059000,157576000
36,Other Current Assets,- -,200000,200000,300000,200000,300000,300000,200000,200000,600000,600000,600000,500000,1300000,400000,512000,564000,434000,1380000,2016000,1401000,2699000,3563000,6078000,5075000,5727000,5628000,6533000,10352000,20680000,20662000,11160000,14586000,36556000,17390000,26420000,-29757000
37,Total Current Assets,7000000,17600000,14100000,10900000,8900000,10800000,12400000,12300000,11100000,11300000,12600000,10300000,10400000,12100000,17200000,23915000,30580000,23791000,23276000,24482000,37522000,51656000,64021000,66755000,82493000,97140000,92310000,108010000,211198000,245818000,249967000,255073000,315329000,374171000,343081000,316947000,265015000
38,PP&E,10400000,10700000,10500000,12900000,12300000,11300000,10700000,10300000,11700000,11200000,16300000,17600000,18200000,25000000,36200000,36216000,33985000,15663000,15119000,15221000,20461000,23436000,30083000,29075000,31243000,30873000,41122000,53537000,70900000,116316000,124742000,122812000,125830000,120862000,136101000,125631000,95236000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2686000,2668000,3048000,2582000,7493000,7610000,17185000,21923000,100998000,100153000,115369000,115207000,125645000,124952000,144970000,58282000,58282000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2135000,2444000,2615000,3400000,2335000,2088000,1853000,5591000,5040000,14000000,16523000,102701000,94991000,108276000,98103000,153493000,133383000,127293000,109886000,94320000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2135000,2444000,2615000,6086000,5003000,5136000,4435000,13084000,12650000,31185000,38446000,203699000,195144000,223645000,213310000,279138000,258335000,272263000,168168000,152602000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1255000,1165000,488000,- -,622000,991000,1155000,8131000,6883000,7039000,9019000,- -,- -,- -,- -,- -,- -,- -,- -,1421000
44,Other Non-Current Assets,800000,2000000,2200000,3100000,2900000,2600000,2200000,2100000,2000000,1300000,1900000,2000000,1600000,6600000,6500000,6889000,6482000,24505000,3470000,2430000,1788000,1821000,3890000,3254000,3763000,3342000,3249000,2977000,5474000,5632000,10889000,13149000,15659000,21272000,31271000,8999000,-1421000
45,Total Non-Current Assets,11200000,12700000,12700000,16000000,15200000,13900000,12900000,12400000,13700000,12500000,18200000,19600000,19800000,31600000,42700000,43105000,40467000,43558000,22198000,20754000,28335000,30882000,40100000,37919000,56221000,53748000,82595000,103979000,280073000,317092000,359276000,349271000,420627000,400469000,439635000,302798000,247838000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,591961000
47,Total Assets,18200000,30300000,26800000,26900000,24100000,24700000,25300000,24700000,24800000,23800000,30800000,29900000,30200000,43700000,59900000,67020000,71047000,67349000,45474000,45236000,65857000,82538000,104121000,104674000,138714000,150888000,174905000,211989000,491271000,562910000,609243000,604344000,735956000,774640000,782716000,619745000,609138000
48,Accounts Payable,- -,- -,- -,- -,1900000,1700000,1200000,1500000,1300000,1600000,2500000,2500000,2600000,2900000,8600000,5583000,1147000,1939000,1617000,2551000,5421000,12472000,7667000,9900000,7405000,10583000,10559000,10592000,25255000,27903000,27138000,25070000,41846000,50664000,35842000,26446000,34860000
49,Short-Term Debt,400000,400000,400000,400000,400000,400000,400000,400000,2000000,2200000,2300000,2200000,1200000,400000,800000,1276000,- -,873000,896000,908000,7914000,9023000,8251000,920000,6238000,5314000,5290000,9268000,12279000,2796000,2579000,2636000,2689000,1870000,4741000,4998000,20334000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242000,- -,- -,- -,1318000,1900000,195000,62000,261000,312000,1080000,1017000,2621000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4952000,3853000,5796000,12474000,20747000,45052000,38757000,23168000,19607000,26880000,31360000,24571000,27356000
52,Other Current Liabilities,1300000,1800000,1200000,1900000,500000,1400000,1700000,1100000,1500000,1500000,1700000,2700000,2300000,2500000,2300000,3335000,7787000,3229000,1996000,2919000,10422000,12724000,16003000,12575000,11041000,11535000,11832000,15634000,26956000,33465000,35758000,35686000,38749000,48678000,48697000,37721000,-55194000
53,Total Current Liabilities,1700000,2200000,1600000,2300000,2800000,3500000,3300000,3000000,4800000,5300000,6500000,7400000,6100000,5800000,11700000,10194000,8934000,6041000,4509000,6378000,23757000,34219000,31921000,23395000,29636000,31285000,33477000,47968000,85237000,109216000,104232000,86560000,102891000,128092000,120640000,93736000,27356000
54,Long-Term Debt,8300000,18700000,15500000,15100000,14600000,13900000,13200000,12300000,9300000,7000000,11700000,5400000,3300000,12100000,16000000,17746000,15819000,13110000,12482000,11154000,10304000,9426000,14684000,13526000,38538000,33264000,27973000,20715000,188041000,180212000,167210000,145484000,269078000,232112000,188000000,173000000,163000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1421000
56,Deferred Tax Liabilities,900000,1200000,1200000,1400000,600000,800000,1100000,1300000,1400000,1200000,900000,500000,800000,1100000,1300000,1232000,1073000,- -,- -,- -,151000,- -,- -,- -,- -,- -,- -,- -,24230000,20939000,14967000,11297000,5121000,3199000,3922000,2909000,1421000
57,Other Non-Current Liabilities,- -,- -,100000,- -,- -,100000,-100000,-100000,-100000,- -,- -,1800000,1800000,2000000,3100000,3658000,4550000,5259000,5543000,5044000,5811000,7545000,8284000,9498000,10427000,9124000,10592000,18172000,22254000,24366000,22609000,23554000,28939000,24612000,81297000,79729000,68079000
58,Total Non-Current Liabilities,9200000,19900000,16800000,16500000,15200000,14800000,14200000,13500000,10600000,8200000,12600000,7700000,5900000,15200000,20400000,22636000,21442000,18369000,18025000,16198000,16266000,16971000,22968000,23024000,48965000,42388000,38565000,38887000,234525000,225517000,204786000,180335000,303138000,259923000,273219000,255638000,233921000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,559099000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25556000,21635000,- -
61,Total Liabilities,10900000,22100000,18400000,18800000,18000000,18300000,17500000,16500000,15400000,13500000,19100000,15100000,12000000,21000000,32100000,32830000,30376000,24410000,22534000,22576000,40023000,51190000,54889000,46419000,78601000,73673000,72042000,86855000,319762000,334733000,309018000,266895000,406029000,388015000,393859000,349374000,352534000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,66000,85000,85000,85000,85000,87000,88000,89000,112000,113000,114000,129000,145000,179000,219000,256000,297000,297000,343000,345000,347000,289000
64,Retained Earnings,5700000,6500000,6600000,6300000,4300000,4700000,5900000,6200000,7400000,8700000,10400000,13100000,16600000,20900000,25700000,31809000,38278000,42831000,22940000,22206000,24859000,30179000,45570000,53901000,50099000,65047000,86622000,106889000,134115000,190248000,257168000,305512000,325191000,376567000,428584000,312803000,287225000
65,Other Comprehensive Income/Loss,-2800000,-3900000,-5200000,-6500000,-7900000,-9400000,-10700000,-11900000,-13600000,-14100000,-14900000,-14100000,-16600000,-19100000,-19800000,-21231000,-25097000,-545000,365000,656000,799000,-704000,-541000,-1429000,-158000,-2000,-886000,-4783000,-3611000,-11949000,-15064000,-15494000,-13352000,-13329000,-15628000,-16450000,-14495000
66,Other Total Stockholders Equity,4400000,5600000,7000000,8300000,9700000,11100000,12600000,13900000,15600000,15700000,16200000,15800000,18200000,20900000,21800000,23546000,27405000,568000,- -,- -,- -,1785000,4114000,5671000,10059000,12056000,16998000,22883000,40826000,49659000,57865000,47134000,17791000,23044000,-24444000,-26329000,- -
67,Total Stockholders Equity,7300000,8200000,8400000,8100000,6100000,6400000,7800000,8200000,9400000,10300000,11700000,14800000,18200000,22700000,27800000,34190000,40671000,42939000,22940000,22660000,25834000,31348000,49232000,58255000,60113000,77215000,102863000,125134000,171509000,228177000,300225000,337449000,329927000,386625000,388857000,270371000,256604000
68,Total Liabilities And Stockholders Equity,18200000,30300000,26800000,26900000,24100000,24700000,25300000,24700000,24800000,23800000,30800000,29900000,30200000,43700000,59900000,67020000,71047000,67349000,45474000,45236000,65857000,82538000,104121000,104674000,138714000,150888000,174905000,211989000,491271000,562910000,609243000,604344000,735956000,774640000,782716000,619745000,609138000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18200000,30300000,26800000,26900000,24100000,24700000,25300000,24700000,24800000,23800000,30800000,29900000,30200000,43700000,59900000,67020000,71047000,67349000,45474000,45236000,65857000,82538000,104121000,104674000,138714000,150888000,174905000,211989000,491271000,562910000,609243000,604344000,735956000,774640000,782716000,619745000,609138000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8063/0000904802-96-000018-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8063/000089979703000139/form10_k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8063/000095015207002216/l24210ae10vk.htm,https://www.sec.gov/Archives/edgar/data/8063/000095015208001882/l29713ae10vk.htm,https://www.sec.gov/Archives/edgar/data/8063/000095015209002488/0000950152-09-002488-index.html,https://www.sec.gov/Archives/edgar/data/8063/000095012310019152/0000950123-10-019152-index.html,https://www.sec.gov/Archives/edgar/data/8063/000095012311021474/l41871e10vk.htm,https://www.sec.gov/Archives/edgar/data/8063/000119312512101055/0001193125-12-101055-index.html,https://www.sec.gov/Archives/edgar/data/8063/000119312513071168/0001193125-13-071168-index.html,https://www.sec.gov/Archives/edgar/data/8063/000119312514088997/d651807d10k.htm,https://www.sec.gov/Archives/edgar/data/8063/000119312515069887/d845354d10k.htm,https://www.sec.gov/Archives/edgar/data/8063/000162828016011645/0001628280-16-011645-index.html,https://www.sec.gov/Archives/edgar/data/8063/000000806317000004/0000008063-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/8063/000000806318000006/0000008063-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/8063/000000806319000009/0000008063-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/8063/000000806320000013/0000008063-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/8063/000000806321000007/0000008063-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/8063/000000806322000011/0000008063-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,800000,1000000,- -,- -,-2000000,400000,1200000,400000,1200000,1300000,1800000,2700000,3600000,4300000,4800000,6095000,6498000,4553000,1113000,-734000,2653000,5736000,15391000,8361000,-3802000,14948000,21591000,21874000,27266000,56170000,66974000,48424000,19679000,46803000,52017000,-115781000,-25578000
74,Depreciation and Amortization,800000,1300000,- -,1600000,1800000,1800000,1800000,1900000,2500000,2500000,2600000,2600000,2800000,3100000,3700000,4248000,4445000,1269000,1212000,1273000,2373000,2929000,3440000,4142000,7342000,4881000,4943000,6905000,11059000,27254000,25309000,25790000,27063000,35032000,33049000,31854000,29005000
75,Deferred Income Tax,- -,- -,- -,- -,-800000,200000,300000,- -,100000,-200000,-300000,-300000,300000,200000,200000,129000,-183000,-221000,175000,-40000,307000,-529000,-122000,-3558000,-7914000,1385000,423000,-1544000,-722000,-4677000,-252000,-4756000,-5494000,-2680000,-14385000,21430000,-441000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,773000,884000,1061000,1351000,1384000,1730000,2274000,2281000,2598000,3098000,3843000,5184000,6460000
77,Change in Working Capital,- -,-2900000,- -,-3900000,-2500000,1200000,1800000,200000,-3000000,-300000,100000,-3200000,1400000,2000000,-800000,8221000,7925000,-3896000,1017000,-663000,-4339000,3672000,14663000,11260000,9497000,12998000,-7022000,1209000,65919000,10641000,9133000,22778000,43925000,33641000,-23638000,770000,14448000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12407000,-290000,-3042000,-8097000,3493000,-18850000,-729000,-14622000,-9844000,-47291000,34083000,53928000,-14832000
79,Inventory,- -,- -,- -,- -,-100000,-300000,300000,400000,500000,700000,600000,1400000,100000,-200000,-3800000,-1029000,1509000,-30000,671000,-1138000,-4506000,-12298000,-5599000,-7102000,6185000,-6891000,-883000,-9330000,-5222000,25732000,-2537000,-2671000,-18116000,-14695000,-12711000,-13614000,3942000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6061000,3156000,-349000,-537000,5831000,-8005000,-2168000,-2000000,10439000,9171000,-16617000,-9930000,8610000
81,Other Working Capital,15400000,12500000,- -,8600000,6100000,7300000,9100000,9300000,6300000,6000000,6100000,2900000,4300000,6300000,5500000,13721000,21646000,17750000,18767000,18104000,13765000,17437000,32100000,43360000,52857000,65855000,58833000,60042000,125961000,136602000,145735000,168513000,212438000,246079000,222441000,223211000,237659000
82,Other Non-Cash Items,-1600000,600000,- -,2300000,3600000,-1600000,-1300000,-100000,3900000,100000,1400000,6300000,-2000000,-3300000,2200000,-16484000,-5995000,2025000,-1595000,153000,3609000,-11855000,-24771000,-8700000,25192000,-18593000,6912000,-5617000,-55357000,8756000,-24937000,-45663000,-49988000,-61013000,-8197000,93878000,-29424000
