,https://roic.ai/company/GHM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,14700000,11200000,12800000,14000000,14300000,16300000,15900000,15600000,14400000,11100000,10900000,12000000,3100000,13400000,12800000,9993000,9494000,10439000,10202000,9783000,7691000,9818000,10338000,13074000,15384000,12093000,13076000,15540000,16560000,17195000,18512000,16565000,14858000,15646000,17878000,17496000,17471000
11,COGS and Expenses,77200000,52400000,58700000,58600000,63300000,74700000,66200000,65500000,60100000,45100000,46500000,47100000,13300000,50500000,49900000,37707000,44131000,47758000,50230000,45555000,41484000,49067000,59341000,65340000,74783000,52051000,65460000,86091000,89711000,87601000,111877000,83349000,84466000,75850000,87800000,89952000,94491000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,416000,55000,77000,58000,315000,94000,189000,261000,386000,606000,1462000,1324000,167000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,36000,92000,476000,264000,1000,11000,10000,10000,12000,12000,12000,11000
14,Depreciation and Amortization,1600000,700000,1000000,1000000,1200000,1200000,1400000,1400000,1400000,1000000,900000,900000,250000,1000000,1000000,1050000,948000,956000,911000,1035000,780000,793000,887000,989000,1111000,1797000,1648000,2024000,2079000,2199000,2308000,2435000,2326000,2222000,2205000,1968000,1945000
15,EBITDA,-2400000,-300000,-200000,2000000,5700000,3200000,3100000,3500000,2000000,-7200000,2800000,4900000,1150000,6500000,3800000,-63000,922000,4433000,1103000,-812000,-2063000,6546000,7406000,23093000,27855000,11894000,10500000,19177000,17920000,16910000,24071000,11175000,9385000,-10620000,2072000,4292000,5223000
16,EBITDA ratio,-0.0312,-0.0055,-0.0034,0.0321,0.0841,0.0411,0.0438,0.0558,0.0326,-0.1519,0.0566,0.0953,0.0804,0.1157,0.0717,-0.0016,0.0208,0.0935,0.0223,-0.0187,-0.0499,0.1186,0.1125,0.2672,0.2755,0.1913,0.1414,0.1858,0.1707,0.1654,0.1781,0.1241,0.1023,-0.1370,0.0226,0.0474,0.0536
17,Operating Income,-300000,1800000,700000,3800000,4500000,3200000,4500000,-2800000,1200000,2300000,3000000,4300000,900000,5700000,3100000,1021000,302000,-362000,-852000,-2234000,-151000,6141000,6481000,21088000,26328000,10042000,8775000,17095000,15262000,14617000,21574000,8479000,6673000,-13448000,-2418000,652000,2998000
18,Operating Income ratio,-0.0039,0.0332,0.0118,0.0609,0.0664,0.0411,0.0636,-0.0447,0.0196,0.0485,0.0606,0.0837,0.0629,0.1014,0.0585,0.0264,0.0068,-0.0076,-0.0173,-0.0516,-0.0037,0.1112,0.0985,0.2440,0.2604,0.1615,0.1182,0.1657,0.1454,0.1430,0.1596,0.0942,0.0727,-0.1734,-0.0263,0.0072,0.0308
19,Total Other Income Expenses (Gains),-3700000,-500000,-1400000,-1500000,-500000,-1200000,-1100000,4700000,-600000,-2100000,-900000,-300000,- -,-200000,-300000,-2134000,-328000,3839000,1044000,4081000,510000,-388000,38000,1016000,411000,19000,-15000,-418000,315000,93000,178000,251000,376000,594000,2273000,1660000,269000
20,Income Before Tax,-4000000,1300000,-700000,2300000,4000000,2000000,3400000,1900000,600000,200000,2100000,4000000,900000,5500000,2800000,-1113000,-26000,3477000,192000,1847000,359000,5753000,6519000,22104000,26739000,10061000,8760000,16677000,15577000,14710000,21752000,8730000,7049000,-12854000,-145000,2312000,3267000
21,Income Before Tax Ratio,-0.0520,0.0240,-0.0118,0.0369,0.0590,0.0257,0.0481,0.0303,0.0098,0.0042,0.0424,0.0778,0.0629,0.0979,0.0528,-0.0287,-0.0006,0.0734,0.0039,0.0426,0.0087,0.1042,0.0990,0.2558,0.2645,0.1618,0.1180,0.1616,0.1484,0.1439,0.1609,0.0970,0.0768,-0.1658,-0.0016,0.0255,0.0335
22,Income Tax expense (Gain),200000,200000,-100000,500000,300000,700000,900000,600000,200000,200000,800000,900000,300000,1700000,400000,-280000,-221000,1172000,59000,-777000,63000,2167000,758000,7070000,9272000,3700000,2886000,6124000,4429000,4565000,7017000,2599000,2026000,-3010000,163000,440000,893000
23,Net Income,-4200000,-1200000,-1100000,500000,4200000,1300000,800000,1500000,400000,-8400000,1100000,3100000,600000,3800000,2400000,-833000,195000,2305000,133000,-1070000,-2906000,3586000,5761000,15034000,17467000,6361000,5874000,10553000,11148000,10145000,14735000,6131000,5023000,-9844000,-308000,1872000,2374000
24,Net Income ratio,-0.0546,-0.0221,-0.0185,0.0080,0.0619,0.0167,0.0113,0.0239,0.0065,-0.1772,0.0222,0.0603,0.0420,0.0676,0.0453,-0.0215,0.0044,0.0486,0.0027,-0.0247,-0.0703,0.0650,0.0875,0.1739,0.1728,0.1023,0.0791,0.1023,0.1062,0.0992,0.1090,0.0681,0.0547,-0.1270,-0.0034,0.0207,0.0244
25,EPS,-0.17,-0.04,-0.04,0.02,0.15,0.04,0.03,0.05,0.01,-0.28,0.14,0.38,0.07,0.45,0.30,-0.11,0.02,0.28,0.02,-0.13,-0.35,0.39,0.59,1.51,1.72,0.64,0.59,1.06,1.11,1.01,1.46,0.61,0.52,-1.01,-0.03,0.19,0.24
26,EPS Diluted,-0.17,-0.04,-0.04,0.02,0.15,0.04,0.03,0.05,0.01,-0.28,0.14,0.38,0.07,0.44,0.29,-0.11,0.02,0.28,0.02,-0.13,-0.35,0.38,0.58,1.49,1.71,0.64,0.59,1.06,1.11,1.00,1.45,0.61,0.52,-1.01,-0.03,0.19,0.24
27,Weighted Average Shares Outstanding,7340000,7340000,7340000,7340000,7345000,7700000,9868421,7840000,7840000,29512500,7897500,8040000,8100000,8370044,8108108,7572727,8125000,8232143,8312500,8230769,8398844,9134140,9733975,9912000,10134000,9899000,9919000,9963000,10027000,10070000,10123000,9976000,9716000,9764000,9823000,9876000,9959000
28,Weighted Average Shares Outstanding Diluted,7340000,7340000,7340000,7340000,7345000,7700000,9868421,7840000,7840000,29512500,7897500,8040000,8100000,8597285,8219178,7572727,8125000,8351449,8312500,8230769,8597633,9336477,9850270,10084000,10195000,9937000,9958000,9998000,10051000,10104000,10143000,9983000,9728000,9764000,9823000,9879000,9959000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716314/000071631496000002/0000716314-96-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/716314/000095015298005579/0000950152-98-005579-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716314/000095015202005120/0000950152-02-005120-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716314/000095015206005026/l20778ae10vk.htm,https://www.sec.gov/Archives/edgar/data/716314/000095015207004921/0000950152-07-004921-index.html,https://www.sec.gov/Archives/edgar/data/716314/000095013408010593/0000950134-08-010593-index.html,https://www.sec.gov/Archives/edgar/data/716314/000095012309010517/0000950123-09-010517-index.html,https://www.sec.gov/Archives/edgar/data/716314/000095012310052810/0000950123-10-052810-index.html,https://www.sec.gov/Archives/edgar/data/716314/000095012311056491/0000950123-11-056491-index.html,https://www.sec.gov/Archives/edgar/data/716314/000119312512263414/d347995d10k.htm,https://www.sec.gov/Archives/edgar/data/716314/000119312513247725/0001193125-13-247725-index.html,https://www.sec.gov/Archives/edgar/data/716314/000119312514224704/0001193125-14-224704-index.html,https://www.sec.gov/Archives/edgar/data/716314/000119312515209819/0001193125-15-209819-index.html,https://www.sec.gov/Archives/edgar/data/716314/000156459016020188/0001564590-16-020188-index.html,https://www.sec.gov/Archives/edgar/data/716314/000156459017012090/0001564590-17-012090-index.html,https://www.sec.gov/Archives/edgar/data/716314/000156459018014971/0001564590-18-014971-index.html,https://www.sec.gov/Archives/edgar/data/716314/000156459019021076/0001564590-19-021076-index.html,https://www.sec.gov/Archives/edgar/data/716314/000156459020029237/ghm-10k_20200331.htm,https://www.sec.gov/Archives/edgar/data/716314/000156459021031421/0001564590-21-031421-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,500000,900000,400000,300000,900000,500000,- -,500000,100000,500000,400000,1300000,900000,1700000,100000,1110000,226000,2901000,217000,467000,724000,570000,1375000,2112000,5150000,4530000,19565000,25189000,24194000,32146000,27271000,24072000,39474000,40456000,15021000,32955000,59532000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,4905000,4905000,2496000,6446000,5296000,1993000,10418000,13676000,34681000,41059000,70060000,23518000,16499000,27498000,29000000,33000000,41000000,34000000,36023000,62732000,40048000,5500000
33,Cash and Short-Term Investments,500000,900000,400000,300000,900000,500000,- -,500000,100000,500000,400000,1300000,1400000,1700000,100000,6015000,5131000,5397000,6663000,5763000,2717000,10988000,15051000,36793000,46209000,74590000,43083000,41688000,51692000,61146000,60271000,65072000,73474000,76479000,77753000,73003000,65032000
34,Net Receivables,18800000,16700000,14200000,14300000,16200000,16300000,17800000,13200000,12900000,11900000,10600000,9200000,10400000,6800000,7600000,7893000,8403000,17053000,7554000,8950000,10071000,11070000,16652000,15317000,11049000,10333000,22961000,28739000,25188000,18667000,36253000,26234000,27325000,26583000,26177000,30477000,37372000
35,Inventory,10500000,7900000,10000000,8000000,8100000,10000000,8400000,8000000,6100000,4500000,6600000,6300000,6600000,10300000,6800000,6640000,9383000,8342000,10341000,7015000,4823000,5115000,4682000,4797000,4665000,6098000,8257000,6047000,11171000,16518000,13994000,10811000,9246000,11566000,24670000,22291000,17332000
36,Other Current Assets,1300000,4200000,600000,800000,400000,900000,1200000,2300000,1600000,1500000,1300000,2100000,1300000,6100000,6300000,2044000,1550000,1595000,2213000,2727000,4478000,222000,354000,463000,10819000,651000,2330000,504000,852000,1125000,1176000,613000,681000,772000,6183000,906000,512000
37,Total Current Assets,31100000,29700000,25200000,23400000,25600000,27700000,27400000,24000000,20700000,18400000,18900000,18900000,19700000,24900000,20800000,22592000,24467000,32387000,26771000,24455000,22089000,27395000,36739000,57370000,72742000,91672000,76631000,76978000,88903000,97456000,111694000,102730000,110726000,115400000,134783000,126677000,120248000
38,PP&E,15700000,10500000,11600000,10800000,11200000,13400000,14500000,19300000,18500000,9700000,8900000,9600000,9500000,10000000,10500000,10105000,10013000,9726000,9808000,9227000,7649000,7954000,8780000,9060000,9645000,9769000,11705000,13453000,13288000,16449000,19812000,18747000,17021000,17052000,17071000,17830000,17713000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7404000,6938000,6938000,6938000,6938000,6938000,6938000,1222000,- -,- -,- -
40,Intangible Assets,700000,700000,700000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15518000,15268000,15088000,14908000,14728000,14548000,14368000,5088000,- -,- -,- -
41,Intangible Assets,700000,700000,700000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22922000,22206000,22026000,21846000,21666000,21486000,21306000,6310000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2113000,1585000,1610000,2048000,3747000,2107000,2901000,70000,224000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,500000,100000,200000,200000,700000,600000,200000,2100000,2200000,1900000,1700000,1900000,2000000,2100000,2800000,1899000,15000,6000,91000,58000,44000,3100000,458000,4211000,4313000,7538000,6792000,2340000,2516000,5883000,1482000,168000,2517000,4571000,4416000,3613000,6319000
45,Total Non-Current Assets,16900000,11300000,12500000,11600000,11900000,14000000,14700000,21400000,20700000,11600000,10600000,11500000,11500000,12100000,13300000,12004000,12141000,11317000,11509000,11333000,11440000,13161000,12139000,13341000,14182000,17307000,41419000,37999000,37830000,44178000,42960000,40401000,40844000,27933000,21487000,21443000,24032000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,48000000,41000000,37700000,35000000,37500000,41700000,42100000,45400000,41400000,30000000,29500000,30400000,31200000,37000000,34100000,34596000,36608000,43704000,38280000,35788000,33529000,40556000,48878000,70711000,86924000,108979000,118050000,114977000,126733000,141634000,154654000,143131000,151570000,143333000,156270000,148120000,144280000
48,Accounts Payable,- -,- -,- -,- -,7700000,8500000,5700000,7000000,5400000,4300000,4100000,3900000,3900000,4200000,2900000,2672000,4968000,4333000,4629000,3230000,3374000,4135000,5143000,5461000,5514000,6623000,9948000,6303000,9429000,10084000,13334000,10325000,10295000,16151000,12405000,14253000,17972000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,500000,- -,500000,500000,2286000,4164000,1135000,1604000,1969000,1920000,45000,37000,20000,28000,66000,47000,85000,87000,80000,60000,55000,107000,88000,51000,193000,67000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68000,1772000,- -,- -,- -,- -,- -,317000,- -,- -,- -,741000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12854000,7257000,6919000,8012000,4179000,8400000,12407000,13213000,30847000,26983000,14059000
52,Other Current Liabilities,24900000,22200000,18600000,17500000,9500000,9700000,9300000,7500000,8200000,7300000,7200000,6400000,5600000,7800000,5400000,5237000,4173000,13107000,7759000,7556000,5591000,6436000,11440000,14891000,17653000,28279000,9779000,10603000,8442000,7934000,12754000,9143000,9229000,7843000,11584000,7805000,11475000
53,Total Current Liabilities,24900000,22200000,18600000,17500000,17200000,18200000,15000000,14500000,13600000,11600000,11900000,10800000,9500000,12500000,8800000,10195000,13305000,18575000,13992000,12755000,10885000,10616000,16620000,20372000,23195000,34968000,32628000,24248000,24877000,26110000,30327000,27923000,32038000,37295000,54887000,49234000,43573000
54,Long-Term Debt,10900000,6300000,6500000,4700000,3600000,4700000,7600000,9500000,6100000,5200000,3300000,1400000,2800000,900000,500000,1948000,682000,150000,127000,93000,44000,30000,56000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1000000,1000000,1200000,800000,600000,700000,600000,900000,1000000,100000,100000,- -,- -,- -,- -,33000,31000,41000,49000,77000,- -,- -,- -,315000,1253000,2930000,8969000,7404000,7131000,8197000,6363000,3546000,4051000,1427000,1056000,721000,635000
57,Other Non-Current Liabilities,1800000,3200000,2700000,2700000,3200000,3800000,3900000,6100000,5800000,6000000,5800000,6300000,6400000,5800000,8100000,5328000,5453000,5302000,5319000,4713000,6022000,2803000,1548000,1488000,1365000,2007000,2798000,1705000,1730000,1419000,1413000,2282000,1371000,1262000,1361000,1441000,2072000
58,Total Non-Current Liabilities,13700000,10500000,10400000,8200000,7400000,9200000,12100000,16500000,12900000,11300000,9200000,7700000,9200000,6700000,8600000,7309000,6166000,5493000,5495000,4883000,6066000,2833000,1604000,1803000,2618000,4937000,11767000,9109000,8861000,9616000,7776000,5828000,5422000,2689000,2417000,2162000,2778000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000,59000,210000,163000,288000,214000,216000,158000,212000,250000,143000,146000,330000,138000
61,Total Liabilities,38600000,32700000,29000000,25700000,24600000,27400000,27100000,31000000,26500000,22900000,21100000,18500000,18700000,19200000,17400000,17504000,19471000,24068000,19487000,17638000,16951000,13449000,18224000,22175000,25813000,39905000,44395000,33357000,33738000,35726000,38103000,33751000,37460000,39984000,57304000,51396000,46351000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,169000,170000,172000,172000,176000,180000,383000,389000,499000,1013000,1016000,1022000,1030000,1033000,1041000,1043000,1047000,1055000,1058000,1065000,1069000,1075000
64,Retained Earnings,9300000,8100000,7100000,7900000,12000000,13000000,13600000,14700000,-15100000,6700000,7900000,10900000,11600000,15400000,17700000,16898000,16583000,18888000,18767000,17370000,14082000,17301000,22675000,37216000,53966000,59539000,64623000,74383000,84632000,93469000,106178000,109013000,110544000,99011000,93847000,91389000,89372000
65,Other Comprehensive Income/Loss,-10900000,-10200000,-11900000,-12200000,-12200000,-13900000,-15000000,-14600000,-15600000,-13900000,-14500000,-15300000,-3600000,-15200000,-15900000,-16545000,-17110000,-17652000,-3742000,-3108000,-1852000,-94000,-2418000,-1831000,-6460000,-4386000,-5012000,-8160000,-8033000,-5765000,-9056000,-10676000,-8434000,-8250000,-8833000,-9556000,-7397000
66,Other Total Stockholders Equity,11000000,10400000,13500000,13600000,13100000,15200000,16400000,14300000,45600000,14300000,15000000,16300000,4300000,17600000,14900000,16570000,17494000,18228000,3596000,3712000,4168000,9517000,10008000,12652000,12592000,12905000,13022000,14367000,15363000,17163000,18386000,9996000,10945000,11530000,12887000,13822000,14879000
67,Total Stockholders Equity,9400000,8300000,8700000,9300000,12900000,14300000,15000000,14400000,14900000,7100000,8400000,11900000,12500000,17800000,16700000,17092000,17137000,19636000,18793000,18150000,16578000,27107000,30654000,48536000,61111000,69074000,73655000,81620000,92995000,105908000,116551000,109380000,114110000,103349000,98966000,96724000,97929000
68,Total Liabilities And Stockholders Equity,48000000,41000000,37700000,35000000,37500000,41700000,42100000,45400000,41400000,30000000,29500000,30400000,31200000,37000000,34100000,34596000,36608000,43704000,38280000,35788000,33529000,40556000,48878000,70711000,86924000,108979000,118050000,114977000,126733000,141634000,154654000,143131000,151570000,143333000,156270000,148120000,144280000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,48000000,41000000,37700000,35000000,37500000,41700000,42100000,45400000,41400000,30000000,29500000,30400000,31200000,37000000,34100000,34596000,36608000,43704000,38280000,35788000,33529000,40556000,48878000,70711000,86924000,108979000,118050000,114977000,126733000,141634000,154654000,143131000,151570000,143333000,156270000,148120000,144280000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716314/000071631496000002/0000716314-96-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/716314/000095015298005579/0000950152-98-005579-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716314/000095015202005120/0000950152-02-005120-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716314/000095015206005026/l20778ae10vk.htm,https://www.sec.gov/Archives/edgar/data/716314/000095015207004921/0000950152-07-004921-index.html,https://www.sec.gov/Archives/edgar/data/716314/000095013408010593/0000950134-08-010593-index.html,https://www.sec.gov/Archives/edgar/data/716314/000095012309010517/0000950123-09-010517-index.html,https://www.sec.gov/Archives/edgar/data/716314/000095012310052810/0000950123-10-052810-index.html,https://www.sec.gov/Archives/edgar/data/716314/000095012311056491/0000950123-11-056491-index.html,https://www.sec.gov/Archives/edgar/data/716314/000119312512263414/d347995d10k.htm,https://www.sec.gov/Archives/edgar/data/716314/000119312513247725/0001193125-13-247725-index.html,https://www.sec.gov/Archives/edgar/data/716314/000119312514224704/0001193125-14-224704-index.html,https://www.sec.gov/Archives/edgar/data/716314/000119312515209819/0001193125-15-209819-index.html,https://www.sec.gov/Archives/edgar/data/716314/000156459016020188/0001564590-16-020188-index.html,https://www.sec.gov/Archives/edgar/data/716314/000156459017012090/0001564590-17-012090-index.html,https://www.sec.gov/Archives/edgar/data/716314/000156459018014971/0001564590-18-014971-index.html,https://www.sec.gov/Archives/edgar/data/716314/000156459019021076/0001564590-19-021076-index.html,https://www.sec.gov/Archives/edgar/data/716314/000156459020029237/ghm-10k_20200331.htm,https://www.sec.gov/Archives/edgar/data/716314/000156459021031421/0001564590-21-031421-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,4200000,1300000,800000,1500000,400000,-8400000,1100000,3100000,600000,3800000,2400000,-833000,195000,2305000,133000,-1070000,-2906000,3586000,5761000,15034000,17467000,6361000,5874000,10553000,11148000,10145000,14735000,6131000,5023000,-9844000,-308000,1872000,2374000
74,Depreciation and Amortization,- -,- -,- -,- -,1200000,1200000,1400000,1400000,1400000,1000000,900000,900000,250000,1000000,1000000,1050000,948000,956000,911000,1035000,780000,793000,887000,989000,1111000,1797000,1648000,2024000,2079000,2199000,2308000,2435000,2326000,2222000,2205000,1968000,1945000
75,Deferred Income Tax,- -,- -,- -,- -,-200000,-200000,-400000,-1700000,200000,-200000,600000,-500000,-80000,-300000,-200000,-368000,298000,346000,-17000,175000,58000,2150000,646000,4342000,6022000,-4568000,-923000,4413000,-2357000,-1011000,157000,-1522000,-884000,-3088000,-159000,-287000,-561000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,372000,436000,478000,611000,576000,639000,653000,697000,627000,577000,1069000,975000,864000
77,Change in Working Capital,- -,- -,- -,- -,2900000,1100000,2900000,-2900000,-2400000,-300000,200000,1100000,2100000,2200000,-400000,397000,-1235000,2650000,-1033000,-1079000,-496000,5575000,3340000,16879000,12549000,7157000,-12701000,8727000,11296000,7320000,10021000,-6560000,3881000,-583000,1791000,-2453000,-768000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1941000,-299000,155000,-2844000,2264000,-1001000,-6910000,4440000,1127000,-5472000,-1227000,2044000,-1791000
79,Inventory,- -,- -,- -,- -,1100000,-1500000,1900000,-1600000,1400000,400000,-1400000,-200000,-300000,-3300000,3100000,184000,-2342000,6817000,-6392000,3683000,-193000,-292000,433000,-115000,132000,-1433000,-1723000,2191000,-5311000,-5161000,2525000,3175000,1561000,-2311000,-2068000,2279000,5185000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000,990000,2679000,-3689000,2957000,595000,3115000,-2836000,78000,5757000,-2572000,1826000,3556000
81,Other Working Capital,- -,- -,- -,- -,8400000,9500000,12400000,9500000,7100000,6800000,7000000,8100000,10200000,12400000,12000000,12397000,11162000,13812000,12779000,11700000,11204000,16779000,20119000,36998000,49547000,56704000,44003000,52730000,64026000,71346000,81367000,74807000,78688000,78105000,79896000,77443000,76675000
82,Other Non-Cash Items,- -,- -,- -,- -,-900000,-1200000,-3700000,-700000,2500000,7000000,-1200000,100000,-4670000,600000,-400000,-1866000,-1028000,-1793000,1903000,-105000,-1915000,-5571000,-5441000,-17542000,-26475000,19087000,-4745000,-23723000,-10310000,-4062000,-21595000,17570000,1416000,19227000,3319000,-836000,-5576000
