,https://roic.ai/company/HTBX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-2104884,-2420200,-8711348,-11788817,-20295000,-12573952,-11841671,-15733854,-20017568,-26049737,-35400807
24,Net Income ratio,-11.2089,-778.1994,-Infinity,-Infinity,-Infinity,-36.8044,-7.7909,-2.7156,-6.5651,-8.8365,-16.7554
25,EPS,-79.03,-90.87,-167.19,-126.43,-174.79,-49.05,-21.56,-6.30,-4.20,-1.63,-1.41
26,EPS Diluted,-79.03,-90.87,-167.19,-126.43,-174.79,-49.05,-21.56,-6.30,-4.20,-1.63,-1.41
27,Weighted Average Shares Outstanding,26633,26633,54240,93430,116022,254550,549334,2497920,4754540,15982568,25137628
28,Weighted Average Shares Outstanding Diluted,26633,26633,54240,93430,116022,254550,549334,2497920,4754540,15982568,25137628
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1476963/000155335014000314/0001553350-14-000314-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335015000277/0001553350-15-000277-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335016001596/0001553350-16-001596-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335017000337/0001553350-17-000337-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335018000174/0001553350-18-000174-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335019000267/0001553350-19-000267-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335020000252/0001553350-20-000252-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155837021003460/0001558370-21-003460-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155837022003452/0001558370-22-003452-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,98646,5030,4566992,3714304,4940000,7842667,9763067,22154251,9039887,10931890,8053879
32,Short-Term Investments,- -,- -,17297165,10698982,6690000,- -,- -,5570027,5713922,100842438,- -
33,Cash and Short-Term Investments,98646,5030,21864157,14413286,11630000,7842667,9763067,27724278,14753809,111774328,8053879
34,Net Receivables,- -,9571,24946,- -,- -,82305,14833,28538,34986,177239,66049
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,5593,58436,1066638,863227,869000,338049,1967257,961317,420328,1842620,91211442
37,Total Current Assets,104239,73037,22955741,15276513,12499000,8263021,11745157,28714133,15209123,113794187,99331370
38,PP&E,11589,10782,53753,445534,446000,359592,286891,643146,3034483,2959338,3941363
39,Goodwill,- -,- -,- -,- -,- -,- -,2189338,2189338,1452338,1452338,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,5866000,5866000,5866000,5866000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,8055338,8055338,7318338,7318338,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88324922
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,66239,63763,10572,194123,273000,273986,102090,351220,394637,122779,-70636422
45,Total Non-Current Assets,77828,74545,64325,639657,719000,633578,8444319,9049704,10747458,10400455,21629863
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,182067,147582,23020066,15916170,13218000,8896599,20189476,37763837,25956581,124194642,120961233
48,Accounts Payable,352125,505471,651917,1367426,1980000,290058,1033680,974619,1503342,1051764,922782
49,Short-Term Debt,- -,66806,- -,397465,3134000,- -,- -,- -,265936,386880,610917
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,172500,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,7026388,1032539,3410319,603717,35000
52,Other Current Liabilities,94610,142971,528414,805968,1847000,1305173,2276431,2865051,3255801,1614534,3152046
53,Total Current Liabilities,446735,715248,1180331,2570859,6961000,1595231,10336499,4872209,8435398,3656895,4720745
54,Long-Term Debt,- -,855293,- -,2314124,3612000,- -,- -,- -,- -,- -,1060856
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,200000,200000,237500,35000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,1302220,316733,361911,361911,215937
57,Other Non-Current Liabilities,69430,92150,122590,- -,150000,461434,2769848,2131949,3801422,4444413,2895124
58,Total Non-Current Liabilities,69430,947443,122590,2314124,3762000,461434,4072068,2648682,4363333,5043824,4206917
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,1928177,1848756,- -
61,Total Liabilities,516165,1662691,1302921,4884983,10723000,2056665,14408567,7520891,12798731,8700719,8927662
62,Preferred Stock,145,197,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,400,405,961,982,1000,4926,840,6499,6757,4519,5055
64,Retained Earnings,-3515082,-5935282,-12346630,-24135447,-44430000,-57004655,-68846326,-84580180,-104597748,-130647485,-165718953
65,Other Comprehensive Income/Loss,-624,-3211,-9559,-76454,-87000,-72231,-166025,-19904,-11250,-166056,-67941
66,Other Total Stockholders Equity,3206377,4499043,34347150,35971277,48567000,65868541,76382262,114883135,118173843,247048349,277815410
67,Total Stockholders Equity,-308784,-1438848,21991922,11760358,4051000,8796581,7370751,30289550,13571602,116239327,112033571
68,Total Liabilities And Stockholders Equity,207381,223843,23294843,16645341,14774000,10853246,21779318,37810441,26370333,124940046,120961233
69,Minority Interest,-25314,-76261,-274777,-729171,-1556000,-1956647,-1589842,-46604,-413752,-745404,- -
70,Total Liabilities & Equity,182067,147582,23020066,15916170,13218000,8896599,20189476,37763837,25956581,124194642,120961233
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1476963/000155335014000314/0001553350-14-000314-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335015000277/0001553350-15-000277-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335016001596/0001553350-16-001596-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335017000337/0001553350-17-000337-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335018000174/0001553350-18-000174-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335019000267/0001553350-19-000267-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335020000252/0001553350-20-000252-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155837021003460/0001558370-21-003460-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155837022003452/0001558370-22-003452-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-2104884,-2420200,-8711348,-11788817,-20295000,-12573952,-11841671,-15733854,-20017568,-26049737,-35400807
74,Depreciation and Amortization,624,2587,6348,66895,116000,132077,134084,237318,232506,333152,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,91984,217896,571924,1066443,1574000,582630,689130,788659,3269948,6377857,- -
77,Change in Working Capital,344227,-299715,22417621,-9069756,-7167654,1129790,-5259132,22433266,-17068199,103363567,-15526667
78,Accounts Receivable,- -,- -,- -,- -,- -,-127440,67767,-14094,-6472,-140559,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,74495,85323,146446,715509,642000,-1690048,-175901,-55820,529269,-452778,- -
81,Other Working Capital,-342496,-642211,21775410,12705654,5538000,6667790,1408658,23841924,6773725,110137292,94610625
82,Other Non-Cash Items,18950,425757,-20673413,9895808,8325654,-2794262,9973917,-29437080,20745663,-106046198,50927474
83,Cash Provided by Operating Activities,-1649099,-2073675,-6388868,-9829427,-17447000,-13523717,-6303672,-21711691,-12837650,-22021359,- -
84,CAPEX,-12213,-1780,-49319,-458676,-116000,-45936,-61383,-593573,-265188,-337972,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-468801,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-17347946,-12198847,-11090000,- -,- -,-5570158,-138438,-105925802,- -
87,Sales/Maturities of Investments,- -,- -,- -,18623826,14957000,6656910,- -,- -,- -,10842157,- -
88,Other Investing Activites,6138,- -,- -,- -,- -,- -,- -,- -,109630,2168,- -
89,Cash Used for Investing Activites,-6075,-1780,-17397265,5966303,3751000,6610974,-530184,-6163731,-293996,-95419449,- -
90,Debt Repayment,- -,-225000,-1122099,- -,-558000,-6941821,- -,- -,-1966,-817199,- -
91,Common Stock Issued,- -,11325,25110540,- -,11400000,13369776,9093159,38410090,18898,123974466,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1584383,2195514,4359654,3010436,4169000,3374844,-324654,1708460,2120,-3828210,- -
95,Cash Used/Provided by Financing Activities,1584383,1981839,28348095,3010436,15011000,9802799,8768505,40118550,19052,119329057,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-89000,12656,-14249,145764,-1770,3754,- -
97,Net Change In Cash,-70791,-93616,4561962,-852688,1226000,2902712,1920400,12388892,-13114364,1892003,- -
98,Cash at the End of Period,98646,5030,4566992,3714304,4940000,7842667,9763067,22154251,9039887,10931890,- -
99,Cash at the Beginning of Period,169437,98646,5030,4566992,3714000,4939955,7842667,9765359,22154251,9039887,10931890
100,Free Cash Flow,-1661312,-2075455,-6438187,-10288103,-17563000,-13569653,-6365055,-22305264,-13102838,-22359331,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1476963/000155335014000314/0001553350-14-000314-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335015000277/0001553350-15-000277-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335016001596/0001553350-16-001596-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335017000337/0001553350-17-000337-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335018000174/0001553350-18-000174-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335019000267/0001553350-19-000267-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155335020000252/0001553350-20-000252-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155837021003460/0001558370-21-003460-index.htm,https://www.sec.gov/Archives/edgar/data/1476963/000155837022003452/0001558370-22-003452-index.htm
102,false,,,,,,,,,,,
