,https://roic.ai/company/USLM,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,1700000,1600000,900000,2800000,5600000,3500000,700000,3600000,5333000,2241000,6390000,5539000,8574000,11980000,13844000,21024000,18372000,23317000,20955000,27665000,32503000,24245000,21651000,27322000,19086000,23480000,24227000,20002000,29246000,33869000,46417000
18,Operating Income ratio,0.0428,0.0444,0.0278,0.0759,0.1353,0.0871,0.0216,0.1250,0.1691,0.0690,0.1607,0.1414,0.1895,0.2152,0.1707,0.1771,0.1467,0.1638,0.1786,0.2086,0.2280,0.1750,0.1619,0.1823,0.1459,0.1686,0.1673,0.1385,0.1848,0.2108,0.2453
19,Total Other Income Expenses (Gains),-2300000,8900000,-1400000,-600000,-300000,-300000,300000,200000,-1956000,-2617000,-4201000,-4868000,-3770000,-4267000,-4072000,-2884000,-4033000,-3906000,-2811000,-2607000,-2359000,-2144000,-1818000,-1400000,-1605000,138000,716000,1566000,1654000,203000,101000
20,Income Before Tax,-600000,10500000,-500000,2200000,5300000,3200000,1000000,3800000,3377000,-376000,2189000,671000,4804000,7713000,9772000,18140000,14339000,19411000,18144000,25058000,30144000,22101000,19833000,25922000,17481000,23618000,24943000,21568000,30900000,34072000,46518000
21,Income Before Tax Ratio,-0.0151,0.2917,-0.0154,0.0596,0.1280,0.0796,0.0309,0.1319,0.1071,-0.0116,0.0551,0.0171,0.1062,0.1385,0.1205,0.1528,0.1145,0.1364,0.1546,0.1890,0.2114,0.1595,0.1483,0.1730,0.1336,0.1696,0.1722,0.1493,0.1952,0.2120,0.2458
22,Income Tax expense (Gain),-200000,600000,-100000,300000,1000000,600000,-2100000,900000,844000,-85000,416000,35000,944000,1384000,1824000,4889000,3893000,4978000,4474000,7018000,7958000,5678000,5033000,6555000,4595000,5864000,-2205000,1883000,4844000,5849000,9473000
23,Net Income,-1000000,9400000,100000,1900000,4300000,2600000,3100000,2900000,2533000,-291000,1773000,636000,3860000,6329000,7948000,12701000,10446000,14433000,13670000,18040000,22186000,16423000,14800000,19367000,12886000,17754000,27148000,19685000,26056000,28223000,37045000
24,Net Income ratio,-0.0252,0.2611,0.0031,0.0515,0.1039,0.0647,0.0957,0.1007,0.0803,-0.0090,0.0446,0.0162,0.0853,0.1137,0.0980,0.1070,0.0834,0.1014,0.1165,0.1361,0.1556,0.1186,0.1106,0.1293,0.0985,0.1275,0.1874,0.1363,0.1646,0.1756,0.1957
25,EPS,-0.25,2.47,0.01,0.50,1.11,0.67,0.79,0.74,0.64,-0.07,0.32,0.11,0.67,1.08,1.34,2.06,1.67,2.29,2.14,2.82,3.50,2.88,2.66,3.47,2.30,3.19,4.87,3.52,4.64,5.01,6.58
26,EPS Diluted,-0.25,2.47,0.01,0.50,1.11,0.67,0.78,0.74,0.64,-0.07,0.32,0.11,0.67,1.07,1.31,2.02,1.65,2.27,2.14,2.81,3.49,2.87,2.66,3.47,2.30,3.19,4.86,3.51,4.64,5.00,6.57
27,Weighted Average Shares Outstanding,4000000,3805668,3333333,3800000,3873874,3880597,3924051,3918919,3957812,4157143,5540625,5781818,5761194,5860185,5931343,6165534,6255090,6305164,6378457,6400958,6344000,5705000,5561000,5579000,5599000,5568000,5577000,5595000,5612000,5629000,5629000
28,Weighted Average Shares Outstanding Diluted,4000000,3805668,3333333,3800000,3873874,3906250,3974359,3918919,3957812,4157143,5540625,5781818,5787273,5914953,6067176,6287624,6330909,6362945,6378457,6417817,6362000,5716000,5571000,5589000,5604000,5572000,5588000,5602000,5621000,5640000,5640000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/82020/000095013496000590/0000950134-96-000590-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/82020/000095013405005940/d23747e10vk.htm,https://www.sec.gov/Archives/edgar/data/82020/000095013406005029/d33971e10vk.htm,https://www.sec.gov/Archives/edgar/data/82020/000095013407005937/d44656e10vk.htm,https://www.sec.gov/Archives/edgar/data/82020/000095013408004747/d54932e10vk.htm,https://www.sec.gov/Archives/edgar/data/82020/000095013409004608/0000950134-09-004608-index.html,https://www.sec.gov/Archives/edgar/data/82020/000095012310020047/0000950123-10-020047-index.html,https://www.sec.gov/Archives/edgar/data/82020/000095012311023236/d80419e10vk.htm,https://www.sec.gov/Archives/edgar/data/82020/000104746912001978/0001047469-12-001978-index.html,https://www.sec.gov/Archives/edgar/data/82020/000104746913002339/0001047469-13-002339-index.html,https://www.sec.gov/Archives/edgar/data/82020/000104746914001954/a2218769z10-k.htm,https://www.sec.gov/Archives/edgar/data/82020/000104746915001768/a2223416z10-k.htm,https://www.sec.gov/Archives/edgar/data/82020/000155837016003845/0001558370-16-003845-index.html,https://www.sec.gov/Archives/edgar/data/82020/000155837017001327/0001558370-17-001327-index.html,https://www.sec.gov/Archives/edgar/data/82020/000155837018001454/0001558370-18-001454-index.html,https://www.sec.gov/Archives/edgar/data/82020/000155837019001435/0001558370-19-001435-index.html,https://www.sec.gov/Archives/edgar/data/82020/000155837020001775/0001558370-20-001775-index.html,https://www.sec.gov/Archives/edgar/data/82020/000155837021002002/0001558370-21-002002-index.htm,https://www.sec.gov/Archives/edgar/data/82020/000155837022003310/0001558370-22-003310-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1100000,1400000,400000,- -,1200000,1000000,2800000,700000,18021000,5072000,606000,226000,6375000,227000,1312000,285000,1079000,836000,16466000,36223000,53372000,29787000,49475000,58332000,59926000,74712000,85000000,67218000,54260000,83562000,105
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1100000,1400000,400000,- -,1200000,1000000,2800000,700000,18021000,5072000,606000,226000,6375000,227000,1312000,285000,1079000,836000,16466000,36223000,53372000,29787000,49475000,58332000,59926000,74712000,85000000,67218000,54260000,83562000,105
34,Net Receivables,5400000,4600000,5000000,6000000,5500000,5200000,3600000,3400000,4166000,4101000,5699000,5202000,6959000,9466000,11360000,13002000,13210000,14492000,13365000,13839000,15595000,14552000,14097000,17444000,15889000,16781000,16473000,19602000,22948000,22979000,- -
35,Inventory,6000000,5800000,6500000,4800000,5300000,5100000,3000000,3200000,4266000,4232000,5057000,4782000,4609000,5113000,7705000,8576000,9887000,12297000,9460000,10600000,10764000,14127000,13688000,13436000,14728000,12433000,13546000,12846000,13388000,15210000,- -
36,Other Current Assets,1000000,700000,600000,300000,200000,300000,100000,- -,163000,263000,796000,262000,721000,996000,1617000,913000,1155000,1336000,1469000,1225000,1207000,1493000,1584000,2550000,1418000,1110000,2996000,1692000,2139000,2245000,150429895
37,Total Current Assets,13500000,12500000,12500000,11100000,12200000,11600000,9500000,7300000,26616000,13668000,12158000,10472000,18664000,15802000,21994000,22776000,25331000,28961000,40760000,61887000,80938000,59959000,78844000,91762000,91961000,105036000,118015000,101358000,92735000,123996000,150430000
38,PP&E,22400000,16100000,15700000,15000000,16400000,18700000,21400000,41200000,47130000,75667000,73313000,70406000,77267000,83541000,99301000,129894000,132151000,136564000,130900000,126237000,121318000,114042000,108487000,108513000,104378000,104981000,109718000,142764000,153879000,154687000,162172000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,1600000,900000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,1600000,900000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2453000,2359000,1899000,108000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,500000,700000,1400000,1300000,1200000,1000000,2600000,2600000,3942000,4723000,1485000,1282000,1670000,888000,1729000,1498000,745000,604000,410000,374000,302000,245000,195000,145000,160000,142000,713000,549000,423000,415000,3594000
45,Total Non-Current Assets,24500000,17700000,17400000,16300000,17600000,19700000,24000000,43800000,51072000,80390000,77251000,74047000,80836000,84537000,101030000,131392000,132896000,137168000,131310000,126611000,121620000,114287000,108682000,108658000,104538000,105123000,110431000,143313000,154302000,155102000,165766000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,38000000,30200000,29900000,27400000,29800000,31300000,33500000,51100000,77688000,94058000,89409000,84519000,99500000,100339000,123024000,154168000,158227000,166129000,172070000,188498000,202558000,174246000,187526000,200420000,196499000,210159000,228446000,244671000,247037000,279098000,316196000
48,Accounts Payable,3200000,2500000,3500000,2700000,2600000,3100000,4400000,3700000,1953000,8426000,2543000,2472000,3369000,4176000,4522000,10279000,7980000,6972000,6122000,4545000,5392000,4171000,5812000,5166000,6022000,5587000,6263000,4570000,4430000,4592000,- -
49,Short-Term Debt,- -,- -,- -,1100000,1100000,1100000,1100000,2600000,2500000,12158000,5658000,4533000,3333000,2500000,3333000,5000000,5000000,5000000,5000000,5000000,6250000,5000000,5000000,16667000,- -,- -,- -,- -,1294000,1187000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2600000,13800000,2900000,1900000,2400000,2000000,1600000,1700000,1580000,929000,1400000,953000,2053000,2993000,3600000,3460000,3485000,4251000,5028000,6166000,4376000,4169000,3536000,3132000,2720000,3521000,3096000,3393000,3735000,5809000,11188000
53,Total Current Liabilities,5800000,16300000,6400000,5700000,6100000,6200000,7100000,8000000,6033000,21513000,9601000,7958000,8755000,9669000,11455000,18739000,16465000,16223000,16150000,15711000,16018000,13340000,14348000,24965000,8742000,9108000,9359000,7963000,9459000,11588000,11188000
54,Long-Term Debt,28700000,- -,9600000,6200000,4400000,3200000,2200000,16200000,42500000,44167000,40833000,37500000,47886000,41390000,51667000,59641000,54037000,46354000,36666000,31666000,26667000,21667000,16667000,- -,- -,- -,- -,- -,- -,1030000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1481000,3280000,3688000,6026000,8933000,12497000,15654000,17799000,19259000,19184000,19832000,12374000,12365000,17218000,21531000,23055000
57,Other Non-Current Liabilities,300000,1200000,1200000,700000,600000,700000,- -,200000,358000,272000,468000,755000,899000,1057000,1681000,1814000,2740000,5417000,3247000,3894000,4363000,3230000,1907000,1505000,1946000,1580000,1461000,1376000,3228000,1757000,3747000
58,Total Non-Current Liabilities,29000000,1200000,10800000,6900000,5000000,3900000,2200000,16400000,42858000,44439000,41301000,38255000,48785000,42447000,53348000,62936000,60057000,55459000,45939000,44493000,43527000,40551000,36373000,20764000,21130000,21412000,13835000,13741000,20446000,24318000,26802000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3160000,2217000,- -
61,Total Liabilities,34800000,17500000,17200000,12600000,11100000,10100000,9300000,24400000,48891000,65952000,50902000,46213000,57540000,52116000,64803000,81675000,76522000,71682000,62089000,60204000,59545000,53891000,50721000,45729000,29872000,30520000,23194000,21704000,29905000,35906000,37990000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,529000,529000,580000,580000,582000,584000,601000,621000,632000,635000,640000,642000,645000,648000,650000,652000,655000,657000,659000,661000,663000,666000,- -
64,Retained Earnings,2700000,12100000,12000000,13900000,17800000,19900000,22700000,25200000,27376000,26685000,27535000,27588000,31157000,37486000,45434000,58135000,68581000,83014000,96684000,114724000,136910000,153333000,168133000,184710000,194798000,209770000,233905000,250568000,243566000,268186000,- -
65,Other Comprehensive Income/Loss,-35300000,-31200000,-32300000,-35100000,-37500000,-41000000,-30900000,-32100000,-35381000,-38388000,-42636000,-254000,-237000,-363000,-215000,227000,-1641000,-3911000,-2718000,-3009000,-3001000,-2392000,-1498000,-1024000,-167308000,-223000,86000,-13000,-1000,- -,- -
66,Other Total Stockholders Equity,35800000,31800000,33000000,36000000,38400000,42300000,32400000,33600000,36273000,39280000,53028000,10392000,10458000,10516000,12401000,13510000,14133000,14709000,15375000,15937000,8459000,-31234000,-30480000,-29647000,138482000,-30565000,-29398000,-28249000,-27096000,-25660000,- -
67,Total Stockholders Equity,3200000,12700000,12700000,14800000,18700000,21200000,24200000,26700000,28797000,28106000,38507000,38306000,41960000,48223000,58221000,72493000,81705000,94447000,109981000,128294000,143013000,120355000,136805000,154691000,166627000,179639000,205252000,222967000,217132000,243192000,278206000
68,Total Liabilities And Stockholders Equity,38000000,30200000,29900000,27400000,29800000,31300000,33500000,51100000,77688000,94058000,89409000,84519000,99500000,100339000,123024000,154168000,158227000,166129000,172070000,188498000,202558000,174246000,187526000,200420000,196499000,210159000,228446000,244671000,247037000,279098000,316196000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,38000000,30200000,29900000,27400000,29800000,31300000,33500000,51100000,77688000,94058000,89409000,84519000,99500000,100339000,123024000,154168000,158227000,166129000,172070000,188498000,202558000,174246000,187526000,200420000,196499000,210159000,228446000,244671000,247037000,279098000,316196000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/82020/000095013496000590/0000950134-96-000590-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/82020/000095013405005940/d23747e10vk.htm,https://www.sec.gov/Archives/edgar/data/82020/000095013406005029/d33971e10vk.htm,https://www.sec.gov/Archives/edgar/data/82020/000095013407005937/d44656e10vk.htm,https://www.sec.gov/Archives/edgar/data/82020/000095013408004747/d54932e10vk.htm,https://www.sec.gov/Archives/edgar/data/82020/000095013409004608/0000950134-09-004608-index.html,https://www.sec.gov/Archives/edgar/data/82020/000095012310020047/0000950123-10-020047-index.html,https://www.sec.gov/Archives/edgar/data/82020/000095012311023236/d80419e10vk.htm,https://www.sec.gov/Archives/edgar/data/82020/000104746912001978/0001047469-12-001978-index.html,https://www.sec.gov/Archives/edgar/data/82020/000104746913002339/0001047469-13-002339-index.html,https://www.sec.gov/Archives/edgar/data/82020/000104746914001954/a2218769z10-k.htm,https://www.sec.gov/Archives/edgar/data/82020/000104746915001768/a2223416z10-k.htm,https://www.sec.gov/Archives/edgar/data/82020/000155837016003845/0001558370-16-003845-index.html,https://www.sec.gov/Archives/edgar/data/82020/000155837017001327/0001558370-17-001327-index.html,https://www.sec.gov/Archives/edgar/data/82020/000155837018001454/0001558370-18-001454-index.html,https://www.sec.gov/Archives/edgar/data/82020/000155837019001435/0001558370-19-001435-index.html,https://www.sec.gov/Archives/edgar/data/82020/000155837020001775/0001558370-20-001775-index.html,https://www.sec.gov/Archives/edgar/data/82020/000155837021002002/0001558370-21-002002-index.htm,https://www.sec.gov/Archives/edgar/data/82020/000155837022003310/0001558370-22-003310-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1000000,9400000,100000,1900000,4300000,2600000,3100000,2900000,2533000,-291000,1773000,636000,3860000,6329000,7948000,12701000,10446000,14433000,13670000,18040000,22186000,16423000,14800000,19367000,12886000,17754000,27148000,19685000,26056000,28223000,37045000
74,Depreciation and Amortization,4800000,5000000,4500000,3700000,3500000,3900000,3600000,2900000,4745000,5320000,6340000,6657000,6707000,8798000,8447000,10167000,12903000,- -,393000,304000,184000,194000,- -,- -,249000,210000,209000,- -,- -,19611000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-2500000,100000,329000,-317000,- -,- -,449000,1832000,-182000,1771000,1799000,2360000,1682000,3090000,3654000,2131000,1793000,1059000,-227000,648000,-7612000,20000,4848000,4313000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,627000,576000,737000,848000,1082000,934000,1102000,1199000,1036000,1405000,1489000,1524000,1915000,- -
77,Change in Working Capital,-1800000,-11500000,9900000,-700000,700000,-700000,-3000000,-3100000,21283000,-28428000,10402000,-43000,7395000,-3776000,4406000,-6502000,4829000,3872000,11872000,21566000,18744000,-18301000,17877000,2301000,16422000,12709000,12728000,-15261000,-10119000,29132000,41615989
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-579000,1127000,-474000,-1756000,1043000,455000,-3347000,1555000,-892000,308000,-3129000,-3346000,1109000,- -
79,Inventory,-1100000,-1100000,-700000,1700000,-600000,300000,300000,-200000,-1112000,34000,-825000,275000,173000,-377000,-1238000,-871000,-1311000,-2398000,2837000,-1141000,-164000,-3363000,439000,252000,-1292000,2295000,-1113000,700000,-542000,-1390000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1306000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,7700000,-3800000,6100000,5400000,6100000,5400000,2400000,-700000,20583000,-7845000,2557000,2514000,9909000,6133000,10539000,4037000,8866000,12738000,24610000,46176000,64920000,46619000,64496000,66797000,83219000,95928000,108656000,93395000,83276000,112408000,154023989
82,Other Non-Cash Items,-200000,-1400000,-11200000,500000,-600000,1300000,6100000,2600000,-26682000,33485000,-18315000,957000,-8890000,1927000,-3461000,7739000,-5504000,4464000,3381000,-9553000,-7109000,30158000,-1872000,8145000,1965000,5490000,404000,32802000,24702000,-24619000,-78660989
83,Cash Provided by Operating Activities,1800000,1500000,3300000,5400000,7900000,7100000,7300000,5400000,2208000,9769000,200000,8207000,9521000,15110000,17158000,25876000,24473000,25756000,31574000,34184000,38507000,31687000,33532000,31974000,32494000,37847000,34282000,38735000,47011000,58575000,- -
84,CAPEX,-4400000,-3100000,-3400000,-2700000,-4900000,-6100000,-11900000,-22800000,-10860000,-33730000,-4113000,-3622000,-12014000,-13608000,-11010000,-35552000,-18227000,-15760000,-6653000,-9328000,-9413000,-8292000,-8921000,-11672000,-11459000,-17664000,-21337000,-53762000,-27100000,-17133000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16932000,-1856000,- -,-2529000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8392000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,600000,18300000,100000,100000,200000,- -,7800000,- -,224000,87000,309000,76000,11000,60000,429000,17000,56000,11000,247000,74000,128000,42000,255000,-3389000,399000,158000,592000,605000,558000,331000,- -
89,Cash Used for Investing Activites,-3800000,15200000,-3300000,-2600000,-4700000,-6100000,-4100000,-22800000,-10636000,-33643000,-3804000,-3546000,-12003000,-13548000,-27513000,-37391000,-18171000,-18278000,-6406000,-9254000,-9285000,-8250000,-8666000,-15061000,-11060000,-17506000,-20745000,-53157000,-26542000,-25194000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7683000,-5000000,-5000000,-3750000,-6250000,-5000000,-5000000,-16667000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,400000,100000,- -,- -,- -,9551000,- -,68000,60000,440000,734000,106000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67000,-77000,-100000,-173000,-8323000,-40847000,-212000,-266000,-403000,-2928000,-309000,-411000,-444000,-557000,- -
93,Dividends Paid,- -,- -,- -,- -,-300000,-400000,-400000,-400000,-400000,-400000,-579000,-583000,-291000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2790000,-2798000,-2782000,-3013000,-3022000,-33058000,-3603000,- -
94,Other Financing Activites,2200000,-16400000,-1000000,-3200000,-1800000,-1200000,-1100000,15600000,26161000,11325000,-9834000,-4458000,8854000,-7770000,11000000,9754000,-5547000,39000,-4438000,- -,- -,75000,34000,- -,28000,155000,73000,73000,75000,81000,- -
95,Cash Used/Provided by Financing Activities,2200000,-16400000,-1000000,-3200000,-2100000,-1200000,-1400000,15200000,25761000,10925000,-862000,-5041000,8631000,-7710000,11440000,10488000,-5508000,-7721000,-9538000,-5173000,-12073000,-47022000,-5178000,-8056000,-19840000,-5555000,-3249000,-3360000,-33427000,-4079000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2200000,-16400000,-1000000,-3200000,-2100000,-1200000,-1400000,15200000,17333000,-12949000,-4466000,-380000,6149000,-6148000,1085000,-1027000,794000,-243000,15630000,19757000,17149000,-23585000,19688000,8857000,1594000,14786000,10288000,-17782000,-12958000,29302000,- -
