,https://roic.ai/company/GPN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,20028000,21756000,29571000,32061000,35540000,45306000,40489000,40365000,44034000,66288000,68667000,82237000,99099000,111788000,122069000,137505000,187881000,451151000,522813000,878335000,1614440000,1691384000
15,EBITDA,73800000,60240000,78035000,117205000,135289000,191553000,233535000,256786000,297376000,198019000,376882000,404712000,386989000,456766000,516565000,567976000,599558000,993036000,1247973000,1676043000,2619661000,3159529000
16,EBITDA ratio,0.2170,0.1706,0.1686,0.2271,0.2150,0.2442,0.2572,0.2419,0.2334,0.1236,0.2295,0.2176,0.1756,0.1922,0.2022,0.2048,0.2069,0.2498,0.3707,0.3412,0.3529,0.3707
17,Operating Income,63212000,53046000,82411000,93265000,112901000,160101000,201088000,218089000,251359000,161429000,323279000,331594000,307349000,357213000,405499000,456597000,424944000,558868000,737055000,791417000,893953000,1358876000
18,Operating Income ratio,0.1859,0.1502,0.1781,0.1807,0.1794,0.2041,0.2214,0.2054,0.1973,0.1008,0.1968,0.1783,0.1395,0.1503,0.1588,0.1646,0.1466,0.1406,0.2189,0.1611,0.1204,0.1594
19,Total Other Income Expenses (Gains),-9440000,-14562000,-17948000,-8121000,-13152000,-6184000,432000,8242000,10044000,-2000,-12890000,-7387000,-6902000,-22929000,-28149000,-39487000,-64032000,-166185000,-174900000,-273492000,-299997000,-314331000
20,Income Before Tax,53772000,38484000,64463000,85144000,99749000,153917000,201520000,226331000,261403000,161427000,310389000,324207000,300447000,334284000,377350000,417110000,360912000,392683000,562155000,517925000,593956000,1044545000
21,Income Before Tax Ratio,0.1581,0.1090,0.1393,0.1650,0.1585,0.1962,0.2219,0.2132,0.2051,0.1008,0.1890,0.1743,0.1363,0.1407,0.1477,0.1504,0.1245,0.0988,0.1670,0.1054,0.0800,0.1225
22,Income Tax expense (Gain),20725000,14816000,24624000,31844000,37306000,53351000,67522000,73436000,90588000,87249000,87379000,95076000,82881000,95571000,107398000,107995000,70695000,-101387000,77488000,62190000,77153000,169034000
23,Net Income,33047000,23668000,23840000,53300000,62443000,92896000,125524000,142985000,162754000,37217000,203317000,209238000,188161000,216125000,245286000,278040000,271666000,468425000,452053000,430613000,584520000,965460000
24,Net Income ratio,0.0972,0.0670,0.0515,0.1033,0.0992,0.1184,0.1382,0.1347,0.1277,0.0232,0.1238,0.1125,0.0854,0.0910,0.0960,0.1002,0.0937,0.1178,0.1343,0.0877,0.0787,0.1133
25,EPS,0.31,0.21,0.16,0.36,0.41,0.60,0.80,0.89,1.02,0.23,1.25,1.31,1.77,1.39,1.70,2.08,2.05,3.03,2.85,2.17,1.95,3.39
26,EPS Diluted,0.31,0.20,0.16,0.35,0.40,0.58,0.77,0.88,1.00,0.23,1.24,1.30,1.76,1.38,1.69,2.06,2.04,3.01,2.84,2.16,1.95,3.38
27,Weighted Average Shares Outstanding,106603226,114062651,146707692,148055556,150465060,154184232,157891824,160657303,158784390,159436000,162150000,159674000,157658000,155534000,144238000,134072000,132284000,154652000,158672000,198298000,299222000,291502000
28,Weighted Average Shares Outstanding Diluted,106603226,115453659,151365079,151205674,156107500,159478112,164083660,163411429,161944279,161984000,164240000,160956000,158862000,156454000,145376000,134922000,133167000,155528000,159271000,199134000,300516000,292507000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1123360/000093176302002979/0000931763-02-002979-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312503042188/0001193125-03-042188-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312504136910/0001193125-04-136910-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312505168681/d10k.htm,https://www.sec.gov/Archives/edgar/data/1123360/000119312506161792/d10k.htm,https://www.sec.gov/Archives/edgar/data/1123360/000119312507165419/0001193125-07-165419-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312508160811/0001193125-08-160811-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312509157024/0001193125-09-157024-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312510169025/0001193125-10-169025-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312511196004/0001193125-11-196004-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336012000045/0001123360-12-000045-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336013000025/0001123360-13-000025-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336014000033/0001123360-14-000033-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336015000026/0001123360-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336016000094/gpn20160531-10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1123360/000112336019000008/0001123360-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336020000009/0001123360-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336021000009/0001123360-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1123360/000112336022000007/0001123360-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6103000,19194000,38010000,34472000,48979000,218475000,308872000,456060000,426935000,769946000,1354285000,781275000,680470000,581872000,650739000,1044728000,1335855000,1210878000,1678273000,1945868000,1979308000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,6103000,19194000,38010000,34472000,48979000,218475000,308872000,456060000,426935000,769946000,1354285000,781275000,680470000,581872000,650739000,1044728000,1335855000,1210878000,1678273000,1945868000,1979308000
34,Net Receivables,- -,116364000,48071000,79707000,143408000,55869000,68379000,79812000,101533000,123438000,132481000,167454000,183991000,190591000,215383000,202938000,288411000,301887000,348400000,895232000,794172000,946247000
35,Inventory,- -,3216000,2611000,1348000,3051000,2625000,3300000,3435000,3821000,5914000,9740000,7640000,9864000,11057000,6636000,5228000,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,10815000,9581000,9138000,22273000,82517000,58252000,52310000,55996000,38901000,56097000,318596000,273609000,332374000,839553000,2443390000,1518174000,2665837000,1816930000,1792943000,1852320000,1785430000
37,Total Current Assets,- -,136498000,79457000,128203000,203204000,189990000,348406000,444429000,617410000,595188000,968264000,1847975000,1248739000,1214492000,1643444000,3302295000,2851313000,4303579000,3376208000,4366448000,4592360000,4710985000
38,PP&E,- -,44336000,53643000,51785000,97482000,104173000,107977000,118495000,141415000,176226000,183938000,256301000,305848000,348064000,369753000,374143000,493678000,588348000,653542000,1382802000,1578532000,1687586000
39,Goodwill,- -,- -,- -,- -,- -,- -,387280000,451244000,497136000,625120000,569090000,779637000,724687000,1044222000,1337285000,1491833000,4829405000,5703992000,6341355000,23759740000,23871451000,24813274000
40,Intangible Assets,- -,277375000,293020000,299114000,524670000,547750000,167182000,175620000,175636000,258094000,205110000,341500000,290188000,400848000,535173000,560136000,2264708000,2181707000,2488618000,13154655000,12015883000,11633709000
41,Intangible Assets,- -,277375000,293020000,299114000,524670000,547750000,554462000,626864000,672772000,883214000,774200000,779637000,1014875000,1445070000,1872458000,2051969000,7094113000,7885699000,8829973000,36914395000,35887334000,36446983000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90470000,104140000,97235000,95178000,101928000,30578000,22719000,13146000,8128000,6292000,7627000,12117000
44,Other Non-Current Assets,- -,395000,5298000,5132000,7539000,11592000,7833000,10841000,14310000,22193000,22454000,362478000,21446000,22252000,31067000,34563000,48129000,207297000,362923000,1810225000,2135692000,2422042000
45,Total Non-Current Assets,- -,322106000,351961000,356031000,629691000,663515000,670272000,756200000,828497000,1081633000,1071062000,1502556000,1439404000,1910564000,2375206000,2491253000,7658639000,8694490000,9854566000,40113714000,39609185000,40568728000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,458604000,431418000,484234000,832895000,853505000,1018678000,1200629000,1445907000,1676821000,2039326000,3350531000,2688143000,3125056000,4018650000,5793548000,10509952000,12998069000,13230774000,44480162000,44201545000,45279713000
48,Accounts Payable,- -,47916000,63162000,58781000,79773000,87537000,25988000,21670000,138243000,180043000,173575000,20053000,11817000,18497000,13076000,22836000,25195000,47391000,76229000,148084000,128721000,262014000
49,Short-Term Debt,- -,75739000,24599000,1456000,206299000,67342000,746000,- -,1527000,39567000,227356000,356547000,291811000,259796000,457805000,655129000,513978000,735474000,815561000,587186000,1289761000,666261000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,9633000,6430000,7674000,12283000,18870000,12390000,14228000,- -,35405000,51108000,56426000,13517000,51818000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267094000,498114000,553064000,585780000,863801000,1003635000
52,Other Current Liabilities,- -,8829000,9244000,2624000,- -,27924000,122921000,121207000,77982000,116567000,271540000,1067764000,533657000,425821000,740737000,2337939000,1624440000,2534611000,1823766000,2258296000,2266808000,2531104000
53,Total Current Liabilities,- -,132484000,97005000,62861000,286072000,182803000,149655000,142877000,217752000,336177000,672471000,1444364000,837285000,704114000,1211618000,3015904000,2430707000,3815590000,3268620000,3579346000,4549091000,4463014000
54,Long-Term Debt,- -,- -,- -,- -,10886000,- -,- -,- -,- -,167610000,272965000,268217000,236565000,891134000,1376002000,1680000000,4379744000,4559408000,5015168000,9090364000,8466407000,11414809000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,7237000,1788000,19344000,46804000,58871000,68791000,70768000,75001000,76405000,88265000,116432000,106644000,170723000,209099000,214669000,744862000,436879000,585025000,3145641000,2948390000,2793427000
57,Other Non-Current Liabilities,- -,9009000,11096000,12362000,16581000,17141000,17013000,14275000,11612000,49614000,134108000,49843000,62306000,72478000,89132000,19422000,77235000,220961000,175618000,609822000,750613000,739046000
58,Total Non-Current Liabilities,- -,16246000,12884000,31706000,74271000,76012000,85804000,85043000,86613000,293629000,495338000,434492000,405515000,1134335000,1674233000,1914091000,5201841000,5217248000,5775811000,12845827000,12165410000,14947282000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,3251000,2061000,746000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88812000,103706000,103554000
61,Total Liabilities,- -,148730000,109889000,94567000,360343000,258815000,235459000,227920000,304365000,629806000,1167809000,1878856000,1242800000,1838449000,2885851000,4929995000,7632548000,9032838000,9044431000,16425173000,16714501000,19410296000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,2217000,20200000,67582000,123995000,210686000,329874000,466417000,621875000,652675000,544772000,715202000,843456000,958751000,815980000,795226000,1015811000,1597897000,2066415000,2333011000,2570874000,2982122000
65,Other Comprehensive Income/Loss,- -,- -,-63741000,12058000,11074000,20233000,50983000,61193000,124202000,-10901000,-44255000,79320000,-30000000,-15062000,-1776000,-185992000,-246050000,-183144000,-310175000,-310571000,-202273000,-234182000
66,Other Total Stockholders Equity,- -,307657000,365070000,391438000,437206000,362004000,400345000,445292000,395667000,405340000,370745000,677473000,631887000,342856000,318819000,254327000,2107593000,- -,2429928000,26032978000,- -,- -
67,Total Stockholders Equity,- -,309874000,321529000,366426000,449422000,578350000,770223000,957776000,1126818000,1047015000,861264000,1184535000,1172184000,1146085000,997227000,757976000,2746476000,3794527000,3991407000,27855747000,27332370000,25628201000
68,Total Liabilities And Stockholders Equity,- -,458604000,431418000,460993000,809765000,837165000,1005682000,1185696000,1431183000,1676821000,2029073000,3063391000,2414984000,2984534000,3883078000,5687971000,10379024000,12827365000,13035838000,44280920000,44046871000,45038497000
69,Minority Interest,- -,- -,- -,23241000,23130000,16340000,12996000,14933000,14724000,- -,10253000,287140000,273159000,140522000,135572000,105577000,130928000,170704000,194936000,199242000,154674000,241216000
70,Total Liabilities & Equity,- -,458604000,431418000,484234000,832895000,853505000,1018678000,1200629000,1445907000,1676821000,2039326000,3350531000,2688143000,3125056000,4018650000,5793548000,10509952000,12998069000,13230774000,44480162000,44201545000,45279713000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1123360/000093176302002979/0000931763-02-002979-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312503042188/0001193125-03-042188-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312504136910/0001193125-04-136910-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312505168681/d10k.htm,https://www.sec.gov/Archives/edgar/data/1123360/000119312506161792/d10k.htm,https://www.sec.gov/Archives/edgar/data/1123360/000119312507165419/0001193125-07-165419-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312508160811/0001193125-08-160811-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312509157024/0001193125-09-157024-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312510169025/0001193125-10-169025-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312511196004/0001193125-11-196004-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336012000045/0001123360-12-000045-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336013000025/0001123360-13-000025-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336014000033/0001123360-14-000033-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336015000026/0001123360-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336016000094/gpn20160531-10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1123360/000112336019000008/0001123360-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336020000009/0001123360-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336021000009/0001123360-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1123360/000112336022000007/0001123360-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,33047000,23668000,23840000,53300000,62443000,92896000,125524000,142985000,162754000,37217000,203317000,209238000,188161000,216125000,245286000,278040000,271666000,468425000,452053000,430613000,584520000,965460000
74,Depreciation and Amortization,20028000,21756000,29571000,32061000,35540000,45306000,40489000,40365000,44034000,66288000,68667000,82237000,99099000,111788000,122069000,137505000,187881000,451151000,522813000,878335000,1614440000,1691384000
75,Deferred Income Tax,1786000,-3694000,-6620000,10968000,-1737000,9002000,777000,-2211000,-1151000,5457000,2722000,19154000,-19498000,33112000,-1799000,81079000,-18162000,-250670000,-1451000,-108309000,-166224000,-189050000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,14570000,18072000,15885000,16391000,18427000,29793000,21056000,30809000,39095000,57826000,89634000,148792000,180779000
77,Change in Working Capital,-20201000,26294000,-21562000,82890000,-148210000,90055000,191564000,102801000,98106000,-140647000,36782000,107818000,7843000,98924000,-78552000,-145435000,134215000,67383000,-380401000,679514000,-743833000,-168183000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25077000,-11689000,-34723000,-16422000,-5458000,-18539000,1248000,-14542000,-14096000,-33386000,-115528000,55986000,-165543000
79,Inventory,-2112000,728000,605000,1263000,-85000,458000,-520000,-167000,-623000,-1653000,-4727000,1979000,-2394000,-1187000,4793000,127000,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39374000,9224000,-72802000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-22280000,4014000,-17548000,65342000,-82868000,7187000,198751000,301552000,399658000,259011000,295793000,403611000,411454000,510378000,431826000,286391000,420606000,487989000,107588000,787102000,43269000,128584000
82,Other Non-Cash Items,6636000,10590000,135239000,-143660000,144134000,-7700000,-123581000,-92808000,-31329000,400086000,136201000,275440000,-465471000,-237830000,-122699000,52456000,-21408000,-262996000,455242000,-578509000,876455000,300435000
83,Cash Provided by Operating Activities,41296000,78614000,160468000,35559000,92170000,229559000,234773000,191132000,272414000,382971000,465761000,709772000,-173475000,240546000,194098000,424701000,585001000,512388000,1106082000,1391278000,2314150000,2780825000
84,CAPEX,-6002000,-13601000,-22390000,-17926000,-24564000,-34305000,-25038000,-35374000,-44974000,-40940000,-56054000,-98537000,-109876000,-98590000,-81411000,-92550000,-91591000,-181905000,-213290000,-307868000,-436236000,-493216000
85,Acquisitions Net,- -,-23350000,-60154000,-1153000,-122276000,-30773000,-4917000,-81261000,-18247000,-525205000,30718000,-170545000,-44274000,-434016000,-426524000,-359187000,-2035657000,-562688000,-1259692000,-644622000,-160801000,-1811432000
86,Purchases of Investments,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,6888000,311000,- -,1152000,1227000,3607000,10597000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-6002000,3502000,-5000000,- -,- -,- -,- -,- -,- -,-40940000,-56233000,-96475000,-107311000,-95778000,-78753000,-92331000,-91591000,-173337000,-216595000,-272464000,-277541000,-482394000
89,Cash Used for Investing Activites,-11002000,-33449000,-87544000,-19079000,-146840000,-65078000,-29955000,-116635000,-63221000,-559257000,-25204000,-267020000,-150433000,-528567000,-501670000,-440921000,-2127248000,-736025000,-1476287000,-917086000,-438342000,-2293826000
90,Debt Repayment,-9457000,- -,- -,- -,- -,- -,- -,- -,- -,-16734000,-382880000,-280198000,-184235000,-482349000,-2260597000,-2148907000,-3691608000,-1781541000,-2304314000,-6484689000,-2342072000,-4826769000
91,Common Stock Issued,- -,302000,6734000,5965000,11463000,15020000,23922000,19332000,17385000,9050000,30248000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-87020000,- -,-98080000,-14900000,-104465000,-175297000,-447307000,-372387000,-135954000,-34811000,-208198000,-311383000,-631148000,-2533629000
93,Dividends Paid,-4377000,-1459000,-5857000,-5918000,-6030000,- -,-6336000,-6442000,-6377000,-6417000,-6497000,-6388000,-6311000,-6198000,-5757000,-5340000,-5439000,-6732000,-6332000,-86738000,-233216000,-259726000
94,Other Financing Activites,-15050000,-40671000,-60710000,2289000,44680000,-167373000,-71860000,-2004000,-361000,175586000,361459000,415609000,76825000,847366000,2932557000,2668009000,5798488000,2175389000,2805774000,6854136000,1660294000,7214759000
95,Cash Used/Provided by Financing Activities,-28884000,-41828000,-59833000,2336000,50113000,-152353000,-54274000,10886000,-76373000,161485000,-95750000,114123000,-218186000,183522000,218896000,141375000,1965487000,352305000,286930000,-28674000,-1546142000,-405365000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,1019000,2379000,18952000,5014000,14368000,-14324000,-1796000,27464000,-30916000,3694000,-9922000,-56288000,-29251000,44408000,-41702000,21877000,81832000,-48382000
97,Net Change In Cash,1410000,3337000,13091000,18816000,-3538000,14507000,169496000,90397000,147188000,-29125000,343011000,584339000,-573010000,-100805000,-98598000,68867000,393989000,173076000,-124977000,467395000,411498000,33252000
98,Cash at the End of Period,2766000,6103000,19194000,38010000,34472000,48979000,218475000,308872000,456060000,426935000,769946000,1354285000,781275000,680470000,581872000,650739000,1044728000,1335855000,1210878000,1678273000,2089771000,2123023000
99,Cash at the Beginning of Period,1356000,2766000,6103000,19194000,38010000,34472000,48979000,218475000,308872000,456060000,426935000,769946000,1354285000,781275000,680470000,581872000,650739000,1162779000,1335855000,1210878000,1678273000,2089771000
100,Free Cash Flow,35294000,65013000,138078000,17633000,67606000,195254000,209735000,155758000,227440000,342031000,409707000,611235000,-283351000,141956000,112687000,332151000,493410000,330483000,892792000,1083410000,1877914000,2287609000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1123360/000093176302002979/0000931763-02-002979-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312503042188/0001193125-03-042188-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312504136910/0001193125-04-136910-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312505168681/d10k.htm,https://www.sec.gov/Archives/edgar/data/1123360/000119312506161792/d10k.htm,https://www.sec.gov/Archives/edgar/data/1123360/000119312507165419/0001193125-07-165419-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312508160811/0001193125-08-160811-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312509157024/0001193125-09-157024-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312510169025/0001193125-10-169025-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000119312511196004/0001193125-11-196004-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336012000045/0001123360-12-000045-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336013000025/0001123360-13-000025-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336014000033/0001123360-14-000033-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336015000026/0001123360-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336016000094/gpn20160531-10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1123360/000112336019000008/0001123360-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336020000009/0001123360-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1123360/000112336021000009/0001123360-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1123360/000112336022000007/0001123360-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
