,https://roic.ai/company/KBAL,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,61600000,73000000,83500000,108300000,126600000,137600000,154700000,160700000,161500000,170900000,190400000,205100000,218600000,232900000,251800000,270300000,290500000,303665000,243843000,237512000,228510000,229114000,221709000,219438000,233409000,232131000,159294000,171791000,191167000,188148000,200331000,215039000,166253000,162979000,168474000,170383000,204140000,187885000,181780000
11,COGS and Expenses,228000000,283100000,319700000,349900000,419500000,474600000,540500000,547100000,514400000,568200000,675900000,765200000,834100000,861100000,911000000,959900000,1029300000,1133818000,1212761000,1141178000,1133389000,1124084000,1110366000,1115829000,1258979000,1335642000,1164195000,1118066000,1199172000,1120254000,1179717000,1244362000,578256000,594277000,615103000,634537000,717658000,664983000,568360000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2499000,1188000,820000,430000,404000,220000,213000,275000,536000,1057000,1931000,1641000,336000
13,Interest Expense (Gain),1300000,2100000,2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1565000,142000,121000,35000,35000,28000,24000,22000,37000,221000,174000,79000,453000
14,Depreciation and Amortization,- -,- -,11600000,14900000,17500000,19000000,21800000,23000000,23600000,25300000,27300000,28700000,30100000,36100000,33400000,33800000,39700000,43801000,47652000,46852000,43800000,41336000,41884000,37907000,38905000,39421000,37618000,34760000,31207000,30973000,30758000,31885000,20114000,14996000,15553000,15470000,16580000,17509000,21194000
15,EBITDA,30200000,41700000,67600000,61100000,76500000,77800000,78200000,94100000,72700000,86000000,80600000,88200000,100900000,110400000,121900000,121200000,132000000,118203000,74573000,98457000,50233000,71168000,62314000,59002000,71143000,36933000,64509000,40870000,35765000,48710000,53456000,75086000,46974000,48408000,73608000,68016000,68424000,73718000,26257000
16,EBITDA ratio,0.1170,0.1304,0.1832,0.1550,0.1603,0.1468,0.1314,0.1535,0.1309,0.1393,0.1116,0.1072,0.1126,0.1195,0.1229,0.1174,0.1192,0.0984,0.0591,0.0840,0.0435,0.0620,0.0554,0.0516,0.0553,0.0273,0.0534,0.0364,0.0297,0.0427,0.0444,0.0584,0.0782,0.0762,0.1099,0.0992,0.0891,0.1013,0.0461
17,Operating Income,30100000,36900000,49300000,44200000,57600000,55200000,54600000,65900000,40900000,49100000,46500000,57300000,61800000,62500000,81000000,72400000,77700000,67127000,20715000,30429000,-86000,21195000,13398000,17117000,26423000,-5568000,25685000,2691000,2416000,18389000,23001000,40583000,17322000,33497000,56663000,51063000,49475000,54387000,1521000
18,Operating Income ratio,0.1166,0.1153,0.1336,0.1122,0.1207,0.1042,0.0917,0.1075,0.0737,0.0795,0.0644,0.0697,0.0690,0.0677,0.0817,0.0701,0.0702,0.0559,0.0164,0.0260,-0.0001,0.0185,0.0119,0.0150,0.0205,-0.0041,0.0213,0.0024,0.0020,0.0161,0.0191,0.0316,0.0288,0.0527,0.0846,0.0745,0.0644,0.0747,0.0027
19,Total Other Income Expenses (Gains),-1200000,2700000,3200000,2000000,1400000,3600000,1800000,5200000,8200000,11600000,6800000,2200000,9000000,11800000,7500000,15000000,14600000,7275000,6206000,21176000,6519000,8637000,9374000,10795000,9929000,3204000,-359000,3277000,2021000,-687000,-338000,2590000,357000,-107000,1355000,1262000,2195000,1743000,3089000
20,Income Before Tax,28900000,39600000,52500000,46200000,59000000,58800000,56400000,71100000,49100000,60700000,53300000,59500000,70800000,74300000,88500000,87400000,92300000,74402000,26921000,51605000,6433000,29832000,22772000,27912000,36352000,-2364000,25326000,5968000,4437000,17702000,22663000,43173000,17679000,33390000,58018000,52325000,51670000,56130000,4610000
21,Income Before Tax Ratio,0.1120,0.1238,0.1423,0.1172,0.1237,0.1110,0.0948,0.1160,0.0884,0.0983,0.0738,0.0723,0.0790,0.0804,0.0892,0.0847,0.0834,0.0620,0.0213,0.0440,0.0056,0.0260,0.0203,0.0244,0.0282,-0.0017,0.0210,0.0053,0.0037,0.0155,0.0188,0.0336,0.0294,0.0526,0.0866,0.0763,0.0673,0.0771,0.0081
22,Income Tax expense (Gain),13000000,18100000,23900000,20100000,29100000,23200000,22100000,27600000,19100000,22100000,22700000,23300000,29400000,29200000,30800000,32400000,32600000,25940000,10338000,17105000,839000,8147000,3842000,5733000,13086000,-2442000,7998000,-4835000,-485000,6068000,2784000,9712000,6536000,12234000,20512000,17886000,12326000,15076000,-2806000
23,Net Income,15900000,21500000,29600000,26100000,29900000,35600000,34300000,43500000,30000000,38600000,30600000,36200000,41400000,45100000,57700000,55000000,59700000,48462000,16583000,34500000,5594000,21685000,16588000,15362000,19152000,-46000,17328000,10803000,4922000,11634000,19879000,33461000,20300000,21156000,37506000,34439000,39344000,41054000,7416000
24,Net Income ratio,0.0616,0.0672,0.0802,0.0662,0.0627,0.0672,0.0576,0.0710,0.0540,0.0625,0.0424,0.0440,0.0462,0.0488,0.0582,0.0533,0.0539,0.0404,0.0131,0.0294,0.0048,0.0189,0.0148,0.0134,0.0149,-0.0000,0.0144,0.0096,0.0041,0.0102,0.0165,0.0260,0.0338,0.0333,0.0560,0.0502,0.0512,0.0564,0.0130
25,EPS,0.38,0.50,0.69,0.61,0.71,0.84,0.81,1.03,0.71,0.92,0.73,1.70,1.96,2.15,2.78,1.32,1.46,1.19,0.41,0.89,0.13,0.56,0.44,0.41,0.50,-0.00,0.47,0.29,0.13,0.31,0.53,0.88,0.53,0.56,1.00,0.92,1.07,1.11,0.20
26,EPS Diluted,0.38,0.50,0.69,0.61,0.71,0.84,0.81,1.03,0.71,0.92,0.73,1.70,1.96,2.15,2.78,1.31,1.45,1.19,0.41,0.89,0.13,0.55,0.44,0.40,0.49,-0.00,0.46,0.29,0.13,0.31,0.52,0.86,0.52,0.56,0.99,0.92,1.06,1.11,0.20
27,Weighted Average Shares Outstanding,42400000,42700000,42800000,42786885,42112676,42380952,42345679,42233010,42253521,41956522,41917808,21165000,21071000,20905000,20725000,41417000,40624000,40234000,39093000,38038000,38064000,38101000,38141000,38197000,38602000,37114000,37161000,37459000,37726000,37881000,38063000,38404000,38645000,37462000,37334000,37314000,36842000,36883000,36901000
28,Weighted Average Shares Outstanding Diluted,42400000,42700000,42800000,42786885,42112676,42380952,42345679,42233010,42253521,41956522,41917808,42153846,41756757,41486486,42277228,41814000,40839000,40349000,39151000,38068000,38085000,38307000,38359000,38384000,39257000,37372000,37346000,37561000,37873000,38087000,38522000,39037000,38971000,37852000,37833000,37494000,37064000,37037000,37372000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55772/000005577201500010/k01.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577202000009/k02.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577203000008/k03.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577204000011/k04.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577205000011/k05.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577206000008/k06.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577207000013/k07.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577208000010/k08.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577209000012/k09.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577210000008/k10.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577211000014/kbalb0630201110kq4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577212000013/kbalb0630201210kq4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577213000016/kbalb06302013q410k.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577214000034/kbalb06302014q410k.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577215000026/kbal06302015q410k.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577216000064/kbal10k06302016q4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577217000020/kbal10k06302017q4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577218000022/kbal10k06302018q4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577219000027/kbal10k06302019q4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577220000108/0000055772-20-000108-index.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577221000119/0000055772-21-000119-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,32200000,36000000,42800000,27000000,49000000,40500000,41900000,99800000,120100000,4900000,4600000,15500000,15300000,5600000,18800000,16800000,16800000,5223000,11237000,18662000,51291000,54941000,57253000,64857000,35027000,30805000,75932000,65342000,51409000,75197000,103600000,136624000,34661000,47576000,62882000,52663000,73196000,91798000,24336000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79366000,68746000,53919000,30729000,30541000,60270000,106846000,67350000,51635000,25376000,2496000,- -,- -,- -,- -,- -,- -,35683000,34607000,33071000,5294000,- -
33,Cash and Short-Term Investments,32200000,36000000,42800000,27000000,49000000,40500000,41900000,99800000,120100000,4900000,4600000,15500000,15300000,5600000,18800000,16800000,16800000,84589000,79983000,72581000,82020000,85482000,117523000,171703000,102377000,82440000,101308000,67838000,51409000,75197000,103600000,136624000,34661000,47576000,98565000,87270000,106267000,97092000,24336000
34,Net Receivables,33900000,38000000,42400000,45700000,51400000,61500000,69700000,63900000,57300000,75800000,87600000,96100000,96100000,117100000,110100000,119200000,132300000,180929000,150015000,150836000,126585000,127411000,125178000,154571000,172190000,180307000,143398000,154343000,149753000,139467000,160767000,175695000,55710000,51710000,53909000,60984000,63120000,68365000,58708000
35,Inventory,46500000,54700000,50800000,61100000,66100000,76500000,72100000,61400000,57600000,72900000,84700000,81100000,76100000,89500000,76100000,96300000,96200000,117058000,117681000,100632000,87299000,92531000,87531000,109479000,135901000,164961000,127004000,146406000,141097000,117681000,123998000,140475000,37634000,40938000,38062000,39509000,46812000,49857000,54291000
36,Other Current Assets,1500000,3400000,4000000,6500000,7200000,13200000,7300000,8800000,7700000,121900000,118600000,95500000,119300000,130100000,171800000,180600000,141000000,30944000,33808000,40108000,42523000,34621000,21808000,32327000,37380000,38601000,37078000,44936000,53022000,46345000,40534000,46998000,23548000,19418000,12273000,18804000,13386000,17084000,22012000
37,Total Current Assets,114100000,132100000,140000000,140300000,173700000,191700000,191000000,233900000,242700000,275500000,295500000,288200000,306800000,342300000,376800000,412900000,386300000,413520000,381487000,364157000,338427000,340045000,352040000,468080000,447848000,466309000,408788000,413523000,395281000,378690000,428899000,499792000,151553000,159642000,202809000,206567000,229585000,232398000,159347000
38,PP&E,51600000,64600000,89100000,111900000,111300000,125100000,143700000,140800000,135800000,142300000,152400000,171200000,177100000,174000000,174000000,182800000,221500000,248210000,241952000,236176000,198981000,198146000,176054000,151122000,173800000,189904000,200474000,186999000,196682000,186099000,185744000,188833000,97163000,87086000,80069000,84487000,90671000,108502000,105277000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3286000,15518000,15355000,2608000,2443000,2644000,2480000,2511000,2564000,- -,- -,- -,8824000,11160000,11160000,81962000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26602000,18763000,13373000,10181000,8113000,7625000,6206000,5276000,4191000,2669000,3021000,2932000,12607000,12108000,13949000,64478000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29888000,34281000,28728000,12789000,10556000,10269000,8686000,7787000,6755000,2669000,3021000,2932000,21431000,23268000,25109000,146440000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,4000000,4700000,6400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12790000,14487000,4916000,8722000,7485000,16368000
44,Other Non-Current Assets,-700000,-900000,-3000000,3700000,4100000,3600000,3000000,3300000,4200000,4200000,4800000,12000000,13200000,21900000,30800000,33900000,53600000,61921000,55545000,73779000,78236000,75878000,72446000,29931000,38812000,37726000,20218000,25673000,24080000,22041000,22089000,26766000,14744000,11031000,13450000,12767000,12420000,12773000,17163000
45,Total Non-Current Assets,54900000,68400000,92500000,115600000,115400000,128700000,146700000,144100000,140000000,146500000,157200000,183200000,190300000,195900000,204800000,216700000,275100000,310131000,297497000,309955000,277217000,274024000,248500000,210941000,246893000,256358000,233481000,223228000,231031000,216826000,215620000,222354000,114576000,113928000,110938000,123601000,135081000,153869000,285248000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,169000000,200500000,232500000,255900000,289100000,320400000,337700000,378000000,382700000,422000000,452700000,471400000,497100000,538200000,581600000,629600000,661400000,723651000,678984000,674112000,615644000,614069000,600540000,679021000,694741000,722667000,642269000,636751000,626312000,595516000,644519000,722146000,266129000,273570000,313747000,330168000,364666000,386267000,444595000
48,Accounts Payable,10900000,11900000,13100000,- -,- -,- -,- -,- -,- -,24800000,38500000,33100000,35300000,51000000,53100000,60900000,78000000,102835000,102025000,104547000,79349000,89907000,87049000,140628000,150409000,174575000,165051000,178693000,149107000,137423000,155709000,174436000,41170000,41826000,44730000,48214000,47916000,40229000,41537000
49,Short-Term Debt,3500000,2800000,1500000,1300000,6500000,7200000,7400000,6200000,5800000,7600000,1800000,2800000,2200000,2800000,3000000,4800000,4700000,38421000,1031000,611000,1340000,426000,2203000,23560000,27483000,53090000,12737000,61000,12000,14000,23000,25000,27000,29000,3779000,23000,25000,4913000,6620000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4193000,3635000,8187000,2933000,3142000,2568000,3598000,4115000,6858000,10295000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18618000,18625000,20516000,21253000,24611000,19649000,24438000
52,Other Current Liabilities,23500000,29800000,30400000,49400000,55300000,62000000,56900000,66100000,59400000,48400000,59800000,66300000,67500000,68200000,77200000,87500000,85900000,82139000,97517000,70815000,56957000,57465000,59120000,72511000,71345000,76042000,54819000,54751000,68151000,50303000,58719000,79139000,47346000,46395000,51314000,51956000,60532000,44530000,42647000
53,Total Current Liabilities,37900000,44500000,45000000,50700000,61800000,69200000,64300000,72300000,65200000,80800000,100100000,102200000,105000000,122000000,133300000,153200000,168600000,223395000,200573000,175973000,137646000,147798000,148372000,236699000,249237000,303707000,232607000,233505000,217270000,187740000,214451000,253600000,107161000,106875000,120339000,121446000,133084000,109321000,115242000
54,Long-Term Debt,5600000,12800000,19100000,16400000,13600000,11300000,8900000,6900000,4400000,3200000,2000000,800000,900000,3000000,2300000,1900000,1700000,2599000,3320000,2291000,833000,395000,350000,1125000,832000,421000,360000,299000,286000,273000,294000,268000,241000,212000,184000,161000,136000,109000,52615000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,8600000,10800000,13300000,15900000,18300000,17700000,17000000,17300000,17500000,19800000,22200000,23200000,25900000,26800000,29130000,32667000,43360000,41749000,31265000,23592000,18615000,17224000,26072000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,5700000,6400000,7800000,1300000,1700000,1900000,1600000,- -,- -,-100000,- -,-100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26948000,25519000,21357000,21275000,25268000,26745000,17222000,16615000,17020000,15537000,14956000,32041000,37068000
58,Total Non-Current Liabilities,11300000,19200000,26900000,26300000,26100000,26500000,26400000,25200000,22100000,20100000,19300000,18200000,20800000,25200000,25500000,27800000,28500000,31729000,35987000,45651000,42582000,31660000,23942000,19740000,18056000,26493000,27308000,25818000,21643000,21548000,25562000,27013000,17463000,16827000,17204000,15698000,15092000,32150000,89683000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3752000,- -,- -,21496000,19126000
61,Total Liabilities,49200000,63700000,71900000,77000000,87900000,95700000,90700000,97500000,87300000,100900000,119400000,120400000,125800000,147200000,158800000,181000000,197100000,255124000,236560000,221624000,180228000,179458000,172314000,256439000,267293000,330200000,259915000,259323000,238913000,209288000,240013000,280613000,124624000,123702000,137543000,137144000,148176000,141471000,204925000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3300000,6700000,6700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,2151000,2151000,2151000,2151000,2151000,2151000,2151000,2151000,2151000,2151000,2151000,2151000,2151000,2151000,2151000,2151000,2151000,2151000,2151000,2151000,2151000,2151000
64,Retained Earnings,112700000,129400000,153400000,173300000,196200000,222700000,246400000,277700000,293800000,317700000,331800000,350300000,373700000,399000000,434700000,464900000,499000000,522041000,513981000,524418000,505925000,503396000,495557000,486518000,480863000,456413000,458180000,454800000,450172000,452093000,462957000,487040000,194372000,205104000,230763000,249945000,277391000,305024000,299034000
65,Other Comprehensive Income/Loss,-1400000,-2000000,-2600000,-73500000,-88800000,-104800000,-120800000,-137000000,-156600000,-174000000,-179200000,-199800000,-219400000,-221600000,-237200000,-245800000,-265100000,-292498000,-325843000,-347463000,1283000,-3512000,-6911000,886000,3395000,12308000,-501000,-9775000,1618000,-4963000,-3477000,2440000,1229000,1311000,1115000,1816000,1937000,2137000,1980000
66,Other Total Stockholders Equity,5100000,2700000,3100000,79100000,93800000,106800000,121400000,139800000,158200000,177400000,180700000,200500000,217000000,213600000,225300000,229500000,228200000,236833000,252135000,273382000,-73943000,-67424000,-62571000,-66973000,-58961000,-78405000,-77476000,-69748000,-66542000,-63053000,-57125000,-50098000,-56247000,-58698000,-57825000,-60888000,-64989000,-64516000,-63495000
67,Total Stockholders Equity,119700000,136800000,160600000,178900000,201200000,224700000,247000000,280500000,295400000,321100000,333300000,351000000,371300000,391000000,422800000,448600000,464300000,468527000,442424000,452488000,435416000,434611000,428226000,422582000,427448000,392467000,382354000,377428000,387399000,386228000,404506000,441533000,141505000,149868000,176204000,193024000,216490000,244796000,239670000
68,Total Liabilities And Stockholders Equity,168900000,200500000,232500000,255900000,289100000,320400000,337700000,378000000,382700000,422000000,452700000,471400000,497100000,538200000,581600000,629600000,661400000,723651000,678984000,674112000,615644000,614069000,600540000,679021000,694741000,722667000,642269000,636751000,626312000,595516000,644519000,722146000,266129000,273570000,313747000,330168000,364666000,386267000,444595000
69,Minority Interest,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,169000000,200500000,232500000,255900000,289100000,320400000,337700000,378000000,382700000,422000000,452700000,471400000,497100000,538200000,581600000,629600000,661400000,723651000,678984000,674112000,615644000,614069000,600540000,679021000,694741000,722667000,642269000,636751000,626312000,595516000,644519000,722146000,266129000,273570000,313747000,330168000,364666000,386267000,444595000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55772/000005577201500010/k01.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577202000009/k02.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577203000008/k03.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577204000011/k04.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577205000011/k05.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577206000008/k06.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577207000013/k07.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577208000010/k08.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577209000012/k09.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577210000008/k10.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577211000014/kbalb0630201110kq4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577212000013/kbalb0630201210kq4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577213000016/kbalb06302013q410k.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577214000034/kbalb06302014q410k.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577215000026/kbal06302015q410k.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577216000064/kbal10k06302016q4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577217000020/kbal10k06302017q4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577218000022/kbal10k06302018q4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577219000027/kbal10k06302019q4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577220000108/0000055772-20-000108-index.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577221000119/0000055772-21-000119-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,29600000,26100000,29900000,35600000,34300000,43500000,30000000,38600000,30600000,36200000,41400000,45100000,57700000,55000000,59700000,48462000,16583000,34500000,5594000,21685000,16588000,15362000,19152000,-46000,17328000,10803000,4922000,11634000,19879000,33461000,20300000,21156000,37506000,34439000,39344000,41054000,7416000
74,Depreciation and Amortization,- -,- -,11600000,14900000,17500000,19000000,21800000,23000000,23600000,25300000,27300000,28700000,30100000,36100000,33400000,33800000,39700000,43801000,47652000,46852000,43800000,41336000,41884000,37907000,38905000,39421000,37618000,34760000,31207000,30973000,30758000,31885000,20114000,14996000,15553000,15470000,16580000,17509000,21194000
75,Deferred Income Tax,- -,- -,1700000,2200000,3100000,1500000,1800000,800000,-100000,-700000,-200000,-3100000,900000,-900000,-1200000,900000,2000000,-595000,-2301000,5059000,-2007000,3160000,-6765000,-8674000,-3764000,4193000,-8860000,-2023000,3658000,3561000,-962000,-8893000,-537000,2523000,-1580000,9082000,-3807000,1206000,-3019000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2129000,1824000,1284000,1443000,5023000,7018000,6414000,5558000,6303000,4179000,6617000,4919000,5676000
