,https://roic.ai/company/RSG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1060391/000095014499000670/0000950144-99-000670-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1060391/000095014402002988/0000950144-02-002988-index.html,https://www.sec.gov/Archives/edgar/data/1060391/000095014403003923/0000950144-03-003923-index.html,https://www.sec.gov/Archives/edgar/data/1060391/000095014404002337/0000950144-04-002337-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000095014405001868/0000950144-05-001868-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000095014406001501/0000950144-06-001501-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000095014407001564/0000950144-07-001564-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000095014408001276/0000950144-08-001276-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000095015309000172/0000950153-09-000172-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000095012310016361/0000950123-10-016361-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000095012311015710/0000950123-11-015710-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000119312512067094/0001193125-12-067094-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039113000011/0001060391-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039114000011/0001060391-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039115000010/0001060391-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039116000060/0001060391-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039117000012/0001060391-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039118000005/0001060391-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039119000008/0001060391-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039120000016/0001060391-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039121000014/0001060391-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039122000007/0001060391-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,556600000,13100000,2000000,16100000,141500000,119200000,141500000,131800000,29100000,21800000,68700000,48000000,88300000,66300000,67600000,213300000,75200000,32400000,67800000,83300000,70500000,47100000,38200000,29000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,556600000,13100000,2000000,16100000,141500000,119200000,141500000,131800000,29100000,21800000,68700000,48000000,88300000,66300000,67600000,213300000,75200000,32400000,67800000,83300000,70500000,47100000,38200000,29000000
34,Net Receivables,182700000,250900000,241300000,232900000,238600000,248900000,268700000,280000000,318200000,321900000,996200000,922200000,944100000,948700000,945200000,984200000,1101400000,1088500000,1092700000,1217300000,1350500000,1402600000,1328300000,1271000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,17000000,12300000,37100000,33700000,31300000,35200000,34500000,37800000,35900000,38800000,44000000,51200000,53100000,56800000,59100000,- -
36,Other Current Assets,44700000,68000000,162500000,75800000,72200000,187900000,86300000,70500000,29100000,57800000,223700000,261000000,182400000,215500000,184000000,186600000,178500000,70600000,80000000,85000000,90300000,99500000,96200000,410000000
37,Total Current Assets,784000000,332000000,405800000,324800000,452300000,556000000,496500000,482300000,393400000,413800000,1325700000,1264900000,1246100000,1265700000,1231300000,1421900000,1391000000,1230300000,1284500000,1436800000,1564400000,1606000000,1521800000,1710000000
38,PP&E,1096100000,1605500000,1667800000,1774900000,1910000000,993100000,2008800000,2115300000,2163800000,2164300000,6738200000,6657700000,6698500000,6792300000,6910300000,7036800000,7165300000,7552800000,7588600000,7777400000,8020100000,8627100000,8945000000,9232000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,1562900000,1555700000,10521500000,10667100000,10655300000,10647000000,10690000000,10724100000,10830900000,11145500000,11163200000,11315400000,11400100000,11633400000,12046400000,12826000000
40,Intangible Assets,932000000,1297300000,1435000000,1551600000,1569900000,1583100000,1592900000,1590800000,31000000,26500000,564100000,500000000,451300000,409600000,358700000,315800000,298900000,246400000,182300000,141100000,106500000,133900000,173100000,259000000
41,Intangible Assets,932000000,1297300000,1435000000,1551600000,1569900000,1583100000,1592900000,1590800000,1593900000,1582200000,11085600000,11167100000,11106600000,11056600000,11048700000,11039900000,11129800000,11391900000,11345500000,11456500000,11506600000,11767300000,12219500000,13085000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240500000,172800000,- -,- -,- -,- -,- -,24800000,26000000,73000000,87800000,145400000,139000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1229000000
44,Other Non-Current Assets,- -,53500000,52900000,205000000,276900000,1421900000,366400000,362100000,278300000,307500000,771900000,210100000,237900000,436900000,426600000,450600000,407900000,402200000,386200000,450300000,452900000,595600000,602300000,-440000000
45,Total Non-Current Assets,2028100000,2956300000,3155700000,3531500000,3756800000,3998100000,3968100000,4068200000,4036000000,4054000000,18595700000,18275400000,18215800000,18285800000,18385600000,18527300000,18703000000,19346900000,19345100000,19710200000,20052600000,21077800000,21912200000,23245000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2812100000,3288300000,3561500000,3856300000,4209100000,4554100000,4464600000,4550500000,4429400000,4467800000,19921400000,19540300000,19461900000,19551500000,19616900000,19949200000,20094000000,20577200000,20629600000,21147000000,21617000000,22683800000,23434000000,24955000000
48,Accounts Payable,64700000,76100000,103400000,90200000,123500000,129100000,119600000,176100000,161500000,160800000,564000000,592800000,606500000,563600000,474500000,511400000,527300000,577400000,553800000,598100000,761500000,777900000,779000000,910000000
49,Short-Term Debt,499900000,57200000,56500000,33600000,2800000,231100000,2400000,3000000,2600000,2300000,504000000,543000000,878500000,34800000,19400000,15700000,10400000,5500000,5800000,706700000,690700000,929900000,201600000,16000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132300000,-14000000
51,Deferred Revenue,- -,- -,- -,- -,82900000,88500000,99700000,99300000,107000000,121900000,359900000,331100000,295100000,290200000,313200000,301800000,306300000,313900000,312900000,312100000,338700000,336000000,345600000,381000000
52,Other Current Liabilities,219200000,252000000,221900000,262600000,183000000,223300000,224900000,388600000,331100000,343700000,1137900000,1081800000,896400000,1008900000,887900000,888200000,982000000,938000000,939500000,1017900000,927700000,1020800000,955800000,1108000000
53,Total Current Liabilities,783800000,385300000,381800000,386400000,392200000,672000000,446600000,667000000,602200000,628700000,2565800000,2548700000,2676500000,1897500000,1695000000,1717100000,1826000000,1834800000,1812000000,2634800000,2718600000,3064600000,2282000000,2415000000
54,Long-Term Debt,557200000,1152100000,1200200000,1334100000,1439300000,1289200000,1351900000,1472100000,1544600000,1565500000,7198500000,6419600000,5865100000,6887000000,7051100000,7002400000,7050800000,7568700000,7653100000,7480700000,7646800000,7758600000,8972700000,9546000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15700000,- -,31400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1229000000
56,Deferred Tax Liabilities,71400000,94400000,126600000,118700000,195000000,353500000,406500000,390000000,419700000,489400000,1239900000,1040500000,1044800000,1161100000,1232700000,1185400000,1149000000,1131800000,1210200000,796400000,1028300000,1180600000,1238800000,1229000000
57,Other Non-Current Liabilities,100600000,153800000,178000000,261200000,301500000,334900000,387100000,415600000,440800000,480400000,1634700000,1948700000,2026600000,1891100000,1932400000,2138200000,2320400000,2265300000,2260600000,2274000000,2293800000,2559100000,2451700000,1557000000
58,Total Non-Current Liabilities,729200000,1400300000,1504800000,1714000000,1935800000,1977600000,2145500000,2277700000,2405100000,2535300000,10073100000,9424500000,8936500000,9970600000,10216200000,10326000000,10520200000,10965800000,11123900000,10551100000,10968900000,11498300000,12663200000,13561000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264000000,240100000,- -
61,Total Liabilities,1513000000,1785600000,1886600000,2100400000,2328000000,2649600000,2592100000,2944700000,3007300000,3164000000,12638900000,11973200000,11613000000,11868100000,11911200000,12043100000,12346200000,12800600000,12935900000,13185900000,13687500000,14562900000,14945200000,15976000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1800000,1800000,1800000,1800000,1800000,1900000,1900000,1900000,2000000,3900000,4000000,4000000,4000000,4100000,4100000,4100000,3500000,3500000,3500000,3500000,3500000,3200000,3000000
64,Retained Earnings,93800000,294600000,515600000,641100000,880700000,1039300000,1222600000,1402800000,1602600000,1572300000,1477200000,1683100000,1890300000,2164700000,2403200000,2632700000,2795000000,3138300000,3324000000,4152500000,4750500000,5317300000,5751800000,6475000000
65,Other Comprehensive Income/Loss,-473000000,-568800000,-647000000,-779400000,-929100000,-304100000,-1580000000,2000000,1000000,9000000,-3000000,19000000,22000000,-22000000,-6000000,3000000,-29000000,-31000000,14000000,23000000,31000000,2000000,-12400000,-14000000
66,Other Total Stockholders Equity,1678300000,1775100000,1804500000,1892400000,1927700000,1167500000,2228000000,199100000,-183400000,-279500000,5803300000,5858400000,5930200000,5534600000,5302000000,5263700000,4975200000,4663300000,4349800000,3779800000,3142100000,2795400000,2741300000,2515000000
67,Total Stockholders Equity,1299100000,1502700000,1674900000,1755900000,1881100000,1904500000,1872500000,1605800000,1422100000,1303800000,7281400000,7564500000,7846500000,7681300000,7703300000,7903500000,7745300000,7774100000,7691300000,7958800000,7927100000,8118200000,8483900000,8979000000
68,Total Liabilities And Stockholders Equity,2812100000,3288300000,3561500000,3856300000,4209100000,4554100000,4464600000,4550500000,4429400000,4467800000,19920300000,19537700000,19459500000,19549400000,19614500000,19946600000,20091500000,20574700000,20627200000,21144700000,21614600000,22681100000,23429100000,24955000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,2600000,2400000,2100000,2400000,2600000,2500000,2500000,2400000,2300000,2400000,2700000,4900000,- -
70,Total Liabilities & Equity,2812100000,3288300000,3561500000,3856300000,4209100000,4554100000,4464600000,4550500000,4429400000,4467800000,19921400000,19540300000,19461900000,19551500000,19616900000,19949200000,20094000000,20577200000,20629600000,21147000000,21617000000,22683800000,23434000000,24955000000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1060391/000095014499000670/0000950144-99-000670-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1060391/000095014402002988/0000950144-02-002988-index.html,https://www.sec.gov/Archives/edgar/data/1060391/000095014403003923/0000950144-03-003923-index.html,https://www.sec.gov/Archives/edgar/data/1060391/000095014404002337/0000950144-04-002337-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000095014405001868/0000950144-05-001868-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000095014406001501/0000950144-06-001501-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000095014407001564/0000950144-07-001564-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000095014408001276/0000950144-08-001276-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000095015309000172/0000950153-09-000172-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000095012310016361/0000950123-10-016361-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000095012311015710/0000950123-11-015710-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000119312512067094/0001193125-12-067094-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039113000011/0001060391-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039114000011/0001060391-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039115000010/0001060391-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039116000060/0001060391-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039117000012/0001060391-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039118000005/0001060391-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039119000008/0001060391-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039120000016/0001060391-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039121000014/0001060391-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1060391/000106039122000007/0001060391-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,153700000,200800000,221000000,125500000,239600000,177600000,237900000,253700000,279600000,290200000,73800000,495000000,506500000,589200000,571800000,588900000,547600000,749900000,612600000,1278400000,1036900000,1073300000,967200000,1292000000
74,Depreciation and Amortization,106300000,163200000,197400000,153900000,199600000,239100000,259400000,278800000,296000000,305500000,354100000,869700000,833700000,843600000,- -,- -,- -,- -,- -,- -,- -,- -,1158800000,1268000000
75,Deferred Income Tax,19200000,41900000,29800000,-10700000,73100000,178900000,57600000,27500000,29900000,27800000,-30400000,-24600000,61300000,334800000,83900000,-38500000,-9000000,116700000,47200000,-379000000,152100000,166100000,60800000,-15000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,24500000,20600000,21200000,19200000,17400000,18900000,23200000,34600000,39000000,39500000,37300000,57000000
77,Change in Working Capital,-8100000,-53500000,77300000,-85600000,121700000,-176100000,165900000,-234600000,-24100000,-6100000,-1025200000,-43700000,-146600000,798600000,168100000,168500000,-139800000,-169500000,77000000,-670500000,43800000,-304400000,698400000,55200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53100000,8800000,-16000000,-37200000,-61600000,-54300000,-15700000,-52300000,-118900000,-29600000,-38300000,13800000,-135000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34900000,11900000,-49600000,37900000,3300000,35600000,-9800000,21700000,85900000,6400000,-46700000,113000000
81,Other Working Capital,200000,-53300000,24000000,-61600000,60100000,-116000000,49900000,-184700000,-208800000,-214900000,-1240100000,-1283800000,-1430400000,-631800000,-463700000,-295200000,-435000000,-604500000,-527500000,-1198000000,-1154200000,-1458600000,-760200000,-705000000
82,Other Non-Cash Items,- -,-28600000,-63700000,276100000,-64300000,181000000,-54500000,442100000,-59300000,43900000,1139900000,85100000,154300000,-820100000,668800000,810100000,1113600000,963700000,1087800000,1647200000,971000000,1377600000,-450900000,128800000
83,Cash Provided by Operating Activities,271100000,323800000,461800000,459200000,569700000,600500000,666300000,767500000,522100000,661300000,512200000,1396500000,1433700000,1766700000,1513800000,1548200000,1529800000,1679700000,1847800000,1910700000,2242800000,2352100000,2471600000,2786000000
84,CAPEX,-618200000,-1027400000,-208000000,-249300000,-258600000,-273200000,-283800000,-328700000,-337600000,-292500000,-386900000,-826300000,-794700000,-936500000,-903500000,-880800000,-862500000,-945600000,-927800000,-989800000,-1071800000,-1207100000,-1194600000,-1316000000
85,Acquisitions Net,- -,- -,- -,- -,-55800000,-48300000,-47300000,-26700000,2200000,37700000,-550500000,511000000,1100000,-28400000,-85700000,-66000000,-195700000,-572700000,-47400000,-350000000,-188100000,-532300000,-736600000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-182400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,143800000,38700000,- -,- -,- -,41600000,66300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000
88,Other Investing Activites,10800000,-26300000,-257000000,-232500000,-1900000,-48500000,-19400000,19500000,120000000,-5500000,2700000,31200000,36800000,14700000,51600000,13000000,98400000,35500000,14000000,-43600000,30800000,20400000,8400000,-1157000000
89,Cash Used for Investing Activites,-607400000,-1053700000,-465000000,-481800000,-316300000,-552400000,-206700000,-297200000,-215400000,-260300000,-934700000,-242500000,-690500000,-950200000,-937600000,-933800000,-959800000,-1482800000,-961200000,-1383400000,-1229100000,-1719000000,-1922800000,-2466000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3631200000,-3146900000,-3372900000,-3568200000,-1278100000,-1398400000,-915700000,-4307100000,-4922800000,-5000700000,-5327900000,-5320500000,-5304000000
91,Common Stock Issued,1433600000,- -,900000,53000000,29900000,49100000,38200000,75000000,75300000,31300000,24600000,39600000,86500000,40700000,70400000,150800000,88600000,65900000,49700000,36900000,23200000,9300000,3900000,-12000000
92,Common Stock Repurchased,- -,- -,-50900000,-99200000,-150000000,-184200000,-266100000,-558400000,-492000000,-362800000,-138400000,-1000000,-43100000,-460700000,-325600000,-214100000,-400600000,-404700000,-403800000,-610700000,-736900000,-399400000,-98800000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-19000000,-46000000,-72200000,-78500000,-93900000,-128300000,-288300000,-294600000,-309400000,-329100000,-348500000,-378600000,-399300000,-418900000,-440500000,-461800000,-491200000,-522500000,-552000000
94,Other Financing Activites,-540700000,186400000,42100000,82900000,-7900000,83700000,-163400000,75600000,85800000,17100000,711500000,2706200000,2695200000,3263800000,3577600000,1221200000,1380900000,1414100000,4228900000,5425300000,5116700000,5620200000,5325900000,5539000000
95,Cash Used/Provided by Financing Activities,892900000,186400000,-7900000,36700000,-128000000,-70400000,-437300000,-480000000,-409400000,-408300000,469400000,-1174700000,-702900000,-838500000,-574900000,-468700000,-708100000,-239700000,-851200000,-511800000,-1059500000,-589000000,-612000000,-329000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,892900000,-543500000,-11100000,14100000,125400000,-22300000,22300000,-9700000,-102700000,-7300000,46900000,-20700000,40300000,-22000000,1300000,145700000,-138100000,-42800000,35400000,15500000,-45800000,44100000,-63200000,-9000000
98,Cash at the End of Period,- -,13100000,2000000,16100000,141500000,119200000,141500000,131800000,29100000,21800000,68700000,48000000,88300000,66300000,67600000,213300000,75200000,32400000,67800000,83300000,133300000,177400000,114200000,105000000
99,Cash at the Beginning of Period,- -,556600000,13100000,2000000,16100000,141500000,119200000,141500000,131800000,29100000,21800000,68700000,48000000,88300000,66300000,67600000,213300000,75200000,32400000,67800000,179100000,133300000,177400000,114000000
100,Free Cash Flow,-347100000,-703600000,253800000,209900000,311100000,327300000,382500000,438800000,184500000,368800000,125300000,570200000,639000000,830200000,610300000,667400000,667300000,734100000,920000000,920900000,1171000000,1145000000,1277000000,1470000000
