,https://roic.ai/company/SUI,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3902000,- -,- -,- -,11018000,13073000,14462000,15938000,18113000,21180000,20853000,17857000,10119000,12232000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64157000,62779000,65427000,67939000,71180000,76577000,76981000,110878000,122315000,130242000,132783000,137851000,133248000,162800000
14,Depreciation and Amortization,2700000,7300000,9700000,14900000,20700000,25600000,29500000,943000,33516000,38525000,44120000,49510000,59273000,63447000,66009000,67530000,67516000,68356000,73484000,86487000,105210000,131003000,169516000,212699000,250705000,268671000,307276000,365283000,512490000
15,EBITDA,3000000,15100000,21400000,26604000,42955000,51696000,58589000,34237000,67426000,52117000,67834000,9042000,53821000,38479000,48598000,97575000,124406000,131412000,140487000,163900000,198687000,236712000,436998000,361612000,452994000,508771000,607553000,629370000,1056769000
16,EBITDA ratio,0.2083,0.4675,0.4745,0.3634,0.4463,0.4287,0.4359,0.2336,0.4391,0.3211,0.3586,0.0450,0.2552,0.1696,0.2060,0.3826,0.4848,0.4994,0.4858,0.4835,0.4785,0.5019,0.6477,0.4337,0.4610,0.4515,0.4806,0.4534,0.4675
17,Operating Income,22600000,49100000,67700000,21953000,27927000,31399000,36606000,41503000,42971000,39745000,61375000,-37565000,50406000,49251000,55505000,60553000,58212000,63572000,68807000,79203000,98637000,106186000,170236000,192458000,227115000,265696000,295274000,286055000,413737000
18,Operating Income ratio,1.5694,1.5201,1.5011,0.2999,0.2902,0.2604,0.2723,0.2832,0.2798,0.2449,0.3245,-0.1870,0.2390,0.2171,0.2352,0.2374,0.2269,0.2416,0.2379,0.2336,0.2376,0.2251,0.2523,0.2308,0.2311,0.2358,0.2336,0.2061,0.1830
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51921000,- -,- -,-75045000,-77328000,-62779000,-65427000,-71292000,-70959000,-78255000,-72771000,1395000,-161204000,-145432000,-145450000,-117022000,-139379000,1327000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19540000,-16775000,-4567000,-1855000,-2485000,8244000,20382000,33415000,171631000,31254000,81683000,120246000,178252000,146676000,415064000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0828,-0.0658,-0.0178,-0.0070,-0.0086,0.0243,0.0491,0.0708,0.2544,0.0375,0.0831,0.1067,0.1410,0.1057,0.1836
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-768000,336000,413000,512000,150000,249000,234000,219000,1158000,283000,-136000,88000,873000,-775000,1327000
23,Net Income,300000,7800000,11700000,11704000,22255000,26096000,29089000,33294000,33910000,13592000,23714000,-40468000,-5452000,-24968000,-16643000,-34448000,-6302000,-2883000,-1086000,5984000,16666000,28509000,155446000,26315000,72183000,107229000,161553000,131614000,380152000
24,Net Income ratio,0.0208,0.2415,0.2594,0.1599,0.2312,0.2164,0.2164,0.2272,0.2208,0.0837,0.1254,-0.2015,-0.0259,-0.1100,-0.0705,-0.1351,-0.0246,-0.0110,-0.0038,0.0177,0.0401,0.0604,0.2304,0.0316,0.0735,0.0952,0.1278,0.0948,0.1682
25,EPS,0.05,1.05,1.19,0.85,1.38,1.55,1.69,1.92,1.96,0.77,1.30,-2.21,-0.31,-1.42,-0.93,-1.90,-0.34,-0.15,-0.05,0.18,0.31,0.54,2.53,0.27,0.85,1.29,1.80,1.34,3.59
26,EPS Diluted,0.05,1.04,1.19,0.85,1.37,1.53,1.68,1.91,1.94,0.76,1.29,-2.21,-0.31,-1.42,-0.93,-1.90,-0.34,-0.15,-0.05,0.18,0.31,0.54,2.52,0.26,0.85,1.29,1.80,1.34,3.50
27,Weighted Average Shares Outstanding,6000000,7428571,9831933,13733000,16081000,16856000,17191000,17304000,17258000,17595000,18206000,18318000,17716000,17641000,17938000,18176000,18484000,19168000,21147000,27255000,34732000,41337000,53686000,65856000,76084000,81387000,88460000,97521000,115136000
28,Weighted Average Shares Outstanding Diluted,6000000,7500000,9831933,13733000,16244526,17056209,17314881,17390000,17440000,17781000,18345000,18318000,17716000,17641000,17938000,18176000,18484000,19168000,21147000,27272000,34747000,41805000,53702000,66321000,76711000,82040000,88915000,97522000,118072000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912593/000091259307000006/0000912593-07-000006-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259308000005/0000912593-08-000005-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259309000015/0000912593-09-000015-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259310000004/0000912593-10-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/912593/000091259312000017/0000912593-12-000017-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259313000024/0000912593-13-000024-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259314000022/0000912593-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259315000031/0000912593-15-000031-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259316000134/0000912593-16-000134-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259317000021/0000912593-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259318000049/0000912593-18-000049-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259319000034/0000912593-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259320000041/0000912593-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259321000054/0000912593-21-000054-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259322000039/0000912593-22-000039-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,9236000,2198000,9646000,11355000,18466000,4587000,2664000,24058000,52586000,5880000,3183000,5415000,6162000,4496000,8420000,5857000,29508000,4753000,83459000,45086000,8164000,10127000,50311000,34830000,98294000,65798000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29319000,20000000,3772000,1646000,- -,- -,- -,- -,- -,- -,- -,- -,- -,94727000,124726000,186898000
33,Cash and Short-Term Investments,- -,- -,- -,9236000,2198000,9646000,11355000,18466000,4587000,2664000,24058000,52586000,5880000,32502000,25415000,9934000,6142000,8420000,5857000,29508000,4753000,83459000,45086000,8164000,10127000,50311000,129557000,223020000,252696000
34,Net Receivables,- -,- -,- -,- -,19300000,26685000,94092000,156349000,105393000,56329000,74828000,45037000,41134000,41407000,36846000,57497000,74030000,88807000,114884000,139067000,164685000,174857000,187740000,225049000,291742000,267001000,157926000,221650000,469594000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17236000,25964000,17105000,12082000,12082000,13058000,3934000,2309000,5832000,7527000,5810000,8860000,14828000,21632000,30430000,49199000,62061000,46643000,51055000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70726000,-56846000,37206000,32954000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12400000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116122000,123587000,64119000,15265000,17497000,117695000,117060000,99536000,126573000,176102000,175248000,267176000,247654000,254845000,332299000,366511000,349544000,491313000,785745000
38,PP&E,- -,- -,- -,558278000,634737000,732212000,773600000,751820000,813334000,999360000,1010484000,1133873000,1161820000,1161649000,1134204000,1089304000,1064305000,1032326000,1196606000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,428833000,495353000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14500000,- -,- -,- -,43978000,99834000,86452000,88296000,67516000,305611000,306755000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14500000,- -,- -,- -,43978000,99834000,86452000,88296000,67516000,734444000,802108000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,67719000,50667000,93335000,1208172000,29319000,20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30829000,30295000,1578015000,1823988000,2670516000,3898919000,5516097000,5693206000,6255219000,7385000000,9980829000,11906231000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1089304000,1064305000,1063155000,1241401000,1578015000,1823988000,2670516000,3942897000,5615931000,5779658000,6343515000,7452516000,10715273000,12708339000
46,Other Assets,- -,- -,- -,585056000,690914000,821439000,911083000,966628000,994449000,1163976000,1105452000,1279580000,1256417000,1274474000,1228326000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,585056000,690914000,821439000,911083000,966628000,994449000,1163976000,1221574000,1403167000,1320536000,1289739000,1245823000,1206999000,1181365000,1162691000,1367974000,1754117000,1999236000,2937692000,4190551000,5870776000,6111957000,6710026000,7802060000,11206586000,13494084000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127289000,148435000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,26000000,47000000,12000000,93000000,63000000,99000000,- -,- -,- -,- -,90419000,94465000,94527000,129034000,29781000,181383000,5794000,25000000,100095000,41257000,128000000,183898000,1242197000,1034833000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187730000,242778000
52,Other Current Liabilities,- -,- -,- -,99100000,99800000,89900000,120200000,154100000,76600000,114000000,22700000,113000000,53800000,43600000,37100000,1176462000,38766000,36936000,- -,78319000,-55483000,189350000,16265000,-48199000,13968000,-64751000,-112194000,86988000,335901000
53,Total Current Liabilities,- -,- -,- -,99100000,99800000,115900000,167200000,166100000,169600000,177000000,121700000,113000000,53800000,43600000,37100000,1266881000,133231000,131463000,129034000,108100000,125900000,195144000,41265000,51896000,55225000,63249000,198993000,1665350000,1613512000
54,Long-Term Debt,- -,- -,- -,185000000,264264000,365164000,405473000,464508000,495198000,667373000,773328000,1078442000,1123468000,1166850000,1187675000,1139152000,1159442000,1163612000,1268191000,1453501000,1492820000,1832087000,2299146000,3064139000,3037795000,3051688000,3364490000,3444967000,4567089000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133698000,133420000,187730000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,36000,36000,27000,-8000,2000,27000,-28000,-42000,32000,50000,25000,- -,- -,- -,71404000,87626000,109342000,165453000,230762000,325570000,312184000,252453000,178292000,45301000,293996000
58,Total Non-Current Liabilities,- -,- -,- -,185000000,264300000,365200000,405500000,464500000,495200000,667400000,773300000,1078400000,1123500000,1166900000,1187700000,1139152000,1159442000,1163612000,1339595000,1541127000,1602162000,1997540000,2529908000,3389709000,3349979000,3437839000,3676202000,3677998000,4861085000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,201841000,281882000,389852000,432391000,489651000,521810000,691954000,798161000,1110378000,1155735000,1198151000,1219777000,1266881000,1292673000,1295075000,1468629000,1541127000,1602162000,1997540000,2571173000,3441605000,3405204000,3501088000,3875195000,5343348000,6474597000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000,34000,39000,82831000,66978000,43066000,41616000,50913000,235910000,288882000
63,Common Stock,- -,- -,- -,154000,166000,172000,174000,175000,178000,183000,192000,196000,198000,200000,202000,203000,206000,217000,236000,316000,361000,486000,584000,732000,797000,864000,932000,1076000,1160000
64,Retained Earnings,- -,- -,- -,-18370000,-25663000,-32345000,-38265000,-41688000,-45939000,-73774000,-94479000,-181073000,-231827000,-302022000,-364446000,-445147000,-498370000,-549625000,-617953000,-683734000,-761112000,-863545000,-864122000,-1023415000,-1162001000,-1288486000,-1393141000,-1566636000,-1555994000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1851000,- -,- -,532000,820000,-856000,-2851000,-1858000,-2226000,-1273000,-696000,-366000,- -,- -,-3181000,1102000,-4504000,-1331000,3178000,3053000
66,Other Total Stockholders Equity,- -,- -,- -,319148000,352277000,372537000,376449000,377547000,375402000,394974000,420897000,392623000,374354000,380199000,386147000,387913000,395183000,431731000,492381000,876602000,1141590000,1754759000,2319314000,3321441000,3758533000,4398949000,5213264000,7087658000,8175676000
67,Total Stockholders Equity,- -,- -,- -,300932000,326780000,340364000,338358000,336034000,329641000,319532000,326610000,211746000,143257000,79197000,21047000,-59882000,-104839000,-119903000,-126609000,192522000,380507000,891739000,1538607000,2362555000,2641497000,3148439000,3870637000,5761186000,6912777000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,502773000,608662000,730216000,770749000,825685000,851451000,1011486000,1124771000,1322124000,1298992000,1277348000,1240824000,1206999000,1187834000,1175172000,1342020000,1733649000,1982669000,2889279000,4109780000,5804160000,6046701000,6649527000,7745832000,11104534000,13387374000
69,Minority Interest,- -,- -,- -,82283000,82252000,91223000,140334000,140943000,142998000,152490000,96803000,81043000,21544000,12391000,4999000,- -,-6469000,-12481000,25954000,20468000,16567000,48413000,80771000,66616000,65256000,60499000,56228000,102052000,106710000
70,Total Liabilities & Equity,- -,- -,- -,585056000,690914000,821439000,911083000,966628000,994449000,1163976000,1221574000,1403167000,1320536000,1289739000,1245823000,1206999000,1181365000,1162691000,1367974000,1754117000,1999236000,2937692000,4190551000,5870776000,6111957000,6710026000,7802060000,11206586000,13494084000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912593/000091259307000006/0000912593-07-000006-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259308000005/0000912593-08-000005-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259309000015/0000912593-09-000015-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259310000004/0000912593-10-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/912593/000091259312000017/0000912593-12-000017-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259313000024/0000912593-13-000024-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259314000022/0000912593-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259315000031/0000912593-15-000031-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259316000134/0000912593-16-000134-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259317000021/0000912593-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259318000049/0000912593-18-000049-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259319000034/0000912593-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259320000041/0000912593-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259321000054/0000912593-21-000054-index.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259322000039/0000912593-22-000039-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,300000,7800000,11700000,11704000,22255000,26096000,29089000,33294000,33910000,13592000,23714000,-40468000,-5452000,-24968000,-16643000,-34448000,-6302000,-2883000,-1086000,5984000,16666000,28509000,155446000,26315000,72183000,107229000,161553000,131614000,380152000
74,Depreciation and Amortization,2700000,7300000,9700000,14900000,20700000,25600000,29500000,943000,33516000,38525000,44120000,49510000,59273000,63447000,66009000,67530000,67516000,68356000,73484000,86487000,105210000,131003000,169516000,212699000,250705000,268671000,307276000,365283000,512490000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,-400000,-582000,-507000,-222000,-1565000,91000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1961000,2566000,1593000,1609000,1463000,3199000,4879000,7108000,9557000,12695000,15066000,17482000,23045000,27988000
77,Change in Working Capital,2400000,- -,- -,-99100000,-700000,-16100000,-51300000,1100000,-3500000,-7400000,55300000,8700000,59200000,25465000,8732000,-1129583000,1133015000,-15756000,29466000,70463000,-18654000,22684000,134357000,-3440000,74125000,26188000,-152711000,-1324588000,-30717000
78,Accounts Receivable,- -,-200000,- -,-2700000,-6900000,-9000000,-3800000,-7480000,-4879000,-15973000,-5550000,-6591000,9662000,4850000,-9246000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1970000,- -,- -,- -,- -,-17628000,-881000,-2875000,-18251000,-1211000,-3229000,-11144000,-14618000,28118000,-29264000,-40304000,-44322000,10853000,-75950000
80,Accounts Payable,1200000,-300000,600000,8200000,800000,7100000,2100000,-1133000,1329000,-2031000,-814000,7103000,331000,-1222000,23000,-1495000,1957000,-1566000,12080000,3484000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-99100000,-99800000,-115900000,-167200000,-166100000,-169600000,-177000000,-121700000,-113000000,-53800000,-28335000,-19603000,-1149186000,-16171000,-31927000,-2461000,68002000,49348000,72032000,206389000,202949000,277074000,303262000,150551000,-1174037000,- -
82,Other Non-Cash Items,-1500000,-900000,-1300000,107910000,-2053000,16991000,54197000,21341000,1945000,6242000,-59866000,40080000,-46811000,-7843000,-8449000,1137673000,-1137034000,7811000,-39952000,-77146000,8262000,-53755000,-285164000,-6038000,-147376000,-53533000,143356000,1355159000,-136432000
83,Cash Provided by Operating Activities,3900000,14200000,20100000,35414000,40202000,52587000,61486000,56678000,65871000,50959000,63268000,57822000,66210000,56101000,49649000,43133000,59761000,59121000,63521000,87251000,114683000,133320000,182263000,238693000,261750000,363114000,476734000,548948000,753572000
84,CAPEX,-1700000,-7100000,-38200000,-78722000,-78552000,-105268000,-76062000,-57832000,-70331000,-87283000,-50310000,-147965000,-87990000,-52113000,-34074000,-39283000,-45140000,-50863000,-164891000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17064000,-4362000,500000,- -,-84027000,-60742000,-47241000,-36889000
86,Purchases of Investments,-46800000,-78600000,-4100000,- -,-15093000,-42188000,- -,-41940000,-42266000,-71043000,-77631000,-106975000,-84875000,- -,- -,-500000,-50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35524000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,20800000,36700000,34460000,17331000,3288000,22499000,77527000,129850000,4226000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-23200000,-100000,1800000,1804000,-14056000,20937000,-50949000,-3767000,60431000,-13835000,46554000,25260000,5965000,102000,13274000,8495000,5705000,7479000,5353000,-375219000,-352412000,-533641000,-408822000,-1615012000,-401642000,-649716000,-949715000,-2439276000,-2265836000
89,Cash Used for Investing Activites,-71700000,-85800000,-40500000,-76918000,-107701000,-105719000,-90311000,-69079000,-34835000,-168873000,-58888000,-152153000,-37050000,-47785000,-20800000,-31288000,-39485000,-43384000,-159538000,-375219000,-352412000,-550705000,-413184000,-1614512000,-401642000,-733743000,-1010457000,-2486517000,-2338249000
90,Debt Repayment,-56500000,-3600000,-7100000,-241114000,-189000,-900000,-1700000,-35000000,-76599000,-48488000,- -,-525224000,-34346000,-334065000,-250667000,-160488000,-152564000,-151111000,-317454000,-441452000,-533208000,-797404000,-627655000,-737321000,-843963000,-1755240000,-4436818000,-1591868000,-4037700000
91,Common Stock Issued,93100000,85800000,900000,117770000,- -,27400000,53500000,209000,809000,13801000,26222000,1033000,- -,2430000,38000,- -,1505000,29917000,58366000,- -,- -,- -,- -,750385000,- -,623540000,- -,1850611000,1057481000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-6972000,-13801000,- -,-37201000,-22311000,-9604000,-4798000,-476000,-500000,-925000,- -,- -,-300000,-1119000,-125773000,- -,-114158000,-4105000,-2675000,-2000000,- -
93,Dividends Paid,-1300000,-11500000,-19800000,-25965000,-33748000,-37087000,-40622000,-42374000,-43962000,-46771000,-49153000,-51120000,-48499000,-49075000,-46337000,-52133000,-52462000,-53779000,-60034000,-73371000,-100403000,-121377000,-162491000,-193740000,-224483000,-242813000,-276697000,-313137000,-390814000
94,Other Financing Activites,38100000,100000,41200000,199928000,94398000,71167000,19356000,96702000,81809000,211250000,39945000,735371000,29290000,379301000,275147000,201999000,182079000,164085000,412576000,826442000,846885000,1415991000,1108467000,1519646000,1324161000,1788523000,5222070000,2057238000,4941424000
95,Cash Used/Provided by Financing Activities,73400000,70800000,15200000,50619000,60461000,60580000,30534000,19537000,-44915000,115991000,17014000,122859000,-75866000,-11013000,-26617000,-11098000,-21942000,-11813000,93454000,311619000,212974000,496091000,192548000,1338970000,141557000,409905000,505880000,2000844000,1570391000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73000,298000,-523000,411000,189000,-157000
97,Net Change In Cash,73400000,70800000,15200000,9115000,-7038000,7448000,1709000,7136000,-13879000,-1923000,21394000,28528000,-46706000,-2697000,2232000,747000,-1666000,3924000,-2563000,23651000,-24755000,78706000,-38373000,-36922000,1963000,38753000,-27432000,63464000,-14443000
98,Cash at the End of Period,- -,- -,- -,9236000,2198000,9646000,11355000,18466000,4587000,2664000,24058000,52586000,5880000,3183000,5415000,6162000,4496000,8420000,5857000,29508000,4753000,83459000,45086000,8164000,10127000,62262000,34830000,98294000,78198000
99,Cash at the Beginning of Period,600000,6200000,5400000,121000,9236000,2198000,9646000,11330000,18466000,4587000,2664000,24058000,52586000,5880000,3183000,5415000,6162000,4496000,8420000,5857000,29508000,4753000,83459000,45086000,8164000,23509000,62262000,34830000,92641000
100,Free Cash Flow,2200000,7100000,-18100000,-43308000,-38350000,-52681000,-14576000,-1154000,-4460000,-36324000,12958000,-90143000,-21780000,3988000,15575000,3850000,14621000,8258000,-101370000,87251000,114683000,133320000,182263000,238693000,261750000,363114000,476734000,548948000,753572000
