,https://roic.ai/company/DEI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1364250/000119312507070967/0001193125-07-070967-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000114036108004902/0001140361-08-004902-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1364250/000136425014000013/0001364250-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425015000007/0001364250-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425016000048/0001364250-16-000048-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1364250/000136425018000007/0001364250-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425019000007/0001364250-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425020000008/0001364250-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425021000005/0001364250-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425022000011/0001364250-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,108282000,4536000,5843000,8655000,72740000,272419000,406977000,373203000,44206000,18823000,101798000,112927000,176645000,146227000,153683000,172385000,335905000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,108282000,4536000,5843000,8655000,72740000,272419000,406977000,373203000,44206000,18823000,101798000,112927000,176645000,146227000,153683000,172385000,335905000
34,Net Receivables,- -,- -,- -,- -,65803000,7747000,- -,- -,1841000,1591000,1722000,64523000,71422000,77140000,81744000,95330000,109001000,129205000,140270000,134425000,128275000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,40395000,48933000,58681000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,114976000,322943000,467380000,437726000,115628000,95963000,183542000,208257000,285646000,275432000,293953000,306810000,464180000
38,PP&E,- -,2293636000,- -,- -,2622484000,6056096000,6022056000,6491191000,5698167000,5756760000,5606399000,- -,- -,- -,1448000,1093000,1155000,1101000,9847000,9830000,9963000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,11691000,9356000,6379000,6695000,5732000,5515000,6472000,7135000,6281000,5239000,8395000,7129000,6156000
41,Intangible Assets,- -,- -,- -,- -,- -,34137000,24313000,18163000,11691000,9356000,6379000,6695000,5732000,5515000,6472000,7135000,6281000,5239000,8395000,7129000,6156000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,97127000,110920000,117055000,149478000,182896000,171390000,164631000,144289000,107735000,111032000,42442000,47374000,46594000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,137971000,79310000,34389000,5509908000,5543533000,5681728000,5710068000,7252931000,7891824000,7868905000,8994664000,8879682000,8827139000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,5944956000,5956346000,5764222000,5666081000,5732161000,5858633000,5882619000,7405448000,8006995000,7986277000,9055348000,8944015000,8889852000
46,Other Assets,2168433000,2415429000,2356296000,2585697000,2904647000,6200118000,6189968000,6760804000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2168433000,2415429000,2356296000,2585697000,2904647000,6200118000,6189968000,6760804000,6059932000,6279289000,6231602000,6103807000,5847789000,5954596000,6066161000,7613705000,8292641000,8261709000,9349301000,9250825000,9354032000
48,Accounts Payable,- -,- -,- -,- -,- -,2827637000,3154418000,69215000,72893000,57793000,28360000,19168000,20761000,22195000,23716000,36880000,62741000,75111000,66437000,81595000,83150000
49,Short-Term Debt,- -,- -,- -,- -,2223500000,- -,- -,3692785000,3258000000,- -,- -,- -,- -,- -,- -,- -,- -,145000000,560000000,260000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16139000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-3245840000,12413000,27820000,35627000,37784000,40079000,42350000,44418000,52228000,54920000,60818000,61337000,61412000
53,Total Current Liabilities,- -,- -,- -,- -,2223500000,- -,- -,3762000000,85053000,70206000,72319000,54795000,58545000,62274000,66066000,81298000,114969000,275031000,687255000,402932000,144562000
54,Long-Term Debt,- -,- -,- -,- -,- -,2789702000,- -,- -,3273459000,3668133000,3710957000,3441140000,3241140000,3435290000,3611276000,4369537000,4117390000,3989030000,4069940000,4195838000,5022936000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15800000,22739000,22513000,23673000,28788000,31377000,44386000,53266000,50550000,50056000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,409035000,241781000,132371000,201613000,158157000,120795000,83598000,120011000,126856000,104832000,167906000,605486000,149925000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,2789702000,- -,- -,3682494000,3909914000,3843328000,3658553000,3422036000,3578598000,3718547000,4518336000,4275623000,4138248000,4291112000,4851874000,5222917000
59,Other Liabilities,1459183000,2398378000,2339809000,2649311000,274422000,5943538000,3566365000,718590000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86801000,- -,- -,- -,- -,- -,- -,- -,10882000,10871000,10860000
61,Total Liabilities,1459183000,2398378000,2339809000,2649311000,2497922000,3153836000,3566365000,4480590000,3767547000,3980120000,3915647000,3713348000,3480581000,3640872000,3784613000,4599634000,4390592000,4413279000,4978367000,5254806000,5367479000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,1150000,1098000,1219000,1216000,1241000,1311000,1412000,1426000,1449000,1469000,1515000,1696000,1702000,1754000,1755000,1755000
64,Retained Earnings,- -,- -,- -,- -,-97791000,-34392000,-89812000,-236348000,-312017000,-447722000,-508674000,-574173000,-634380000,-706700000,-772726000,-820685000,-879810000,-935630000,-758576000,-904516000,-1035798000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,415000,-101163000,-274111000,-186255000,-58765000,-89180000,-82991000,-50554000,-30089000,-9285000,15156000,43099000,53944000,-17462000,-148035000,-38774000
66,Other Total Stockholders Equity,13827000,- -,- -,- -,- -,2144600000,2019716000,- -,- -,- -,- -,- -,2653905000,2678798000,2706753000,- -,3272539000,3282316000,3486356000,3487887000,3488886000
67,Total Stockholders Equity,13827000,17051000,16487000,-63614000,-97791000,2111773000,1829839000,1775189000,1793363000,1827061000,1865106000,1979656000,1970397000,1943458000,1926211000,1921143000,2437524000,2402332000,2712072000,2437091000,2416069000
68,Total Liabilities And Stockholders Equity,1473010000,2415429000,2356296000,2585697000,2400131000,5265609000,5396204000,6255779000,5560910000,5807181000,5780753000,5693004000,5450978000,5584330000,5710824000,6520777000,6828116000,6815611000,7690439000,7691897000,7783548000
69,Minority Interest,695423000,- -,- -,- -,504516000,934509000,793764000,505025000,499022000,472108000,450849000,410803000,396811000,370266000,355337000,1092928000,1464525000,1446098000,1658862000,1558928000,1570484000
70,Total Liabilities & Equity,2168433000,2415429000,2356296000,2585697000,2904647000,6200118000,6189968000,6760804000,6059932000,6279289000,6231602000,6103807000,5847789000,5954596000,6066161000,7613705000,8292641000,8261709000,9349301000,9250825000,9354032000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1364250/000119312507070967/0001193125-07-070967-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000114036108004902/0001140361-08-004902-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1364250/000136425014000013/0001364250-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425015000007/0001364250-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425016000048/0001364250-16-000048-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1364250/000136425018000007/0001364250-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425019000007/0001364250-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425020000008/0001364250-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425021000005/0001364250-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425022000011/0001364250-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-16520000,-36953000,-13008000,-27993000,-27064000,-26423000,1451000,22942000,45311000,44621000,58384000,85397000,94443000,116086000,363713000,50421000,65267000
74,Depreciation and Amortization,- -,- -,- -,- -,113170000,127977000,208432000,249752000,226620000,225030000,185230000,166755000,175658000,186428000,186233000,230716000,258755000,287839000,341479000,369370000,361748000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10581000,10005000,13722000,15234000,17448000,18478000,22299000,18359000,21365000,20887000
77,Change in Working Capital,- -,- -,- -,- -,-19676000,- -,- -,29923000,222814000,142324000,-12130000,-325848000,-23394000,83787000,9483000,43718000,-170276000,-393703000,297180000,7080769000,-3305000
78,Accounts Receivable,- -,- -,- -,- -,- -,-3587000,-23852000,- -,- -,- -,- -,391000,-429000,78000,13000,-680000,-1221000,-3545000,-4712000,-11645000,5099000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-854000,15211000,- -,- -,- -,- -,-6873000,8816000,2668000,4557000,10712000,24942000,1376000,-6844000,5557000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,29923000,252737000,395061000,382931000,57083000,33689000,117476000,126959000,170677000,401000,-393302000,-96122000,6984647000,-4600000
82,Other Non-Cash Items,- -,- -,- -,- -,50837000,55596000,-40619000,-68851000,-242027000,-152056000,33287000,335943000,36393000,-81843000,2093000,-37830000,201297000,400461000,-551145000,-7101707000,2354000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,127811000,146620000,154805000,182831000,180343000,188875000,207838000,210373000,243973000,246715000,271427000,339449000,402697000,432982000,469586000,420218000,446951000
84,CAPEX,- -,- -,- -,- -,-231157000,-2101446000,-172804000,-684623000,- -,- -,-55963000,-60158000,-67456000,-88703000,-79261000,-119546000,-171344000,-247521000,-238108000,-297598000,-293091000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-6625000,- -,- -,-36058000,-34409000,- -,-11000,- -,-4142000,-9379000,-51528000,-6591000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-2101446000,- -,- -,-42151000,-304611000,-59956000,-55459000,-212607000,-319965000,-231578000,-1366169000,-665453000,-240172000,-598140000,-258584000,-288708000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-231157000,-2101446000,-172804000,-684623000,-48776000,-304611000,-59956000,-91517000,-247016000,-319965000,-231589000,-1366169000,-669595000,-249551000,-649668000,-265175000,-288708000
90,Debt Repayment,- -,- -,- -,- -,-1748155000,-141500000,-124700000,-946400000,-131940000,-388080000,-1779904000,-621956000,-240000000,-112850000,-1415528000,-1335580000,-1698544000,-655326000,-2095718000,-549752000,-1075787000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,668000,- -,- -,- -,128257000,- -,- -,- -,49379000,593169000,- -,200983000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-125185000,- -,-5337000,- -,- -,- -,-352000,-2826000,- -,-826000,-10104000,-108000,-734000,-7000,-122000
93,Dividends Paid,- -,- -,- -,- -,-17657000,-14933000,-73130000,-87531000,-59301000,-62776000,-57777000,-80056000,-102422000,-115039000,-122510000,-130821000,-146026000,-169831000,-179667000,-196333000,-196529000
94,Other Financing Activites,- -,- -,- -,- -,1869580000,2007513000,342321000,1537867000,129096000,766271000,1824357000,421125000,16820000,278582000,1581175000,2455697000,1592121000,611416000,2262674000,609762000,1277684000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,103768000,1851080000,19306000,504604000,-67482000,315415000,-13324000,-152630000,-325954000,47867000,43137000,1037849000,330616000,-213849000,187538000,-136330000,5246000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,422000,-103746000,1307000,2812000,64085000,199679000,134558000,-33774000,-328997000,-25383000,82975000,11129000,63718000,-30418000,7456000,18713000,163489000
98,Cash at the End of Period,- -,- -,- -,- -,108282000,4536000,5843000,8655000,72740000,272419000,406977000,373203000,44206000,18823000,101798000,112927000,176645000,146348000,153804000,172517000,336006000
99,Cash at the Beginning of Period,- -,- -,- -,- -,107860000,108282000,4536000,5843000,8655000,72740000,272419000,406977000,373203000,44206000,18823000,101798000,112927000,176766000,146348000,153804000,172517000
100,Free Cash Flow,- -,- -,- -,- -,-103346000,-1954826000,-17999000,-501792000,180343000,188875000,151875000,150215000,176517000,158012000,192166000,219903000,231353000,185461000,231478000,122620000,153860000
101,SEC Link,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1364250/000119312507070967/0001193125-07-070967-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000114036108004902/0001140361-08-004902-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1364250/000136425014000013/0001364250-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425015000007/0001364250-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425016000048/0001364250-16-000048-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1364250/000136425018000007/0001364250-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425019000007/0001364250-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425020000008/0001364250-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425021000005/0001364250-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1364250/000136425022000011/0001364250-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
