,https://roic.ai/company/ALGN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-36.1460,-12.7926,-1.4539,-0.5178,0.0153,0.1415,0.0636,-0.1156,0.1770,0.0983,-0.0666,0.3002,0.2240,0.1823,0.1666,0.2734,0.2414,0.2453,0.2710,0.2607,0.2635,0.1911,0.2561
17,Operating Income,-14705000,-81115000,-98845000,-68237000,-19937000,9765000,2446000,-37536000,33855000,15514000,-34012000,102734000,90360000,85592000,94212000,193576000,188634000,248921000,353611000,466564000,542493000,387171000,976400000
18,Operating Income ratio,-35.7786,-12.0331,-2.1310,-0.9051,-0.1625,0.0565,0.0118,-0.1819,0.1191,0.0510,-0.1089,0.2654,0.1884,0.1528,0.1427,0.2542,0.2231,0.2305,0.2400,0.2373,0.2254,0.1566,0.2470
19,Total Other Income Expenses (Gains),-86000,-132000,1371000,116000,-101000,-3000,283000,3401000,3095000,1562000,119000,-731000,-419000,-1296000,-1073000,-3207000,-2533000,-6355000,11188000,87000,20158000,-8222000,36023000
20,Income Before Tax,- -,- -,-97474000,-68121000,-20038000,9762000,2729000,-34135000,36950000,17076000,-33893000,102003000,89941000,84296000,93139000,190369000,186101000,242566000,364799000,466651000,562651000,378949000,1012423000
21,Income Before Tax Ratio,- -,- -,-2.1015,-0.9035,-0.1633,0.0565,0.0132,-0.1654,0.1300,0.0562,-0.1085,0.2635,0.1875,0.1505,0.1411,0.2499,0.2201,0.2246,0.2476,0.2373,0.2338,0.1533,0.2561
22,Income Tax expense (Gain),- -,- -,10000,- -,84000,994000,1316000,828000,1226000,-62911000,-2624000,27750000,23225000,25605000,28844000,44537000,42081000,51200000,130162000,57723000,112347000,-1396939000,240403000
23,Net Income,-15415000,-88748000,-97474000,-68121000,-20122000,8768000,1413000,-34963000,35724000,79987000,-31269000,74253000,66716000,58691000,64295000,145832000,144020000,189682000,231418000,400235000,442776000,1775888000,772020000
24,Net Income ratio,-37.5061,-13.1654,-2.1015,-0.9035,-0.1640,0.0507,0.0068,-0.1694,0.1256,0.2631,-0.1001,0.1918,0.1391,0.1048,0.0974,0.1915,0.1703,0.1757,0.1571,0.2035,0.1840,0.7184,0.1953
25,EPS,-3.65,-25.64,-2.57,-1.42,-0.35,0.15,0.02,-0.55,0.53,1.20,-0.45,0.98,0.86,0.73,0.80,1.81,1.80,2.38,2.89,5.00,5.57,22.55,9.80
26,EPS Diluted,-3.65,-25.64,-2.57,-1.42,-0.35,0.14,0.02,-0.55,0.50,1.18,-0.45,0.95,0.83,0.71,0.78,1.77,1.77,2.33,2.83,4.92,5.53,22.41,9.74
27,Weighted Average Shares Outstanding,4218000,5548000,42247000,47878000,57758000,59963000,61644000,63246000,67176000,66812000,69094000,75825000,77988000,80528000,80551000,80754000,79998000,79856000,80085000,80064000,79424000,78760000,78760000
28,Weighted Average Shares Outstanding Diluted,4218000,5548000,42247000,47878000,57758000,64089000,63152000,63246000,71444000,68064000,69094000,78080000,80294000,83040000,82589000,82283000,81521000,81484000,81832000,81357000,80100000,79230000,79230000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1097149/000109714902000007/0001097149-02-000007-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000101287003001420/0001012870-03-001420-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000119312504037274/0001193125-04-037274-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000119312505041786/0001193125-05-041786-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000110465906013213/a06-5488_110k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000110465907018240/a07-5886_110k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000104746908001750/a2182917z10-k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000104746909001977/0001047469-09-001977-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000119312510042395/0001193125-10-042395-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000119312511044951/d10k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000119312512089395/0001193125-12-089395-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714913000007/0001097149-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000144530514000789/algn-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714915000005/algn-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714916000031/0001097149-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714917000009/0001097149-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714918000010/0001097149-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714919000009/0001097149-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714920000008/0001097149-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714921000007/0001097149-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714922000011/0001097149-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6832000,2828000,50550000,35552000,44939000,69659000,74219000,55113000,89119000,87100000,166487000,294664000,240675000,306386000,242953000,199871000,167714000,389275000,449511000,636899000,550425000,960843000,1099370000
32,Short-Term Investments,5253000,9633000,12494000,2693000,2292000,- -,- -,8931000,38771000,23066000,19978000,8615000,7395000,28485000,127040000,254787000,359581000,250981000,272031000,98460000,318202000,- -,71972000
33,Cash and Short-Term Investments,12085000,12461000,63044000,38245000,47231000,69659000,74219000,64044000,127890000,110166000,186465000,303279000,248070000,334871000,369993000,454658000,527295000,640256000,721542000,735359000,868627000,960843000,1171342000
34,Net Receivables,314000,4465000,11556000,16766000,21265000,28809000,29305000,33635000,44850000,52362000,54537000,65430000,91537000,98992000,113250000,129751000,158550000,247415000,322825000,439009000,620976000,708355000,897198000
35,Inventory,366000,2024000,1549000,1533000,1395000,2852000,2930000,3090000,2910000,1965000,2046000,2544000,9402000,15122000,13968000,15928000,19465000,27131000,31688000,55641000,112051000,139237000,230230000
36,Other Current Assets,1009000,22412000,5434000,9288000,7223000,5514000,5132000,7320000,8867000,13414000,18251000,17358000,35807000,36808000,47465000,56823000,26700000,38176000,80948000,72470000,31765000,41103000,195305000
37,Total Current Assets,13774000,41362000,81583000,65832000,77114000,106834000,111586000,108089000,184517000,177907000,261299000,388611000,384816000,485793000,544676000,657160000,732010000,952978000,1157003000,1302479000,1633419000,1849538000,2494075000
38,PP&E,3317000,21100000,32021000,25078000,23121000,21702000,26427000,26904000,25320000,26979000,24971000,30684000,53965000,79191000,75743000,90125000,136473000,175167000,348793000,521329000,631730000,817274000,1203183000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,478000,478000,478000,478000,478000,135383000,99236000,61623000,61369000,61074000,61044000,64614000,64029000,63924000,444817000,418547000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,1197000,13824000,10615000,7788000,4988000,2188000,50022000,45777000,23739000,20687000,18088000,20954000,24454000,17920000,11768000,130072000,109709000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,1197000,14302000,11093000,8266000,5466000,2666000,185405000,145013000,85362000,82056000,79162000,81998000,89068000,81949000,75692000,574889000,528256000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9089000,- -,21252000,101978000,147892000,151370000,104844000,94554000,64887000,- -,- -,125320000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,61696000,61535000,42439000,22337000,21609000,15766000,3099000,51416000,67844000,50059000,64689000,64007000,1552831000,1533767000
44,Other Non-Current Assets,- -,8099000,4614000,1946000,1967000,2176000,2900000,2263000,1831000,4493000,1969000,3454000,2741000,3454000,8622000,7665000,8202000,13320000,38379000,17125000,95854000,35151000,57509000
45,Total Non-Current Assets,3317000,29199000,36635000,27024000,25088000,23878000,30524000,43469000,38244000,101434000,93941000,88332000,264448000,270519000,287471000,330837000,426623000,443173000,620853000,749979000,867283000,2980145000,3448035000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17091000,70561000,118218000,92856000,102202000,130712000,142110000,151558000,222761000,279341000,355240000,476943000,649264000,756312000,832147000,987997000,1158633000,1396151000,1777856000,2052458000,2500702000,4829683000,5942110000
48,Accounts Payable,1572000,5541000,4376000,1974000,3095000,3361000,2489000,5034000,9222000,5580000,6122000,7768000,22313000,22415000,20482000,28983000,48188000,28596000,36776000,64256000,87250000,142132000,163886000
49,Short-Term Debt,- -,- -,483000,2183000,1989000,1849000,- -,11500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15737000,21735000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4876000,7478000,5825000,7420000,7483000,7447000,9242000,17908000,12028000,14130000,30130000,- -
51,Deferred Revenue,- -,- -,1551000,2130000,13113000,16257000,16747000,10942000,12362000,16710000,32299000,33848000,52252000,61975000,77275000,90684000,129553000,191407000,266842000,405577000,563762000,777887000,1152870000
52,Other Current Liabilities,2175000,17548000,11426000,12112000,19180000,23481000,29372000,40307000,39875000,38282000,42822000,51358000,73552000,71381000,77581000,82144000,93931000,134332000,194198000,222240000,304221000,383847000,607315000
53,Total Current Liabilities,3747000,23089000,17836000,18399000,37377000,44948000,48608000,67783000,61459000,60572000,81243000,92974000,148117000,155771000,175338000,201811000,271672000,354335000,497816000,692073000,970970000,1325601000,1924071000
54,Long-Term Debt,- -,- -,- -,3333000,1667000,25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64445000,102656000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,32758000,132146000,980000,504000,182000,- -,64000,219000,148000,229000,961000,6222000,10366000,19224000,22839000,33415000,39035000,46427000,129670000,107494000,183563000,205772000,292669000
58,Total Non-Current Liabilities,32758000,132146000,980000,3837000,1849000,25000,64000,219000,148000,229000,961000,6222000,10366000,19224000,22839000,33415000,39035000,46427000,129670000,107494000,183563000,270217000,395325000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,504000,182000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59200000,86180000,102656000
61,Total Liabilities,36505000,155235000,18816000,22236000,39226000,44973000,48672000,68002000,61607000,60801000,82204000,99196000,158483000,174995000,198177000,235226000,310707000,400762000,627486000,799567000,1154533000,1595818000,2319396000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,5000,6000,6000,6000,6000,6000,7000,7000,7000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,- -
64,Retained Earnings,-19854000,-108602000,-206076000,-274197000,-300592000,-291824000,-290411000,-325374000,-289650000,-221230000,-252499000,-178246000,-116513000,-89626000,-95910000,-30507000,27391000,131448000,263356000,378143000,439912000,2215800000,- -
65,Other Comprehensive Income/Loss,- -,- -,-10617000,-19880000,-5236000,-2000,7000,3000,657000,269000,455000,134000,46000,203000,294000,-140000,-980000,-938000,571000,-2774000,-688000,43501000,4326000
66,Other Total Stockholders Equity,439000,23927000,316090000,364691000,368798000,377559000,383836000,408921000,450140000,439494000,525073000,555851000,607240000,670732000,729578000,783410000,821507000,864871000,886435000,877514000,906937000,974556000,- -
67,Total Stockholders Equity,-19414000,-84674000,99402000,70620000,62976000,85739000,93438000,83556000,161154000,218540000,273036000,377747000,490781000,581317000,633970000,752771000,847926000,995389000,1150370000,1252891000,1346169000,3233865000,3622714000
68,Total Liabilities And Stockholders Equity,17091000,70561000,118218000,92856000,102202000,130712000,142110000,151558000,222761000,279341000,355240000,476943000,649264000,756312000,832147000,987997000,1158633000,1396151000,1777856000,2052458000,2500702000,4829683000,5942110000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,17091000,70561000,118218000,92856000,102202000,130712000,142110000,151558000,222761000,279341000,355240000,476943000,649264000,756312000,832147000,987997000,1158633000,1396151000,1777856000,2052458000,2500702000,4829683000,5942110000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1097149/000109714902000007/0001097149-02-000007-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000101287003001420/0001012870-03-001420-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000119312504037274/0001193125-04-037274-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000119312505041786/0001193125-05-041786-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000110465906013213/a06-5488_110k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000110465907018240/a07-5886_110k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000104746908001750/a2182917z10-k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000104746909001977/0001047469-09-001977-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000119312510042395/0001193125-10-042395-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000119312511044951/d10k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000119312512089395/0001193125-12-089395-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714913000007/0001097149-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000144530514000789/algn-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714915000005/algn-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714916000031/0001097149-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714917000009/0001097149-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714918000010/0001097149-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714919000009/0001097149-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714920000008/0001097149-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714921000007/0001097149-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714922000011/0001097149-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-15415000,-88748000,-97474000,-68121000,-20122000,8768000,1413000,-34963000,35724000,79987000,-31269000,74253000,66716000,58691000,64295000,145832000,144020000,189682000,231418000,400235000,442776000,1775888000,772020000
74,Depreciation and Amortization,559000,2513000,30025000,29081000,21915000,14686000,10451000,10271000,13385000,12791000,13004000,14186000,17477000,17811000,16825000,17856000,18004000,24002000,37739000,54727000,78990000,93538000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-64608000,-2612000,17307000,5842000,17783000,21204000,25481000,-1200000,-513000,17572000,-15680000,307000,-1491577000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,17735000,15088000,16072000,19165000,21483000,26438000,39823000,52943000,54148000,58854000,70763000,88184000,98427000,- -
77,Change in Working Capital,1812000,8246000,45474000,-16314000,-7696000,22149000,1092000,-22672000,82752000,-5723000,62721000,115581000,-58938000,93323000,39316000,86011000,4989000,138305000,60544000,-48781000,52043000,-138512000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7951000,-2586000,-12184000,-21693000,-9138000,-11981000,-27229000,-40775000,-94444000,-90990000,-109224000,-121014000,-139777000,- -
79,Inventory,-366000,-1658000,-80000,102000,354000,-308000,-213000,-160000,186000,943000,-85000,-508000,-4058000,-5718000,1158000,-1999000,-3563000,-7663000,-5481000,-24109000,-58269000,-29110000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2651000,-614000,2612000,7535000,-6000,-186000,2887000,7575000,-3395000,8175000,25045000,22099000,52206000,- -
81,Other Working Capital,10027000,18273000,63747000,47433000,39737000,61886000,62978000,40306000,123058000,117335000,180056000,295637000,236699000,330022000,369338000,455349000,460338000,598643000,659187000,610406000,662449000,523937000,- -
82,Other Non-Cash Items,1411000,19189000,-55880000,14955000,18025000,-21041000,3132000,33334000,-79084000,-436000,17233000,-107870000,80207000,-75313000,17898000,-88104000,19241000,-157970000,32412000,93417000,84970000,324410000,400524000
83,Cash Provided by Operating Activities,-11633000,-58800000,-77855000,-40399000,12122000,24562000,16088000,-14030000,52777000,39746000,74165000,129529000,130469000,133778000,185976000,226899000,237997000,247654000,438539000,554681000,747270000,662174000,1172544000
84,CAPEX,-2463000,-13571000,-19175000,-8112000,-7585000,-9061000,-13801000,-24028000,-7429000,-14334000,-7192000,-18031000,-30404000,-38333000,-19412000,-24092000,-53451000,-70576000,-195695000,-223312000,-149707000,-154916000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-856000,- -,- -,- -,- -,- -,-187588000,- -,-7652000,- -,- -,-46745000,-21717000,-5000000,- -,-420788000,- -
86,Purchases of Investments,-6246000,-35291000,-72219000,-1972000,-7684000,-519000,-2226000,-18416000,-64686000,-75050000,-42923000,-18334000,- -,-67511000,-303917000,-437152000,-447092000,-405612000,-390244000,-180191000,-693284000,-5341000,- -
87,Sales/Maturities of Investments,5105000,9077000,74310000,14093000,8069000,2811000,2226000,9481000,34797000,87926000,48893000,20590000,10317000,25198000,122658000,259800000,334136000,603992000,388776000,384665000,485431000,321458000,- -
88,Other Investing Activites,- -,-1848000,15124000,-2497000,2866000,785000,-607000,212000,539000,403000,-334000,-145000,-3931000,2346000,-2411000,-183000,46000,-8211000,-29433000,30765000,7116000,28081000,-563430000
89,Cash Used for Investing Activites,-3604000,-41633000,-1960000,1512000,-4334000,-5984000,-15264000,-32751000,-36779000,-1055000,-1556000,-15920000,-211606000,-78300000,-210734000,-201627000,-166361000,72848000,-248313000,6927000,-350444000,-231506000,-563430000
90,Debt Repayment,-8000,-318000,- -,- -,- -,- -,- -,- -,- -,-407000,-136000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45773000,- -,- -
91,Common Stock Issued,18782000,84122000,138606000,19248000,2880000,8115000,5585000,16175000,28993000,10506000,8097000,11822000,25501000,42327000,34196000,18028000,11325000,13778000,14461000,16635000,17907000,20314000,- -
92,Common Stock Repurchased,-2000,-48000,-53000,-317000,-20000,-1000,- -,- -,- -,-50138000,- -,- -,-7754000,-47203000,-95107000,-98233000,-101791000,-96218000,-103793000,-300002000,-399999000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,826000,12673000,-11016000,4958000,-1261000,-1972000,-1849000,11500000,-11484000,-316000,-1124000,2885000,9494000,15081000,22740000,13785000,-10320000,-13084000,-46168000,-86067000,-57675000,-51122000,-458332000
95,Cash Used/Provided by Financing Activities,19598000,96429000,127537000,23889000,1599000,6142000,3736000,27675000,17509000,-40355000,6837000,14707000,27241000,10205000,-38171000,-66420000,-100786000,-95524000,-135500000,-369434000,-485540000,-30808000,-458332000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,499000,-355000,-59000,-139000,-93000,28000,-504000,-1934000,-3007000,-3417000,5510000,-4733000,2282000,10480000,-12117000
97,Net Change In Cash,4361000,-4004000,47722000,-14998000,9387000,24720000,4560000,-19106000,34006000,-2019000,79387000,128177000,-53989000,65711000,-63433000,-43082000,-32157000,221561000,60236000,187441000,-86432000,410340000,138665000
98,Cash at the End of Period,6832000,2828000,50550000,35552000,44939000,69659000,74219000,55113000,89119000,87100000,166487000,294664000,240675000,306386000,242953000,199871000,167714000,389275000,449511000,637566000,551134000,961474000,1100139000
99,Cash at the Beginning of Period,2471000,6832000,2828000,50550000,35552000,44939000,69659000,74219000,55113000,89119000,87100000,166487000,294664000,240675000,306386000,242953000,199871000,167714000,389275000,450125000,637566000,551134000,961474000
100,Free Cash Flow,-14096000,-72371000,-97030000,-48511000,4537000,15501000,2287000,-38058000,45348000,25412000,66973000,111498000,100065000,95445000,166564000,202807000,184546000,177078000,242844000,331369000,597563000,507258000,1172544000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1097149/000109714902000007/0001097149-02-000007-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000101287003001420/0001012870-03-001420-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000119312504037274/0001193125-04-037274-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000119312505041786/0001193125-05-041786-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000110465906013213/a06-5488_110k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000110465907018240/a07-5886_110k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000104746908001750/a2182917z10-k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000104746909001977/0001047469-09-001977-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000119312510042395/0001193125-10-042395-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000119312511044951/d10k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000119312512089395/0001193125-12-089395-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714913000007/0001097149-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000144530514000789/algn-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714915000005/algn-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714916000031/0001097149-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714917000009/0001097149-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714918000010/0001097149-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714919000009/0001097149-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714920000008/0001097149-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1097149/000109714921000007/0001097149-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714922000011/0001097149-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
