,https://roic.ai/company/VIRC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1127000,1077000,1122000,1556000,1302000,1454000,1281000,1217000,1545000,2191000,2462000,1538000
14,Depreciation and Amortization,4100000,4200000,4300000,3900000,3400000,3500000,3500000,3600000,3600000,4200000,5400000,6500000,7100000,7100000,9993000,13412000,15813000,13659000,11605000,9799000,8844000,7199000,6643000,5673000,5387000,5352000,5021000,4368000,4209000,4408000,4757000,5026000,5466000,5791000,5769000,5090000
15,EBITDA,12100000,12900000,-1200000,7500000,3600000,7300000,8700000,8600000,10200000,12200000,13800000,21500000,29800000,36000000,26686000,20101000,16249000,14082000,-15033000,-4081000,-839000,15190000,18835000,7182000,6678000,-2158000,-7605000,1885000,2778000,6780000,10705000,10970000,9425000,6865000,10958000,3652000
16,EBITDA ratio,0.0717,0.0749,-0.0065,0.0412,0.0197,0.0385,0.0464,0.0450,0.0496,0.0566,0.0615,0.0910,0.1154,0.1316,0.1001,0.0700,0.0631,0.0576,-0.0784,-0.0204,-0.0039,0.0681,0.0820,0.0339,0.0351,-0.0119,-0.0457,0.0119,0.0178,0.0413,0.0635,0.0633,0.0498,0.0342,0.0574,0.0239
17,Operating Income,12700000,12100000,-1300000,7100000,5700000,7600000,8700000,8500000,9400000,10400000,10400000,18300000,27800000,30100000,19284000,229000,5083000,3982000,-16161000,-11790000,-5606000,11784000,14451000,4114000,- -,- -,- -,-2483000,-1431000,2372000,5948000,5944000,3959000,2331000,5915000,735000
18,Operating Income ratio,0.0753,0.0702,-0.0071,0.0390,0.0312,0.0401,0.0464,0.0444,0.0457,0.0482,0.0464,0.0774,0.1077,0.1100,0.0723,0.0008,0.0197,0.0163,-0.0842,-0.0590,-0.0261,0.0528,0.0629,0.0194,- -,- -,- -,-0.0156,-0.0092,0.0145,0.0353,0.0343,0.0209,0.0116,0.0310,0.0048
19,Total Other Income Expenses (Gains),-3100000,-3400000,-4200000,-3900000,-3300000,-3500000,-3200000,-2800000,-2500000,-2400000,-2000000,-3300000,-5100000,-1200000,-2591000,6757000,-4647000,-3559000,-10477000,-2090000,-4077000,-3793000,-2259000,-2605000,-1047000,-1077000,-5691000,-1556000,-1302000,-1454000,-1281000,-1217000,-1545000,-3448000,-3188000,-3711000
20,Income Before Tax,9600000,8700000,-5500000,3200000,2400000,4100000,5500000,5700000,6900000,8000000,8400000,15000000,22700000,28900000,16693000,6986000,436000,423000,-26638000,-13880000,-9683000,7991000,12192000,1509000,164000,-8587000,-13748000,-4039000,-2733000,918000,4667000,4727000,2414000,-1117000,2727000,-2976000
21,Income Before Tax Ratio,0.0569,0.0505,-0.0300,0.0176,0.0131,0.0216,0.0293,0.0298,0.0336,0.0371,0.0374,0.0635,0.0879,0.1056,0.0626,0.0243,0.0017,0.0017,-0.1388,-0.0695,-0.0452,0.0358,0.0531,0.0071,0.0009,-0.0474,-0.0826,-0.0254,-0.0175,0.0056,0.0277,0.0273,0.0128,-0.0056,0.0143,-0.0195
22,Income Tax expense (Gain),4500000,4400000,-2500000,1000000,900000,1600000,2000000,1900000,2600000,3000000,3200000,5700000,8800000,11300000,6527000,2673000,190000,141000,-4677000,115000,-109000,446000,-10027000,299000,-136000,9007000,55000,-209000,-1003000,69000,118000,-18033000,5623000,497000,345000,-744000
23,Net Income,3500000,4300000,-3000000,2600000,-700000,2200000,3200000,3100000,4000000,5000000,5200000,9300000,13900000,17600000,10166000,4016000,246000,282000,-21961000,-13995000,-9574000,7545000,22219000,1210000,300000,-17594000,-13803000,-3830000,-1730000,849000,4549000,22760000,-3209000,-1614000,2382000,-2232000
24,Net Income ratio,0.0207,0.0250,-0.0164,0.0143,-0.0038,0.0116,0.0171,0.0162,0.0195,0.0232,0.0232,0.0394,0.0538,0.0643,0.0381,0.0140,0.0010,0.0012,-0.1145,-0.0700,-0.0446,0.0338,0.0968,0.0057,0.0016,-0.0972,-0.0829,-0.0241,-0.0111,0.0052,0.0270,0.1312,-0.0170,-0.0080,0.0125,-0.0146
25,EPS,0.24,0.32,-0.22,0.21,-0.07,0.21,0.26,0.24,0.31,0.39,0.36,0.64,0.97,1.22,0.73,0.29,0.02,0.02,-1.68,-1.07,-0.73,0.56,1.54,0.08,0.02,-1.25,-0.97,-0.27,-0.12,0.06,0.31,1.51,-0.21,-0.10,0.15,-0.14
26,EPS Diluted,0.24,0.32,-0.22,0.21,-0.07,0.21,0.26,0.24,0.31,0.38,0.36,0.64,0.94,1.20,0.72,0.29,0.02,0.02,-1.68,-1.07,-0.73,0.55,1.53,0.08,0.02,-1.25,-0.97,-0.27,-0.12,0.06,0.30,1.49,-0.21,-0.10,0.15,-0.14
27,Weighted Average Shares Outstanding,14606338,13343677,13447126,12102424,9413030,10650143,12102417,12937096,12739381,12874918,14433565,14506270,14350057,14395620,13949429,13746810,13484900,13344000,13106000,13112000,13114000,13590000,14401000,14390000,14155000,14130000,14235000,14387000,14620000,14756000,14914000,15067000,15244000,15421000,15590000,15759000
28,Weighted Average Shares Outstanding Diluted,14606338,13343677,13447126,12102424,9413030,10650143,12102417,12937096,12739381,13154814,14433565,14506270,14727690,14641000,14094735,13884750,13675200,13458000,13106000,13112000,13350000,13611000,14539000,14434000,14196000,14130000,14235000,14387000,14620000,14987000,15118000,15266000,15244000,15421000,15694000,15759000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/751365/000095014802001157/0000950148-02-001157-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/751365/000095012905003787/v07947e10vk.htm,https://www.sec.gov/Archives/edgar/data/751365/000095012906004020/v19551e10vk.htm,https://www.sec.gov/Archives/edgar/data/751365/000095014807000082/0000950148-07-000082-index.html,https://www.sec.gov/Archives/edgar/data/751365/000095012408001881/0000950124-08-001881-index.html,https://www.sec.gov/Archives/edgar/data/751365/000095013409007689/0000950134-09-007689-index.html,https://www.sec.gov/Archives/edgar/data/751365/000095012310035608/0000950123-10-035608-index.html,https://www.sec.gov/Archives/edgar/data/751365/000095012311036097/0000950123-11-036097-index.html,https://www.sec.gov/Archives/edgar/data/751365/000119312512182323/d319583d10k.htm,https://www.sec.gov/Archives/edgar/data/751365/000144530513000855/0001445305-13-000855-index.html,https://www.sec.gov/Archives/edgar/data/751365/000144530514001471/0001445305-14-001471-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828015002923/0001628280-15-002923-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828016014729/0001628280-16-014729-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828017004284/0001628280-17-004284-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828018005275/0001628280-18-005275-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828019005502/0001628280-19-005502-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828020005961/0001628280-20-005961-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828021007933/0001628280-21-007933-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,700000,1200000,1100000,1072000,351000,1704000,1639000,2059000,1192000,1489000,1892000,2066000,4387000,1045000,1528000,2897000,853000,1051000,470000,815000,788000,534000,738000,1150000,402000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,700000,1200000,1100000,1072000,351000,1704000,1639000,2059000,1192000,1489000,1892000,2066000,4387000,1045000,1528000,2897000,853000,1051000,470000,815000,788000,534000,738000,1150000,402000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28200000,25500000,26800000,30800000,27384000,25145000,19426000,17401000,18894000,17441000,17647000,18824000,15758000,14961000,14527000,10997000,13468000,9127000,8810000,10924000,10280000,10406000,11585000,13468000,12117000,9984000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000000,43600000,43900000,48500000,57058000,58039000,38683000,43039000,28471000,26047000,31617000,37837000,43008000,32985000,36670000,35371000,27791000,25317000,27780000,26678000,34603000,35689000,42057000,47289000,43329000,38270000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,2900000,2300000,2100000,4412000,5438000,2646000,3989000,1962000,1340000,1493000,1479000,5682000,5466000,4664000,1619000,1652000,1665000,1998000,899000,1074000,1610000,1537000,1616000,1746000,2311000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74600000,72700000,74200000,82500000,89926000,88973000,62459000,66068000,51386000,46020000,52246000,60032000,66514000,57799000,56906000,49515000,45808000,36962000,39639000,38971000,46772000,48493000,55713000,63111000,58342000,50967000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,37500000,39400000,59300000,87937000,94645000,83406000,73036000,63358000,56889000,51423000,48088000,46333000,44615000,44434000,42061000,39208000,36882000,36305000,35221000,34820000,34325000,42442000,41920000,61222000,54422000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,2200000,2298000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2350000,2337000,124000,111000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2350000,2337000,2324000,2311000,2298000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5652000,9372000,10502000,2605000,2200000,1484000,611000,624000,703000,17008000,10093000,9598000,11230000,11716000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7600000,7800000,8400000,9600000,13000000,15931000,15507000,15692000,9174000,8795000,8727000,5846000,6238000,6289000,6258000,6407000,7009000,6835000,6789000,6995000,7140000,8361000,8375000,8484000,8198000,7931000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44600000,45300000,47800000,68900000,100937000,110576000,98913000,88728000,74882000,68021000,62474000,56245000,60521000,60276000,61194000,51073000,48417000,45201000,43705000,42840000,42663000,59694000,60910000,60002000,80650000,74069000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119200000,118000000,122000000,151400000,190863000,199549000,161372000,154796000,126268000,114041000,114720000,116277000,127035000,118075000,118100000,100588000,94225000,82163000,83344000,81811000,89435000,108187000,116623000,123113000,138992000,125036000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10200000,11100000,13300000,14400000,19749000,13930000,8816000,8395000,9513000,13948000,17504000,14463000,14313000,10728000,11641000,8382000,11684000,11864000,12355000,9901000,12982000,12388000,14106000,17760000,10587000,8421000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,1000000,3400000,2400000,1998000,12101000,4991000,1087000,5840000,5012000,5012000,5074000,74000,69000,12000,12000,5497000,4053000,2248000,3366000,663000,68000,4681000,5504000,4532000,5559000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12200000,15400000,13500000,18300000,16756000,19769000,14188000,17838000,10629000,11726000,14242000,17501000,20131000,16867000,11273000,11623000,9659000,8519000,8053000,8138000,9133000,9129000,8936000,8861000,9999000,8126000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23300000,27500000,30200000,35100000,38503000,45800000,27995000,27320000,25982000,30686000,36758000,37038000,34518000,27664000,22926000,20017000,26840000,24436000,22656000,21405000,22778000,21585000,27723000,32125000,25118000,22106000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35900000,21500000,9500000,21300000,46027000,43741000,26647000,27905000,22195000,18118000,21541000,10190000,3772000,47000,6912000,6519000,6011000,- -,6000000,6153000,6097000,4943000,12000000,15910000,15818000,25172000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,1100000,1000000,1700000,4531000,4533000,2301000,98000,- -,- -,- -,260000,- -,- -,1120000,722000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,3900000,4000000,4400000,7968000,11334000,14206000,16699000,15739000,15972000,17321000,19911000,16597000,24201000,22204000,22928000,30478000,30707000,27083000,31680000,27247000,22305000,18188000,18051000,43238000,23571000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40400000,26500000,14500000,27400000,58526000,59608000,43154000,44702000,37934000,34090000,38862000,30361000,20369000,24248000,30236000,30169000,36489000,30707000,33083000,37833000,33344000,27248000,30188000,33961000,59056000,48743000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23441000,20291000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63700000,54000000,44700000,62500000,97029000,105408000,71149000,72022000,63916000,64776000,75620000,67399000,54887000,51912000,53162000,50186000,63329000,55143000,55739000,59238000,56122000,48833000,57911000,66086000,84174000,70849000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000,120000,132000,145000,146000,131000,131000,143000,144000,142000,142000,142000,144000,146000,147000,149000,150000,152000,154000,155000,157000,159000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13700000,14300000,27400000,26900000,20242000,10645000,-2006000,-18927000,-41412000,-55407000,-64981000,-57436000,-37224000,-38664000,-39785000,-54465000,-68980000,-72810000,-74540000,-73690000,-69140000,-46380000,-49648000,-52192000,-49810000,-52042000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36700000,-42200000,-36400000,-40700000,-48378000,-58859000,-72761000,-6094000,-4244000,-3342000,-4193000,-7566000,-5090000,-9382000,-9571000,-9742000,-15328000,-15986000,-13980000,-20234000,-14330000,-11394000,-9259000,-9042000,-14311000,-13585000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78500000,91900000,86300000,102700000,121860000,142235000,164858000,107650000,- -,107883000,108143000,113737000,114318000,114067000,114152000,114467000,115060000,115670000,115978000,116348000,116633000,116976000,117465000,118106000,118782000,119655000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55500000,64000000,77300000,88900000,93834000,94141000,90223000,82774000,62352000,49265000,39100000,48878000,72148000,66163000,64938000,50402000,30896000,27020000,27605000,22573000,33313000,59354000,58712000,57027000,54818000,54187000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119200000,118000000,122000000,151400000,190863000,199549000,161372000,154796000,126268000,114041000,114720000,116277000,127035000,118075000,118100000,100588000,94225000,82163000,83344000,81811000,89435000,108187000,116623000,123113000,138992000,125036000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119200000,118000000,122000000,151400000,190863000,199549000,161372000,154796000,126268000,114041000,114720000,116277000,127035000,118075000,118100000,100588000,94225000,82163000,83344000,81811000,89435000,108187000,116623000,123113000,138992000,125036000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/751365/000095014802001157/0000950148-02-001157-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/751365/000095012905003787/v07947e10vk.htm,https://www.sec.gov/Archives/edgar/data/751365/000095012906004020/v19551e10vk.htm,https://www.sec.gov/Archives/edgar/data/751365/000095014807000082/0000950148-07-000082-index.html,https://www.sec.gov/Archives/edgar/data/751365/000095012408001881/0000950124-08-001881-index.html,https://www.sec.gov/Archives/edgar/data/751365/000095013409007689/0000950134-09-007689-index.html,https://www.sec.gov/Archives/edgar/data/751365/000095012310035608/0000950123-10-035608-index.html,https://www.sec.gov/Archives/edgar/data/751365/000095012311036097/0000950123-11-036097-index.html,https://www.sec.gov/Archives/edgar/data/751365/000119312512182323/d319583d10k.htm,https://www.sec.gov/Archives/edgar/data/751365/000144530513000855/0001445305-13-000855-index.html,https://www.sec.gov/Archives/edgar/data/751365/000144530514001471/0001445305-14-001471-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828015002923/0001628280-15-002923-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828016014729/0001628280-16-014729-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828017004284/0001628280-17-004284-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828018005275/0001628280-18-005275-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828019005502/0001628280-19-005502-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828020005961/0001628280-20-005961-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828021007933/0001628280-21-007933-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-700000,2200000,3200000,3100000,4000000,5000000,5200000,9300000,13900000,17600000,10166000,4016000,246000,282000,-21961000,-13995000,-9574000,7545000,22219000,1210000,300000,-17594000,-13803000,-3830000,-1730000,849000,4549000,22760000,-3209000,-1614000,2382000,-2232000
74,Depreciation and Amortization,- -,- -,- -,- -,3400000,3500000,3500000,3600000,3600000,4200000,5400000,6500000,7100000,7100000,9993000,13412000,15813000,13659000,11605000,9799000,8844000,7199000,6643000,5673000,5387000,5352000,5021000,4368000,4209000,4408000,4757000,5026000,5466000,5791000,5769000,5090000
75,Deferred Income Tax,- -,- -,- -,- -,-500000,-500000,200000,600000,-500000,-700000,800000,100000,200000,400000,2735000,-407000,-1722000,555000,674000,- -,- -,260000,-10654000,-358000,-326000,9859000,229000,66000,97000,34000,77000,-18122000,5821000,419000,209000,-742000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,857000,799000,735000,698000,523000,502000,493000,609000,830000,908000,924000,1012000
77,Change in Working Capital,- -,- -,- -,- -,-2300000,- -,- -,- -,- -,- -,51300000,-6100000,-1200000,3400000,4023000,-8250000,-8709000,4284000,14645000,-10070000,154000,7506000,9002000,-1861000,3845000,-4482000,-10530000,-6442000,4457000,583000,6428000,2914000,1082000,2996000,2238000,-4363000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61000,3586000,-2476000,4057000,376000,-2261000,544000,14000,-1470000,-1868000,1408000,2003000
79,Inventory,- -,- -,- -,- -,-5800000,1300000,-1500000,-1800000,7400000,-4200000,-3800000,-600000,-200000,800000,-8589000,-981000,19356000,-4356000,14568000,2424000,-5570000,-6220000,-5171000,10023000,-3685000,8218000,7579000,2475000,-2464000,1101000,-8275000,-1712000,-6861000,-5232000,3960000,5060000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51300000,45200000,44000000,47400000,51423000,43173000,34464000,38748000,-120000,15334000,15488000,22994000,31996000,30135000,33980000,29498000,18968000,12526000,16983000,17566000,23994000,26908000,27990000,30986000,33224000,28861000
82,Other Non-Cash Items,- -,- -,- -,- -,400000,400000,1100000,-5100000,7200000,5400000,-60800000,12600000,-900000,-5600000,-6339000,-2302000,29409000,-6735000,-5461000,17944000,880000,-11595000,-10326000,6496000,-12858000,11518000,17438000,12303000,-7799000,-4717000,-8797000,-7325000,-8308000,-6137000,-1763000,9034000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,300000,5600000,8000000,2200000,14300000,13900000,1900000,22400000,19100000,22900000,20578000,6469000,35037000,12045000,-498000,3678000,304000,10915000,16884000,11160000,-2795000,5452000,-910000,7163000,-243000,1659000,7507000,5862000,1682000,2363000,9759000,7799000
84,CAPEX,- -,- -,- -,- -,-3400000,-4100000,-7100000,-3800000,-8800000,-12400000,-11100000,-7100000,-10700000,-28100000,-38849000,-22711000,-5229000,-3532000,-2236000,-2799000,-3470000,-3622000,-4832000,-5056000,-5345000,-3002000,-2159000,-2050000,-3632000,-3314000,-4261000,-4408000,-13408000,-5395000,-4216000,-2154000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4550000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
