,https://roic.ai/company/PTR,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,- -,- -,10231706880,10927065600,20960275800,22119216800,111430447000,121391480000,126721222760,142145000000,155669000000,201008000000,274799000000,253442000000,275565000000,271765000000,244755000000,214683000000,230873000000,259260000000,247361000000,276701000000,235357000000
53,Total Current Liabilities,- -,- -,89734387200,89337039360,114031516250,120091122050,153888983500,179537437500,198106464520,264337000000,388553000000,429736000000,560038000000,574748000000,645489000000,579829000000,471407000000,499263000000,576667000000,586386000000,661419000000,605418000000,518158000000
54,Long-Term Debt,- -,- -,58269405120,60636936000,41961942350,38460284900,44581867000,35564397500,40725821000,32827000000,130218000000,191716000000,185551000000,293774000000,302862000000,370301000000,434475000000,372887000000,289858000000,269422000000,455025000000,374023000000,410397000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,4834398720,9925417920,11523184800,14337755800,20765042000,19548332500,20205851280,12460000000,21449000000,21515000000,20749000000,22286000000,15166000000,15900000000,13120000000,13640000000,12660000000,17015000000,21411000000,16380000000,26638000000
57,Other Non-Current Liabilities,- -,- -,1341048960,1680450240,2003312300,2433776100,15234694500,19431370000,24764221200,37424000000,2367000000,3391000000,68702000000,97340000000,108658000000,121662000000,130808000000,138126000000,144108000000,148785000000,150750000000,125684000000,138200000000
58,Total Non-Current Liabilities,- -,- -,64444852800,72242804160,55488439450,55231816800,80581603500,74544100000,85695893480,82711000000,154034000000,216622000000,275002000000,413400000000,426686000000,507863000000,578403000000,524653000000,446626000000,435222000000,627186000000,516087000000,575235000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44747000000,60364000000,4876000000,- -,- -,- -,- -,- -,- -,- -,171536000000,129223000000,129848000000
61,Total Liabilities,- -,- -,154179240000,161579843520,169519955700,175322938850,234470587000,254081537500,283802358000,347048000000,542587000000,646358000000,835040000000,988148000000,1072175000000,1087692000000,1049810000000,1023916000000,1023293000000,1021608000000,1288605000000,1121505000000,1093393000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,175826419200,175785028800,175827906000,175827906000,179078303500,178679712500,183036084480,183021000000,183021000000,183021000000,183021000000,183021000000,183021000000,183021000000,183021000000,183021000000,183021000000,183021000000,183021000000,183021000000,183021000000
64,Retained Earnings,- -,- -,51820780800,58989598080,89577861150,143625902500,203872022000,263586690000,332454190800,378600000000,424067000000,499288000000,556717000000,603808000000,669300000000,707303000000,711755000000,711197000000,712437000000,732182000000,743124000000,727955000000,771980000000
65,Other Comprehensive Income/Loss,- -,- -,-154651090560,81828820800,91208656700,105761644400,132599164000,143286860000,164598062560,-2717000000,-633570000000,-740809000000,263007000000,277181000000,280414000000,285570000000,284940000000,294806000000,298062000000,299083000000,304011000000,304182000000,308560000000
66,Other Total Stockholders Equity,- -,- -,220122425280,- -,- -,- -,- -,- -,53363609400,231934000000,873705000000,997426000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,293118534720,316603447680,356614423850,425215452900,515549489500,585553262500,733451947240,790838000000,847223000000,938926000000,1002745000000,1064010000000,1132735000000,1175894000000,1179716000000,1189024000000,1193520000000,1214286000000,1230156000000,1215158000000,1263561000000
68,Total Liabilities And Stockholders Equity,- -,- -,447297774720,478183291200,526134379550,600538391750,750020076500,839634800000,1017254305240,1137886000000,1389810000000,1585284000000,1837785000000,2052158000000,2204910000000,2263586000000,2229526000000,2212940000000,2216813000000,2235894000000,2518761000000,2336663000000,2356954000000
69,Minority Interest,- -,- -,- -,4850954880,5604307550,9387422100,28289544000,30854707500,42946565320,56288000000,60478000000,71203000000,79801000000,116738000000,137200000000,141887000000,164318000000,183711000000,187799000000,196372000000,214149000000,151463000000,145308000000
70,Total Liabilities & Equity,- -,- -,447297774720,483034246080,531738687100,609925813850,778309620500,870489507500,1060200870560,1194174000000,1450288000000,1656487000000,1917586000000,2168896000000,2342110000000,2405473000000,2393844000000,2396651000000,2404612000000,2432266000000,2732910000000,2488126000000,2502262000000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1108329/000114554903000742/0001145549-03-000742-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000114554904000825/0001145549-04-000825-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000114554905001175/0001145549-05-001175-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000114554906000842/0001145549-06-000842-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000114554907000795/0001145549-07-000795-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000114554908000933/0001145549-08-000933-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000114554909000914/0001145549-09-000914-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000095012310060898/0000950123-10-060898-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000095012311047785/0000950123-11-047785-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000119312512184222/0001193125-12-184222-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000119312513177465/0001193125-13-177465-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000119312514160165/0001193125-14-160165-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000119312515154405/0001193125-15-154405-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000119312516561899/0001193125-16-561899-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000119312517141187/0001193125-17-141187-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000119312518137017/0001193125-18-137017-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000119312519123907/0001193125-19-123907-index.htm,https://www.sec.gov/Archives/edgar/data/1108329/000119312520125304/0001193125-20-125304-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,26994818880,55160092800,46804264320,46895323200,69610963350,102930517100,133406514000,141953487500,145634074880,126651000000,103387000000,139992000000,132961000000,115326000000,129599000000,107172000000,35517000000,7857000000,22798000000,52591000000,45682000000,19006000000,- -
74,Depreciation and Amortization,23311073280,33714457200,33368940480,36779509440,40529822400,46407308900,51323239500,61272755000,66629634680,94603000000,92259000000,113209000000,138073000000,151975000000,163365000000,177463000000,202875000000,218147000000,219432000000,231929000000,225262000000,213875000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36191000000,35789000000,37731000000,15726000000,15768000000,16296000000,42790000000,36199000000,22588000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-3849307200,-2323139400,-25943502720,-16903839360,-11018217650,-58418904550,6353844500,-11197210000,-8612689320,-43223000000,37833000000,31741000000,1377000000,-64926000000,-10303000000,41504000000,13674000000,-532000000,63591000000,6764000000,31121000000,75793000000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13412000000,-13621000000,2651000000,5581000000,5281000000,-2779000000,-9203000000,-5017000000,14751000000,- -
79,Inventory,-107615040,-15129342000,4139040000,157283520,-562914200,-17044710850,-15904795000,-13419497500,-12046076920,-10771000000,-20044000000,-20004000000,-39942000000,-32586000000,-13887000000,59215000000,36256000000,-22638000000,1141000000,-34110000000,-5624000000,43645000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18928000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-26539524480,-23658752640,-22806303250,-36258297000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7540000000,900000000,14346000000,8987000000,- -
82,Other Non-Cash Items,7590999360,17485551000,30264660480,31547762880,39693729250,46382474450,12861085500,5692175000,109576200,-7525000000,28493000000,25744000000,17744000000,722000000,-29921000000,-7393000000,-6480000000,23939000000,44538000000,17491000000,21346000000,-12687000000,341469000000
83,Cash Provided by Operating Activities,54047584320,104036961600,84494362560,98318756160,138816297350,137301395900,203944683500,197721207500,203760596440,170506000000,261972000000,310686000000,290155000000,239288000000,288529000000,356477000000,261312000000,265179000000,366655000000,351565000000,359610000000,318575000000,341469000000
84,CAPEX,-42971513280,-56681294400,-51117144000,-70678247040,-81109313700,-90447066900,-120860295000,-131512635000,-175044326960,-219325000000,-261067000000,-264182000000,-273543000000,-330861000000,-310223000000,-312357000000,-223860000000,-189421000000,-237004000000,-275744000000,-326762000000,-256727000000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-1721840640,-5266333800,-173839680,-231786240,-720199050,- -,-1227172000,-22565965000,-20088970000,-23000000,-1487000000,-32052000000,-6008000000,-3465000000,-2696000000,-219000000,-625000000,-400000000,-13010000000,-2000000,-11739000000,-12063000000,- -
87,Sales/Maturities of Investments,- -,- -,99336960,736749120,91059650,82781500,34465771500,413267500,7926011800,10721000000,164000000,139000000,66000000,- -,- -,3615000000,4482000000,240000000,- -,710000000,- -,- -,- -
88,Other Investing Activites,4279767360,1628677800,-10430380800,-1473498240,-16059611000,-8170534050,-3980235500,-4483562500,2987777720,-220736000000,-256625000000,-254217000000,-277696000000,-317027000000,-260642000000,-291499000000,-217212000000,-173141000000,-226608000000,-264584000000,-317389000000,-166875000000,-213032000000
89,Cash Used for Investing Activites,-40413586560,-60318950400,-61622027520,-71646782400,-97798064100,-98534819450,-91601931000,-158148895000,-184219507440,-213947000000,-261453000000,-291192000000,-283638000000,-332226000000,-266510000000,-290838000000,-215879000000,-175887000000,-243546000000,-267732000000,-332948000000,-181986000000,-213032000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98045000000,-121159000000,-271532000000,-384837000000,-448931000000,-546936000000,-699434000000,-781553000000,-744299000000,-774113000000,-754227000000,-803374000000,-1030456000000,- -
91,Common Stock Issued,- -,20304734400,- -,57946560,- -,- -,19699340000,- -,66249770520,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-33069600,-26754754560,-17781315840,-29759949250,-34685448500,-53680701500,-68454252500,-64518466560,-56364000000,-52517000000,-56153000000,-63300000000,-58041000000,-53470000000,-59475000000,-29005000000,-8450000000,-19626000000,-27369000000,-30684000000,-28078000000,- -
94,Other Financing Activites,-10893953280,-63774723600,-3054611520,-10099257600,-10008283350,-4006624600,-8662865500,-3150190000,-4383048000,162254000000,226753000000,266741000000,457396000000,582328000000,588167000000,714597000000,765119000000,685742000000,699014000000,658081000000,806782000000,959134000000,-107971000000
95,Cash Used/Provided by Financing Activities,-10893953280,-43503058800,-29809366080,-27822626880,-39768232600,-38692073100,-42644227000,-71604442500,-2651744040,7845000000,53077000000,-60944000000,9259000000,75356000000,-12239000000,-44312000000,-45439000000,-67007000000,-94725000000,-123515000000,-27276000000,-99400000000,-107971000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-460189500,-257317500,36525400,-112000000,179000000,234000000,-313000000,-195000000,-1768000000,1044000000,-999000000,2873000000,-3538000000,2503000000,1069000000,-4967000000,-2308000000
97,Net Change In Cash,2740044480,214952400,-6945309120,-1150653120,1258278800,74503350,69238336000,-32281650000,16933175440,-35708000000,53775000000,-41216000000,15463000000,-17777000000,8012000000,22371000000,-1005000000,25158000000,24846000000,-37179000000,455000000,32222000000,-107971000000
98,Cash at the End of Period,17847540480,18039466800,11117461440,9975086400,11233449550,11307952900,80928764000,48469260000,65497347280,32944000000,86925000000,45709000000,61172000000,43395000000,51407000000,73778000000,72773000000,97931000000,122777000000,85598000000,86409000000,118631000000,136789000000
99,Cash at the Beginning of Period,15107496000,17824514400,18062770560,11125739520,9975170750,11233449550,11690428000,80750910000,48564171840,68652000000,33150000000,86925000000,45709000000,61172000000,43395000000,51407000000,73778000000,72773000000,97931000000,122777000000,85954000000,86409000000,- -
100,Free Cash Flow,11076071040,47355667200,33377218560,27640509120,57706983650,46854329000,83084388500,66208572500,28716269480,-48819000000,905000000,46504000000,16612000000,-91573000000,-21694000000,44120000000,37452000000,75758000000,129651000000,75821000000,32848000000,61848000000,341469000000
