,https://roic.ai/company/CCRN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
46,Other Assets,309695000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,309695000,317625667,361979507,390599813,474724210,455994775,481661257,504032439,535307561,425849444,356588895,348207767,335909787,305923555,248244566,325133000,366097000,388378000,467687000,427003000,382374000,356973000,732809000
48,Accounts Payable,- -,6445501,1967599,3296638,9461986,5993159,12081732,13744554,10202777,12440207,- -,- -,- -,10129605,10272039,27314000,41098000,58837000,50597000,43744000,45726000,49877000,109753000
49,Short-Term Debt,- -,12400000,2424594,14361917,4943777,2407644,5482762,1550089,5066757,15825642,5733299,7957495,16997533,33682348,8483088,3607000,8071000,2263000,6875000,5235000,4878000,4509000,8266000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6931650,9278638,10979000,14387000,15480000,16342000,- -,13270000,13131000,7307000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,23480923,31505601,32271763,33351861,36357499,52318077,50825646,35139585,28015634,28822876,28945887,29352177,28774152,26150008,36075000,36877000,35992000,37116000,36407000,34861000,39037000,81751000
53,Total Current Liabilities,- -,42326424,35897794,49930318,47757624,44758302,69882571,66120289,50409119,56281483,34556175,36903382,46349710,72586105,44905135,66996000,86046000,97092000,94588000,85386000,85465000,93423000,199770000
54,Long-Term Debt,- -,144388000,45075406,28452603,88793769,39866753,19946463,19978627,34384717,117254854,56375978,45555501,25047986,176309,93231,70467000,81803000,84760000,92259000,77944000,70974000,71068000,187219000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6039000,- -,- -,- -
56,Deferred Tax Liabilities,- -,7571311,8570361,10778749,17649548,24995782,32546179,43077945,49546800,- -,- -,- -,58111,- -,16849051,18038000,18475000,13154000,105000,95000,7523000,6592000,190000
57,Other Non-Current Liabilities,- -,- -,2508877,606356,- -,- -,- -,- -,10529727,18289995,19586204,19740008,15153683,24038352,25730569,39300000,38429000,41570000,43016000,39341000,54912000,30981000,48102000
58,Total Non-Current Liabilities,- -,151959311,56154644,39837708,106443317,64862535,52492642,63056572,94461244,135544849,75962182,65295509,40259780,24214661,42672851,127805000,138707000,139484000,135380000,123419000,133409000,108641000,235511000
59,Other Liabilities,190953000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,405201,- -,- -,- -,- -,- -,- -,- -,- -,- -,23948000,19743000,14943000
61,Total Liabilities,190953000,194285735,92052438,89768026,154200941,109620837,122375213,129176861,144870363,191826332,110518357,102198891,86609490,96800766,87577986,194801000,224753000,236576000,229968000,208805000,218874000,202064000,435281000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2321,3221,3223,3180,3220,3213,3210,3158,3077,3101,3110,3081,3090,3109,3000,3000,3000,4000,4000,4000,4000,4000
64,Retained Earnings,- -,4256731,12928773,42711478,68532263,89190958,103943344,120579733,144427143,1482530,8176838,5401975,9499824,-32721673,-84690996,-116474000,-112056000,-104089000,-67111000,-84062000,-141775000,-154737000,-22735000
65,Other Comprehensive Income/Loss,- -,-5024756,-8785801,-371687,-17248084,-10510343,-15391384,-20003739,163242,-4834397,-2978897,-2400731,-3373162,-3082704,-970113,-1118000,-1207000,-1241000,-1166000,-1462000,-1240000,-1280000,-1293000
66,Other Total Stockholders Equity,118742000,124105636,265780876,258488773,269235910,267690103,270730871,274276374,245843655,237371902,240869496,243004522,243170554,244924076,246324580,247467000,254108000,256570000,305362000,303048000,305643000,310388000,- -
67,Total Stockholders Equity,118742000,123339932,269927069,300831787,320523269,346373938,359286044,374855578,390437198,234023112,246070538,246008876,249300297,209122789,160666580,129878000,140848000,151243000,237089000,217528000,162632000,154375000,297528000
68,Total Liabilities And Stockholders Equity,309695000,317625667,361979507,390599813,474724210,455994775,481661257,504032439,535307561,425849444,356588895,348207767,335909787,305923555,248244566,324679000,365601000,387819000,467057000,426333000,381506000,356439000,732809000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,454000,496000,559000,630000,670000,868000,534000,- -
70,Total Liabilities & Equity,309695000,317625667,361979507,390599813,474724210,455994775,481661257,504032439,535307561,425849444,356588895,348207767,335909787,305923555,248244566,325133000,366097000,388378000,467687000,427003000,382374000,356973000,732809000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1141103/000091205702012567/0000912057-02-012567-index.html,https://www.sec.gov/Archives/edgar/data/1141103/000104746903010584/0001047469-03-010584-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000104746904007929/0001047469-04-007929-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000111650205000439/0001116502-05-000439-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000111650206000515/0001116502-06-000515-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000111650207000527/0001116502-07-000527-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000111650208000425/0001116502-08-000425-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000111650209000402/0001116502-09-000402-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000111650210000214/0001116502-10-000214-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000111650211000001/0001116502-11-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000115752312001354/0001157523-12-001354-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000115752313001449/0001157523-13-001449-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000144530514001083/0001445305-14-001083-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828015001592/0001628280-15-001592-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828016012617/0001628280-16-012617-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828017002153/0001628280-17-002153-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828018002702/0001628280-18-002702-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828019002315/0001628280-19-002315-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828020003031/0001628280-20-003031-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828021003296/0001628280-21-003296-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828022004263/0001628280-22-004263-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,11545000,4598196,8672042,29782705,25820785,20658695,14752386,16636389,24579509,-142944613,6694308,-2774863,4097849,-42221497,-51969323,-31783000,4418000,7967000,37513000,-16951000,-57713000,-12962000,132002000
74,Depreciation and Amortization,5285000,15024781,17736635,6671956,8124955,7547268,7547896,7165998,8511167,10802509,12791056,11894415,10284085,8947927,6179765,7441000,8066000,9182000,10174000,11780000,14075000,12671000,- -
75,Deferred Income Tax,- -,- -,- -,3978365,4600370,5513405,4645908,7038932,11347518,-68223408,9237802,5378275,3052909,-18520360,45900296,-857000,-1544000,-5322000,-33812000,-3410000,31159000,-932000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1962551,2656904,2895012,2594523,2099941,1387000,2460000,3379000,4080000,3575000,3396000,5403000,- -
77,Change in Working Capital,- -,34375165,34790236,8982142,1384376,-7602753,-1059535,9235202,18625573,6368140,-33447210,-4140215,-9054305,14325164,-33752197,25157217,8512000,35820000,5780000,-4780000,-11627000,-8204000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47737783,5456796,-7973162,-4255411,2036387,-16119000,-28708000,-30781000,9708000,2820000,-6642000,-4745000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,34375165,69165401,78147543,79531919,71929166,70869631,80104833,98730406,105098546,71651336,67511121,58456816,72781980,39029783,64187000,72699000,108519000,114299000,109519000,97892000,89688000,- -
82,Other Non-Cash Items,1649000,-43601121,-41496472,-7994288,11868080,17151746,4903675,-7158851,-27099818,244990545,75080775,18507057,7020650,45020373,40200530,-5417217,-3677000,-20881000,21773000,30783000,26252000,31228000,-217620000
83,Cash Provided by Operating Activities,18479000,10397021,19702441,41420880,51798566,43268361,30790330,32917670,35963949,50993173,72319282,31521573,18296200,10146130,8659012,-4072000,18235000,30145000,45508000,20997000,5542000,27204000,-85618000
84,CAPEX,- -,-1992109,-5662456,-7240897,-3569150,-4615679,-7627184,-9310075,-8277884,-4688610,-2452769,-2391101,-3998129,-2218877,-1750663,-4571000,-2362000,-6522000,-5111000,-4597000,-2940000,-4615000,- -
85,Acquisitions Net,- -,-7700000,-34946737,-11781285,-105951948,-30388,- -,-18537444,-27050211,-124872030,-7552031,-12826184,- -,- -,45655319,3750000,-21708000,-3258000,-86269000,-2081000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2652335,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1168000,108075,-1711971,456641,44651,8653262,-785335,- -,- -,- -,- -,-981324,-197907,-258832,-28700000,-44631000,- -,- -,- -,- -,- -,- -,-34046000
89,Cash Used for Investing Activites,1168000,-9584034,-42321164,-18565541,-109476447,4007195,-8412519,-27847519,-35328095,-129560640,-10004800,-16198609,-4196036,174626,15204656,-45452000,-24070000,-9780000,-91380000,-6678000,-2940000,-4615000,-34046000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90826796,-14965021,-14280039,-60578832,-88699059,-66227000,-59708000,-98371000,-45500000,-16124000,-166476000,-440326000,- -
91,Common Stock Issued,- -,- -,138972196,4401762,1012461,4579112,1781564,1292797,1899214,1013873,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-6014833,-7708962,-445852,-4291324,-2764293,-10881876,-10775405,- -,- -,-2234585,-374248,- -,- -,-543000,- -,-1774000,-5000000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-15078000,-5640864,-113709931,-6768282,47164436,-51408816,-19868051,-3598655,17413345,89838631,26690712,3773706,2278404,50370160,62637739,112805000,63606000,96207000,98030000,-2643000,148877000,418316000,119094000
95,Cash Used/Provided by Financing Activities,-15078000,-5640864,25262265,-8381353,40467935,-47275556,-22377811,-5070151,8430683,80077099,-64136084,-11191315,-14236220,-10582920,-26061320,46459000,3355000,-2164000,50756000,-23767000,-17599000,-22010000,119094000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-403328,217606,-35812,-172573,76821,-210427,5000,-62000,-24000,23000,-70000,10000,-11000,6000
97,Net Change In Cash,-15078000,-5640864,25262265,14473986,40467935,-47275556,-22377811,-5070151,8430683,1106304,-1603996,4095837,-308629,-185343,-2408079,-3060000,-2542000,18177000,4907000,-9518000,-14987000,568000,-564000
98,Cash at the End of Period,- -,- -,2643542,17209946,- -,- -,- -,- -,9066537,10172841,8568845,10956664,10648035,10462692,8054613,4995000,2453000,20630000,25537000,16019000,1032000,1600000,1036000
99,Cash at the Beginning of Period,- -,4827877,- -,2735960,17209946,- -,- -,- -,- -,9066537,10172841,6860827,10956664,10648035,10462692,8055000,4995000,2453000,20630000,25537000,16019000,1032000,1600000
100,Free Cash Flow,18479000,8404912,14039985,34179983,48229416,38652682,23163146,23607595,27686065,46304563,69866513,29130472,14298071,7927253,6908349,-8643000,15873000,23623000,40397000,16400000,2602000,22589000,-85618000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1141103/000091205702012567/0000912057-02-012567-index.html,https://www.sec.gov/Archives/edgar/data/1141103/000104746903010584/0001047469-03-010584-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000104746904007929/0001047469-04-007929-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000111650205000439/0001116502-05-000439-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000111650206000515/0001116502-06-000515-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000111650207000527/0001116502-07-000527-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000111650208000425/0001116502-08-000425-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000111650209000402/0001116502-09-000402-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000111650210000214/0001116502-10-000214-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000111650211000001/0001116502-11-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000115752312001354/0001157523-12-001354-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000115752313001449/0001157523-13-001449-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000144530514001083/0001445305-14-001083-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828015001592/0001628280-15-001592-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828016012617/0001628280-16-012617-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828017002153/0001628280-17-002153-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828018002702/0001628280-18-002702-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828019002315/0001628280-19-002315-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828020003031/0001628280-20-003031-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828021003296/0001628280-21-003296-index.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828022004263/0001628280-22-004263-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
