,https://roic.ai/company/PPC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,606000,- -,- -,-3573000,3999000,-6248000,1730000,56321000,51794000,-27345000,-25628000,68659000,-55131000,58694000,176503000,-250763000,-29835000,-40711000,90929000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,300000,800000,1700000,2000000,2100000,2200000,5500000,600000,500000,3900000,1093000,-53000,-149000,572000,49885000,5103000,5548000,9097000,500683000,-20944000,51501000,30139000,3079000,10395000,38755000,-5511000,-7221000,3126000,21640000,-67062000,-4139000,29891000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,15800000,19900000,-1600000,45000000,60700000,32700000,11400000,49600000,85000000,81500000,130803000,87833000,98113000,98892000,272404000,493073000,30382000,463964000,-680726000,75006000,14605000,-128991000,199624000,878533000,1066692000,976828000,755483000,801321000,491650000,666521000,724247000,326459000
84,CAPEX,- -,- -,- -,- -,- -,-86100000,-60500000,-18000000,-15200000,-25500000,-64700000,-34300000,-50200000,-53500000,-69600000,- -,-112632000,-80388000,-53574000,-79642000,-116588000,-143882000,-172323000,-152501000,-88193000,-179332000,-135968000,-90327000,-116223000,-171443000,-175764000,-272467000,-339872000,-348666000,-348120000,-354762000,-381671000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-92128000,-239539000,- -,-4499000,-272097000,- -,- -,-1102069000,- -,- -,- -,37479000,- -,- -,- -,-373532000,- -,-658520000,- -,-384694000,-4216000,-966766000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-305458000,-318266000,-125045000,-38043000,-19958000,-17201000,-4596000,-162000,-96902000,-55100000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,490764000,208676000,27545000,18946000,68100000,15852000,688000,- -,152050000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,3200000,1200000,3200000,3700000,1900000,-6900000,1800000,2500000,6200000,-1700000,-3736000,3043000,-2071000,1144000,4279000,4439000,3642000,6286000,41367000,75664000,14698000,29044000,29400000,31337000,11108000,14610000,10805000,6320000,9775000,15753000,31976000,24724000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-82900000,-59300000,-14800000,-11500000,-23600000,-71600000,-32500000,-47700000,-47300000,-71300000,-95864000,-349128000,-82459000,-56929000,-347460000,-417607000,32258000,-1184475000,-121632000,-13541000,-113735000,-58189000,-60401000,-181788000,-63385000,-534686000,-261662000,-992072000,-338891000,-717061000,-327002000,-1323713000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1150579000,-3197399000,-881833000,-1160711000,-758578000,-910234000,-683780000,-622222000,-1382189000,-1117009000,-289917000,-430988000,-2006195000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,29900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,521928000,- -,- -,177218000,- -,800000000,- -,198282000,- -,332000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1568000,- -,- -,- -,- -,-482246000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99233000,-117957000,-14641000,-236000,-2898000,-110242000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-1400000,-1400000,-1400000,-800000,-2100000,-1700000,-1700000,-1700000,-1700000,-1900000,-2476000,-2467000,-2467000,-2467000,-3993000,-3993000,-72545000,-5992000,-6328000,- -,- -,- -,- -,- -,- -,-1498470000,-699915000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,65700000,35900000,-3400000,-39500000,-28200000,41900000,29000000,2000000,-30800000,-17700000,-18575000,256646000,-18696000,-37300000,100658000,-16829000,33795000,636221000,626853000,1251732000,2367919000,1008683000,851400000,508364000,4307000,1702836000,626963000,1863225000,732999000,258289000,404522000,2907506000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,64300000,34500000,25100000,-40300000,-30300000,40200000,27300000,300000,-32500000,-19600000,-22619000,254179000,-21163000,-39767000,96665000,18860000,-38750000,630229000,797743000,101153000,-29480000,126850000,-111029000,-250214000,-905595000,-578647000,-813131000,466395000,-384246000,-34526000,-136708000,901311000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,200000,100000,- -,-100000,-100000,-600000,- -,- -,-400000,100000,37000,-28000,-494000,-503000,-50000,76000,-53000,46000,- -,-4142000,-1613000,-4138000,-1623000,-6505000,-29775000,- -,- -,16364000,3534000,4065000,7292000,-2342000
97,Net Change In Cash,- -,- -,- -,- -,- -,64300000,34500000,25100000,-40300000,-30300000,40200000,27300000,300000,-32500000,-9400000,12357000,-7144000,-6003000,1693000,21559000,94402000,23837000,-90236000,-4615000,158476000,-130223000,-64468000,26571000,440026000,67937000,-136505000,-319310000,292008000,-227953000,-81001000,267829000,-98285000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15700000,28060000,20916000,14913000,16606000,38165000,132567000,156404000,66168000,61553000,220029000,106077000,41609000,68180000,508206000,576143000,439638000,120328000,589531000,361578000,280577000,548406000,450121000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,10300000,7700000,2900000,11600000,4500000,11200000,11900000,18000000,20300000,25100000,15703000,28060000,20916000,14913000,16606000,38165000,132567000,156404000,66168000,61553000,236300000,106077000,41609000,68180000,508206000,576143000,439638000,297523000,589531000,361578000,280577000,548406000
100,Free Cash Flow,- -,- -,- -,- -,- -,-70300000,-40600000,-19600000,29800000,35200000,-32000000,-22900000,-600000,31500000,11900000,130803000,-24799000,17725000,45318000,192762000,376485000,-113500000,291641000,-833227000,-13187000,-164727000,-264959000,109297000,762310000,895249000,801064000,483016000,461449000,142984000,318401000,369485000,-55212000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/802481/000080248194000021/0000802481-94-000021-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248195000027/0000802481-95-000027-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/802481/000080248100000015/0000802481-00-000015-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248101500018/0000802481-01-500018-index.html,- -,https://www.sec.gov/Archives/edgar/data/802481/000119312503083123/d10k.htm,https://www.sec.gov/Archives/edgar/data/802481/000080248104000078/form_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/802481/000114036106016745/form10k_body.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/802481/000080248112000008/0000802481-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/802481/000120677413000625/0001206774-13-000625-index.html,https://www.sec.gov/Archives/edgar/data/802481/000120677414000606/ppc_10k.htm,https://www.sec.gov/Archives/edgar/data/802481/000080248115000015/ppc-20141228x10k.htm,https://www.sec.gov/Archives/edgar/data/802481/000162828016011068/0001628280-16-011068-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248117000010/0000802481-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248118000011/0000802481-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248119000015/0000802481-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248120000009/0000802481-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248121000015/0000802481-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/802481/000080248122000012/0000802481-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
