,https://roic.ai/company/WTS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,35000000,37000000,47300000,57300000,80200000,94200000,114100000,132200000,144000000,173600000,184600000,179800000,187000000,137300000,145388000,131795000,348639000,170195000,206866000,229418000,300179000,332700000,360200000,323500000,336700000,372200000,384800000,405700000,407000000,491300000,424100000,432300000,464700000,476100000,432000000,508200000
11,COGS and Expenses,113000000,117500000,149200000,185800000,245300000,297600000,359300000,403700000,443900000,573700000,591700000,633900000,639400000,422600000,456113000,497203000,755445000,635185000,740863000,829062000,1105938000,1253400000,1331200000,1114300000,1146400000,1293300000,1312900000,1352700000,1378900000,1405900000,1256900000,1286600000,1373100000,1399100000,1315000000,1550300000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,900000,1000000,1000000,700000,600000,700000,1000000,1000000,1000000,800000,400000,200000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26200000,22000000,22800000,25800000,24600000,21500000,19900000,24300000,22600000,19100000,16300000,14100000,13300000,6300000
14,Depreciation and Amortization,4400000,5400000,6800000,8800000,11600000,13600000,17600000,20600000,22400000,24600000,21600000,20800000,23200000,17400000,20071000,23675000,22294000,21284000,28051000,26118000,35291000,39400000,45100000,46800000,44800000,51400000,49400000,48900000,48100000,52500000,51200000,52200000,48500000,46600000,31000000,45100000
15,EBITDA,28600000,33000000,37800000,46500000,55800000,65000000,77500000,66600000,89700000,98200000,-24300000,99700000,104300000,68900000,62113000,63843000,72512000,77002000,98805000,111508000,148043000,153000000,142900000,117500000,157800000,170400000,172100000,155900000,151100000,-34200000,201600000,214400000,239400000,244600000,210300000,285500000
16,EBITDA ratio,0.2088,0.2266,0.2084,0.2077,0.1912,0.1853,0.1829,0.1430,0.1730,0.1493,-0.0379,0.1384,0.1429,0.1452,0.1204,0.1163,0.1178,0.1091,0.1198,0.1206,0.1203,0.1107,0.0979,0.0958,0.1238,0.1186,0.1191,0.1058,0.0998,-0.0233,0.1442,0.1472,0.1530,0.1528,0.1395,0.1578
17,Operating Income,24000000,28100000,32200000,38100000,46600000,53200000,64500000,62100000,74600000,84000000,49200000,86400000,90600000,51900000,59987000,50283000,57529000,70040000,83600000,94555000,130487000,125700000,100600000,92200000,114200000,117100000,123400000,111500000,105400000,-90100000,145000000,162300000,188400000,197100000,181100000,239600000
18,Operating Income ratio,0.1752,0.1930,0.1775,0.1702,0.1596,0.1517,0.1522,0.1333,0.1439,0.1277,0.0768,0.1200,0.1241,0.1094,0.1162,0.0916,0.0935,0.0993,0.1014,0.1023,0.1060,0.0909,0.0689,0.0752,0.0896,0.0815,0.0854,0.0757,0.0696,-0.0614,0.1037,0.1114,0.1204,0.1231,0.1201,0.1324
19,Total Other Income Expenses (Gains),200000,-500000,-1200000,-400000,-2400000,-1800000,-4600000,-13000000,-7300000,-10400000,-98600000,-10800000,-9500000,-6900000,-10775000,-10115000,-7311000,-11211000,-5928000,-8744000,-14378000,-11900000,-28300000,-19900000,-19700000,-25600000,-23100000,-23700000,-22300000,-20900000,-17200000,-19200000,-13800000,-13200000,-14100000,-5500000
20,Income Before Tax,24200000,27600000,31000000,37700000,44200000,51400000,59900000,49100000,67300000,73600000,-49400000,75600000,81100000,45000000,49212000,40168000,50218000,58829000,77672000,85811000,116109000,113800000,72300000,72300000,94500000,91500000,100300000,87800000,83100000,-111000000,127800000,143100000,174600000,183900000,167000000,234100000
21,Income Before Tax Ratio,0.1766,0.1896,0.1709,0.1684,0.1514,0.1465,0.1413,0.1054,0.1298,0.1119,-0.0771,0.1050,0.1111,0.0948,0.0954,0.0732,0.0816,0.0834,0.0942,0.0928,0.0943,0.0823,0.0495,0.0590,0.0741,0.0637,0.0694,0.0596,0.0549,-0.0756,0.0914,0.0982,0.1116,0.1149,0.1107,0.1294
22,Income Tax expense (Gain),11400000,13300000,12100000,14700000,16500000,19700000,23300000,18700000,26300000,27900000,4400000,27100000,27700000,15500000,18041000,13612000,17596000,22356000,23934000,30791000,39016000,36200000,25000000,31300000,31400000,26800000,29700000,26900000,32800000,1900000,43600000,70000000,46600000,52400000,52000000,68400000
23,Net Income,12800000,14300000,18900000,23000000,27700000,31700000,36600000,27300000,41000000,45700000,-50300000,51800000,53400000,36000000,24001000,26556000,32622000,33362000,46820000,54599000,73736000,77400000,46600000,17400000,58800000,66400000,68400000,58600000,50300000,-112900000,84200000,73100000,128000000,131500000,114000000,165700000
24,Net Income ratio,0.0934,0.0982,0.1042,0.1027,0.0949,0.0904,0.0864,0.0586,0.0791,0.0695,-0.0785,0.0719,0.0732,0.0759,0.0465,0.0484,0.0530,0.0473,0.0568,0.0591,0.0599,0.0560,0.0319,0.0142,0.0461,0.0462,0.0473,0.0398,0.0332,-0.0769,0.0602,0.0502,0.0818,0.0822,0.0756,0.0916
25,EPS,0.55,0.58,0.75,0.91,1.09,1.22,1.30,0.90,1.38,1.54,-1.70,1.89,1.97,1.34,0.91,1.00,1.22,1.22,1.45,1.68,2.21,2.00,1.74,0.52,1.58,1.78,1.90,1.65,1.42,-3.24,2.45,2.12,3.64,3.86,3.37,4.89
26,EPS Diluted,0.55,0.58,0.75,0.91,1.07,1.18,1.27,0.90,1.38,1.54,-1.70,1.89,1.95,1.34,0.90,0.99,1.21,1.21,1.43,1.66,2.19,1.99,1.73,0.52,1.57,1.78,1.90,1.65,1.42,-3.24,2.44,2.12,3.64,3.85,3.36,4.87
27,Weighted Average Shares Outstanding,23272727,24655172,25200000,25274725,25412844,25983607,28153846,30333333,29674000,29755000,29527000,27433000,27109000,26736000,26409000,26497000,26718000,27455000,32276000,32489000,33295000,38600000,36600000,37000000,37300000,37300000,36000000,35500000,35300000,34900000,34400000,34400000,34300000,34100000,33900000,33900000
28,Weighted Average Shares Outstanding Diluted,23272727,24655172,25200000,25274725,25887850,26864407,28818898,30333333,29717000,29755000,29528796,27433000,27423000,26799000,26551000,26802000,27056000,27692000,32719000,33002000,33671000,39000000,36800000,37100000,37400000,37500000,36100000,35600000,35400000,34900000,34500000,34400000,34300000,34200000,34000000,34000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/795403/000095014694000174/0000950146-94-000174-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/795403/000091412097000009/0000914120-97-000009-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/795403/000104746904007603/a2129402z10-k.htm,https://www.sec.gov/Archives/edgar/data/795403/000110465905011292/a05-3959_110k.htm,https://www.sec.gov/Archives/edgar/data/795403/000110465906013915/a06-1978_110k.htm,https://www.sec.gov/Archives/edgar/data/795403/000110465907015491/a07-5433_110k.htm,https://www.sec.gov/Archives/edgar/data/795403/000104746908002029/a2182966z10-k.htm,https://www.sec.gov/Archives/edgar/data/795403/000104746909001986/0001047469-09-001986-index.html,https://www.sec.gov/Archives/edgar/data/795403/000104746910001634/0001047469-10-001634-index.html,https://www.sec.gov/Archives/edgar/data/795403/000104746911001609/a2202253z10-k.htm,https://www.sec.gov/Archives/edgar/data/795403/000104746912001733/0001047469-12-001733-index.html,https://www.sec.gov/Archives/edgar/data/795403/000104746913001806/0001047469-13-001806-index.html,https://www.sec.gov/Archives/edgar/data/795403/000104746914001466/a2218544z10-k.htm,https://www.sec.gov/Archives/edgar/data/795403/000104746915001296/a2223227z10-k.htm,https://www.sec.gov/Archives/edgar/data/795403/000104746916010540/0001047469-16-010540-index.html,https://www.sec.gov/Archives/edgar/data/795403/000155837017000970/0001558370-17-000970-index.html,https://www.sec.gov/Archives/edgar/data/795403/000155837018001010/0001558370-18-001010-index.html,https://www.sec.gov/Archives/edgar/data/795403/000155837019000893/0001558370-19-000893-index.html,https://www.sec.gov/Archives/edgar/data/795403/000155837020001062/0001558370-20-001062-index.html,https://www.sec.gov/Archives/edgar/data/795403/000155837021001199/0001558370-21-001199-index.htm,https://www.sec.gov/Archives/edgar/data/795403/000155837022001530/0001558370-22-001530-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,16700000,41900000,40400000,11100000,8800000,4800000,10000000,16900000,6200000,4300000,- -,13900000,10100000,- -,15235000,11997000,10973000,149361000,65913000,45758000,342979000,290300000,165600000,258200000,329200000,250600000,271800000,267900000,301100000,296200000,338400000,280200000,204100000,219700000,218000000,242000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26600000,- -,11825000,22000000,- -,6500000,4000000,4100000,2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,16700000,41900000,40400000,11100000,8800000,4800000,10000000,16900000,6200000,4300000,- -,13900000,10100000,- -,15235000,11997000,10973000,149361000,92513000,45758000,354804000,312300000,165600000,264700000,333200000,254700000,273900000,267900000,301100000,296200000,338400000,280200000,204100000,219700000,218000000,242000000
34,Net Receivables,18300000,19000000,23700000,28500000,40200000,48800000,63900000,68100000,79300000,118800000,116400000,121300000,130900000,- -,97718000,95498000,123504000,136064000,150073000,177364000,228502000,235700000,221300000,181300000,186900000,207100000,207100000,212900000,207800000,186400000,198000000,216100000,205500000,219800000,197000000,220900000
35,Inventory,35200000,37200000,51800000,64000000,95000000,99900000,116300000,131900000,153100000,200800000,182100000,171200000,194000000,- -,108951000,115864000,133415000,156599000,203044000,242837000,316416000,341600000,339000000,266700000,265600000,284200000,290700000,310200000,291600000,240000000,239400000,259100000,286800000,270100000,263000000,370700000
36,Other Current Assets,1400000,1400000,3000000,71700000,37100000,76100000,104500000,84300000,82300000,31200000,112300000,39200000,36700000,- -,27336000,32765000,40904000,38450000,52049000,62456000,52660000,67100000,73700000,84100000,71300000,68600000,44300000,66100000,73800000,86400000,82200000,28200000,24900000,25300000,31000000,27900000
37,Total Current Assets,71600000,99500000,118900000,175300000,181100000,229600000,294700000,301200000,320900000,355100000,410800000,345600000,371700000,- -,249240000,256124000,308796000,480474000,497679000,528415000,952382000,956700000,799600000,796800000,857000000,814600000,816000000,857100000,874300000,809000000,858000000,783600000,721300000,734900000,709000000,861500000
38,PP&E,38700000,44800000,52900000,59200000,80300000,90300000,105400000,134300000,136200000,168400000,148000000,152700000,161500000,- -,125810000,128606000,134376000,145711000,150689000,164999000,206160000,223700000,237400000,206500000,197500000,226700000,223600000,219900000,203300000,184400000,189700000,198500000,201900000,200000000,608000000,200700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184901000,226178000,296636000,356090000,385800000,431300000,425100000,428000000,490400000,508200000,514800000,639000000,489000000,532700000,550500000,544800000,581100000,602000000,600700000
40,Intangible Assets,2000000,2500000,3600000,10000000,22400000,30100000,58500000,87000000,89500000,149100000,79500000,110900000,119000000,- -,98179000,124544000,163226000,- -,- -,- -,- -,- -,174600000,151200000,152600000,154600000,146600000,132400000,210100000,192800000,202500000,185200000,165200000,151400000,141000000,128600000
41,Intangible Assets,2000000,2500000,3600000,10000000,22400000,30100000,58500000,87000000,89500000,149100000,79500000,110900000,119000000,- -,98179000,124544000,163226000,184901000,226178000,296636000,356090000,385800000,605900000,576300000,580600000,645000000,654800000,647200000,849100000,681800000,735200000,735700000,710000000,732500000,743000000,729300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,900000,1100000,4800000,3800000,4700000,3700000,1500000,1600000,1600000,2700000,- -,3500000
44,Other Non-Current Assets,3000000,1400000,1400000,2300000,3000000,3200000,10400000,13200000,12300000,17400000,12700000,12900000,13600000,- -,8796000,11196000,28114000,27557000,49702000,110920000,146218000,163100000,8900000,8800000,10100000,10100000,9800000,12200000,16600000,13900000,15900000,17100000,18900000,53000000,-322000000,60600000
45,Total Non-Current Assets,43700000,48700000,57900000,71500000,105700000,123600000,174300000,234500000,238000000,334900000,240200000,276500000,294100000,- -,232785000,264346000,325716000,358169000,426569000,572555000,708468000,772600000,860500000,794600000,789100000,882900000,893000000,883100000,1073700000,883800000,942300000,952900000,932400000,988200000,1029000000,994100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,115300000,148200000,176800000,246800000,286800000,353200000,469000000,535700000,558900000,690000000,651000000,622100000,665800000,- -,482025000,520470000,634512000,838643000,924248000,1100970000,1660850000,1729300000,1660100000,1591400000,1646100000,1697500000,1709000000,1740200000,1948000000,1692800000,1800300000,1736500000,1653700000,1723100000,1738000000,1855600000
48,Accounts Payable,- -,- -,- -,7000000,8400000,12600000,20700000,21200000,24700000,40700000,46000000,48900000,56700000,- -,39569000,42873000,64704000,74068000,73606000,91053000,120954000,108000000,115200000,102300000,113900000,126500000,131600000,145600000,120800000,101700000,101100000,123800000,127200000,123300000,110000000,143400000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1100000,11800000,2900000,2400000,1700000,- -,1241000,3693000,82211000,13251000,4981000,13635000,7522000,1300000,4500000,50900000,700000,2000000,77100000,2200000,1900000,1100000,139100000,22500000,30000000,105000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,2100000,4600000,3700000,3900000,4100000,3600000,7400000,8800000,7900000,13300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -
52,Other Current Liabilities,12700000,15200000,23200000,23000000,34000000,32200000,34200000,57300000,48500000,60600000,87000000,69600000,75900000,- -,71288000,66963000,84716000,85020000,118586000,118635000,170882000,180400000,175200000,153800000,164000000,155100000,159300000,179100000,223000000,192200000,185300000,181100000,191500000,191000000,198000000,265100000
53,Total Current Liabilities,12700000,15200000,23200000,30000000,42400000,44800000,54900000,78500000,74300000,113100000,135900000,120900000,134300000,- -,112098000,113529000,231631000,172339000,197173000,223323000,299358000,289700000,294900000,307000000,278600000,283600000,368000000,326900000,345700000,295000000,425500000,327400000,348700000,419300000,312000000,408500000
54,Long-Term Debt,22900000,22700000,23700000,65200000,65400000,65300000,95600000,101500000,97500000,132800000,160200000,125900000,115400000,- -,105377000,123212000,56276000,179061000,180562000,293350000,441697000,432200000,409800000,304000000,378000000,397400000,307500000,305500000,577800000,576200000,511300000,474600000,323400000,204200000,198000000,141900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,3500000,5100000,6200000,6800000,6900000,6000000,1700000,13400000,16400000,17600000,13800000,16700000,18900000,- -,15463000,15692000,20792000,15978000,19578000,24803000,34585000,42900000,42400000,43000000,40100000,58200000,45200000,45900000,77400000,71800000,85700000,55200000,38500000,38600000,- -,40500000
57,Other Non-Current Liabilities,400000,200000,800000,1100000,1300000,1400000,- -,7200000,9100000,14100000,10400000,13900000,11300000,- -,9770000,11414000,19743000,25588000,26632000,32187000,52686000,45600000,70600000,57800000,47900000,38500000,48800000,59800000,34700000,44900000,41500000,50300000,51800000,83000000,106000000,91500000
58,Total Non-Current Liabilities,26800000,28000000,30700000,73100000,73600000,72700000,97300000,122100000,123000000,164500000,184400000,156500000,145600000,- -,130610000,150318000,96811000,220627000,226772000,350340000,528968000,520700000,522800000,404800000,466000000,494100000,401500000,411200000,689900000,692900000,638500000,580100000,413700000,325800000,304000000,273900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,661000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,39500000,43200000,53900000,103100000,116000000,117500000,152200000,200600000,197300000,277600000,320300000,277400000,279900000,- -,242708000,263847000,328442000,392966000,423945000,573663000,828326000,810400000,817700000,711800000,744600000,777700000,769500000,738100000,1035600000,987900000,1064000000,907500000,762400000,745100000,669000000,682400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2647000,2652000,2705000,3207000,3239000,3255000,3853000,3800000,3600000,3700000,3700000,3600000,3500000,3500000,3500000,3400000,3400000,3400000,3400000,3400000,2000000,3400000
64,Retained Earnings,72900000,86200000,103700000,124800000,150200000,178800000,211500000,235100000,268700000,307500000,249400000,293200000,337600000,- -,213627000,233761000,259893000,286396000,324145000,368264000,429555000,465400000,451700000,452100000,492900000,515100000,498100000,513100000,500600000,317700000,348500000,372900000,440700000,513900000,560000000,665900000
65,Other Comprehensive Income/Loss,-18000000,-22000000,-27600000,-35000000,-44400000,-54700000,-69200000,-84000000,-94100000,-111600000,-112400000,-128500000,-146500000,- -,-76682000,-89629000,-11794000,13805000,25232000,3673000,25350000,68700000,200000,30100000,-300000,-19000000,-10800000,12000000,-89100000,-128200000,-150800000,-99100000,-121100000,-130800000,-100000000,-127300000
66,Other Total Stockholders Equity,20900000,40800000,46800000,53900000,65000000,111600000,174500000,184000000,187000000,216500000,193700000,180000000,194800000,- -,99725000,109839000,45132000,132983000,140172000,144284000,367795000,377600000,386900000,393700000,405200000,420100000,448700000,473500000,497400000,512000000,535200000,551800000,568300000,591500000,607800000,631200000
67,Total Stockholders Equity,75800000,105000000,122900000,143700000,170800000,235700000,316800000,335100000,361600000,412400000,330700000,344700000,385900000,- -,239317000,256623000,295936000,436391000,492788000,519476000,826553000,915500000,842400000,879600000,901500000,919800000,939500000,1002100000,912400000,704900000,736300000,829000000,891300000,978000000,1069800000,1173200000
68,Total Liabilities And Stockholders Equity,115300000,148200000,176800000,246800000,286800000,353200000,469000000,535700000,558900000,690000000,651000000,622100000,665800000,- -,482025000,520470000,624378000,829357000,916733000,1093139000,1654879000,1725900000,1660100000,1591400000,1646100000,1697500000,1709000000,1740200000,1948000000,1692800000,1800300000,1736500000,1653700000,1723100000,1738800000,1855600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10134000,9286000,7515000,7831000,5971000,3400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,- -
70,Total Liabilities & Equity,115300000,148200000,176800000,246800000,286800000,353200000,469000000,535700000,558900000,690000000,651000000,622100000,665800000,- -,482025000,520470000,634512000,838643000,924248000,1100970000,1660850000,1729300000,1660100000,1591400000,1646100000,1697500000,1709000000,1740200000,1948000000,1692800000,1800300000,1736500000,1653700000,1723100000,1738000000,1855600000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/795403/000095014694000174/0000950146-94-000174-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/795403/000091412097000009/0000914120-97-000009-index.html,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/795403/000104746904007603/a2129402z10-k.htm,https://www.sec.gov/Archives/edgar/data/795403/000110465905011292/a05-3959_110k.htm,https://www.sec.gov/Archives/edgar/data/795403/000110465906013915/a06-1978_110k.htm,https://www.sec.gov/Archives/edgar/data/795403/000110465907015491/a07-5433_110k.htm,https://www.sec.gov/Archives/edgar/data/795403/000104746908002029/a2182966z10-k.htm,https://www.sec.gov/Archives/edgar/data/795403/000104746909001986/0001047469-09-001986-index.html,https://www.sec.gov/Archives/edgar/data/795403/000104746910001634/0001047469-10-001634-index.html,https://www.sec.gov/Archives/edgar/data/795403/000104746911001609/a2202253z10-k.htm,https://www.sec.gov/Archives/edgar/data/795403/000104746912001733/0001047469-12-001733-index.html,https://www.sec.gov/Archives/edgar/data/795403/000104746913001806/0001047469-13-001806-index.html,https://www.sec.gov/Archives/edgar/data/795403/000104746914001466/a2218544z10-k.htm,https://www.sec.gov/Archives/edgar/data/795403/000104746915001296/a2223227z10-k.htm,https://www.sec.gov/Archives/edgar/data/795403/000104746916010540/0001047469-16-010540-index.html,https://www.sec.gov/Archives/edgar/data/795403/000155837017000970/0001558370-17-000970-index.html,https://www.sec.gov/Archives/edgar/data/795403/000155837018001010/0001558370-18-001010-index.html,https://www.sec.gov/Archives/edgar/data/795403/000155837019000893/0001558370-19-000893-index.html,https://www.sec.gov/Archives/edgar/data/795403/000155837020001062/0001558370-20-001062-index.html,https://www.sec.gov/Archives/edgar/data/795403/000155837021001199/0001558370-21-001199-index.htm,https://www.sec.gov/Archives/edgar/data/795403/000155837022001530/0001558370-22-001530-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,23000000,27700000,31700000,36600000,27300000,41000000,45700000,-50300000,51800000,53400000,36000000,24001000,26556000,32622000,33362000,46820000,54599000,73736000,77400000,46600000,17400000,58800000,66400000,68400000,58600000,50300000,-112900000,84200000,73100000,128000000,131500000,114000000,165700000
74,Depreciation and Amortization,- -,- -,- -,8800000,11600000,13600000,17600000,20600000,22400000,24600000,21600000,20800000,23200000,17400000,20071000,23675000,22294000,21284000,28051000,26118000,35291000,39400000,45100000,46800000,44800000,51400000,49400000,48900000,48100000,52500000,51200000,52200000,48500000,46600000,31000000,45100000
75,Deferred Income Tax,- -,- -,- -,200000,- -,-900000,-4300000,-1300000,-200000,2700000,-14600000,3700000,1100000,-2800000,1380000,-3421000,1884000,-75000,-5735000,-1279000,-2081000,-8200000,-18700000,9400000,-6900000,-600000,- -,-6800000,-2700000,-20500000,3500000,6400000,-15300000,1300000,7000000,-8200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5300000,4900000,4700000,8300000,6600000,9600000,8600000,10900000,13400000,13900000,13800000,17800000,12000000,22900000
77,Change in Working Capital,- -,- -,- -,-6100000,49600000,-6600000,46100000,55000000,-17100000,23900000,-4600000,32900000,-50200000,12700000,-100258000,5453000,-65430000,230970000,-7629000,4586000,347932000,13976000,-162300000,-14900000,88600000,-47400000,-83000000,82200000,-1600000,-14600000,-81500000,23700000,-83600000,-57000000,81400000,-46100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24800000,38300000,-8200000,3500000,1800000,-3500000,9600000,13000000,-7100000,-7500000,6000000,-15000000,32000000,-30200000
79,Inventory,- -,- -,- -,-5500000,-15500000,8000000,-4200000,-3500000,-18600000,-16000000,-17500000,7700000,-18700000,-500000,3648000,4213000,-2764000,-8367000,-34172000,-20330000,-37293000,-8100000,14100000,71500000,800000,3100000,-6200000,-17300000,21400000,21200000,9800000,-8400000,-34500000,17000000,18000000,-113700000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,39500000,-26300000,-29100000,-15200000,9400000,22100000,-4400000,-7300000,98600000
