,https://roic.ai/company/L,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42787000000,10566900000,10314500000,12076500000,12830700000,12321500000,13646100000,12170000000,13571600000,12682800000,15660500000,15231600000,- -,- -,7562000000,12244000000,-41797000000,-42393000000,-51143000000,-50180000000,-48390000000,-48485000000,-47436000000,-48657000000,-46741000000,-46704000000,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,2873800000,1771400000,2076200000,1936500000,1208400000,44089788000,-54210400000,-770100000,-2613600000,-1726700000,-2082400000,-4186800000,2469000000,-656100000,3911400000,-1769900000,2519500000,14208500000,3004000000,-9114000000,-1240000000,51890000000,2664000000,10153000000,-338000000,-301000000,2652000000,-393000000,1820000000,672000000,-241000000,-44527000000,-609000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1907500000,2310100000,2715300000,1687400000,1660700000,1499251000,1295900000,943700000,227800000,-236200000,-1776900000,-466700000,538900000,1789200000,2783800000,2821100000,3367100000,1714700000,5671000000,3371000000,4591000000,-47000000,3965000000,2854000000,2097000000,2990000000,3547000000,2253000000,2590000000,4222000000,1741000000,1745000000,2623000000
84,CAPEX,- -,- -,- -,- -,-174800000,-103500000,-90200000,-123700000,-159500000,-209092000,-257900000,-545500000,-702400000,-644000000,-708200000,-667200000,-502500000,-514400000,-446400000,-267000000,-477800000,-934600000,-2297000000,-3997000000,-2529000000,-917000000,-857000000,-1405000000,-1737000000,-2753000000,-1555000000,-1450000000,-1031000000,-995000000,-1041000000,-710000000,-482000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-803300000,-1111400000,57300000,- -,-4029000000,- -,- -,- -,-548000000,-911000000,-172000000,479000000,-138000000,223000000,-1098000000,126000000,427000000,181000000,364000000
86,Purchases of Investments,- -,- -,- -,- -,-15439900000,-27577300000,-38534800000,-33707200000,-43851200000,-36135612000,-30754600000,-44614600000,-48767000000,-71214100000,-60108100000,-63485300000,-76437800000,-85961200000,-73377000000,-77935200000,-81855100000,-66320600000,-73396000000,-48931000000,-26078000000,-17394000000,-12532000000,-10545000000,-11375000000,-9448000000,-8737000000,-9827000000,-9232000000,-10785000000,-8661000000,-10721000000,-9752000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,14345800000,25466700000,34790600000,34721700000,44563600000,30939175000,32264000000,44769300000,48573000000,71823900000,62496500000,65508900000,77369000000,85742500000,71327800000,74160400000,80387800000,61724300000,76371000000,49004000000,23598000000,18087000000,12285000000,9908000000,10243000000,10324000000,8662000000,8709000000,9079000000,10439000000,8782000000,10446000000,8596000000
88,Other Investing Activites,- -,- -,- -,- -,-1080000000,324300000,1776600000,-2061600000,-2228600000,4239996000,-3501200000,-171400000,-385600000,426800000,1067800000,-338900000,-364700000,-1199400000,427300000,1175900000,113300000,2894200000,-3464000000,710000000,146000000,888000000,-251000000,-142000000,-257000000,-72000000,-167000000,158000000,-373000000,-229000000,-178000000,-610000000,87000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2348900000,-1889800000,-2057800000,-1170800000,-1675700000,-1165533000,-2249700000,-562200000,-1282000000,392600000,2748000000,1017500000,64000000,-1932500000,-2871600000,-3977300000,-1774500000,-2636700000,-6815000000,-3214000000,-4863000000,664000000,-1903000000,-3095000000,-3298000000,-1470000000,-1935000000,-2187000000,-2655000000,-1444000000,-671000000,-1414000000,-1187000000
90,Debt Repayment,- -,- -,- -,- -,-20100000,-70700000,-303700000,-210700000,-745200000,-54463000,-8800000,-574200000,-271400000,-861900000,-478100000,-166600000,-1138200000,-352900000,-807500000,-606000000,-3277700000,-730200000,-5000000,-1282000000,-902000000,-659000000,-2832000000,-2910000000,-1494000000,-2269000000,-1929000000,-3418000000,-2411000000,-1043000000,-1956000000,-1726000000,-1193000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49600000,1070100000,399700000,287800000,703900000,2071500000,543000000,4000000,8000000,352000000,4000000,13000000,5000000,6000000,7000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-81600000,-466700000,-264200000,-238200000,-336300000,-225074000,-6000000,-215700000,- -,-409100000,-601600000,-433600000,-320000000,-394200000,-17900000,-18100000,- -,-509800000,-672000000,-103000000,-334000000,-405000000,-732000000,-212000000,-228000000,-622000000,-1265000000,-134000000,-216000000,-2530000000,-1051000000,-923000000,-1136000000
93,Dividends Paid,- -,- -,- -,- -,-75200000,-73200000,-68900000,-65800000,-64200000,-60240000,-73800000,-116200000,-115000000,-155300000,-149000000,-133200000,-144000000,-197000000,-218200000,-231600000,-261900000,-445400000,-785000000,-732000000,-756000000,-105000000,-101000000,-99000000,-97000000,-95000000,-90000000,-84000000,-84000000,-80000000,-76000000,-70000000,-65000000
94,Other Financing Activites,- -,- -,- -,- -,641600000,210100000,-2000000,1500000,1211200000,10913000,1123500000,588600000,1632700000,1059500000,154100000,193900000,935800000,21400000,728600000,1763200000,1191100000,527900000,2044000000,1940000000,2305000000,129000000,1608000000,3544000000,3085000000,1538000000,1752000000,3470000000,2912000000,818000000,1939000000,2521000000,1105000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,464700000,-400500000,-638800000,-513200000,65500000,-328864000,1034900000,-317500000,1246300000,-366800000,-1074600000,-539500000,-616800000,147400000,84700000,1195300000,-1644600000,914000000,1125000000,-173000000,321000000,-688000000,-2053000000,336000000,1271000000,-1442000000,-1525000000,-166000000,201000000,-2835000000,-1144000000,-198000000,-1289000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,-13000000,10000000,1000000,- -,4000000,-3000000,-8000000,-11000000,-13000000,9000000,-10000000,5000000,9000000,-4000000
97,Net Change In Cash,- -,- -,- -,- -,464700000,-400500000,-638800000,-513200000,65500000,4854000,81100000,64000000,192100000,-210400000,-103500000,11300000,-13900000,4100000,-3100000,39100000,-52000000,-8000000,-14000000,-29000000,59000000,-70000000,9000000,99000000,67000000,70000000,76000000,-113000000,145000000,-67000000,-69000000,142000000,143000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,160557000,241700000,305700000,497800000,287400000,183900000,195200000,181300000,185400000,180800000,219900000,182000000,174000000,160000000,131000000,190000000,120000000,129000000,228000000,295000000,364000000,440000000,327000000,472000000,405000000,336000000,478000000,621000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,40000000,63300000,83000000,101800000,105300000,155703000,160600000,241700000,305700000,497800000,287400000,183900000,195200000,181300000,183900000,180800000,234000000,182000000,174000000,160000000,131000000,190000000,120000000,129000000,228000000,294000000,364000000,440000000,327000000,472000000,405000000,336000000,478000000
100,Free Cash Flow,- -,- -,- -,- -,1732700000,2206600000,2625100000,1563700000,1501200000,1290159000,1038000000,398200000,-474600000,-880200000,-2485100000,-1133900000,36400000,1274800000,2337400000,2554100000,2889300000,780100000,3374000000,-626000000,2062000000,-964000000,3108000000,1449000000,360000000,237000000,1992000000,803000000,1559000000,3227000000,700000000,1035000000,2141000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60086/000006008695000007/0000060086-95-000007-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60086/000006008602000008/0000060086-02-000008-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60086/000006008606000024/body.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/60086/000006008609000008/0000060086-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312510038679/0001193125-10-038679-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312511043352/d10k.htm,https://www.sec.gov/Archives/edgar/data/60086/000119312512072891/0001193125-12-072891-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312513070611/0001193125-13-070611-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312514064964/d620046d10k.htm,https://www.sec.gov/Archives/edgar/data/60086/000119312515058679/d841155d10k.htm,https://www.sec.gov/Archives/edgar/data/60086/000119312516470141/0001193125-16-470141-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312517046521/0001193125-17-046521-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312518046681/0001193125-18-046681-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312519037854/0001193125-19-037854-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312520031657/0001193125-20-031657-index.html,https://www.sec.gov/Archives/edgar/data/60086/000114036121003906/0001140361-21-003906-index.htm,https://www.sec.gov/Archives/edgar/data/60086/000006008622000007/0000060086-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
