,https://roic.ai/company/MMM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,1097000000,1348000000,1565000000,1882000000,2769000000,2887000000,2814000000,3009700000,3046000000,3194000000,2620000000,3295000000,4232000000,2726000000,3695000000,3832000000,3221000000,3894000000,3689000000,4562000000,4975000000,5696000000,6270000000,5263000000,4800000000,5878000000,6143000000,7743000000,8016000000,8534000000,8399000000,8718000000,9403000000,8824000000,7741000000,9142000000,9609000000
16,EBITDA ratio,0.1398,0.1567,0.1660,0.1779,0.2309,0.2217,0.2109,0.2168,0.2173,0.2118,0.1947,0.2315,0.2808,0.1815,0.2360,0.2291,0.2003,0.2384,0.2023,0.2280,0.2350,0.2485,0.2563,0.2083,0.2076,0.2205,0.2075,0.2589,0.2597,0.2682,0.2774,0.2895,0.2970,0.2693,0.2409,0.2841,0.2718
17,Operating Income,1150000000,1410000000,1578000000,1883000000,2150000000,2191000000,1959000000,1994000000,1956000000,2251000000,2221000000,2491000000,2675000000,2039000000,2956000000,3058000000,2273000000,3046000000,3713000000,4578000000,5009000000,5696000000,6193000000,5218000000,4814000000,5918000000,6178000000,6483000000,6666000000,7135000000,6946000000,7223000000,7820000000,7207000000,6174000000,7161000000,7369000000
18,Operating Income ratio,0.1466,0.1639,0.1674,0.1780,0.1793,0.1683,0.1469,0.1436,0.1395,0.1493,0.1650,0.1750,0.1775,0.1357,0.1888,0.1829,0.1414,0.1865,0.2037,0.2288,0.2366,0.2485,0.2532,0.2065,0.2082,0.2220,0.2086,0.2168,0.2159,0.2242,0.2294,0.2399,0.2470,0.2200,0.1921,0.2225,0.2084
19,Total Other Income Expenses (Gains),-53000000,-62000000,-13000000,-1000000,-81000000,-85000000,-114000000,-71000000,14000000,-158000000,-130000000,-89000000,765000000,-87000000,-76000000,-84000000,-87000000,-41000000,-56000000,-23000000,-26000000,-71000000,-78000000,-110000000,-182000000,-163000000,-147000000,-132000000,-104000000,-109000000,-123000000,-170000000,-272000000,-207000000,-462000000,-450000000,-165000000
20,Income Before Tax,1097000000,1348000000,1565000000,1882000000,2069000000,2106000000,1845000000,1923000000,1970000000,2093000000,2091000000,2402000000,3440000000,1952000000,2880000000,2974000000,2186000000,3005000000,3657000000,4555000000,4983000000,5625000000,6115000000,5108000000,4632000000,5755000000,6031000000,6351000000,6562000000,7026000000,6823000000,7053000000,7548000000,7000000000,5712000000,6711000000,7204000000
21,Income Before Tax Ratio,0.1398,0.1567,0.1660,0.1779,0.1726,0.1617,0.1383,0.1385,0.1405,0.1388,0.1553,0.1687,0.2283,0.1300,0.1839,0.1778,0.1360,0.1840,0.2006,0.2276,0.2354,0.2454,0.2500,0.2021,0.2003,0.2159,0.2037,0.2124,0.2126,0.2208,0.2254,0.2342,0.2384,0.2136,0.1777,0.2085,0.2038
22,Income Tax expense (Gain),433000000,569000000,647000000,728000000,825000000,798000000,691000000,687000000,707000000,771000000,785000000,886000000,1241000000,685000000,1032000000,1025000000,702000000,966000000,1202000000,1503000000,1694000000,1723000000,1964000000,1588000000,1388000000,1592000000,1674000000,1840000000,1841000000,2028000000,1982000000,1995000000,2679000000,1637000000,1130000000,1318000000,1285000000
23,Net Income,664000000,779000000,918000000,1154000000,1244000000,1308000000,1154000000,1235700000,1263000000,1322000000,976000000,1526000000,2121000000,1175000000,1763000000,1782000000,1430000000,1974000000,2403000000,2990000000,3199000000,3851000000,4096000000,3460000000,3193000000,4085000000,4283000000,4444000000,4659000000,4956000000,4833000000,5050000000,4858000000,5349000000,4570000000,5384000000,5921000000
24,Net Income ratio,0.0846,0.0906,0.0974,0.1091,0.1038,0.1005,0.0865,0.0890,0.0901,0.0877,0.0725,0.1072,0.1407,0.0782,0.1126,0.1066,0.0889,0.1209,0.1318,0.1494,0.1511,0.1680,0.1674,0.1369,0.1381,0.1532,0.1446,0.1486,0.1509,0.1557,0.1596,0.1677,0.1535,0.1633,0.1422,0.1673,0.1675
25,EPS,0.72,0.85,1.00,1.27,1.40,1.48,1.31,1.41,1.30,1.56,1.16,1.82,2.57,1.46,2.19,2.25,1.81,2.53,3.07,3.83,4.18,5.15,5.70,4.95,4.56,5.72,6.05,6.40,6.83,7.63,7.72,8.35,8.13,9.09,7.92,9.32,10.23
26,EPS Diluted,0.72,0.85,1.00,1.27,1.40,1.48,1.31,1.41,1.29,1.56,1.16,1.82,2.53,1.44,2.17,2.23,1.79,2.50,3.02,3.75,4.12,5.06,5.60,4.89,4.52,5.63,5.96,6.32,6.72,7.49,7.58,8.16,7.93,8.89,7.81,9.25,10.12
27,Weighted Average Shares Outstanding,915862069,916470588,913432836,905098039,888571429,883783784,877566540,876382979,967816092,846000000,839600000,836400000,825400000,806600000,804000000,791400000,788600000,780000000,782800000,780500000,764900000,747500000,718300000,699200000,700500000,713700000,708500000,693900000,681900000,649200000,625600000,604700000,597500000,588500000,577000000,577600000,579000000
28,Weighted Average Shares Outstanding Diluted,915862069,916470588,913432836,905098039,888571429,883783784,877566540,876382979,975289575,856494000,847818000,852456000,838339921,816000000,813000000,799800000,799800000,791000000,795300000,796500000,776900000,761000000,732000000,707200000,706700000,725500000,719000000,703300000,693600000,662000000,637200000,618700000,612700000,602000000,585100000,582200000,585300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66740/000006674094000007/0000066740-94-000007-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/66740/000006674097000003/0000066740-97-000003-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66740/000110465905008057/0001104659-05-008057-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465906010894/0001104659-06-010894-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465907013613/0001104659-07-013613-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465908011226/0001104659-08-011226-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465909009669/0001104659-09-009669-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465910007295/0001104659-10-007295-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/0001104659-11-007845-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465912010566/0001104659-12-010566-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465913010881/0001104659-13-010881-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465914009773/0001104659-14-009773-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465915009560/0001104659-15-009560-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837016003162/0001558370-16-003162-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837017000479/0001558370-17-000479-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837018000535/0001558370-18-000535-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837019000470/0001558370-19-000470-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/0001558370-20-000581-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837021000737/0001558370-21-000737-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000006674022000010/0000066740-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,274000000,297000000,485000000,583000000,230000000,211000000,387000000,302000000,616000000,618000000,1836000000,2757000000,1072000000,1447000000,1896000000,1849000000,3040000000,3377000000,2219000000,2883000000,2581000000,1897000000,1798000000,2398000000,3053000000,2853000000,2353000000,4634000000,4564000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,194000000,287000000,161000000,247000000,237000000,54000000,- -,- -,- -,- -,- -,- -,471000000,579000000,373000000,744000000,1101000000,1461000000,1648000000,756000000,626000000,118000000,280000000,1076000000,380000000,98000000,404000000,201000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,274000000,491000000,772000000,744000000,477000000,448000000,441000000,302000000,616000000,618000000,1836000000,2757000000,1072000000,1918000000,2475000000,2222000000,3784000000,4478000000,3680000000,4531000000,3337000000,2523000000,1916000000,2678000000,4129000000,3233000000,2451000000,5038000000,4765000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,2992000000,2948000000,2398000000,2504000000,2434000000,2666000000,2778000000,2891000000,2482000000,2840000000,3162000000,3311000000,3121000000,3357000000,3582000000,3325000000,3360000000,3707000000,3976000000,4186000000,4352000000,4315000000,4260000000,4501000000,4982000000,5123000000,4963000000,4830000000,4770000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,2401000000,2763000000,2206000000,2264000000,2399000000,2219000000,2030000000,2312000000,2091000000,1931000000,1816000000,1897000000,2162000000,2601000000,2852000000,3013000000,2639000000,3155000000,3416000000,3837000000,3864000000,3706000000,3518000000,3385000000,4034000000,4366000000,4134000000,4239000000,4985000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,696000000,726000000,1019000000,974000000,858000000,985000000,817000000,874000000,1107000000,670000000,906000000,755000000,760000000,1070000000,929000000,1038000000,1012000000,875000000,1168000000,1076000000,1180000000,1221000000,1292000000,1162000000,1132000000,987000000,1423000000,875000000,883000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,6363000000,6928000000,6395000000,6486000000,6168000000,6318000000,6066000000,6379000000,6296000000,6059000000,7720000000,8720000000,7115000000,8946000000,9838000000,9598000000,10795000000,12215000000,12240000000,13630000000,12733000000,11765000000,10986000000,11726000000,14277000000,13709000000,12971000000,14982000000,15403000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,4830000000,5054000000,4638000000,4844000000,5034000000,5566000000,5656000000,5823000000,5615000000,5621000000,5609000000,5711000000,5593000000,5907000000,6582000000,6886000000,7000000000,7279000000,7666000000,8378000000,8652000000,8489000000,8515000000,8516000000,8866000000,8738000000,10191000000,10285000000,10287000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2419000000,2655000000,3473000000,4082000000,4589000000,5753000000,5832000000,6820000000,7047000000,7385000000,7345000000,7050000000,9249000000,9166000000,10513000000,10051000000,13444000000,13802000000,13486000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,657000000,852000000,1213000000,2167000000,274000000,277000000,486000000,708000000,801000000,1398000000,1342000000,1820000000,1916000000,1925000000,1688000000,1435000000,2601000000,2320000000,2936000000,2657000000,6379000000,5835000000,5288000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,657000000,852000000,1213000000,2167000000,2693000000,2932000000,3959000000,4790000000,5390000000,7151000000,7174000000,8640000000,8963000000,9310000000,9033000000,8485000000,11850000000,11486000000,13449000000,12708000000,19823000000,19637000000,18774000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218000000,227000000,272000000,480000000,778000000,638000000,928000000,686000000,1051000000,1325000000,1575000000,930000000,126000000,145000000,150000000,188000000,196000000,214000000,262000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,167000000,105000000,132000000,167000000,88000000,88000000,143000000,152000000,- -,183000000,132000000,110000000,253000000,176000000,807000000,625000000,648000000,1018000000,578000000,360000000,889000000,510000000,422000000,511000000,365000000,521000000,871000000,581000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1004000000,1347000000,3045000000,1902000000,1869000000,2181000000,1429000000,1325000000,1330000000,1482000000,1177000000,2986000000,3464000000,918000000,1930000000,467000000,728000000,688000000,678000000,655000000,1197000000,711000000,731000000,611000000,734000000,792000000,957000000,1355000000,1765000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,5834000000,6568000000,7788000000,6878000000,7070000000,7835000000,7830000000,8143000000,8310000000,9270000000,9880000000,11988000000,13398000000,12348000000,14856000000,15949000000,16455000000,17941000000,19376000000,20246000000,20817000000,19504000000,21732000000,21180000000,23710000000,22791000000,31688000000,32362000000,31669000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,12197000000,13496000000,14183000000,13364000000,13238000000,14153000000,13896000000,14522000000,14606000000,15329000000,17600000000,20708000000,20513000000,21294000000,24694000000,25547000000,27250000000,30156000000,31616000000,33876000000,33550000000,31269000000,32718000000,32906000000,37987000000,36500000000,44659000000,47344000000,47072000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,878000000,996000000,762000000,895000000,898000000,868000000,1008000000,1081000000,753000000,945000000,1087000000,1168000000,1256000000,1402000000,1505000000,1301000000,1453000000,1662000000,1643000000,2278000000,2346000000,2340000000,2260000000,2376000000,1945000000,2266000000,2228000000,2561000000,2994000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,697000000,917000000,822000000,1117000000,1499000000,1492000000,1130000000,1866000000,1373000000,1237000000,1202000000,2094000000,1072000000,2506000000,901000000,1552000000,613000000,1269000000,682000000,1085000000,1683000000,106000000,2044000000,972000000,1853000000,1211000000,3042000000,1062000000,1570000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1051000000,1041000000,1187000000,1310000000,712000000,491000000,450000000,554000000,449000000,458000000,505000000,525000000,421000000,389000000,587000000,516000000,441000000,608000000,586000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196000000,226000000,237000000,299000000,323000000,322000000,316000000,369000000,389000000,471000000,521000000,541000000,518000000,551000000,513000000,617000000,430000000,498000000,529000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1707000000,1692000000,2140000000,1777000000,1586000000,2026000000,1681000000,1807000000,2383000000,2275000000,2597000000,2583000000,2673000000,3116000000,2633000000,2664000000,2515000000,2789000000,2727000000,2366000000,2948000000,3011000000,2296000000,2320000000,3376000000,3150000000,3522000000,3827000000,3942000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3282000000,3605000000,3724000000,3789000000,3983000000,4386000000,3819000000,4754000000,4509000000,4457000000,5082000000,6071000000,5238000000,7323000000,5362000000,5839000000,4897000000,6089000000,5441000000,6200000000,7498000000,5998000000,7118000000,6219000000,7687000000,7244000000,9222000000,7948000000,9035000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,796000000,1031000000,1203000000,851000000,1015000000,1614000000,1480000000,971000000,1520000000,2140000000,1735000000,727000000,1309000000,1047000000,4019000000,5166000000,5097000000,4183000000,4484000000,4916000000,4326000000,6731000000,8753000000,10678000000,12096000000,13411000000,17518000000,18691000000,16740000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,55000000,45000000,50000000,36000000,22000000,23000000,18000000,19000000,29000000,19000000,21000000,19000000,15000000,37000000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000000,90000000,97000000,89000000,193000000,332000000,362000000,469000000,- -,426000000,1284000000,1609000000,84000000,355000000,21000000,91000000,198000000,251000000,167000000,538000000,141000000,551000000,145000000,235000000,279000000,301000000,333000000,458000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1607000000,1570000000,1799000000,1970000000,1864000000,1634000000,1605000000,1558000000,1495000000,2739000000,2400000000,2193000000,2212000000,2831000000,3175000000,4620000000,3840000000,3651000000,5559000000,4524000000,3221000000,5236000000,4530000000,5506000000,6310000000,5718000000,7492000000,7441000000,5722000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2403000000,2697000000,3092000000,2918000000,2968000000,3441000000,3417000000,2891000000,3484000000,4879000000,4633000000,4259000000,5175000000,4012000000,7585000000,9829000000,9051000000,8050000000,10313000000,9636000000,8104000000,12129000000,13853000000,16344000000,18678000000,19408000000,25311000000,26465000000,22920000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000000,71000000,59000000,65000000,69000000,58000000,107000000,94000000,79000000,71000000,58000000,59000000,46000000,45000000,60000000,75000000,965000000,958000000,947000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,5685000000,6302000000,6816000000,6707000000,6951000000,7827000000,7236000000,7645000000,7993000000,9336000000,9715000000,10330000000,10413000000,11335000000,12947000000,15668000000,13948000000,14139000000,15754000000,15836000000,15602000000,18127000000,20971000000,22563000000,26365000000,26652000000,34533000000,34413000000,31955000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,296000000,296000000,296000000,236000000,236000000,236000000,5000000,5000000,5000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,8500000000,9039000000,9164000000,8756000000,9848000000,9980000000,10741000000,11517000000,11914000000,12748000000,14010000000,15649000000,17358000000,17933000000,20316000000,22248000000,23753000000,25995000000,28348000000,30679000000,32416000000,34317000000,36575000000,37907000000,39115000000,40636000000,42135000000,43761000000,45821000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-6658000000,-7349000000,-6596000000,-7206000000,-7064000000,-7831000000,-7723000000,-8347000000,-8750000000,-2284000000,-1554000000,132000000,-411000000,-1873000000,-747000000,-3646000000,-3754000000,-3543000000,-5025000000,-4750000000,-3913000000,-6289000000,-6359000000,-7245000000,-7026000000,-6866000000,-8139000000,-7661000000,-6750000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,4670000000,4748000000,4020000000,4438000000,2906000000,3551000000,3035000000,3356000000,2917000000,-4476000000,-4580000000,-5412000000,-6856000000,-6110000000,-7831000000,-8732000000,-7244000000,-6798000000,-7912000000,-8363000000,-11010000000,-14928000000,-18517000000,-20373000000,-20535000000,-23983000000,-23942000000,-23242000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,6512000000,6734000000,6884000000,6284000000,5926000000,5936000000,6289000000,6531000000,6086000000,5993000000,7885000000,10378000000,10100000000,9959000000,11747000000,9879000000,12764000000,15663000000,15420000000,17575000000,17502000000,13109000000,11708000000,10298000000,11563000000,9796000000,10063000000,12867000000,15046000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,12197000000,13036000000,13700000000,12991000000,12877000000,13763000000,13525000000,14176000000,14079000000,15329000000,17600000000,20708000000,20513000000,21294000000,24694000000,25547000000,26712000000,29802000000,31174000000,33411000000,33104000000,31236000000,32679000000,32861000000,37928000000,36448000000,44596000000,47280000000,47001000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,460000000,483000000,373000000,361000000,390000000,371000000,346000000,527000000,- -,- -,- -,- -,- -,- -,- -,538000000,354000000,442000000,465000000,446000000,33000000,39000000,45000000,59000000,52000000,63000000,64000000,71000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,12197000000,13496000000,14183000000,13364000000,13238000000,14153000000,13896000000,14522000000,14606000000,15329000000,17600000000,20708000000,20513000000,21294000000,24694000000,25547000000,27250000000,30156000000,31616000000,33876000000,33550000000,31269000000,32718000000,32906000000,37987000000,36500000000,44659000000,47344000000,47072000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/66740/000006674094000007/0000066740-94-000007-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/66740/000006674097000003/0000066740-97-000003-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66740/000110465905008057/0001104659-05-008057-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465906010894/0001104659-06-010894-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465907013613/0001104659-07-013613-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465908011226/0001104659-08-011226-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465909009669/0001104659-09-009669-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465910007295/0001104659-10-007295-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/0001104659-11-007845-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465912010566/0001104659-12-010566-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465913010881/0001104659-13-010881-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465914009773/0001104659-14-009773-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465915009560/0001104659-15-009560-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837016003162/0001558370-16-003162-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837017000479/0001558370-17-000479-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837018000535/0001558370-18-000535-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837019000470/0001558370-19-000470-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/0001558370-20-000581-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837021000737/0001558370-21-000737-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000006674022000010/0000066740-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
