,https://roic.ai/company/CMTL,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,563000,8666000,4056000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2073000,4343000,11160000,13716000,8210000,9896000,- -,- -,- -,- -,11011000,14516000,14749000,12610000,14320000,29665000,25771000,34452000,38682000,40250000,66130000
52,Other Current Liabilities,900000,4400000,2100000,4400000,1700000,2100000,1700000,1900000,2300000,2800000,6100000,15106000,16923000,14329000,22703000,33690000,42369000,51076000,71369000,66116000,73293000,76375000,61545000,47172000,35952000,34676000,34309000,106360000,71235000,67889000,81578000,87735000,92397000
53,Total Current Liabilities,4800000,9600000,3000000,7900000,4400000,4300000,4400000,4500000,5800000,6200000,10500000,29074000,37007000,29263000,46289000,57206000,74391000,89463000,97506000,97539000,92526000,154219000,96057000,82655000,269091000,66188000,64337000,184146000,144211000,165316000,145347000,159712000,203561000
54,Long-Term Debt,1700000,700000,700000,2800000,2800000,2500000,2300000,1900000,1300000,1400000,1000000,38808000,42000000,28683000,- -,105000000,105000000,105000000,105000000,105000000,200000000,200000000,200000000,200000000,- -,- -,- -,239969000,176228000,148087000,165000000,173609000,240569000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5764000,7227000,7689000,10654000,9596000,9808000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1628000,5987000,6318000,7960000,5870000,14733000,8193000,2101000,- -,1741000,3632000,2925000,9798000,17306000,10927000,12481000,17637000,21230000
57,Other Non-Current Liabilities,900000,1100000,100000,100000,- -,100000,- -,-100000,- -,- -,-100000,367000,2416000,1352000,393000,158000,396000,243000,108000,1909000,2283000,2518000,10171000,7722000,6921000,7107000,5206000,11118000,6941000,7454000,19147000,19794000,17224000
58,Total Non-Current Liabilities,2600000,1800000,800000,2900000,2800000,2600000,2300000,1800000,1300000,1400000,900000,39175000,44416000,30035000,393000,106786000,111383000,111561000,113068000,112779000,217016000,210711000,212272000,207722000,8662000,10739000,8131000,266649000,207702000,174157000,207282000,220636000,288831000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,393000,158000,396000,243000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7613000,4080000,2601000,757000,32413000,48410000
61,Total Liabilities,7400000,11400000,3800000,10800000,7200000,6900000,6700000,6300000,7100000,7600000,11400000,68249000,81423000,59298000,46682000,163992000,185774000,201024000,210574000,210318000,309542000,364930000,308329000,290377000,277753000,76927000,72468000,450795000,351913000,339473000,352629000,380348000,492392000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,735000,751000,760000,1402000,1437000,2278000,2305000,2402000,2460000,2839000,2854000,2873000,2893000,2907000,3102000,3117000,3837000,3862000,3886000,3928000,3992000,4128000
64,Retained Earnings,-13300000,-12500000,-10000000,-8700000,-7300000,-10200000,-11700000,-11600000,-11100000,-10000000,-4700000,-8687000,-1973000,-825000,8884000,30711000,67366000,112635000,177848000,254281000,303839000,351449000,393109000,404227000,403398000,409443000,413058000,383616000,385136000,405194000,420333000,417265000,333001000
65,Other Comprehensive Income/Loss,-400000,-7200000,-7400000,-7800000,-8100000,-8700000,-9400000,-10300000,-11000000,-12100000,-13800000,-14828000,-14828000,-16967000,-106000,-24910000,-28614000,-34433000,-40708000,-47858000,-59639000,-67860000,- -,-89602000,-95037000,-99944000,-105369000,-112712000,-127236000,-139376000,-146121000,-144873000,- -
66,Other Total Stockholders Equity,15100000,21900000,22100000,22500000,28600000,30300000,31200000,32200000,33000000,34200000,36500000,80562000,81615000,84320000,107388000,135160000,155599000,173735000,206226000,233919000,382090000,415189000,233198000,111883000,92794000,84324000,90603000,195660000,218388000,235980000,256942000,272915000,163590000
67,Total Stockholders Equity,1400000,2200000,4700000,6000000,13200000,11400000,10100000,10300000,10900000,12100000,18400000,57782000,65565000,67288000,117568000,142398000,196629000,254242000,345768000,442802000,629129000,701632000,629180000,429401000,404062000,396925000,401409000,470401000,480150000,505684000,535082000,549299000,500719000
68,Total Liabilities And Stockholders Equity,8800000,13600000,8500000,16800000,20400000,18300000,16800000,16600000,18000000,19700000,29800000,126031000,146988000,126586000,164250000,306390000,382403000,455266000,556342000,653120000,938671000,1066562000,937509000,719778000,681815000,473852000,473877000,921196000,832063000,845157000,887711000,929647000,993111000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8800000,13600000,8500000,16800000,20400000,18300000,16800000,16600000,18000000,19700000,29800000,126031000,146988000,126586000,164250000,306390000,382403000,455266000,556342000,653120000,938671000,1066562000,937509000,719778000,681815000,473852000,473877000,921196000,832063000,845157000,887711000,929647000,993111000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23197/000095013096004122/0000950130-96-004122-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23197/000116923202002122/0001169232-02-002122-index.html,- -,https://www.sec.gov/Archives/edgar/data/23197/000095011704003364/0000950117-04-003364-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000116923205004655/0001169232-05-004655-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000116923206003817/0001169232-06-003817-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000116923207003695/0001169232-07-003695-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319708000029/0000023197-08-000029-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319709000063/0000023197-09-000063-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319710000054/0000023197-10-000054-index.htm,- -,https://www.sec.gov/Archives/edgar/data/23197/000002319712000020/0000023197-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319713000023/0000023197-13-000023-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319714000024/0000023197-14-000024-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319715000039/0000023197-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319716000074/0000023197-16-000074-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319717000069/0000023197-17-000069-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319718000076/0000023197-18-000076-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319719000075/0000023197-19-000075-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319720000127/0000023197-20-000127-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319721000082/0000023197-21-000082-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-600000,800000,1900000,1300000,1400000,-2800000,-1500000,100000,500000,1100000,5300000,-3941000,6714000,1148000,9709000,21827000,36655000,45269000,65213000,76433000,49558000,60630000,67895000,32416000,17808000,25151000,23245000,-7738000,15827000,29769000,25041000,7020000,-73480000
74,Depreciation and Amortization,400000,300000,300000,400000,600000,800000,900000,1100000,1100000,1200000,1500000,2149000,6575000,5230000,6258000,6794000,8189000,14934000,18075000,22092000,37391000,19067000,22344000,16842000,14165000,13006000,12736000,23245000,37177000,34730000,30247000,32156000,30399000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4600000,-1298000,580000,300000,-2002000,2079000,2768000,832000,-147000,-2736000,-164000,-7311000,761000,-4570000,1115000,-404000,-2365000,-3241000,9056000,-6379000,4283000,860000,-3263000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3130000,4263000,4363000,4117000,8506000,8569000,11427000,9275000,9983000
77,Change in Working Capital,-1700000,100000,2900000,900000,7000000,-2500000,-1800000,100000,100000,1000000,1300000,55067000,1822000,-15512000,23224000,126417000,53472000,54296000,88097000,87368000,112074000,90075000,-59592000,-192787000,-213661000,4096000,11763000,-116926000,-22660000,17644000,20490000,-17582000,-33450000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13319000,-56582000,64795000,14101000,6591000,-5092000,-15132000,5806000,25508000,-24578000,6315000,20929000,-31223000
79,Inventory,-900000,-200000,- -,- -,300000,-1100000,-1100000,-1400000,-500000,500000,-1700000,-4580000,-8132000,1199000,-2793000,-5152000,-7236000,-17909000,-4818000,-25038000,13395000,12015000,-5224000,-4407000,4093000,1250000,-3446000,8280000,7812000,-20065000,-3787000,-9132000,-2338000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17862000,58611000,-54343000,-2534000,-2577000,512000,-3194000,-1255000,-4472000,13728000,-21290000,-2206000,11016000
81,Other Working Capital,1100000,1200000,4100000,5000000,12000000,9500000,7700000,7800000,7900000,8900000,10200000,65267000,67089000,51577000,74801000,201218000,254690000,308986000,397083000,484451000,596525000,686600000,627008000,434221000,220560000,224656000,236419000,119493000,96833000,114477000,134967000,117385000,83935000
82,Other Non-Cash Items,-1200000,2400000,-7000000,-1000000,-6100000,1700000,-100000,-700000,-900000,-700000,1400000,-44004000,-10891000,18226000,-10386000,-132839000,-45030000,-71001000,-82001000,-105381000,-110324000,-37941000,65952000,201592000,215138000,-11524000,-28016000,115513000,18749000,-33989000,-23457000,21035000,29173000
83,Cash Provided by Operating Activities,-3100000,3600000,-1900000,1600000,2900000,-2800000,-2500000,600000,800000,2600000,4900000,7973000,4800000,9392000,26803000,24278000,56054000,44330000,89237000,77776000,88535000,124520000,97360000,53493000,37695000,34588000,21726000,14970000,66655000,50344000,68031000,52764000,-40638000
84,CAPEX,-200000,-100000,-200000,-300000,-300000,-300000,-500000,-400000,-900000,-300000,-1200000,-1185000,-2776000,-3081000,-4392000,-6591000,-9532000,-12524000,-12113000,-14257000,-13587000,-7515000,-7188000,-6413000,-5347000,-4937000,-3362000,-5667000,-8150000,-8642000,-8785000,-7225000,-16037000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63138000,-3682000,-7055000,111000,-5187000,-2735000,-1000000,-3937000,-6194000,-205360000,- -,-2850000,- -,- -,- -,- -,-280535000,- -,- -,-35883000,-12959000,554000
86,Purchases of Investments,- -,- -,- -,- -,- -,-5400000,- -,- -,- -,- -,- -,-37015000,-1330000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,5100000,300000,- -,- -,- -,18000000,19221000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,600000,- -,- -,- -,- -,- -,-100000,- -,100000,- -,- -,- -,-563000,-91000,- -,- -,-75000,- -,- -,- -,-100000,1925000,-50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,400000,-100000,-200000,-300000,-300000,-5700000,4500000,-100000,-800000,-300000,-1200000,-83338000,10870000,-10227000,-4281000,-11778000,-12342000,-13524000,-16050000,-20451000,-218947000,-5477000,-10038000,-6413000,-5347000,-4937000,-3362000,-286202000,-8150000,-8642000,-44668000,-20184000,-15483000
