,https://roic.ai/company/FSTR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,9473684,9651568,11367521,9764706,10000000,9677419,10000000,10000000,10000000,9818182,9795918,10000000,10312500,10000000,9626923,9432432,9100000,9520000,9555556,9866667,10062963,10407692,10653802,10670000,10169000,10219000,10209000,10124000,10175000,10225000,10254000,10273000,10334000,10362000,10410000,10540000,10623000
28,Weighted Average Shares Outstanding Diluted,9473684,9651568,11367521,10246914,10000000,9677419,10000000,10000000,10000000,9818182,10000000,10357143,10312500,10232558,10012000,9432432,9100000,9520000,9828571,10571429,10450000,10824000,10970565,10811000,10304000,10348000,10312000,10234000,10260000,10332000,10254000,10273000,10483000,10362000,10644000,10671000,10752000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/352825/000035282596000002/0000352825-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282597000006/0000352825-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282598000006/0000352825-98-000006-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/352825/000035282501000003/0000352825-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282502000003/0000352825-02-000003-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/352825/000095015205002205/j1230501e10vk.htm,https://www.sec.gov/Archives/edgar/data/352825/000095015206002143/j1822401e10vk.htm,https://www.sec.gov/Archives/edgar/data/352825/000095015207002170/l24097ae10vk.htm,https://www.sec.gov/Archives/edgar/data/352825/000095015208001842/l29863ae10vk.htm,https://www.sec.gov/Archives/edgar/data/352825/000095015209002603/0000950152-09-002603-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282510000010/0000352825-10-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/352825/000119312514073053/d680882d10k.htm,https://www.sec.gov/Archives/edgar/data/352825/000119312515074375/d860671d10k.htm,https://www.sec.gov/Archives/edgar/data/352825/000119312516487797/0001193125-16-487797-index.html,https://www.sec.gov/Archives/edgar/data/352825/000119312517074622/0001193125-17-074622-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282518000004/0000352825-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282519000012/0000352825-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282520000008/0000352825-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282521000014/0000352825-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/352825/000035282522000008/0000352825-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,14900000,15800000,13800000,3400000,2400000,1400000,3600000,2300000,1200000,1200000,1300000,1200000,1200000,900000,1558000,- -,4222000,3653000,4134000,280000,1596000,1309000,121097000,115074000,124845000,74800000,73727000,101464000,64623000,52024000,33312000,30363000,37678000,10282000,14178000,7564000,10372000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14900000,15800000,13800000,3400000,2400000,1400000,3600000,2300000,1200000,1200000,1300000,1200000,1200000,900000,1558000,- -,4222000,3653000,4134000,280000,1596000,1309000,121097000,115074000,124845000,74800000,73727000,101464000,64623000,52024000,33312000,30363000,37678000,10282000,14178000,7564000,10372000
34,Net Receivables,48400000,78800000,21000000,36800000,32400000,38300000,27200000,35900000,35900000,46400000,48300000,49900000,47600000,47300000,53112000,57606000,53064000,39363000,34773000,39929000,47403000,61550000,53610000,64313000,61178000,69697000,68527000,59673000,98437000,90178000,78487000,66632000,76582000,86123000,78575000,96141000,92090000
35,Inventory,76100000,127000000,37800000,46500000,45700000,48000000,45300000,35200000,39500000,43700000,40300000,42900000,43400000,36400000,45601000,59811000,43444000,32925000,36894000,42014000,68949000,99803000,102447000,102916000,98982000,90367000,92278000,107108000,76956000,95089000,96396000,83243000,97543000,124504000,119301000,78617000,62871000
36,Other Current Assets,4700000,2700000,600000,300000,800000,800000,200000,500000,900000,1500000,2800000,1700000,4000000,600000,5762000,3761000,3638000,2328000,2736000,2075000,2482000,4622000,7243000,4152000,5087000,4418000,5461000,8147000,7351000,10388000,6279000,19366000,9308000,5763000,4610000,12997000,14146000
37,Total Current Assets,144100000,224300000,73200000,87000000,81300000,88500000,76300000,73900000,77500000,92800000,92700000,95700000,96200000,85200000,106033000,121178000,104368000,78269000,78537000,84298000,120430000,167284000,284397000,286455000,290092000,239282000,239993000,276392000,247367000,247679000,214474000,199604000,221111000,226672000,216664000,195319000,179479000
38,PP&E,44900000,98800000,17200000,18100000,18600000,25000000,26500000,27600000,24400000,23400000,22600000,20500000,20800000,20400000,30126000,33023000,33951000,36083000,33135000,30378000,40184000,49919000,44136000,39989000,37407000,46336000,48118000,42333000,50109000,74802000,126745000,103973000,96096000,86857000,95588000,78154000,73353000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350000,350000,350000,350000,44369000,43825000,41237000,57781000,82949000,81752000,18932000,19785000,19258000,19565000,20340000,20152000
40,Intangible Assets,- -,136600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,5700000,7474000,6772000,6455000,1089000,935000,780000,625000,62000,50000,37000,25000,45079000,43048000,40165000,51846000,82134000,134927000,63519000,57440000,49836000,43514000,36897000,31023000
41,Intangible Assets,- -,136600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,5700000,7474000,6772000,6455000,1089000,935000,780000,625000,412000,400000,387000,375000,89448000,86873000,81402000,109627000,165083000,216679000,82451000,77225000,69094000,63079000,57237000,51175000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,17000000,- -,3000000,3358000,1987000,3495000,4332000,5090000,5824000,5321000,4031000,162000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1184000,4454000,4095000,3877000,1183000,1149000,1411000,2026000,1574000,- -,- -,- -,- -,- -,226000,- -,- -,- -,28638000,38481000,37242000
44,Other Non-Current Assets,6200000,15600000,2600000,2100000,2100000,2100000,2300000,3500000,6800000,6400000,9100000,7200000,5500000,8100000,21098000,16174000,14084000,14089000,14457000,14762000,-136000,69000,428000,263000,362000,1663000,1415000,1663000,1461000,1733000,3215000,2964000,1962000,626000,1202000,1204000,1346000
45,Total Non-Current Assets,51100000,251000000,19800000,20200000,20700000,27100000,28800000,31100000,31200000,29800000,31700000,27700000,30800000,34200000,58698000,55969000,55674000,55715000,52622000,49797000,57856000,68549000,46375000,45665000,43076000,139434000,139901000,129730000,166287000,247442000,352186000,193419000,175445000,156577000,188507000,175076000,163116000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,195200000,475300000,93000000,107200000,102000000,115600000,105100000,105000000,108700000,122600000,124400000,123400000,127000000,119400000,164731000,177147000,160042000,133984000,131159000,134095000,178286000,235833000,330772000,332120000,333168000,378716000,379894000,406122000,413654000,495121000,566660000,393023000,396556000,383249000,405171000,370395000,342595000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,17000000,14700000,17200000,19800000,18100000,19100000,12500000,19700000,24446000,33008000,29290000,24094000,23874000,27736000,42847000,57446000,53489000,62612000,61839000,45533000,50277000,50454000,46620000,67166000,55804000,37744000,52404000,78269000,66361000,54787000,41411000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11100000,7400000,19400000,3400000,6141000,7426000,5809000,825000,611000,589000,7640000,3831000,6191000,5777000,5406000,2402000,2384000,35000,31000,676000,1335000,10386000,656000,629000,2905000,119000,98000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16868000,6833000,7447000,5715000,8034000,6934000,7597000,10136000,6619000,8446000,7144000,13411000
52,Other Current Liabilities,52500000,182700000,43500000,52000000,48400000,38500000,8700000,11100000,10500000,20500000,5700000,5600000,4300000,7200000,7709000,9267000,7258000,6656000,7208000,9142000,13848000,14545000,24072000,15802000,12515000,32016000,25238000,34033000,23116000,32895000,27573000,26604000,30334000,38674000,39032000,33252000,31274000
53,Total Current Liabilities,52500000,182700000,43500000,52000000,48400000,38500000,25700000,25800000,27700000,40300000,34900000,32100000,36200000,30300000,38296000,49701000,42357000,31575000,31693000,37467000,64335000,75822000,83752000,84191000,79760000,96819000,84732000,91969000,75482000,108771000,91646000,82331000,93530000,124191000,116744000,95302000,86194000
54,Long-Term Debt,59000000,265700000,5800000,7200000,4900000,26600000,27100000,26100000,25600000,22400000,25000000,21800000,17500000,13800000,44136000,43484000,32758000,26991000,20858000,17395000,29276000,54273000,28056000,21734000,18923000,2399000,51000,27000,25000,25752000,167419000,149179000,129310000,74353000,55288000,58421000,43432000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,6000000,3600000,2300000,- -,- -,- -,- -,- -,500000,- -,- -,400000,600000,700000,6293000,5413000,4968000,4195000,3653000,2898000,1615000,1853000,1638000,2046000,1893000,11863000,11708000,12140000,11798000,10945000,8926000,11371000,9744000,5287000,4751000,4085000,3753000
57,Other Non-Current Liabilities,8700000,9700000,6600000,2300000,1600000,200000,1400000,1800000,2000000,1600000,1300000,1900000,2200000,1100000,1356000,1190000,2814000,5210000,4411000,2592000,3071000,5852000,3500000,6587000,- -,11888000,13588000,14411000,9952000,13765000,15837000,16891000,17493000,57299000,58526000,35757000,25606000
58,Total Non-Current Liabilities,73700000,279000000,14700000,9500000,6500000,26800000,28500000,27900000,28100000,24000000,26300000,24100000,20300000,15600000,51785000,50087000,40540000,36396000,28922000,22885000,33962000,61978000,33194000,30367000,20816000,26150000,25347000,26578000,21775000,50462000,192182000,177441000,156547000,136939000,118565000,98263000,72791000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10268000,13516000,12279000
61,Total Liabilities,126200000,461700000,58200000,61500000,54900000,65300000,54200000,53700000,55800000,64300000,61200000,56200000,56500000,45900000,90081000,99788000,82897000,67971000,60615000,60352000,98297000,137800000,116946000,114558000,100576000,122969000,110079000,118547000,97257000,159233000,283828000,259772000,250077000,261130000,235309000,193565000,158985000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102000,102000,102000,102000,102000,102000,102000,105000,109000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000
64,Retained Earnings,35000000,-20700000,700000,11300000,12600000,15700000,16200000,16600000,18200000,23700000,28500000,32300000,35600000,40000000,42505000,45995000,46632000,35208000,38399000,39879000,45313000,58843000,169314000,197060000,212787000,233279000,255152000,270311000,298361000,322672000,276571000,133667000,137780000,114324000,157525000,165107000,168733000
65,Other Comprehensive Income/Loss,-24200000,-28700000,-27200000,-27400000,-28500000,-28600000,-30500000,-30200000,-31100000,-31800000,-33300000,-20500000,-21400000,-23100000,-21432000,-25476000,-30514000,-811000,-671000,-715000,-898000,-611000,-744000,-712000,-392000,-1068000,-4628000,-3669000,-4583000,-11892000,-17940000,-25289000,-17767000,-22191000,-20183000,-20268000,-18845000
66,Other Total Stockholders Equity,58200000,63000000,61300000,61800000,63000000,63200000,65200000,64900000,65800000,66400000,68000000,55400000,56300000,56600000,53475000,56738000,60925000,31514000,32714000,34477000,35472000,39696000,45147000,21103000,20086000,- -,- -,- -,22508000,24997000,24090000,24762000,26355000,29875000,32409000,31880000,- -
67,Total Stockholders Equity,69000000,13600000,34800000,45700000,47100000,50300000,50900000,51300000,52900000,58300000,63200000,67200000,70500000,73500000,74650000,77359000,77145000,66013000,70544000,73743000,79989000,98033000,213826000,217562000,232592000,255747000,269815000,287575000,316397000,335888000,282832000,133251000,146479000,122119000,169862000,176830000,183092000
68,Total Liabilities And Stockholders Equity,195200000,475300000,93000000,107200000,102000000,115600000,105100000,105000000,108700000,122600000,124400000,123400000,127000000,119400000,164731000,177147000,160042000,133984000,131159000,134095000,178286000,235833000,330772000,332120000,333168000,378716000,379894000,406122000,413654000,495121000,566660000,393023000,396556000,383249000,405171000,370395000,342077000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,518000
70,Total Liabilities & Equity,195200000,475300000,93000000,107200000,102000000,115600000,105100000,105000000,108700000,122600000,124400000,123400000,127000000,119400000,164731000,177147000,160042000,133984000,131159000,134095000,178286000,235833000,330772000,332120000,333168000,378716000,379894000,406122000,413654000,495121000,566660000,393023000,396556000,383249000,405171000,370395000,342595000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/352825/000035282596000002/0000352825-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282597000006/0000352825-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282598000006/0000352825-98-000006-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/352825/000035282501000003/0000352825-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282502000003/0000352825-02-000003-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/352825/000095015205002205/j1230501e10vk.htm,https://www.sec.gov/Archives/edgar/data/352825/000095015206002143/j1822401e10vk.htm,https://www.sec.gov/Archives/edgar/data/352825/000095015207002170/l24097ae10vk.htm,https://www.sec.gov/Archives/edgar/data/352825/000095015208001842/l29863ae10vk.htm,https://www.sec.gov/Archives/edgar/data/352825/000095015209002603/0000950152-09-002603-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282510000010/0000352825-10-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/352825/000119312514073053/d680882d10k.htm,https://www.sec.gov/Archives/edgar/data/352825/000119312515074375/d860671d10k.htm,https://www.sec.gov/Archives/edgar/data/352825/000119312516487797/0001193125-16-487797-index.html,https://www.sec.gov/Archives/edgar/data/352825/000119312517074622/0001193125-17-074622-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282518000004/0000352825-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282519000012/0000352825-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282520000008/0000352825-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282521000014/0000352825-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/352825/000035282522000008/0000352825-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3200000,-55400000,- -,8300000,1300000,3000000,600000,400000,1600000,5400000,4800000,3900000,3300000,4400000,2503000,3490000,637000,-11424000,3440000,1480000,5434000,13530000,110693000,27746000,15727000,20492000,22895000,16188000,29290000,25656000,-44445000,-141660000,4113000,-31168000,42568000,7582000,3626000
74,Depreciation and Amortization,6700000,22700000,- -,1600000,1700000,1800000,2100000,2800000,2800000,- -,2800000,3200000,2700000,3100000,4493000,5386000,5641000,5851000,5208000,5276000,5270000,6144000,8622000,8901000,8720000,9274000,12360000,12973000,10002000,12577000,26674000,23492000,19841000,18593000,17631000,13579000,13887000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-1200000,-600000,2200000,1300000,600000,-133000,-442000,12000,-3290000,171000,924000,1318000,-2245000,-1102000,-2984000,-675000,1130000,3484000,-4563000,3244000,-2914000,-14582000,3375000,-1983000,-1598000,-29510000,-4317000,139000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,653000,1944000,1958000,1989000,2156000,3007000,1471000,1346000,1696000,3836000,3155000,1136000,1945000
77,Change in Working Capital,- -,-11900000,- -,5300000,-2100000,17100000,600000,-2500000,1700000,2700000,5300000,5800000,-3600000,-5100000,12837000,3740000,-9466000,-15317000,150000,-13000,9264000,35367000,109183000,1619000,8068000,-67869000,12798000,29162000,-12538000,-32977000,-16080000,-5555000,10308000,-25100000,-2561000,97000,-17555000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3135000,11397000,992000,6823000,-37057000,15188000,31223000,11959000,-9217000,-11438000,7928000,15722000,2294000
79,Inventory,- -,- -,- -,- -,- -,- -,4100000,12400000,600000,-4100000,2900000,-2600000,800000,3300000,-5839000,-14210000,16367000,8531000,-3758000,-5120000,-26935000,-32759000,-2644000,-469000,3934000,30606000,-2071000,-17644000,29919000,-9872000,4331000,10479000,-12648000,-23403000,6688000,3279000,-3973000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13158000,- -,1241000,-5206000,16285000,-17204000,-16005000,14600000,24210000,-12690000,-8947000,-13641000
