,https://roic.ai/company/INCY,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,5200000,12300000,23200000,47700000,81000000,122600000,184000000,256757000,283962000,199520000,162436000,162999000,108630000,104507000,119720000,163208000,149033000,155829000,237638000,295911000,371049000,516299000,703100000,943312000,1772267000,1726464000,1737022000,2906943000,2400490000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,1416000,462000,764000,1324000,3350000,7089000,4412000,17500000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32125000,43323000,43819000,46058000,38652000,46828000,45603000,38745000,6900000,1543000,1855000,2174000,-1908000
14,Depreciation and Amortization,400000,900000,2600000,6500000,10400000,17800000,24700000,34842000,47665000,23206000,17685000,13913000,8192000,7411000,12963000,13071000,16690000,24485000,26990000,- -,- -,- -,- -,58425000,52178000,54969000,54533000,51807000,57844000
15,EBITDA,-4500000,-10600000,-7500000,-300000,21300000,23700000,-2900000,5312000,-134640000,-112559000,-148301000,-150451000,-95403000,-66755000,-73918000,-165849000,-163055000,35962000,-115731000,1912000,-44196000,-1719000,53159000,204574000,-253212000,171859000,543179000,-178237000,626380000
16,EBITDA ratio,-15.0000,-53.0000,-0.6148,-0.0072,0.2410,0.1758,-0.0185,0.0274,-0.6141,-1.1077,-3.1492,-10.6356,-12.1594,-2.4149,-2.1463,-42.3192,-17.5990,0.2117,-1.2253,0.0064,-0.1245,-0.0034,0.0705,0.1850,-0.1648,0.0913,0.2516,-0.0668,0.2098
17,Operating Income,-4900000,-12100000,-11000000,-5900000,7400000,12200000,-27000000,-62590000,-64699000,-97908000,-149296000,-148853000,-100784000,-76864000,-85280000,-159289000,-139768000,14049000,-143183000,1148000,-16102000,-4804000,50651000,144998000,-243734000,129223000,402006000,-263676000,585777000
18,Operating Income ratio,-16.3333,-60.5000,-0.9016,-0.1411,0.0837,0.0905,-0.1720,-0.3224,-0.2951,-0.9635,-3.1703,-10.5226,-12.8453,-2.7806,-2.4762,-40.6453,-15.0856,0.0827,-1.5159,0.0039,-0.0454,-0.0094,0.0672,0.1311,-0.1587,0.0687,0.1862,-0.0989,0.1962
19,Total Other Income Expenses (Gains),200000,700000,1200000,-700000,3500000,-6300000,-600000,29923000,-122271000,-37857000,-16690000,-14358000,-3125000,2698000,-1601000,-19631000,-40027000,-3988000,- -,-45294000,-66746000,-43743000,-43095000,-37594000,-68556000,-13876000,84785000,31458000,-15333000
20,Income Before Tax,- -,- -,- -,- -,10900000,5900000,-27600000,-32667000,-186970000,-135765000,-165986000,-163211000,-103909000,-74166000,-86881000,-178920000,- -,- -,- -,-44146000,-82848000,-48547000,7556000,107404000,-312290000,115347000,486791000,-232218000,570444000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.1233,0.0438,-0.1758,-0.1682,-0.8527,-1.3361,-3.5247,-11.5376,-13.2436,-2.6830,-2.5227,-45.6545,- -,- -,- -,-0.1486,-0.2334,-0.0949,0.0100,0.0971,-0.2033,0.0613,0.2255,-0.0871,0.1910
22,Income Tax expense (Gain),- -,- -,- -,- -,500000,2400000,-800000,205000,930000,1120000,477000,453000,-552000,- -,- -,- -,- -,- -,- -,174000,299000,-66000,1025000,3182000,852000,5854000,39885000,63479000,-378137000
23,Net Income,-4900000,-11500000,-10100000,-6800000,10400000,3500000,-26800000,-29735000,-183235000,-136885000,-166463000,-164817000,-103043000,-74166000,-86881000,-178920000,-211870000,-31846000,-186540000,-44320000,-83147000,-48481000,6531000,104222000,-313142000,109493000,446906000,-295697000,948581000
24,Net Income ratio,-16.3333,-57.5000,-0.8279,-0.1627,0.1176,0.0260,-0.1707,-0.1531,-0.8357,-1.3471,-3.5348,-11.6511,-13.1332,-2.6830,-2.5227,-45.6545,-22.8678,-0.1875,-1.9749,-0.1492,-0.2343,-0.0948,0.0087,0.0943,-0.2038,0.0582,0.2070,-0.1109,0.3176
25,EPS,-0.73,-0.41,-0.30,-0.17,0.23,0.07,-0.47,-0.47,-2.77,-2.03,-2.33,-2.21,-1.24,-0.89,-1.03,-1.99,-2.06,-0.26,-1.49,-0.34,-0.56,-0.29,0.04,0.55,-1.53,0.52,2.08,-1.36,4.30
26,EPS Diluted,-0.73,-0.41,-0.30,-0.17,0.21,0.06,-0.47,-0.47,-2.77,-2.03,-2.33,-2.21,-1.24,-0.89,-1.03,-1.99,-2.06,-0.26,-1.49,-0.34,-0.56,-0.29,0.03,0.54,-1.53,0.51,2.05,-1.36,4.27
27,Weighted Average Shares Outstanding,25584000,28048780,33666667,40624000,44430000,53842000,56276000,63211000,66193000,67403000,71369000,74555000,83321000,83799000,84185000,89785000,102943000,121628000,125362000,129747000,148403000,167947000,179601000,187873000,204580000,212383000,214913000,218073000,220845000
28,Weighted Average Shares Outstanding Diluted,25584000,28048780,33666667,40624000,48316000,57798000,56276000,63211000,66193000,67403000,71369000,74555000,83321000,83799000,84185000,89785000,102943000,121628000,125362000,129747000,148403000,167947000,187302000,194125000,204580000,215635000,217657000,218073000,222248000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879169/000102140803005282/d10k.htm,https://www.sec.gov/Archives/edgar/data/879169/000119312504042081/d10k.htm,https://www.sec.gov/Archives/edgar/data/879169/000119312505047638/d10k.htm,https://www.sec.gov/Archives/edgar/data/879169/000110465906013846/a05-20227_210k.htm,https://www.sec.gov/Archives/edgar/data/879169/000110465907015059/a07-5374_110k.htm,https://www.sec.gov/Archives/edgar/data/879169/000104746908002303/a2182995z10-k.htm,https://www.sec.gov/Archives/edgar/data/879169/000104746909002189/0001047469-09-002189-index.html,https://www.sec.gov/Archives/edgar/data/879169/000104746910001834/0001047469-10-001834-index.html,https://www.sec.gov/Archives/edgar/data/879169/000104746911001198/a2202084z10-k.htm,https://www.sec.gov/Archives/edgar/data/879169/000104746912001295/0001047469-12-001295-index.html,https://www.sec.gov/Archives/edgar/data/879169/000104746913001393/0001047469-13-001393-index.html,https://www.sec.gov/Archives/edgar/data/879169/000104746914001174/a2218324z10-k.htm,https://www.sec.gov/Archives/edgar/data/879169/000104746915000858/a2223029z10-k.htm,https://www.sec.gov/Archives/edgar/data/879169/000155837016003196/0001558370-16-003196-index.html,https://www.sec.gov/Archives/edgar/data/879169/000155837017000594/0001558370-17-000594-index.html,https://www.sec.gov/Archives/edgar/data/879169/000155837018000722/0001558370-18-000722-index.html,https://www.sec.gov/Archives/edgar/data/879169/000155837019000682/0001558370-19-000682-index.html,https://www.sec.gov/Archives/edgar/data/879169/000155837020000774/0001558370-20-000774-index.html,https://www.sec.gov/Archives/edgar/data/879169/000155837021000825/0001558370-21-000825-index.htm,https://www.sec.gov/Archives/edgar/data/879169/000155837022000902/0001558370-22-000902-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,7600000,51200000,50000000,32200000,110155000,43368000,22928000,29698000,132180000,11494000,18861000,108854000,178767000,449824000,417912000,273164000,224057000,471429000,452297000,521439000,652343000,899509000,1163980000,1832684000,1513008000,2057440000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,34700000,472025000,464535000,406090000,264109000,337584000,333477000,299712000,147576000,19257000,20594000,6256000,4430000,4361000,37575000,147966000,186344000,156203000,270136000,274343000,284870000,288369000,290752000
33,Cash and Short-Term Investments,- -,- -,- -,7600000,51200000,50000000,66900000,582180000,507903000,429018000,293807000,469764000,344971000,318573000,256430000,198024000,470418000,424168000,277594000,228418000,509004000,600263000,707783000,808546000,1169645000,1438323000,2117554000,1801377000,2348192000
34,Net Receivables,- -,- -,- -,2500000,19900000,14300000,26600000,35022000,54038000,8485000,5733000,2143000,1423000,2073000,1551000,1050000,163661000,5701000,6415000,70951000,35374000,57933000,114450000,148758000,266299000,307598000,308809000,481994000,616300000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278000,406000,358000,1783000,4106000,6482000,6967000,11400000,16425000,27904000
36,Other Current Assets,- -,- -,- -,33100000,67100000,67100000,16000000,30693000,29280000,21268000,11387000,9406000,7582000,7115000,6431000,6420000,21976000,25585000,26769000,9867000,11015000,40660000,18359000,32768000,62428000,79366000,43725000,60098000,126278000
37,Total Current Assets,- -,- -,- -,43200000,138200000,131400000,109500000,647895000,591221000,458771000,310927000,481313000,353976000,327761000,264412000,205494000,656055000,455454000,310778000,309514000,555799000,699214000,842375000,994178000,1504854000,1832254000,2481488000,2359894000,3118674000
38,PP&E,- -,- -,- -,22900000,36900000,54400000,67300000,98948000,47927000,31787000,27337000,9959000,7667000,5890000,3943000,2796000,1752000,4804000,6431000,6348000,26848000,81790000,86006000,167679000,259763000,319751000,406625000,588076000,751468000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155593000,155593000,155593000,155593000,155593000,155593000
40,Intangible Assets,- -,- -,- -,- -,- -,17000000,14600000,82944000,2914000,26066000,25085000,14220000,11097000,8715000,406000,4339000,13879000,10432000,8217000,- -,- -,- -,- -,270437000,236901000,215364000,193828000,172291000,150755000
41,Intangible Assets,- -,- -,- -,- -,- -,17000000,14600000,82944000,2914000,26066000,25085000,14220000,11097000,8715000,406000,4339000,13879000,10432000,8217000,- -,- -,- -,- -,426030000,392494000,370957000,349421000,327884000,306348000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,11000000,1000000,20000000,3513000,- -,- -,- -,15000000,14000000,35248000,31987000,134356000,99199000,133657000,222301000,221266000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,467538000
44,Other Non-Current Assets,- -,- -,- -,800000,18000000,27500000,30500000,57033000,63497000,35515000,16196000,11427000,368000,237000,5934000,-241000,37191000,18891000,3536000,14557000,31921000,35065000,43811000,18723000,11115000,23601000,55559000,62763000,68058000
45,Total Non-Current Assets,- -,- -,- -,23700000,54900000,98900000,112400000,238925000,114338000,93368000,68618000,35606000,20132000,25842000,11283000,26894000,56335000,34127000,18184000,20905000,73769000,130855000,165065000,644419000,797728000,813508000,945262000,1201024000,1814678000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,66900000,193100000,230300000,221900000,886820000,705559000,552139000,379545000,516919000,374108000,353603000,275695000,232388000,712390000,489581000,328962000,330419000,629568000,830069000,1007440000,1638597000,2302582000,2645762000,3426750000,3560918000,4933352000
48,Accounts Payable,- -,- -,- -,4700000,5500000,8200000,6500000,17497000,7347000,9073000,6450000,2321000,3573000,5916000,7806000,15679000,20964000,10773000,14939000,13961000,19102000,24462000,30085000,75599000,67671000,103827000,83647000,98767000,172110000
49,Short-Term Debt,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298193000,- -,- -,85640000,619893000,651481000,7393000,18696000,28307000,14958000,2635000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,24045000,11662000,6401000,1807000,604000,22883000,649000,62000,67030000,66973000,69303000,66079000,12890000,12880000,12512000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,16300000,41100000,41700000,45000000,58815000,54716000,56958000,44575000,27353000,23680000,20541000,28140000,34596000,44832000,35827000,-246821000,56034000,76050000,98533000,-494483000,-453579000,300332000,302754000,401386000,517470000,679563000
53,Total Current Liabilities,- -,- -,- -,21100000,46600000,49900000,51500000,76312000,86108000,77693000,57426000,31481000,27857000,49340000,36595000,50337000,132826000,113573000,135614000,136074000,108042000,221515000,168007000,273501000,375396000,425277000,513340000,631195000,854308000
54,Long-Term Debt,- -,- -,- -,- -,- -,800000,200000,187814000,179248000,172036000,167786000,378766000,341862000,371103000,386556000,396167000,443138000,293432000,316153000,331076000,661567000,603478000,619893000,651481000,16608000,17434000,18300000,32573000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238169000,171220000,104272000,38226000,25369000,12511000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,895000,19641000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,600000,500000,- -,-100000,- -,- -,- -,- -,28155000,23786000,18068000,12061000,6634000,641000,- -,- -,- -,26803000,54552000,48385000,294148000,279949000,277084000,296704000,285882000,309040000
58,Total Non-Current Liabilities,- -,- -,- -,600000,500000,800000,100000,187814000,179248000,172036000,167786000,406921000,365648000,389171000,398617000,402801000,681948000,464652000,420425000,369302000,714634000,690182000,668278000,945629000,296557000,294518000,315004000,318455000,309040000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18696000,41925000,47531000,- -
61,Total Liabilities,- -,- -,- -,21700000,47100000,50700000,51600000,264126000,265356000,249729000,225212000,438402000,393505000,438511000,435212000,453138000,814774000,578225000,556039000,505376000,822676000,911697000,836285000,1219130000,671953000,719795000,828344000,949650000,1163348000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,66000,67000,67000,73000,83000,84000,84000,85000,97000,119000,123000,126000,133000,163000,171000,187000,189000,211000,213000,216000,219000,221000
64,Retained Earnings,- -,- -,- -,-36500000,-26100000,-28400000,-55200000,-84904000,-268139000,-405024000,-571487000,-736304000,-839347000,-913513000,-1000394000,-1179314000,-1391184000,-1423030000,-1609570000,-1653890000,-1737037000,-1785518000,-1778987000,-1674765000,-1990005000,-1877759000,-1430758000,-1726455000,-777874000
65,Other Comprehensive Income/Loss,- -,- -,- -,-9600000,-19800000,-36000000,-53100000,-80706000,-87505000,-796000,-1215000,-2412000,1228000,-415000,-528000,-2747000,707000,1986000,1642000,1878000,1993000,1815000,-809000,-2886000,-7010000,-10165000,-15542000,-15360000,-19454000
66,Other Total Stockholders Equity,- -,- -,- -,91300000,191900000,244000000,278600000,788238000,795780000,708163000,726962000,817150000,818638000,828936000,841320000,961214000,1287974000,1332277000,1380725000,1476922000,1541773000,1701904000,1950764000,2096929000,3627433000,3813678000,4044490000,4352864000,4567111000
67,Total Stockholders Equity,- -,- -,- -,45200000,146000000,179600000,170300000,622694000,440203000,302410000,154333000,78517000,-19397000,-84908000,-159517000,-220750000,-102384000,-88644000,-227077000,-174957000,-193108000,-81628000,171155000,419467000,1630629000,1925967000,2598406000,2611268000,3770004000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,66900000,193100000,230300000,221900000,886820000,705559000,552139000,379545000,516919000,374108000,353603000,275695000,232388000,712390000,489581000,328962000,330419000,629568000,830069000,1007440000,1638597000,2302582000,2645762000,3426750000,3560918000,4933352000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,66900000,193100000,230300000,221900000,886820000,705559000,552139000,379545000,516919000,374108000,353603000,275695000,232388000,712390000,489581000,328962000,330419000,629568000,830069000,1007440000,1638597000,2302582000,2645762000,3426750000,3560918000,4933352000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879169/000102140803005282/d10k.htm,https://www.sec.gov/Archives/edgar/data/879169/000119312504042081/d10k.htm,https://www.sec.gov/Archives/edgar/data/879169/000119312505047638/d10k.htm,https://www.sec.gov/Archives/edgar/data/879169/000110465906013846/a05-20227_210k.htm,https://www.sec.gov/Archives/edgar/data/879169/000110465907015059/a07-5374_110k.htm,https://www.sec.gov/Archives/edgar/data/879169/000104746908002303/a2182995z10-k.htm,https://www.sec.gov/Archives/edgar/data/879169/000104746909002189/0001047469-09-002189-index.html,https://www.sec.gov/Archives/edgar/data/879169/000104746910001834/0001047469-10-001834-index.html,https://www.sec.gov/Archives/edgar/data/879169/000104746911001198/a2202084z10-k.htm,https://www.sec.gov/Archives/edgar/data/879169/000104746912001295/0001047469-12-001295-index.html,https://www.sec.gov/Archives/edgar/data/879169/000104746913001393/0001047469-13-001393-index.html,https://www.sec.gov/Archives/edgar/data/879169/000104746914001174/a2218324z10-k.htm,https://www.sec.gov/Archives/edgar/data/879169/000104746915000858/a2223029z10-k.htm,https://www.sec.gov/Archives/edgar/data/879169/000155837016003196/0001558370-16-003196-index.html,https://www.sec.gov/Archives/edgar/data/879169/000155837017000594/0001558370-17-000594-index.html,https://www.sec.gov/Archives/edgar/data/879169/000155837018000722/0001558370-18-000722-index.html,https://www.sec.gov/Archives/edgar/data/879169/000155837019000682/0001558370-19-000682-index.html,https://www.sec.gov/Archives/edgar/data/879169/000155837020000774/0001558370-20-000774-index.html,https://www.sec.gov/Archives/edgar/data/879169/000155837021000825/0001558370-21-000825-index.htm,https://www.sec.gov/Archives/edgar/data/879169/000155837022000902/0001558370-22-000902-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4900000,-11500000,-10100000,-6800000,10400000,3500000,-26800000,-29735000,-183235000,-136885000,-166463000,-164817000,-103043000,-74166000,-86881000,-178920000,-211870000,-31846000,-186540000,-44320000,-83147000,-48481000,6531000,104222000,-313142000,109493000,446906000,-295697000,948581000
74,Depreciation and Amortization,400000,900000,2600000,6500000,10400000,17800000,24700000,34842000,47665000,23206000,17685000,13913000,8192000,7411000,12963000,13071000,16690000,24485000,26990000,- -,- -,- -,- -,58425000,52178000,54969000,54533000,51807000,57844000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-459000,-377000,-350000,-465604000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9980000,14856000,28983000,38493000,38398000,62156000,69872000,96201000,133055000,148153000,166589000,177877000,183006000
77,Change in Working Capital,-100000,- -,- -,22100000,69500000,-10100000,-23500000,513583000,-66470000,-124035000,-127577000,196331000,-123713000,-47698000,-50604000,-72660000,368072000,-181348000,-166717000,-1724000,274317000,29942000,196669000,46309000,408781000,277519000,561171000,-239449000,535667000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-162611000,157960000,-714000,-64536000,35577000,-22559000,-56517000,-23947000,-117541000,-41299000,-1211000,-173185000,-134306000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3536000,-5217000,-6590000,-4093000,98000,4047000,4851000,4043000,-6100000,-19468000,-20965000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4166000,-978000,5141000,5360000,5623000,43758000,-7928000,36156000,-20180000,15120000,73343000
81,Other Working Capital,- -,- -,- -,22100000,91600000,81500000,58000000,571583000,505113000,381078000,253501000,449832000,326119000,278421000,227817000,155157000,523229000,341881000,175164000,173440000,447757000,477699000,674368000,720677000,1129458000,1406977000,1968148000,1728699000,2264366000
82,Other Non-Cash Items,200000,4300000,-1500000,-5800000,-71600000,25000000,4200000,-526034000,155036000,179448000,158023000,-160094000,116692000,64086000,31828000,97649000,-170514000,271791000,135569000,-87279000,-220388000,-17361000,-186536000,-401000,-373860000,-253448000,-518166000,181213000,-510006000
83,Cash Provided by Operating Activities,-4400000,-6300000,-9000000,16000000,18700000,36200000,-21400000,-7344000,-47004000,-58266000,-118332000,-114667000,-101872000,-50367000,-92694000,-140860000,12358000,97938000,-161715000,-94830000,9180000,26256000,86536000,304756000,-92988000,336227000,710656000,-124599000,749488000
84,CAPEX,-400000,-2600000,-7900000,-20200000,-26100000,-34700000,-34800000,-96376000,-12919000,-11890000,-9738000,-1391000,-1633000,-1568000,-1153000,-698000,-387000,-4109000,-3799000,-2839000,-4267000,-27876000,-26003000,-120277000,-111021000,-73483000,-78064000,-187379000,-181006000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-749352000,-5725000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-142856000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-26200000,-74000000,-16500000,-61700000,-98500000,-27200000,-832451000,-916385000,-5000000,-575483000,-830494000,-348540000,-511408000,-45024000,- -,- -,- -,- -,-9000,-33713000,-134091000,-147981000,-57372000,-384671000,-168868000,-374809000,-612342000,-33510000
87,Sales/Maturities of Investments,700000,7900000,61700000,16300000,26700000,95000000,53300000,395134000,903447000,808620000,717297000,753185000,365642000,539011000,216539000,106591000,16839000,19313000,1298000,860000,583000,23528000,68974000,88017000,145714000,155928000,365419000,530720000,241984000
88,Other Investing Activites,- -,- -,- -,- -,-4300000,-7200000,- -,- -,- -,-1150000,- -,1628000,59000,- -,- -,- -,-387000,-4109000,-3799000,-2839000,-4267000,-27876000,-26003000,-120277000,-111021000,-73483000,-78064000,-187379000,-443271000
89,Cash Used for Investing Activites,300000,-20900000,-20200000,-20400000,-65400000,-45400000,-8700000,-533693000,-25857000,41228000,126351000,-77072000,15528000,26035000,170362000,105893000,16452000,15204000,-2501000,-1988000,-37397000,-138439000,-105010000,-232488000,-349978000,-86423000,-87454000,-269001000,-207699000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-511478000,-265000,-1699000,-445000,-8934000,- -,-822000,-836000,-2417000
91,Common Stock Issued,15100000,19200000,32800000,1600000,90200000,4800000,13600000,434652000,11268000,7182000,1997000,90150000,1489000,1408000,2325000,104880000,134397000,13590000,19468000,- -,- -,- -,- -,- -,649387000,- -,- -,- -,58626000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5723000,-105000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-200000,-600000,-100000,-100000,- -,-800000,-1100000,184468000,-5498000,-4618000,-3059000,204088000,-35837000,30291000,10000000,- -,107857000,-158644000,- -,47711000,787067000,93322000,89315000,59090000,49718000,14657000,46533000,72545000,-50033000
95,Cash Used/Provided by Financing Activities,14900000,18600000,32700000,1500000,90200000,4000000,12500000,619120000,5770000,-3159000,-1167000,294238000,-34348000,31699000,12325000,104880000,242254000,-145054000,19468000,47711000,275589000,93057000,87616000,58645000,690171000,14657000,45711000,71709000,6176000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-400000,-200000,-148000,4000,-243000,-82000,71000,6000,- -,- -,- -,- -,- -,- -,- -,- -,-6000,- -,-9000,-39000,91000,-192000,2949000,-3570000
97,Net Change In Cash,14900000,18600000,32700000,- -,- -,- -,-17800000,77935000,-66787000,-20440000,6770000,102482000,-120686000,7367000,89993000,69913000,271057000,-31912000,-144748000,-49107000,247372000,-19132000,69142000,130904000,247166000,264552000,668721000,-318942000,544395000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,32200000,110155000,43368000,22928000,29698000,132180000,11494000,18861000,108854000,178767000,449824000,417912000,273164000,224057000,471429000,452297000,521439000,652343000,899509000,1164986000,1833707000,1514765000,2059160000
