,https://roic.ai/company/WINA,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,300000,1400000,2000000,2600000,3200000,7200000,-8600000,-400000,3200000,3800000,4000000,4100000,2100000,3300000,3000000,1100000,5800000,10300000,14095000,12900000,18200000,20066500,21799700,22217600,24580500,30125500,32149300,29823300,39919900
24,Net Income ratio,0.0058,0.0167,0.0200,0.0284,0.0360,0.0747,-0.1291,-0.0084,0.0886,0.1138,0.1282,0.1507,0.0790,0.1204,0.0962,0.0311,0.1555,0.2500,0.2746,0.2486,0.3268,0.3280,0.3139,0.3337,0.3524,0.4155,0.4386,0.4514,0.5104
25,EPS,0.06,0.19,0.28,0.40,0.53,1.28,-1.65,-0.07,0.59,0.69,0.71,0.70,0.35,0.59,0.56,0.21,1.10,2.05,2.83,2.57,3.60,3.96,4.89,5.39,6.06,7.77,8.37,8.02,10.73
26,EPS Diluted,0.06,0.19,0.28,0.40,0.52,1.24,-1.65,-0.07,0.55,0.63,0.63,0.63,0.33,0.57,0.54,0.21,1.10,1.98,2.69,2.47,3.48,3.85,4.69,5.13,5.66,7.26,7.84,7.72,10.33
27,Weighted Average Shares Outstanding,5000000,7368421,7142857,6516000,6116200,5664000,5205900,5382200,5388574,5575186,5665700,5872084,6018197,5791503,5472020,5504705,5303177,5044995,4979036,5027509,5068975,5069391,4458927,4122854,4056049,3874757,3840638,3719485,3719485
28,Weighted Average Shares Outstanding Diluted,5000000,7368421,7142857,6538462,6273500,5832700,5205900,5382200,5792041,6079400,6321127,6499935,6358167,6006969,5591087,5531216,5337668,5210614,5238412,5237671,5241121,5216914,4651527,4330490,4339944,4149779,4100629,3863264,3863264
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/908315/000104596903000669/0001045969-03-000669-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465904008081/0001104659-04-008081-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465905011426/0001104659-05-011426-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465906019926/0001104659-06-019926-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465907020753/0001104659-07-020753-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465908018367/0001104659-08-018367-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465909017637/0001104659-09-017637-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465910013647/0001104659-10-013647-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465911013564/0001104659-11-013564-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465912018424/0001104659-12-018424-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465913020441/0001104659-13-020441-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465914018678/0001104659-14-018678-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465915018761/0001104659-15-018761-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465916103213/0001104659-16-103213-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000155837017001591/0001558370-17-001591-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000090831518000009/0000908315-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000090831519000008/0000908315-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000090831520000009/0000908315-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000090831521000011/0000908315-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000090831522000008/0000908315-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4900000,1100000,100000,1390000,3090000,2420000,- -,2010000,3100000,4730000,4150000,5980000,2947700,1040000,1250000,2140000,9490000,2260000,9020100,2240000,10650000,2016600,1006700,1252900,1073200,2496000,25130300,6659000,11407000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,110000,1880000,2340000,1620000,- -,5780000,10450000,18320000,20850000,14020000,12790700,13550000,17980000,20298400,17969300,17204700,15332300,18547500,12800100,8687500,2890600
33,Cash and Short-Term Investments,4900000,1100000,100000,1390000,3090000,2420000,- -,2010000,3210000,6610000,6490000,7600000,2947700,6820000,11700000,20460000,30340000,16280000,21810800,15790000,28630000,22315000,18976000,18457600,16405500,21043500,37930400,15346500,14297600
34,Net Receivables,11100000,16700000,16400000,13170000,12880000,13890000,11170000,6170000,3310000,2610000,2340000,2370000,2456800,3020000,2480000,2860000,1760000,2140000,1432700,2640000,1370000,5492100,4707300,3158000,3957800,2118600,2167400,1803100,1770900
35,Inventory,2100000,3000000,4300000,2720000,5730000,10120000,1960000,1370000,1080000,720000,530000,420000,67000,70000,150000,140000,110000,90000,68500,70000,100000,93500,45200,87500,97100,107600,86000,106600,325200
36,Other Current Assets,9400000,9200000,2800000,2590000,3480000,4160000,8840000,2680000,2280000,1380000,920000,800000,3059000,1620000,1310000,1230000,400000,370000,362000,430000,580000,540500,702800,1090700,991600,981600,1018100,1020200,1038600
37,Total Current Assets,27500000,30000000,23600000,19870000,25180000,30590000,21970000,12230000,9880000,11320000,10280000,11190000,8530500,11530000,15640000,24690000,32610000,18880000,23674000,18930000,30680000,28441100,24431300,22793800,21452000,24251300,41201900,18276400,17432300
38,PP&E,1900000,5400000,6900000,5980000,5620000,5960000,4370000,1450000,740000,350000,200000,290000,448600,570000,670000,510000,1840000,1790000,1474800,1230000,1380000,1420300,1121500,769600,486800,866200,6367800,5559100,4958900
39,Goodwill,- -,- -,- -,1140000,5270000,4820000,1810000,530000,490000,540000,600000,660000,- -,- -,- -,- -,- -,- -,- -,610000,610000,607500,607500,607500,607500,607500,607500,607500,607500
40,Intangible Assets,2200000,1000000,1100000,1860000,1510000,560000,330000,190000,40000,10000,- -,- -,607500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,2200000,1000000,1100000,3000000,6780000,5380000,2140000,720000,530000,550000,600000,660000,607500,- -,- -,- -,- -,- -,- -,610000,610000,607500,607500,607500,607500,607500,607500,607500,607500
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,780000,- -,- -,- -,- -,- -,- -,- -,21656600,20776300,21919400,22697100,20301400,24188900,21246000,24410700,25945300,20455500,12505500,4573600,229300
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375400,- -,- -,- -,210000,660000,- -,2590000,1440000,5756900,3614800,- -,320500,1148300,- -,1890700,3252700
44,Other Non-Current Assets,200000,3200000,2400000,330000,180000,1210000,1160000,1090000,360000,3970000,8080000,12630000,16586700,23910000,40640000,32910000,483400,13700,677500,-2517100,-1371400,-5686900,-3614800,- -,29900,-665700,1159500,435900,418300
45,Total Non-Current Assets,4300000,9600000,10400000,9310000,12580000,12550000,7670000,3260000,2410000,4870000,8880000,13580000,18018200,24480000,41310000,33420000,24190000,23240000,24071700,24610000,22360000,26286700,22975000,25787800,27390000,22411800,20640300,13066800,9466700
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,31800000,39600000,34000000,29180000,37760000,43140000,29640000,15490000,12290000,16190000,19160000,24770000,26548700,36010000,56950000,58110000,56800000,42120000,47745700,43540000,53040000,54727800,47406300,48581600,48842000,46663100,61842200,31343200,26899000
48,Accounts Payable,6100000,9800000,7100000,5670000,6610000,11310000,5350000,2860000,1800000,1640000,1490000,1060000,1156400,1610000,1410000,1110000,1420000,1270000,1460300,2200000,2440000,1955500,1643300,1692000,2073000,1351800,1015000,1769600,2099000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3839600,11089500,12365600,14122600,- -,- -,10800000,424900,18727300,2028700,1990000,3806900,6258000,6416800,5332700,4232600
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,1139800000,602100000,492600000,829100,191500000,208200000,216900000,1188800000,1041700000,1212400,1641700,2199900,2142600,1963200,1864700,1736200,1744900,1717000,1657400,1645000
52,Other Current Liabilities,4400000,7700000,5500000,5680000,9430000,18180000,13880000,4090000,3440000,-1137250000,-599950000,-490680000,1751100,-187719600,-204459500,-211845600,-1184282600,-1027690000,5106300,5868300,5445200,1759200,1875700,1811100,1816000,3128600,2783100,2624000,2001000
53,Total Current Liabilities,10500000,17500000,12600000,11350000,16040000,29490000,19230000,6950000,5240000,4190000,3640000,2980000,3736600,9230000,16240000,18530000,20060000,15280000,7779000,20510000,10510000,24584600,7510900,7357800,9432100,12483300,11931900,11383700,9977600
54,Long-Term Debt,1400000,400000,300000,130000,4270000,3490000,7530000,4620000,160000,- -,- -,- -,- -,12140000,26170000,22070000,17360000,- -,- -,180000,280000,25800,64316500,43326500,65362600,28328400,22705700,23514100,48186500
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,844300,953000,1180700,1347800,1421600,1423800,1465500,8432400,7858500,7050900,6863500
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2355100,2594300,1436800,1344300,3614800,3331900,1956500,1148300,7858500,- -,- -
57,Other Non-Current Liabilities,100000,- -,-100000,- -,-10000,- -,-10000,460000,270000,90000,110000,230000,525200,480000,1870000,3620000,4060000,3830000,1658600,1372700,1482500,5815800,1216300,993600,6338800,1079200,-960700,773200,954800
58,Total Non-Current Liabilities,1500000,400000,200000,130000,4260000,3490000,7520000,5080000,430000,90000,110000,230000,525200,12620000,28040000,25690000,21420000,3830000,4858000,5100000,4380000,8533700,70569200,49075800,75123400,38988300,37462000,31338200,56004800
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1480200,- -,- -,1074700,702300,253100,38700,- -,1692400,5745400,9363700,6978000,4810100
61,Total Liabilities,12000000,17900000,12800000,11480000,20300000,32980000,26750000,12030000,5670000,4280000,3750000,3210000,4261800,21850000,44280000,44220000,41480000,19110000,12637000,25610000,14890000,33118300,78080100,56433600,84555500,51471600,49393900,42721900,65982400
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,10950000,7480000,- -,1310000,1420000,1380000,3720000,3000000,5190000,3840500,550000,310000,430000,- -,510000,- -,- -,2950000,422400,406500,2976100,1476200,4425600,11929300,9281800,- -
64,Retained Earnings,800000,2100000,4200000,6750000,9980000,10170000,1580000,1230000,4420000,8250000,12260000,16350000,18446400,13610000,12360000,13500000,15320000,22500000,34461900,17930000,35200000,21224200,-31047400,-10818200,-37189700,-9234100,519000,-20660500,-39083400
65,Other Comprehensive Income/Loss,-300000,-900000,-1800000,-2880000,-4100000,-4940000,-5590000,-5230000,-5680000,-73900,144500,25600,-5932300,-1910000,-2210000,-38500,9600,- -,17000,-4000,-4100,-37100,-32900,-9900,- -,-4118800,-4093400,- -,- -
66,Other Total Stockholders Equity,19300000,20500000,18800000,2880000,4090000,4940000,5590000,6050000,6500000,4600,700,-7300,5932300,3505000,2208700,-300,400,3000,629800,4000,-1200,- -,- -,- -,5035300,4118800,4093400,- -,- -
67,Total Stockholders Equity,19800000,21700000,21200000,17700000,17450000,10170000,2890000,3470000,6620000,11900700,15405200,21558300,22286900,15755000,12668700,13891200,15328700,23013000,35108700,17928000,38144700,21609500,-30673800,-7852000,-30678200,-4808500,12448300,-11378700,-39083400
68,Total Liabilities And Stockholders Equity,31800000,39600000,34000000,29180000,37750000,43150000,29640000,15500000,12290000,16180700,19155200,24768300,26548700,37605000,56948700,58111200,56808700,42123000,47745700,43538000,53034700,54727800,47406300,48581600,53877300,46663100,61842200,31343200,26899000
69,Minority Interest,- -,- -,- -,- -,10000,-10000,- -,-10000,- -,9300,4800,1700,- -,-1595000,1300,-1200,-8700,-3000,- -,2000,5300,- -,- -,- -,-5035300,- -,- -,- -,- -
70,Total Liabilities & Equity,31800000,39600000,34000000,29180000,37760000,43140000,29640000,15490000,12290000,16190000,19160000,24770000,26548700,36010000,56950000,58110000,56800000,42120000,47745700,43540000,53040000,54727800,47406300,48581600,48842000,46663100,61842200,31343200,26899000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/908315/000104596903000669/0001045969-03-000669-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465904008081/0001104659-04-008081-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465905011426/0001104659-05-011426-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465906019926/0001104659-06-019926-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465907020753/0001104659-07-020753-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465908018367/0001104659-08-018367-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465909017637/0001104659-09-017637-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465910013647/0001104659-10-013647-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465911013564/0001104659-11-013564-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465912018424/0001104659-12-018424-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465913020441/0001104659-13-020441-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465914018678/0001104659-14-018678-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465915018761/0001104659-15-018761-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000110465916103213/0001104659-16-103213-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000155837017001591/0001558370-17-001591-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000090831518000009/0000908315-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000090831519000008/0000908315-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000090831520000009/0000908315-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000090831521000011/0000908315-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/908315/000090831522000008/0000908315-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,300000,1400000,2000000,2600000,3200000,7200000,-8600000,-400000,3200000,3800000,4000000,4100000,2100000,3300000,3000000,1100000,5800000,10300000,14095000,12900000,18200000,20066500,21799700,22217600,24580500,30125500,32149300,29823300,39919900
74,Depreciation and Amortization,800000,1300000,1800000,1790000,1880000,2080000,2310000,2230000,950000,530000,200000,120000,178200,200000,310000,390000,530000,470000,479100,430000,430000,412000,432600,420500,355400,314100,400100,853600,674900
75,Deferred Income Tax,-200000,-800000,-400000,-280000,240000,-210000,-380000,-220000,690000,460000,300000,150000,- -,80000,-160000,690000,1810000,1220000,3082100,320000,-500000,111900,-2142100,-282900,-1370300,827800,-1815300,-1223700,-1362000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,16600000,196000000,378900000,- -,- -,688500000,830200000,- -,- -,755700,930200,1153600,1417200,1694800,1776600,1956600,1976100,1666400,1315200,1435500
77,Change in Working Capital,-2500000,-4500000,-1500000,-2480000,620000,-8040000,1640000,2540000,-640000,2490000,-490000,1570000,-3416100,-2493900,-2900000,6760000,6390000,-8950000,12295000,-17475000,21750000,-16313500,13063900,-1484400,-3416100,-251900,17502000,-22377300,5388100
78,Accounts Receivable,- -,- -,- -,3200000,290000,-1010000,2720000,5000000,2860000,690500000,338700000,329500000,- -,2203500000,-78700000,269900000,1761100000,1841300000,- -,79100,31600,-122700,-88700,-62300,-316800,242900,-116400,87600,478500
79,Inventory,-1100000,-900000,-1300000,1570000,-3010000,-4390000,8160000,590000,290000,363300000,192300000,109000000,352600,68700000,-76300000,3500000,111400000,85900000,17400,-2700,-25500,3200,48300,-42300,-9600,-10500,21600,-20600,-218600
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307000,-141000,186100,743400,237700,-485900,-312200,48700,381000,-721200,-336800,754600,329400
81,Other Working Capital,17000000,12500000,11000000,8520000,9140000,1100000,2740000,5280000,4640000,7130000,6640000,8210000,4793900,2300000,-600000,6160000,12550000,3600000,15895000,-1580000,20170000,3856500,16920400,15436000,12019900,11768000,29270000,6892700,-4172300
82,Other Non-Cash Items,200000,5200000,-3900000,5820000,150000,2150000,6410000,6040000,3240000,-18520000,-194780000,-380050000,6257700,4003900,-682070000,-830160000,-860000,9360000,-10119100,21064800,-19383600,12288900,-12523100,3014900,3101600,1945400,744700,34830200,2289800
83,Cash Provided by Operating Activities,-1400000,2600000,-2000000,7450000,6090000,3180000,1380000,10190000,7440000,5360000,5230000,4790000,5119800,5090000,6680000,8980000,13670000,12400000,20587800,18170000,21650000,17983000,22325800,25662300,25207700,34937000,50647200,43221300,48346200
84,CAPEX,-1300000,-4000000,-2300000,-300000,-370000,-2300000,-2810000,-730000,-50000,-130100000,-84400000,-225300000,-6558700,573500000,-402700000,-235200000,1843500000,1785900000,-20546400,-188300,-396400,-452400,-133900,-26279700,-72600,-693500,-169400,-4159100,-283100
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-8000000,-500000,-200000,- -,- -,- -,- -,- -,- -,-4605900000,-4299200000,1093000000,-1811500,- -,- -,-849000000,- -,- -,-2962400,-7220300,-1854900,-11564800,-74853700,- -,-49902500,-1846400,-24028100,- -,- -
87,Sales/Maturities of Investments,- -,1200000,6300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1945200,- -,- -,- -,- -,- -,21256000,- -,- -,- -,- -,52200,- -,- -,- -,- -,- -
88,Other Investing Activites,-1000000,-2300000,- -,370000,-6610000,1370000,-350000,3690000,-890000,4731230000,4379060000,-872130000,848500,-585740000,380180000,1076610000,-1841100000,-1780540000,- -,1258600,-1738700,4967200,79487100,23006800,50060300,2993800,15019100,- -,- -
89,Cash Used for Investing Activites,-10300000,-5600000,3800000,70000,-6980000,-930000,-3160000,2960000,-940000,-4770000,-4540000,-4430000,-5576500,-12240000,-22520000,-7590000,2400000,5360000,-2252800,-6150000,-3990000,-7050000,4499500,-3220700,85200,453900,-9178400,-4159100,-283100
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-199500000,1306000000,1935100000,- -,- -,1289500000,1565000000,- -,- -,-11800000,- -,- -,- -,- -,-39800000,13585200000,6727600000,11122300000,-50350000,-4250000
91,Common Stock Issued,17800000,300000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1049100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-2900000,-6080000,-3480000,-14530000,490000,930000,-40000,1240000,-1260000,1480000,-3961400,-11490000,-5460000,-1720000,-5230000,-3080000,-3527200,-5790000,1380000,-11146800,-74580100,-1573900,-47592800,973300,-13109800,-48987500,-44217500
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-547600,-26120000,-960000,-26930200,-1228200,-1526800,-1765000,-2169900,-3449100,-14230800,-33162600
94,Other Financing Activites,-1600000,-1100000,-300000,-150000,6070000,11620000,-1130000,-12080000,-5370000,199300000,-1306000000,-1935100000,333200,16730000,-1267980000,-1563790000,-3490000,-21610000,4302800,13100000,-9670000,18591100,47900000,20705300,-13561264800,-6760381500,-11124605600,56009800,38320000
95,Cash Used/Provided by Financing Activities,16200000,-800000,-2900000,-6230000,2590000,-2910000,-640000,-11150000,-5410000,1040000,-1260000,1480000,-2579100,5240000,16060000,-510000,-8720000,-24990000,-11572000,-18810000,-9250000,-19485900,-27908300,-22195400,-25422600,-33978100,-18864500,-57558500,-43310100
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,1290000,1700000,-670000,-2420000,2010000,1090000,1630000,-580000,1830000,-3035800,-1910000,220000,890000,7350000,-7230000,6763000,-6790000,8410000,-8552900,-1083000,246200,-129700,1412800,22604300,-18496300,4753000
98,Cash at the End of Period,- -,- -,- -,1390000,3090000,2420000,- -,2010000,3100000,4730000,4150000,5980000,2947700,1040000,1260000,2140000,9490000,2260000,9020100,2230000,10650000,2097100,933600,1252900,1123200,2486000,25100300,6684000,11437000
99,Cash at the Beginning of Period,400000,4900000,1100000,100000,1390000,3090000,2420000,- -,2010000,3100000,4730000,4150000,5983500,2950000,1040000,1250000,2140000,9490000,2257100,9020000,2240000,10650000,2016600,1006700,1252900,1073200,2496000,25180300,6684000
100,Free Cash Flow,-2700000,-1400000,-4300000,7150000,5720000,880000,-1430000,9460000,7390000,5230000,5150000,2740000,-1438900,-11230000,-27280000,-13110000,-2580000,-3300000,41400,-5810000,530000,-10016800,-900,-617400,-268100,11138700,41468800,39062200,48063100
