,https://roic.ai/company/CAJ,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,868991239830,867752925256,933571328032,1021225105688,1074834725502,1568018685120,1732716239449,1768220853888,1737572795850,1821273636714,2014823496407,2337999344302,2502050113119,2519712712956,2452449250875,2535873029300,2618736784814,2567376359281,2749766325018,2925487145341,3176089825070,3449556478340,3737118649160,3594533417490,2992146000000,3319349000000,3179362000000,3155932000000,3394103000000,3363763000000,3445061000000,3172621000000,3714624000000,3608985000000,3418632000000,3049696000000,3231439000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5202000000,6022000000,8432000000,6792000000,6579000000,7906000000,5501000000,4762000000,6012000000,6604000000,5526000000,2923000000,2232000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336000000,1931000000,988000000,1022000000,550000000,500000000,584000000,1061000000,818000000,797000000,1038000000,854000000,647000000
14,Depreciation and Amortization,50617927185,57418254838,59167790572,60816909384,58393216598,81161033610,91884669035,99178814304,105444073320,108975637878,114822420443,119289233080,140661601335,158898338364,158513148495,146472282900,151894159533,163578450235,184013411864,190109588210,226298319320,262246287590,342796473770,340991662650,315393000000,276193000000,261343000000,258133000000,275173000000,263480000000,273327000000,250096000000,261881000000,251554000000,237327000000,227825000000,221246000000
15,EBITDA,133135380420,86382716353,97742810200,142031491736,131977580118,228692007930,224983141353,198420028768,163802144805,184489215792,228695810010,294161678850,370219242119,388148525828,313079062920,367785254950,433855858649,485706962635,623374072101,720266076021,824051865290,965775819890,1097909932130,810479517750,531498000000,664887000000,631376000000,593831000000,614294000000,636777000000,610225000000,484488000000,602646000000,601256000000,419693000000,346334000000,508477000000
16,EBITDA ratio,0.1390,0.0962,0.0997,0.1280,0.1122,0.1324,0.1203,0.1037,0.0892,0.0955,0.1054,0.1149,0.1333,0.1398,0.1191,0.1322,0.1496,0.1669,0.1945,0.2105,0.2192,0.2324,0.2442,0.1982,0.1656,0.1794,0.1775,0.1707,0.1646,0.1708,0.1606,0.1424,0.1477,0.1521,0.1168,0.1096,0.1447
17,Operating Income,89017734015,30368799043,46467296228,88197682440,100962920650,158685358140,138170556020,146003894368,98524585020,110647745574,154073099608,221114429605,275699354360,256126302772,176500673700,245954240300,281087949747,342834652859,455437336455,536505143830,583934702880,706981707670,759248922830,495550333710,217055000000,387552000000,378071000000,323856000000,337277000000,363489000000,355210000000,228866000000,331479000000,342952000000,174667000000,110547000000,281918000000
18,Operating Income ratio,0.0929,0.0338,0.0474,0.0795,0.0859,0.0919,0.0739,0.0763,0.0537,0.0573,0.0710,0.0864,0.0993,0.0923,0.0671,0.0884,0.0969,0.1178,0.1421,0.1568,0.1553,0.1701,0.1689,0.1212,0.0676,0.1045,0.1063,0.0931,0.0904,0.0975,0.0935,0.0673,0.0812,0.0868,0.0486,0.0350,0.0802
19,Total Other Income Expenses (Gains),-6500280780,-1404337528,-7892276600,-6983100088,-27378557130,-11154383820,-5072083702,-46762679904,-40166513535,-35134167660,-40199710041,-46241983835,-46141713576,-26876115308,-21934759275,-24641268250,-2808451904,-20706140459,-16076676218,8211471580,29055003420,12142134060,11735777550,-14892844920,2300000000,5311000000,-3547000000,18701000000,10327000000,19750000000,-7772000000,15785000000,22405000000,19940000000,21073000000,19733000000,20788000000
20,Income Before Tax,82517453235,28964461515,38575019628,81214582352,73584363520,147530974320,133098472318,99241214464,58358071485,75513577914,113873389567,174872445770,229557640784,229250187464,154565914425,221312972050,278279497843,322128512400,439360660237,544716615410,612989706300,719123841730,770984700380,480657488790,219355000000,392863000000,374524000000,342557000000,347604000000,383239000000,347438000000,244651000000,353884000000,362892000000,195740000000,130280000000,302706000000
21,Income Before Tax Ratio,0.0861,0.0323,0.0394,0.0732,0.0626,0.0854,0.0711,0.0518,0.0318,0.0391,0.0525,0.0683,0.0826,0.0826,0.0588,0.0796,0.0960,0.1107,0.1371,0.1592,0.1630,0.1730,0.1715,0.1175,0.0684,0.1060,0.1053,0.0984,0.0932,0.1028,0.0914,0.0719,0.0867,0.0918,0.0545,0.0412,0.0862
22,Income Tax expense (Gain),45381589890,18128720816,25291711012,44004813840,40255820746,86168293500,80890990075,63336162400,37253632170,44509914384,58757389888,80659480461,110031246121,121631796112,84149712855,87218628550,114847159963,133332340849,163015770310,191413918224,213070025080,248199505050,265116803320,160642943070,84122000000,140160000000,120415000000,110112000000,108088000000,118000000000,116105000000,82681000000,98024000000,96150000000,56223000000,34337000000,71866000000
23,Net Income,37135863345,10835740699,13283308616,37209768512,33328542774,61362680820,52207482243,35905052064,21104439315,31003663530,55115999679,94212965309,119526394663,107618391352,70416201570,134094343500,167114539152,188796171551,276344889927,338742569587,384683520890,455330027250,489996655040,308844912030,131647000000,246603000000,248630000000,224564000000,230483000000,254797000000,220209000000,150650000000,241923000000,252755000000,125105000000,83318000000,214718000000
24,Net Income ratio,0.0388,0.0121,0.0136,0.0335,0.0283,0.0355,0.0279,0.0188,0.0115,0.0160,0.0254,0.0368,0.0430,0.0388,0.0268,0.0482,0.0576,0.0649,0.0862,0.0990,0.1023,0.1095,0.1090,0.0755,0.0410,0.0665,0.0699,0.0645,0.0618,0.0684,0.0579,0.0443,0.0593,0.0640,0.0348,0.0264,0.0611
25,EPS,34.79,11.71,12.96,34.28,28.76,52.50,44.16,31.63,17.87,23.90,41.97,71.21,18.47,84.91,53.72,102.81,128.10,145.17,209.34,258.88,288.82,341.62,377.77,246.64,106.64,199.71,204.49,191.34,200.78,229.03,201.65,137.95,222.88,234.09,116.93,79.37,204.53
26,EPS Diluted,34.79,11.71,12.96,34.28,28.76,52.50,43.33,31.63,17.87,23.90,41.97,71.21,18.05,83.45,52.95,101.37,126.36,143.33,207.30,258.20,288.56,341.51,377.71,246.63,106.64,199.70,204.48,191.34,200.78,229.03,201.65,137.95,222.88,234.08,116.91,79.35,204.53
27,Weighted Average Shares Outstanding,1067350940,925446368,1025112444,1085311003,1158920540,1168898309,1182144777,1135090350,1181284358,1297268033,1313195861,1323088456,1303250814,1267419300,1310720268,1304315836,1304572402,1300489713,1320072865,1308508049,1331906599,1332849674,1297064445,1255626490,1234481836,1234805468,1215854076,1173638549,1147933835,1112504912,1092017955,1092062341,1085439370,1079753008,1069956767,1049802197,1049802197
28,Weighted Average Shares Outstanding Diluted,1067350940,925446368,1025112444,1085311003,1158920540,1168898309,1204878330,1135090350,1181284358,1297268033,1313195861,1323088456,1319340330,1289611478,1329845102,1322825102,1322478346,1317199356,1333071918,1311958746,1333107397,1333278492,1297270553,1255706419,1234481836,1234867301,1215913537,1173638549,1147942301,1112504912,1092052886,1092062341,1085439370,1079802327,1070114940,1050031888,1049802197
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16988/000114554904000738/0001145549-04-000738-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000114554905001055/0001145549-05-001055-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000114554906000484/0001145549-06-000484-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000114554907000503/0001145549-07-000503-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000114554908000570/0001145549-08-000570-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000114554909000526/0001145549-09-000526-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000095012310029721/0000950123-10-029721-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000095012311030452/0000950123-11-030452-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312512138708/0001193125-12-138708-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312513130515/0001193125-13-130515-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312514119655/0001193125-14-119655-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312515107781/0001193125-15-107781-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312516522273/0001193125-16-522273-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312517102636/0001193125-17-102636-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312518100398/0001193125-18-100398-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312519089175/0001193125-19-089175-index.htm,https://www.sec.gov/Archives/edgar/data/16988/000119312520087524/0001193125-20-087524-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,294498832005,262180241449,408042842184,442843885832,447643002062,481253311650,540376799335,535081372000,573770666115,572537637528,623100663412,651971358035,651019296109,490275485396,481675042485,494086081050,504884955113,515966850379,691837345498,875876073786,1006531459940,1155526424710,948362595350,678532544160,795034000000,840579000000,773227000000,666678000000,788909000000,844580000000,633613000000,630193000000,721814000000,520645000000,412814000000,407684000000,401395000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9029553585,10888002250,4759347172,7181137759,1326970560,1533141840,118109770,10475566640,20118475800,7628042520,19089000000,96815000000,125517000000,28322000000,47914000000,71863000000,20651000000,3206000000,1965000000,956000000,1767000000,71000000,3377000000
33,Cash and Short-Term Investments,294498832005,262180241449,408042842184,442843885832,447643002062,481253311650,540376799335,535081372000,573770666115,572537637528,623100663412,651971358035,651019296109,490275485396,490704596070,504974083300,509644302286,523147988138,693164316058,877409215626,1006649569710,1166001991350,968481071150,686160586680,814123000000,937394000000,898744000000,695000000000,836823000000,916443000000,654264000000,633399000000,723779000000,521601000000,414581000000,407755000000,404772000000
34,Net Receivables,167743356795,170642968033,163965081856,194398473904,211066398956,281410719780,284661328162,255366414784,241791474225,280247240454,346179643127,365700406665,447906821099,405021576600,377431249455,479874372850,455418128933,493513709123,540207956320,594711486360,690469715420,761859392000,796915180300,594805696500,556572000000,557504000000,533208000000,573375000000,608741000000,625675000000,588001000000,641458000000,650872000000,612953000000,559836000000,535126000000,508516000000
35,Inventory,235093488210,250833832558,220400930528,278546710512,299468238802,387906588660,486295394542,503669131456,450224318565,447667023516,506916589973,525011873684,568191781348,539459118200,437365806150,490762375100,447105332467,427852705563,445234655100,482572759955,510942865020,539015519840,565329169980,506447537310,373241000000,384777000000,476704000000,551623000000,553773000000,528167000000,501895000000,560736000000,570033000000,611281000000,584756000000,562807000000,650568000000
36,Other Current Assets,34728351945,37885196494,38295754456,47878741896,89982753906,124435157700,140081957021,149049022176,155353672800,162662238546,194396596285,204462673820,221998142358,200927159632,184875763605,196098651050,213781733861,243110815913,256475720266,247543408660,254408444580,315338363970,286800049460,275336010960,273843000000,250754000000,244649000000,262258000000,286605000000,321648000000,313019000000,264155000000,287965000000,304346000000,286792000000,283455000000,314489000000
37,Total Current Assets,732064028955,721542238534,830704609024,963667812144,1048160393726,1275005777790,1451415479060,1443165940416,1421140131705,1463114140044,1670593492797,1747146312204,1889116040914,1635683339828,1490377415280,1671709482300,1625949497547,1687625218737,1935082647743,2202236870600,2462470594730,2782215267160,2617525470890,2062749831450,2017779000000,2130429000000,2153305000000,2082256000000,2285942000000,2391933000000,2057179000000,2099748000000,2232649000000,2050181000000,1845965000000,1789143000000,1878345000000
38,PP&E,215853459605,233742406507,237448247984,256945487080,263078471530,358392251910,442408128421,487544930112,517008541125,554015063586,569923987697,626338097736,701463907578,729061623904,748726901910,771787443700,818936834267,821855310840,848320568641,948825182950,1150625379340,1266353158140,1369285816810,1355793747900,1269785000000,1201968000000,1190836000000,1260364000000,1278730000000,1269529000000,1219652000000,1194976000000,1126620000000,1090992000000,1204089000000,1145041000000,1137194000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55871000000,125189000000,- -,- -,- -,- -,478943000000,936424000000,936722000000,908511000000,898661000000,915564000000,953850000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119051949330,61525000000,27832000000,138030000000,135736000000,145075000000,177288000000,241208000000,446268000000,420972000000,391021000000,347921000000,318497000000,301793000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119051949330,117396000000,153021000000,138030000000,135736000000,145075000000,177288000000,720151000000,1382692000000,1357694000000,1299532000000,1246582000000,1234061000000,1255643000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114066000000,81529000000,51790000000,56617000000,70358000000,65176000000,67862000000,73680000000,48320000000,42556000000,48361000000,49994000000,60967000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,55453012580,64328233811,69597737648,83233036776,113006611398,193234094400,195874877743,219835763680,227171265075,208127643042,224425171068,245714932925,288673441624,307303712676,355026094410,389217427800,392288848406,403282210745,405840980671,387886014289,436769929460,473067066220,540963460400,428350911510,328531000000,416873000000,396766000000,420530000000,462605000000,556692000000,362929000000,387433000000,433008000000,416204000000,423354000000,407375000000,418739000000
45,Total Non-Current Assets,271306472185,298070640318,307045985632,340178523856,376085082928,551626346310,638283006164,707380693792,744179806200,762142706628,794349158765,872053030661,990137349202,1036365336580,1103752996320,1161004871500,1211225682673,1225137521585,1254161549312,1336711197239,1587395308800,1739420224360,1910249277210,1903196608740,1829778000000,1853391000000,1777422000000,1873247000000,1956768000000,2068685000000,2370594000000,3038781000000,2965642000000,2849284000000,2922386000000,2836471000000,2872543000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1003370501140,1019612878852,1137750594656,1303846336000,1424245476654,1826632124100,2089698485224,2150546634208,2165319937905,2225256846672,2464942651562,2619199342865,2879253390116,2672048676408,2594130411600,2832714353800,2837175180220,2912762740323,3189244197056,3538948067839,4049865903530,4521635491520,4527774748100,3965946440190,3847557000000,3983820000000,3930727000000,3955503000000,4242710000000,4460618000000,4427773000000,5138529000000,5198291000000,4899465000000,4768351000000,4625614000000,4750888000000
48,Accounts Payable,- -,- -,- -,- -,241922967018,330329884830,395909863547,336099741792,319881247830,322985516922,385739788882,396752740101,460266208664,394357717368,365589547245,444688934000,353501459103,342053681263,344175777240,459158845964,505864144910,493065875260,515927134960,406374884250,339113000000,383251000000,380532000000,325235000000,307157000000,310214000000,278255000000,372269000000,380654000000,352489000000,305312000000,303809000000,338604000000
49,Short-Term Debt,220909233545,224167377907,225269858092,260681508312,258220753782,366113473800,421657559384,536366815296,390169856400,474341122476,545940326972,568584934989,538947770136,396135027240,299161483725,248704893500,199570701297,128328777580,87100807621,9746562938,5078720110,15356228370,18330166840,5539411830,4869000000,7200000000,8343000000,1866000000,1299000000,1018000000,688000000,1850000000,39328000000,38527000000,73918000000,424542000000,75836000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50105000000,72482000000,45900000000,60057000000,53196000000,57212000000,47431000000,30514000000,77501000000,41264000000,18801000000,18761000000,43081000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,258305910625,232146568407,255855465408,342736068592,120767462238,146431819710,147465211868,147451578080,143512419435,144597503616,173559179225,228912324997,238568876797,232280728656,214347081195,281598121350,298834527443,323298485058,397871328892,501083328860,569407201170,654841955530,726612284310,531147865470,439708000000,506490000000,504973000000,517334000000,539851000000,610147000000,536386000000,609250000000,689498000000,638638000000,581268000000,597838000000,646393000000
53,Total Current Liabilities,479215144170,456313946314,481125323500,603417576904,620911183038,842875178340,965032634799,1019918135168,853563523665,941924143014,1105239295079,1194250000087,1237782855597,1022773473264,879098112165,974991948850,851906687844,793680943900,829147913752,969988737762,1080350066190,1163264059160,1260869586110,943062161550,783690000000,896941000000,893848000000,844435000000,848307000000,921379000000,815329000000,983369000000,1109480000000,1029654000000,960498000000,1326189000000,1060833000000
54,Long-Term Debt,134680200235,168392836312,223545699204,206722329176,241578040314,262697951790,316592968414,285343451648,430280567610,310783111950,298501157161,192324878314,228262847801,177104371540,165702022980,142919355850,95271461620,80521200437,59392173854,28266982038,27165247100,15832390490,8718006180,8445332790,4912000000,4131000000,3368000000,2117000000,1448000000,1148000000,881000000,611289000000,493238000000,361962000000,441028000000,81630000000,245135000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,11074552440,11027241271,10939909564,10907176080,9959758578,11154383820,20950454109,14526757248,24106604400,27480293742,38992790340,65342185941,104668972151,142446829036,144513761340,217301602800,254501982623,308154168933,269443441942,176122516238,132873491250,139396460630,102380687960,166363974960,179555000000,273111000000,319844000000,354649000000,326178000000,397333000000,427100000000,549249000000,499398000000,489936000000,474907000000,433754000000,346491000000
58,Total Non-Current Liabilities,145754752675,179420077583,234485608768,217629505256,251537798892,273852335610,337543422523,299870208896,454387172010,338263405692,337493947501,257667064255,332931819952,319551200576,310215784320,360220958650,349773444243,388675369369,328835615795,204389498276,160038738350,155228851120,111098694140,174809307750,184467000000,277242000000,323212000000,356766000000,327626000000,398481000000,427981000000,1160538000000,992636000000,851898000000,915935000000,515384000000,591626000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115572000000,113937000000,96330000000
61,Total Liabilities,624969896845,635734023897,715610932268,821047082160,872448981930,1116727513950,1302576057322,1319788344064,1307950695675,1280187548706,1442733242580,1451917064342,1570714675549,1342324673840,1189313896485,1335212907500,1201680132087,1182356313269,1157983529548,1174378236038,1240388804540,1318492910280,1371968280250,1117871469300,968157000000,1174183000000,1217060000000,1201201000000,1175933000000,1319860000000,1243310000000,2143907000000,2102116000000,1881552000000,1876433000000,1841573000000,1652459000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164382869625,164809970900,164846503274,165540203373,169268639182,171533864368,174684349830,174632457510,175254278080,174627687690,174762000000,174762000000,174762000000,174762000000,174762000000,174762000000,174762000000,174762000000,174762000000,174762000000,174762000000,174762000000,174762000000
64,Retained Earnings,164533341595,168616253646,173350820028,202484828584,200402415024,279823052010,321402702959,345659446304,353518889340,363295256022,407433396841,489782096288,595853267803,670478756200,737846443230,853390155300,1033416698744,1191004489840,1413587292676,1676855572731,2021448713550,2367954222760,2729294780890,2873683399350,2871437000000,2965237000000,3118302000000,3138976000000,3212692000000,3320392000000,3365158000000,3350728000000,3429312000000,3508908000000,3462182000000,3409371000000,3538037000000
65,Other Comprehensive Income/Loss,-175928895555,-213746555114,-248048182556,-285742939328,-293245186184,-389114301750,-436486533163,-497079674560,-541539243195,-599798964786,-662299764812,-719703970242,-801908454138,-853268240728,-915901468170,-990005930900,-1022375229207,-164773128914,-103507349804,-59306383600,14173172400,46306766170,80920980440,-238830378900,-260818000000,-390459000000,-481773000000,-305586000000,-17555000000,92885000000,35547000000,-133323000000,-76349000000,-201955000000,-240870000000,-255353000000,-83779000000
66,Other Total Stockholders Equity,389796158255,429009156423,496837024916,566057364584,644639265884,819195859890,902206258106,982178518400,1045389596085,1181573006730,1277075776953,1397204152477,1514593900902,1512513487096,1418488670430,1469307251000,1459607075322,383979681139,390356583296,391196090301,398502363980,397476329670,-53313960870,-152379230340,-97272000000,-103758000000,-260159000000,-410126000000,-459637000000,-609855000000,-609052000000,-609038000000,-657095000000,-654113000000,-703479000000,-753749000000,- -
67,Total Stockholders Equity,378400604295,383878854955,422139662388,482799253840,551796494724,709904610150,787122427902,830758290144,857369242230,945069297966,1022209408982,1167282278523,1308538714567,1329724002568,1404816515115,1497501446300,1635495048133,1575751245438,1869705165350,2180279143800,2608808599760,2986369776110,2932156078540,2657101477800,2688109000000,2645782000000,2551132000000,2598026000000,2910262000000,2978184000000,2966415000000,2783129000000,2870630000000,2827602000000,2692595000000,2575031000000,2873773000000
68,Total Liabilities And Stockholders Equity,1003370501140,1019612878852,1137750594656,1303846336000,1424245476654,1826632124100,2089698485224,2150546634208,2165319937905,2225256846672,2464942651562,2619199342865,2879253390116,2672048676408,2594130411600,2832714353800,2837175180220,2758107558707,3027688694898,3354657379838,3849197404300,4304862686390,4304124358790,3774972947100,3656266000000,3819965000000,3768192000000,3799227000000,4086195000000,4298044000000,4209725000000,4927036000000,4972746000000,4709154000000,4569028000000,4416604000000,4526232000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0,154655181616,161555502158,184290688001,200668499230,216772805130,223650389310,190973493090,191291000000,163855000000,162535000000,156276000000,156515000000,162574000000,218048000000,211493000000,225545000000,190311000000,199323000000,209010000000,224656000000
70,Total Liabilities & Equity,1003370501140,1019612878852,1137750594656,1303846336000,1424245476654,1826632124100,2089698485224,2150546634208,2165319937905,2225256846672,2464942651562,2619199342865,2879253390116,2672048676408,2594130411600,2832714353800,2837175180220,2912762740323,3189244197056,3538948067839,4049865903530,4521635491520,4527774748100,3965946440190,3847557000000,3983820000000,3930727000000,3955503000000,4242710000000,4460618000000,4427773000000,5138529000000,5198291000000,4899465000000,4768351000000,4625614000000,4750888000000
