,https://roic.ai/company/QUAD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,18800000,8900000,20500000,25600000,16900000,13100000,9600000,10800000,9000000,64300000,69500000,78700000,55200000,179900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,18800000,8900000,20500000,25600000,16900000,13100000,9600000,10800000,9000000,64300000,69500000,78700000,55200000,179900000
34,Net Receivables,296900000,227200000,786400000,656100000,585100000,698900000,766200000,648700000,563600000,552500000,528700000,456100000,399100000,362000000
35,Inventory,100800000,87300000,247400000,249500000,242900000,272500000,287800000,280100000,265400000,246500000,300600000,210500000,170200000,226200000
36,Other Current Assets,13100000,12700000,157100000,310100000,145100000,89800000,118700000,51700000,64600000,45200000,47800000,165600000,54700000,41000000
37,Total Current Assets,429600000,336100000,1211400000,1241300000,990000000,1074300000,1182300000,991300000,902600000,908500000,946600000,910900000,679200000,809100000
38,PP&E,1810800000,1677300000,2317800000,2123300000,1926400000,1925500000,1855500000,1675800000,1519900000,1377600000,1257400000,1134400000,965200000,852700000
39,Goodwill,39600000,39600000,814700000,787100000,768600000,773100000,775500000,- -,- -,- -,54600000,103000000,103000000,86400000
40,Intangible Assets,9500000,10000000,368300000,295600000,229900000,221800000,149100000,110500000,59700000,43400000,112600000,137200000,104300000,75300000
41,Intangible Assets,49100000,49600000,1183000000,1082700000,998500000,994900000,924600000,110500000,59700000,43400000,167200000,240200000,207300000,161700000
42,Investments,22000000,40700000,82500000,69400000,72000000,57100000,42000000,4400000,3600000,3600000,4000000,3600000,2600000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,14900000,5500000,152300000,218500000,112000000,113900000,72800000,65500000,84300000,119300000,93900000,128000000,73400000,66500000
45,Total Non-Current Assets,1896800000,1773100000,3735600000,3493900000,3108900000,3091400000,2894900000,1856200000,1667500000,1543900000,1522500000,1506200000,1248500000,1080900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2326400000,2109200000,4947000000,4735200000,4098900000,4165700000,4077200000,2847500000,2570100000,2452400000,2469100000,2417100000,1927700000,1890000000
48,Accounts Payable,154900000,105000000,332400000,301900000,285800000,401000000,406900000,358800000,323500000,381600000,511000000,416700000,320000000,367300000
49,Short-Term Debt,- -,- -,102600000,82100000,113300000,127600000,92000000,94600000,84700000,42000000,42900000,40000000,51900000,275500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25300000,20000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66400000
52,Other Current Liabilities,237500000,259400000,467700000,544900000,353700000,360200000,363700000,354000000,366400000,322300000,297400000,356700000,310800000,247900000
53,Total Current Liabilities,392400000,364400000,902700000,928900000,752800000,888800000,862600000,807400000,774600000,745900000,851300000,813400000,682700000,957100000
54,Long-Term Debt,943900000,749700000,1470900000,1381500000,1235500000,1283700000,1328700000,1247000000,1025200000,903500000,882600000,1058500000,959200000,656100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000
56,Deferred Tax Liabilities,13900000,16000000,433800000,471900000,363900000,395200000,384400000,59000000,35300000,41900000,32100000,2800000,4200000,11900000
57,Other Non-Current Liabilities,230700000,197200000,657600000,649500000,511000000,310400000,349000000,310200000,293500000,238700000,242900000,298100000,196800000,126000000
58,Total Non-Current Liabilities,1188500000,962900000,2562300000,2502900000,2110400000,1989300000,2062100000,1616200000,1354000000,1184100000,1157600000,1359400000,1160200000,796100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,30700000,23400000,57700000,45600000,25700000,13500000,13900000,14800000,26300000,19300000,15400000,114300000,87700000,131100000
61,Total Liabilities,1580900000,1327300000,3465000000,3431800000,2863200000,2878100000,2924700000,2423600000,2128600000,1930000000,2008900000,2172800000,1842900000,1753200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,400000,400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000
64,Retained Earnings,961100000,1011200000,720900000,650200000,588100000,558800000,515200000,-188100000,-206400000,-162900000,-211400000,-423500000,-566000000,-527800000
65,Other Comprehensive Income/Loss,-1974800000,-2121500000,53000000,-38000000,-60000000,-6000000,-117000000,-153000000,-153000000,-124000000,-152000000,-167000000,-171300000,-161200000
66,Other Total Stockholders Equity,1758800000,1891500000,706000000,689100000,705900000,734700000,752900000,763600000,799500000,807900000,804500000,815700000,820000000,824400000
67,Total Stockholders Equity,745500000,781600000,1481300000,1302700000,1235400000,1288900000,1152500000,423900000,441500000,522400000,442500000,226600000,84100000,136800000
68,Total Liabilities And Stockholders Equity,2326400000,2108900000,4946300000,4734500000,4098600000,4167000000,4077200000,2847500000,2570100000,2452400000,2451400000,2399400000,1927000000,1890000000
69,Minority Interest,- -,300000,700000,700000,300000,-1300000,- -,- -,- -,- -,17700000,17700000,700000,- -
70,Total Liabilities & Equity,2326400000,2109200000,4947000000,4735200000,4098900000,4165700000,4077200000,2847500000,2570100000,2452400000,2469100000,2417100000,1927700000,1890000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1481792/000104746911002552/a2202930z10-k.htm,https://www.sec.gov/Archives/edgar/data/1481792/000148179212000005/0001481792-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/1481792/000148179213000010/0001481792-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1481792/000148179214000008/a12312013form10k.htm,https://www.sec.gov/Archives/edgar/data/1481792/000148179215000022/a12312014form10k.htm,https://www.sec.gov/Archives/edgar/data/1481792/000148179216000076/0001481792-16-000076-index.html,https://www.sec.gov/Archives/edgar/data/1481792/000148179217000006/0001481792-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1481792/000148179218000004/0001481792-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1481792/000148179219000006/0001481792-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1481792/000148179220000005/0001481792-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1481792/000148179221000008/0001481792-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1481792/000148179222000005/0001481792-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,109100000,52800000,-250100000,-46900000,87400000,32500000,18600000,-641900000,44900000,107200000,8500000,-156300000,-128300000,37800000
74,Depreciation and Amortization,204300000,196700000,274500000,353000000,338600000,340500000,336400000,325300000,277100000,232500000,230700000,223100000,181600000,157300000
75,Deferred Income Tax,3400000,700000,192600000,36500000,-13600000,-11100000,26800000,-292500000,-26600000,-22500000,-14500000,-57100000,48500000,5300000
76,Stock Based Compensation,3900000,4400000,5100000,14900000,13400000,18600000,17300000,7200000,15200000,16400000,15600000,13600000,10600000,6200000
77,Change in Working Capital,-11900000,-65500000,337000000,3700000,-75200000,-51700000,134200000,-135800000,-55900000,34600000,-67300000,2200000,-101000000,-23300000
78,Accounts Receivable,- -,- -,- -,- -,103400000,25700000,-20400000,109600000,84800000,8700000,49400000,57100000,- -,- -
79,Inventory,5500000,14700000,-16600000,-2500000,8600000,500000,-3400000,24600000,12700000,13100000,-54300000,61300000,45800000,-58300000
80,Accounts Payable,-45400000,-50300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,37200000,-28300000,308700000,312400000,237200000,185500000,319700000,183900000,128000000,162600000,95300000,97500000,-3500000,-34800000
82,Other Non-Cash Items,-800000,53300000,-406300000,9900000,3600000,112300000,-240100000,1085800000,97800000,-24200000,87600000,130000000,178800000,-46800000
83,Cash Provided by Operating Activities,308000000,242400000,152800000,371100000,354200000,441100000,293200000,348100000,352500000,344000000,260600000,155500000,190200000,136500000
84,CAPEX,-234400000,-87800000,-112600000,-168300000,-103500000,-149500000,-139200000,-133000000,-106100000,-85900000,-96300000,-111000000,-61000000,-50000000
85,Acquisitions Net,- -,- -,10000000,-6000000,-33000000,-292000000,-113000000,-143000000,- -,14000000,-71000000,-110000000,58600000,38300000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,14000000,1300000,- -,- -,- -,- -,- -
88,Other Investing Activites,5700000,19600000,-15500000,-10000000,66400000,10900000,28000000,45300000,20400000,34600000,46800000,12900000,12100000,141100000
89,Cash Used for Investing Activites,-228700000,-68200000,-118100000,-184300000,-70100000,-430600000,-224200000,-216700000,-84400000,-37300000,-120500000,-208100000,9700000,129400000
90,Debt Repayment,-738200000,-710900000,-1347600000,-1654900000,-391300000,-1587500000,-2445400000,-1531400000,-1119500000,-1266500000,-2600600000,-4770200000,-537000000,-583000000
91,Common Stock Issued,1400000,1100000,1100000,1600000,100000,7200000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-51700000,-13100000,- -,-8200000,- -,- -,- -,- -,-8800000,-3800000,-36700000,- -,- -,- -
93,Dividends Paid,-14200000,-14100000,-154000000,-28200000,-151800000,-56400000,-61200000,-62300000,-61100000,-62500000,-62900000,-57100000,-9500000,-1400000
94,Other Financing Activites,710000000,552400000,1470400000,1516200000,257400000,1626500000,2434900000,1465800000,920100000,1081100000,2566700000,4889100000,322900000,443500000
95,Cash Used/Provided by Financing Activities,-92700000,-184600000,-30100000,-173500000,-285600000,-10200000,-71700000,-127900000,-269300000,-251700000,-133500000,61800000,-223600000,-140900000
96,Effect of Forex Changes on Cash,-700000,500000,7000000,-8200000,-7200000,-4100000,-800000,-2300000,-600000,300000,-1500000,- -,200000,-300000
97,Net Change In Cash,-14100000,-9900000,11600000,5100000,-8700000,-3800000,-3500000,1200000,-1800000,55300000,5100000,9200000,-23500000,124700000
98,Cash at the End of Period,18800000,8900000,20500000,25600000,16900000,13100000,9600000,10800000,9000000,64300000,69500000,78700000,55200000,179900000
99,Cash at the Beginning of Period,32900000,18800000,8900000,20500000,25600000,16900000,13100000,9600000,10800000,9000000,64400000,69500000,78700000,55200000
100,Free Cash Flow,73600000,154600000,40200000,202800000,250700000,291600000,154000000,215100000,246400000,258100000,164300000,44500000,129200000,86500000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1481792/000104746911002552/a2202930z10-k.htm,https://www.sec.gov/Archives/edgar/data/1481792/000148179212000005/0001481792-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/1481792/000148179213000010/0001481792-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1481792/000148179214000008/a12312013form10k.htm,https://www.sec.gov/Archives/edgar/data/1481792/000148179215000022/a12312014form10k.htm,https://www.sec.gov/Archives/edgar/data/1481792/000148179216000076/0001481792-16-000076-index.html,https://www.sec.gov/Archives/edgar/data/1481792/000148179217000006/0001481792-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1481792/000148179218000004/0001481792-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1481792/000148179219000006/0001481792-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1481792/000148179220000005/0001481792-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1481792/000148179221000008/0001481792-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1481792/000148179222000005/0001481792-22-000005-index.htm
102,false,,,,,,,,,,,,,,
