,https://roic.ai/company/TRV,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,53200000,98100000,-15400000,9700000,-9000000,-19300000,4200000,- -,- -,- -,- -,21000000,- -,- -,- -,- -,- -,- -,- -,11000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,2603942000,3616759000,4244545000,4913418000,7289154000,7347000000,8181000000,-30177000000,-30570000000,-50060000000,-83989000000,-85034000000,-82865000000,-82365000000,-78250000000,-75990000000,-73203000000,-73869000000,-73782000000,-72769000000,-72391000000,-70740000000,-71135000000,-73779000000,-75372000000,-78218000000,- -,750000000
82,Other Non-Cash Items,- -,- -,- -,- -,553800000,599800000,406600000,995100000,334700000,-2135370000,-588490000,-96695000,-742125000,-2529346000,-1191846000,-2883000000,40253000000,207000000,18862000000,37947000000,1845000000,-2932000000,-856000000,-4664000000,-2661000000,-3939000000,544000000,-380000000,-1904000000,-1362000000,-2591000000,647000000,3200000000,2660000000,4699000000,-75156000000,3879000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,862300000,942400000,734500000,759400000,733500000,899215000,917744000,969648000,702047000,68638000,-50000000,-563000000,987000000,129000000,133000000,5241000000,3613000000,4774000000,5286000000,3138000000,4231000000,3054000000,2169000000,3230000000,3816000000,3693000000,3434000000,4202000000,3762000000,4380000000,5205000000,6519000000,7274000000
84,CAPEX,- -,- -,- -,- -,-48600000,-109300000,-94400000,-100700000,-47200000,-66564000,-54872000,-38454000,-57135000,-84321000,-176000000,-104000000,-70000000,-65000000,-48000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51693000,-184568000,-169145000,-97562000,- -,-212000000,144000000,-193000000,-81000000,166000000,- -,- -,- -,- -,- -,- -,- -,- -,-997000000,-12000000,-13000000,- -,-439000000,-4000000,- -,- -,-38000000
86,Purchases of Investments,- -,- -,- -,- -,-2476600000,-2089000000,-2201200000,-2315900000,-2484700000,-2222994000,-2868610000,-3148120000,-3199281000,-4932843000,-6817000000,-6414000000,-7289000000,-7578000000,-5645000000,-17786000000,-16158000000,-14003000000,-16156000000,-12651000000,-10035000000,-8059000000,-9724000000,-11052000000,-9970000000,-12429000000,-13112000000,-12460000000,-13323000000,-14236000000,-12101000000,-15285000000,-19099000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,1891900000,1536200000,1704000000,1667800000,2144900000,1465668000,1991357000,2627246000,2872065000,5008291000,6302000000,7446000000,6281000000,7242000000,5563000000,13831000000,11399000000,10817000000,14131000000,12534000000,9067000000,10527000000,11312000000,10445000000,10519000000,13038000000,13838000000,11323000000,12226000000,12229000000,9631000000,10836000000,14217000000
88,Other Investing Activites,- -,- -,- -,- -,-8500000,29200000,-54500000,31900000,-303500000,68282000,-29532000,-2595000,35974000,35078000,399000000,-56000000,-360000000,40000000,68000000,-997000000,1703000000,122000000,-501000000,-45000000,69000000,-359000000,-436000000,-365000000,-462000000,-391000000,-396000000,-323000000,-280000000,-318000000,-432000000,-443000000,-276000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-641800000,-632900000,-646100000,-716900000,-690500000,-755608000,-1013350000,-746491000,-517522000,-71357000,-292000000,660000000,-1294000000,-554000000,-143000000,-4786000000,-3056000000,-3064000000,-2526000000,-162000000,-899000000,2109000000,1152000000,-972000000,-910000000,206000000,317000000,-1460000000,-1816000000,-2329000000,-2902000000,-4892000000,-5196000000
90,Debt Repayment,- -,- -,- -,- -,-17600000,-8100000,-45000000,-8500000,-51700000,-20350000,-125446000,-17711000,-161000000,-224938000,-52000000,-363000000,-196000000,-405000000,-179000000,-227000000,-815000000,-806000000,-1956000000,-552000000,-143000000,-1160000000,-8000000,-258000000,-500000000,- -,-400000000,-400000000,-657000000,-600000000,-500000000,-500000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25243000,11000000,72000000,- -,413000000,- -,- -,442000000,216000000,218000000,89000000,180000000,408000000,314000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-426100000,-200000,-57700000,-200000,-34150000,-41714000,-74217000,-26503000,-135088000,-435000000,-536000000,-801000000,-155000000,-44000000,-57000000,-33000000,-1120000000,-2959000000,-2196000000,-3288000000,-5038000000,-2965000000,-1527000000,-2461000000,-3332000000,-3224000000,-2472000000,-1440000000,-1321000000,-1548000000,-672000000,-2200000000
93,Dividends Paid,- -,- -,- -,- -,-102100000,-115400000,-120200000,-126100000,-129200000,-136062000,-144662000,-155268000,-165809000,-226355000,-246000000,-241000000,-245000000,-253000000,-272000000,-652000000,-628000000,-702000000,-742000000,-715000000,-693000000,-673000000,-665000000,-694000000,-729000000,-729000000,-739000000,-757000000,-785000000,-814000000,-844000000,-861000000,-869000000
94,Other Financing Activites,- -,- -,- -,- -,-97100000,212300000,84300000,152400000,138500000,67339000,395064000,35778000,208251000,570523000,1083000000,896000000,1652000000,976000000,326000000,396000000,565000000,819000000,2486000000,506000000,502000000,1242000000,18000000,333000000,751000000,252000000,630000000,823000000,962000000,723000000,705000000,617000000,1032000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-216800000,-337300000,-81100000,-39900000,-42600000,-123223000,83242000,-211418000,-145061000,9385000,361000000,-172000000,410000000,576000000,-169000000,-540000000,-469000000,-1593000000,-2953000000,-2868000000,-3442000000,-5221000000,-3306000000,-2146000000,-2939000000,-3809000000,-3733000000,-2806000000,-1920000000,-2012000000,-2187000000,-1416000000,-2037000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-3700000,3500000,-100000,-100000,-1600000,860000,140000,- -,- -,- -,- -,- -,-4000000,13000000,14000000,7000000,-5000000,5000000,5000000,-29000000,15000000,3000000,-1000000,4000000,-3000000,-10000000,-12000000,-9000000,11000000,-10000000,5000000,16000000,-1000000
97,Net Change In Cash,- -,- -,- -,- -,-216800000,-337300000,-81100000,-39900000,-42600000,21244000,-12224000,11739000,-14554000,6666000,19000000,-75000000,99000000,164000000,-165000000,-78000000,75000000,122000000,-188000000,79000000,-95000000,-55000000,14000000,116000000,-36000000,80000000,6000000,-73000000,37000000,29000000,121000000,227000000,40000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,46664000,34440000,37214000,22660000,119841000,165000000,83000000,151000000,315000000,150000000,274000000,337000000,459000000,271000000,350000000,255000000,200000000,214000000,330000000,294000000,374000000,380000000,307000000,344000000,373000000,494000000,721000000,761000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,41300000,41300000,16900000,24200000,26600000,25420000,46664000,25475000,37214000,113175000,146000000,158000000,52000000,151000000,315000000,352000000,262000000,337000000,459000000,271000000,350000000,255000000,200000000,214000000,330000000,294000000,374000000,380000000,307000000,344000000,373000000,494000000,721000000
100,Free Cash Flow,- -,- -,- -,- -,813700000,833100000,640100000,658700000,686300000,832651000,862872000,931194000,644912000,-15683000,-226000000,-667000000,917000000,64000000,85000000,5241000000,3613000000,4774000000,5286000000,3138000000,4231000000,3054000000,2169000000,3230000000,3816000000,3693000000,3434000000,4202000000,3762000000,4380000000,5205000000,6519000000,7274000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/86312/000110465903004639/0001104659-03-004639-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000110465904006321/0001104659-04-006321-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000119312505052696/0001193125-05-052696-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000110465906012299/0001104659-06-012299-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000110465907013516/0001104659-07-013516-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746908001551/0001047469-08-001551-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746909001591/0001047469-09-001591-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746910000972/0001047469-10-000972-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746911001001/0001047469-11-001001-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746912001096/0001047469-12-001096-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746913001211/0001047469-13-001211-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746914000854/0001047469-14-000854-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746915000743/0001047469-15-000743-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746916010107/0001047469-16-010107-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746917000695/0001047469-17-000695-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746918000812/0001047469-18-000812-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631219000009/0000086312-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631220000011/0000086312-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631221000011/0000086312-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631222000013/0000086312-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
