,https://roic.ai/company/ASUR,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,5800000,7600000,13200000,27100000,30700000,40900000,- -,102800000,85654000,90900000,85816000,28467000,19089000,16022000,23340000,13226000,10917000,12623000,21271000,- -,8939000,8561000,15905000,18267000,19308000,19883000,26198000,42823000,64385000,59209000,51846000,59376000
11,COGS and Expenses,- -,8400000,13500000,25300000,41400000,55100000,76000000,- -,207200000,180381000,164600000,161585000,58335000,50878000,44328000,37516000,20267000,18825000,31855000,23509000,- -,11198000,10850000,20478000,24692000,25622000,27223000,34315000,55442000,95215000,89045000,79260000,88876000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,1242000,- -,1186000,1444000,338000,- -,213000,- -,506000,- -,715000,- -,5000,10000,3000,49000,-1000,22000,10000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,1600000,27000,- -,1431000,- -,- -,- -,110000,- -,76000,- -,89000,- -,66000,752000,1984000,2424000,1347000,1130000,2012000,4626000,8514000,15447000,2221000,-2038000
14,Depreciation and Amortization,- -,200000,300000,900000,2500000,2000000,3600000,4490000,12900000,8870000,12000000,12706000,8628000,4677000,1337000,13353000,927000,711000,93000,1147000,- -,1016000,1050000,2295000,2947000,2821000,3012000,3613000,6058000,12927000,18165000,16169000,17820000
15,EBITDA,- -,-2700000,-2100000,2400000,-6800000,2100000,7400000,- -,-37600000,11713000,-3700000,17047000,-24216000,-1603000,9483000,-7155000,-5625000,-2724000,12435000,-11451000,- -,-63000,1225000,1532000,3826000,4023000,2604000,4842000,5058000,6664000,39502000,2416000,19777000
16,EBITDA ratio,- -,-0.5094,-0.1909,0.0920,-0.2159,0.0387,0.0948,- -,-0.1969,0.0652,-0.0244,0.1269,-0.6344,-0.0274,0.1761,-0.4094,-0.5678,-0.1829,0.3077,-1.1246,- -,-0.0063,0.1120,0.0767,0.1502,0.1479,0.0968,0.1362,0.0929,0.0749,0.5400,0.0369,0.2600
17,Operating Income,- -,-3100000,-2500000,800000,-9900000,-900000,2100000,- -,-16200000,839000,-13000000,-27274000,-15105000,6896000,9536000,-20669000,-10361000,-3929000,8552000,-13327000,- -,-1165000,91000,-513000,782000,1584000,-317000,1227000,-1000000,-6263000,-50955000,-13753000,-12812000
18,Operating Income ratio,- -,-0.5849,-0.2273,0.0307,-0.3143,-0.0166,0.0269,- -,-0.0848,0.0047,-0.0858,-0.2031,-0.3957,0.1177,0.1770,-1.1828,-1.0459,-0.2638,0.2116,-1.3089,- -,-0.1161,0.0083,-0.0257,0.0307,0.0582,-0.0118,0.0345,-0.0184,-0.0704,-0.6966,-0.2099,-0.1684
19,Total Other Income Expenses (Gains),- -,100000,100000,800000,700000,1000000,1700000,- -,-26600000,1977000,-2700000,30184000,297000,2214000,-35000,-522000,366000,418000,3790000,640000,- -,20000,-668000,-2234000,-2327000,-1729000,-1221000,-2010000,-4626000,-8514000,-15447000,-2221000,16807000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,3800000,- -,- -,2816000,-15700000,2910000,-14808000,9110000,9501000,-21191000,-9995000,-3511000,12342000,-12687000,- -,-1145000,-577000,-2747000,-1545000,-145000,-1538000,-783000,-5626000,-14777000,-66402000,-15974000,3995000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.0487,- -,- -,0.0157,-0.1036,0.0217,-0.3880,0.1555,0.1764,-1.2126,-1.0090,-0.2357,0.3054,-1.2460,- -,-0.1141,-0.0527,-0.1376,-0.0607,-0.0053,-0.0572,-0.0220,-0.1033,-0.1661,-0.9078,-0.2439,0.0525
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,100000,- -,- -,37000,-100000,613000,-304000,-177000,126000,22000,16000,44000,94000,21000,- -,-8000,72000,285000,117000,117000,219000,189000,96000,-7229000,-24111000,337000,802000
23,Net Income,- -,-2900000,-2400000,1500000,-9300000,100000,3700000,- -,-52100000,2779000,-15600000,2297000,-32540000,-6103000,8020000,-20640000,-6568000,-3555000,12248000,-12708000,- -,-1137000,-649000,-3032000,-1662000,-262000,-1757000,-972000,-5722000,-7548000,30001000,-16311000,3193000
24,Net Income ratio,- -,-0.5472,-0.2182,0.0575,-0.2952,0.0018,0.0474,- -,-0.2728,0.0155,-0.1029,0.0171,-0.8525,-0.1042,0.1489,-1.1811,-0.6630,-0.2387,0.3031,-1.2481,- -,-0.1133,-0.0593,-0.1519,-0.0652,-0.0096,-0.0653,-0.0273,-0.1051,-0.0849,0.4101,-0.2490,0.0420
25,EPS,- -,-4.13,-3.07,1.20,-7.00,0.07,2.00,- -,-16.33,0.80,-4.40,0.60,-8.73,-1.67,2.20,-5.53,-1.73,-0.93,3.20,-2.80,- -,-0.25,-0.14,-0.60,-0.29,-0.04,-0.28,-0.15,-0.53,-0.54,1.93,-1.03,0.20
26,EPS Diluted,- -,-4.13,-3.07,1.20,-7.00,0.07,2.00,- -,-16.33,0.79,-4.42,0.60,-8.73,-1.67,2.13,-5.53,-1.73,-0.93,3.13,-2.80,- -,-0.25,-0.14,-0.60,-0.29,-0.04,-0.28,-0.15,-0.53,-0.54,1.93,-1.03,0.20
27,Weighted Average Shares Outstanding,- -,684783,782609,1250000,1328571,1500000,1867650,3338250,3338250,3458550,3526350,3679500,3731700,3722100,3699000,3709650,3743850,3794100,3827250,4503900,4630500,4630500,4627500,5048000,5661000,6002000,6176000,6533000,10891000,14010000,15544560,15910000,15910000
28,Weighted Average Shares Outstanding Diluted,- -,684783,782609,1250000,1328571,1500000,1867650,3338250,3338250,3518700,3526350,3756600,3731700,3833850,3780150,3709650,3743850,3794100,3907350,4503900,4630500,4630500,4627500,5048000,5661000,6002000,6176000,6533000,10891000,14010000,15544560,15910000,15910000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884144/000089907800000631/0000899078-00-000631-index.html,https://www.sec.gov/Archives/edgar/data/884144/000095013401507724/0000950134-01-507724-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/884144/000095013404016022/0000950134-04-016022-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000119312505212156/0001193125-05-212156-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000110465906069652/0001104659-06-069652-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000110465907077747/0001104659-07-077747-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000110465908068296/0001104659-08-068296-index.htm,- -,https://www.sec.gov/Archives/edgar/data/884144/000118518511000393/0001185185-11-000393-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518512000624/0001185185-12-000624-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518513000740/0001185185-13-000740-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518514000654/0001185185-14-000654-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518515000633/0001185185-15-000633-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518516004066/0001185185-16-004066-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518517000607/0001185185-17-000607-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518518000448/0001185185-18-000448-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518519000390/0001185185-19-000390-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000088414420000022/0000884144-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000162828021004536/0001628280-21-004536-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000088414422000004/0000884144-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1800000,3100000,1900000,3800000,4200000,2900000,2000000,4800000,15191000,7800000,6868000,15848000,17237000,21201000,19051000,15211000,16206000,33524000,12062000,2263000,1070000,1067000,2177000,3938000,320000,1158000,12767000,27792000,15444000,28826000,28577000,13427000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,14484000,4300000,39742000,6128000,2715000,3845000,2490000,1487000,- -,1538000,2627000,- -,- -,- -,- -,- -,- -,- -,22981000,42328000,122206000,- -,- -,- -
33,Cash and Short-Term Investments,- -,1800000,3100000,1900000,3800000,4200000,2900000,2000000,4800000,29675000,12100000,46610000,21976000,19952000,25046000,21541000,16698000,16206000,35062000,14689000,2263000,1070000,1067000,2177000,3938000,320000,1158000,35748000,70120000,137650000,28826000,28577000,13427000
34,Net Receivables,- -,1600000,3800000,8200000,11500000,12200000,18900000,15600000,43700000,40527000,38300000,23368000,13820000,5579000,9531000,398000,471000,714000,1040000,1718000,1526000,1301000,1579000,3059000,3911000,5295000,4671000,8108000,13361000,16028000,14278000,5270000,5308000
35,Inventory,- -,700000,3500000,5200000,5600000,5700000,9700000,15000000,22200000,12951000,15600000,14733000,1324000,563000,- -,- -,- -,- -,- -,74000,49000,25000,116000,266000,77000,170000,784000,487000,509000,3117000,656000,449000,246000
36,Other Current Assets,- -,100000,100000,23800000,21000000,18300000,61000000,49900000,23200000,2533000,2300000,1803000,1355000,609000,415000,386000,916000,274000,211000,190000,213000,255000,338000,1747000,1734000,1303000,1195000,1256000,2588000,3120000,140683000,323935000,13475000
37,Total Current Assets,- -,4200000,10500000,39100000,41900000,40400000,92500000,82500000,93900000,85686000,68300000,86514000,38475000,26703000,34992000,22325000,18085000,17194000,36313000,16671000,4051000,2651000,3100000,7249000,9660000,7088000,7808000,45599000,86578000,159915000,184443000,358231000,32456000
38,PP&E,- -,700000,900000,3100000,3000000,4900000,9700000,14000000,21700000,28106000,29700000,19275000,9500000,5734000,2158000,3165000,1957000,788000,767000,907000,581000,281000,414000,1154000,1233000,1539000,2212000,1878000,5217000,8948000,14830000,14731000,14693000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6264000,15525000,15005000,17500000,17436000,26259000,77348000,111387000,68697000,73958000,86011000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,14300000,13700000,12800000,- -,15800000,11994000,10617000,15833000,5042000,258000,33000,4000,- -,4729000,3623000,2844000,6307000,12179000,9679000,8322000,6026000,12048000,33554000,76760000,63850000,64552000,78573000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,14300000,13700000,12800000,11812000,15800000,11994000,10617000,15833000,5042000,258000,33000,4000,- -,4729000,3623000,2844000,12571000,27704000,24684000,25822000,23462000,38307000,110902000,188147000,132547000,138510000,164584000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,100000,600000,1100000,1800000,1700000,2700000,3685000,10300000,5750000,10748000,3952000,5057000,267000,27000,3000,212000,1000,- -,60000,- -,41000,38000,19000,729000,39000,614000,4090000,3224000,3951000,221512000
45,Total Non-Current Assets,- -,700000,900000,3200000,3600000,6000000,25800000,29400000,37200000,43603000,55800000,37019000,30865000,25519000,12257000,3690000,2017000,795000,979000,5637000,4204000,3185000,12985000,28899000,25955000,27380000,26403000,40224000,116733000,201185000,150601000,157192000,400789000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4900000,11400000,42300000,45500000,46400000,118300000,111900000,131100000,129289000,124100000,123533000,69340000,52222000,47249000,26015000,20102000,17989000,37292000,22308000,8255000,5836000,16085000,36148000,35615000,34468000,34211000,85823000,203311000,361100000,335044000,515423000,433245000
48,Accounts Payable,- -,1000000,2600000,2600000,3800000,3800000,5200000,9800000,25700000,22600000,18400000,14957000,9594000,5687000,3178000,1509000,1856000,3631000,10970000,3778000,1039000,560000,1097000,2713000,1669000,1533000,2670000,1576000,1912000,3662000,1736000,1288000,565000
49,Short-Term Debt,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,2200000,610000,- -,899000,323000,348000,355000,313000,- -,- -,- -,- -,849000,3450000,4308000,750000,1031000,5455000,8895000,4733000,4146000,14143000,3458000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2608000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,11793000,- -,- -,8802000,7047000,281000,525000,517000,683000,1076000,1844000,1744000,1955000,4792000,9684000,10059000,10641000,10803000,9252000,13078000,11849000,5500000,5838000,3750000
52,Other Current Liabilities,- -,400000,2300000,1400000,4800000,5300000,9300000,7700000,28700000,9790000,19500000,20640000,6288000,3313000,2344000,1350000,1799000,1454000,1412000,960000,1052000,456000,677000,1091000,1461000,1478000,1896000,25109000,45667000,128228000,155207000,328754000,7909000
53,Total Current Liabilities,- -,1500000,5000000,4000000,8600000,9100000,14500000,17500000,54400000,44183000,40100000,36207000,24684000,16946000,6126000,3732000,4527000,6081000,13458000,6582000,3835000,2971000,7415000,16938000,17497000,14402000,16400000,41392000,69552000,148472000,166589000,350023000,15682000
54,Long-Term Debt,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,15900000,4665000,- -,- -,- -,- -,2280000,- -,- -,- -,212000,- -,5570000,16687000,12698000,14381000,12656000,24581000,66973000,107229000,24142000,12225000,4746000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134000,116000,169000,199000,759000,475000,947000,769000,1125000,876000,322000,111000,36000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1566000,336000,888000,1595000
57,Other Non-Current Liabilities,- -,- -,- -,- -,600000,100000,- -,- -,-100000,3848000,100000,- -,3034000,2998000,1869000,2783000,4000,1788000,1214000,806000,196000,25000,867000,164000,444000,739000,490000,835000,1887000,439000,6076000,6523000,20120000
58,Total Non-Current Liabilities,- -,100000,- -,- -,600000,100000,- -,- -,-100000,3848000,16000000,4665000,3034000,2998000,1869000,2783000,2284000,1788000,1214000,806000,542000,141000,6606000,17050000,13901000,15595000,14093000,26185000,69985000,110110000,30876000,19747000,26497000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1777000,1186000,781000,212000,25000,32000,- -,- -,- -,- -,- -,- -,- -,7512000,7199000,- -
61,Total Liabilities,- -,1600000,5000000,4000000,9200000,9200000,14500000,17500000,54300000,48031000,56100000,40872000,27718000,19944000,7995000,6515000,6811000,7869000,14672000,7388000,4377000,3112000,14021000,33988000,31398000,29997000,30493000,67577000,139537000,258582000,197465000,369770000,42179000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,232000,200000,248000,249000,257000,261000,266000,269000,271000,274000,329000,334000,334000,334000,56000,63000,64000,67000,89000,129000,157000,161000,193000,204000
64,Retained Earnings,- -,-13700000,-16100000,-14600000,-24000000,-23900000,-20200000,-30100000,-178200000,-175455000,-191700000,-189368000,-221908000,-228011000,-219991000,-240631000,-247199000,-250754000,-238506000,-251214000,-262404000,-263541000,-264190000,-267222000,-268884000,-269146000,-270903000,-271875000,-277597000,-283643000,-253642000,-269954000,-266760000
65,Other Comprehensive Income/Loss,- -,-500000,-800000,-1700000,-2500000,-3900000,-6800000,-10200000,-32800000,- -,-28000000,-29808000,-12540000,-11645000,-660000,9000,16000,12000,20000,-37000,-70000,-30000,-128000,-102000,-104000,-86000,-78000,5000,-63000,-906000,-25000,604000,-99000
66,Other Total Stockholders Equity,- -,17500000,23300000,54600000,62800000,65000000,130800000,134700000,287800000,256481000,287500000,301589000,275821000,271677000,259644000,259856000,260205000,260591000,260832000,265842000,266018000,265961000,266048000,269428000,273142000,273639000,274632000,290027000,341305000,386910000,391085000,414810000,424895000
67,Total Stockholders Equity,- -,3300000,6400000,38300000,36300000,37200000,103800000,94400000,76800000,81258000,68000000,82661000,41622000,32278000,39254000,19500000,13291000,10120000,22620000,14920000,3878000,2724000,2064000,2160000,4217000,4471000,3718000,18246000,63774000,102518000,137579000,145653000,158240000
68,Total Liabilities And Stockholders Equity,- -,4900000,11400000,42300000,45500000,46400000,118300000,111900000,131100000,129289000,124100000,123533000,69340000,52222000,47249000,26015000,20102000,17989000,37292000,22308000,8255000,5836000,16085000,36148000,35615000,34468000,34211000,85823000,203311000,361100000,335044000,515423000,200419000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,232826000
70,Total Liabilities & Equity,- -,4900000,11400000,42300000,45500000,46400000,118300000,111900000,131100000,129289000,124100000,123533000,69340000,52222000,47249000,26015000,20102000,17989000,37292000,22308000,8255000,5836000,16085000,36148000,35615000,34468000,34211000,85823000,203311000,361100000,335044000,515423000,433245000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884144/000089907800000631/0000899078-00-000631-index.html,https://www.sec.gov/Archives/edgar/data/884144/000095013401507724/0000950134-01-507724-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/884144/000095013404016022/0000950134-04-016022-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000119312505212156/0001193125-05-212156-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000110465906069652/0001104659-06-069652-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000110465907077747/0001104659-07-077747-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000110465908068296/0001104659-08-068296-index.htm,- -,https://www.sec.gov/Archives/edgar/data/884144/000118518511000393/0001185185-11-000393-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518512000624/0001185185-12-000624-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518513000740/0001185185-13-000740-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518514000654/0001185185-14-000654-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518515000633/0001185185-15-000633-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518516004066/0001185185-16-004066-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518517000607/0001185185-17-000607-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518518000448/0001185185-18-000448-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518519000390/0001185185-19-000390-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000088414420000022/0000884144-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000162828021004536/0001628280-21-004536-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000088414422000004/0000884144-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-2900000,-2400000,1500000,-9300000,100000,3700000,- -,-52100000,2779000,-15600000,2297000,-32540000,-6103000,8020000,-20640000,-6568000,-3555000,12248000,-12708000,-9733000,-1137000,-649000,-3032000,-1662000,-262000,-1757000,-972000,-5722000,-7548000,30001000,-16311000,3193000
74,Depreciation and Amortization,- -,200000,300000,900000,2500000,2000000,3600000,4490000,12900000,8870000,12000000,12706000,8628000,4677000,1337000,13353000,927000,711000,93000,1147000,1239000,1016000,1050000,2295000,2947000,2821000,3012000,3613000,6058000,12927000,18165000,16169000,17820000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7083000,-1193000,551000,707000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000,53000,81000,88000,160000,226000,409000,226000,593000,1687000,2268000,2365000,2990000
77,Change in Working Capital,- -,-200000,29600000,-1800000,-2000000,46700000,-13000000,-25500000,2003000,-13303000,22107000,-36516000,-4034000,19109000,-10273000,-5035000,-2445000,11742000,-12766000,-8931000,-942000,-536000,-3995000,-5374000,1852000,523000,-1278000,12799000,12819000,-5583000,6411000,-9646000,8566000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,3300000,- -,3299000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139000,274000,192000,1095000,-899000,-1419000,- -,- -,-4096000,-1719000,-1446000,1118000,-1293000
79,Inventory,- -,100000,-2700000,-2800000,-1800000,500000,-1700000,-5300000,7100000,10758000,-1300000,820000,206000,-792000,26000,- -,- -,- -,- -,-74000,71000,24000,-5000,-150000,177000,-93000,-615000,297000,-17000,-2948000,-1581000,11000,142000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-4600000,- -,-3099000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2545000,-456000,377000,692000,-1008000,-136000,1120000,-1104000,-254000,1595000,-3174000,-448000,-725000
81,Other Working Capital,- -,5500000,35100000,33300000,31300000,78000000,65000000,39500000,41503000,28200000,50307000,13791000,9757000,28866000,18593000,13558000,11113000,22855000,10089000,1158000,216000,-320000,-4315000,-9689000,-7837000,-7314000,-8592000,4207000,17026000,11443000,17854000,8208000,16774000
82,Other Non-Cash Items,- -,- -,-31100000,-6600000,900000,-46700000,7200000,15860000,21997000,21406000,-29207000,65457000,23010000,-7054000,3239000,12780000,118000,-10143000,20308000,7179000,4740000,-335000,6866000,8832000,-1272000,-602000,2969000,-17678000,-13784000,-1529000,-56102000,5165000,-31898000
83,Cash Provided by Operating Activities,- -,-2900000,-3600000,-6000000,-7900000,2100000,1500000,-5150000,-15200000,19752000,-10700000,43944000,-4936000,10629000,2323000,458000,-7968000,-1245000,19883000,-13313000,-4618000,-939000,3353000,2809000,2025000,2706000,3355000,-2012000,-36000,-7129000,-450000,-1707000,1378000
84,CAPEX,- -,-400000,-500000,-2000000,-3100000,-5100000,-9500000,-9500000,-18800000,-16819000,-8800000,-4568000,-2763000,-1135000,-136000,-692000,-63000,-62000,-490000,-311000,-314000,-141000,-121000,-1255000,-445000,-807000,-1406000,-436000,-3058000,-5794000,-4841000,-3637000,-4274000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2323000,- -,- -,- -,-7377000,- -,- -,-10401000,-9800000,- -,-3440000,- -,-12000000,-45390000,-66984000,-7443000,-13141000,- -
86,Purchases of Investments,- -,- -,- -,-23500000,- -,-111700000,-707300000,- -,-391600000,-247223000,-150800000,-199748000,-98510000,-3180000,-3859000,-4873000,-1787000,- -,-1538000,-7056000,-6080000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29051000
87,Sales/Maturities of Investments,- -,- -,- -,- -,3900000,114000000,664500000,- -,419600000,253038000,161000000,175048000,123663000,5052000,2729000,6228000,2786000,1491000,- -,6460000,3375000,- -,- -,77000,10000,- -,- -,- -,- -,- -,- -,- -,21881000
88,Other Investing Activites,- -,- -,- -,- -,1800000,200000,-9600000,13020000,14100000,-620000,-6000000,-4510000,-496000,-8419000,4482000,-961000,3489000,23000,-67000,164000,- -,- -,26000,-351000,-62000,47000,18000,-6339000,-11702000,-38346000,105402000,-187136000,-29667000
89,Cash Used for Investing Activites,- -,-400000,-500000,-25500000,2600000,-2600000,-61900000,3520000,23300000,-10640000,-4600000,-33778000,21894000,-7682000,3216000,-2621000,4425000,1452000,-2095000,-8120000,-3019000,-141000,-10496000,-10978000,-435000,-4200000,-1388000,-18775000,-58492000,-107228000,96942000,-201134000,-36970000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40000,-48000,-58000,-4366000,-6968000,-19455000,-6955000,-7430000,-9104000,-11780000,-128835000,-12234000,- -
