,https://roic.ai/company/BWXT,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,41700000,79720000,159349000,71633000,73003000,69697000,70525000,105798000,78621000,50554000,56557000,60097000,61722000,60674000,69080000
75,Deferred Income Tax,- -,- -,11900000,23730000,29535000,33457000,29902000,43038000,94068000,-95697000,-38493000,-7231000,93461000,17446000,3794000,7890000,40091000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,17927000,18009000,15072000,23461000,31699000,15371000,15222000,11883000,12726000,16844000,18613000
77,Change in Working Capital,- -,- -,313800000,-90040000,161579000,155750000,104980000,109529000,68398000,143970000,-360652000,-39819000,91269000,-179864000,59946000,18825000,-14741000
78,Accounts Receivable,- -,- -,- -,-12901000,71316000,101260000,-26887000,-52034000,19726000,-50080000,40094000,28570000,-42803000,62193000,27082000,-106880000,87881000
79,Inventory,- -,- -,- -,-21760000,29262000,- -,- -,- -,11971000,5044000,3053000,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-4076000,-40555000,19882000,48246000,30391000,54895000,-81044000,-23985000,19549000,-7476000,1888000,44592000,-1241000,28795000
81,Other Working Capital,- -,- -,- -,-90040000,71539000,227289000,332269000,441798000,510196000,654166000,293514000,253695000,344964000,165100000,225046000,243871000,-129426000
82,Other Non-Cash Items,- -,- -,20400000,-277088000,-245404000,-221696000,-221875000,-283041000,-456255000,-131995000,487524000,37918000,-182199000,32770000,-102935000,-186461000,-32888000
83,Cash Provided by Operating Activities,- -,- -,603100000,60088000,252823000,192406000,173591000,184927000,137886000,74925000,330164000,239850000,222154000,169290000,279368000,196442000,386026000
84,CAPEX,- -,- -,-60700000,-63014000,-93725000,-63649000,-63874000,-86635000,-67150000,-76751000,-68335000,-52634000,-96880000,-109338000,-182124000,-255027000,-311052000
85,Acquisitions Net,- -,- -,- -,-190878000,-8497000,-29962000,-11907000,-4291000,-6884000,-132603000,-200000,-126945000,-3504000,-222052000,255000,-15817000,- -
86,Purchases of Investments,- -,- -,- -,-59200000,-2700000,-178047000,-183374000,-268929000,-90836000,-23622000,-13466000,-18648000,-3237000,-4520000,-4208000,-4232000,-4739000
87,Sales/Maturities of Investments,- -,- -,- -,- -,45230000,134276000,147288000,247649000,168879000,40725000,6456000,9261000,12852000,3933000,5874000,6360000,5553000
88,Other Investing Activites,- -,- -,-134200000,8529000,-7943000,47068000,-42455000,809000,13844000,-8277000,3658000,9277000,113000,5253000,208000,3397000,5585000
89,Cash Used for Investing Activites,- -,- -,-194900000,-304563000,-67635000,-90314000,-154322000,-111397000,20053000,-199806000,-71887000,-179689000,-90656000,-326724000,-179995000,-265319000,-304653000
90,Debt Repayment,- -,- -,- -,-4768000,-6155000,-29914000,-1782000,-4643000,-211000,-860639000,-177350000,-305906000,-137053000,-876206000,-654095000,-794676000,-1010052000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-96774000,-157093000,-149774000,-69747000,-292997000,- -,-214759000,-20000000,-27209000,-230828000
93,Dividends Paid,- -,- -,- -,- -,- -,-143334000,- -,-9485000,-38011000,-43469000,-34479000,-37370000,-42043000,-63821000,-65374000,-72940000,-79668000
94,Other Financing Activites,- -,- -,-321400000,64790000,555000,-10485000,9317000,2896000,4437000,1158481000,-127854000,547376000,117918000,1145463000,695756000,919871000,1230412000
95,Cash Used/Provided by Financing Activities,- -,- -,-321400000,60022000,-5600000,-183733000,7535000,-108006000,-190878000,104599000,-409430000,-88897000,-61178000,-9323000,-43713000,25046000,-90136000
96,Effect of Forex Changes on Cash,- -,- -,5300000,-9867000,10234000,3315000,-2737000,2814000,-4492000,-12865000,-7087000,-352000,7443000,-9979000,332000,-271000,240000
97,Net Change In Cash,- -,- -,92100000,-194320000,189822000,-78326000,24067000,-31662000,-37431000,-33147000,-158240000,-29088000,77763000,-176736000,55992000,-44102000,-8523000
98,Cash at the End of Period,- -,- -,121971000,279646000,469468000,391142000,415209000,383547000,346116000,312969000,154729000,125641000,203404000,36408000,92400000,48298000,39775000
99,Cash at the Beginning of Period,- -,- -,29871000,473966000,279646000,469468000,391142000,415209000,383547000,346116000,312969000,154729000,125641000,213144000,36408000,92400000,48298000
100,Free Cash Flow,- -,- -,542400000,-2926000,159098000,128757000,109717000,98292000,70736000,-1826000,261829000,187216000,125274000,59952000,97244000,-58585000,74974000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1486957/000119312511052117/d10k.htm,https://www.sec.gov/Archives/edgar/data/1486957/000119312512089188/d281845d10k.htm,https://www.sec.gov/Archives/edgar/data/1486957/000119312513080935/d457934d10k.htm,https://www.sec.gov/Archives/edgar/data/1486957/000119312514069982/d648175d10k.htm,https://www.sec.gov/Archives/edgar/data/1486957/000119312515062809/d853623d10k.htm,https://www.sec.gov/Archives/edgar/data/1486957/000119312516475979/d231565d10k.htm,https://www.sec.gov/Archives/edgar/data/1486957/000148695717000007/bwxt_123116x10kdocument.htm,https://www.sec.gov/Archives/edgar/data/1486957/000148695718000007/bwxt_123117x10kdocument.htm,https://www.sec.gov/Archives/edgar/data/1486957/000148695719000005/bwxt_123118x10kdocument.htm,https://www.sec.gov/Archives/edgar/data/1486957/000148695720000006/bwxt12311910kdocument.htm,https://www.sec.gov/Archives/edgar/data/1486957/000148695721000006/0001486957-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1486957/000148695722000005/0001486957-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,
