,https://roic.ai/company/GPS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,948000000,1063000000,1298000000,1506600000,2092000000,2991000000,4365000000,4547000000,4162000000,3654000000,3744000000,3582000000,3515000000,3752000000,3559000000,3321000000,3139000000,3113000000,3338000000,3419000000,3373000000,3488000000,3295000000,3421000000,3798000000,9163000000,7761000000,7596000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2004000000,2343000000,2627000000,3337500000,3964000000,5189000000,7013000000,7683000000,9902000000,10343000000,10048000000,8821000000,8544000000,7838000000,7564000000,7985000000,7065000000,7422000000,7470000000,7849000000,7690000000,7473000000,7610000000,7989000000,8049000000,13679000000,13769000000,12761000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,264000000,263000000,352000000,417000000,684000000,806000000,1067000000,1197000000,1159000000,1178000000,1240000000,1132000000,1109000000,1006000000,975000000,1027000000,1049000000,1066000000,1144000000,1242000000,1173000000,1112000000,1243000000,1181000000,1126000000,1174000000,1743000000,1951000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,22000000,40000000,101600000,91000000,169000000,780000000,42000000,499979000,283000000,- -,- -,325000000,138000000,50000000,- -,- -,59000000,- -,25000000,21000000,421000000,65000000,- -,- -,920000000,831000000,2202000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000000,50000000,5000000,108000000,36000000,20000000,23000000,32000000,10000000,24000000,48000000,34000000,25000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,- -,- -,- -,251000000,- -,- -,- -,227000000,226000000,231000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,234000000,267000000,383000000,472900000,778000000,778000000,952000000,909000000,1068021000,1031000000,1002000000,810000000,838000000,1289000000,1133000000,1104000000,1040000000,1003000000,1200000000,1178000000,789000000,1002000000,1145000000,1280000000,821000000,889000000,1079000000,-76000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000000,552000000,775000000,991500000,1553000000,1753000000,2799000000,2148000000,2727000000,2492000000,2242000000,1942000000,2272000000,2433000000,2158000000,2131000000,2095000000,2128000000,2344000000,2445000000,2234000000,2535000000,2453000000,2461000000,2174000000,3209000000,3884000000,4077000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,496000000,496000000,785000000,780000000,1961000000,2896000000,2487000000,1886000000,513000000,188000000,50000000,- -,- -,- -,1606000000,1246000000,1369000000,1332000000,1310000000,1248000000,1249000000,1249000000,1249000000,6833000000,9550000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,717000000,705000000,750000000,766000000,- -,776000000,748000000,749000000,736000000,50000000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,15000000,59000000,142000000,- -,256000000,217000000,91000000,191000000,1707000000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,129000000,151000000,197000000,266000000,341000000,418000000,506000000,564000000,621000000,581000000,984000000,941000000,910000000,1081000000,1019000000,963000000,154000000,213000000,177000000,65000000,1141000000,51000000,40000000,295000000,146000000,4148000000,438000000,-7665000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,129000000,151000000,197000000,762000000,837000000,1203000000,1286000000,2525000000,3517000000,3068000000,2870000000,1454000000,1098000000,1131000000,1019000000,963000000,890000000,2539000000,2232000000,2342000000,2473000000,2393000000,2253000000,2384000000,2322000000,7154000000,7271000000,1885000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,933000000,- -,- -,- -,- -,- -,- -,- -,6428000000,5448000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,629000000,703000000,972000000,1753500000,2390000000,2956000000,4085000000,4673000000,6244000000,5560000000,5112000000,3396000000,3370000000,3564000000,3177000000,3094000000,2985000000,4667000000,4576000000,4787000000,4707000000,4928000000,4706000000,4845000000,4496000000,10363000000,11155000000,5962000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,16000000,16000000,- -,33000000,50000000,47000000,47000000,48000000,49000000,49000000,54000000,55000000,55000000,55000000,55000000,55000000,55000000,55000000,55000000,21000000,20000000,20000000,19000000,19000000,19000000,19000000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1282000000,1569000000,1938000000,2392800000,3121000000,4173000000,4975000000,4890000000,5289000000,6241000000,7181000000,8133000000,8646000000,9223000000,9947000000,10815000000,11767000000,12364000000,13259000000,14218000000,2797000000,2440000000,2749000000,3081000000,3081000000,3257000000,2501000000,2622000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-126000000,-116000000,-106000000,-938700000,-88000000,-60000000,-64000000,-138000000,-30340000,22000000,40000000,46000000,77000000,125000000,123000000,155000000,185000000,229000000,181000000,135000000,165000000,85000000,54000000,36000000,53000000,40000000,9000000,38000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,211000000,171000000,- -,129900000,- -,- -,- -,- -,-1648448000,-1529000000,-2334000000,-2808000000,-3604000000,-5129000000,-5738000000,-6134000000,-7927000000,-9893000000,-10601000000,-11346000000,- -,- -,81000000,8000000,400000000,- -,85000000,2722000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1375000000,1640000000,1654000000,1584000000,1574000000,2233000000,2928000000,3010000000,3658212000,4783000000,4936000000,5425000000,5174000000,4274000000,4387000000,4891000000,4080000000,2755000000,2894000000,3062000000,2983000000,2545000000,2904000000,3144000000,3553000000,3316000000,2614000000,2722000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2004000000,2343000000,2626000000,3337500000,3964000000,5189000000,7013000000,7683000000,9902212000,10343000000,10048000000,8821000000,8544000000,7838000000,7564000000,7985000000,7065000000,7422000000,7470000000,7849000000,7690000000,7473000000,7610000000,7989000000,8049000000,13679000000,13769000000,8684000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,-212000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4077000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2004000000,2343000000,2627000000,3337500000,3964000000,5189000000,7013000000,7683000000,9902000000,10343000000,10048000000,8821000000,8544000000,7838000000,7564000000,7985000000,7065000000,7422000000,7470000000,7849000000,7690000000,7473000000,7610000000,7989000000,8049000000,13679000000,13769000000,12761000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/39911/000003991195000015/0000039911-95-000015-index.html,- -,https://www.sec.gov/Archives/edgar/data/39911/000101287097000791/0001012870-97-000791-index.html,https://www.sec.gov/Archives/edgar/data/39911/000101287098000890/0001012870-98-000890-index.html,https://www.sec.gov/Archives/edgar/data/39911/000092962499000704/0000929624-99-000704-index.html,- -,https://www.sec.gov/Archives/edgar/data/39911/000092962401000565/0000929624-01-000565-index.html,https://www.sec.gov/Archives/edgar/data/39911/000102140802004717/0001021408-02-004717-index.html,https://www.sec.gov/Archives/edgar/data/39911/000102140803005462/d10k.htm,https://www.sec.gov/Archives/edgar/data/39911/000119312504053618/d10k.htm,https://www.sec.gov/Archives/edgar/data/39911/000119312505061097/d10k.htm,https://www.sec.gov/Archives/edgar/data/39911/000119312506064998/d10k.htm,https://www.sec.gov/Archives/edgar/data/39911/000119312507070941/0001193125-07-070941-index.html,https://www.sec.gov/Archives/edgar/data/39911/000119312508069025/d10k.htm,https://www.sec.gov/Archives/edgar/data/39911/000119312509066067/0001193125-09-066067-index.html,https://www.sec.gov/Archives/edgar/data/39911/000119312510068386/0001193125-10-068386-index.html,https://www.sec.gov/Archives/edgar/data/39911/000119312511079691/d10k.htm,https://www.sec.gov/Archives/edgar/data/39911/000119312512132098/0001193125-12-132098-index.html,https://www.sec.gov/Archives/edgar/data/39911/000003991113000057/0000039911-13-000057-index.html,https://www.sec.gov/Archives/edgar/data/39911/000003991114000045/fy201310-k.htm,https://www.sec.gov/Archives/edgar/data/39911/000003991115000101/fy201410-k.htm,https://www.sec.gov/Archives/edgar/data/39911/000003991116000269/0000039911-16-000269-index.html,https://www.sec.gov/Archives/edgar/data/39911/000003991117000058/0000039911-17-000058-index.html,https://www.sec.gov/Archives/edgar/data/39911/000003991118000048/0000039911-18-000048-index.html,https://www.sec.gov/Archives/edgar/data/39911/000003991119000023/0000039911-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/39911/000003991120000019/0000039911-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/39911/000003991121000021/0000039911-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/39911/000003991122000012/0000039911-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,97600000,144500000,229900000,210700000,258400000,320000000,354000000,453000000,533900000,825000000,1127000000,877000000,-8000000,477000000,1030000000,1150000000,1113000000,778000000,833000000,967000000,1102000000,1204000000,833000000,1135000000,1280000000,1262000000,920000000,676000000,848000000,1003000000,351000000,-665000000,256000000
74,Depreciation and Amortization,- -,- -,- -,- -,43800000,61500000,82100000,114000000,141800000,168200000,197400000,214900000,269700000,326400000,436200000,590365000,810486000,780876000,664000000,620000000,625000000,530000000,547000000,568000000,655000000,648000000,592000000,559000000,536000000,564000000,592000000,593000000,559000000,578000000,557000000,507000000,- -
