,https://roic.ai/company/MGRC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,5200000,7100000,13300000,14800000,17100000,20900000,21400000,18400000,19000000,24600000,30200000,28200000,45400000,47200000,45600000,56516000,52045000,25235000,40708000,54076000,73620000,76327000,80530000,77679000,61079000,65236000,88664000,82016000,80061000,85360000,76957000,79259000,94740000,117481000,141372000,140753000,132421000
18,Operating Income ratio,0.3688,0.4034,0.4182,0.4157,0.4222,0.3996,0.3835,0.3370,0.3327,0.3602,0.4236,0.3169,0.3363,0.3486,0.3508,0.3443,0.3265,0.1739,0.3108,0.2670,0.2705,0.2858,0.2872,0.2554,0.2216,0.2239,0.2587,0.2253,0.2111,0.2092,0.1902,0.1869,0.2050,0.2357,0.2479,0.2458,0.2147
19,Total Other Income Expenses (Gains),-1000000,-1000000,-2900000,-3700000,-4800000,-4800000,-3000000,-2000000,-1700000,-2200000,-7200000,-2900000,-5100000,-7300000,-6900000,-9510000,-7078000,-3982000,-2668000,-5188000,-7890000,-10760000,-10719000,-9977000,-7105000,-6186000,-7606000,-9149000,-8687000,-8799000,-10580000,-12328000,-11288000,-12786000,-12247000,-8709000,-10665000
20,Income Before Tax,4200000,6100000,10400000,11100000,12300000,16100000,18400000,16400000,17300000,22400000,23000000,25300000,40300000,39900000,38700000,47006000,44967000,21253000,38040000,48888000,65730000,65567000,69811000,67702000,53974000,59050000,81058000,72867000,71374000,76561000,66377000,66931000,83452000,104695000,129125000,132044000,121756000
21,Income Before Tax Ratio,0.2979,0.3466,0.3270,0.3118,0.3037,0.3078,0.3297,0.3004,0.3030,0.3280,0.3226,0.2843,0.2985,0.2947,0.2977,0.2863,0.2821,0.1465,0.2904,0.2414,0.2415,0.2455,0.2490,0.2226,0.1958,0.2027,0.2365,0.2001,0.1882,0.1876,0.1641,0.1578,0.1806,0.2101,0.2264,0.2306,0.1974
22,Income Tax expense (Gain),1200000,3200000,4800000,4700000,5200000,6600000,7400000,6300000,6700000,9400000,9200000,9800000,16300000,16000000,14900000,19762000,17807000,8459000,15178000,18843000,24649000,24209000,27337000,26498000,20649000,22571000,31456000,28090000,27977000,30852000,25907000,28680000,-70468000,25289000,32319000,30060000,32051000
23,Net Income,3000000,2900000,5600000,6400000,7100000,9500000,11000000,10100000,10600000,13000000,13800000,15500000,24000000,23900000,22400000,27244000,26678000,12633000,22692000,29997000,40819000,41078000,42410000,41204000,33325000,36479000,49602000,44777000,43397000,45709000,40470000,38251000,153920000,79406000,96806000,101984000,89705000
24,Net Income ratio,0.2128,0.1648,0.1761,0.1798,0.1753,0.1816,0.1971,0.1850,0.1856,0.1903,0.1935,0.1742,0.1778,0.1765,0.1723,0.1660,0.1674,0.0871,0.1733,0.1481,0.1500,0.1538,0.1512,0.1355,0.1209,0.1252,0.1448,0.1230,0.1144,0.1120,0.1000,0.0902,0.3331,0.1593,0.1698,0.1781,0.1454
25,EPS,0.10,0.09,0.16,0.18,0.23,0.32,0.34,0.29,0.32,0.40,0.43,0.51,0.80,0.84,0.85,1.10,1.09,0.51,0.94,1.23,1.65,1.65,1.68,1.74,1.40,1.52,2.04,1.80,1.71,1.77,1.60,1.60,6.41,3.29,3.99,4.22,3.70
26,EPS Diluted,0.10,0.09,0.16,0.18,0.23,0.32,0.34,0.29,0.32,0.39,0.43,0.51,0.79,0.83,0.84,1.09,1.07,0.50,0.93,1.21,1.61,1.63,1.67,1.72,1.40,1.50,2.00,1.78,1.67,1.75,1.59,1.60,6.34,3.24,3.93,4.16,3.66
27,Weighted Average Shares Outstanding,28571429,32222222,35000000,34594595,30869565,30158730,32835821,34237288,33125000,32911392,32336988,30611604,29964180,28326000,26470000,24668000,24464000,24936000,24250000,24344000,24668000,24948000,25231000,23740000,23745000,23944000,24349000,24759000,25433000,25914000,25369000,23900000,23999000,24141000,24250000,24157000,24245000
28,Weighted Average Shares Outstanding Diluted,28571429,32222222,35000000,34594595,30869565,30158730,32835821,34237288,33650794,33766234,32459016,30611604,30362610,28698000,26766000,24856000,24990000,25238000,24518000,24804000,25331000,25231000,25443000,23944000,23869000,24289000,24760000,25156000,25926000,26175000,25457000,23976000,24269000,24540000,24623000,24531000,24507000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/752714/000091205796005516/0000912057-96-005516-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/752714/000109581101001907/0001095811-01-001907-index.html,- -,https://www.sec.gov/Archives/edgar/data/752714/000102140803005087/d10k.htm,https://www.sec.gov/Archives/edgar/data/752714/000119312504040246/d10k.htm,https://www.sec.gov/Archives/edgar/data/752714/000119312505051423/d10k.htm,https://www.sec.gov/Archives/edgar/data/752714/000119312506052481/0001193125-06-052481-index.html,https://www.sec.gov/Archives/edgar/data/752714/000119312507053703/d10k.htm,https://www.sec.gov/Archives/edgar/data/752714/000119312508040001/d10k.htm,https://www.sec.gov/Archives/edgar/data/752714/000119312509040552/0001193125-09-040552-index.html,https://www.sec.gov/Archives/edgar/data/752714/000119312510042731/0001193125-10-042731-index.html,https://www.sec.gov/Archives/edgar/data/752714/000119312511047378/d10k.htm,https://www.sec.gov/Archives/edgar/data/752714/000119312512089056/0001193125-12-089056-index.html,https://www.sec.gov/Archives/edgar/data/752714/000119312513071624/0001193125-13-071624-index.html,https://www.sec.gov/Archives/edgar/data/752714/000119312514077423/d647966d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/752714/000156459016013379/0001564590-16-013379-index.html,https://www.sec.gov/Archives/edgar/data/752714/000156459017002846/0001564590-17-002846-index.html,https://www.sec.gov/Archives/edgar/data/752714/000156459018003494/0001564590-18-003494-index.html,https://www.sec.gov/Archives/edgar/data/752714/000156459019004446/0001564590-19-004446-index.html,https://www.sec.gov/Archives/edgar/data/752714/000156459020006373/0001564590-20-006373-index.html,https://www.sec.gov/Archives/edgar/data/752714/000156459021007546/0001564590-21-007546-index.htm,https://www.sec.gov/Archives/edgar/data/752714/000156459022006230/0001564590-22-006230-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,300000,400000,300000,900000,400000,1200000,200000,700000,500000,900000,500000,643000,4000,4000,4000,189000,276000,349000,5090000,1325000,1187000,990000,1229000,1612000,1630000,1167000,1103000,852000,2501000,1508000,2342000,1238000,1491000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,300000,400000,300000,900000,400000,1200000,200000,700000,500000,900000,500000,643000,4000,4000,4000,189000,276000,349000,5090000,1325000,1187000,990000,1229000,1612000,1630000,1167000,1103000,852000,2501000,1508000,2342000,1238000,1491000
34,Net Receivables,- -,- -,- -,- -,6600000,7200000,7900000,8200000,11000000,12700000,13200000,19900000,21800000,21800000,25100000,45687000,36896000,33249000,32199000,53846000,63702000,59834000,67061000,93938000,76848000,82619000,92671000,92256000,87650000,101294000,106263000,96877000,105872000,121016000,128099000,123316000,159499000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19507000,19718000,41424000,28716000,25583000,22459000,31816000,45356000,41549000,54945000
37,Total Current Assets,- -,- -,- -,- -,6900000,7600000,8200000,9100000,11400000,13900000,13400000,20600000,22300000,22700000,25600000,46330000,36900000,33253000,32203000,54035000,63978000,60183000,72151000,95263000,78035000,83609000,93900000,113375000,108998000,143885000,136082000,123312000,130832000,154340000,175797000,166103000,215935000
38,PP&E,- -,- -,- -,- -,91200000,103300000,127000000,133700000,148100000,154000000,127600000,137300000,174100000,250500000,268200000,299938000,307304000,270278000,279296000,405538000,462441000,509488000,552494000,629001000,624330000,675441000,767848000,819884000,872197000,934378000,979354000,968561000,981490000,1027914000,1098547000,1074326000,1200549000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27464000,27661000,27700000,27700000,27700000,27700000,27808000,27808000,27808000,27808000,27808000,28197000,28197000,132393000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14136000,13670000,12868000,12311000,11487000,10662000,10336000,9465000,8595000,7724000,7254000,7334000,7118000,47049000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41600000,41331000,40568000,40011000,39187000,38362000,38144000,37273000,36403000,35532000,35062000,35531000,35315000,179442000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,29100000,65700000,81400000,91900000,7700000,8300000,1800000,1400000,1900000,2000000,34100000,42100000,56000000,5500000,3900000,10978000,10680000,9603000,12359000,14707000,16019000,15871000,17591000,18633000,14240000,13944000,17170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,29100000,65700000,81400000,91900000,98900000,111600000,128800000,135100000,150000000,156000000,161700000,179400000,230100000,256000000,272100000,310916000,317984000,279881000,291655000,420245000,478460000,525359000,570085000,689234000,679901000,729953000,825029000,859071000,910559000,972522000,1016627000,1004964000,1017022000,1062976000,1134078000,1109641000,1379991000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,29100000,65700000,81400000,91900000,105800000,119200000,137000000,144200000,161400000,169900000,175100000,200000000,252400000,278700000,297700000,357246000,354884000,313134000,323858000,474280000,542438000,585542000,642236000,784497000,757936000,813562000,918929000,972446000,1019557000,1116407000,1152709000,1128276000,1147854000,1217316000,1309875000,1275744000,1595926000
48,Accounts Payable,- -,- -,- -,- -,4600000,6400000,7300000,6800000,8100000,9600000,11700000,15300000,27000000,23000000,24800000,37012000,30745000,29889000,28695000,39460000,51690000,55509000,55642000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55523000,47266000,151888000,163232000,- -,- -,305500000,- -,265640000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18473000,17337000,21970000,24377000,27410000,25852000,28948000,28055000,24744000,23790000,25067000,- -,- -,29139000,- -,- -,- -,- -,- -,45975000,58716000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,68700000,- -,- -,- -,- -,- -,5500000,9500000,19241000,- -,- -,- -,- -,101637000,- -,- -,-104439000,218445000,-36485000,264220000,52220000,63318000,71357000,71942000,78205000,86408000,90844000,109174000,108334000,136313000
53,Total Current Liabilities,- -,- -,- -,- -,4600000,6400000,7300000,75500000,8100000,9600000,11700000,15300000,27000000,28500000,34300000,56253000,49218000,102749000,97931000,215725000,343969000,81361000,84590000,229116000,243189000,252945000,289287000,52220000,63318000,100496000,71942000,78205000,86408000,90844000,109174000,154309000,195029000
54,Long-Term Debt,- -,- -,- -,- -,46900000,46200000,36900000,- -,40100000,36000000,37100000,53900000,82000000,97000000,110300000,126876000,104140000,- -,- -,- -,- -,165557000,197729000,305500000,247334000,265640000,296500000,302000000,290003000,322478000,381441000,326266000,303414000,298564000,293431000,222754000,426451000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26924000,24003000,29139000,36288000,37499000,39219000,49709000,54964000,45975000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,15300000,18200000,22000000,- -,30400000,33300000,34500000,36900000,36200000,45200000,54900000,61653000,66985000,68259000,79059000,88730000,- -,104353000,115886000,145590000,- -,- -,- -,226564000,241203000,268902000,283351000,292019000,194629000,206664000,218270000,216077000,242425000
57,Other Non-Current Liabilities,17500000,42800000,52800000,57200000,5000000,6900000,7000000,- -,6700000,7200000,5900000,5100000,7100000,- -,- -,- -,- -,- -,- -,- -,163200000,- -,- -,-145590000,- -,- -,- -,- -,- -,-29139000,- -,- -,- -,- -,- -,-45975000,- -
58,Total Non-Current Liabilities,17500000,42800000,52800000,57200000,67200000,71300000,65900000,- -,77200000,76500000,77500000,95900000,125300000,142200000,165200000,188529000,171125000,68259000,79059000,88730000,163200000,269910000,313615000,305500000,247334000,265640000,296500000,555488000,555209000,591380000,701080000,655784000,537262000,554937000,566665000,438831000,668876000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,17500000,42800000,52800000,57200000,71800000,77700000,73200000,75500000,85300000,86100000,89200000,111200000,152300000,170700000,199500000,244782000,220343000,171008000,176990000,304455000,343969000,351271000,398205000,534616000,490523000,518585000,585787000,607708000,618527000,691876000,773022000,733989000,623670000,645781000,675839000,593140000,863905000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,8971000,12794000,16320000,17900000,21586000,26224000,- -,- -,- -,- -,- -,- -,85342000,103023000,106469000,101046000,101821000,102947000,103801000,106360000,106289000,108610000
64,Retained Earnings,6300000,9200000,14800000,21200000,28300000,35400000,43800000,50300000,831300000,67800000,77000000,81600000,90900000,97300000,86600000,99987000,118801000,122699000,126078000,145302000,172245000,196829000,202114000,204127000,216544000,231354000,258264000,279396000,298038000,318164000,278708000,292521000,421405000,467783000,527746000,576419000,623465000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-16800000,-22000000,-29500000,-35200000,-43500000,-50600000,-57900000,-64400000,-75600000,-83000000,-94100000,-106083000,-129565000,-113298000,-117387000,-142243000,-156502000,-200241000,-236628000,-270453000,-298375000,-332239000,-357755000,-393293000,-424216000,-102000,-501892000,-536540000,-555247000,-592103000,-637219000,-104000,-54000
66,Other Total Stockholders Equity,5300000,13700000,13800000,13500000,22500000,28100000,49500000,53600000,- -,66600000,66800000,71600000,83300000,91100000,94100000,106083000,129565000,113298000,117387000,142243000,156502000,234204000,278545000,316207000,349244000,395862000,432633000,393293000,424185000,- -,501825000,536485000,555079000,592054000,637149000,- -,- -
67,Total Stockholders Equity,11600000,22900000,28600000,34700000,34000000,41500000,63800000,68700000,76100000,83800000,85900000,88800000,98600000,105400000,95400000,108958000,131595000,139019000,143978000,166888000,198469000,230792000,244031000,249881000,267413000,294977000,333142000,364738000,401030000,424531000,379687000,394287000,524184000,571535000,634036000,682604000,732021000
68,Total Liabilities And Stockholders Equity,29100000,65700000,81400000,91900000,105800000,119200000,137000000,144200000,161400000,169900000,175100000,200000000,250900000,276100000,294900000,353740000,351938000,310027000,320968000,471343000,542438000,582063000,642236000,784497000,757936000,813562000,918929000,972446000,1019557000,1116407000,1152709000,1128276000,1147854000,1217316000,1309875000,1275744000,1595926000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,2600000,2800000,3506000,2946000,3107000,2890000,2937000,- -,3479000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,29100000,65700000,81400000,91900000,105800000,119200000,137000000,144200000,161400000,169900000,175100000,200000000,252400000,278700000,297700000,357246000,354884000,313134000,323858000,474280000,542438000,585542000,642236000,784497000,757936000,813562000,918929000,972446000,1019557000,1116407000,1152709000,1128276000,1147854000,1217316000,1309875000,1275744000,1595926000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/752714/000091205796005516/0000912057-96-005516-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/752714/000109581101001907/0001095811-01-001907-index.html,- -,https://www.sec.gov/Archives/edgar/data/752714/000102140803005087/d10k.htm,https://www.sec.gov/Archives/edgar/data/752714/000119312504040246/d10k.htm,https://www.sec.gov/Archives/edgar/data/752714/000119312505051423/d10k.htm,https://www.sec.gov/Archives/edgar/data/752714/000119312506052481/0001193125-06-052481-index.html,https://www.sec.gov/Archives/edgar/data/752714/000119312507053703/d10k.htm,https://www.sec.gov/Archives/edgar/data/752714/000119312508040001/d10k.htm,https://www.sec.gov/Archives/edgar/data/752714/000119312509040552/0001193125-09-040552-index.html,https://www.sec.gov/Archives/edgar/data/752714/000119312510042731/0001193125-10-042731-index.html,https://www.sec.gov/Archives/edgar/data/752714/000119312511047378/d10k.htm,https://www.sec.gov/Archives/edgar/data/752714/000119312512089056/0001193125-12-089056-index.html,https://www.sec.gov/Archives/edgar/data/752714/000119312513071624/0001193125-13-071624-index.html,https://www.sec.gov/Archives/edgar/data/752714/000119312514077423/d647966d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/752714/000156459016013379/0001564590-16-013379-index.html,https://www.sec.gov/Archives/edgar/data/752714/000156459017002846/0001564590-17-002846-index.html,https://www.sec.gov/Archives/edgar/data/752714/000156459018003494/0001564590-18-003494-index.html,https://www.sec.gov/Archives/edgar/data/752714/000156459019004446/0001564590-19-004446-index.html,https://www.sec.gov/Archives/edgar/data/752714/000156459020006373/0001564590-20-006373-index.html,https://www.sec.gov/Archives/edgar/data/752714/000156459021007546/0001564590-21-007546-index.htm,https://www.sec.gov/Archives/edgar/data/752714/000156459022006230/0001564590-22-006230-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,7100000,9500000,11000000,10100000,10600000,13000000,13800000,15500000,24000000,23900000,22400000,27244000,26678000,12633000,22692000,29997000,40819000,41078000,42410000,41204000,33325000,36479000,49602000,44777000,43397000,45709000,40470000,38251000,153920000,79406000,96806000,101984000,89705000
74,Depreciation and Amortization,- -,- -,- -,- -,6000000,6900000,7900000,10300000,10900000,11400000,12400000,13300000,15800000,18800000,21500000,25716000,29632000,17872000,14692000,34501000,46433000,47461000,54002000,60416000,63130000,62577000,67395000,72476000,76849000,81125000,84280000,81179000,78416000,81975000,89476000,94643000,106695000
75,Deferred Income Tax,- -,- -,- -,- -,3500000,2900000,3800000,3600000,4200000,2900000,- -,- -,-600000,8900000,10600000,6792000,5332000,2223000,11161000,- -,- -,5915000,11533000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3766000,3598000,4227000,5221000,3840000,3680000,3854000,3399000,3091000,3198000,4111000,5892000,5549000,7666000
77,Change in Working Capital,- -,- -,- -,- -,900000,-300000,-67300000,69700000,1000000,-2600000,3600000,-10000000,-1100000,-2900000,-1223000,-2395000,-57178000,3768000,-95962000,-118301000,258813000,8739000,-121414000,-31301000,-4182000,-26051000,256542000,-15475000,-2291000,20751000,-19033000,-683000,19072000,3127000,-54829000,-372072000,16443000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15102000,14121000,-7385000,-17938000,-3848000,2462000,-15469000,3882000,-3752000,-10475000,-15725000,-7323000,3440000,-24397000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,1200000,900000,-66400000,3300000,4300000,1700000,5300000,-4700000,-5800000,-8700000,-9923000,-12318000,-69496000,-65728000,-161690000,-279991000,-21178000,-12439000,-133853000,-165154000,-169336000,-195387000,61155000,45680000,43389000,64140000,45107000,44424000,63496000,66623000,11794000,-360278000,35430000
82,Other Non-Cash Items,- -,- -,- -,- -,-800000,1200000,65600000,-71200000,-5200000,- -,-5800000,3300000,21100000,7000000,-77000,-7391000,54474000,15755000,95361000,116075000,-264212000,-4074000,108361000,24653000,26529000,23366000,-249449000,20763000,12008000,-28453000,35436000,19923000,-132217000,-25952000,50649000,350400000,-24766000
