,https://roic.ai/company/ESP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1500000,1500000,1500000,1800000,1800000,1800000,1800000,1700000,1900000,2000000,2100000,2300000,2400000,2200000,2474466,1892459,1751855,1951475,2536142,2274026,2636458,2831365,2623313,2826676,3006517,2905916,2828409,2917140,3214050,2711807,3028449,3188112,3808395,4410234,4386307,3785746
11,COGS and Expenses,11100000,11200000,10400000,11500000,11700000,12100000,13900000,13000000,13200000,14600000,16600000,14800000,12100000,12900000,13986201,16082369,17856074,18627025,21328476,17721369,18945939,24427757,21462806,23981585,24143234,24199221,26045603,26515781,25819723,22401939,23128132,20994556,28664026,33824912,30353923,28160737
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,327260,99373,56154,49354,35813,40612,36424,33782,88836,160650,167682,109749,21376
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,300000,300000,300000,300000,400000,400000,400000,400000,500000,500000,500000,500000,400000,400000,472149,604988,513470,495670,557943,541041,532735,504243,491526,488461,455592,467296,426389,418149,452390,445687,434401,435557,429679,540978,568528,519813
15,EBITDA,3500000,2900000,3600000,3800000,4500000,4500000,3300000,3000000,2600000,1300000,1300000,1400000,-700000,1500000,1665091,2080092,1242224,1781936,1858560,1892896,2899289,4410733,5442711,4093521,5355237,5848838,6507845,8284336,1918339,4943503,4896908,2086962,4498755,3422611,1877717,151616
16,EBITDA ratio,0.2536,0.2197,0.2748,0.2676,0.3000,0.2903,0.2062,0.1974,0.1769,0.0890,0.0774,0.0921,-0.0648,0.1103,0.1131,0.1206,0.0675,0.0901,0.0826,0.1005,0.1390,0.1595,0.2118,0.1503,0.1853,0.1983,0.2031,0.2415,0.0707,0.1842,0.1783,0.0927,0.1383,0.0938,0.0596,0.0055
17,Operating Income,2700000,2000000,2700000,2700000,3300000,3400000,2100000,2200000,1500000,- -,200000,400000,-1300000,700000,733617,1169271,549139,1146386,1178723,1107331,1905631,3228602,4238933,3260050,4756779,5300283,5991754,7782429,1317196,4429766,4343233,1526456,3853857,2652939,1172308,-426139
18,Operating Income ratio,0.1957,0.1515,0.2061,0.1901,0.2200,0.2194,0.1313,0.1447,0.1020,- -,0.0119,0.0263,-0.1204,0.0515,0.0498,0.0678,0.0298,0.0580,0.0524,0.0588,0.0914,0.1167,0.1649,0.1197,0.1646,0.1797,0.1870,0.2269,0.0485,0.1651,0.1581,0.0678,0.1185,0.0727,0.0372,-0.0154
19,Total Other Income Expenses (Gains),500000,600000,600000,800000,800000,700000,800000,400000,400000,700000,600000,500000,200000,400000,459325,305833,179615,139880,121894,244524,460923,677888,712252,345010,142866,81259,89702,83758,148753,68050,119274,124949,215219,228694,136881,57942
20,Income Before Tax,3200000,2600000,3300000,3500000,4100000,4100000,2900000,2600000,1900000,800000,800000,900000,-1100000,1100000,1192942,1475104,728754,1286266,1300617,1351855,2366554,3906490,4951185,3605060,4899645,5381542,6081456,7866187,1465949,4497816,4462507,1651405,4069076,2881633,1309189,-368197
21,Income Before Tax Ratio,0.2319,0.1970,0.2519,0.2465,0.2733,0.2645,0.1812,0.1711,0.1293,0.0548,0.0476,0.0592,-0.1019,0.0809,0.0810,0.0855,0.0396,0.0651,0.0578,0.0718,0.1135,0.1413,0.1926,0.1323,0.1695,0.1824,0.1898,0.2293,0.0540,0.1676,0.1624,0.0733,0.1251,0.0790,0.0415,-0.0133
22,Income Tax expense (Gain),1500000,1200000,1300000,1300000,1500000,1600000,1000000,1000000,800000,300000,300000,300000,-400000,400000,410000,442035,183000,321566,339791,372935,808538,1361770,1529316,871820,1334683,1524005,1691188,2303762,298064,1314689,1286706,515669,993279,538939,145521,-186654
23,Net Income,1700000,1400000,2000000,2200000,2600000,2500000,1900000,1600000,1300000,500000,500000,600000,-700000,700000,782942,1033069,545754,964700,960826,978920,1558016,2544720,3421869,2733240,3564962,3857537,4390268,5562425,1167885,3183127,3175801,1135736,3075797,2342694,1163668,-181543
24,Net Income ratio,0.1232,0.1061,0.1527,0.1549,0.1733,0.1613,0.1187,0.1053,0.0884,0.0342,0.0298,0.0395,-0.0648,0.0515,0.0532,0.0599,0.0297,0.0488,0.0427,0.0520,0.0747,0.0920,0.1331,0.1003,0.1234,0.1308,0.1370,0.1622,0.0430,0.1186,0.1156,0.0504,0.0946,0.0642,0.0369,-0.0065
25,EPS,0.71,0.56,0.85,0.95,0.90,0.90,0.68,0.59,0.50,0.18,0.20,0.26,-0.34,0.33,0.38,0.50,0.27,0.47,0.47,0.48,0.77,1.24,1.65,1.30,1.67,1.79,2.02,2.52,0.52,1.40,1.39,0.49,1.32,0.99,0.49,-0.08
26,EPS Diluted,0.71,0.56,0.85,0.95,0.90,0.90,0.68,0.59,0.50,0.18,0.20,0.26,-0.34,0.33,0.38,0.50,0.26,0.47,0.47,0.48,0.76,1.23,1.63,1.29,1.67,1.77,1.99,2.48,0.51,1.39,1.38,0.49,1.31,0.98,0.49,-0.08
27,Weighted Average Shares Outstanding,2394366,2477876,2352941,2315789,2905028,2777778,2814815,2711864,2600000,2702703,2439024,2352941,2089552,2200130,2091040,2062806,2061112,2050400,2027326,2021234,2012761,2048626,2079734,2107643,2129417,2151443,2172589,2206937,2245222,2271426,2285686,2312870,2333885,2372945,2393207,2406345
28,Weighted Average Shares Outstanding Diluted,2394366,2477876,2352941,2315789,2905028,2777778,2814815,2711864,2600000,2857143,2666667,2352941,2089552,2200130,2091040,2067978,2069808,2055372,2044688,2043208,2049455,2077664,2103836,2113798,2137799,2176299,2203060,2242648,2285535,2290542,2302034,2324838,2348307,2389228,2396618,2406345
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33533/000003353395000006/0000033533-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/33533/000003353396000006/0000033533-96-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/33533/000003353398000017/0000033533-98-000017-index.html,https://www.sec.gov/Archives/edgar/data/33533/000091431799000560/0000914317-99-000560-index.html,https://www.sec.gov/Archives/edgar/data/33533/000091431700000664/0000914317-00-000664-index.html,https://www.sec.gov/Archives/edgar/data/33533/000091431701500369/0000914317-01-500369-index.html,https://www.sec.gov/Archives/edgar/data/33533/000091431702001025/0000914317-02-001025-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33533/000091431709001828/0000914317-09-001828-index.html,https://www.sec.gov/Archives/edgar/data/33533/000091431710001478/0000914317-10-001478-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000091431711001254/0000914317-11-001254-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000091431712001329/0000914317-12-001329-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000091431713001186/0000914317-13-001186-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000091431714001216/0000914317-14-001216-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494715001463/0001174947-15-001463-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494716003138/0001174947-16-003138-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494717001285/0001174947-17-001285-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494718001151/0001174947-18-001151-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494719001066/0001174947-19-001066-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494720000957/0001174947-20-000957-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494721000861/0001174947-21-000861-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,5600000,12100000,2600000,2400000,2367191,5200736,9192962,10996483,12310972,9803507,7072615,11096111,6851753,2775319,4475066,9695811,11523424,9888628,9556891,8859405,10031644,10058163,4298796,1462761,5402122,6802712
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,650000,737600,368000,- -,1056000,3072000,3936000,4320000,7336000,6349874,7111182,1946214,3184711,3892968,4910893,4159057,5580059,9426968,11520706,5684240,5141520,3092000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,5600000,12100000,2600000,6100000,3017191,5938336,9560962,10996483,13366972,12875507,11008615,15416111,14187753,9125193,11586248,11642025,14708135,13781596,14467784,13018462,15611703,19485131,15819502,7147001,10543642,9894712
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,1600000,1200000,2200000,4500000,4151463,2568489,2423119,3482533,2142206,2996413,4220112,3023929,3963371,5205142,5495251,6266765,3217875,7204226,4137912,6694401,5286762,3519792,4539701,10995783,9013405,5603383
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,10200000,11000000,8200000,8800000,11000000,14826452,14932677,12740795,11836267,10085297,10367552,12404379,11149327,10188234,13029205,10941386,10579060,11645706,11373770,10611250,11585897,10733681,9678811,11306002,13225137,14788055,18791892
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,11300000,3300000,300000,7700000,500000,545210,297489,283834,213151,436269,471992,719096,725877,525541,457907,414918,569457,623320,734829,502599,546621,472246,544865,1292575,494181,396886,700297
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,25100000,21500000,21800000,21300000,22100000,22540316,23736991,25008710,26528434,26030744,26711464,28352202,30315244,28864899,27817447,28437803,29057307,30195036,33094421,29719545,31845381,32104392,33228599,32957780,31862102,34741988,34990284
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,3400000,3300000,3200000,3300000,3571205,3491890,3324252,3267063,3100516,2984837,2882452,2934510,2956590,2738222,2717330,2703014,2523196,2421332,2678901,2498863,2348525,2265096,3758637,3825411,3466778,2990519
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,100000,- -,6516,- -,- -,- -,- -,- -,- -,- -,65003,38673,11546,108303,67371,25194,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,3500000,3400000,3300000,3300000,3577721,3491890,3324252,3267063,3100516,2984837,2882452,2934510,3021593,2776895,2728876,2811317,2590567,2446526,2678901,2498863,2348525,2265096,3758637,3825411,3466778,2990519
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,28800000,25000000,25200000,24600000,25400000,26118037,27228881,28332962,29795497,29131260,29696301,31234654,33249754,31886492,30594342,31166679,31868624,32785603,35540947,32398446,34344244,34452917,35493695,36716417,35687513,38208766,37980803
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,200000,200000,200000,300000,541636,334772,497454,647597,250675,378771,615586,980951,600931,999521,1607147,1453707,1309037,1273142,727281,976112,552787,2250115,1822597,2160433,2861696,2718173
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,266891,14793,277746,73596,430463,- -,2716,- -,- -,- -,30481,47707,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6054,2175235,3077605
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,400000,700000,1000000,787535,728725,781066,1194392,714363,962181,1419645,1032727,815246,1091434,985665,1479169,1686614,2229826,1740781,2212507,1308655,1125466,1394715,1318447,1712034,1684173
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,600000,600000,900000,1300000,1329171,1063497,1278520,1841989,965038,1340952,2035231,2013678,1416177,2090955,2592812,2932876,2995651,3502968,2468062,3188619,1861442,3375581,3217312,3484934,6748965,7479951
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,324316,298057,226653,178900,132578,99253,127148,270729,222504,195385,283439,224751,203237,220571,17693,277075,232953,168557
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,100000,- -,- -,- -,- -,- -,- -,- -,324316,298057,226653,178900,132578,99253,127148,270729,222504,195385,283439,224751,203237,220571,17693,277075,232953,168557
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,700000,600000,900000,1300000,1329171,1063497,1278520,1841989,1289354,1639009,2261884,2192578,1548755,2190208,2719960,3203605,3218155,3698353,2751501,3413370,2064679,3596152,3235005,3762009,6981918,7648508
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,504979,504979,504979,504979,504979,504979,1009958,1009958,1009958,1009958,1009958,1009958,1009958,1009958,1009958,1009958,1009958,1009958,1009958,1009958,1009958,1043291
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,24700000,24300000,24100000,22700000,23200000,23775433,23775433,24848858,25458400,24911920,25284554,25651945,27054325,25796703,23485675,23002981,22780026,23053762,24260121,20946940,21865951,22820938,21670196,22416400,20022132,18797589,17414730
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7900000,-8400000,-8700000,-9200000,-9600000,-9593838,-7842117,-7850996,-558662,-8800880,-9278213,-8253520,-8260217,-3251248,-2914077,-2588954,-2275872,-1973352,412,-1437,-4386,-1408,-3599,-6349,-1299,-3107,-2361
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,8400000,9200000,10200000,10000000,10102292,9727089,9551601,2548791,11225887,11545972,10564387,11253110,6782324,6822578,7022734,7150907,7477080,6572103,7691484,8059351,8558750,9220988,10061403,10894713,11422408,11876635
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,27800000,24300000,24600000,23700000,24100000,24788866,26165384,27054442,27953508,27841906,28057292,28972770,31057176,30337737,28404134,28446719,28665019,29567448,31842594,29646945,30930874,32388238,31897543,33481412,31925504,31226848,30332295
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,28800000,25000000,25200000,24600000,25400000,26118037,27228881,28332962,29795497,29131260,29696301,31234654,33249754,31886492,30594342,31166679,31868624,32785603,35540947,32398446,34344244,34452917,35493695,36716417,35687513,38208766,37980803
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,28800000,25000000,25200000,24600000,25400000,26118037,27228881,28332962,29795497,29131260,29696301,31234654,33249754,31886492,30594342,31166679,31868624,32785603,35540947,32398446,34344244,34452917,35493695,36716417,35687513,38208766,37980803
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/33533/000003353395000006/0000033533-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/33533/000003353396000006/0000033533-96-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/33533/000003353398000017/0000033533-98-000017-index.html,https://www.sec.gov/Archives/edgar/data/33533/000091431799000560/0000914317-99-000560-index.html,https://www.sec.gov/Archives/edgar/data/33533/000091431700000664/0000914317-00-000664-index.html,https://www.sec.gov/Archives/edgar/data/33533/000091431701500369/0000914317-01-500369-index.html,https://www.sec.gov/Archives/edgar/data/33533/000091431702001025/0000914317-02-001025-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33533/000091431709001828/0000914317-09-001828-index.html,https://www.sec.gov/Archives/edgar/data/33533/000091431710001478/0000914317-10-001478-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000091431711001254/0000914317-11-001254-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000091431712001329/0000914317-12-001329-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000091431713001186/0000914317-13-001186-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000091431714001216/0000914317-14-001216-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494715001463/0001174947-15-001463-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494716003138/0001174947-16-003138-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494717001285/0001174947-17-001285-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494718001151/0001174947-18-001151-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494719001066/0001174947-19-001066-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494720000957/0001174947-20-000957-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494721000861/0001174947-21-000861-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,1900000,1600000,1300000,500000,500000,600000,-700000,700000,782942,1033069,545754,964700,960826,978920,1558016,2544720,3421869,2733240,3564962,3857537,4390268,5562425,1167885,3183127,3175801,1135736,3075797,2342694,1163668,-181543
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,400000,400000,500000,500000,500000,500000,400000,400000,472149,604988,513470,495670,557943,541041,532735,504243,491526,488461,455592,467296,426389,418149,452390,445687,434401,435557,429679,540978,568528,519813
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,-100000,-200000,-200000,100000,103600,188709,112097,57359,133849,-85380,-100376,-60449,-38510,-88305,23644,12114,-111465,-22641,183319,-42096,92939,-25521,115075,258040,-43641,-64396
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,526193,511964,66237,606121,643987,652048,520059,540713,546586,510994,562517,494645,487560
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-1300000,- -,- -,24100000,-3200000,300000,-800000,400000,411145,1462349,1056696,956255,379261,304806,946459,1984595,-852844,-1722230,118499,279440,1074954,2392068,-2339970,1405279,1586188,-389932,-112550,-1363300,-384145,-482690
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1487665,-361459,-771495,3048890,-3986351,4009548,-3499723,1736937,1557851,-978113,-6687067,1982378,3659624
79,Inventory,- -,- -,- -,- -,- -,- -,200000,800000,-600000,-100000,-800000,2800000,-600000,-2300000,-3784508,-106225,2191882,904528,1750970,-282255,-2036827,1255052,961093,-2840971,2087819,362326,-1066646,271936,762520,-974647,852216,1054870,-1627191,-1816211,-1562918,-4714044
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,398590,607626,- -,-144670,-35895,-545861,248831,-423325,1697328,-427518,337836,701263,-143523
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,24100000,20900000,21200000,20400000,20800000,21211145,22673494,23730190,24686445,25065706,25370512,26316971,28301566,27448722,25726492,25844991,26124431,27199385,29591453,27251483,28656762,30242950,29853018,29740468,28377168,27993023,27510333
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,-300000,-100000,-24900000,3100000,3000000,-500000,-4500000,-3846480,-215634,1428894,-537516,1842921,-1029338,-3246612,1102517,1125206,-1552423,2230110,230825,1000059,-5708358,5271871,-4840314,-70440,4718297,-3758088,-5945335,4169456,316252
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,1000000,1700000,1600000,100000,800000,4200000,-1800000,-2900000,-2076644,3073481,3656911,1936468,3874800,710049,-309778,6075626,4147247,384936,6904771,4913449,7386326,3285630,5387543,671742,5759602,6420723,260907,-3604406,5968511,594996
84,CAPEX,- -,- -,- -,- -,- -,- -,-800000,-300000,-200000,-1100000,-300000,-400000,-300000,-500000,-782122,-536749,-393865,-438481,-413517,-425362,-468868,-565003,-517959,-280790,-436502,-607311,-267983,-322507,-709972,-266029,-284210,-352132,-1923220,-608318,-214421,-43554
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14300000,-6800000,-24700000,-7200000,-6500000,- -,- -,- -,- -,-1056000,-2688000,-5952000,-4896000,-8135000,-8087874,-8410871,-3091032,-4523363,-7359816,-3456934,-3921537,-4930146,-8922097,-11199339,-6039808,-9338100,-5436056
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,200000,600000,4500000,14300000,27700000,600000,10000000,2915161,558662,399869,403188,- -,672000,5088000,4512000,5119000,26330,27127,8284243,40932,6649921,2436165,4668836,3514997,5071818,9102457,11882666,9878531,7486520
