,https://roic.ai/company/MCO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,917600000,932200000,124200000,158600000,199900000,236200000,276500000,339100000,238200000,494000000,516400000,559800000,654300000,708800000,832900000,896300000,958500000,1028400000,1061500000,1149700000,1272000000,1367000000,1449000000,1737000000
11,COGS and Expenses,1485800000,1491700000,313800000,398200000,485200000,583500000,651900000,792000000,777600000,1078000000,1009700000,1092200000,1259100000,1392300000,1627900000,1718700000,1888800000,2004700000,2088100000,2372500000,2517500000,2754000000,2924000000,3374000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,3100000,5300000,5200000,5500000,6700000,9700000,10900000,16000000,14700000,17000000,11000000,30000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35900000,55600000,67400000,69000000,97300000,123500000,124800000,148700000,204400000,230700000,225000000,216000000,201000000
14,Depreciation and Amortization,141600000,140900000,16600000,17000000,24600000,32600000,34100000,35200000,39500000,42900000,75100000,64100000,66300000,79200000,93500000,93400000,95600000,113500000,126700000,158300000,191900000,200000000,220000000,257000000
15,EBITDA,575100000,575800000,300600000,398900000,542000000,689000000,805400000,969900000,1300000000,1159600000,800900000,741100000,830700000,979800000,1176800000,1348600000,1662800000,1609600000,824200000,2142400000,2083800000,2228000000,2666000000,3213000000
16,EBITDA ratio,0.2973,0.2920,0.4991,0.5007,0.5297,0.5527,0.5600,0.5601,0.6382,0.5133,0.4562,0.4124,0.4088,0.4296,0.4310,0.4537,0.4987,0.4619,0.2287,0.5096,0.4690,0.4614,0.4964,0.5167
17,Operating Income,448700000,480100000,288500000,398500000,538100000,663100000,786400000,939600000,1259500000,1131000000,748200000,687500000,772800000,888400000,1077400000,1234600000,1439100000,1473400000,638700000,1809100000,1868200000,1998000000,2388000000,2844000000
18,Operating Income ratio,0.2319,0.2435,0.4790,0.5002,0.5258,0.5319,0.5468,0.5426,0.6183,0.5007,0.4262,0.3825,0.3803,0.3895,0.3946,0.4153,0.4316,0.4228,0.1772,0.4303,0.4205,0.4138,0.4446,0.4574
19,Total Other Income Expenses (Gains),-48900000,-45200000,-4500000,-16600000,-20700000,-6700000,-15100000,-4900000,1000000,-14300000,-22400000,-41300000,-58400000,-48600000,-53400000,-65300000,21900000,-93800000,-80700000,-22300000,-197200000,-188000000,-159000000,-89000000
20,Income Before Tax,399800000,434900000,284000000,381900000,517400000,656400000,771300000,934700000,1260500000,1116700000,725800000,646200000,714400000,839800000,1024000000,1169300000,1461000000,1379600000,558000000,1786800000,1671000000,1810000000,2229000000,2755000000
21,Income Before Tax Ratio,0.2067,0.2206,0.4715,0.4794,0.5056,0.5266,0.5363,0.5398,0.6188,0.4943,0.4135,0.3596,0.3516,0.3682,0.3751,0.3934,0.4382,0.3959,0.1548,0.4250,0.3761,0.3748,0.4150,0.4431
22,Income Tax expense (Gain),153400000,178900000,125500000,169700000,228500000,292500000,346200000,373900000,506600000,415200000,268200000,239100000,201000000,261800000,324300000,353400000,455000000,430000000,282200000,779100000,351600000,381000000,452000000,541000000
23,Net Income,280100000,256000000,158500000,212200000,288900000,363900000,425100000,560800000,753900000,701500000,457600000,402000000,507800000,571400000,690000000,804500000,988700000,941300000,266600000,1000600000,1309600000,1422000000,1778000000,2214000000
24,Net Income ratio,0.1448,0.1298,0.2632,0.2663,0.2823,0.2919,0.2956,0.3239,0.3701,0.3105,0.2607,0.2237,0.2499,0.2505,0.2527,0.2706,0.2965,0.2701,0.0740,0.2380,0.2948,0.2945,0.3310,0.3561
25,EPS,0.82,0.79,0.49,0.68,0.94,1.22,1.43,1.88,2.65,2.63,1.89,1.70,2.16,2.52,3.09,3.67,4.69,4.70,1.38,5.24,6.84,7.51,9.48,11.88
26,EPS Diluted,0.81,0.78,0.48,0.66,0.92,1.20,1.40,1.84,2.58,2.58,1.87,1.69,2.15,2.49,3.05,3.60,4.61,4.63,1.36,5.15,6.74,7.42,9.39,11.78
27,Weighted Average Shares Outstanding,338984000,324506000,323400000,315200000,307800000,297800000,297000000,297700000,284200000,266400000,242400000,236100000,235000000,226300000,223200000,219400000,210700000,200100000,192700000,191100000,191600000,189300000,187600000,186400000
28,Weighted Average Shares Outstanding Diluted,343406000,328568000,326000000,320400000,315000000,304600000,304600000,305600000,291900000,272200000,245300000,237800000,236600000,229400000,226600000,223500000,214700000,203400000,195400000,194200000,194400000,191600000,189300000,187900000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1059556/000095012399001236/0000950123-99-001236-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1059556/000095012303003112/0000950123-03-003112-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000095012304003262/0000950123-04-003262-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000095012305002773/0000950123-05-002773-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312506041923/d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312507043002/d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312508042583/d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312509041352/0001193125-09-041352-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312510043405/0001193125-10-043405-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312511047974/d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312512081639/0001193125-12-081639-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312513074571/0001193125-13-074571-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312514070371/d665999d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312515063352/d846365d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312516476427/0001193125-16-476427-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312517054522/0001193125-17-054522-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312518058986/0001193125-18-058986-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312519048576/0001193125-19-048576-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000105955620000005/0001059556-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000105955621000010/0001059556-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1059556/000105955622000012/0001059556-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,90600000,113200000,119100000,163200000,39900000,269100000,606100000,486000000,408100000,426300000,245900000,473900000,659600000,760000000,1755400000,1919500000,1219500000,1757400000,2051500000,1071500000,1685000000,1832000000,2597000000,1811000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,94500000,75400000,14700000,7100000,10000000,12700000,14800000,17900000,186800000,458100000,474800000,173400000,111800000,132500000,98000000,99000000,91000000
33,Cash and Short-Term Investments,90600000,113200000,119100000,163200000,39900000,269100000,606100000,580500000,483500000,441000000,253000000,483900000,672300000,774800000,1773300000,2106300000,1677600000,2232200000,2224900000,1183300000,1817500000,1930000000,2696000000,1902000000
34,Net Receivables,445200000,454400000,101000000,148400000,178100000,270300000,358400000,421800000,475400000,443600000,421800000,444900000,497500000,489800000,621800000,694200000,792400000,802000000,887400000,1147200000,1287100000,1419000000,1430000000,1720000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,228200000,217400000,57500000,59600000,54300000,29600000,58100000,49500000,43000000,104500000,134300000,84100000,173200000,159800000,130600000,168300000,216400000,208900000,140800000,250100000,282300000,330000000,383000000,389000000
37,Total Current Assets,764000000,785000000,277600000,371200000,272300000,569000000,1022600000,1051800000,1001900000,989100000,809100000,1012900000,1343000000,1424400000,2525700000,2968800000,2686400000,3243100000,3253100000,2580600000,3386900000,3679000000,4509000000,4011000000
38,PP&E,298300000,280000000,43400000,42900000,50600000,46800000,45200000,55400000,62000000,214600000,247700000,293000000,319300000,326800000,307100000,278700000,302300000,306400000,325900000,325100000,320400000,748000000,671000000,785000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,176100000,179900000,338000000,349200000,465500000,642900000,637100000,665200000,1021100000,976300000,1023600000,3753200000,3781300000,3722000000,4556000000,5999000000
40,Intangible Assets,191800000,167500000,13700000,10300000,210700000,203800000,202400000,222900000,65700000,56900000,114000000,104900000,168800000,253600000,226500000,221600000,345500000,299100000,296400000,1631600000,1566100000,1498000000,1824000000,2467000000
41,Intangible Assets,191800000,167500000,13700000,10300000,210700000,203800000,202400000,222900000,241800000,236800000,452000000,454100000,634300000,896500000,863600000,886800000,1366600000,1275400000,1320000000,5384800000,5347400000,5220000000,6380000000,8466000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30800000,37200000,38300000,37500000,21600000,28700000,26300000,99100000,104600000,117000000,135000000,443000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220100000,192600000,187900000,146400000,168500000,148700000,167800000,137700000,316100000,143800000,197200000,229000000,334000000,384000000
44,Other Non-Current Assets,535100000,553200000,63600000,81000000,97200000,121800000,105800000,127100000,192000000,274100000,44500000,50700000,25000000,44800000,57700000,74600000,124300000,132100000,85900000,60800000,169700000,272000000,380000000,591000000
45,Total Non-Current Assets,1025200000,1000700000,120700000,134200000,358500000,372400000,353400000,405400000,495800000,725500000,964300000,990400000,1197300000,1451700000,1435200000,1426300000,1982600000,1880300000,2074200000,6013600000,6139300000,6586000000,7900000000,10669000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1789200000,1785700000,398300000,505400000,630800000,941400000,1376000000,1457200000,1497700000,1714600000,1773400000,2003300000,2540300000,2876100000,3960900000,4395100000,4669000000,5123400000,5327300000,8594200000,9526200000,10265000000,12409000000,14680000000
48,Accounts Payable,- -,- -,135400000,236900000,184900000,217500000,270500000,279800000,8800000,8100000,8600000,7100000,14300000,16400000,14300000,16400000,19400000,22200000,28400000,21800000,30100000,38000000,39000000,47000000
49,Short-Term Debt,36900000,127300000,- -,- -,107100000,- -,300000000,- -,- -,551900000,717700000,3800000,11300000,71300000,63800000,- -,- -,- -,300000000,299500000,449900000,- -,94000000,105000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128000000,115000000
51,Deferred Revenue,- -,- -,- -,- -,170000000,214600000,266700000,299100000,360300000,426000000,435000000,471300000,508100000,520400000,567300000,620100000,641600000,659800000,712300000,905800000,973800000,1078000000,1131000000,1349000000
52,Other Current Liabilities,1315800000,1287500000,117700000,122400000,- -,- -,- -,- -,330900000,363200000,231800000,753800000,400100000,525900000,519500000,504800000,538700000,536500000,1387500000,836200000,644700000,796000000,958000000,995000000
53,Total Current Liabilities,1352700000,1414800000,253100000,359300000,462000000,432100000,837200000,578900000,700000000,1349200000,1393100000,1236000000,933800000,1134000000,1164900000,1141300000,1199700000,1218500000,2428200000,2063300000,2098500000,1912000000,2222000000,2496000000
54,Long-Term Debt,- -,- -,300000000,300000000,328500000,300000000,- -,300000000,300000000,600000000,750000000,746200000,1228300000,1172500000,1607400000,2101800000,2547300000,3401000000,3063000000,5111100000,5226100000,5581000000,6849000000,7868000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103800000,96600000,206500000,94900000,109200000,132200000,132500000,134100000,140000000,122300000,112000000,98000000,86000000
56,Deferred Tax Liabilities,505800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,31400000,36900000,49600000,58100000,59100000,95700000,83800000,104300000,341600000,351700000,357000000,404000000,488000000
57,Other Non-Current Liabilities,- -,485600000,127700000,150200000,167300000,241400000,221300000,268900000,330300000,549000000,605700000,482000000,543100000,411400000,639000000,635800000,651200000,620600000,625000000,1053100000,1071100000,1472000000,1073000000,826000000
58,Total Non-Current Liabilities,505800000,485600000,427700000,450200000,495800000,541400000,221300000,568900000,630300000,1149000000,1374700000,1363400000,1904900000,1840000000,2399400000,2905900000,3426400000,4237900000,3926400000,6645800000,6771200000,7522000000,8424000000,9268000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,574000000,521000000,560000000
61,Total Liabilities,1858500000,1900400000,680800000,809500000,957800000,973500000,1058500000,1147800000,1330300000,2498200000,2767800000,2599400000,2838700000,2974000000,3564300000,4047200000,4626100000,5456400000,6354600000,8709100000,8869700000,9434000000,10646000000,11764000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1700000,1700000,1700000,1700000,1700000,1700000,3400000,3400000,3400000,3400000,3400000,3400000,3400000,3400000,3400000,3400000,3400000,3400000,3400000,3400000,3000000,3000000,3000000
64,Retained Earnings,-240900000,-105900000,-223200000,-39300000,221800000,558900000,939300000,1419200000,2091400000,2661100000,3023200000,3329000000,3736200000,4176100000,4713300000,5302100000,6044300000,6709000000,6688900000,7465400000,8594400000,9656000000,11011000000,12762000000
65,Other Comprehensive Income/Loss,-430100000,-444100000,-451600000,-80500000,-80900000,-98000000,-117100000,-1000000,-8000000,16000000,-52000000,-41000000,-33000000,-108000000,-82000000,-55000000,-235000000,-340000000,-365000000,-172000000,-426000000,-439000000,-432000000,-410000000
66,Other Total Stockholders Equity,300000000,131700000,390600000,- -,-469600000,-494700000,-506400000,-1112200000,-1919400000,-3464100000,-3969000000,-3897600000,-4016200000,-4240500000,-4249500000,-4913500000,-6000500000,-6937400000,-7552300000,-7624500000,-7711900000,-8608000000,-9013000000,-9628000000
67,Total Stockholders Equity,-371000000,-416600000,-282500000,-304100000,-327000000,-32100000,317500000,309400000,167400000,-783600000,-994400000,-606200000,-309600000,-169000000,385200000,337000000,-187800000,-565000000,-1225000000,-327700000,459900000,612000000,1569000000,2727000000
68,Total Liabilities And Stockholders Equity,1487500000,1483800000,398300000,505400000,630800000,941400000,1376000000,1457200000,1497700000,1714600000,1773400000,1993200000,2529100000,2805000000,3949500000,4384200000,4438300000,4891400000,5129600000,8381400000,9329600000,10046000000,12215000000,14491000000
69,Minority Interest,301700000,301900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,10100000,11200000,71100000,11400000,10900000,230700000,232000000,197700000,212800000,196600000,219000000,194000000,189000000
70,Total Liabilities & Equity,1789200000,1785700000,398300000,505400000,630800000,941400000,1376000000,1457200000,1497700000,1714600000,1773400000,2003300000,2540300000,2876100000,3960900000,4395100000,4669000000,5123400000,5327300000,8594200000,9526200000,10265000000,12409000000,14680000000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1059556/000095012399001236/0000950123-99-001236-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1059556/000095012303003112/0000950123-03-003112-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000095012304003262/0000950123-04-003262-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000095012305002773/0000950123-05-002773-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312506041923/d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312507043002/d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312508042583/d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312509041352/0001193125-09-041352-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312510043405/0001193125-10-043405-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312511047974/d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312512081639/0001193125-12-081639-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312513074571/0001193125-13-074571-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312514070371/d665999d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312515063352/d846365d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312516476427/0001193125-16-476427-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312517054522/0001193125-17-054522-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312518058986/0001193125-18-058986-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312519048576/0001193125-19-048576-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000105955620000005/0001059556-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000105955621000010/0001059556-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1059556/000105955622000012/0001059556-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,280100000,256000000,158500000,212200000,288900000,363900000,425100000,560800000,753900000,701500000,457600000,402000000,507800000,571400000,690000000,804500000,988700000,941300000,266600000,1000600000,1309600000,1422000000,1778000000,2214000000
74,Depreciation and Amortization,141600000,140900000,16600000,17000000,24600000,32600000,34100000,35200000,39500000,42900000,75100000,64100000,66300000,79200000,93500000,93400000,95600000,113500000,126700000,158300000,191900000,200000000,220000000,257000000
75,Deferred Income Tax,-49200000,24500000,-2300000,-800000,-3600000,-400000,-9600000,-20200000,-27200000,-76400000,-17300000,16500000,-10600000,10300000,23300000,-46400000,23500000,11700000,-154700000,88300000,-98900000,-38000000,-44000000,-218000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57400000,56600000,56700000,64500000,67100000,80400000,87200000,98100000,122900000,130300000,136000000,154000000,175000000
77,Change in Working Capital,-59100000,-41100000,654300000,-12600000,-201600000,326600000,48500000,287500000,-171000000,-662000000,-223900000,360900000,632300000,-118800000,1070400000,466700000,-340800000,537900000,-1199700000,-307600000,771100000,478600000,520000000,-400000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14900000,-54400000,17100000,-128200000,-67000000,-98300000,-25400000,-104800000,-148100000,-136100000,-134000000,31000000,-257000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-588700000,-629800000,24500000,11900000,-189700000,136900000,185400000,472900000,301900000,-360100000,-584000000,-223100000,409200000,290400000,1360800000,1827500000,1486700000,2024600000,824900000,517300000,1288400000,1767000000,2287000000,65000000
82,Other Non-Cash Items,28800000,-35600000,-759500000,90500000,226500000,-254300000,21600000,-155400000,157300000,978000000,243200000,-257100000,-599100000,204500000,-1118600000,-458500000,171200000,-538000000,2089100000,-315000000,-842900000,-523600000,-482000000,-23000000
83,Cash Provided by Operating Activities,342200000,344700000,67600000,306300000,334800000,468400000,519700000,707900000,752500000,984000000,534700000,643800000,653300000,803300000,823100000,926800000,1018600000,1153600000,1226100000,747500000,1461100000,1675000000,2146000000,2005000000
84,CAPEX,-55400000,-44100000,-12300000,-14800000,-18100000,-17900000,-21300000,-31300000,-31100000,-181800000,-84400000,-90700000,-79000000,-67700000,-45000000,-42300000,-74600000,-89000000,-115200000,-90600000,-90400000,-69000000,-103000000,-139000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-30000000,-39000000,-4000000,-241000000,-1000000,-149000000,-198000000,-4000000,-51000000,-240000000,-8000000,-79000000,-3511000000,-283000000,64000000,-897000000,-2179000000
86,Purchases of Investments,-50400000,-21800000,- -,- -,- -,- -,- -,-324400000,-414000000,-191400000,-10300000,-17600000,-26200000,-43300000,-56200000,-225900000,-406800000,-688200000,-406800000,-170100000,-193000000,-145000000,-183000000,-485000000
87,Sales/Maturities of Investments,50900000,22500000,- -,- -,- -,- -,- -,235500000,436500000,252900000,15900000,15400000,25000000,40900000,54500000,57000000,156200000,692800000,703300000,351700000,160600000,186000000,106000000,184000000
88,Other Investing Activites,-49800000,-66700000,-21300000,-15200000,-205500000,800000,-3500000,-200000,163700000,-400000,-400000,-90600000,-78600000,-67200000,-44500000,-42000000,-74300000,-88600000,-115500000,-90600000,-91000000,-69000000,-103000000,-139000000
89,Cash Used for Investing Activites,-104700000,-110100000,-33600000,-30000000,-223600000,-17100000,-24800000,-150400000,116100000,-124700000,-320200000,-93800000,-228800000,-267600000,-50200000,-261900000,-564900000,-92000000,102000000,-3420000000,-406400000,36000000,-1077000000,-2619000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13762900000,-2935700000,- -,-71300000,-63800000,-300000000,- -,- -,-2007200000,-1920000000,-2270000000,-1592000000,-500000000
91,Common Stock Issued,41000000,48400000,12700000,62900000,54000000,79000000,105000000,89100000,105300000,65900000,23500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-220200000,-237900000,-223900000,-267600000,-369900000,-172800000,-221300000,-691700000,-1093600000,-1738400000,-592900000,- -,-223600000,-333800000,-196500000,-893100000,-1220500000,-1098100000,-738800000,-199700000,-202600000,-991000000,-503000000,-750000000
93,Dividends Paid,-137400000,-120100000,-7200000,-28300000,-27800000,-26800000,-44700000,-60300000,-79500000,-85200000,-96800000,-98200000,-103400000,-126100000,-143000000,-197300000,-236000000,-272100000,-285100000,-290400000,-337200000,-378000000,-420000000,-463000000
94,Other Financing Activites,89300000,97900000,300000000,- -,107100000,-107100000,-1300000,-3600000,102600000,896200000,321400000,13512300000,3021400000,42200000,613400000,655400000,692000000,909200000,14100000,4104500000,2048300000,2076000000,2164000000,1591000000
95,Cash Used/Provided by Financing Activities,-227300000,-211700000,81600000,-233000000,-236600000,-227700000,-162300000,-666500000,-965200000,-861500000,-344800000,-348800000,-241300000,-417700000,202600000,-498800000,-1064500000,-461000000,-1009800000,1607200000,-411500000,-1563000000,-351000000,-122000000
96,Effect of Forex Changes on Cash,-1400000,-300000,100000,800000,2100000,5600000,4400000,-11100000,18700000,20400000,-51000000,26800000,2500000,-17600000,19900000,-2000000,-89200000,-62700000,-24200000,85300000,-29700000,-1000000,47000000,-50000000
97,Net Change In Cash,- -,22600000,115700000,44100000,-123300000,229200000,337000000,-120100000,-77900000,18200000,-180400000,228000000,185700000,100400000,995400000,164100000,-700000000,537900000,294100000,-980000000,613500000,147000000,765000000,-786000000
98,Cash at the End of Period,- -,113200000,119100000,163200000,39900000,269100000,606100000,486000000,408100000,426300000,245900000,473900000,659600000,760000000,1755400000,1919500000,1219500000,1757400000,2051500000,1071500000,1685000000,1832000000,2597000000,1811000000
99,Cash at the Beginning of Period,81800000,90600000,3400000,119100000,163200000,39900000,269100000,606100000,486000000,408100000,426300000,245900000,473900000,659600000,760000000,1755400000,1919500000,1219500000,1757400000,2051500000,1071500000,1685000000,1832000000,2597000000
100,Free Cash Flow,286800000,300600000,55300000,291500000,316700000,450500000,498400000,676600000,721400000,802200000,450300000,553100000,574300000,735600000,778100000,884500000,944000000,1064600000,1110900000,656900000,1370700000,1606000000,2043000000,1866000000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1059556/000095012399001236/0000950123-99-001236-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1059556/000095012303003112/0000950123-03-003112-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000095012304003262/0000950123-04-003262-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000095012305002773/0000950123-05-002773-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312506041923/d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312507043002/d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312508042583/d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312509041352/0001193125-09-041352-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312510043405/0001193125-10-043405-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312511047974/d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312512081639/0001193125-12-081639-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312513074571/0001193125-13-074571-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312514070371/d665999d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312515063352/d846365d10k.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312516476427/0001193125-16-476427-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312517054522/0001193125-17-054522-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312518058986/0001193125-18-058986-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312519048576/0001193125-19-048576-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000105955620000005/0001059556-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000105955621000010/0001059556-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1059556/000105955622000012/0001059556-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
