,https://roic.ai/company/MSEX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-1200000,-1655000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-1500000,-1500000,-1100000,-2300000,2500000,-996032,230009,-125904,2058223,-9356934,6600168,-2851777,-1130000,-2498000,456000,-1790000,3796000,464000,323000,757000,1390000,- -,-1021000,- -,- -,- -,-79378000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7200000,-9600000,-7700000,-11300000,-28600000,-20800000,-14635323,-12517023,-16614999,-17515982,-39217034,-18687567,-33212268,-23060000,-30927000,-19672000,-31394000,-20066000,-22314000,-21412000,-21839000,-24383000,-47375000,-51322000,-72094000,-89125000,-105619000,-79378000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18360000,-30164000,-4427000,-56725000,-11230000,-5481000,-6284000,-5898000,-6159000,-7024000,-7343000,-7472000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,1700000,1200000,1100000,14300000,1100000,1244972,1261135,3210860,3609859,15055874,4076047,28087507,1420000,1475000,1251000,29845000,1504000,1587000,1368000,1493000,1462000,1453000,1234000,1150000,56784000,1230000,3837000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1200000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-144000,-9000,- -,- -,- -,-22000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4400000,-4600000,-4800000,-5000000,-5300000,-6200000,-6404197,-6559000,-6765280,-7046040,-7630415,-7941748,-8437496,-9389000,-9571000,-9790000,-10717000,-11643000,-11885000,-12133000,-12382000,-12697000,-13281000,-14146000,-15074000,-16297000,-18298000,-19373000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,4700000,400000,1000000,16100000,11700000,7126367,7518636,7475485,6771452,17261711,8005329,497446,8414000,21166000,29055000,15184000,12458000,59684000,11411000,3477000,-8492000,18440000,28608000,46442000,60766000,40709000,55015000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,1700000,-3200000,-2900000,25100000,6600000,1967142,2220771,3921065,3335271,24687170,4139628,20147457,445000,13070000,2156000,4004000,-2117000,-7339000,-10584000,-12893000,-26033000,714000,9537000,25494000,93910000,16169000,39479000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,1000000,-600000,-1500000,6900000,-4200000,-2672618,2037230,-1596490,67716,1029158,-1051006,2842250,-3797000,1259000,990000,-1825000,653000,-81000,1809000,-2161000,796000,410000,1058000,-736000,40838000,-36095000,-6871000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,4900000,4300000,2500000,9400000,5200000,2497154,4534384,2937894,3005610,4034768,2983762,5826012,2029000,3288000,4278000,2453000,3106000,3025000,4834000,2673000,3469000,3879000,4937000,5661000,46499000,10404000,3533000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,3900000,4900000,4000000,2500000,9400000,5169772,2497154,4534384,2937894,3005610,4034768,2983762,5826000,2029000,3288000,4278000,2453000,3106000,3025000,4834000,2673000,3469000,3879000,6397000,5661000,46499000,10404000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,-100000,4100000,2400000,-15900000,-13300000,-3643728,-413550,-5391651,-5325778,-14301078,-11790802,-14453430,-3112000,-9313000,-1622000,-4039000,-726000,7994000,13725000,9975000,25439000,-304000,-7458000,-26230000,-53072000,-52264000,33028000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/66004/000095011097000548/0000950110-97-000548-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66004/000091431701000218/0000914317-01-000218-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431702000300/0000914317-02-000300-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66004/000091431707000647/0000914317-07-000647-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431708000733/form10k-89681_msex.htm,https://www.sec.gov/Archives/edgar/data/66004/000091431709000646/0000914317-09-000646-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431710000398/0000914317-10-000398-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431711000359/0000914317-11-000359-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431712000299/0000914317-12-000299-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431713000279/0000914317-13-000279-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431714000262/form10k-135636_msx.htm,https://www.sec.gov/Archives/edgar/data/66004/000117494715000337/form10k-13000_msx.htm,https://www.sec.gov/Archives/edgar/data/66004/000117494716002165/0001174947-16-002165-index.html,https://www.sec.gov/Archives/edgar/data/66004/000117494717000294/0001174947-17-000294-index.html,https://www.sec.gov/Archives/edgar/data/66004/000117494718000337/0001174947-18-000337-index.html,https://www.sec.gov/Archives/edgar/data/66004/000117494719000334/0001174947-19-000334-index.html,https://www.sec.gov/Archives/edgar/data/66004/000117494720000248/0001174947-20-000248-index.html,https://www.sec.gov/Archives/edgar/data/66004/000117494721000198/0001174947-21-000198-index.htm,https://www.sec.gov/Archives/edgar/data/66004/000117494722000283/0001174947-22-000283-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
