,https://roic.ai/company/SFE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0561,0.0844,0.1249,0.0253,0.0190,0.0347,0.0179,0.0117,0.0033,0.0111,0.0121,0.0096,0.0108,0.0484,0.0418,-0.0767,-0.2592,-0.0893,-0.0205,-0.3498,-0.1722,0.2324,-0.3681,-0.7054,1.9406,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,- -
25,EPS,0.00,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.00,1.03,1.14,1.22,1.38,6.92,2.44,-11.16,-25.56,-7.68,-1.68,-2.76,-1.62,2.28,-3.18,-2.52,3.33,1.32,5.33,-1.88,-1.66,-0.25,-2.85,-1.09,-4.34,-0.76,2.64,-1.81,1.30
26,EPS Diluted,0.00,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.00,0.94,1.07,1.22,1.32,6.44,2.32,-11.22,-25.62,-7.80,-1.80,-2.76,-1.62,2.28,-3.18,-2.52,3.14,1.26,4.74,-1.88,-1.66,-0.25,-2.85,-1.09,-4.34,-0.76,2.64,-1.81,1.30
27,Weighted Average Shares Outstanding,39974053,40388969,45463053,48880978,46211303,46121213,45895987,44825915,42111195,14719529,15367030,15674031,15624531,15916531,50567101,19011371,19548372,19622705,19747706,19994206,20140873,20246040,20392040,20461207,20308000,20535000,20764000,20974000,21362000,20975000,20874000,20343000,20430000,20544000,20636000,20751000,20786000
28,Weighted Average Shares Outstanding Diluted,39974053,40388969,45463053,48880978,46211303,46121213,45895987,44825915,42111195,14839529,15454030,15674031,15998031,17457034,55455110,19011371,19548372,19622705,19747706,19994206,20140873,20246040,20392040,20461207,22383000,21507000,24522000,20974000,21362000,20975000,20874000,20343000,20430000,20544000,20636000,20751000,20786000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/86115/000092881695000026/0000928816-95-000026-index.html,https://www.sec.gov/Archives/edgar/data/86115/000091205796005797/0000912057-96-005797-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/86115/000093066101000908/0000930661-01-000908-index.html,- -,https://www.sec.gov/Archives/edgar/data/86115/000089322003000364/0000893220-03-000364-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000089322004000463/0000893220-04-000463-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000089322005000558/0000893220-05-000558-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000089322006000521/0000893220-06-000521-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000089322007000947/0000893220-07-000947-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000089322008000967/0000893220-08-000967-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000136231009004055/0001362310-09-004055-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000095012310025229/0000950123-10-025229-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000095012311022020/0000950123-11-022020-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000119312512094470/0001193125-12-094470-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000119312513099108/0001193125-13-099108-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611514000020/0000086115-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611515000020/0000086115-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611516000121/0000086115-16-000121-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611517000029/0000086115-17-000029-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611518000035/0000086115-18-000035-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611519000005/0000086115-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000162828020002556/0001628280-20-002556-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000143774921005171/0001437749-21-005171-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000143774922006038/0001437749-22-006038-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2800000,2800000,10900000,3100000,3800000,3800000,9700000,8900000,9800000,7900000,7300000,12900000,5400000,6300000,49800000,219431000,298095000,254779000,217860000,146874000,127553000,71251000,99965000,75051000,67347000,183419000,83187000,66029000,139318000,111897000,32838000,22058000,20751000,7703000,25028000,15601000,24739000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10818000,7081000,37326000,35575000,98024000,4494000,16691000,39066000,42411000,158098000,110957000,38255000,25263000,31020000,8384000,8213000,37955000,- -,- -,- -
33,Cash and Short-Term Investments,2800000,2800000,10900000,3100000,3800000,3800000,9700000,8900000,9800000,7900000,7300000,12900000,5400000,6300000,49800000,219431000,298095000,265597000,224941000,184200000,163128000,169275000,104459000,91742000,106413000,225830000,241285000,176986000,177573000,137160000,63858000,30442000,28964000,45658000,25028000,15601000,24739000
34,Net Receivables,16800000,15900000,42900000,67600000,88600000,92900000,140100000,161000000,258700000,276000000,285700000,399400000,187400000,296100000,259400000,246949000,220007000,179668000,245504000,37677000,49656000,38560000,37578000,20465000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,10700000,13700000,36700000,69300000,65600000,70900000,104800000,104100000,131300000,160400000,197900000,234500000,198100000,138600000,129800000,78187000,32084000,30181000,35849000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,300000,900000,1300000,1700000,2000000,4600000,2700000,3700000,4400000,5800000,7400000,7300000,6400000,148000000,16500000,28360000,228382000,16679000,12362000,10093000,7470000,7151000,26345000,7940000,7476000,12112000,12651000,8852000,1557000,1684000,5810000,2109000,4644000,3169000,1322000,462000,- -
37,Total Current Assets,30600000,33300000,91800000,141700000,160000000,172200000,257300000,277700000,404200000,450100000,498300000,654100000,397300000,589000000,455500000,572927000,778568000,492125000,518656000,231970000,220254000,214986000,168382000,120147000,113889000,237942000,253936000,185838000,179130000,138844000,69668000,32551000,33608000,48827000,26350000,16063000,- -
38,PP&E,17900000,60900000,18500000,20500000,62700000,70800000,66200000,74200000,46400000,43600000,43300000,78900000,77000000,96800000,56200000,52951000,59320000,38610000,34007000,45135000,39688000,44889000,35573000,12369000,310000,295000,228000,193000,138000,123000,2145000,1873000,1513000,808000,2101000,1790000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170986000,- -,- -,- -,- -,82498000,76824000,12729000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,5900000,13400000,18200000,19700000,30800000,40000000,42100000,38800000,25400000,22200000,28800000,30300000,26200000,65100000,119300000,123002000,- -,225395000,210341000,103904000,116087000,16426000,9960000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,5900000,13400000,18200000,19700000,30800000,40000000,42100000,38800000,25400000,22200000,28800000,30300000,26200000,65100000,119300000,123002000,170986000,225395000,210341000,103904000,116087000,98924000,86784000,12729000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167387000,86208000,130456000,177756000,154682000,173557000,181344000,190772000,134691000,95585000,77129000,50398000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3240000,1210000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,15500000,20800000,79500000,82500000,34800000,17000000,22600000,34800000,66800000,101300000,172500000,172800000,214000000,317800000,868900000,899379000,180149000,111326000,73327000,72803000,40171000,84582000,101123000,87157000,513000,12605000,22016000,10357000,12046000,5930000,4477000,6632000,6652000,517000,1997000,784000,- -
