,https://roic.ai/company/BKNG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1075531/000100547701002385/0001005477-01-002385-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000100547702001441/0001005477-02-001441-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000104746903011145/0001047469-03-011145-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000110465904007430/0001104659-04-007430-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000110465905011153/0001104659-05-011153-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000110465906014649/a06-2010_110k.htm,https://www.sec.gov/Archives/edgar/data/1075531/000110465907015407/a07-5554_110k.htm,https://www.sec.gov/Archives/edgar/data/1075531/000110465908014464/a08-2574_110k.htm,https://www.sec.gov/Archives/edgar/data/1075531/000110465909011154/0001104659-09-011154-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000110465910008002/0001104659-10-008002-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000110465911010302/a11-2103_110k.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553112000005/0001075531-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000107553113000011/0001075531-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000107553114000007/pcln-20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553115000007/pcln-20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553116000084/0001075531-16-000084-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000107553117000009/0001075531-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000107553118000015/0001075531-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000107553119000009/0001075531-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000107553120000011/0001075531-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000019/0001075531-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000008/0001075531-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,53600000,133200000,77024000,99943000,67182000,93732000,101270000,80341000,423577000,385359000,364550000,202141000,358967000,632836000,1536349000,1289994000,3148651000,1477265000,2081075000,2541604000,2624000000,6312000000,10562000000,11127000000
32,Short-Term Investments,- -,38800000,10952000,49269000,64154000,151736000,122812000,72745000,7983000,122499000,98888000,598014000,1303251000,2024827000,3646845000,5462720000,1142182000,1171246000,2218880000,4859873000,3660000000,998000000,501000000,25000000
33,Cash and Short-Term Investments,53600000,172000000,87976000,149212000,131336000,245468000,224082000,153086000,431560000,507858000,463438000,800155000,1662218000,2657663000,5183194000,6752714000,4290833000,2648511000,4299955000,7401477000,6284000000,7310000000,11063000000,11152000000
34,Net Receivables,4200000,21800000,13889000,15665000,13636000,10782000,18314000,30043000,48536000,70712000,92328000,118659000,162426000,264453000,367512000,535962000,643894000,645169000,860115000,1217801000,1523000000,1680000000,529000000,1358000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2400000,17900000,29358000,20434000,24596000,27263000,30150000,40553000,22993000,34430000,68073000,104127000,132820000,144728000,131669000,192265000,332647000,259557000,241449000,415527000,600000000,843000000,614000000,635000000
37,Total Current Assets,60200000,211700000,131223000,185311000,169568000,283513000,272546000,223682000,503089000,613000000,623839000,1022941000,1957464000,3066844000,5682375000,7480941000,5267374000,3553237000,5401519000,9034805000,8407000000,9833000000,12206000000,13145000000
38,PP&E,5900000,28000000,37083000,32266000,21413000,16524000,15827000,18271000,21691000,27088000,29404000,30489000,39739000,64322000,89269000,135053000,198953000,274786000,347017000,480081000,656000000,1358000000,1285000000,1318000000
39,Goodwill,- -,- -,- -,23646000,- -,- -,138859000,- -,226707000,287159000,326863000,350630000,510894000,504784000,522672000,1767912000,3326474000,3375000000,2396906000,2737671000,2910000000,2913000000,1895000000,2887000000
40,Intangible Assets,- -,- -,- -,- -,10517000,15832000,98908000,348092000,152925000,182748000,193231000,172080000,232030000,200151000,208113000,1019985000,2334761000,2167533000,1993885000,2176823000,2125000000,1954000000,1812000000,2057000000
41,Intangible Assets,- -,- -,- -,23646000,10517000,15832000,237767000,348092000,379632000,469907000,520094000,522710000,742924000,704935000,730785000,2787897000,5661235000,5542533000,4390791000,4914494000,5035000000,4867000000,3707000000,4944000000
42,Investments,- -,- -,- -,- -,- -,- -,9429000,- -,- -,- -,9124000,359000,- -,- -,- -,- -,3755653000,7931363000,9591067000,10421600000,8408000000,4477000000,3759000000,3175000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,146553000,179392000,218519000,153955000,253700000,151408000,111080000,31485000,7055000,8548000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,500000,202200000,26772000,20967000,9664000,21915000,6513000,17430000,21844000,22342000,7561000,4025000,14418000,23490000,35828000,33514000,48800000,118656000,108579000,600283000,181000000,867000000,917000000,1059000000
45,Total Non-Current Assets,6400000,230200000,63855000,76879000,41594000,54271000,269536000,530346000,602559000,737856000,720138000,811283000,948489000,903827000,887367000,2963519000,9673189000,13867338000,14437454000,16416458000,14280000000,11569000000,9668000000,10496000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,66600000,441900000,195078000,262190000,211162000,337784000,542082000,754028000,1105648000,1350856000,1343977000,1834224000,2905953000,3970671000,6569742000,10444460000,14940563000,17420575000,19838973000,25451263000,22687000000,21402000000,21874000000,23641000000
48,Accounts Payable,5300000,24300000,40691000,45941000,35375000,25061000,40612000,37851000,49032000,47708000,46290000,60568000,90311000,146867000,184648000,247345000,281480000,322842000,419108000,667523000,1134000000,1239000000,735000000,1586000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,569796000,392985000,159878000,175000,497640000,520344000,151931000,37195000,- -,967734000,710910000,- -,988000000,985000000,1989000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29664000,60758000,- -,- -,368823000,437127000,460558000,434881000,614361000,980455000,1022000000,1561000000,323000000,906000000
52,Other Current Liabilities,5000000,15000000,38606000,41355000,29952000,24553000,33765000,33164000,51640000,77339000,77713000,127561000,380682000,461291000,387911000,545342000,600758000,681587000,857467000,1138980000,1399000000,1578000000,1382000000,1765000000
53,Total Current Liabilities,10300000,39300000,79297000,87296000,65327000,49614000,74377000,71015000,100672000,694843000,546652000,408765000,471168000,1105798000,1461726000,1381745000,1379991000,1439310000,2858670000,3497868000,3555000000,5366000000,3425000000,6246000000
54,Long-Term Debt,1000000,- -,- -,- -,- -,124524000,224418000,223549000,568865000,- -,- -,35985000,476268000,77360000,881996000,1742047000,3849756000,6158443000,6170522000,8809788000,8649000000,7640000000,11395000000,9288000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,25668000,42375000,39714000,46502000,48933000,43793000,56440000,46990000,45159000,326425000,1040260000,892576000,822334000,481139000,370000000,876000000,1127000000,905000000
57,Other Non-Current Liabilities,- -,- -,5108000,28183000,14185000,14539000,18476000,24359000,25355000,13368000,18010000,24052000,42990000,39183000,229231000,75981000,103533000,134777000,138767000,1398907000,1328000000,1587000000,1034000000,1024000000
58,Total Non-Current Liabilities,1000000,- -,5108000,28183000,14185000,139063000,268562000,290283000,633934000,59870000,66943000,103830000,575698000,163533000,1156386000,2144453000,4993549000,7185796000,7131623000,10689834000,10347000000,10103000000,13556000000,11217000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,462000000,366000000,351000000
61,Total Liabilities,11300000,39300000,84405000,115479000,79512000,188677000,342939000,361298000,734606000,754713000,613595000,512595000,1046866000,1269331000,2618112000,3526198000,6373540000,8625106000,9990293000,14187702000,13902000000,15469000000,16981000000,17463000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1300000,1454000,1836000,1884000,306000,317000,323000,331000,346000,367000,405000,438000,446000,450000,476000,480000,482000,485000,487000,- -,- -,- -,- -
64,Retained Earnings,-116900000,-1180400000,-1528475000,-1544341000,-1565869000,-1555444000,-1525447000,-1334572000,-1262033000,-1106506000,-913033000,-454673000,69110000,1033738000,2368611000,4218752000,6640505000,9191865000,11326852000,13938869000,18367000000,23232000000,23288000000,24453000000
65,Other Comprehensive Income/Loss,-2100000,-7400000,-15087000,-33334000,101000,-734000,11941000,-15217000,26347000,50344000,-40397000,-3000000,-32889000,-87582000,-23676000,84729000,-259902000,244852000,-134684000,236982000,-316000000,-191000000,-118000000,-144000000
66,Other Total Stockholders Equity,174300000,1589100000,1652781000,1722550000,1695534000,1704979000,1712332000,1718537000,1583911000,1634923000,1683445000,1778897000,1776677000,1627693000,1606245000,2614305000,2185940000,-641730000,-1343973000,-2912777000,- -,- -,- -,- -
67,Total Stockholders Equity,55300000,402600000,110673000,146711000,131650000,149107000,199143000,369071000,348556000,579107000,730382000,1321629000,1813336000,2574295000,3951630000,6918262000,8567023000,8795469000,9848680000,11263561000,8785000000,5933000000,4893000000,6178000000
68,Total Liabilities And Stockholders Equity,66600000,441900000,195078000,262190000,211162000,337784000,542082000,730369000,1083162000,1333820000,1343977000,1834224000,2860202000,3843626000,6569742000,10444460000,14940563000,17420575000,19838973000,25451263000,22687000000,21402000000,21874000000,23641000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,23659000,22486000,17036000,- -,- -,45751000,127045000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,66600000,441900000,195078000,262190000,211162000,337784000,542082000,754028000,1105648000,1350856000,1343977000,1834224000,2905953000,3970671000,6569742000,10444460000,14940563000,17420575000,19838973000,25451263000,22687000000,21402000000,21874000000,23641000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1075531/000100547701002385/0001005477-01-002385-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000100547702001441/0001005477-02-001441-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000104746903011145/0001047469-03-011145-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000110465904007430/0001104659-04-007430-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000110465905011153/0001104659-05-011153-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000110465906014649/a06-2010_110k.htm,https://www.sec.gov/Archives/edgar/data/1075531/000110465907015407/a07-5554_110k.htm,https://www.sec.gov/Archives/edgar/data/1075531/000110465908014464/a08-2574_110k.htm,https://www.sec.gov/Archives/edgar/data/1075531/000110465909011154/0001104659-09-011154-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000110465910008002/0001104659-10-008002-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000110465911010302/a11-2103_110k.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553112000005/0001075531-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000107553113000011/0001075531-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000107553114000007/pcln-20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553115000007/pcln-20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553116000084/0001075531-16-000084-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000107553117000009/0001075531-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000107553118000015/0001075531-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000107553119000009/0001075531-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000107553120000011/0001075531-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000019/0001075531-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000008/0001075531-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-112200000,-1055100000,-315145000,-7303000,-19184000,11916000,31509000,192729000,74466000,157082000,193473000,489472000,527541000,1056371000,1419566000,1892663000,2421753000,2551360000,2134987000,2340765000,3998000000,4865000000,59000000,1165000000
74,Depreciation and Amortization,1900000,5300000,17385000,16578000,18265000,11871000,14389000,28778000,36831000,40701000,43068000,39193000,50464000,53824000,65141000,117975000,207820000,272494000,309135000,362774000,426000000,641000000,642000000,599000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-1258000,-160618000,-27805000,-47963000,28136000,30990000,37540000,44747000,19596000,-11104000,31707000,-61335000,-111905000,-32465000,-150000000,122000000,213000000,-445000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40522000,40671000,68396000,66194000,72035000,142098000,189292000,249133000,249726000,261274000,331000000,325000000,255000000,376000000
77,Change in Working Capital,1000000,122500000,-120474000,46089000,6226000,129658000,-35730000,-45502000,249750000,-484260000,159030000,536989000,872120000,474750000,2259603000,1878547000,-2211813000,-1773456000,428922000,2994088000,-684937000,-385000000,4314000000,269000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-2243000,- -,- -,- -,-42888000,-22767000,-29275000,-125793000,-105277000,-111572000,-182209000,-68694000,-284221000,-269732000,-319000000,-323000000,891000000,-1002000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182163000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,49900000,172400000,51926000,98015000,104241000,233899000,198169000,152667000,402417000,-81843000,77187000,614176000,1486296000,1961046000,4220649000,6099196000,3887383000,2113927000,2542849000,5536937000,4852000000,4467000000,8781000000,1265000000
82,Other Non-Cash Items,68400000,864300000,398518000,-27268000,-4493000,-133412000,33108000,47255000,-221161000,490455000,-148676000,-627650000,-778764000,-354074000,-2050191000,-1718743000,2275638000,1864035000,913832000,-1264400000,1417937000,-703000000,-5398000000,856000000
83,Cash Provided by Operating Activities,-40900000,-63000000,-19716000,28096000,814000,20033000,42018000,62642000,112081000,156015000,315553000,509665000,777297000,1341812000,1785750000,2301436000,2914397000,3102231000,3924697000,4662036000,5338000000,4865000000,85000000,2820000000
84,CAPEX,-6600000,-27400000,-37320000,-9415000,-9127000,-6582000,-6944000,-11030000,-12851000,-15949000,-18322000,-15106000,-22593000,-46833000,-55158000,-84445000,-131504000,-173915000,-268383000,-287805000,-442000000,-368000000,-286000000,-304000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-164723000,-135160000,-3104000,-14580000,-599000,-1500000,-112405000,-68192000,-33861000,-331918000,-2496366000,-140338000,-7813000,-1003075000,-273000000,-9000000,- -,-1185000000
86,Purchases of Investments,- -,-38800000,-5000000,-38878000,-14885000,-87329000,- -,-87011000,-111953000,-173904000,-196308000,-922163000,-1822593000,-3047429000,-6356509000,-10037670000,-10646875000,-9118330000,-6741202000,-6491156000,-2686000000,-672000000,-74000000,-17000000
87,Sales/Maturities of Investments,- -,- -,31101000,770000,- -,- -,- -,137490000,176845000,57854000,218555000,441105000,1116233000,2229563000,4885571000,8294549000,10916854000,5538056000,3684103000,3580001000,5616000000,8099000000,2997000000,508000000
88,Other Investing Activites,- -,-2000000,-30455000,-8653000,-782000,-18781000,28263000,1226000,19884000,-74920000,-155231000,-3796000,260000,28123000,-2756000,-2783000,9347000,9000,-48494000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-6600000,-68200000,-41674000,-56176000,-24794000,-112692000,-143404000,-94485000,68821000,-221499000,-151905000,-501460000,-841098000,-904768000,-1562713000,-2162267000,-2348544000,-3894518000,-3333295000,-4202035000,2215000000,7050000000,2637000000,-998000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-176943000,-197122000,-295401000,-213000,-1000,-414569000,-1120136000,-372629000,- -,-300836000,-1487000000,-425000000,- -,-3068000000
91,Common Stock Issued,101200000,211800000,14031000,59715000,3171000,10308000,- -,25366000,14134000,19820000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-8716000,-11777000,-12218000,- -,-12150000,-155670000,-2638000,-4449000,-17415000,-129445000,-163171000,-257021000,-883515000,-750378000,-3089055000,-1013526000,-1827919000,-5971000000,-8187000000,-1303000000,-163000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,-1000000,- -,- -,- -,120741000,107239000,- -,298829000,2263000,12544000,45577000,637803000,12357000,925877000,894573000,3299508000,2731688000,1071263000,2050092000,27000000,392000000,2831000000,1992000000
95,Cash Used/Provided by Financing Activities,101100000,210800000,14031000,50999000,-8606000,118831000,107239000,13216000,157293000,19445000,-168848000,-168960000,212957000,-151027000,668855000,-403511000,1428994000,-729996000,57737000,-78663000,-7431000000,-8220000000,1528000000,-1239000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-175000,378000,1685000,-2302000,5041000,7821000,-15609000,-1654000,7670000,-12148000,11621000,17987000,-136190000,-149103000,-45203000,99996000,-40000000,-8000000,- -,-13000000
97,Net Change In Cash,- -,79600000,-47359000,22919000,-32761000,26550000,7538000,-20929000,343236000,-38218000,-20809000,-162409000,156826000,273869000,903513000,-246355000,1858657000,-1671386000,603936000,481334000,82000000,3687000000,4250000000,570000000
98,Cash at the End of Period,- -,133200000,77024000,99943000,67182000,93732000,101270000,80341000,423577000,385359000,364550000,202141000,358967000,632836000,1536349000,1289994000,3148651000,1477265000,2082007000,2563341000,2645000000,6332000000,10582000000,11152000000
99,Cash at the Beginning of Period,- -,53600000,124383000,77024000,99943000,67182000,93732000,101270000,80341000,423577000,385359000,364550000,202141000,358967000,632836000,1536349000,1289994000,3148651000,1478071000,2082007000,2563000000,2645000000,6332000000,10582000000
100,Free Cash Flow,-47500000,-90400000,-57036000,18681000,-8313000,13451000,35074000,51612000,99230000,140066000,297231000,494559000,754704000,1294979000,1730592000,2216991000,2782893000,2928316000,3656314000,4374231000,4896000000,4497000000,-201000000,2516000000
