,https://roic.ai/company/ABM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,413300000,472100000,517700000,567700000,621600000,666300000,724400000,737600000,750900000,856115000,930270000,1045189000,1202833000,1440854000,1560525000,1731544000,1894491000,2121577000,2206866000,2368845000,2522491000,2634432000,2762557000,3524081000,3389716000,3386908000,4129274000,4203699000,4690256000,4904200000,4824200000,5038500000,5349400000,6251400000,6278900000,5711500000,6022400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5881000,4639000,15805000,9999000,12892000,10700000,10200000,10400000,19200000,54100000,51100000,44600000,28600000
14,Depreciation and Amortization,5200000,5900000,7000000,7300000,6800000,7000000,7000000,6600000,7200000,9300000,11527000,13651000,16118000,19593000,20698000,23524000,26328000,15182000,14829000,17667000,19591000,20745000,18752000,28075000,33325000,36315000,52658000,50897000,60390000,57300000,57000000,57500000,70100000,112500000,107400000,96400000,89900000
15,EBITDA,14800000,16500000,16300000,20000000,21400000,17500000,25600000,27000000,27400000,34359000,42939000,51756000,63082000,77101000,87930000,96217000,79273000,84510000,123741000,64029000,98364000,178486000,98539000,105094000,122669000,145278000,173947000,153409000,185734000,192400000,161800000,114700000,101900000,256200000,318600000,194400000,298300000
16,EBITDA ratio,0.0349,0.0341,0.0308,0.0344,0.0335,0.0258,0.0343,0.0355,0.0354,0.0388,0.0445,0.0476,0.0504,0.0513,0.0540,0.0532,0.0407,0.0386,0.0547,0.0265,0.0380,0.0639,0.0347,0.0290,0.0352,0.0416,0.0410,0.0357,0.0386,0.0382,0.0330,0.0223,0.0187,0.0398,0.0490,0.0325,0.0479
17,Operating Income,10900000,12200000,10700000,14000000,16800000,12800000,21300000,22500000,22400000,28518000,35111000,41736000,49639000,60973000,69191000,76013000,55547000,70380000,55610000,47378000,65270000,158236000,80254000,99509000,92107000,108839000,117568000,96566000,119025000,128600000,73600000,54700000,101900000,138600000,208300000,95700000,206300000
18,Operating Income ratio,0.0257,0.0252,0.0202,0.0241,0.0263,0.0188,0.0286,0.0296,0.0290,0.0322,0.0364,0.0384,0.0396,0.0406,0.0425,0.0421,0.0285,0.0321,0.0246,0.0196,0.0252,0.0567,0.0282,0.0275,0.0265,0.0311,0.0277,0.0225,0.0247,0.0256,0.0150,0.0106,0.0187,0.0215,0.0321,0.0160,0.0331
19,Total Other Income Expenses (Gains),-1300000,-1600000,-1400000,-1300000,-2200000,-2300000,-2700000,-2100000,-2200000,-3459000,-3699000,-3631000,-2675000,-3465000,-1959000,-3320000,-2602000,-1052000,-758000,-1016000,-884000,-495000,-467000,-15193000,-7447000,-4766000,-11890000,-3917000,-6573000,-4200000,-1200000,-2800000,-15000000,-50900000,-48100000,-42400000,-26500000
20,Income Before Tax,9600000,10600000,9300000,12700000,14600000,10500000,18600000,20400000,20200000,25059000,31412000,38105000,46964000,57508000,67232000,72693000,52945000,69328000,54852000,46362000,64386000,157741000,79787000,84316000,84660000,104073000,105678000,92649000,112452000,124400000,72400000,51900000,86900000,87700000,160200000,53300000,179800000
21,Income Before Tax Ratio,0.0226,0.0219,0.0176,0.0218,0.0229,0.0155,0.0249,0.0268,0.0261,0.0283,0.0325,0.0351,0.0375,0.0383,0.0413,0.0402,0.0272,0.0316,0.0242,0.0192,0.0249,0.0565,0.0281,0.0233,0.0243,0.0298,0.0249,0.0215,0.0234,0.0247,0.0148,0.0101,0.0159,0.0136,0.0247,0.0089,0.0289
22,Income Tax expense (Gain),4600000,5000000,4400000,5600000,5900000,700000,7500000,8400000,7600000,9890000,13193000,16385000,19725000,23578000,27565000,28350000,20119000,22600000,18454000,15889000,20832000,64536000,27347000,31585000,29170000,40203000,36980000,29931000,39552000,48800000,18300000,-10400000,8800000,-8200000,32700000,53100000,53500000
23,Net Income,5000000,5600000,4900000,7100000,8700000,9800000,11100000,12000000,12600000,15169000,18219000,21720000,27239000,33930000,39667000,44343000,32826000,46728000,90458000,30473000,57941000,93205000,52440000,45434000,54293000,64121000,68504000,62582000,72900000,75600000,76300000,57200000,3800000,97800000,127400000,300000,126300000
24,Net Income ratio,0.0118,0.0116,0.0093,0.0122,0.0136,0.0144,0.0149,0.0158,0.0163,0.0171,0.0189,0.0200,0.0217,0.0226,0.0243,0.0245,0.0168,0.0213,0.0400,0.0126,0.0224,0.0334,0.0184,0.0125,0.0156,0.0183,0.0161,0.0146,0.0152,0.0150,0.0156,0.0111,0.0007,0.0152,0.0196,0.0001,0.0203
25,EPS,0.17,0.20,0.17,0.23,0.28,0.31,0.34,0.36,0.36,0.41,0.46,0.53,0.61,0.79,0.89,0.97,0.68,0.95,1.84,0.63,1.17,1.90,1.06,0.90,1.06,1.23,1.29,1.16,1.33,1.35,1.35,1.02,0.07,1.48,1.91,0.00,1.89
26,EPS Diluted,0.17,0.20,0.17,0.23,0.28,0.31,0.34,0.36,0.36,0.41,0.46,0.53,0.61,0.72,0.82,0.93,0.65,0.92,1.81,0.61,1.15,1.88,1.04,0.88,1.05,1.21,1.27,1.14,1.30,1.32,1.33,1.01,0.07,1.47,1.90,0.00,1.88
27,Weighted Average Shares Outstanding,28571429,28717949,29696970,30212766,30526316,31612903,32173913,33333333,34520548,35632000,38360000,40482000,43744000,42220000,44134000,45102000,47598000,49116000,49065000,48641000,49332000,49054000,49496000,50519000,51373000,52490000,53121000,53987000,54877000,56100000,56700000,56300000,57700000,66100000,66600000,66900000,66900000
28,Weighted Average Shares Outstanding Diluted,28571429,28717949,29696970,30212766,30526316,31612903,32173913,33333333,34520548,35632000,38360000,40482000,43744000,46322000,47496000,47418000,50020000,51015000,50004000,50064000,50367000,49678000,50629000,51386000,51845000,53369000,54103000,54914000,56067000,57100000,57400000,56900000,58300000,66400000,66900000,67300000,67300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771497/000091205795000209/0000912057-95-000209-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771497/000095014901501984/0000950149-01-501984-index.html,https://www.sec.gov/Archives/edgar/data/771497/000095014902002436/f86502e10vk.htm,https://www.sec.gov/Archives/edgar/data/771497/000095014904000137/f95384e10vk.htm,https://www.sec.gov/Archives/edgar/data/771497/000095013405000777/f04468e10vk.htm,https://www.sec.gov/Archives/edgar/data/771497/000095013406006158/f16287e10vk.htm,https://www.sec.gov/Archives/edgar/data/771497/000095013406023656/f25881e10vk.htm,https://www.sec.gov/Archives/edgar/data/771497/000095013407026080/0000950134-07-026080-index.html,https://www.sec.gov/Archives/edgar/data/771497/000095012308018152/0000950123-08-018152-index.html,https://www.sec.gov/Archives/edgar/data/771497/000095012309072792/0000950123-09-072792-index.html,https://www.sec.gov/Archives/edgar/data/771497/000095012310116105/0000950123-10-116105-index.html,https://www.sec.gov/Archives/edgar/data/771497/000119312511351704/0001193125-11-351704-index.html,https://www.sec.gov/Archives/edgar/data/771497/000119312512509900/0001193125-12-509900-index.html,https://www.sec.gov/Archives/edgar/data/771497/000119312513477634/0001193125-13-477634-index.html,https://www.sec.gov/Archives/edgar/data/771497/000144530514005592/0001445305-14-005592-index.html,https://www.sec.gov/Archives/edgar/data/771497/000162828015009602/0001628280-15-009602-index.html,https://www.sec.gov/Archives/edgar/data/771497/000162828016022122/0001628280-16-022122-index.html,https://www.sec.gov/Archives/edgar/data/771497/000162828017012508/0001628280-17-012508-index.html,https://www.sec.gov/Archives/edgar/data/771497/000162828018015372/0001628280-18-015372-index.html,https://www.sec.gov/Archives/edgar/data/771497/000162828019015259/0001628280-19-015259-index.html,https://www.sec.gov/Archives/edgar/data/771497/000077149720000018/0000771497-20-000018-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3600000,2200000,600000,3500000,2500000,1600000,2500000,2400000,1700000,7368000,1840000,1567000,1783000,1844000,2139000,2000000,3052000,19427000,110947000,63369000,56793000,134001000,136192000,710000,34153000,39446000,26467000,43459000,32639000,36700000,55500000,56000000,62800000,39100000,58500000,394200000,62800000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,- -
33,Cash and Short-Term Investments,3600000,2200000,600000,3500000,2500000,1600000,2500000,2400000,1700000,7368000,1840000,1567000,1783000,1844000,2139000,2000000,3052000,19427000,110947000,63369000,56793000,134001000,136192000,710000,34153000,39446000,26467000,43459000,32639000,36700000,55500000,56000000,62800000,39100000,58500000,405200000,62800000
34,Net Receivables,67500000,73200000,83500000,92500000,103700000,108700000,110500000,120900000,127900000,140788000,158075000,183716000,234464000,260549000,297596000,360180000,367201000,318376000,287906000,321449000,345104000,383977000,374913000,478280000,471632000,476053000,615705000,633240000,720216000,748200000,742900000,795600000,1038100000,1014100000,1085800000,906400000,1189600000
35,Inventory,10900000,11400000,10600000,10200000,10500000,12600000,13300000,13800000,16300000,17420000,19389000,16492000,21197000,22965000,23296000,25513000,25974000,30055000,21419000,22260000,21280000,22783000,20350000,644000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,5100000,5300000,4500000,5100000,5300000,9500000,15300000,16600000,21000000,23866000,30563000,31980000,36973000,38950000,44558000,49126000,69314000,69927000,80376000,79010000,98276000,90980000,111435000,155435000,115212000,93257000,91585000,90728000,111777000,142300000,148800000,142100000,134600000,117800000,131100000,130300000,148800000
37,Total Current Assets,87100000,92100000,99200000,111300000,122000000,132400000,141600000,153700000,166900000,189442000,209867000,233755000,294417000,324308000,367589000,436819000,465541000,437785000,500648000,486088000,521453000,631741000,642890000,635069000,620997000,608756000,733757000,767427000,864632000,927200000,947200000,993700000,1235500000,1171000000,1275400000,1441900000,1401200000
38,PP&E,20000000,20900000,22300000,16600000,15600000,16200000,15600000,15000000,17000000,19819000,22647000,22570000,26584000,27307000,35181000,40734000,42936000,36266000,30123000,31354000,34270000,32185000,38945000,61067000,56892000,58088000,60009000,59909000,77241000,83400000,74000000,81800000,143100000,140000000,150200000,276800000,238400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167916000,- -,- -,- -,247888000,252179000,535772000,547237000,593983000,750872000,751610000,872396000,904600000,867500000,912800000,1864200000,1834800000,1835400000,1671400000,2228900000
40,Intangible Assets,17300000,18600000,22900000,25000000,29100000,32200000,30800000,32600000,57800000,61373000,69279000,76366000,100313000,102776000,105583000,110097000,113199000,- -,201866000,249737000,268022000,23881000,24573000,62179000,60199000,65774000,128994000,109138000,144401000,128800000,111400000,103900000,430100000,355600000,297100000,239600000,424800000
41,Intangible Assets,17300000,18600000,22900000,25000000,29100000,32200000,30800000,32600000,57800000,61373000,69279000,76366000,100313000,102776000,105583000,110097000,113199000,167916000,201866000,249737000,268022000,271769000,276752000,597951000,607436000,659757000,879866000,860748000,1016797000,1033400000,978900000,1016700000,2294300000,2190400000,2132500000,1911000000,2653700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25771000,24616000,35891000,38309000,35951000,32900000,35700000,17400000,17600000,16300000,14000000,11100000,11800000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,14982000,18745000,22046000,25426000,27509000,30388000,32537000,35400000,33542000,32462000,48802000,46426000,42120000,43899000,88704000,63444000,51068000,30948000,17610000,- -,- -,- -,37400000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10200000,10500000,7800000,19100000,23300000,20900000,23700000,25000000,26400000,13854000,14435000,25033000,20412000,19463000,24743000,21798000,26024000,29430000,30884000,26543000,33539000,38459000,118187000,167122000,146613000,146385000,139127000,125248000,124615000,116000000,114000000,134200000,122100000,109600000,120300000,136100000,131200000
45,Total Non-Current Assets,47500000,50000000,53000000,60700000,68000000,69300000,70100000,72600000,101200000,110028000,125106000,146015000,172735000,177055000,195895000,205166000,217559000,267154000,295335000,356436000,382257000,384533000,477783000,914844000,900156000,939914000,1145841000,1101824000,1254604000,1265700000,1202600000,1287500000,2577100000,2456300000,2417000000,2335000000,3035100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,134600000,142100000,152200000,172000000,190000000,201700000,211700000,226300000,268100000,299470000,334973000,379770000,467152000,501363000,563484000,641985000,683100000,704939000,795983000,842524000,903710000,1016274000,1120673000,1549913000,1521153000,1548670000,1879598000,1869251000,2119236000,2192900000,2149800000,2281200000,3812600000,3627300000,3692400000,3776900000,4436200000
48,Accounts Payable,- -,- -,- -,- -,- -,11700000,16000000,14500000,17900000,26187000,25453000,27091000,34555000,34992000,45596000,45312000,50671000,51585000,38143000,45235000,47605000,66336000,69781000,70034000,84701000,78928000,130464000,130410000,157806000,175900000,179100000,174300000,230800000,221900000,280700000,273300000,289400000
49,Short-Term Debt,7800000,1900000,200000,200000,- -,2500000,1400000,1400000,4900000,683000,6040000,5837000,14368000,3340000,5865000,16817000,10877000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16900000,37000000,57200000,151700000,63200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1871000,977000,19451000,27887000,25882000,31400000,40500000,46900000,65900000,59200000,67100000,51700000,136300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -
52,Other Current Liabilities,50800000,56900000,68000000,65800000,63600000,52200000,62700000,62600000,67500000,72407000,82747000,80870000,107737000,119492000,131849000,150491000,174451000,175505000,218548000,209193000,227469000,252949000,219963000,291055000,257993000,254923000,312732000,343500000,350718000,350500000,389100000,424900000,510100000,533600000,564500000,551900000,933200000
53,Total Current Liabilities,58600000,58800000,68200000,66000000,63600000,66400000,80100000,78500000,90300000,99277000,114240000,113798000,156660000,157824000,183310000,212620000,235999000,227090000,256691000,254428000,275074000,319285000,289744000,361089000,342694000,333851000,443196000,473910000,508524000,526400000,568200000,599200000,757800000,792500000,902400000,986900000,1285800000
54,Long-Term Debt,8300000,11700000,9200000,14000000,20000000,20000000,9500000,15400000,20900000,25254000,22575000,33664000,38402000,33720000,28903000,36811000,942000,- -,- -,- -,- -,- -,- -,230000000,172500000,140500000,300000000,215000000,314870000,319800000,158000000,268300000,1161300000,902100000,744300000,603000000,969400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2400000,2100000,2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13074000,16400000,19100000,3500000,57300000,37800000,47700000,10800000,22500000
57,Other Non-Current Liabilities,1200000,1300000,1500000,30100000,37000000,35700000,32500000,31600000,40300000,44208000,49972000,61615000,67877000,65885000,67920000,69845000,84982000,91179000,95256000,145935000,152710000,155742000,225171000,314773000,318909000,335294000,340516000,329943000,365261000,361500000,397000000,436200000,460500000,440400000,456200000,675800000,549200000
58,Total Non-Current Liabilities,11900000,15100000,12800000,44100000,57000000,55700000,42000000,47000000,61200000,69462000,72547000,95279000,106279000,99605000,96823000,106656000,85924000,91179000,95256000,145935000,152710000,155742000,225171000,544773000,491409000,475794000,640516000,544943000,693205000,697700000,574100000,708000000,1679100000,1380300000,1248200000,1289600000,1541100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166400000,148400000
61,Total Liabilities,70500000,73900000,81000000,110100000,120600000,122100000,122100000,125500000,151500000,168739000,186787000,209077000,262939000,257429000,280133000,319276000,321923000,318269000,351947000,400363000,427784000,475027000,514915000,905862000,834103000,809645000,1083712000,1018853000,1201729000,1224100000,1142300000,1307200000,2436900000,2172800000,2150600000,2276500000,2826900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000,94000,195000,205000,216000,224000,230000,244000,504000,518000,527000,547000,557000,571000,581000,517000,526000,533000,544000,555000,600000,600000,600000,700000,700000,700000,700000,700000
64,Retained Earnings,50400000,52700000,53800000,45500000,50700000,58100000,65400000,73300000,78900000,88907000,101065000,115550000,134192000,157414000,184026000,213830000,230454000,259452000,331275000,328258000,365455000,437083000,465463000,485136000,512476000,547944000,586625000,617372000,656775000,696900000,736500000,756400000,720100000,771200000,856300000,806400000,880200000
65,Other Comprehensive Income/Loss,-19200000,-21000000,-26300000,-26400000,-29600000,-31500000,-30900000,-32300000,-33800000,-37083000,-39001000,-40031000,-45934000,-53752000,-58264000,-65753000,-65951000,-789000,-268000,-108000,-68000,149000,880000,-3422000,-2423000,-1863000,-2661000,-2154000,-1651000,-2800000,-5100000,-31600000,-20300000,-9000000,-23900000,-30800000,-22500000
66,Other Total Stockholders Equity,32900000,36500000,43700000,42800000,48300000,53000000,55100000,59800000,71500000,78817000,86028000,94979000,115750000,140056000,157365000,174402000,196430000,127503000,112511000,113484000,109992000,103458000,138844000,161756000,176480000,192418000,211389000,234636000,261828000,274100000,275500000,248600000,675200000,691800000,708900000,724100000,750900000
67,Total Stockholders Equity,64100000,68200000,71200000,61900000,69400000,79600000,89600000,100800000,116600000,130731000,148186000,170693000,204213000,243934000,283351000,322709000,361177000,386670000,444036000,442161000,475926000,541247000,605758000,644051000,687050000,739025000,795886000,850398000,917507000,968800000,1007500000,974000000,1375700000,1454700000,1542000000,1500400000,1609300000
68,Total Liabilities And Stockholders Equity,134600000,142100000,152200000,172000000,190000000,201700000,211700000,226300000,268100000,299470000,334973000,379770000,467152000,501363000,563484000,641985000,683100000,704939000,795983000,842524000,903710000,1016274000,1120673000,1549913000,1521153000,1548670000,1879598000,1869251000,2119236000,2192900000,2149800000,2281200000,3812600000,3627500000,3692600000,3776900000,4436200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-200000,- -,- -
70,Total Liabilities & Equity,134600000,142100000,152200000,172000000,190000000,201700000,211700000,226300000,268100000,299470000,334973000,379770000,467152000,501363000,563484000,641985000,683100000,704939000,795983000,842524000,903710000,1016274000,1120673000,1549913000,1521153000,1548670000,1879598000,1869251000,2119236000,2192900000,2149800000,2281200000,3812600000,3627300000,3692400000,3776900000,4436200000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771497/000091205795000209/0000912057-95-000209-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771497/000095014901501984/0000950149-01-501984-index.html,https://www.sec.gov/Archives/edgar/data/771497/000095014902002436/f86502e10vk.htm,https://www.sec.gov/Archives/edgar/data/771497/000095014904000137/f95384e10vk.htm,https://www.sec.gov/Archives/edgar/data/771497/000095013405000777/f04468e10vk.htm,https://www.sec.gov/Archives/edgar/data/771497/000095013406006158/f16287e10vk.htm,https://www.sec.gov/Archives/edgar/data/771497/000095013406023656/f25881e10vk.htm,https://www.sec.gov/Archives/edgar/data/771497/000095013407026080/0000950134-07-026080-index.html,https://www.sec.gov/Archives/edgar/data/771497/000095012308018152/0000950123-08-018152-index.html,https://www.sec.gov/Archives/edgar/data/771497/000095012309072792/0000950123-09-072792-index.html,https://www.sec.gov/Archives/edgar/data/771497/000095012310116105/0000950123-10-116105-index.html,https://www.sec.gov/Archives/edgar/data/771497/000119312511351704/0001193125-11-351704-index.html,https://www.sec.gov/Archives/edgar/data/771497/000119312512509900/0001193125-12-509900-index.html,https://www.sec.gov/Archives/edgar/data/771497/000119312513477634/0001193125-13-477634-index.html,https://www.sec.gov/Archives/edgar/data/771497/000144530514005592/0001445305-14-005592-index.html,https://www.sec.gov/Archives/edgar/data/771497/000162828015009602/0001628280-15-009602-index.html,https://www.sec.gov/Archives/edgar/data/771497/000162828016022122/0001628280-16-022122-index.html,https://www.sec.gov/Archives/edgar/data/771497/000162828017012508/0001628280-17-012508-index.html,https://www.sec.gov/Archives/edgar/data/771497/000162828018015372/0001628280-18-015372-index.html,https://www.sec.gov/Archives/edgar/data/771497/000162828019015259/0001628280-19-015259-index.html,https://www.sec.gov/Archives/edgar/data/771497/000077149720000018/0000771497-20-000018-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,9800000,11100000,12000000,12600000,15169000,18219000,21720000,27239000,33930000,39667000,44343000,32826000,46728000,90458000,30473000,57941000,93205000,52440000,45434000,54293000,64121000,68504000,62582000,72900000,75600000,76300000,57200000,3800000,97800000,127400000,300000,126300000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,7000000,7000000,6600000,7200000,9300000,11527000,13651000,16118000,19593000,20698000,23524000,26328000,15182000,14829000,17667000,19591000,20745000,18752000,28075000,33325000,36315000,52658000,50897000,60390000,57300000,57000000,57500000,70100000,112500000,107400000,96400000,89900000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-11700000,-6300000,-100000,-4300000,-2353000,-3554000,-3556000,-2664000,-4521000,-6537000,-5517000,-12138000,-1338000,-5257000,-12262000,-4465000,7156000,2339000,28156000,16191000,17654000,24227000,9772000,12476000,2200000,8100000,-3700000,-6100000,-23700000,9700000,-36600000,-48000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7411000,4071000,9191000,10236000,13282000,16300000,14200000,14000000,13300000,17000000,17500000,20300000,33500000
77,Change in Working Capital,- -,- -,- -,- -,- -,-900000,-4500000,13700000,1400000,13565000,5462000,24330000,17800000,28727000,17795000,39920000,5343000,-18847000,33262000,-12297000,14719000,66077000,40690000,-79166000,4323000,-3398000,15656000,2956000,62591000,44692000,-21800000,15500000,83200000,-99200000,-5500000,82000000,109300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19931000,1976000,-18432000,-11359000,-50763000,-43400000,-55900000,-80900000,-115700000,16000000,-78300000,- -,- -
