,https://roic.ai/company/KTOS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,4700000,9606424,31800000,-60100000,-63900000,9500000,5000000,3700000,-57900000,-40800000,-111100000,-41500000,14500000,-24200000,-114400000,-37200000,-78000000,19800000,-60500000,-42700000,-3500000,12500000,79600000,-2000000
24,Net Income ratio,0.0906,0.1036,0.1243,-0.2901,-0.3417,0.0416,0.0126,0.0099,-0.1766,-0.2107,-0.3882,-0.1241,0.0355,-0.0339,-0.1180,-0.0441,-0.1022,0.0301,-0.1116,-0.0568,-0.0057,0.0174,0.1065,-0.0025
25,EPS,1.70,3.30,7.60,-13.10,-13.30,4.40,0.70,0.50,-7.90,-5.50,-12.00,0.45,0.87,-0.88,-2.44,-0.65,-1.35,0.34,-0.99,-0.48,-0.03,0.12,0.69,-0.01
26,EPS Diluted,1.50,2.70,6.30,-13.10,-13.30,3.20,0.70,0.50,-7.90,-5.50,-12.00,0.45,0.86,-0.88,-2.44,-0.65,-1.35,0.34,-0.99,-0.48,-0.03,0.11,0.67,-0.01
27,Weighted Average Shares Outstanding,2764706,2912634,4180000,4590000,4810000,5340000,6770000,7400000,7350000,7400000,9260000,13200000,16600000,27400000,46900000,56800000,57600000,58700000,61300000,89500000,103800000,106000000,115500000,124900000
28,Weighted Average Shares Outstanding Diluted,3133333,3524644,5050000,4590000,4810000,7330000,7580000,7530000,7350000,7400000,9260000,13200000,16900000,27400000,46900000,56800000,57600000,58700000,61300000,89500000,106100000,109200000,118700000,124900000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1069258/000089843001001094/0000898430-01-001094-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000102140802003825/0001021408-02-003825-index.html,- -,https://www.sec.gov/Archives/edgar/data/1069258/000119312504036425/0001193125-04-036425-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1069258/000110465907068220/a07-22826_110k.htm,https://www.sec.gov/Archives/edgar/data/1069258/000104746908003537/a2184011z10-k.htm,https://www.sec.gov/Archives/edgar/data/1069258/000104746909002424/0001047469-09-002424-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000104746910002038/0001047469-10-002038-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000104746911001644/a2202354z10-k.htm,https://www.sec.gov/Archives/edgar/data/1069258/000104746912002229/0001047469-12-002229-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925813000007/0001069258-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925814000011/ktos2013form10-k.htm,https://www.sec.gov/Archives/edgar/data/1069258/000106925815000009/ktos2014form10-k.htm,https://www.sec.gov/Archives/edgar/data/1069258/000106925816000059/0001069258-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925817000009/0001069258-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925818000006/0001069258-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000162828019002271/0001628280-19-002271-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925820000006/0001069258-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925821000009/0001069258-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1069258/000106925822000014/0001069258-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2900000,34321673,18500000,61100000,99100000,79100000,54400000,12900000,5400000,8600000,3700000,9900000,10800000,69600000,49000000,55700000,33500000,28500000,69100000,129600000,182700000,172600000,380800000,349400000
32,Short-Term Investments,- -,37964969,- -,- -,- -,35100000,7600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2900000,72286642,18500000,61100000,99100000,114200000,62000000,12900000,5400000,8600000,3700000,9900000,10800000,69600000,49000000,55700000,33500000,28500000,69100000,129600000,182700000,172600000,380800000,349400000
34,Net Receivables,48400000,46626290,152600000,97900000,66400000,94200000,133400000,109600000,117500000,80600000,97100000,79600000,128500000,248200000,275600000,267900000,219200000,211400000,234000000,270800000,237400000,264400000,272200000,284600000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,25900000,76600000,94300000,74600000,47400000,55600000,55400000,50400000,46800000,61100000,81200000,91700000
36,Other Current Assets,300000,3199995,14300000,15300000,5300000,7700000,10000000,54000000,17100000,17700000,15400000,7400000,19000000,26600000,36500000,32100000,73100000,24900000,14600000,20500000,27800000,24100000,30600000,32400000
37,Total Current Assets,51600000,122112927,185400000,174300000,170800000,216100000,205400000,176500000,140000000,106900000,116200000,98800000,184200000,421000000,455400000,430300000,373200000,320400000,373100000,471300000,494700000,522200000,764800000,758100000
38,PP&E,1000000,5069274,20000000,19000000,13000000,11200000,13400000,14600000,13900000,6900000,6400000,4300000,28400000,72500000,85600000,84800000,61600000,56200000,49800000,61200000,67100000,159000000,186700000,206800000
39,Goodwill,- -,- -,- -,- -,- -,30100000,82600000,- -,155400000,194500000,139300000,92900000,199900000,507000000,596400000,596400000,483400000,483400000,485400000,461200000,425700000,455600000,483900000,493900000
40,Intangible Assets,6900000,7098071,81800000,63000000,41600000,2800000,6400000,127300000,13400000,19900000,45100000,43800000,115600000,189200000,106100000,69900000,49500000,36500000,32600000,22000000,16100000,39500000,43000000,43200000
41,Intangible Assets,6900000,7098071,81800000,63000000,41600000,32900000,89000000,127300000,168800000,214400000,184400000,136700000,315500000,696200000,702500000,666300000,532900000,519900000,518000000,483200000,441800000,495100000,526900000,537100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,10000000,- -,- -,20100000,13200000,6200000,- -,- -,- -,11700000,2500000,- -,700000,- -,10500000,17300000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,800000,711479,9900000,9600000,8900000,18600000,2800000,4700000,7000000,7100000,5400000,1800000,-3700000,23800000,40400000,34500000,163500000,-3700000,-9600000,8300000,6500000,9700000,84400000,87500000
45,Total Non-Current Assets,8700000,12878824,111700000,101600000,63500000,62700000,125300000,159800000,195900000,228400000,196200000,142800000,351900000,795000000,828500000,786300000,758000000,582900000,575500000,552700000,515400000,663800000,798000000,831400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,60300000,134991751,297100000,275900000,234300000,278800000,330700000,336300000,335900000,335300000,312400000,241600000,536100000,1216000000,1283900000,1216600000,1131200000,903300000,948600000,1024000000,1010100000,1186000000,1562800000,1589500000
48,Accounts Payable,10300000,5428142,15100000,11200000,12400000,13500000,27600000,23700000,34200000,22700000,17600000,18800000,45600000,48800000,83600000,61900000,44600000,48300000,52700000,48800000,46600000,53800000,55400000,50400000
49,Short-Term Debt,- -,137342,30100000,37500000,2300000,500000,200000,300000,51400000,2700000,6100000,4700000,600000,1600000,1500000,1300000,1100000,1000000,1000000,800000,- -,9900000,8900000,10100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,36200000,43700000,52500000,52100000,42300000,41800000,47200000,34900000,- -,34000000,58100000
52,Other Current Liabilities,33500000,25029599,36500000,21300000,25400000,55700000,78900000,78800000,58300000,58100000,57500000,38200000,61200000,127200000,150000000,135300000,128300000,80800000,101000000,92100000,83200000,119000000,99300000,102500000
53,Total Current Liabilities,43800000,30595083,81700000,70000000,40100000,69700000,106700000,102800000,143900000,83500000,81200000,61700000,118400000,213800000,278800000,251000000,226100000,172400000,196500000,188900000,164700000,182700000,197600000,221100000
54,Long-Term Debt,2100000,2561019,7600000,400000,600000,200000,- -,400000,- -,72900000,76900000,51600000,226100000,654300000,648800000,643400000,655400000,444100000,431000000,293500000,294200000,333500000,339600000,329400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,1600000,- -,- -,- -,- -,2000000,- -,- -,- -,2500000,- -,700000,900000,10500000,17300000,7000000,7000000,- -,- -,- -
57,Other Non-Current Liabilities,100000,59228,9100000,7500000,8800000,3600000,3000000,2800000,4900000,9700000,7400000,3400000,21700000,32800000,32200000,25700000,24500000,22100000,27400000,23100000,24900000,95700000,100300000,78700000
58,Total Non-Current Liabilities,2200000,2620247,16700000,7900000,11000000,3800000,3000000,3200000,4900000,84600000,84300000,55000000,247800000,689600000,681000000,669800000,680800000,476700000,475700000,323600000,326100000,429200000,439900000,408100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,600000,200000,- -,400000,- -,1100000,900000,900000,1700000,1300000,900000,400000,100000,- -,- -,- -,- -,47500000,47500000,42800000
61,Total Liabilities,46000000,33215330,98400000,77900000,51100000,73500000,109700000,106000000,148800000,168100000,165500000,116700000,366200000,903400000,959800000,920800000,906900000,649100000,672200000,512500000,490800000,611900000,637500000,629200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,300000,39706,- -,- -,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,1600000,11171019,43000000,-17100000,-81000000,-100400000,-95400000,-91700000,-204600000,-245500000,-356600000,-398100000,-383600000,-407800000,-522200000,-559400000,-637400000,-617600000,-678100000,-720800000,-724500000,-712000000,-632400000,-634400000
65,Other Comprehensive Income/Loss,-300000,-300000,-5600000,-13800000,-3000000,-4000000,-3800000,-2900000,-27000000,-8600000,-9600000,-11500000,-14200000,-200000,-800000,-800000,-1700000,-1400000,-1700000,-1400000,-700000,-400000,1400000,600000
66,Other Total Stockholders Equity,12700000,90865696,161300000,228900000,- -,346300000,- -,- -,418700000,421300000,513100000,534500000,567700000,720800000,847300000,856200000,863700000,872800000,956500000,1233300000,1244800000,1286900000,- -,- -
67,Total Stockholders Equity,14300000,101776421,198700000,198000000,182900000,242000000,220700000,230300000,187100000,167200000,146900000,124900000,169900000,312600000,324100000,295800000,224300000,254200000,276400000,511500000,519300000,574100000,925300000,945100000
68,Total Liabilities And Stockholders Equity,60300000,134991751,297100000,275900000,234000000,315500000,330400000,336300000,335900000,335300000,312400000,241600000,536100000,1216000000,1283900000,1216600000,1131200000,903300000,948600000,1024000000,1010100000,1186000000,1562800000,1574300000
69,Minority Interest,- -,- -,- -,- -,300000,-36700000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15200000
70,Total Liabilities & Equity,60300000,134991751,297100000,275900000,234300000,278800000,330700000,336300000,335900000,335300000,312400000,241600000,536100000,1216000000,1283900000,1216600000,1131200000,903300000,948600000,1024000000,1010100000,1186000000,1562800000,1589500000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1069258/000089843001001094/0000898430-01-001094-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000102140802003825/0001021408-02-003825-index.html,- -,https://www.sec.gov/Archives/edgar/data/1069258/000119312504036425/0001193125-04-036425-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1069258/000110465907068220/a07-22826_110k.htm,https://www.sec.gov/Archives/edgar/data/1069258/000104746908003537/a2184011z10-k.htm,https://www.sec.gov/Archives/edgar/data/1069258/000104746909002424/0001047469-09-002424-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000104746910002038/0001047469-10-002038-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000104746911001644/a2202354z10-k.htm,https://www.sec.gov/Archives/edgar/data/1069258/000104746912002229/0001047469-12-002229-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925813000007/0001069258-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925814000011/ktos2013form10-k.htm,https://www.sec.gov/Archives/edgar/data/1069258/000106925815000009/ktos2014form10-k.htm,https://www.sec.gov/Archives/edgar/data/1069258/000106925816000059/0001069258-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925817000009/0001069258-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925818000006/0001069258-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000162828019002271/0001628280-19-002271-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925820000006/0001069258-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925821000009/0001069258-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1069258/000106925822000014/0001069258-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4700000,9606424,31800000,-60100000,-63900000,9500000,5000000,3700000,-57900000,-40800000,-111100000,-41500000,14500000,-24200000,-114400000,-37200000,-78000000,19800000,-60500000,-42700000,-3500000,12500000,79600000,-2000000
74,Depreciation and Amortization,1400000,2611992,10700000,22500000,9400000,8800000,7400000,8000000,7000000,4300000,7500000,9000000,12900000,48000000,58000000,53400000,39100000,25500000,22800000,22500000,17900000,35100000,34000000,34700000
75,Deferred Income Tax,1300000,-1677000,9100000,-18800000,- -,- -,-1800000,5500000,13700000,700000,-2000000,- -,-14400000,-100000,-2500000,-400000,2300000,-17800000,4700000,-10200000,-400000,-4900000,-78200000,-400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,1900000,3300000,6600000,7400000,3800000,6100000,5100000,7800000,7200000,11000000,21000000,25800000
77,Change in Working Capital,-11500000,83717844,12182156,600000,26400000,15700000,-47700000,-25000000,-77600000,27300000,11600000,2100000,28700000,141400000,-30600000,2700000,-32200000,900000,28600000,105800000,47600000,9500000,227700000,-26100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17400000,2900000,-16200000,2800000,4900000,16100000,10300000,-24700000,-39100000,8200000,-11600000,-3700000,2600000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4983478,- -,3800000,-5200000,20000000,6500000,-8200000,-2700000,7100000,2000000,-4600000,-5300000,-5300000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,8700000,-16000000,25600000,-22000000,-13500000,2900000,2900000,-3400000,12200000,4800000,-2400000,-5300000
81,Other Working Capital,7800000,91517844,103700000,104300000,130700000,146400000,98700000,73700000,-3900000,23400000,35000000,37100000,65800000,207200000,176600000,179300000,147100000,148000000,176600000,282400000,330000000,339500000,567200000,24200000
82,Other Non-Cash Items,200000,-80815194,-102082156,61000000,61100000,-25800000,45600000,15100000,118800000,7600000,88200000,51500000,-15300000,-165700000,136500000,-4600000,71100000,-61400000,-13000000,-110200000,-58400000,-33200000,-237500000,-1200000
83,Cash Provided by Operating Activities,-3900000,13444066,-38300000,5200000,33000000,8200000,8500000,7300000,4000000,-900000,-5800000,22800000,28300000,2700000,53600000,21300000,6100000,-26900000,-12300000,-27000000,10400000,30000000,46600000,30800000
84,CAPEX,-4100000,-3227575,-5700000,-5000000,-3700000,-7400000,-7800000,-8000000,-7100000,-900000,-900000,-400000,-2300000,-7500000,-16600000,-16600000,-14200000,-11300000,-9200000,-26500000,-22600000,-26300000,-35900000,-46500000
85,Acquisitions Net,- -,-1742422,-38100000,- -,- -,- -,-53900000,-33600000,-59100000,-72800000,-1200000,-7100000,-206800000,-391100000,-149100000,2200000,-2600000,- -,-5100000,- -,-2900000,-17700000,-51500000,-12300000
86,Purchases of Investments,- -,-37964969,-9000000,- -,- -,-34300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,38000000,- -,- -,9700000,27500000,7600000,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-500000,-6547,100000,- -,- -,-10900000,-9300000,-18100000,8700000,56700000,-600000,1182828,-2400000,-4500000,-16000000,-14900000,-14600000,236800000,-4800000,-26400000,43400000,-26000000,-35800000,-39800000
89,Cash Used for Investing Activites,-4600000,-42941513,-14700000,-5000000,-3700000,-42900000,-43500000,-52100000,-57500000,-17000000,-2400000,-7500000,-209200000,-395600000,-165100000,-12700000,-17200000,236800000,-9900000,-26400000,40500000,-43700000,-87300000,-52100000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49700000,-120400000,-3400000,-51000000,-1000000,-662500000,-217000000,-15100000,-449800000,-800000,-500000,-1200000,-6100000
91,Common Stock Issued,21800000,77493078,12900000,40700000,49800000,29500000,10700000,5000000,500000,88500000,200000,17500000,24700000,61100000,97000000,- -,- -,- -,76200000,269100000,- -,- -,240400000,- -
92,Common Stock Repurchased,-16600000,-161593,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10900000,- -,- -,- -,- -,- -,- -,-1100000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5300000,-16358992,24600000,1600000,-39200000,-3200000,-500000,-400000,50700000,-67400000,2600000,23100000,277600000,405600000,44900000,-1000000,652800000,2300000,2000000,294100000,3600000,4000000,8500000,-3200000
95,Cash Used/Provided by Financing Activities,10500000,60972493,37500000,42300000,10600000,26300000,10200000,4600000,51200000,21100000,2800000,-9100000,181900000,452400000,90900000,-2000000,-9700000,-214700000,63100000,113400000,1700000,3500000,247700000,-9300000
96,Effect of Forex Changes on Cash,- -,-19536,-300000,100000,-1900000,-1100000,100000,1100000,- -,- -,- -,- -,- -,-500000,- -,100000,-200000,-200000,-300000,500000,-500000,-200000,1900000,-1500000
97,Net Change In Cash,2100000,31455510,-15800000,42600000,38000000,-9500000,-24700000,-39100000,-2300000,3200000,-5400000,6200000,900000,59000000,-20600000,6700000,-21000000,-5000000,40600000,60500000,52100000,-10400000,208900000,-32100000
98,Cash at the End of Period,2900000,34321673,18500000,61100000,99100000,89600000,54400000,12900000,5400000,8600000,3200000,9900000,10800000,69800000,49000000,55700000,34700000,28500000,69100000,129600000,183000000,172600000,381500000,349400000
99,Cash at the Beginning of Period,800000,2866163,34300000,18500000,61100000,99100000,79100000,52000000,7700000,5400000,8600000,3700000,9900000,10800000,69600000,49000000,55700000,33500000,28500000,69100000,130900000,183000000,172600000,381500000
100,Free Cash Flow,-8000000,10216491,-44000000,200000,29300000,800000,700000,-700000,-3100000,-1800000,-6700000,22400000,26000000,-4800000,37000000,4700000,-8100000,-38200000,-21500000,-53500000,-12200000,3700000,10700000,-15700000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1069258/000089843001001094/0000898430-01-001094-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000102140802003825/0001021408-02-003825-index.html,- -,https://www.sec.gov/Archives/edgar/data/1069258/000119312504036425/0001193125-04-036425-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1069258/000110465907068220/a07-22826_110k.htm,https://www.sec.gov/Archives/edgar/data/1069258/000104746908003537/a2184011z10-k.htm,https://www.sec.gov/Archives/edgar/data/1069258/000104746909002424/0001047469-09-002424-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000104746910002038/0001047469-10-002038-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000104746911001644/a2202354z10-k.htm,https://www.sec.gov/Archives/edgar/data/1069258/000104746912002229/0001047469-12-002229-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925813000007/0001069258-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925814000011/ktos2013form10-k.htm,https://www.sec.gov/Archives/edgar/data/1069258/000106925815000009/ktos2014form10-k.htm,https://www.sec.gov/Archives/edgar/data/1069258/000106925816000059/0001069258-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925817000009/0001069258-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925818000006/0001069258-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000162828019002271/0001628280-19-002271-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925820000006/0001069258-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1069258/000106925821000009/0001069258-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1069258/000106925822000014/0001069258-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
