,https://roic.ai/company/LHCG,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.1253,0.1740,0.1261,0.1190,0.1230,0.1672,0.1321,0.1598,0.1591,0.1516,-0.0089,0.0830,0.0684,0.0590,0.0790,0.0745,0.0665,0.0560,0.0675,0.0843,0.0817
22,Income Tax expense (Gain),- -,2260000,2400000,5605000,5364000,10417000,12147000,18728000,26743000,31727000,-1968000,17511000,15859000,14513000,22848000,22176000,10944000,22399000,26607000,36043000,37687000
23,Net Income,787000,2842000,2843000,9313000,10102000,20594000,19589000,30202000,57814000,48800000,-13244000,27440000,22342000,21837000,32335000,36583000,50112000,63574000,95726000,111596000,115728000
24,Net Income ratio,0.0279,0.0600,0.0415,0.0757,0.0621,0.0957,0.0657,0.0788,0.1087,0.0768,-0.0209,0.0430,0.0339,0.0298,0.0396,0.0400,0.0467,0.0351,0.0460,0.0541,0.0521
25,EPS,0.07,0.24,0.24,0.77,0.59,1.27,1.11,1.69,2.44,2.69,-0.73,1.54,1.31,1.27,1.86,2.08,2.83,2.31,3.09,3.59,4.60
26,EPS Diluted,0.06,0.23,0.23,0.76,0.59,1.27,1.11,1.69,2.43,2.68,-0.73,1.53,1.30,1.26,1.84,2.07,2.79,2.29,3.07,3.56,4.57
27,Weighted Average Shares Outstanding,11756423,11926226,12085154,12085154,14628737,17090583,17760432,17855634,17960376,18119183,18265118,17853321,17049794,17229026,17405379,17559477,17715992,27498351,30933000,31092417,31238000
28,Weighted Average Shares Outstanding Diluted,12241912,12084538,12114675,12145150,14684639,17104660,17827444,17899087,18069897,18226091,18265118,17899195,17132751,17315333,17547531,17682820,17961018,27773396,31210000,31365765,31434000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1303313/000095014406002969/0000950144-06-002969-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000095014407002315/0000950144-07-002315-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000095014408001999/0000950144-08-001999-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000095014409002257/0000950144-09-002257-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000119312510057072/0001193125-10-057072-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000119312511062455/0001193125-11-062455-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000119312512116859/0001193125-12-116859-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000119312513112605/0001193125-13-112605-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000119312514086648/0001193125-14-086648-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331315000005/0001303313-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331316000035/0001303313-16-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331317000030/0001303313-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331318000005/0001303313-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331319000016/0001303313-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331320000007/0001303313-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331321000009/0001303313-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331322000006/0001303313-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,132000,3179000,1725000,2911000,17398000,26877000,1155000,3511000,394000,288000,256000,9720000,14014000,531000,6139000,3264000,2849000,49363000,31672000,286569000,9809000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,132000,3179000,1725000,2911000,17398000,26877000,1155000,3511000,394000,288000,256000,9720000,14014000,531000,6139000,3264000,2849000,49363000,31672000,286569000,9809000
34,Net Receivables,- -,- -,- -,28013000,44582000,55948000,73917000,66275000,78685000,85578000,93134000,86136000,90806000,107846000,114074000,130860000,165891000,260080000,295794000,312731000,362600000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,1903000,4735000,7226000,7925000,11423000,16299000,21282000,44875000,24874000,24735000,26975000,18617000,15617000,32225000,57462000,52808000,47722000,60733000
37,Total Current Assets,- -,- -,- -,32827000,66715000,90051000,82997000,81209000,95378000,107148000,138265000,120730000,129555000,135352000,138830000,149741000,200965000,366905000,380274000,647022000,433142000
38,PP&E,- -,- -,- -,6176000,10224000,11705000,12523000,16348000,21361000,26862000,28182000,29531000,31052000,34787000,38096000,43251000,46453000,79563000,193360000,238412000,267358000
39,Goodwill,- -,- -,- -,- -,- -,39681000,62227000,112572000,139474000,157338000,164731000,169150000,194893000,240019000,290694000,307317000,392601000,1161717000,1219972000,1259147000,1748426000
40,Intangible Assets,- -,- -,- -,6429000,26103000,8262000,14055000,29975000,46851000,54051000,59389000,62042000,62184000,79685000,96405000,102006000,134610000,297379000,305556000,315355000,400002000
41,Intangible Assets,- -,- -,- -,6429000,26103000,47943000,76282000,142547000,186325000,211389000,224120000,231192000,257077000,319704000,387099000,409323000,527211000,1459096000,1525528000,1574502000,2148428000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,2087000,1576000,2995000,3183000,3296000,3169000,11906000,5809000,5441000,4542000,1896000,2029000,11756000,19073000,23151000,41133000,23418000,46693000
45,Total Non-Current Assets,- -,- -,- -,14692000,37903000,62643000,91988000,162191000,210855000,250157000,258111000,266164000,292671000,356387000,427224000,464330000,592737000,1561810000,1760021000,1836332000,2462479000
46,Other Assets,10033000,21485000,27915000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10033000,21485000,27915000,47519000,104618000,152694000,174985000,243400000,306233000,357305000,396376000,386894000,422226000,491739000,566054000,614071000,793702000,1928715000,2140295000,2483354000,2895621000
48,Accounts Payable,- -,- -,- -,3349000,6474000,5903000,6103000,37845000,46602000,- -,28731000,14897000,17217000,19278000,24586000,26805000,39750000,77135000,83572000,64864000,98118000
49,Short-Term Debt,- -,- -,- -,1631000,1806000,639000,521000,583000,387000,- -,- -,- -,249000,230000,241000,252000,286000,7773000,28701000,32676000,37630000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,10682000,- -,- -,- -,- -,- -,- -,- -,3499000,- -,- -,- -,21464000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,411219000,106489000
52,Other Current Liabilities,- -,- -,- -,5626000,9241000,15065000,15328000,10682000,- -,51465000,28805000,40313000,42180000,41334000,45339000,53410000,62216000,121204000,118699000,172677000,166553000
53,Total Current Liabilities,- -,- -,- -,10606000,17521000,21607000,21952000,49110000,46989000,51465000,57536000,55210000,59646000,60842000,70166000,80467000,102252000,206112000,230972000,681436000,408790000
54,Long-Term Debt,- -,- -,- -,15415000,3274000,3051000,2847000,4483000,9819000,- -,34820000,19500000,22963000,60778000,98543000,87544000,144000000,235930000,253000000,20000000,739885000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,989000,1573000,2104000,3243000,5718000,12475000,16817000,22523000,25129000,29060000,33592000,23729000,31941000,27466000,43306000,60498000,47237000,70026000
57,Other Non-Current Liabilities,- -,- -,- -,2617000,347000,147000,63000,7268000,15390000,13535000,3415000,14841000,14673000,14932000,15823000,12567000,13393000,18893000,88574000,121327000,7320000
58,Total Non-Current Liabilities,- -,- -,- -,19021000,5194000,5302000,6153000,17469000,37684000,30352000,60758000,59470000,66696000,109302000,138095000,132052000,184859000,298129000,402072000,188564000,817231000
59,Other Liabilities,10436000,17892000,21006000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,1229000,347000,147000,63000,125000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98257000,102951000,116318000
61,Total Liabilities,10436000,17892000,21006000,29627000,22715000,26909000,28105000,66579000,84673000,81817000,118294000,114680000,126342000,170144000,208261000,212519000,287111000,504241000,633044000,870000000,1226021000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,121000,166000,177000,177000,179000,179000,181000,183000,216000,218000,220000,222000,224000,226000,356000,361000,364000,365000
64,Retained Earnings,- -,- -,- -,14051000,22538000,44295000,64077000,94310000,138196000,186996000,173752000,201192000,223534000,245371000,277706000,314289000,364401000,427975000,523701000,635297000,751025000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1553000,-3148000,-5122000,-7786000,-10904000,-15031000,-15329000,-28073000,-34331000,-40935000,-44683000,-38907000,-35226000,-43565000,-55253000,-69441000,- -,- -
66,Other Total Stockholders Equity,- -,3593000,6909000,3732000,58888000,82539000,86903000,93236000,97828000,101893000,117821000,101104000,110192000,117731000,115561000,115839000,127806000,943847000,958702000,893109000,814852000
67,Total Stockholders Equity,-403000,3593000,6909000,16351000,78444000,121889000,143371000,176821000,221172000,273741000,263683000,268181000,293009000,318639000,354582000,395126000,448868000,1316925000,1413323000,1528770000,1566242000
68,Total Liabilities And Stockholders Equity,10033000,21485000,27915000,45978000,101159000,148798000,171476000,243400000,305845000,355558000,381977000,382861000,419351000,488783000,562843000,607645000,735979000,1821166000,2046367000,2398770000,2792263000
69,Minority Interest,- -,- -,- -,1541000,3459000,3896000,3509000,- -,388000,1747000,14399000,4033000,2875000,2956000,3211000,6426000,57723000,107549000,93928000,84584000,103358000
70,Total Liabilities & Equity,10033000,21485000,27915000,47519000,104618000,152694000,174985000,243400000,306233000,357305000,396376000,386894000,422226000,491739000,566054000,614071000,793702000,1928715000,2140295000,2483354000,2895621000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1303313/000095014406002969/0000950144-06-002969-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000095014407002315/0000950144-07-002315-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000095014408001999/0000950144-08-001999-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000095014409002257/0000950144-09-002257-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000119312510057072/0001193125-10-057072-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000119312511062455/0001193125-11-062455-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000119312512116859/0001193125-12-116859-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000119312513112605/0001193125-13-112605-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000119312514086648/0001193125-14-086648-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331315000005/0001303313-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331316000035/0001303313-16-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331317000030/0001303313-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331318000005/0001303313-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331319000016/0001303313-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331320000007/0001303313-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331321000009/0001303313-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331322000006/0001303313-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,9313000,10102000,20594000,19589000,30202000,57814000,48800000,-13244000,27440000,22342000,21837000,32335000,36583000,50112000,63574000,95726000,111596000,115728000
74,Depreciation and Amortization,- -,- -,- -,1021000,1751000,2427000,3026000,3740000,4831000,7496000,7521000,7806000,8325000,9571000,11955000,12160000,13422000,16362000,51622000,55795000,58423000
75,Deferred Income Tax,- -,- -,- -,-85000,673000,-1253000,127000,462000,4646000,2771000,4378000,2204000,2351000,2402000,1518000,7402000,-4475000,19453000,18400000,-13261000,22789000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,1935000,2393000,3742000,4092000,4390000,3886000,4094000,4225000,4872000,5964000,9358000,9646000,14347000,15868000
77,Change in Working Capital,- -,- -,- -,-9996000,26973000,19250000,-7399000,-28946000,16290000,7294000,25046000,-15209000,4389000,4601000,-5846000,610000,29439000,62080000,-11491000,-183716000,-340831000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4497000,-18961000,-16372000,-27951000,-28873000,-36390000,-362000,-38907000,-16561000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4288000,4395000,-10460000,10526000,9182000,19666000,-6577000,-3082000,-22506000,12345000
81,Other Working Capital,- -,- -,- -,22221000,49194000,68444000,61045000,32099000,48389000,55683000,80729000,65520000,69909000,74510000,68664000,69274000,98713000,160793000,149302000,-34414000,-211906000
82,Other Non-Cash Items,- -,- -,- -,6309000,-33512000,-19256000,-3225000,78111000,-36782000,1834000,-31169000,48141000,4622000,-3848000,15747000,5845000,-62136000,-62242000,-33441000,544486000,27691000
83,Cash Provided by Operating Activities,- -,- -,- -,6562000,5987000,21762000,12118000,85504000,49192000,71937000,-3376000,74772000,45915000,38657000,59934000,67472000,32326000,108585000,130462000,529247000,-100332000
84,CAPEX,- -,- -,- -,-4144000,-2134000,-3938000,-3346000,-8550000,-8236000,-11586000,-7945000,-15173000,-35263000,-82038000,-83855000,-39165000,-74774000,-32993000,-33609000,-65875000,-32976000
85,Acquisitions Net,- -,- -,- -,-1700000,-10349000,-25009000,-28935000,-69898000,-33427000,-31747000,-11680000,-6758000,-26920000,-73933000,-70572000,-11488000,-64598000,7702000,-74293000,-24545000,-578152000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,650000,730000,1447000,- -,2572000,- -,- -,- -,33000,- -,- -,- -,-22883000,- -,- -,- -,7920000,3350000
89,Cash Used for Investing Activites,- -,- -,- -,-5194000,-11753000,-27500000,-32281000,-75876000,-41663000,-43333000,-19625000,-15140000,-35263000,-82038000,-83855000,-50380000,-74774000,-25291000,-107902000,-82500000,-607778000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-36290000,-64071000,-19260000,-108189000,-203881000,-70500000,-37202000,-45233000,-49238000,-39260000,-324718000,-256650000,-529229000,-384362000
91,Common Stock Issued,- -,- -,- -,- -,45570000,21308000,419000,493000,618000,781000,860000,783000,786000,782000,782000,912000,1026000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1914000,-577000,-26958000,-869000,-945000,-1479000,- -,-4602000,- -,- -,- -,-74643000
93,Dividends Paid,- -,- -,- -,-445000,-227000,- -,- -,- -,- -,-15666000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,263000,-25090000,-6091000,-5978000,28525000,52807000,7349000,130875000,179888000,64225000,67263000,75459000,28359000,84869000,287938000,216399000,337379000,890355000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-182000,20253000,15217000,-5559000,-7272000,-10646000,-28710000,22969000,-50168000,-6358000,29898000,29529000,-19967000,42033000,-36780000,-40251000,-191850000,431350000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,1186000,14487000,9479000,-25722000,2356000,-3117000,-106000,-32000,9464000,4294000,-13483000,5608000,-2875000,-415000,46514000,-17691000,254897000,-276760000
98,Cash at the End of Period,- -,- -,- -,2911000,17398000,26877000,1155000,3511000,394000,288000,256000,9720000,14014000,531000,6139000,3264000,2849000,49363000,31672000,286569000,9809000
99,Cash at the Beginning of Period,- -,- -,- -,1725000,2911000,17398000,26877000,1155000,3511000,394000,288000,256000,9720000,14014000,531000,6139000,3264000,2849000,49363000,31672000,286569000
100,Free Cash Flow,- -,- -,- -,2418000,3853000,17824000,8772000,76954000,40956000,60351000,-11321000,59599000,10652000,-43381000,-23921000,28307000,-42448000,75592000,96853000,463372000,-133308000
101,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1303313/000095014406002969/0000950144-06-002969-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000095014407002315/0000950144-07-002315-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000095014408001999/0000950144-08-001999-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000095014409002257/0000950144-09-002257-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000119312510057072/0001193125-10-057072-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000119312511062455/0001193125-11-062455-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000119312512116859/0001193125-12-116859-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000119312513112605/0001193125-13-112605-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000119312514086648/0001193125-14-086648-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331315000005/0001303313-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331316000035/0001303313-16-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331317000030/0001303313-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331318000005/0001303313-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331319000016/0001303313-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331320000007/0001303313-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331321000009/0001303313-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1303313/000130331322000006/0001303313-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
