,https://roic.ai/company/LMT,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,-88000000,148000000,132000000,126000000,-7257000000,45000000,108000000,-1129000000,2262000000,125000000,93000000,53000000,29000000,28000000,180000000,46000000,-20000000,48000000,22000000,650000000,-918000000,-852000000,-825000000,-731000000,-985000000,-1147000000,-1075000000,-1241000000,-1728000000,-1161000000
89,Cash Used for Investing Activites,-591000000,-2808000000,-502000000,-699000000,-8029000000,185000000,-455000000,-1638000000,1762000000,139000000,-539000000,-1461000000,-708000000,-499000000,-1655000000,-1205000000,-907000000,-1518000000,-319000000,-813000000,-1222000000,-1121000000,-1723000000,-9734000000,-985000000,-1147000000,-1075000000,-1241000000,-2010000000,-1161000000
90,Debt Repayment,-494000000,-750000000,-519000000,-301000000,-2105000000,-219000000,-1136000000,-1935000000,- -,-2578000000,-110000000,-2202000000,-1252000000,-145000000,-210000000,-32000000,-1103000000,-242000000,- -,-632000000,- -,-150000000,- -,-6000000000,-952000000,- -,-750000000,-1500000000,-1650000000,-500000000
91,Common Stock Issued,44000000,88000000,32000000,61000000,97000000,110000000,91000000,17000000,14000000,213000000,436000000,44000000,164000000,406000000,756000000,350000000,250000000,40000000,73000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-266000000,- -,- -,-150000000,- -,-1571000000,-51000000,- -,- -,- -,-50000000,-482000000,-673000000,-1310000000,-2115000000,-2127000000,-2931000000,-1851000000,-2420000000,-2465000000,-990000000,-1762000000,-1900000000,-3071000000,-2096000000,-2001000000,-1492000000,-1200000000,-1100000000,-4087000000
93,Dividends Paid,-204000000,-260000000,-274000000,-314000000,-362000000,-352000000,-310000000,-345000000,-183000000,-192000000,-199000000,-261000000,-405000000,-462000000,-538000000,-615000000,-737000000,-908000000,-969000000,-1095000000,-1352000000,-1540000000,-1760000000,-1932000000,-2048000000,-2163000000,-2347000000,-2556000000,-2764000000,-2940000000
94,Other Financing Activites,345000000,2281000000,43000000,125000000,8110000000,639000000,115000000,2994000000,-2559000000,- -,- -,825000000,- -,- -,-353000000,124000000,583000000,1485000000,-47000000,2073000000,319000000,746000000,346000000,15280000000,1639000000,-141000000,437000000,-72000000,987000000,-89000000
95,Cash Used/Provided by Financing Activities,-575000000,1359000000,-718000000,-579000000,5740000000,-1393000000,-1291000000,731000000,-2728000000,-2557000000,77000000,-2076000000,-2166000000,-1511000000,-2460000000,-2300000000,-3938000000,-1476000000,-3363000000,-2119000000,-2023000000,-2706000000,-3314000000,4277000000,-3457000000,-4305000000,-4152000000,-5328000000,-4527000000,-7616000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56000000,44000000,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,12000000,10000000,273000000,14000000,- -,- -,- -,170000000,1050000000,-593000000,1826000000,-1728000000,50000000,1184000000,-332000000,736000000,-480000000,223000000,-130000000,1321000000,-1684000000,719000000,-1171000000,-356000000,747000000,1024000000,-2089000000,742000000,1646000000,444000000
98,Cash at the End of Period,356000000,366000000,639000000,653000000,- -,- -,285000000,455000000,1505000000,912000000,2738000000,1010000000,1060000000,2244000000,1912000000,2648000000,2168000000,2391000000,2261000000,3582000000,1898000000,2617000000,1446000000,1090000000,1837000000,2861000000,772000000,1514000000,3160000000,3604000000
99,Cash at the Beginning of Period,344000000,356000000,366000000,639000000,653000000,- -,- -,285000000,455000000,1505000000,912000000,2738000000,1010000000,1060000000,2244000000,1912000000,2648000000,2168000000,2391000000,2261000000,3582000000,1898000000,2617000000,1446000000,1090000000,1837000000,2861000000,772000000,1514000000,3160000000
100,Free Cash Flow,680000000,923000000,984000000,761000000,899000000,458000000,1334000000,408000000,1516000000,1206000000,1626000000,1122000000,2155000000,2329000000,2890000000,3301000000,3495000000,2321000000,2727000000,3266000000,619000000,3710000000,3021000000,4162000000,4126000000,5299000000,1860000000,5827000000,6417000000,7699000000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/936468/000092838599000878/0000928385-99-000878-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/936468/000119312504035751/0001193125-04-035751-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312505038829/0001193125-05-038829-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312506040986/0001193125-06-040986-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312507039899/0001193125-07-039899-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312508041793/0001193125-08-041793-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312509038670/0001193125-09-038670-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312510040520/0001193125-10-040520-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312511045739/0001193125-11-045739-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312512074929/0001193125-12-074929-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312513082873/0001193125-13-082873-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312514055034/0001193125-14-055034-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312515038681/0001193125-15-038681-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312516476010/0001193125-16-476010-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312517036192/0001193125-17-036192-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646818000009/0000936468-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646819000009/0000936468-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646820000016/0000936468-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646821000013/0000936468-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646822000008/0000936468-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
