,https://roic.ai/company/CDE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,28800000,53900000,59800000,86800000,86200000,93000000,108300000,124000000,186200000,207100000,304800000,312500000,380449000,103600000,137100000,130700000,119919000,26663000,34678000,98377000,213977000,337556000,2303264000,2634040000,2779093000,2790317000,2688703000,2675811000,2237774000,729103000,785218000,775251000,1084306000,1270018000,960744000,946929000,1172766000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66900000,29000000,15300000,- -,- -,- -,- -,- -,- -,- -,- -,14391000,10005000,19844000,27065000,14521000,5982000,2766000,4488000,34837000,17806000,35646000,12943000,132197000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1811000,923000,2544000,1109000,4666000,2355000,804000,263000,955000,1189000,60151000,1942000,191000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,28600000,9100000,10200000,7900000,7800000,7700000,7900000,9700000,10200000,13600000,14200000,56600000,20902000,11100000,8800000,7100000,8903000,103701000,102014000,53879000,60911000,67929000,83254000,132741000,72160000,90190000,90688000,111388000,101264000,86378000,95875000,128192000,132475000,127057000,171810000,174497000,139882000
45,Total Non-Current Assets,57400000,63000000,70000000,94700000,94000000,100700000,116200000,133700000,196400000,220700000,319000000,369100000,401351000,181600000,174900000,153100000,128822000,130364000,136692000,154067000,275811000,408029000,2387627000,2771447000,2867999000,2891316000,2799498000,2815219000,2354748000,881614000,885801000,908122000,1251618000,1414881000,1168200000,1134369000,1444845000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,69300000,100700000,163500000,190800000,196100000,238800000,261600000,325300000,325700000,412800000,445600000,580300000,661422000,366000000,354000000,271400000,210380000,173088000,258276000,525777000,594816000,849626000,2651694000,2923898000,3054035000,3157527000,3264441000,3221401000,2885978000,1455418000,1332489000,1318909000,1701175000,1712500000,1378636000,1403977000,1734422000
48,Accounts Payable,- -,- -,- -,- -,1100000,1100000,2500000,1500000,1900000,2500000,5700000,4300000,5983000,3500000,4700000,4100000,3721000,5962000,7772000,8389000,17936000,22315000,49642000,66300000,77003000,88321000,78590000,57482000,53847000,49052000,48732000,53335000,48592000,47210000,69176000,90577000,103901000
49,Short-Term Debt,100000,1800000,1800000,2100000,1900000,1900000,1700000,1800000,1900000,2000000,2200000,12100000,4649000,- -,- -,- -,23171000,17653000,2367000,114000,- -,- -,30831000,14608000,54746000,115298000,94323000,55983000,2505000,17498000,10431000,12039000,30753000,24937000,35850000,34484000,41122000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,927000,11783000,28397000,47803000,27108000,3119000,- -,- -,- -,- -,20113000,14797000,29734000,17140000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16672000,16425000,16093000
52,Other Current Liabilities,2100000,5300000,6600000,7400000,6500000,6900000,10000000,6500000,17800000,14000000,13100000,15200000,27829000,27100000,16500000,21200000,14823000,12464000,12321000,13647000,15955000,36200000,31204000,80076000,56859000,67098000,79168000,124787000,88209000,107140000,80917000,51260000,149384000,89171000,68954000,92622000,74752000
53,Total Current Liabilities,2200000,7100000,8400000,9500000,9500000,9900000,14200000,9800000,21600000,18500000,21000000,31600000,38461000,30600000,21200000,25300000,41715000,36079000,22460000,22150000,33891000,58515000,111677000,160984000,188608000,270717000,252081000,238252000,144561000,173690000,140080000,116634000,228729000,161318000,190652000,234108000,235868000
54,Long-Term Debt,25300000,42200000,64700000,63100000,61500000,59500000,57900000,131500000,129200000,227200000,150000000,190000000,145999000,246500000,236200000,204600000,122319000,66797000,9563000,180000000,180000000,180000000,180000000,411830000,313504000,320401000,285649000,- -,305334000,447758000,472205000,175991000,345088000,380854000,226885000,253427000,457680000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,3600000,- -,2700000,5300000,4500000,3100000,4600000,2900000,1700000,1600000,1400000,- -,2720000,- -,- -,- -,- -,- -,- -,- -,- -,- -,573681000,557449000,516678000,474264000,527573000,577488000,556246000,111006000,147132000,74798000,105148000,79070000,41976000,34202000,21969000
57,Other Non-Current Liabilities,-100000,- -,200000,700000,500000,300000,1000000,100000,2400000,5200000,33400000,12500000,152153000,11800000,28500000,24000000,19558000,22914000,29966000,30173000,39372000,30117000,58969000,56945000,42040000,51378000,62417000,207381000,149270000,137646000,151596000,182999000,207233000,238746000,252119000,188761000,218643000
