,https://roic.ai/company/SOFO,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,6900000,5900000,21948000,7809000,3704000,12623000,7583000,4271000,2751000,8008000,3560000,2598000,3358000,5515000,4478000,3482000,4344000,1976000,1794000,1211000,1189000,4295000,7619000,9989000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148000,150000,163000,275000,294000
33,Cash and Short-Term Investments,- -,6900000,5900000,21948000,7809000,3704000,12623000,7583000,4271000,2751000,8008000,3560000,2598000,3358000,5515000,4478000,3482000,4344000,1976000,1794000,1359000,1339000,4458000,7894000,10283000
34,Net Receivables,- -,1700000,3800000,9430000,4091000,3975000,647000,1363000,2232000,3442000,5001000,3864000,3741000,5038000,5799000,5578000,6885000,8449000,12659000,11646000,8828000,7518000,6532000,6250000,5461000
35,Inventory,- -,300000,1000000,1906000,1118000,362000,111000,371000,414000,398000,204000,330000,440000,541000,536000,1053000,1447000,1721000,2385000,1904000,986000,1027000,558000,1167000,442000
36,Other Current Assets,- -,4000000,900000,2696000,1085000,619000,214000,281000,363000,399000,975000,429000,472000,433000,740000,757000,805000,1544000,927000,1404000,1085000,941000,1436000,1505000,1219000
37,Total Current Assets,- -,12900000,11600000,35980000,14103000,8660000,13595000,9598000,7280000,6990000,14188000,8183000,7251000,9370000,12590000,11866000,12619000,16058000,17947000,16748000,12258000,10825000,12984000,16816000,17405000
38,PP&E,- -,2600000,3400000,16084000,11804000,8696000,588000,745000,1007000,2294000,2183000,1694000,1316000,1237000,1636000,2944000,3280000,3396000,2808000,2031000,1750000,1913000,1568000,5240000,5239000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,7575000,7576000,7597000,7576000,7576000,7576000,7576000,7576000,11185000,10853000,11310000,10455000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,73632000,44732000,8255000,7726000,7676000,7626000,53000,34000,- -,30000,84000,38000,15000,473000,3420000,2596000,2343000,1766000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,73632000,44732000,8255000,7726000,7676000,7626000,7628000,7610000,7597000,7606000,7660000,7614000,7591000,8049000,14605000,13449000,13653000,12221000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,420000,385000,- -,- -,- -,407000,249000,134000,76000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,400000,1700000,1129000,1044000,2032000,892000,612000,332000,- -,- -,- -,- -,- -,- -,- -,- -,564000,599000,726000,1720000,596000,494000,497000,1371000
45,Total Non-Current Assets,- -,3000000,5100000,90845000,57580000,18983000,9206000,9033000,8965000,9922000,9793000,9291000,8922000,8897000,9250000,10955000,11714000,18565000,16856000,16410000,16098000,2758000,2196000,5813000,6610000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,15900000,16700000,126825000,71683000,27643000,22801000,18631000,16245000,16912000,23981000,17474000,16173000,18267000,21840000,22821000,24333000,34623000,34803000,33158000,28356000,13583000,15180000,22629000,24015000
48,Accounts Payable,- -,800000,1900000,5231000,2316000,3035000,1065000,879000,1323000,1521000,1512000,1256000,636000,1138000,1373000,1604000,1513000,1183000,2026000,961000,1314000,1610000,843000,2689000,1072000
49,Short-Term Debt,- -,600000,- -,5777000,5219000,4876000,48000,- -,15000,41000,399000,379000,616000,552000,897000,667000,634000,3070000,3303000,3432000,2802000,1478000,968000,1104000,1009000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,62000,194000,473000,957000,2005000,3314000,4661000,5272000,5486000,5547000,5284000,6470000,9079000,11359000,12834000,11332000,11645000,9610000,10402000,9413000
52,Other Current Liabilities,- -,400000,800000,2819000,2147000,1183000,1263000,686000,780000,1225000,1023000,1113000,1071000,752000,1690000,979000,1427000,2708000,1877000,2166000,1643000,1857000,2410000,4109000,2522000
53,Total Current Liabilities,- -,1800000,2700000,13827000,9682000,9156000,2570000,2038000,3075000,4792000,6248000,7409000,7595000,7928000,9507000,8534000,10044000,16040000,18565000,19393000,17091000,16590000,13831000,18304000,14016000
54,Long-Term Debt,- -,100000,5200000,2626000,217000,323000,- -,- -,28000,- -,556000,223000,557000,1040000,694000,766000,133000,1453000,2172000,871000,123000,1357000,5429000,2673000,2165000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,587000,471000,349000,648000,929000,1325000,1257000,2970000,1691000,1842000,1736000,1614000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1250000,1490000,1730000,1970000,2210000,4312000,4322000,4564000,4426000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,100000,6000,553000,180000,- -,27000,21000,519000,417000,279000,170000,85000,177000,663000,594000,574000,616000,557000,628000,403000,331000,964000,80000
58,Total Non-Current Liabilities,- -,100000,5300000,2632000,770000,503000,- -,27000,49000,519000,973000,502000,1977000,3202000,3072000,3748000,3585000,7268000,8435000,7249000,8147000,3451000,7602000,5373000,3859000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000,69000,24000,24000,- -,266000,260000,372000,369000,407000,514000,500000,435000,373000,2298000,2618000
61,Total Liabilities,- -,1800000,8000000,16459000,10452000,9659000,2570000,2065000,3124000,5311000,7221000,7911000,9572000,11130000,12579000,12282000,13629000,23308000,27000000,26642000,25238000,20041000,21433000,23677000,17875000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1280000,1651000,- -,- -,- -
63,Common Stock,- -,- -,100000,219000,223000,277000,287000,298000,309000,322000,357000,357000,362000,37000,38000,39000,40000,43000,44000,44000,45000,51000,67000,80000,91000
64,Retained Earnings,- -,-1500000,-7500000,-42388000,-92248000,-148985000,-147532000,-152908000,-157077000,-160560000,-166930000,-174803000,-178556000,-178678000,-178921000,-178764000,-179556000,-182372000,-186897000,-190214000,-195253000,-207419000,-209340000,-209519000,-206442000
65,Other Comprehensive Income/Loss,- -,-400000,-900000,-3071000,-5010000,-7584000,-381000,-627000,-933000,-1296000,-1520000,-2223000,-2670000,-2801000,-3391000,-2624000,-3449000,-3675000,-1000000,-5510000,-1000000,-1000000,-1000000,-462000,-618000
66,Other Total Stockholders Equity,- -,16000000,17000000,155606000,158266000,174276000,167857000,169803000,170822000,173135000,184853000,186232000,187465000,188579000,191535000,191888000,193669000,197319000,195656000,202196000,198046000,200259000,204020000,208853000,213109000
67,Total Stockholders Equity,- -,14100000,8700000,110366000,61231000,17984000,20231000,16566000,13121000,11601000,16760000,9563000,6601000,7137000,9261000,10539000,10704000,11315000,7803000,6516000,3118000,-6458000,-6253000,-1048000,6140000
68,Total Liabilities And Stockholders Equity,- -,15900000,16700000,126825000,71683000,27643000,22801000,18631000,16245000,16912000,23981000,17474000,16173000,18267000,21840000,22821000,24333000,34623000,34803000,33158000,28356000,13583000,15180000,22629000,24015000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,15900000,16700000,126825000,71683000,27643000,22801000,18631000,16245000,16912000,23981000,17474000,16173000,18267000,21840000,22821000,24333000,34623000,34803000,33158000,28356000,13583000,15180000,22629000,24015000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1029744/000095013199006714/0000950131-99-006714-index.html,https://www.sec.gov/Archives/edgar/data/1029744/000095013100006970/0000950131-00-006970-index.html,- -,https://www.sec.gov/Archives/edgar/data/1029744/000095013102005040/0000950131-02-005040-index.html,https://www.sec.gov/Archives/edgar/data/1029744/000119312503098908/0001193125-03-098908-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312504207362/0001193125-04-207362-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312505239212/0001193125-05-239212-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312506237294/0001193125-06-237294-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312507258075/0001193125-07-258075-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312508248977/0001193125-08-248977-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312509247521/0001193125-09-247521-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312510266525/0001193125-10-266525-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312511319867/0001193125-11-319867-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312512500121/0001193125-12-500121-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312513484680/0001193125-13-484680-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312514445355/0001193125-14-445355-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312515400164/0001193125-15-400164-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000102974416000025/0001029744-16-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000102974418000006/0001029744-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000102974419000038/0001029744-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000102974419000124/0001029744-19-000124-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000143774920025808/0001437749-20-025808-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000143774921028229/0001437749-21-028229-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-800000,-600000,-6000000,-34922000,-49860000,-56737000,1453000,-5376000,-4169000,-3483000,-6370000,-7873000,-2645000,-122000,-243000,157000,-792000,-2816000,-4525000,-3317000,-5039000,-12166000,-3612000,-179000,3077000
74,Depreciation and Amortization,200000,400000,800000,17762000,31649000,7440000,5604000,576000,636000,694000,707000,715000,631000,616000,912000,930000,1206000,1730000,2242000,2205000,1977000,1739000,1277000,1120000,1312000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142000,240000,240000,240000,240000,1064000,53000,341000,-103000,-4450000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,584000,295000,707000,742000,656000,921000,963000,861000,622000,476000,177000,158000,487000
77,Change in Working Capital,300000,11100000,-2200000,13253000,-17732000,-4917000,11521000,-3465000,-3355000,-2007000,5742000,-7166000,-1118000,1786000,1641000,249000,-757000,-2557000,-636000,-2027000,-2188000,-932000,4918000,-641000,4877000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168000,-1297000,-746000,226000,-1312000,-597000,-4379000,1341000,1613000,348000,950000,268000,821000
79,Inventory,- -,-300000,-700000,-1342000,788000,756000,-46000,-260000,-43000,16000,176000,-126000,-110000,-101000,-78000,-517000,-394000,259000,-344000,514000,904000,-41000,472000,-729000,734000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-989000
81,Other Working Capital,- -,11100000,8900000,22153000,4421000,-496000,11025000,7560000,4205000,2198000,7940000,774000,-344000,1442000,3083000,3332000,2575000,18000,-618000,-2645000,-4833000,-5765000,-847000,-1488000,3389000
82,Other Non-Cash Items,- -,-13000000,1300000,-15101000,25746000,49331000,-22662000,2027000,3541000,2609000,-5971000,10455000,928000,-2222000,-1843000,-1968000,460000,1571000,-1223000,3653000,5402000,14695000,-3496000,2883000,-8507000
83,Cash Provided by Operating Activities,-300000,-2100000,-6100000,-19008000,-10197000,-4883000,-4084000,-6238000,-3347000,-2187000,-5892000,-3869000,-1478000,593000,1414000,350000,1013000,-87000,-3126000,1716000,671000,-638000,-736000,3341000,1246000
84,CAPEX,-1000000,-1500000,-1400000,-7202000,-1984000,-1131000,-250000,-403000,-435000,-582000,-394000,-218000,-237000,-464000,-739000,-1456000,-1695000,-862000,-722000,-339000,-839000,-840000,-433000,-1736000,-1482000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-452000
88,Other Investing Activites,-300000,-3300000,-1000000,-10923000,-39000,-562000,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-533000,162000,- -,- -,- -,- -,- -,- -,452000
89,Cash Used for Investing Activites,-1300000,-4800000,600000,-18125000,-2023000,-1693000,-235000,-403000,-435000,-582000,-394000,-218000,-237000,-464000,-739000,-1456000,-1695000,300000,-722000,-339000,-839000,-840000,-433000,-1736000,-1482000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-367000,-727000,-1000000,-1490000,-859000,-1428000,-9873000,-19929000,-25003000,-24735000,-11181000,-1560000,-1055000
91,Common Stock Issued,500000,13900000,- -,53995000,317000,263000,438000,1517000,470000,1273000,10745000,37000,102000,70000,32000,134000,75000,98000,710000,66000,- -,- -,- -,73000,3710000
92,Common Stock Repurchased,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,800000,-200000,4600000,-803000,-2342000,2332000,-8323000,-48000,- -,-24000,798000,-398000,1018000,1288000,2450000,1425000,470000,2191000,10790000,18309000,24529000,26233000,15462000,3157000,- -
95,Cash Used/Provided by Financing Activities,1200000,13700000,4400000,53192000,-2025000,2595000,-7885000,1469000,470000,1249000,11543000,-361000,753000,631000,1482000,69000,-314000,861000,1627000,-1554000,-474000,1498000,4281000,1670000,2655000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,106000,-124000,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-212000,-147000,-5000,59000,-42000,-6000,49000,-49000
97,Net Change In Cash,1200000,- -,-1000000,16059000,-14139000,-4105000,8919000,-5040000,-3312000,-1520000,5257000,-4448000,-962000,760000,2157000,-1037000,-996000,862000,-2368000,-182000,-583000,-22000,3106000,3324000,2370000
98,Cash at the End of Period,- -,- -,5900000,21948000,7809000,3704000,12623000,7583000,4271000,2751000,8008000,3560000,2598000,3358000,5515000,4478000,3482000,4344000,1976000,1794000,1211000,1189000,4295000,7619000,9989000
99,Cash at the Beginning of Period,500000,100000,6900000,5889000,21948000,7809000,3704000,12623000,7583000,4271000,2751000,8008000,3560000,2598000,3358000,5515000,4478000,3482000,4344000,1976000,1794000,1211000,1189000,4295000,7619000
100,Free Cash Flow,-1300000,-3600000,-7500000,-26210000,-12181000,-6014000,-4334000,-6641000,-3782000,-2769000,-6286000,-4087000,-1715000,129000,675000,-1106000,-682000,-949000,-3848000,1377000,-168000,-1478000,-1169000,1605000,-236000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1029744/000095013199006714/0000950131-99-006714-index.html,https://www.sec.gov/Archives/edgar/data/1029744/000095013100006970/0000950131-00-006970-index.html,- -,https://www.sec.gov/Archives/edgar/data/1029744/000095013102005040/0000950131-02-005040-index.html,https://www.sec.gov/Archives/edgar/data/1029744/000119312503098908/0001193125-03-098908-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312504207362/0001193125-04-207362-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312505239212/0001193125-05-239212-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312506237294/0001193125-06-237294-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312507258075/0001193125-07-258075-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312508248977/0001193125-08-248977-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312509247521/0001193125-09-247521-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312510266525/0001193125-10-266525-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312511319867/0001193125-11-319867-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312512500121/0001193125-12-500121-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312513484680/0001193125-13-484680-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312514445355/0001193125-14-445355-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000119312515400164/0001193125-15-400164-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000102974416000025/0001029744-16-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000102974418000006/0001029744-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000102974419000038/0001029744-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000102974419000124/0001029744-19-000124-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000143774920025808/0001437749-20-025808-index.htm,https://www.sec.gov/Archives/edgar/data/1029744/000143774921028229/0001437749-21-028229-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
