,https://roic.ai/company/PII,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,11100000,37600000,54800000,64600000,57700000,72900000,103300000,104700000,149300000,168700000,202600000,214400000,254000000,253307000,214556000,179346000,193296000,212626000,203106000,191302000,216984000,284114000,245320000,326348000,414751000,446872000,542965000,604488000,622903000,755345000,964994000,1013788000,1165111000,1118700000,1233700000
11,COGS and Expenses,41400000,141000000,202600000,248400000,245800000,324800000,474800000,729100000,1012200000,1094500000,955200000,1075400000,1207500000,1303884000,1382224000,1368348000,1439148000,1561569000,1655033000,1488461000,1603973000,1786660000,1417988000,1787274000,2331117000,2731357000,3199154000,3764958000,4003151000,4166351000,5068820000,5591128000,6298847000,6436400000,7489200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9618000,4111000,2680000,3987000,5932000,6210000,11239000,11456000,16319000,32155000,56967000,77589000,66700000,44200000
14,Depreciation and Amortization,- -,- -,- -,12600000,13800000,17300000,25900000,23700000,22800000,30600000,33200000,36200000,39300000,46997000,52550000,57527000,54780000,59339000,67936000,71164000,62093000,66112000,64593000,66519000,66390000,70580000,92100000,127507000,152138000,167512000,191108000,211036000,234513000,260700000,237100000
15,EBITDA,1400000,18300000,25000000,44000000,38700000,52000000,79200000,164700000,121600000,127900000,135400000,84500000,157600000,175383000,192113000,211698000,219119000,231229000,275562000,229137000,231481000,252792000,219878000,287740000,417003000,556355000,668962000,838063000,849331000,497082000,542054000,697252000,719978000,468700000,906600000
16,EBITDA ratio,0.0314,0.1067,0.1031,0.1486,0.1300,0.1355,0.1500,0.1993,0.1092,0.1073,0.1292,0.0719,0.1193,0.1230,0.1271,0.1392,0.1364,0.1304,0.1474,0.1383,0.1300,0.1298,0.1404,0.1445,0.1569,0.1733,0.1771,0.1871,0.1800,0.1101,0.0999,0.1147,0.1062,0.0667,0.1106
17,Operating Income,3200000,30500000,40000000,47700000,51900000,59000000,53200000,97200000,101700000,97400000,93100000,100100000,113600000,121794000,129818000,152934000,166721000,211637000,214786000,168057000,176036000,182799000,164970000,220721000,349924000,478425000,577914000,714690000,716139000,350278000,359657000,487412000,483671000,212300000,709000000
18,Operating Income ratio,0.0717,0.1778,0.1649,0.1611,0.1743,0.1537,0.1008,0.1176,0.0913,0.0817,0.0888,0.0852,0.0860,0.0854,0.0859,0.1005,0.1038,0.1194,0.1149,0.1015,0.0989,0.0938,0.1054,0.1109,0.1317,0.1491,0.1530,0.1595,0.1517,0.0776,0.0663,0.0802,0.0713,0.0302,0.0865
19,Total Other Income Expenses (Gains),200000,-12200000,-15000000,-7500000,-19700000,-12000000,100000,43800000,-2900000,-100000,9100000,-51800000,4700000,6592000,9745000,1237000,-2382000,-7438000,-6153000,-4278000,-5700000,-5737000,-13796000,-2180000,-3298000,1418000,-3485000,-15373000,-30402000,-37027000,-40866000,-58163000,-75871000,-70900000,-83300000
20,Income Before Tax,- -,18300000,25000000,- -,- -,- -,53300000,141000000,98800000,97300000,102200000,48300000,118300000,128386000,139563000,154171000,164339000,204199000,208633000,163779000,170336000,177062000,151174000,218541000,346626000,479843000,574429000,699317000,685737000,313251000,318791000,429249000,407800000,141400000,625700000
21,Income Before Tax Ratio,- -,0.1067,0.1031,- -,- -,- -,0.1009,0.1706,0.0887,0.0816,0.0975,0.0411,0.0895,0.0901,0.0923,0.1013,0.1023,0.1152,0.1116,0.0989,0.0957,0.0909,0.0965,0.1098,0.1305,0.1495,0.1521,0.1561,0.1453,0.0694,0.0587,0.0706,0.0601,0.0201,0.0763
22,Income Tax expense (Gain),- -,1000000,700000,- -,- -,- -,7500000,12000000,38000000,35000000,36800000,17300000,42000000,45577000,48149000,50579000,53410000,67386000,64348000,50988000,57738000,59667000,50157000,71403000,119051000,167533000,193360000,245288000,230376000,100303000,146299000,93992000,83916000,16500000,131400000
23,Net Income,1400000,17300000,24300000,31400000,24900000,34700000,45800000,129000000,60800000,62300000,65400000,31000000,76300000,82809000,91414000,103592000,110929000,104504000,143278000,106985000,111650000,117395000,101017000,147138000,227575000,312310000,377292000,454029000,455361000,212948000,172492000,335257000,323960000,124800000,493900000
24,Net Income ratio,0.0314,0.1009,0.1002,0.1060,0.0836,0.0904,0.0867,0.1561,0.0546,0.0523,0.0624,0.0264,0.0578,0.0581,0.0605,0.0681,0.0691,0.0589,0.0766,0.0646,0.0627,0.0603,0.0645,0.0739,0.0857,0.0973,0.0999,0.1014,0.0965,0.0471,0.0318,0.0552,0.0478,0.0178,0.0602
25,EPS,0.02,0.20,0.27,0.28,0.28,0.29,0.38,1.17,0.55,0.56,0.61,0.30,0.77,0.88,1.00,1.16,1.29,1.24,1.70,1.32,1.58,1.79,1.56,2.20,3.31,4.54,5.51,6.86,6.90,3.31,2.74,5.36,5.27,2.02,8.06
26,EPS Diluted,0.02,0.20,0.27,0.28,0.28,0.29,0.38,1.17,0.55,0.56,0.61,0.30,0.77,0.88,0.97,1.10,1.23,1.16,1.64,1.29,1.53,1.75,1.52,2.14,3.20,4.40,5.35,6.65,6.75,3.27,2.69,5.24,5.20,1.99,7.88
27,Weighted Average Shares Outstanding,70000000,84390244,90000000,97142857,89729730,86980000,121941748,110538000,111168000,111444000,106775510,103333333,98770227,94004000,91456000,89248000,85810000,84636000,84262000,80648000,70472000,65540000,64798000,66900000,68792000,68849000,68535000,66175000,66020000,64296000,62916000,62513000,61437000,61900000,61300000
28,Weighted Average Shares Outstanding Diluted,70000000,84390244,90000000,97142857,89729730,86980000,121941748,123414634,111168000,111656442,107428571,104201681,99413681,94664000,94268000,94464000,90112000,90070000,87762000,82902000,72648000,67128000,66148000,68764000,71057000,71005000,70546000,68229000,67484000,65158000,64180000,63949000,62292000,62600000,62700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/931015/000095013403003989/0000950134-03-003989-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095013404003298/0000950134-04-003298-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095013405004005/0000950134-05-004005-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095013406004045/0000950134-06-004045-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095013707003089/0000950137-07-003089-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095013708003109/0000950137-08-003109-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095015209002053/0000950152-09-002053-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095012310019458/0000950123-10-019458-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095012311020529/0000950123-11-020529-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000119312512081910/0001193125-12-081910-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000119312513083760/0001193125-13-083760-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000144530514000518/0001445305-14-000518-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828015000875/0001628280-15-000875-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828016011420/0001628280-16-011420-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828017001442/0001628280-17-001442-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828018001709/0001628280-18-001709-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828019001394/0001628280-19-001394-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828020001541/0001628280-20-001541-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828021002278/0001628280-21-002278-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828022002730/0001628280-22-002730-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,3500000,5800000,1200000,1500000,6200000,2369000,40530000,81193000,82761000,138469000,19675000,19566000,63281000,27127000,140240000,393927000,325336000,417015000,92248000,137600000,155349000,127325000,138345000,161164000,157064000,634700000,509200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,3500000,5800000,1200000,1500000,6200000,2369000,40530000,81193000,82761000,138469000,19675000,19566000,63281000,27127000,140240000,393927000,325336000,417015000,92248000,137600000,155349000,127325000,138345000,161164000,157064000,634700000,509200000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,40400000,36200000,42600000,43000000,53300000,56130000,56119000,51001000,51885000,71172000,78350000,63815000,82884000,103119000,90405000,89294000,140025000,135499000,198430000,207567000,196953000,225494000,229745000,233556000,222877000,261100000,244500000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,104600000,122900000,139500000,107400000,118100000,143491000,152717000,155858000,182835000,173624000,202022000,230533000,218342000,222312000,179315000,235927000,298042000,344996000,417948000,565685000,710001000,746534000,783961000,969511000,1121111000,1177600000,1644800000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,27300000,28500000,34200000,31900000,37100000,38922000,55951000,55607000,70235000,82390000,73941000,79047000,83049000,91054000,81540000,88997000,115273000,120331000,157072000,185703000,92422000,91636000,101453000,121472000,125908000,134100000,160500000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,175800000,193400000,217500000,183800000,214700000,240912000,305317000,343659000,387716000,465655000,373988000,392961000,447556000,443612000,491500000,808145000,878676000,1017841000,865698000,1096555000,1154725000,1190989000,1253504000,1485703000,1626960000,2207500000,2559000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,78500000,93500000,98000000,124300000,150900000,167864000,170323000,169596000,176421000,200901000,222336000,204001000,204351000,215637000,194416000,184011000,213778000,253369000,455167000,555428000,650678000,727596000,747189000,843122000,1009962000,1014200000,1140600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25040000,26447000,24693000,25869000,28354000,- -,56324000,126697000,123031000,131014000,421563000,433374000,647077000,659937000,397300000,391300000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,25200000,24400000,23500000,23000000,22100000,21708000,27199000,27779000,27637000,27983000,25259000,132000,44000,- -,- -,2959000,- -,50892000,103011000,100935000,105103000,371416000,347212000,870517000,830298000,686400000,646200000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,25200000,24400000,23500000,23000000,22100000,21708000,27199000,27779000,27637000,27983000,25259000,25172000,26491000,24693000,25869000,31313000,77718000,107216000,229708000,223966000,236117000,792979000,780586000,1517594000,1490235000,1083700000,1037500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000000,155000000,86000000,67206000,51868000,38178000,47251000,69805000,85173000,89107000,99073000,94009000,88764000,92059000,110641000,59400000,49300000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2427000,- -,- -,- -,1595000,5572000,- -,- -,- -,10601000,22389000,18616000,41201000,166538000,188471000,115511000,87474000,93282000,177700000,163600000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,34900000,40400000,45700000,47600000,54300000,59702000,62324000,65185000,79578000,98386000,373000,62000,-89000,- -,- -,- -,- -,15872000,31126000,68678000,80331000,105553000,104039000,98963000,99449000,90200000,97800000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,138600000,158300000,167200000,194900000,227300000,249274000,259846000,264987000,283636000,327270000,394968000,385830000,322325000,307536000,272153000,253502000,349348000,468651000,819790000,978380000,1232737000,1908608000,1836089000,2639212000,2803569000,2425200000,2488800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,314400000,351700000,384700000,378700000,442000000,490186000,565163000,608646000,671352000,792925000,768956000,778791000,769881000,751148000,763653000,1061647000,1228024000,1486492000,1685488000,2074935000,2387462000,3099597000,3089593000,4124915000,4430529000,4632700000,5047800000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,57400000,50500000,61000000,77300000,91800000,89498000,101554000,88462000,65987000,96302000,97065000,100672000,90045000,115986000,75657000,113248000,146743000,169036000,238044000,343470000,299660000,273742000,317377000,346294000,450228000,782200000,797400000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,40200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,- -,- -,- -,- -,5059000,3847000,47746000,66543000,166695000,176800000,592600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,17200000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,98300000,110900000,130100000,127700000,142000000,148886000,206783000,225051000,264491000,308891000,278549000,260748000,298201000,288847000,267417000,370962000,468788000,461993000,510026000,507340000,522064000,682162000,765188000,784537000,911067000,930400000,840100000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,195900000,161400000,191100000,205000000,233800000,238384000,308337000,313513000,330478000,405193000,375614000,361420000,388246000,404833000,343074000,584210000,615531000,631029000,748070000,850810000,826783000,959751000,1130311000,1197374000,1527990000,1889400000,2230100000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000000,24400000,20500000,40000000,47068000,18043000,18027000,18008000,18000000,18000000,250000000,200000000,200000000,200000000,100000000,100000000,100000000,280500000,200000000,438560000,1120525000,846915000,1879887000,1512000000,1400900000,1375900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3488000,8000000,5685000,- -,- -,4185000,11050000,937000,- -,- -,25028000,18191000,13733000,9127000,10128000,6490000,3952000,4400000,5500000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,40200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8653000,5103000,4988000,5509000,12437000,64933000,96285000,144667000,126909000,143154000,170580000,174149000,278385000,193200000,210000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,40200000,35000000,24400000,20500000,40000000,47068000,18043000,18027000,21496000,26000000,23685000,250000000,208653000,209288000,216038000,106446000,112437000,164933000,401813000,362858000,579202000,1272806000,1027623000,2060526000,1794337000,1598500000,1591400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7253000,7179000,7123000,26148000,19660000,17538000,18351000,16140000,127644000,141700000,179900000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,195900000,196400000,215500000,225500000,273800000,285452000,326380000,331540000,351974000,431193000,399299000,611420000,596899000,614121000,559112000,690656000,727968000,795962000,1149883000,1213668000,1405985000,2232557000,2157934000,3257900000,3322327000,3487900000,3821500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,235000,229000,223000,434000,427000,417000,355000,342000,325000,326000,342000,684000,686000,656000,663000,653000,631000,631000,609000,614000,600000,600000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,43400000,91800000,104200000,160800000,207613000,248634000,289656000,330205000,366345000,375193000,152219000,146763000,140559000,191399000,285494000,321831000,409091000,155572000,401840000,447173000,300084000,242763000,121393000,287256000,218400000,157300000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-47900000,-77700000,-86400000,-105200000,-124600000,-150755000,-189674000,-217535000,-228437000,-263584000,-2000000,15000000,26000000,-4000000,3000000,6000000,12000000,12000000,19000000,-27000000,-62000000,-84000000,-46000000,-63000000,-73000000,-58400000,-77400000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,168900000,189600000,163800000,154200000,131800000,147641000,179594000,204762000,217176000,258544000,-3953000,-203000,-123000,143000,9816000,79155000,165541000,268753000,360377000,485764000,595651000,650325000,734265000,808013000,893129000,983900000,1143800000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,118500000,155300000,169200000,153200000,168200000,204734000,238783000,277106000,319378000,361732000,369657000,167371000,172982000,137027000,204541000,370991000,500056000,690530000,535605000,861267000,981477000,867040000,931659000,867015000,1107999000,1144500000,1224300000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,314400000,351700000,384700000,378700000,442000000,490186000,565163000,608646000,671352000,792925000,768956000,778791000,769881000,751148000,763653000,1061647000,1228024000,1486492000,1685488000,2074935000,2387462000,3099597000,3089593000,4124915000,4430326000,4632400000,5045800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203000,300000,2000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,314400000,351700000,384700000,378700000,442000000,490186000,565163000,608646000,671352000,792925000,768956000,778791000,769881000,751148000,763653000,1061647000,1228024000,1486492000,1685488000,2074935000,2387462000,3099597000,3089593000,4124915000,4430529000,4632700000,5047800000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/931015/000095013403003989/0000950134-03-003989-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095013404003298/0000950134-04-003298-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095013405004005/0000950134-05-004005-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095013406004045/0000950134-06-004045-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095013707003089/0000950137-07-003089-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095013708003109/0000950137-08-003109-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095015209002053/0000950152-09-002053-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095012310019458/0000950123-10-019458-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000095012311020529/0000950123-11-020529-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000119312512081910/0001193125-12-081910-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000119312513083760/0001193125-13-083760-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000144530514000518/0001445305-14-000518-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828015000875/0001628280-15-000875-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828016011420/0001628280-16-011420-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828017001442/0001628280-17-001442-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828018001709/0001628280-18-001709-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828019001394/0001628280-19-001394-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828020001541/0001628280-20-001541-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828021002278/0001628280-21-002278-index.htm,https://www.sec.gov/Archives/edgar/data/931015/000162828022002730/0001628280-22-002730-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,31400000,24900000,34700000,45800000,129000000,60800000,62300000,65400000,31000000,76300000,82809000,91414000,103592000,110929000,104504000,143278000,106985000,111650000,117395000,101017000,147138000,227575000,312310000,377292000,454029000,455361000,212948000,172492000,335257000,323960000,124800000,493900000
74,Depreciation and Amortization,- -,- -,- -,12600000,13800000,17300000,25900000,23700000,22800000,30600000,33200000,36200000,39300000,46997000,52550000,57527000,54780000,59339000,67936000,71164000,62093000,66112000,64593000,66519000,66390000,70580000,92100000,127507000,152138000,167512000,191108000,211036000,234513000,260700000,237100000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-65000000,10000000,- -,- -,5000000,3000000,1616000,-9725000,7211000,-8131000,-1460000,2676000,1299000,-10276000,-966000,13573000,-27498000,-16946000,-58793000,-34513000,-87354000,-50997000,-29634000,73614000,23440000,-9484000,-83700000,15200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18558000,10226000,18052000,20548000,35420000,57893000,63183000,61929000,57927000,50054000,63966000,74962000,65300000,60600000
77,Change in Working Capital,- -,- -,- -,6200000,- -,- -,- -,-20100000,- -,52100000,-5600000,-47600000,2100000,21628000,-5548000,33166000,27092000,3224000,-62088000,33167000,27769000,-20531000,109647000,75509000,39210000,123667000,-269184000,128117000,82197000,-96704000,-108045000,165136000,-189359000,219130000,-547700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15714000,8192000,1111000,-23115000,2413000,-54055000,-24174000,48798000,2030000,-17064000,20686000,6812000,-56200000,-200000
79,Inventory,- -,- -,- -,-1900000,-4600000,-10500000,-14500000,-36700000,-15900000,-18300000,-16600000,32100000,-10600000,-25429000,-9226000,-3141000,-26977000,-6686000,-28396000,-28513000,12191000,-3970000,42997000,-56612000,-49973000,-36029000,-52049000,-158476000,-148725000,111999000,-26958000,-149701000,-149872000,-44900000,-503100000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25941000,-40329000,37580000,27232000,21371000,51519000,105783000,-46095000,-62693000,39516000,-984000,103766000,326600000,27100000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-20100000,-20100000,32000000,26400000,-21200000,-19100000,2528000,-3020000,30146000,57238000,60462000,-1626000,31541000,59310000,38779000,148426000,223935000,263145000,386812000,117628000,245745000,327942000,231238000,123193000,288329000,98970000,318100000,-4800000
82,Other Non-Cash Items,- -,- -,- -,4600000,7900000,3300000,7600000,44100000,-17200000,-55900000,9300000,96800000,3700000,-45384000,59890000,-8725000,-28905000,81221000,9726000,-66992000,18922000,-4814000,-105855000,17899000,-34247000,-67074000,268652000,-156212000,-260397000,259734000,200757000,-321723000,220444000,432370000,34600000
83,Cash Provided by Operating Activities,- -,- -,- -,54800000,46600000,55300000,79300000,111700000,76400000,89100000,102300000,121400000,124400000,107666000,188581000,192771000,155765000,246828000,161528000,145623000,210158000,175754000,193201000,297619000,302530000,416110000,492240000,529270000,440231000,571783000,579980000,477112000,655036000,1018600000,293700000
