,https://roic.ai/company/THO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0868,0.0835,0.0623,0.0382,0.0343,0.0071,0.0527,0.0456,0.0546,0.0402,0.0453,0.0480,0.0463,0.0652,0.0681,0.0523,0.0657,0.0803,0.0769,0.0757,0.0882,0.0689,0.0577,0.0154,0.0753,0.0554,0.0586,0.0685,0.0717,0.0731,0.0837,0.0768,0.0760,0.0235,0.0334,0.0686
22,Income Tax expense (Gain),5900000,6400000,4300000,2900000,2200000,400000,6000000,7500000,10800000,8800000,11200000,12200000,13700000,21700000,24753539,16564743,30645562,47613493,62134166,71843000,97959000,62129000,59701000,6252000,61329000,46354000,58952000,70296000,77303000,90886000,125291000,182132000,202878000,52201000,51512000,183711000
23,Net Income,5900000,7400000,5800000,3300000,3400000,600000,8400000,11900000,16000000,13800000,16100000,17800000,19400000,30800000,36119408,26722273,51181673,78630765,106085336,121767000,172464000,134731000,92706000,17143000,110064000,106273000,121739000,152862000,179002000,199385000,256519000,374254000,430151000,133275000,222974000,659872000
24,Net Income ratio,0.0434,0.0448,0.0358,0.0203,0.0208,0.0043,0.0307,0.0289,0.0326,0.0245,0.0267,0.0285,0.0271,0.0382,0.0404,0.0323,0.0411,0.0500,0.0485,0.0476,0.0562,0.0472,0.0351,0.0113,0.0483,0.0386,0.0395,0.0472,0.0508,0.0498,0.0560,0.0516,0.0516,0.0169,0.0273,0.0536
25,EPS,0.13,0.16,0.13,0.07,0.08,0.01,0.19,0.22,0.30,0.26,0.30,0.36,0.40,0.63,0.74,0.56,0.94,1.38,1.85,2.15,3.05,2.42,1.67,0.31,2.08,1.92,2.26,2.88,3.36,3.75,4.89,7.12,8.17,2.47,4.04,11.92
26,EPS Diluted,0.13,0.16,0.13,0.07,0.08,0.01,0.19,0.22,0.30,0.26,0.30,0.36,0.40,0.63,0.74,0.56,0.94,1.37,1.84,2.13,3.03,2.41,1.66,0.31,2.07,1.92,2.26,2.88,3.35,3.74,4.88,7.09,8.14,2.47,4.02,11.92
27,Weighted Average Shares Outstanding,46274510,45538462,46400000,45517241,43870968,48000000,43636364,53483146,53333333,53419355,53076923,49674419,48805031,48695652,48482427,47718345,54448588,57186011,57343425,56635814,56545574,55673967,55593572,55429373,53019008,55271340,53845697,53005576,53270076,53166206,52458789,52562723,52674161,53905667,55172694,55366241
28,Weighted Average Shares Outstanding Diluted,46274510,45538462,46400000,45517241,43870968,48000000,43636364,53483146,53333333,53419355,53333333,54418605,49113924,48888889,48645667,47932328,54739757,57394719,57655074,57167606,56918812,55904979,55731707,55476470,53119364,55373641,53899848,53115548,53361690,53275510,52590516,52758442,52853360,54026686,55397376,55366241
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730263/000073026395000020/0000730263-95-000020-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730263/000095015204007299/0000950152-04-007299-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095015205008168/0000950152-05-008168-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095015206007851/0000950152-06-007851-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095015207007820/0000950152-07-007820-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095015208007553/0000950152-08-007553-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095012309047063/0000950123-09-047063-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095012310089655/0000950123-10-089655-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312511258818/0001193125-11-258818-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312512404883/0001193125-12-404883-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312513380045/0001193125-13-380045-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312514353131/0001193125-14-353131-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312515324427/0001193125-15-324427-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312516719899/0001193125-16-719899-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312517295973/0001193125-17-295973-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312518278055/0001193125-18-278055-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312519258022/0001193125-19-258022-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000073026320000019/0000730263-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000073026321000014/0000730263-21-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,6800000,13100000,13400000,43500000,68900000,59655251,60058777,113192639,132124452,136120530,163596000,196136000,171889000,189620000,221684000,247751000,215435000,218642000,236601000,289336000,183478000,209902000,223258000,275249000,425615000,538519000,445852000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18308194,47134094,4621874,40108683,63045616,45219000,68237000,174575000,- -,107150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,6800000,13100000,13400000,43500000,68900000,77963445,107192871,117814513,172233135,199166146,208815000,264373000,346464000,189620000,328834000,247751000,215435000,218642000,236601000,289336000,183478000,209902000,223258000,275249000,425615000,538519000,445852000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,37900000,49800000,53500000,58200000,53800000,51943452,47515695,75261898,97314967,136920565,146336000,196938000,177395000,146355000,121793000,167763000,177055000,233085000,252805000,281222000,278061000,392539000,484844000,487235000,716227000,814227000,949932000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,56100000,63500000,62400000,66700000,72900000,89545213,80286637,94665354,96652532,147588254,161770000,187091000,168980000,152582000,105278000,142680000,184498000,186083000,153036000,216354000,246115000,403869000,460488000,537909000,827988000,716305000,1369384000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,3600000,3600000,5300000,6500000,5835370,2970082,3496589,12431573,14291395,7119000,11431000,12689000,39363000,48113000,43576000,46779000,47076000,188262000,57137000,68187000,10548000,11577000,11281000,67527000,33226000,38355000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,104500000,130000000,132900000,173700000,202100000,225287480,237965285,291238354,378632207,497966360,524040000,659833000,705528000,527920000,604018000,601770000,623767000,684886000,830704000,844049000,775841000,1016858000,1180167000,1311674000,2037357000,2102277000,2803523000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,14800000,17200000,16100000,17400000,22300000,33304667,46935608,51841288,73415040,98763028,139789000,157465000,157242000,153230000,142861000,139180000,168214000,164394000,143809000,169862000,234045000,344267000,425238000,522054000,1092471000,1107649000,1185131000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165663000,165663000,158128000,148411000,150901000,244452000,245209000,238103000,256579000,312622000,377693000,377693000,377693000,1358032000,1476541000,1563255000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,18100000,21000000,17000000,15500000,13718726,10378420,139224514,142964103,156707766,183352000,16741000,15806000,14993000,13336000,14936000,125255000,114227000,97753000,119783000,169018000,507391000,443466000,388348000,970811000,914724000,937171000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,18100000,21000000,17000000,15500000,13718726,10378420,139224514,142964103,156707766,183352000,182404000,181469000,173121000,161747000,165837000,369707000,359436000,335856000,376362000,481640000,885084000,821159000,766041000,2328843000,2391265000,2500426000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15685000,7801000,4783000,1739000,- -,- -,- -,- -,- -,48463000,46181000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16196000,14791000,- -,- -,- -,- -,- -,53417000,92969000,78444000,73176000,78738000,41216000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,10200000,10600000,5400000,5900000,6000000,9820519,13787566,15198977,13930108,9149610,10698000,12140000,15058000,142291000,10617000,34694000,31599000,32599000,17899000,18445000,11722000,25838000,38398000,51989000,82418000,91531000,123792000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000000,45900000,42500000,40300000,43800000,56843912,71101594,206264779,230309251,264620404,333839000,352009000,353769000,468642000,347106000,362303000,574303000,558168000,497564000,564669000,727407000,1308606000,1377764000,1466991000,3623089000,3669183000,3850565000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,148500000,175900000,175400000,214000000,245900000,282131392,309066879,497503133,608941458,762586764,857879000,1011842000,1059297000,996562000,951124000,964073000,1198070000,1243054000,1328268000,1408718000,1503248000,2325464000,2557931000,2778665000,5660446000,5771460000,6654088000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,18400000,27900000,31800000,49400000,48300000,49824276,57290788,89397885,102923191,125574124,118056000,131606000,123433000,96158000,78120000,108616000,119494000,143139000,135040000,164619000,162587000,263774000,328601000,286974000,551831000,636506000,915045000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17370000,13817000,12411000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14037000,16129000,21350000,18468000,11000000,25531000,51211000,19345000,61483000,83893000,85789000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,20700000,19300000,25200000,30700000,36553760,29977252,67522184,85019508,116194206,130756000,154221000,153766000,152258000,106354000,148148000,159104000,167951000,226632000,206096000,215748000,387878000,452445000,482356000,879124000,864958000,867329000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,39400000,55100000,51100000,74600000,79000000,86378036,87268040,156920069,187942699,241768330,248812000,285827000,277199000,248416000,184474000,256764000,278598000,311090000,361672000,370715000,378335000,651652000,781046000,769330000,1448325000,1515281000,1794785000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360000000,145000000,- -,1885253000,1652831000,1594821000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5964143,6176976,9214698,11680000,12911000,15767000,19118000,- -,35686000,24859000,20934000,18560000,19388000,20563000,- -,- -,- -,135703000,123802000,113598000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,1600000,1900000,1200000,1500000,549080,1852432,- -,- -,- -,- -,- -,- -,29332000,61617000,14345000,58339000,60203000,55422000,40918000,39163000,48590000,55345000,71594000,95937000,133977000,202778000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,1600000,1900000,1200000,1500000,549080,1852432,5964143,6176976,9214698,11680000,12911000,15767000,48450000,61617000,50031000,83198000,81137000,73982000,60306000,59726000,408590000,200345000,71594000,2116893000,1910610000,1911197000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,40600000,56700000,53000000,75800000,80500000,86927116,89120472,162884212,194119675,250983028,260492000,298738000,292966000,296866000,246091000,306795000,361796000,392227000,435654000,431021000,438061000,1060242000,981391000,840924000,3565218000,3425891000,3705982000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,1374400,1381785,3229984,2859765,5714616,5693000,5710000,5722000,5732000,5732000,5732000,6170000,6178000,6205000,6221000,6231000,6244000,6260000,6277000,6519000,6540000,6565000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,84600000,99600000,116400000,132200000,162000000,197171503,222942676,273033292,331647776,425933821,515877000,677577000,727729000,675928000,677548000,745204000,829148000,918565000,953740000,1030428000,1172432000,1365981000,1670826000,2022988000,2066674000,2201330000,2770401000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9600000,-11200000,-12200000,-12900000,-12200000,-14525634,-17232199,-20882575,-1310994,-1063690,196000,1772000,2756000,-1963000,1070000,-324000,-67000,-60000,-22000,- -,-114823000,-136169000,-165437000,-201477000,-57004000,26993000,44621000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,32900000,30800000,18200000,18900000,14200000,11184007,12854145,79238220,81625236,81018989,75621000,28045000,30124000,19999000,20683000,-93334000,1023000,-73856000,-67309000,-58952000,1347000,29166000,64891000,109953000,68236000,84919000,100256000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,107900000,119200000,122400000,138200000,165400000,195204276,219946407,334618921,414821783,511603736,597387000,713104000,766331000,699696000,705033000,657278000,836274000,850827000,892614000,977697000,1065187000,1265222000,1576540000,1937741000,2084425000,2319782000,2921843000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,148500000,175900000,175400000,214000000,245900000,282131392,309066879,497503133,608941458,762586764,857879000,1011842000,1059297000,996562000,951124000,964073000,1198070000,1243054000,1328268000,1408718000,1503248000,2325464000,2557931000,2778665000,5649643000,5745673000,6627825000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10803000,25787000,26263000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,148500000,175900000,175400000,214000000,245900000,282131392,309066879,497503133,608941458,762586764,857879000,1011842000,1059297000,996562000,951124000,964073000,1198070000,1243054000,1328268000,1408718000,1503248000,2325464000,2557931000,2778665000,5660446000,5771460000,6654088000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/730263/000073026395000020/0000730263-95-000020-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730263/000095015204007299/0000950152-04-007299-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095015205008168/0000950152-05-008168-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095015206007851/0000950152-06-007851-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095015207007820/0000950152-07-007820-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095015208007553/0000950152-08-007553-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095012309047063/0000950123-09-047063-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000095012310089655/0000950123-10-089655-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312511258818/0001193125-11-258818-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312512404883/0001193125-12-404883-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312513380045/0001193125-13-380045-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312514353131/0001193125-14-353131-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312515324427/0001193125-15-324427-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312516719899/0001193125-16-719899-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312517295973/0001193125-17-295973-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312518278055/0001193125-18-278055-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000119312519258022/0001193125-19-258022-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000073026320000019/0000730263-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/730263/000073026321000014/0000730263-21-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,3300000,3400000,600000,8400000,11900000,16000000,13800000,16100000,17800000,19400000,30800000,36119408,26722273,51181673,78630765,106085336,121767000,172464000,134731000,92706000,17143000,110064000,106273000,121739000,152862000,179002000,199385000,256519000,374254000,430151000,133275000,222974000,659872000
74,Depreciation and Amortization,- -,- -,- -,1400000,1400000,1600000,1200000,4300000,4500000,4700000,5000000,4500000,4400000,3700000,4676546,4941627,5225360,6385416,8455118,10775000,14046000,13905000,17021000,13483000,13229000,24009000,24978000,24987000,25834000,31381000,52575000,98258000,93223000,148777000,196167000,230581000
75,Deferred Income Tax,- -,- -,- -,700000,- -,-100000,100000,400000,-400000,-800000,400000,400000,-2700000,-400000,-318357,3582045,4219343,-7130157,100846,6831000,-6214000,-1324000,-31409000,6411000,-3459000,-2839000,-3442000,-9904000,-2177000,-7292000,-14116000,-39552000,14525000,-9059000,-11212000,-9026000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,657000,1387000,2707000,688000,2816000,5231000,6776000,9387000,12500000,17000000,18950000,19889000,30514000
77,Change in Working Capital,- -,- -,- -,-4900000,- -,- -,- -,- -,- -,65100000,9800000,6900000,17300000,24000000,15809444,11787801,-16378960,56371223,65508522,19029970,98778000,54323000,-148825000,140040000,-74538000,163000,28627000,95236000,4302000,-75828000,-32300000,33915000,143223000,46688000,-2036000,421742000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30739000,-49184000,14648000,-62592000,-46615000,-9448000,41324000,-15773000,-92305000,-2391000,136145000,-115232000,-234693000
79,Inventory,- -,- -,- -,-800000,-1700000,2000000,2100000,-10600000,-8400000,-5700000,-7400000,1100000,3800000,-10900000,-16694934,9258576,4570827,-1987178,-23945741,-5860000,-25321000,14189000,16398000,47304000,-29987000,-17448000,-1585000,-37037000,-44774000,14750000,-15582000,-56619000,-77421000,283311000,133290000,-538756000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17548000,25238000,-15403000,23435000,15449000,13647000,-26632000,28625000,67138000,-40736000,-120507000,60469000,229173000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,65100000,74900000,81800000,99100000,123100000,138909444,150697245,134318285,190689508,256198030,275228000,374006000,428329000,279504000,419544000,345006000,345169000,373796000,469032000,473334000,397506000,365206000,399121000,542344000,589032000,586996000,1008738000
82,Other Non-Cash Items,- -,- -,- -,- -,-6800000,600000,-8700000,-8700000,-7000000,-77500000,-19900000,-7100000,1900000,-22000000,-41656652,-26010313,89624744,-88583093,-96933632,-27059970,-141815000,31118000,192615000,-129164000,53969000,-15511000,-53749000,-120931000,-62931000,93438000,69144000,-60042000,-231614000,169388000,115159000,-807201000
83,Cash Provided by Operating Activities,- -,- -,- -,500000,-2000000,2700000,1000000,7900000,13100000,5300000,11400000,22500000,40300000,36100000,14630389,21023433,133872160,45674154,83216190,131343000,137259000,232753000,122108000,48570000,100652000,114802000,118841000,145066000,149261000,247860000,341209000,419333000,466508000,508019000,540941000,526482000
