,https://roic.ai/company/INVA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,39754000,53404000,155730000,112138000,128692000,40383000,108325000,107846000,146301000,196137000,153640000,321615000,143698000,28103000,32417000,55739000,52491000,72749000,- -,- -
33,Cash and Short-Term Investments,- -,- -,148550000,89152000,257141000,161925000,201080000,126816000,200605000,155390000,309634000,240915000,248489000,465125000,240498000,187283000,150433000,129075000,114908000,350845000,246487000,201525000
34,Net Receivables,- -,- -,1509000,408000,2124000,990000,1726000,539000,553000,418000,725000,323000,1164000,3380000,10550000,26228000,46847000,70540000,83286000,79427000,93931000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7514000,10406000,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,1765000,1688000,5203000,3903000,4361000,6732000,8803000,6234000,5995000,3525000,3966000,4287000,1134000,814000,766000,754000,849000,962000,1640000,112148000
37,Total Current Assets,- -,- -,151824000,91248000,264468000,166818000,207167000,134087000,209961000,162042000,316354000,244763000,261133000,483198000,252182000,214325000,198046000,200369000,199043000,431234000,342058000,313673000
38,PP&E,- -,- -,20267000,15815000,13242000,13180000,15101000,20091000,16206000,12927000,10215000,10372000,9154000,10238000,324000,221000,368000,209000,160000,33000,28000,12000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124257000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124257000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,38000000,34000000,2000000,- -,- -,- -,- -,95194000,55374000,42856000,- -,- -,- -,- -,- -,438258000,483845000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196054000,154171000,93759000,17327000
44,Other Non-Current Assets,- -,- -,20624000,18386000,8312000,6837000,6156000,5805000,9989000,6424000,4633000,3647000,3101000,8188000,226292000,209526000,180582000,166759000,152936000,139388000,125467000,111538000
45,Total Non-Current Assets,- -,- -,40891000,34201000,21554000,58017000,55257000,27896000,26195000,19351000,14848000,14019000,107449000,198057000,269472000,209747000,180950000,166968000,349150000,293592000,657512000,612722000
46,Other Assets,246854000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,246854000,- -,192715000,125449000,286022000,224835000,262424000,161983000,236156000,181393000,331202000,258782000,368582000,681255000,521654000,424072000,378996000,367337000,548193000,724826000,999570000,926395000
48,Accounts Payable,- -,- -,1579000,3199000,5925000,8118000,16011000,6957000,3277000,1792000,2128000,5813000,5377000,7583000,- -,818000,128000,601000,11000,10000,66000,- -
49,Short-Term Debt,- -,- -,28184000,3472000,2621000,1244000,87000,101000,117000,184000,206000,69000,- -,- -,- -,- -,7752000,25000000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,1250000,5273000,10959000,16994000,19273000,22519000,23788000,23722000,21922000,18697000,4593000,9289000,1082000,885000,885000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,8091000,8219000,15532000,21817000,24238000,25956000,16773000,13248000,15798000,20917000,19996000,67532000,12674000,11788000,11284000,9141000,5689000,5361000,6044000,5807000
53,Total Current Liabilities,- -,- -,39104000,20163000,35037000,48173000,59609000,55533000,43955000,38946000,40054000,45496000,29966000,84404000,13756000,13491000,20049000,34742000,5700000,5371000,6110000,5807000
54,Long-Term Debt,- -,- -,1384000,967000,706000,631000,538000,435000,172819000,172775000,172569000,172500000,172500000,287500000,725636000,748271000,708341000,574362000,382855000,377120000,385517000,394653000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,158277000,137425000,122017000,6014000,5455000,3788000,3099000,2214000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,384161000,403885000,59912000,116447000,138967000,172279000,154331000,389000,3574000,5821000,5074000,4774000,1823000,1856000,1383000,940000,586000,219000,106000,- -
58,Total Non-Current Liabilities,- -,- -,385545000,404852000,60618000,117078000,139505000,172714000,327150000,331441000,313568000,300338000,183588000,297729000,731247000,753226000,711938000,575302000,383441000,377339000,385623000,394653000
59,Other Liabilities,22665000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,6483000,3431000,1073000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,22665000,- -,424649000,425015000,95655000,165251000,199114000,228247000,371105000,370387000,353622000,345834000,213554000,382133000,745003000,766717000,731987000,610044000,389141000,382710000,391733000,400460000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,72000,72000,529000,538000,601000,610000,619000,643000,804000,855000,984000,1115000,1164000,1149000,1085000,1019000,1011000,1013000,1014000,- -
64,Retained Earnings,-151295000,- -,-295367000,-365950000,-468604000,-611768000,-777812000,-937809000,-1031452000,-1116754000,-1200616000,-1315960000,-1334502000,-1505203000,-1673667000,-1692427000,-1632891000,-1498748000,-1103692000,-946404000,-722002000,- -
65,Other Comprehensive Income/Loss,- -,- -,-4341000,-2425000,-11256000,-5485000,23000,57000,501000,35000,33000,16000,99000,162000,-87000,-2000,1000,-18000,-3000,27000,- -,- -
66,Other Total Stockholders Equity,375484000,- -,67702000,68737000,669698000,676299000,840498000,870878000,895383000,927082000,1177359000,1228037000,1488447000,1803048000,1449241000,1348635000,1278814000,1254888000,1256267000,1258859000,1260900000,- -
67,Total Stockholders Equity,224189000,- -,-231934000,-299566000,190367000,59584000,63310000,-66264000,-134949000,-188994000,-22420000,-87052000,155028000,299122000,-223349000,-342645000,-352991000,-242859000,153583000,313495000,539912000,414743000
68,Total Liabilities And Stockholders Equity,246854000,- -,192715000,125449000,286022000,224835000,262424000,161983000,236156000,181393000,331202000,258782000,368582000,681255000,521654000,424072000,378996000,367185000,542724000,696205000,931645000,815203000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152000,5469000,28621000,67925000,111192000
70,Total Liabilities & Equity,246854000,- -,192715000,125449000,286022000,224835000,262424000,161983000,236156000,181393000,331202000,258782000,368582000,681255000,521654000,424072000,378996000,367337000,548193000,724826000,999570000,926395000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1080014/000110465905013467/0001104659-05-013467-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000110465906014988/a06-1528_110k.htm,https://www.sec.gov/Archives/edgar/data/1080014/000110465907015079/a07-1942_110k.htm,https://www.sec.gov/Archives/edgar/data/1080014/000104746908001762/a2182915z10-k.htm,https://www.sec.gov/Archives/edgar/data/1080014/000104746909001903/0001047469-09-001903-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000104746910001540/0001047469-10-001540-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000104746911001548/a2202144z10-k.htm,https://www.sec.gov/Archives/edgar/data/1080014/000104746912001614/0001047469-12-001614-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000104746913001704/0001047469-13-001704-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000104746914001691/a2218387z10-k.htm,https://www.sec.gov/Archives/edgar/data/1080014/000104746915001415/a2223147z10-k.htm,https://www.sec.gov/Archives/edgar/data/1080014/000104746916010381/0001047469-16-010381-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000104746917001057/0001047469-17-001057-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000104746918001016/0001047469-18-001016-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000104746919000541/0001047469-19-000541-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000110465920022807/0001104659-20-022807-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000110465921028328/0001104659-21-028328-index.htm,https://www.sec.gov/Archives/edgar/data/1080014/000095017022002169/0000950170-22-002169-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-79227000,-70583000,-102654000,-143164000,-166044000,-159997000,-93643000,-85302000,-83862000,-115344000,-18542000,-170701000,-168464000,-18760000,59536000,134143000,395056000,157288000,224402000,265854000
74,Depreciation and Amortization,- -,- -,5124000,5209000,4812000,4107000,4198000,4058000,6962000,5541000,6336000,7583000,7326000,8203000,12175000,13933000,13954000,13982000,13872000,13874000,13840000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-196054000,41875000,60420000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,19009000,24916000,23783000,25687000,27390000,6873000,8297000,9833000,3233000,2056000,1698000,- -
77,Change in Working Capital,- -,- -,9012000,-41635000,158346000,-110786000,28913000,-69004000,87452000,-42910000,153204000,-77033000,31900000,167627000,-160368000,-37592000,-22837000,-12370000,27716000,232520000,-89915000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-841000,-1415000,-7297000,-15678000,-20619000,-23693000,-12746000,3859000,-14504000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4822000,-3100000,-1908000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-236000,3312000,-1480000,1613000,-7695000,818000,-690000,473000,-590000,-1000,56000,- -
81,Other Working Capital,- -,- -,112720000,71085000,229431000,118645000,147558000,78554000,166006000,123096000,276300000,199267000,231167000,398794000,238426000,200834000,177997000,165627000,193343000,425863000,335948000,- -
82,Other Non-Cash Items,- -,- -,6490000,75333000,-108327000,191198000,28142000,120571000,-100682000,44607000,-169831000,71540000,-172421000,-160418000,158544000,45677000,2034000,-3839000,-20292000,-190155000,102668000,97959000
83,Cash Provided by Operating Activities,- -,- -,-58601000,-31676000,-47823000,-58645000,-104791000,-104372000,-99911000,-58064000,-75144000,-88338000,-127954000,-129602000,-130723000,10131000,60984000,141749000,223531000,257458000,313113000,363813000
84,CAPEX,- -,- -,-6986000,-763000,-2085000,-3443000,-5708000,-9818000,-1031000,-744000,-861000,-3628000,-2590000,-87734000,-689000,-7000,-278000,- -,- -,-12000,-13000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-387981000,- -
86,Purchases of Investments,- -,- -,-69721000,-65114000,-170713000,-152260000,-190974000,-93329000,-371625000,-123460000,-183899000,-301563000,-330484000,-410407000,-276914000,-86523000,-95719000,-67623000,-71856000,-231915000,-12943000,- -
87,Sales/Maturities of Investments,- -,- -,133037000,51264000,67684000,157947000,178543000,212564000,304906000,123065000,143879000,248797000,274631000,278461000,346570000,245698000,91417000,44387000,75375000,213924000,86000000,- -
88,Other Investing Activites,- -,- -,-4754000,1004000,4746000,1095000,-443000,1175000,384000,2875000,569000,575000,160000,-84900000,-134027000,- -,- -,- -,- -,- -,- -,43722000
89,Cash Used for Investing Activites,- -,- -,51576000,-13609000,-100368000,3339000,-18582000,110592000,-67366000,1736000,-40312000,-55819000,-58283000,-219580000,-65060000,159168000,-4580000,-23236000,3519000,-18003000,-314937000,43722000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131000,-184000,-206000,-69000,- -,- -,- -,-18398000,-493439000,-230000000,-13750000,- -,- -
91,Common Stock Issued,- -,- -,40116000,418000,217324000,6207000,- -,7913000,6493000,11723000,231429000,25808000,236377000,153021000,48925000,6048000,385000,435000,1139000,627000,436000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25636000,-79173000,-99628000,-3073000,-89000,-92000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56988000,-87331000,-960000,-281000,-80000,-11000,- -,- -
94,Other Financing Activites,- -,- -,26591000,-28181000,-3470000,-2525000,145974000,-88000,166631000,- -,- -,- -,- -,244822000,157136000,- -,578000,429720000,-5955000,-10553000,-30129000,-452497000
95,Cash Used/Provided by Financing Activities,- -,- -,66707000,-27763000,213854000,3682000,145974000,7825000,173124000,11592000,231245000,25602000,236308000,397843000,149073000,-106919000,-97568000,-163193000,-237969000,-23776000,-29785000,-452497000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,59682000,-73048000,65663000,-51624000,22601000,14045000,5847000,-44736000,115789000,-118555000,50071000,48661000,-46710000,62380000,-41164000,-44680000,-10919000,215679000,-31609000,-452497000
98,Cash at the End of Period,- -,- -,108796000,35748000,101411000,49787000,72388000,86433000,92280000,47544000,163333000,44778000,94849000,143510000,96800000,159180000,118016000,73336000,62417000,278096000,246487000,- -
99,Cash at the Beginning of Period,- -,- -,49114000,108796000,35748000,101411000,49787000,72388000,86433000,92280000,47544000,163333000,44778000,94849000,143510000,96800000,159180000,118016000,73336000,62417000,278096000,- -
100,Free Cash Flow,- -,- -,-65587000,-32439000,-49908000,-62088000,-110499000,-114190000,-100942000,-58808000,-76005000,-91966000,-130544000,-217336000,-131412000,10124000,60706000,141749000,223531000,257446000,313100000,363813000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1080014/000110465905013467/0001104659-05-013467-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000110465906014988/a06-1528_110k.htm,https://www.sec.gov/Archives/edgar/data/1080014/000110465907015079/a07-1942_110k.htm,https://www.sec.gov/Archives/edgar/data/1080014/000104746908001762/a2182915z10-k.htm,https://www.sec.gov/Archives/edgar/data/1080014/000104746909001903/0001047469-09-001903-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000104746910001540/0001047469-10-001540-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000104746911001548/a2202144z10-k.htm,https://www.sec.gov/Archives/edgar/data/1080014/000104746912001614/0001047469-12-001614-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000104746913001704/0001047469-13-001704-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000104746914001691/a2218387z10-k.htm,https://www.sec.gov/Archives/edgar/data/1080014/000104746915001415/a2223147z10-k.htm,https://www.sec.gov/Archives/edgar/data/1080014/000104746916010381/0001047469-16-010381-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000104746917001057/0001047469-17-001057-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000104746918001016/0001047469-18-001016-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000104746919000541/0001047469-19-000541-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000110465920022807/0001104659-20-022807-index.html,https://www.sec.gov/Archives/edgar/data/1080014/000110465921028328/0001104659-21-028328-index.htm,https://www.sec.gov/Archives/edgar/data/1080014/000095017022002169/0000950170-22-002169-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
