,https://roic.ai/company/KLIC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-0.0184,-0.0818,-0.0359,0.0922,0.0912,0.0545,0.0140,-0.1042,0.1086,0.0975,0.1987,0.0664,0.1257,0.0146,-0.0228,0.1863,-0.0596,-0.4466,-0.0654,0.1577,-0.1572,0.1880,0.1418,0.0127,-0.1323,0.2176,0.2269,0.2762,0.1593,0.1613,0.1079,0.1171,0.1681,0.2221,0.0779,0.1376,0.2863
17,Operating Income,-3400000,-7100000,-3000000,6700000,6400000,3700000,-500000,-11900000,14300000,13900000,55400000,17400000,57700000,4200000,-19700000,138459000,-81564000,-228635000,-47347000,83945000,-98547000,81986000,36446000,-24632000,-73524000,148035000,170060000,179226000,65806000,76984000,37251000,52539000,98254000,166632000,21610000,58509000,412447000
18,Operating Income ratio,-0.0272,-0.1096,-0.0448,0.0802,0.0663,0.0360,-0.0050,-0.1253,0.1015,0.0802,0.1819,0.0456,0.1150,0.0102,-0.0494,0.1540,-0.1470,-0.5177,-0.0991,0.1409,-0.2072,0.2156,0.0984,-0.0751,-0.3265,0.1941,0.2048,0.2266,0.1230,0.1354,0.0694,0.0838,0.1214,0.1874,0.0400,0.0939,0.2718
19,Total Other Income Expenses (Gains),-2400000,-2100000,-3000000,700000,-700000,-1100000,-1000000,-1100000,-2200000,-900000,200000,-1800000,-5900000,-11600000,-6500000,4941000,2864000,-4965000,947000,-1645000,136747000,-12386000,-13746000,-3668000,-3076000,-7935000,-7660000,-4926000,894000,116000,454000,3625000,20261000,10917000,13077000,5825000,2103000
20,Income Before Tax,-5800000,-9200000,-6000000,- -,5700000,2600000,-1500000,-13000000,12100000,13000000,55600000,15600000,51800000,-7400000,-26200000,143400000,-78700000,-233600000,-46400000,82300000,38200000,69600000,22700000,-28300000,-76600000,140100000,162400000,174300000,66700000,77100000,37705000,56164000,118515000,177549000,34687000,64334000,414550000
21,Income Before Tax Ratio,-0.0464,-0.1420,-0.0897,- -,0.0591,0.0253,-0.0150,-0.1368,0.0859,0.0750,0.1826,0.0409,0.1032,-0.0180,-0.0657,0.1595,-0.1418,-0.5290,-0.0971,0.1381,0.0803,0.1830,0.0613,-0.0863,-0.3401,0.1837,0.1956,0.2204,0.1247,0.1356,0.0703,0.0895,0.1465,0.1997,0.0642,0.1032,0.2732
22,Income Tax expense (Gain),-5300000,-1800000,-600000,- -,-100000,700000,-300000,-700000,1300000,2600000,12800000,3800000,13500000,-1900000,-8200000,40100000,-21600000,32561000,7594000,7386000,3957000,9789000,5508000,-3610000,-13029000,-2000000,34818000,34818000,7310000,14145000,-12934000,7638000,-7394000,120744000,8061000,11998000,47295000
23,Net Income,-500000,-7400000,-5400000,4400000,5800000,1900000,-1200000,-12100000,10800000,10400000,42800000,11800000,38300000,-5400000,-16900000,103200000,-65300000,-274100000,-76700000,55900000,-104100000,52200000,36100000,-1300000,-41600000,142100000,127600000,160600000,59400000,63000000,50639000,48455000,126099000,56676000,11653000,52300000,367161000
24,Net Income ratio,-0.0040,-0.1142,-0.0807,0.0527,0.0601,0.0185,-0.0120,-0.1274,0.0767,0.0600,0.1406,0.0310,0.0763,-0.0131,-0.0424,0.1148,-0.1177,-0.6207,-0.1605,0.0938,-0.2189,0.1373,0.0974,-0.0040,-0.1847,0.1863,0.1537,0.2030,0.1110,0.1108,0.0944,0.0773,0.1559,0.0637,0.0216,0.0839,0.2419
25,EPS,-0.02,-0.25,-0.18,0.15,0.19,0.07,-0.04,-0.38,0.34,0.31,1.19,0.30,0.89,-0.12,-0.36,2.15,-1.34,-5.57,-1.54,1.10,-2.02,0.95,0.67,0.07,-0.58,2.01,1.77,2.17,0.79,0.82,0.67,0.67,1.58,0.82,0.18,0.83,5.92
26,EPS Diluted,-0.02,-0.25,-0.18,0.15,0.19,0.07,-0.04,-0.38,0.34,0.31,1.11,0.30,0.89,-0.12,-0.36,1.90,-1.34,-5.57,-1.54,0.89,-2.02,0.78,0.57,0.07,-0.58,1.92,1.73,2.13,0.78,0.81,0.67,0.67,1.55,0.80,0.18,0.83,5.78
27,Weighted Average Shares Outstanding,25000000,29600000,30000000,29333333,30526316,27142857,30000000,31842105,31764706,33332000,36056000,39546000,43102000,46602000,46846000,47932000,48877000,49217000,49695000,50746000,51619000,55089000,56221000,53449000,62188000,70012000,71820000,73887000,75132000,76396000,75414000,70477000,70906000,69380000,65286000,62828000,62009000
28,Weighted Average Shares Outstanding Diluted,25000000,29600000,30000000,29333333,30526316,27142857,30000000,31842105,31764706,33332000,39386000,39546000,43102000,46602000,46846000,56496000,48877000,49217000,49695000,68582000,51619000,68881000,68274000,53449000,62188000,73548000,73341000,75502000,76190000,77292000,75659000,70841000,72063000,70419000,65948000,63359000,63515000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/56978/000005697894000014/0000056978-94-000014-index.html,https://www.sec.gov/Archives/edgar/data/56978/000095010995005363/0000950109-95-005363-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697896000017/0000056978-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697897000019/0000056978-97-000019-index.html,https://www.sec.gov/Archives/edgar/data/56978/000089155498001583/0000891554-98-001583-index.html,https://www.sec.gov/Archives/edgar/data/56978/000095011099001611/0000950110-99-001611-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/56978/000091664102002162/d10k.htm,https://www.sec.gov/Archives/edgar/data/56978/000089322003002069/w92545e10vk.htm,https://www.sec.gov/Archives/edgar/data/56978/000119312504212871/d10k.htm,https://www.sec.gov/Archives/edgar/data/56978/000119312505241639/d10k.htm,https://www.sec.gov/Archives/edgar/data/56978/000119312506253495/d10k.htm,https://www.sec.gov/Archives/edgar/data/56978/000119312507262429/0001193125-07-262429-index.html,https://www.sec.gov/Archives/edgar/data/56978/000119312508251411/0001193125-08-251411-index.html,https://www.sec.gov/Archives/edgar/data/56978/000114420409064804/0001144204-09-064804-index.html,https://www.sec.gov/Archives/edgar/data/56978/000114420410065562/0001144204-10-065562-index.html,https://www.sec.gov/Archives/edgar/data/56978/000114420411069020/0001144204-11-069020-index.html,https://www.sec.gov/Archives/edgar/data/56978/000114420412063659/0001144204-12-063659-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697813000096/0000056978-13-000096-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697814000193/0000056978-14-000193-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697815000125/0000056978-15-000125-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697816000239/0000056978-16-000239-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697817000149/0000056978-17-000149-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697818000142/0000056978-18-000142-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697819000130/0000056978-19-000130-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697820000146/0000056978-20-000146-index.htm,https://www.sec.gov/Archives/edgar/data/56978/000005697821000153/0000056978-21-000153-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,28600000,45300000,107600000,76500000,37200000,211500000,155000000,86000000,65700000,60300000,79500000,134000000,150600000,144900000,144600000,178100000,378200000,440200000,521800000,588000000,261332000,271296000,297828000,251613000,364177000,188127000,362788000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,12900000,9600000,13100000,8000000,30400000,2200000,105100000,47900000,22100000,4500000,32200000,14500000,21300000,19300000,6100000,- -,3000000,6400000,- -,3300000,9100000,237282000,276611000,310582000,362017000,229007000,243000000,377000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,21700000,38200000,58400000,115600000,106900000,39400000,316600000,202900000,108100000,70200000,92500000,94000000,155300000,169900000,151000000,144600000,181100000,384600000,440200000,525100000,597100000,498614000,547907000,608410000,613630000,593184000,431127000,739788000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,40300000,77400000,53700000,105100000,71400000,139000000,188500000,79300000,89100000,94100000,110700000,128400000,120700000,116700000,56600000,95800000,196000000,138600000,189000000,162700000,171500000,108596000,130455000,198480000,243373000,195830000,198640000,421193000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,27200000,40900000,44500000,45600000,47600000,61800000,74000000,74400000,50900000,37900000,58000000,46100000,47900000,37800000,27200000,41500000,73900000,73100000,59000000,38100000,49700000,79096000,87295000,122023000,115191000,89308000,111809000,167323000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,3600000,6100000,5900000,7900000,20900000,18400000,24300000,29800000,31600000,14900000,37100000,20200000,109800000,184000000,13600000,21700000,23500000,25100000,28500000,19400000,21063000,15285000,24469000,15079000,15429000,118620000,23586000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,91600000,160100000,162700000,272200000,233800000,261100000,597500000,380900000,277900000,233800000,276100000,305600000,344100000,434200000,418800000,295500000,472700000,619800000,713300000,754400000,837700000,707369000,780942000,953382000,987273000,893751000,860196000,1351890000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,20600000,25500000,41100000,45600000,48300000,67500000,83900000,128000000,89700000,54400000,57500000,32400000,28500000,34100000,36900000,36000000,30100000,26500000,28400000,47500000,52800000,53234000,50342000,67762000,76067000,72370000,81835000,109574000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,42000000,42700000,38800000,44600000,41700000,254000000,87100000,81400000,81400000,29700000,29700000,3500000,2700000,26700000,26700000,41500000,41500000,41500000,41500000,81272000,81272000,56318000,56550000,55691000,56695000,72949000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75500000,66200000,54000000,- -,- -,500000,400000,48700000,39100000,29600000,20400000,11200000,5900000,57471000,50810000,62316000,52871000,42651000,37972000,42752000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,42000000,42700000,38800000,44600000,41700000,254000000,162600000,147600000,135400000,29700000,29700000,4000000,3100000,75400000,65800000,71100000,61900000,52700000,47400000,138743000,132082000,118634000,109421000,98342000,94667000,115701000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,5300000,2700000,2000000,14100000,19900000,2900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1502000,1373000,6250000,7535000,6388000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12800000,8100000,36800000,31400000,26000000,22300000,25500000,22500000,21600000,16300000,20400000,32100000,37900000,40700000,45000000,33958000,27329000,27152000,25591000,32054000,8147000,15715000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,1500000,1800000,2200000,1800000,2000000,-4400000,6400000,-28300000,-24300000,-18000000,-3500000,-22300000,17800000,16700000,-10600000,-8800000,-21100000,-25900000,-32300000,-38500000,-28838000,-8251000,2675000,-13985000,-23151000,2186000,2363000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,29600000,30900000,86900000,104600000,108800000,117000000,134000000,396500000,260800000,209100000,200900000,80900000,61400000,78400000,78300000,117100000,107500000,108600000,102300000,108600000,106700000,197097000,201502000,217725000,198467000,185865000,194370000,249741000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,121200000,191000000,249600000,376800000,342600000,378100000,731500000,777400000,538700000,442900000,477000000,386500000,405500000,512600000,497100000,412600000,580200000,728400000,815600000,863000000,944400000,904466000,982444000,1171107000,1185740000,1079616000,1054566000,1601631000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,33100000,23000000,47400000,24200000,62000000,62500000,51400000,55700000,45800000,50000000,53500000,42900000,62900000,25000000,39900000,82400000,36300000,57200000,37000000,35100000,25521000,41813000,51354000,48527000,36711000,57688000,154636000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,500000,800000,200000,1200000,1026000,753000,186000,36000,202000,10119000,- -,- -,72412000,48964000,- -,105224000,- -,- -,- -,- -,- -,- -,- -,60904000,5903000,4903000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9660000,- -,- -,- -,- -,- -,- -,1612000,1279000,14261000,8192000,1504000,2488000,2442000,12830000,16780000,19571000,12494000,17540000,30766000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16072000,10700000,12417000,1605000,3990000,3631000,2118000,1786000,5443000,1651000,3515000,4487000,4291000,4126000,27697000,27771000,9017000,- -,22759000,72478000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,23000000,25300000,33800000,27200000,30800000,62674000,63347000,46142000,44664000,37481000,54276000,48210000,75969000,60170000,32450000,37257000,71025000,62685000,35913000,42009000,44287000,56449000,113856000,116532000,77027000,71543000,119858000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,30100000,56200000,48800000,82000000,51600000,94000000,126200000,115500000,118100000,101200000,100100000,119500000,95100000,142500000,159700000,123100000,125100000,214200000,123400000,77400000,81400000,73934000,125959000,192981000,174076000,174642000,157893000,351875000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,26500000,200000,50700000,200000,- -,- -,175000000,301500000,300400000,300300000,275700000,270000000,195000000,251400000,175000000,92200000,98500000,- -,- -,19400000,19100000,16483000,16701000,16074000,15187000,14207000,- -,38084000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32065000,37875000,4487000,4291000,4126000,- -,- -,81491000,80290000,33005000,32828000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,1000000,2600000,2700000,3100000,9400000,25000000,21900000,50900000,41300000,34100000,28700000,36100000,35400000,60000000,26500000,34100000,12235000,10625000,45013000,50409000,40674000,40260000,42022000,34779000,41414000,105674000,83607000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,27900000,1200000,53300000,2900000,3100000,9400000,200000000,323400000,351300000,341600000,309800000,298700000,231100000,286800000,235000000,118700000,132600000,44300000,48500000,68900000,73800000,61283000,56961000,58096000,131457000,135911000,138679000,154519000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19102000,16483000,16701000,16074000,15187000,14207000,24228000,42987000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000000,57400000,102100000,84900000,54700000,103400000,326200000,438900000,469400000,442800000,409900000,418200000,326200000,429300000,394700000,241800000,257700000,258500000,171900000,146300000,155200000,135217000,182920000,251077000,305533000,310553000,296572000,506394000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,17800000,45800000,48700000,155200000,158000000,160100000,189800000,193100000,199900000,203600000,213800000,218400000,277200000,288700000,295800000,413100000,423700000,441700000,455100000,467500000,479100000,492339000,498676000,506515000,519244000,533590000,539213000,550117000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,46400000,89200000,101100000,139400000,134000000,117000000,220300000,155000000,-119100000,-195800000,-139900000,-244000000,-191800000,-154100000,-149500000,-197800000,-55700000,71900000,232500000,291900000,354900000,402863000,442981000,569080000,613529000,594625000,616119000,948554000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,-2600000,-4600000,-5400000,-8000000,-4800000,-9400000,-19000000,-23000000,-7718000,-6915000,-6180000,-6064000,-5247000,2209000,1879000,791000,2544000,2381000,3618000,2244000,-1097000,-2726000,2039000,-3902000,-9940000,-2521000,-3022000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1200000,2300000,2700000,3900000,7500000,8839000,9488000,11523000,15000,35000,32000,-30000,-46098000,-46042000,-63718000,-46311000,-46267000,-46314000,-46353000,-47002000,-122214000,-132413000,-164698000,-248664000,-349212000,-394817000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,63200000,133600000,147500000,291900000,287900000,279800000,409539000,338588000,69323000,97000,67020000,-31748000,79306000,83255000,102467000,153461000,322480000,469877000,643667000,716665000,789242000,771891000,806518000,912936000,880207000,769063000,757994000,1095237000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,121200000,191000000,249600000,376800000,342600000,383200000,735739000,777488000,538723000,442897000,476920000,386452000,405506000,512555000,497167000,395261000,580180000,728377000,815567000,862965000,944442000,907108000,989438000,1164013000,1185740000,1079616000,1054566000,1601631000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5100000,-4239000,-88000,-23000,3000,80000,48000,-6000,45000,-67000,17339000,20000,23000,33000,35000,-42000,-2642000,-6994000,7094000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,121200000,191000000,249600000,376800000,342600000,378100000,731500000,777400000,538700000,442900000,477000000,386500000,405500000,512600000,497100000,412600000,580200000,728400000,815600000,863000000,944400000,904466000,982444000,1171107000,1185740000,1079616000,1054566000,1601631000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/56978/000005697894000014/0000056978-94-000014-index.html,https://www.sec.gov/Archives/edgar/data/56978/000095010995005363/0000950109-95-005363-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697896000017/0000056978-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697897000019/0000056978-97-000019-index.html,https://www.sec.gov/Archives/edgar/data/56978/000089155498001583/0000891554-98-001583-index.html,https://www.sec.gov/Archives/edgar/data/56978/000095011099001611/0000950110-99-001611-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/56978/000091664102002162/d10k.htm,https://www.sec.gov/Archives/edgar/data/56978/000089322003002069/w92545e10vk.htm,https://www.sec.gov/Archives/edgar/data/56978/000119312504212871/d10k.htm,https://www.sec.gov/Archives/edgar/data/56978/000119312505241639/d10k.htm,https://www.sec.gov/Archives/edgar/data/56978/000119312506253495/d10k.htm,https://www.sec.gov/Archives/edgar/data/56978/000119312507262429/0001193125-07-262429-index.html,https://www.sec.gov/Archives/edgar/data/56978/000119312508251411/0001193125-08-251411-index.html,https://www.sec.gov/Archives/edgar/data/56978/000114420409064804/0001144204-09-064804-index.html,https://www.sec.gov/Archives/edgar/data/56978/000114420410065562/0001144204-10-065562-index.html,https://www.sec.gov/Archives/edgar/data/56978/000114420411069020/0001144204-11-069020-index.html,https://www.sec.gov/Archives/edgar/data/56978/000114420412063659/0001144204-12-063659-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697813000096/0000056978-13-000096-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697814000193/0000056978-14-000193-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697815000125/0000056978-15-000125-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697816000239/0000056978-16-000239-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697817000149/0000056978-17-000149-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697818000142/0000056978-18-000142-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697819000130/0000056978-19-000130-index.html,https://www.sec.gov/Archives/edgar/data/56978/000005697820000146/0000056978-20-000146-index.htm,https://www.sec.gov/Archives/edgar/data/56978/000005697821000153/0000056978-21-000153-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,5800000,1900000,-1200000,-12100000,10800000,10400000,42800000,11800000,38300000,-5400000,-16900000,103200000,-65300000,-274100000,-76700000,55900000,-104100000,52200000,36100000,-1300000,-41600000,142100000,127600000,160600000,59400000,63000000,50639000,48455000,126099000,56676000,11653000,52300000,367161000
74,Depreciation and Amortization,- -,- -,- -,- -,3100000,3000000,2900000,2900000,3200000,3900000,4900000,9700000,11300000,13300000,16000000,24260000,53849000,44315000,37852000,30678000,25411000,9523000,10911000,9077000,22231000,17531000,17761000,17265000,18489000,13520000,18972000,16230000,16257000,19015000,20304000,19739000,19810000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-100000,600000,400000,200000,-700000,-2100000,200000,-1100000,-8500000,15219000,-37556000,32808000,- -,466000,-3905000,560000,-1993000,9152000,-6806000,-4735000,19773000,3964000,5901000,4494000,-16738000,-15530000,-17499000,22519000,8825000,-827000,-9818000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2198000,8949000,7496000,8511000,10670000,11336000,11989000,5730000,11722000,11685000,14332000,15019000,15491000
77,Change in Working Capital,- -,- -,- -,- -,-7700000,- -,- -,- -,61500000,- -,42400000,10000000,76300000,-8000000,-15100000,304200000,-205900000,-105600000,-27200000,43400000,10100000,62900000,42700000,-32600000,-86700000,175200000,58000000,184300000,87100000,79300000,-122865000,21548000,105418000,52796000,-94088000,-16806000,-88328000
