,https://roic.ai/company/ACET,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,1987000,1861000,1730000,33625000,33495000,33526000,66516000,67870000,67871000,236970000,- -,- -,20089000,19462000
40,Intangible Assets,5421000,11518000,12360000,50658000,45251000,40831000,87955000,78997000,79071000,285081000,- -,- -,1190000,- -
41,Intangible Assets,7408000,13379000,14090000,84283000,78746000,74357000,154471000,146867000,146942000,522051000,- -,- -,21279000,19462000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10588000,- -,- -
43,Tax Assets,- -,- -,- -,- -,4719000,8055000,11605000,9972000,18053000,19453000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,12141000,11308000,13981000,12169000,13078000,14698000,- -,4692000,6364000,2037000
45,Total Non-Current Assets,11715000,17628000,21003000,96378000,107311000,105130000,191630000,179464000,188117000,566630000,- -,17401000,53499000,56500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,205499000,189274000,216556000,294993000,299280000,323430000,467984000,489774000,540778000,1038185000,- -,81587000,153835000,338938000
48,Accounts Payable,43480000,25126000,39970000,44614000,42007000,39222000,48716000,54962000,46034000,90011000,- -,1052000,1552000,3263000
49,Short-Term Debt,- -,- -,- -,- -,6713000,11714000,8343000,10197000,197000,14466000,- -,- -,1215000,1567000
50,Tax Payable,- -,- -,- -,- -,800000,3956000,6403000,- -,2119000,64000,- -,- -,- -,- -
51,Deferred Revenue,1756000,1579000,1864000,747000,58000,701000,490000,2050000,3244000,546000,- -,10993000,13980000,- -
52,Other Current Liabilities,19762000,20232000,32795000,37825000,24863000,38270000,60974000,57791000,49431000,117782000,- -,2820000,5732000,11487000
53,Total Current Liabilities,64998000,46937000,74629000,83186000,73641000,89907000,118523000,125000000,98906000,222805000,- -,14865000,22479000,16317000
54,Long-Term Debt,19948000,20739000,33589000,6247000,39052000,20355000,97158000,99960000,118592000,339200000,- -,- -,- -,19377000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10890000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,8000,6000,6000,66000,9142000,7325000,- -,- -,125000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,12943000,13413000,11634000,7542000,6344000,61449000,- -,116198000,21404000,115000
58,Total Non-Current Liabilities,19948000,20739000,33589000,6247000,52003000,33774000,108798000,107568000,134078000,407974000,- -,127088000,21529000,19492000
59,Other Liabilities,- -,- -,- -,73905000,109639000,72657000,224675000,218131000,271508000,818287000,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21639000,- -
61,Total Liabilities,81834000,63896000,92207000,150844000,131277000,128790000,234400000,235563000,236336000,633118000,- -,141953000,44008000,35809000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,256000,256000,256000,266000,269000,278000,288000,292000,296000,301000,- -,- -,2000,4000
64,Retained Earnings,81778000,85450000,86958000,90713000,102344000,118615000,140768000,167208000,194804000,195680000,- -,-69647000,-106325000,-168324000
65,Other Comprehensive Income/Loss,13114000,7525000,953000,7743000,1319000,2902000,5372000,-7096000,-6325000,-5112000,- -,23000,24000,- -
66,Other Total Stockholders Equity,45261000,48337000,51477000,62099000,64071000,72845000,87156000,93807000,115667000,214198000,- -,12919000,216126000,471449000
67,Total Stockholders Equity,140409000,141568000,139644000,160821000,168003000,194640000,233584000,254211000,304442000,405067000,- -,-60366000,109827000,303129000
68,Total Liabilities And Stockholders Equity,222243000,205464000,231851000,311665000,299280000,323430000,467984000,489774000,540778000,1038185000,- -,81587000,153835000,338938000
69,Minority Interest,-16744000,-16190000,-15295000,-16672000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,205499000,189274000,216556000,294993000,299280000,323430000,467984000,489774000,540778000,1038185000,- -,81587000,153835000,338938000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/2034/000118811208002560/0001188112-08-002560-index.html,https://www.sec.gov/Archives/edgar/data/2034/000118811209002004/0001188112-09-002004-index.html,https://www.sec.gov/Archives/edgar/data/2034/000118811210002381/0001188112-10-002381-index.html,https://www.sec.gov/Archives/edgar/data/2034/000118811211002555/0001188112-11-002555-index.html,https://www.sec.gov/Archives/edgar/data/2034/000118811212002832/0001188112-12-002832-index.html,https://www.sec.gov/Archives/edgar/data/2034/000118811213002611/0001188112-13-002611-index.html,https://www.sec.gov/Archives/edgar/data/2034/000157104914004448/0001571049-14-004448-index.html,https://www.sec.gov/Archives/edgar/data/2034/000157104915007509/0001571049-15-007509-index.html,https://www.sec.gov/Archives/edgar/data/2034/000157104916017785/0001571049-16-017785-index.htm,https://www.sec.gov/Archives/edgar/data/2034/000114420417045100/0001144204-17-045100-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1720580/000156459020010474/0001564590-20-010474-index.htm,https://www.sec.gov/Archives/edgar/data/1720580/000156459021012664/0001564590-21-012664-index.htm,https://www.sec.gov/Archives/edgar/data/1720580/000095017022003753/0000950170-22-003753-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,13473000,8629000,6581000,8968000,16981000,22328000,22328000,29000000,33483000,34766000,-9299000,-28138000,-36678000,-61999000
74,Depreciation and Amortization,2378000,1866000,2796000,5502000,6942000,6944000,6944000,8091000,11849000,16194000,1222000,1238000,1226000,- -
75,Deferred Income Tax,- -,191000,-796000,-675000,1777000,2649000,2649000,3083000,1874000,18000,- -,- -,- -,- -
76,Stock Based Compensation,1285000,1560000,1043000,854000,1168000,1788000,1788000,3156000,4537000,6719000,2479000,1175000,5263000,- -
77,Change in Working Capital,- -,- -,-4077000,-3785000,-5495000,2899000,10065000,29438000,27479000,68445000,-5005000,-199429000,28536000,188264000
78,Accounts Receivable,-7326000,18448000,-30853000,1915000,5711000,-14985000,-14985000,-19400000,-44181000,-6149000,- -,- -,- -,- -
79,Inventory,- -,14771000,859000,2224000,-9926000,1632000,1632000,-7764000,-229000,-2489000,- -,- -,- -,- -
80,Accounts Payable,- -,-17299000,16206000,2473000,-978000,-3228000,-3228000,5216000,8133000,-8937000,-282000,527000,-814000,- -
81,Other Working Capital,128786000,128786000,124709000,120924000,115429000,118328000,128393000,157831000,185310000,253755000,248750000,49321000,77857000,266121000
82,Other Non-Cash Items,-1718000,10265000,-21046000,3174000,-8104000,-12877000,-18298000,-47712000,-70879000,-94311000,-7577000,197272000,-39899000,-126265000
83,Cash Provided by Operating Activities,15418000,22511000,-15499000,14038000,13269000,23731000,25476000,25056000,8343000,31831000,-18180000,-27882000,-41552000,- -
84,CAPEX,-1197000,-557000,-3960000,-5425000,-1098000,-1022000,-1022000,-1145000,-617000,-1128000,-876000,-1070000,-990000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-86140000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-10173000,- -,-468000,-1155000,-2698000,-108000,-2720000,-34000,-2035000,-15182000,-76078000,-5700000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29099000,57793000,- -
88,Other Investing Activites,2601000,6667000,-2149000,-63307000,477000,2664000,-1671000,4082000,-8324000,-6715000,- -,118000,64114000,- -
89,Cash Used for Investing Activites,1404000,-4063000,-6109000,-69200000,-1776000,-1056000,-2801000,-85923000,-8975000,-9878000,-16058000,-47931000,115217000,- -
90,Debt Repayment,- -,- -,- -,- -,-9232000,-23696000,-23696000,-40713000,-14344000,-122697000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-24862000,-33231000,-42897000,-34020000,-66828000,-55680000,- -,- -,- -,- -
93,Dividends Paid,- -,-4949000,-5067000,-5206000,-5331000,-6016000,-6016000,-6806000,-6964000,-7084000,- -,- -,- -,- -
94,Other Financing Activites,-6030000,688000,2626000,55180000,24130000,48637000,58303000,152072000,79891000,196316000,11046000,76945000,303000,- -
95,Cash Used/Provided by Financing Activities,-6030000,-4261000,-2441000,49974000,-15295000,-14306000,-14306000,70533000,-8245000,10855000,11046000,76945000,303000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-1734000,395000,395000,710000,-4074000,16000,- -,- -,- -,- -
97,Net Change In Cash,14195000,11246000,-26911000,-2186000,-3802000,8369000,8369000,9666000,-8877000,32808000,-23192000,1132000,73968000,- -
98,Cash at the End of Period,46515000,57761000,30850000,28664000,24862000,33231000,42897000,34020000,66828000,55680000,13757000,14889000,88857000,- -
99,Cash at the Beginning of Period,32320000,46515000,57761000,30850000,28664000,24862000,34528000,24354000,75705000,22872000,36949000,13757000,14889000,88857000
100,Free Cash Flow,14221000,21954000,-19459000,8613000,11445000,21204000,22949000,23165000,6162000,19454000,-19056000,-28952000,-42542000,- -
101,SEC Link,https://www.sec.gov/Archives/edgar/data/2034/000118811208002560/0001188112-08-002560-index.html,https://www.sec.gov/Archives/edgar/data/2034/000118811209002004/0001188112-09-002004-index.html,https://www.sec.gov/Archives/edgar/data/2034/000118811210002381/0001188112-10-002381-index.html,https://www.sec.gov/Archives/edgar/data/2034/000118811211002555/0001188112-11-002555-index.html,https://www.sec.gov/Archives/edgar/data/2034/000118811212002832/0001188112-12-002832-index.html,https://www.sec.gov/Archives/edgar/data/2034/000118811213002611/0001188112-13-002611-index.html,https://www.sec.gov/Archives/edgar/data/2034/000157104914004448/0001571049-14-004448-index.html,https://www.sec.gov/Archives/edgar/data/2034/000157104915007509/0001571049-15-007509-index.html,https://www.sec.gov/Archives/edgar/data/2034/000157104916017785/0001571049-16-017785-index.htm,https://www.sec.gov/Archives/edgar/data/2034/000114420417045100/0001144204-17-045100-index.html,- -,https://www.sec.gov/Archives/edgar/data/1720580/000156459020010474/0001564590-20-010474-index.htm,https://www.sec.gov/Archives/edgar/data/1720580/000156459021012664/0001564590-21-012664-index.htm,https://www.sec.gov/Archives/edgar/data/1720580/000095017022003753/0000950170-22-003753-index.htm
102,false,,,,,,,,,,,,,,
