,https://roic.ai/company/NOVT,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10388000,27751000,19908000,13062000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7387000
14,Depreciation and Amortization,5600000,15200000,14309000,11918000,10919000,10439000,13618000,13716000,14848000,16167000,18906000,17330000,15653000,15267000,13676000,20207000,23797000,19114000,20357000,30758000,37052000,38280000,38293000,43394000
15,EBITDA,-5700000,-22200000,89352000,-10554000,-25786000,8591000,58604000,27580000,45652000,45928000,-213585000,-27022000,45613000,60358000,22274000,33196000,-1461000,65123000,52879000,104636000,96368000,84046000,86696000,92179000
16,EBITDA ratio,-0.0395,-0.0808,0.2390,-0.0426,-0.1621,0.0463,0.1776,0.1058,0.1456,0.1445,-0.7404,-0.1062,0.1189,0.1648,0.0820,0.0972,-0.0040,0.1743,0.1374,0.2007,0.1569,0.1342,0.1468,0.1304
17,Operating Income,-9500000,-1700000,5230000,-21675000,-37295000,-4086000,45294000,11446000,28419000,22646000,-245127000,-20237000,53909000,43939000,15007000,17691000,-16806000,28933000,32563000,57195000,71013000,55282000,55888000,64054000
18,Operating Income ratio,-0.0659,-0.0062,0.0140,-0.0874,-0.2345,-0.0220,0.1372,0.0439,0.0906,0.0713,-0.8498,-0.0796,0.1406,0.1200,0.0553,0.0518,-0.0461,0.0774,0.0846,0.1097,0.1156,0.0883,0.0946,0.0906
19,Total Other Income Expenses (Gains),-1800000,-35700000,69813000,-797000,590000,2238000,-308000,2418000,2385000,7115000,-6754000,-51673000,-43809000,-11882000,-3473000,-3161000,-1109000,17089000,-41000,18939000,-9711000,-9516000,-7485000,-7882000
20,Income Before Tax,-11300000,-37400000,75043000,-22472000,-36705000,-1848000,44986000,13864000,30804000,29761000,-251881000,-71910000,10100000,32057000,11534000,14530000,-17915000,46022000,32522000,76134000,61302000,45766000,48403000,56172000
21,Income Before Tax Ratio,-0.0784,-0.1362,0.2007,-0.0906,-0.2307,-0.0100,0.1363,0.0532,0.0982,0.0936,-0.8732,-0.2827,0.0263,0.0875,0.0425,0.0425,-0.0491,0.1232,0.0845,0.1460,0.0998,0.0731,0.0820,0.0795
22,Income Tax expense (Gain),-3300000,-2600000,29666000,-7774000,-8981000,322000,3515000,4207000,9061000,10717000,-39032000,-773000,10739000,3056000,-10940000,5680000,-1006000,10394000,10519000,13827000,10207000,4993000,3882000,5841000
23,Net Income,-8000000,-34800000,45377000,-14698000,-27724000,-2170000,41471000,9657000,21743000,19044000,-203847000,-71330000,-687000,28973000,19538000,7309000,-24252000,35615000,22003000,60051000,49109000,40773000,44521000,50331000
24,Net Income ratio,-0.0555,-0.1267,0.1214,-0.0593,-0.1743,-0.0117,0.1257,0.0370,0.0693,0.0599,-0.7067,-0.2804,-0.0018,0.0791,0.0720,0.0214,-0.0665,0.0953,0.0572,0.1152,0.0799,0.0651,0.0754,0.0712
25,EPS,-1.38,-3.42,3.57,-1.08,-2.04,-0.15,3.03,0.69,1.56,1.35,-14.19,-3.91,-0.03,0.87,0.58,0.21,-0.70,1.03,0.63,1.14,1.46,1.16,1.27,1.42
26,EPS Diluted,-1.38,-3.42,3.39,-1.08,-2.04,-0.15,2.94,0.69,1.53,1.35,-14.19,-3.91,-0.03,0.86,0.58,0.21,-0.70,1.02,0.63,1.13,1.43,1.15,1.25,1.41
27,Weighted Average Shares Outstanding,5692994,10147323,12728987,13450319,13554319,13612319,13707986,13849319,13965319,14121319,14374985,15904984,23703000,33481000,33775000,34073000,34352000,34579000,34694000,34817000,34913000,35030000,35144000,35396000
28,Weighted Average Shares Outstanding Diluted,5692994,10147323,13333320,13450319,13554319,13612319,14041652,13951986,14083652,14214985,14374985,15904984,23703000,33589000,33936000,34396000,34352000,34827000,34914000,35280000,35473000,35546000,35654000,35781000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1076930/000092701600000953/0000927016-00-000953-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1076930/000095013503002067/0000950135-03-002067-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000095013504001286/0000950135-04-001286-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000095013505001476/0000950135-05-001476-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000119312506058777/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312507053578/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312508051476/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312510082469/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312510221865/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312511083091/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312512114902/0001193125-12-114902-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000119312513112072/0001193125-13-112072-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000119312514098040/d635538d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459015001413/gsig-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459016013893/0001564590-16-013893-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000156459017003421/0001564590-17-003421-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000156459018003687/0001564590-18-003687-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000156459019004717/0001564590-19-004717-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000156459020006601/0001564590-20-006601-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000156459021009673/0001564590-21-009673-index.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459022007880/0001564590-22-007880-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,25100000,25300000,113858000,102959000,83633000,64035000,82334000,69286000,138315000,171714000,69001000,63328000,56781000,54835000,65788000,60980000,51146000,59959000,68108000,100057000,82043000,78944000,125054000,117393000
32,Short-Term Investments,- -,7300000,20020000,43541000,28999000,39562000,2995000,26757000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,25100000,32600000,133878000,146500000,112632000,103597000,85329000,96043000,138315000,171714000,69001000,63328000,56781000,54835000,65788000,60980000,51146000,59959000,68108000,100057000,82043000,78944000,125054000,117393000
34,Net Receivables,31700000,80400000,83398000,49143000,42224000,57879000,62601000,57865000,60301000,85768000,80532000,71229000,77030000,72874000,59192000,59682000,57400000,59698000,63769000,81482000,83955000,91078000,75054000,115617000
35,Inventory,44100000,72700000,77906000,57794000,39671000,43916000,60319000,63475000,72703000,65522000,78508000,66444000,66721000,65810000,52801000,66744000,62943000,59566000,59745000,91278000,104764000,116618000,92737000,125657000
36,Other Current Assets,13200000,31500000,32908000,23625000,14211000,13555000,23405000,30987000,19484000,15643000,47181000,40980000,17595000,13302000,30687000,12396000,11838000,5989000,7628000,15062000,11007000,17872000,11328000,15158000
37,Total Current Assets,114100000,217200000,328090000,277062000,208738000,218947000,231654000,248370000,290803000,338647000,275222000,241981000,218127000,206821000,208468000,199802000,183327000,185212000,199250000,287879000,281769000,304512000,304173000,373825000
38,PP&E,32200000,45300000,33368000,32482000,26675000,52982000,50220000,32220000,33511000,30817000,54439000,49502000,45402000,43411000,32338000,32490000,40088000,40550000,35421000,61718000,65464000,112736000,113120000,135777000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,26421000,26421000,26421000,45063000,44578000,44578000,44578000,44578000,71156000,90746000,103456000,108128000,210988000,217662000,274710000,285980000,479500000
40,Intangible Assets,4100000,23300000,26075000,19067000,13467000,23985000,77339000,44997000,39168000,32871000,71460000,61509000,53139000,45797000,40020000,65293000,67242000,66269000,61743000,155048000,142920000,166175000,148521000,220989000
41,Intangible Assets,4100000,23300000,26075000,19067000,13467000,23985000,77339000,71418000,65589000,59292000,116523000,106087000,97717000,90375000,84598000,136449000,157988000,169725000,169871000,366036000,360582000,440885000,434501000,700489000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25065000,11272000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,6537000,7443000,6642000,18364000,20124000,20099000,9887000,23802000,22876000,1445000,814000,3884000,564000,2912000,7885000,8593000,7052000,9492000,8890000,10491000,12206000
44,Other Non-Current Assets,2100000,3900000,43651000,1539000,40765000,6040000,8587000,1312000,1403000,1567000,25266000,4983000,4476000,7082000,8172000,9502000,14604000,12673000,12502000,4018000,2269000,2713000,2894000,5586000
45,Total Non-Current Assets,38400000,72500000,103094000,59625000,88350000,89649000,154510000,125074000,120602000,101563000,245095000,194720000,149040000,141682000,128992000,179005000,215592000,230833000,226387000,438824000,437807000,565224000,561006000,854058000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,152500000,289700000,431184000,336687000,297088000,308596000,386164000,373444000,411405000,440210000,520317000,436701000,367167000,348503000,337460000,378807000,398919000,416045000,425637000,726703000,719576000,869736000,865179000,1227883000
48,Accounts Payable,5600000,28100000,30030000,10839000,9235000,18218000,18462000,14998000,14002000,17504000,20286000,13430000,19766000,14679000,18824000,26745000,25592000,24401000,32213000,39793000,50733000,52585000,42966000,68514000
49,Short-Term Debt,- -,28500000,15235000,8825000,- -,- -,- -,- -,- -,- -,185115000,- -,- -,10000000,7500000,7500000,7500000,7385000,7366000,9119000,4535000,5031000,5508000,22002000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5787000,1997000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,9949000,45061000,55755000,15006000,5913000,3349000,1147000,- -,- -,1164000,3634000,4165000,3219000,6173000,- -
52,Other Current Liabilities,22500000,56900000,91847000,32611000,27368000,25875000,38532000,26312000,29301000,21419000,32194000,20576000,24490000,27616000,25253000,24678000,21122000,25167000,29753000,45622000,44763000,74011000,59582000,93422000
53,Total Current Liabilities,28100000,113500000,137112000,52275000,36603000,44093000,56994000,41310000,43303000,48872000,282656000,89761000,59262000,58208000,54926000,60070000,54214000,56953000,70496000,98168000,104196000,134846000,114229000,183938000
54,Long-Term Debt,3500000,- -,2697000,- -,- -,- -,- -,- -,- -,- -,- -,188967000,107575000,58000000,42500000,64000000,107500000,88426000,70554000,225500000,202843000,215334000,194927000,475061000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39164000,- -,402000,152000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,2400000,- -,- -,- -,- -,11521000,13252000,12342000,7589000,30131000,25848000,15017000,8722000,255000,1474000,35000,449000,1294000,25672000,22632000,26676000,24134000,33738000
57,Other Non-Current Liabilities,- -,2100000,2108000,2082000,6004000,3715000,12086000,12326000,12687000,9632000,15469000,47814000,6233000,14061000,11573000,10860000,25916000,25516000,24423000,65818000,21650000,75708000,55080000,13855000
58,Total Non-Current Liabilities,3500000,4500000,4805000,2082000,6004000,3715000,23607000,25578000,25029000,17221000,84764000,262629000,129227000,80935000,54328000,76334000,133451000,114391000,96271000,316990000,247125000,317718000,274141000,522654000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9507000,9173000,8111000,7947000,- -,53996000,54618000,- -
61,Total Liabilities,31600000,118000000,141917000,54357000,42607000,47808000,80601000,66888000,68332000,66093000,367420000,352390000,188489000,139143000,109254000,136404000,187665000,171344000,166767000,415158000,351321000,452564000,388370000,706592000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,301667000,303504000,304713000,305512000,308669000,309545000,310635000,- -,- -,- -,- -,- -,423856000,423856000,423856000,423856000,423856000,423856000,423856000,423856000,423856000,- -
64,Retained Earnings,19600000,-44200000,1152000,-13546000,-41270000,-43440000,-1969000,7688000,29431000,48475000,-184716000,-256046000,-256733000,-227760000,-208222000,-200913000,-225165000,-189550000,-167547000,-127740000,-79092000,-38319000,6202000,56533000
65,Other Comprehensive Income/Loss,-24300000,-28000000,-23961000,-20575000,-21453000,-22305000,-26604000,-14000000,-2000000,7000000,-4000000,-3000000,-3000000,-5000000,-10000000,-6000000,-16000000,-19000000,-28000000,-18000000,-23000000,-18000000,-12241000,-12866000
66,Other Total Stockholders Equity,125600000,243900000,10409000,12947000,12491000,21021000,25467000,3323000,5007000,318642000,341393000,343076000,438082000,441763000,22175000,25041000,28134000,29395000,30561000,33429000,46491000,49635000,58992000,521291000
67,Total Stockholders Equity,120900000,171700000,289267000,282330000,254481000,260788000,305563000,306556000,343073000,374117000,152677000,84030000,178349000,209003000,227809000,241984000,210825000,244701000,258870000,311545000,368255000,417172000,476809000,521291000
68,Total Liabilities And Stockholders Equity,152500000,289700000,431184000,336687000,297088000,308596000,386164000,373444000,411405000,440210000,520097000,436420000,366838000,348146000,337063000,378388000,398490000,416045000,425637000,726703000,719576000,869736000,865179000,1227883000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000,281000,329000,357000,397000,419000,429000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,152500000,289700000,431184000,336687000,297088000,308596000,386164000,373444000,411405000,440210000,520317000,436701000,367167000,348503000,337460000,378807000,398919000,416045000,425637000,726703000,719576000,869736000,865179000,1227883000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1076930/000092701600000953/0000927016-00-000953-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1076930/000095013503002067/0000950135-03-002067-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000095013504001286/0000950135-04-001286-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000095013505001476/0000950135-05-001476-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000119312506058777/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312507053578/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312508051476/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312510082469/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312510221865/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312511083091/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312512114902/0001193125-12-114902-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000119312513112072/0001193125-13-112072-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000119312514098040/d635538d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459015001413/gsig-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459016013893/0001564590-16-013893-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000156459017003421/0001564590-17-003421-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000156459018003687/0001564590-18-003687-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000156459019004717/0001564590-19-004717-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000156459020006601/0001564590-20-006601-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000156459021009673/0001564590-21-009673-index.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459022007880/0001564590-22-007880-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-8000000,-34800000,45377000,-14698000,-27724000,-2170000,41471000,9657000,21743000,19044000,-203847000,-71330000,-687000,28973000,19538000,7309000,-24252000,35615000,22003000,60051000,49109000,40773000,44521000,50331000
74,Depreciation and Amortization,5600000,15200000,14309000,11918000,10919000,10439000,13618000,13716000,14848000,16167000,18906000,17330000,15653000,15267000,13676000,20207000,23797000,19114000,20357000,30758000,37052000,38280000,38293000,43394000
75,Deferred Income Tax,-1300000,-1700000,-3613000,6688000,4267000,48000,-15385000,-2465000,3558000,5135000,-33670000,1356000,5553000,78000,-14979000,3045000,-6736000,-1692000,-1766000,-2560000,-6076000,-4332000,-4113000,-3945000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2761000,2052000,1871000,3276000,4580000,5499000,4329000,4387000,4293000,5493000,7714000,9340000,23119000,25606000
77,Change in Working Capital,-3600000,17700000,87278000,33809000,-52652000,2719000,-194000,32400000,40440000,42275000,-297209000,159654000,6645000,-10252000,4929000,-13810000,-10619000,-854000,495000,60957000,-12138000,-7907000,20278000,-57000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37759000,880000,-7727000,4822000,2261000,-1886000,3526000,-7526000,-6394000,-2077000,-1156000,-3600000,18026000,-25355000
79,Inventory,-8300000,6100000,-13506000,8917000,19632000,8271000,-12716000,-5753000,-6546000,6848000,19898000,7507000,-8171000,-6062000,-4361000,-3220000,-991000,-3338000,-2917000,-13587000,-15603000,-7397000,22102000,-19078000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8020000,-1900000,3955000,-3961000,3783000,2874000,-4698000,2167000,10590000,8993000,11238000,- -,- -,24516000
81,Other Working Capital,86000000,103700000,190978000,224787000,172135000,174854000,174660000,207060000,247500000,289775000,-7434000,152220000,158865000,148613000,153542000,139732000,129113000,128259000,128754000,189711000,177573000,169666000,189944000,189887000
82,Other Non-Cash Items,300000,-800000,-153571000,-55195000,76907000,10791000,-4113000,-48444000,-45333000,-45133000,551961000,-134848000,-33773000,7831000,686000,26950000,55770000,-23154000,2406000,-91321000,13986000,-12906000,18141000,-20704000
83,Cash Provided by Operating Activities,-7000000,-4400000,-10220000,-17478000,11717000,21827000,35397000,4864000,35256000,37488000,38902000,-25786000,-4738000,45173000,28430000,49200000,42289000,33416000,47788000,63378000,89647000,63248000,140239000,94625000
84,CAPEX,-15100000,-13900000,-10142000,-8639000,-2952000,-21624000,-2410000,-3551000,-8562000,-4826000,-386662000,-1321000,-2659000,-4217000,-4308000,-4988000,-5415000,-5552000,-12442000,-9094000,-14658000,-10743000,-13156000,-19976000
85,Acquisitions Net,- -,- -,-7138000,- -,- -,-44298000,-54530000,-71000,- -,-3006000,- -,- -,- -,- -,7000000,-72583000,-88238000,3583000,-8958000,-168332000,-29600000,-53143000,- -,- -
86,Purchases of Investments,- -,- -,-57710000,-109355000,-132877000,-165547000,-49492000,-43286000,-22602000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,8200000,45031000,85834000,110014000,188990000,84224000,24600000,49271000,- -,- -,16975000,11408000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,300000,4800000,65800000,44603000,1979000,824000,-367000,7339000,14697000,195000,-320448000,4054000,- -,- -,283000,4615000,3880000,336000,4555000,46000,-1332000,42000,-2632000,-286728000
89,Cash Used for Investing Activites,-14800000,-900000,35841000,12443000,-23836000,-41655000,-22575000,-14969000,32804000,-7637000,-338399000,19708000,8749000,-4217000,2975000,-72956000,-89773000,-1633000,-12865000,-177380000,-45590000,-63844000,-13156000,-306704000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-76454000,-113214000,-23779000,-39295000,-33500000,-30500000,-16250000,-26925000,-74648000,-50694000,-35391000,-140000
91,Common Stock Issued,200000,500000,76986000,1837000,1209000,799000,3232000,876000,4863000,8179000,63000,- -,64889000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-600000,- -,- -,- -,- -,- -,- -,- -,-3773000,-7844000,-6439000,- -,- -,- -,- -,-526000,- -,-1627000,-1634000,-370000,-5850000,-10000000,-5500000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2300000,4900000,-15800000,-8117000,-9441000,- -,- -,-26000,1035000,423000,203309000,- -,- -,70119000,2667000,58395000,73781000,10592000,-5305000,170625000,20334000,56759000,-43466000,204893000
95,Cash Used/Provided by Financing Activities,-2700000,5400000,61186000,-6280000,-8232000,799000,3232000,850000,2125000,758000,196933000,- -,-11565000,-43095000,-21112000,18574000,40281000,-21535000,-23189000,143330000,-60164000,-3935000,-84357000,204753000
96,Effect of Forex Changes on Cash,-1600000,1000000,1779000,416000,1025000,-569000,2245000,-3793000,-1156000,2790000,-822000,405000,1007000,193000,660000,374000,-2631000,-1435000,-3585000,2621000,-1907000,1432000,3384000,-335000
97,Net Change In Cash,-2700000,1100000,88586000,-10899000,-19326000,-19598000,18299000,-13048000,69029000,33399000,-103386000,-5673000,-6547000,-1946000,10953000,-4808000,-9834000,8813000,8149000,31949000,-18014000,-3099000,46110000,-7661000
98,Cash at the End of Period,- -,25300000,113858000,102959000,83633000,64035000,82334000,69286000,138315000,171714000,69001000,63328000,56781000,54835000,65788000,60980000,51146000,59959000,68108000,100057000,82043000,78944000,125054000,117393000
99,Cash at the Beginning of Period,51200000,24200000,25272000,113858000,102959000,83633000,64035000,82334000,69286000,138315000,172387000,69001000,63328000,56781000,54835000,65788000,60980000,51146000,59959000,68108000,100057000,82043000,78944000,125054000
100,Free Cash Flow,-22100000,-18300000,-20362000,-26117000,8765000,203000,32987000,1313000,26694000,32662000,-347760000,-27107000,-7397000,40956000,24122000,44212000,36874000,27864000,35346000,54284000,74989000,52505000,127083000,74649000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1076930/000092701600000953/0000927016-00-000953-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1076930/000095013503002067/0000950135-03-002067-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000095013504001286/0000950135-04-001286-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000095013505001476/0000950135-05-001476-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000119312506058777/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312507053578/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312508051476/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312510082469/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312510221865/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312511083091/d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312512114902/0001193125-12-114902-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000119312513112072/0001193125-13-112072-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000119312514098040/d635538d10k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459015001413/gsig-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459016013893/0001564590-16-013893-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000156459017003421/0001564590-17-003421-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000156459018003687/0001564590-18-003687-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000156459019004717/0001564590-19-004717-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000156459020006601/0001564590-20-006601-index.html,https://www.sec.gov/Archives/edgar/data/1076930/000156459021009673/0001564590-21-009673-index.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459022007880/0001564590-22-007880-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
