,https://roic.ai/company/DLA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,- -,116481000,102300000,108097000,121300000,119000000,191100000,207900000,243100000,298552000,317100000,343100000,404200000,449900000,496145000,- -,454600000,433023000,408917000,370198000,378047000,415835000,388110000,404039000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,-7400000,- -,-677000,-732000,-2622000,-3022000,-3819000,- -,-6042000,-4718000,-3509000,-2616000,4132000,- -,5792000,6021000,5287000,5011000,5713000,7550000,7005000,6844000
14,Depreciation and Amortization,- -,9214000,6597000,6340000,6390000,5506000,4561000,4289000,4750000,5273000,6331000,7078000,6788000,7257000,7492000,- -,9493000,9542000,9625000,9609000,9989000,11764000,12756000,13754000
15,EBITDA,- -,-10066000,3997000,17304000,15401000,14634000,16313000,18347000,24081000,13087000,-858000,9833000,19945000,27294000,1270000,- -,7792000,25661000,25957000,25788000,27499000,28033000,5924000,46599000
16,EBITDA ratio,- -,-0.0943,0.0349,0.1437,0.1170,0.1130,0.0784,0.0804,0.0892,0.0419,-0.0027,0.0277,0.0470,0.0574,0.0026,- -,0.0172,0.0571,0.0610,0.0670,0.0695,0.0649,0.0155,0.1067
17,Operating Income,- -,-9702000,12223000,12303000,9521000,10555000,17026000,20145000,26356000,12388000,4887000,12147000,20162000,25296000,-6222000,- -,-1661000,16119000,16332000,16179000,17403000,15895000,-7075000,32711000
18,Operating Income ratio,- -,-0.0909,0.1068,0.1022,0.0723,0.0815,0.0818,0.0883,0.0976,0.0396,0.0152,0.0342,0.0475,0.0532,-0.0127,- -,-0.0037,0.0359,0.0384,0.0420,0.0440,0.0368,-0.0186,0.0749
19,Total Other Income Expenses (Gains),- -,-9578000,-7423000,-1339000,179000,-755000,-2626000,-3045000,-3156000,-5246000,-6087000,-4747000,-3462000,-2596000,-4132000,- -,-5839000,-6021000,-5287000,-5011000,-5713000,-7550000,-7005000,-6844000
20,Income Before Tax,- -,-19280000,4800000,10964000,9700000,9800000,14400000,17100000,23200000,7142000,-1200000,7400000,16700000,22700000,-10354000,- -,-7500000,10098000,11045000,11168000,11690000,8345000,-14080000,25867000
21,Income Before Tax Ratio,- -,-0.1806,0.0419,0.0911,0.0737,0.0757,0.0692,0.0750,0.0859,0.0229,-0.0037,0.0208,0.0393,0.0478,-0.0211,- -,-0.0166,0.0225,0.0260,0.0290,0.0296,0.0193,-0.0370,0.0592
22,Income Tax expense (Gain),- -,-90000,100000,987000,3188000,3760000,4674000,5880000,8350000,1471000,-647000,973000,4466000,5353000,-7907000,- -,-6493000,2005000,2081000,657000,10460000,477000,-3260000,5705000
23,Net Income,- -,-19190000,4700000,9977000,6500000,6100000,9700000,11200000,14800000,6343000,-500000,6500000,12200000,17300000,-2447000,- -,-1000000,8093000,8964000,10511000,1337000,8242000,-10577000,20296000
24,Net Income ratio,- -,-0.1797,0.0410,0.0829,0.0494,0.0471,0.0466,0.0491,0.0548,0.0203,-0.0016,0.0183,0.0287,0.0364,-0.0050,- -,-0.0022,0.0180,0.0211,0.0273,0.0034,0.0191,-0.0278,0.0465
25,EPS,- -,-0.51,0.13,1.04,0.37,0.75,1.20,1.35,1.73,0.75,-0.06,0.76,1.43,2.04,-0.29,0.76,-0.12,1.03,1.16,1.40,0.19,1.19,-1.53,2.92
26,EPS Diluted,- -,-0.51,0.13,1.01,0.35,0.72,1.16,1.33,1.71,0.73,-0.06,0.76,1.40,1.98,-0.29,0.74,-0.12,1.00,1.12,1.33,0.18,1.17,-1.53,2.86
27,Weighted Average Shares Outstanding,- -,37840000,37840000,9612000,17472000,8090000,8156000,8355000,8590000,8506000,8480000,8502000,8514000,8486000,8453000,8096250,7901000,7874000,7726000,7531000,7149000,6929000,6921000,6961000
28,Weighted Average Shares Outstanding Diluted,- -,37840000,37840000,9896000,18240000,8352000,8376000,8463000,8665000,8675000,8480000,8502000,8733000,8747000,8453000,8344250,7901000,8080000,7979000,7882000,7425000,7064000,6921000,7093000
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1101396/000095016800002147/0000950168-00-002147-index.html,- -,https://www.sec.gov/Archives/edgar/data/1101396/000095014402009353/0000950144-02-009353-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095014403010389/0000950144-03-010389-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095014404009027/0000950144-04-009027-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095014405009777/0000950144-05-009777-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095014406008638/g03245e10vk.htm,https://www.sec.gov/Archives/edgar/data/1101396/000095014407008334/0000950144-07-008334-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095014408006783/0000950144-08-006783-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095012309039317/0000950123-09-039317-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095012310083126/0000950123-10-083126-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139611000012/0001101396-11-000012-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139612000027/0001101396-12-000027-index.html,- -,https://www.sec.gov/Archives/edgar/data/1101396/000110139614000032/0001101396-14-000032-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139615000033/0001101396-15-000033-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139616000097/0001101396-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139617000045/0001101396-17-000045-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139618000043/0001101396-18-000043-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000143774919023361/0001437749-19-023361-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000143774920024322/0001437749-20-024322-index.htm,https://www.sec.gov/Archives/edgar/data/1101396/000143774921027229/0001437749-21-027229-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,402000,400000,165000,4100000,200000,300000,300000,600000,792000,600000,700000,700000,700000,467000,829000,600000,300000,397000,572000,460000,605000,16458000,9376000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,402000,400000,165000,4100000,200000,300000,300000,600000,792000,600000,700000,700000,700000,467000,829000,600000,300000,397000,572000,460000,605000,16458000,9376000
34,Net Receivables,- -,24389000,22100000,23128000,22800000,22600000,38600000,36600000,47500000,48636000,63000000,59600000,61000000,76800000,82652000,69939000,70200000,62741000,63695000,49925000,47017000,60887000,61000000,68090000
35,Inventory,- -,27034000,28200000,41619000,35500000,47200000,105900000,99000000,103700000,124604000,124700000,125900000,116600000,159200000,161633000,165190000,162200000,148372000,164247000,174551000,174983000,179107000,145515000,161703000
36,Other Current Assets,- -,872000,1200000,2522000,3000000,2300000,2700000,3300000,5400000,4488000,5500000,6800000,6600000,7000000,8734000,9767000,16600000,2844000,4145000,2646000,2962000,2999000,3795000,3794000
37,Total Current Assets,- -,52697000,51900000,67434000,65400000,72300000,147500000,139200000,157200000,178520000,193800000,193000000,184900000,243700000,253486000,245725000,249600000,214257000,232484000,227694000,225422000,243598000,226768000,242963000
38,PP&E,- -,31441000,26900000,23750000,23000000,22100000,19500000,20000000,21200000,29407000,40000000,36500000,37700000,39800000,39425000,40600000,41000000,39653000,43503000,42706000,52114000,61404000,118595000,112843000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,13900000,14222000,16800000,16800000,17400000,16800000,16812000,36729000,36700000,36729000,36729000,19917000,33217000,37897000,37897000,37897000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,8600000,8091000,7600000,7100000,8000000,7400000,6797000,24837000,23500000,22162000,20922000,16151000,20498000,21607000,19948000,26291000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,22500000,22313000,24400000,23900000,25400000,24200000,23609000,61566000,60200000,58891000,57651000,36068000,53715000,59504000,57845000,64188000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,8980000,10388000,10573000,10433000
43,Tax Assets,- -,- -,- -,- -,700000,1200000,- -,200000,1100000,- -,600000,1200000,1800000,2900000,- -,- -,3400000,- -,- -,5002000,2132000,1519000,4052000,1854000
44,Other Non-Current Assets,- -,219000,300000,139000,-800000,-1200000,2400000,100000,1100000,2550000,2800000,2400000,1500000,1300000,3874000,3871000,400000,12102000,11014000,2332000,1246000,1575000,2398000,2007000
45,Total Non-Current Assets,- -,31660000,27200000,23889000,22900000,22100000,21900000,20300000,45900000,54270000,67800000,64000000,66400000,68200000,66908000,106037000,105000000,110646000,112168000,90108000,118187000,134390000,193463000,191325000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,84357000,79100000,91323000,88300000,94400000,169400000,159500000,203100000,232790000,261600000,257000000,251300000,311900000,320394000,351762000,354600000,324903000,344652000,317802000,343609000,377988000,420231000,434288000
48,Accounts Payable,- -,5270000,6700000,4946000,9400000,8900000,16000000,19900000,27900000,35906000,35400000,34100000,34500000,55600000,46320000,52877000,57700000,53349000,51395000,47183000,48008000,52320000,49800000,52936000
49,Short-Term Debt,- -,- -,- -,8435000,- -,2000000,20810000,15065000,3683000,2927000,6780000,5718000,5718000,2799000,3529000,3704000,15504000,8340000,9192000,7548000,10423000,12974000,23554000,22197000
50,Tax Payable,- -,- -,- -,- -,1860000,- -,- -,- -,- -,- -,- -,- -,712000,969000,- -,- -,1173000,1542000,1003000,931000,882000,1539000,1944000,3339000
51,Deferred Revenue,- -,- -,- -,- -,1119000,620000,1075000,1252000,2710000,- -,-822000,-288000,916000,2931000,- -,- -,12152000,7301000,5246000,- -,1374000,1514000,- -,- -
52,Other Current Liabilities,- -,114644000,10400000,7681000,11081000,6480000,15215000,15983000,19707000,19042000,18542000,18170000,18666000,21670000,16608000,17463000,8044000,13782000,16460000,17704000,16006000,22067000,22673000,30328000
53,Total Current Liabilities,- -,119914000,17100000,21062000,21600000,18000000,53100000,52200000,54000000,57875000,59900000,57700000,59800000,83000000,66457000,74044000,93400000,82772000,82293000,72435000,75811000,88875000,96027000,105461000
54,Long-Term Debt,- -,100000,7700000,5667000,3700000,7900000,29200000,17200000,47000000,70491000,95500000,85900000,62400000,84000000,110949000,131030000,114500000,93872000,106603000,85306000,101385000,122132000,112782000,155895000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,375000,- -,- -,- -,- -,- -,749000,- -,- -,- -,- -,3803000,3610000,3399000,7000,5246000,- -,2132000,1519000,- -,1520000
57,Other Non-Current Liabilities,- -,30899000,500000,736000,1800000,2600000,11600000,3700000,1100000,6000,1300000,1200000,3400000,2900000,218000,4206000,5101000,3753000,-1505000,4174000,14256000,11293000,68736000,7218000
58,Total Non-Current Liabilities,- -,30999000,8200000,6778000,5500000,10500000,40800000,20900000,48100000,71246000,96800000,87100000,65800000,86900000,114970000,138846000,123000000,97632000,110344000,89480000,117773000,134944000,181518000,164633000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13148000,19270000,73893000,69345000
61,Total Liabilities,- -,150913000,25300000,27840000,27100000,28500000,93900000,73100000,102100000,129121000,156700000,144800000,125600000,169900000,181427000,212890000,216400000,180404000,192637000,161915000,193584000,223819000,277545000,270094000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,24000,- -,- -,- -,100000,100000,96000,100000,100000,100000,100000,96000,96000,100000,96000,96000,96000,96000,96000,96000,96000
64,Retained Earnings,- -,-66556000,- -,9971000,15900000,21000000,29500000,39100000,53400000,58235000,57300000,63800000,76000000,93300000,90830000,100579000,99600000,107715000,116679000,127358000,128695000,136937000,126564000,146860000
65,Other Comprehensive Income/Loss,- -,- -,-23300000,-28956000,-35100000,-39000000,-43100000,-35800000,-38900000,140000,-441000,-565000,-105000,-14000,-129000,-557000,-269000,-429000,-112000,-35000,136000,-969000,-1322000,-786000
66,Other Total Stockholders Equity,- -,- -,77100000,82444000,80500000,84000000,89100000,83064000,86388000,45198000,47934000,48810000,49719000,48579000,48170000,38754000,38776000,37117000,35352000,28468000,21098000,18105000,17872000,18682000
67,Total Stockholders Equity,- -,-66556000,53800000,63483000,61300000,65969000,75492000,86464000,100988000,103669000,104893000,112145000,125714000,141965000,138967000,138872000,138207000,144499000,152015000,155887000,150025000,154169000,143210000,164852000
68,Total Liabilities And Stockholders Equity,- -,84357000,79100000,91323000,88400000,94469000,169392000,159564000,203088000,232790000,261593000,256945000,251314000,311865000,320394000,351762000,354607000,324903000,344652000,317802000,343609000,377988000,420755000,434946000
69,Minority Interest,- -,- -,- -,- -,-100000,-69000,8000,-64000,12000,- -,7000,55000,-14000,35000,- -,- -,-7000,- -,- -,- -,- -,- -,-524000,-658000
70,Total Liabilities & Equity,- -,84357000,79100000,91323000,88300000,94400000,169400000,159500000,203100000,232790000,261600000,257000000,251300000,311900000,320394000,351762000,354600000,324903000,344652000,317802000,343609000,377988000,420231000,434288000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1101396/000095016800002147/0000950168-00-002147-index.html,- -,https://www.sec.gov/Archives/edgar/data/1101396/000095014402009353/0000950144-02-009353-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095014403010389/0000950144-03-010389-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095014404009027/0000950144-04-009027-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095014405009777/0000950144-05-009777-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095014406008638/g03245e10vk.htm,https://www.sec.gov/Archives/edgar/data/1101396/000095014407008334/0000950144-07-008334-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095014408006783/0000950144-08-006783-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095012309039317/0000950123-09-039317-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095012310083126/0000950123-10-083126-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139611000012/0001101396-11-000012-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139612000027/0001101396-12-000027-index.html,- -,https://www.sec.gov/Archives/edgar/data/1101396/000110139614000032/0001101396-14-000032-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139615000033/0001101396-15-000033-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139616000097/0001101396-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139617000045/0001101396-17-000045-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139618000043/0001101396-18-000043-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000143774919023361/0001437749-19-023361-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000143774920024322/0001437749-20-024322-index.htm,https://www.sec.gov/Archives/edgar/data/1101396/000143774921027229/0001437749-21-027229-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-19190000,4700000,9977000,6500000,6100000,9700000,11200000,14800000,6343000,-500000,6500000,12200000,17300000,-2447000,9184000,-1000000,8093000,8964000,10511000,1337000,8242000,-10577000,20296000
74,Depreciation and Amortization,- -,9214000,6597000,6340000,6390000,5506000,4561000,4289000,4750000,5273000,6331000,7078000,6788000,7257000,7492000,8014000,9493000,9542000,9625000,9609000,9989000,11764000,12756000,13754000
75,Deferred Income Tax,- -,- -,- -,-550000,-733000,961000,-1224000,1685000,-506000,24000,-822000,-288000,- -,- -,-1107000,176000,-6382000,786000,2048000,322000,5760000,-384000,-3730000,3542000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1004000,1764000,1056000,1730000,865000,229000,1390000,1852000,1872000,2575000,1856000,2761000,1943000
77,Change in Working Capital,- -,-2272000,11572000,-2572000,10500000,40100000,-7400000,16200000,17445000,13255000,1400000,-10200000,35600000,26329000,-13594000,-1754000,-15481000,-24715000,18706000,5068000,-5648000,5112000,-23982000,-12075000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8980000,-2198000,-11673000,2435000,-458000,-296000,6236000,140000,16596000,1424000,-12824000,-113000,-6734000
79,Inventory,- -,5255000,-1173000,-13412000,6136000,-11691000,-6850000,6862000,-807000,-1541000,-142000,2152000,9324000,-36441000,-18619000,2119000,3002000,7730000,-15662000,-13782000,715000,-2997000,28686000,-17086000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1912000,251000,20897000,-9234000,4152000,4698000,-4370000,-2217000,-4201000,-1904000,1951000,-3345000,3030000
81,Other Working Capital,- -,34800000,46372000,43800000,54300000,94400000,87000000,103200000,120645000,133900000,135300000,125100000,160700000,187029000,173435000,171681000,156200000,131485000,150191000,155259000,149611000,154723000,130741000,248000
82,Other Non-Cash Items,- -,5487000,-6355000,-14134000,3823000,-53623000,7680000,-14027000,-16306000,-4445000,-18516000,17637000,-24083000,-49052000,-11175000,15678000,27114000,27211000,-38995000,-13444000,7225000,-17162000,54567000,-1993000
83,Cash Provided by Operating Activities,- -,-6761000,16514000,-939000,26480000,-956000,13317000,19347000,20183000,20450000,-12107000,21731000,32269000,2890000,-19101000,32163000,13973000,22307000,2200000,13938000,21238000,9428000,31795000,25467000
84,CAPEX,- -,-3593000,-2092000,-3180000,-5254000,-4704000,-2209000,-10968000,-5381000,-10915000,-16590000,-3058000,-6965000,-7966000,-6626000,-7922000,-8894000,-7773000,-12315000,-7085000,-5769000,-6063000,-8990000,-12153000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-51520000,- -,-28237000,-27430000,- -,-7977000,-1700000,-9884000,- -,- -,- -,- -,-313000,26000000,-14656000,-5424000,-3077000,-3665000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-2248000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -
88,Other Investing Activites,- -,1683000,99000,43000,164000,35000,4000,10294000,182000,6000,7000,40000,10000,- -,- -,72000,71000,15383000,1861000,1000,5779000,30000,- -,-3802000
89,Cash Used for Investing Activites,- -,-1910000,-1993000,-3137000,-5090000,-4669000,-53725000,-674000,-35634000,-38339000,-16583000,-10995000,-8655000,-17850000,-6626000,-7850000,-8823000,7610000,-10767000,18916000,-14946000,-11457000,-12067000,-13053000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-372965000,-433261000,-492658000,-516590000,-503094000,-498121000,-525275000,-474860000,-477434000,-455904000,-444468000,-435973000,-470083000
91,Common Stock Issued,- -,- -,- -,- -,296000,299000,374000,522000,158000,346000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-607000,-9114000,-1919000,-148000,-261000,-1252000,-3378000,- -,- -,- -,-2507000,-2642000,-7817000,-1180000,-2023000,-3477000,-7938000,-8940000,-2736000,-2029000,- -
93,Dividends Paid,- -,- -,- -,-2000,-200000,-853000,-1021000,-1214000,-1460000,-1699000,-420000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,8972000,-14508000,4435000,-8435000,4199000,41333000,-17755000,18349000,22770000,28904000,362297000,409680000,510094000,544770000,486729000,493934000,497069000,487001000,452693000,458440000,449378000,434127000,450587000
95,Cash Used/Provided by Financing Activities,- -,8972000,-14508000,3826000,-17453000,1726000,40538000,-18708000,15795000,18039000,28484000,-10668000,-23581000,14929000,25538000,-24182000,-5367000,-30229000,8664000,-32679000,-6404000,2174000,-3875000,-19496000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,301000,13000,-250000,3937000,-3899000,130000,-35000,344000,150000,-206000,68000,33000,-31000,-189000,131000,-217000,-312000,97000,175000,-112000,145000,15853000,-7082000
98,Cash at the End of Period,- -,402000,415000,165000,4102000,203000,333000,298000,642000,792000,586000,654000,687000,656000,467000,598000,612000,300000,397000,572000,460000,605000,16458000,9376000
99,Cash at the Beginning of Period,- -,101000,402000,415000,165000,4102000,203000,333000,298000,642000,792000,586000,654000,687000,656000,467000,829000,612000,300000,397000,572000,460000,605000,16458000
100,Free Cash Flow,- -,-10354000,14422000,-4119000,21226000,-5660000,11108000,8379000,14802000,9535000,-28697000,18673000,25304000,-5076000,-25727000,24241000,5079000,14534000,-10115000,6853000,15469000,3365000,22805000,13314000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1101396/000095016800002147/0000950168-00-002147-index.html,- -,https://www.sec.gov/Archives/edgar/data/1101396/000095014402009353/0000950144-02-009353-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095014403010389/0000950144-03-010389-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095014404009027/0000950144-04-009027-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095014405009777/0000950144-05-009777-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095014406008638/g03245e10vk.htm,https://www.sec.gov/Archives/edgar/data/1101396/000095014407008334/0000950144-07-008334-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095014408006783/0000950144-08-006783-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095012309039317/0000950123-09-039317-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000095012310083126/0000950123-10-083126-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139611000012/0001101396-11-000012-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139612000027/0001101396-12-000027-index.html,- -,https://www.sec.gov/Archives/edgar/data/1101396/000110139614000032/0001101396-14-000032-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139615000033/0001101396-15-000033-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139616000097/0001101396-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139617000045/0001101396-17-000045-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000110139618000043/0001101396-18-000043-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000143774919023361/0001437749-19-023361-index.html,https://www.sec.gov/Archives/edgar/data/1101396/000143774920024322/0001437749-20-024322-index.htm,https://www.sec.gov/Archives/edgar/data/1101396/000143774921027229/0001437749-21-027229-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
