,https://roic.ai/company/NYT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,430700000,510100000,564400000,579300000,702100000,732100000,690500000,788400000,885300000,1037900000,1015400000,1093900000,999000000,959900000,1180500000,1623457000,1278700000,1181500000,1258900000,1318200000,1479000000,2280985000,1626500000,1674400000,1354400000,1197500000,1355600000,1055000000,794200000,855100000,824818000,860656000,937777000,912529000,937549000,647161000,763444000
11,COGS and Expenses,1180600000,1293000000,1398200000,1449000000,1599900000,1646900000,1609400000,1685100000,1893100000,2146300000,2180800000,2441700000,2411300000,2421500000,2559300000,2853534000,2641600000,2534100000,2687700000,2793700000,3019400000,3810514000,2967600000,2989500000,2375600000,2159300000,2313100000,1887200000,1421100000,1499100000,1442630000,1490011000,1553183000,1566705000,1643904000,1607383000,1803012000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400,- -,450000,410000,1515000,5184000,7341000,9020000,9897000,14510000,21580000,24057000,6558000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83100,85062000,85693000,58709000,54811000,51725000,41635000,38928000,26475000,27682000,26859000,727000,769000
14,Depreciation and Amortization,58400000,75200000,81500000,90700000,99000000,126200000,72400000,107900000,128800000,154300000,139000000,147900000,173900000,188200000,197500000,227973000,194008000,153347000,147747000,146788000,143769000,169853000,189561000,144409000,133775000,120950000,116454000,103775000,85477000,79455000,61597000,61723000,61871000,59011000,68045000,70704000,66990000
15,EBITDA,273200000,330800000,367900000,350200000,429900000,240300000,141200000,74300000,178100000,541500000,367700000,345800000,611300000,686000000,736000000,901059000,776308000,644647000,648247000,622888000,583769000,-356982000,474398000,80883000,155964100,382228000,198953000,399166000,243280000,160939000,200388000,134140000,196598000,261008000,259364000,186129000,358260000
16,EBITDA ratio,0.1960,0.2114,0.2177,0.2060,0.2430,0.1352,0.0829,0.0419,0.0882,0.2297,0.1526,0.1322,0.2133,0.2336,0.2351,0.2582,0.2574,0.2094,0.2009,0.1885,0.1731,-0.1085,0.1485,0.0274,0.0639,0.1597,0.0856,0.2006,0.1542,0.1013,0.1269,0.0862,0.1173,0.1493,0.1431,0.1044,0.1727
17,Operating Income,213200000,271700000,291400000,251000000,169000000,129900000,93700000,88400000,126600000,211300000,228600000,300000000,455000000,515300000,571300000,635921000,374403000,544868000,539550000,509953000,481054000,-520611000,227429000,-40636000,74059000,234120000,56707000,108340000,156087000,91948000,136585000,101604000,112366000,190167000,175582000,176256000,268034000
18,Operating Income ratio,0.1530,0.1736,0.1725,0.1476,0.0955,0.0731,0.0550,0.0498,0.0627,0.0896,0.0949,0.1147,0.1587,0.1755,0.1825,0.1822,0.1241,0.1770,0.1672,0.1544,0.1426,-0.1582,0.0712,-0.0138,0.0303,0.0978,0.0244,0.0544,0.0990,0.0579,0.0865,0.0653,0.0671,0.1088,0.0969,0.0988,0.1292
19,Total Other Income Expenses (Gains),1600000,-16100000,-5000000,1800000,-36500000,-15800000,-24900000,-88600000,-77300000,175900000,100000,-102100000,-17600000,-9800000,-32800000,37165000,-34503000,-53468000,-39750000,-33353000,-34954000,-31311000,-42429000,-30764000,-70259000,-56920000,-60407000,154960000,-61287000,-62048000,-39833000,-71078000,-1142000,-14076000,-11122000,-60824000,22467000
20,Income Before Tax,214800000,255600000,286400000,252800000,132500000,114100000,68800000,-200000,49300000,387200000,228700000,197900000,437400000,505500000,538500000,673086000,339900000,491400000,499800000,476600000,446100000,-551922000,185000000,-71400000,3800000,177200000,-3700000,263300000,94800000,29900000,96752000,30526000,111224000,176091000,164460000,115432000,290501000
21,Income Before Tax Ratio,0.1541,0.1634,0.1695,0.1487,0.0749,0.0642,0.0404,-0.0001,0.0244,0.1642,0.0949,0.0757,0.1526,0.1721,0.1720,0.1929,0.1127,0.1596,0.1549,0.1443,0.1323,-0.1678,0.0579,-0.0242,0.0016,0.0740,-0.0016,0.1323,0.0601,0.0188,0.0613,0.0196,0.0664,0.1007,0.0908,0.0647,0.1400
22,Income Tax expense (Gain),98500000,123400000,126100000,91800000,64300000,49300000,21800000,11100000,43200000,173900000,92800000,113400000,175100000,218900000,228300000,275550000,137600000,191600000,197800000,183500000,180200000,16608000,76137000,-5726000,2206000,68516000,36506000,103482000,37892000,-3541000,33910000,4421000,103956000,48631000,24494000,14595000,70530000
23,Net Income,116300000,132200000,160300000,167700000,266600000,64800000,47000000,-44700000,6100000,213300000,135900000,84500000,262300000,278900000,310200000,397536000,444700000,299700000,302700000,292600000,259800000,-543443000,208700000,-57800000,19900000,107700000,-39700000,133200000,65100000,33300000,63246000,29068000,4296000,125684000,139966000,100103000,219971000
24,Net Income ratio,0.0834,0.0845,0.0949,0.0986,0.1507,0.0365,0.0276,-0.0252,0.0030,0.0905,0.0564,0.0323,0.0915,0.0950,0.0991,0.1139,0.1474,0.0973,0.0938,0.0886,0.0770,-0.1652,0.0653,-0.0196,0.0082,0.0450,-0.0171,0.0669,0.0413,0.0210,0.0400,0.0187,0.0026,0.0719,0.0772,0.0561,0.1060
25,EPS,0.73,0.82,0.98,1.04,1.70,0.42,0.30,-0.29,0.04,1.02,0.70,0.43,1.36,1.48,1.77,2.37,2.83,1.98,2.01,1.98,1.79,-3.76,1.45,-0.40,0.14,0.74,-0.27,0.90,0.43,0.22,0.38,0.18,0.03,0.76,0.84,0.60,1.31
26,EPS Diluted,0.73,0.82,0.98,1.04,1.69,0.42,0.30,-0.29,0.04,1.02,0.70,0.43,1.33,1.45,1.73,2.32,2.78,1.94,1.98,1.96,1.78,-3.76,1.45,-0.40,0.14,0.71,-0.27,0.87,0.41,0.20,0.38,0.18,0.03,0.75,0.83,0.60,1.30
27,Weighted Average Shares Outstanding,159041096,160975610,163469388,161153846,156764706,154047619,156333333,154482759,150000000,208140000,193708000,194586000,193040000,188762000,175587000,167987000,157082000,151563000,150285000,147567000,145440000,144579000,143889000,143777000,144188000,145636000,147190000,148147000,149755000,150673000,164390000,161128000,161926000,164845000,166042000,166973000,168032000
28,Weighted Average Shares Outstanding Diluted,159041096,160975610,163469388,161153846,157692308,154047619,156333333,154482759,150000000,210609756,193962264,198125000,197150000,192846000,179244000,171597000,160081000,154805000,152840000,149357000,145877000,144579000,144158000,143777000,146367000,152600000,147190000,152693000,157774000,161323000,166423000,162817000,164263000,166939000,167545000,168038000,168649000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/71691/000095011295000622/0000950112-95-000622-index.html,https://www.sec.gov/Archives/edgar/data/71691/000095011296000742/0000950112-96-000742-index.html,https://www.sec.gov/Archives/edgar/data/71691/000091205797010816/0000912057-97-010816-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/71691/000104746903006543/0001047469-03-006543-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000104746904005136/0001047469-04-005136-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000104746905004590/0001047469-05-004590-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000104746906002366/0001047469-06-002366-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000110465907015629/0001104659-07-015629-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000110465908012938/0001104659-08-012938-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000110465909012370/0001104659-09-012370-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000119312510036478/0001193125-10-036478-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000119312511042247/0001193125-11-042247-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169112000003/0000071691-12-000003-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169113000004/0000071691-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169114000004/0000071691-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169115000004/0000071691-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169116000023/0000071691-16-000023-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169117000003/0000071691-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169118000004/0000071691-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169119000003/0000071691-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169120000003/0000071691-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169121000006/0000071691-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169122000006/0000071691-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7600000,25900000,75900000,12800000,76000000,32300000,85200000,118500000,42100000,41400000,91400000,39100000,106800000,36000000,63900000,69043000,52000000,37000000,39400000,42400000,44900000,72360000,51500000,56800000,36500000,369700000,175200000,820500000,482700000,176607000,105776000,100692000,182911000,241504000,230431000,286079000,319973000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245262000,227470000,218909000,238369000,- -,137831000,112596000,131357000,30000000,104800000,134800000,364900000,636743000,507639000,449535000,308589000,371301000,201785000,309080000,341075000
33,Cash and Short-Term Investments,7600000,25900000,75900000,12800000,76000000,32300000,85200000,118500000,42100000,41400000,91400000,39100000,106800000,36000000,63900000,69043000,52000000,282262000,266870000,261309000,283269000,72360000,189331000,169396000,167857000,399700000,280000000,955300000,847600000,813350000,613415000,550227000,491500000,612805000,432216000,595159000,661048000
34,Net Receivables,148100000,153800000,153500000,166100000,180800000,188600000,190600000,192200000,264200000,247800000,278000000,309200000,331300000,331900000,366800000,341863000,318500000,358300000,387700000,389300000,435300000,402639000,437900000,403800000,342100000,302200000,288400000,237900000,202300000,212690000,207180000,197355000,184885000,222464000,213402000,183692000,232908000
35,Inventory,35400000,31800000,35700000,43100000,50900000,46300000,40800000,51600000,47300000,30500000,42800000,33800000,32100000,32300000,28700000,35064000,31600000,23300000,29000000,32700000,32100000,36696000,26900000,24800000,16300000,16100000,21100000,10400000,1697000,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,24100000,21900000,53800000,108900000,65800000,70800000,72400000,70500000,139600000,92100000,50400000,96700000,145600000,121800000,155500000,164796000,157800000,-100762000,-80270000,-69409000,-92969000,673348000,10269000,26204000,-25657000,139200000,159100000,104800000,120703000,122055000,41937000,48596000,73314000,58677000,71213000,56984000,58752000
37,Total Current Assets,215200000,233400000,318900000,330900000,373500000,338000000,389000000,432800000,493200000,411800000,462600000,478800000,615800000,522000000,614900000,610766000,559900000,563100000,603300000,613900000,657700000,1185043000,664400000,624200000,500600000,857200000,748600000,1308400000,1172300000,1148095000,862532000,796178000,749699000,893946000,716831000,835835000,952708000
38,PP&E,437700000,484000000,644300000,814700000,972500000,1013400000,966600000,902800000,1112000000,1158800000,1276100000,1358000000,1366900000,1326200000,1218400000,1207160000,1166900000,1197400000,1187300000,1367400000,1468400000,1375365000,1468000000,1353600000,1250000000,1156800000,1085200000,860400000,713400000,665758000,632439000,596743000,640939000,638846000,627121000,594516000,574952000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1018300000,949200000,963300000,953700000,- -,1017800000,1017800000,1097700000,1103900000,1439900000,650920000,683400000,661200000,652200000,644500000,488900000,122700000,125900000,116422000,109085000,134517000,143549000,140282000,138674000,171657000,166360000
40,Intangible Assets,511000000,496000000,566400000,546700000,600300000,569400000,540500000,456200000,1421000000,1379500000,1394800000,419400000,428500000,364200000,351300000,1480098000,392500000,375300000,376700000,360700000,411100000,133448000,128500000,51400000,43500000,35400000,17600000,- -,- -,- -,- -,10600000,- -,6200000,3000000,- -,- -
41,Intangible Assets,511000000,496000000,566400000,546700000,600300000,569400000,540500000,456200000,1421000000,1379500000,1394800000,1437700000,1377700000,1327500000,1305000000,1480098000,1410300000,1393100000,1474400000,1464600000,1851000000,784368000,811900000,712600000,695700000,679900000,506500000,122700000,125900000,116422000,109085000,145117000,143549000,146482000,141674000,171657000,166360000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137300000,133100000,122300000,121900000,- -,86800000,245300000,227500000,218900000,238400000,145000000,137800000,112600000,131357000,134641000,82019000,42702000,216368000,189889000,313951000,202913000,243147000,213558000,251696000,286831000,413380000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188600000,186700000,165300000,141000000,- -,64700000,73800000,140300000,132100000,79800000,125681000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153046000,- -,- -,99518000,95800000
44,Other Non-Current Assets,131600000,191700000,182000000,222400000,241200000,228800000,231900000,203200000,189000000,187500000,243200000,-60500000,-41200000,1800000,94600000,308655000,150100000,161100000,171900000,153000000,237700000,240471000,391000000,598700000,510943000,457159000,461181000,472098000,344632000,446310000,499683000,444444000,169400000,304291000,351816000,319332000,360908000
45,Total Non-Current Assets,1080300000,1171700000,1392700000,1583800000,1814000000,1811600000,1739000000,1562200000,2722000000,2725800000,2914100000,3061100000,3023200000,2943100000,2880900000,2995913000,2878800000,3070700000,3201400000,3336000000,3875300000,2670885000,2808700000,2777500000,2588000000,2428500000,2134900000,1497900000,1400300000,1418379000,1555158000,1389217000,1350081000,1303177000,1372307000,1471854000,1611400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1295500000,1405100000,1711600000,1914700000,2187500000,2149600000,2128000000,1995000000,3215200000,3137600000,3376700000,3539900000,3639000000,3465100000,3495800000,3606679000,3438700000,3633800000,3804700000,3949900000,4533000000,3855928000,3473100000,3401700000,3088600000,3285700000,2883500000,2806300000,2572600000,2566474000,2417690000,2185395000,2099780000,2197123000,2089138000,2307689000,2564108000
48,Accounts Payable,- -,- -,- -,- -,106600000,125200000,133400000,139100000,115400000,121500000,156700000,171900000,189600000,163800000,191700000,178302000,171000000,177700000,176600000,190100000,201100000,242528000,202900000,174900000,119200000,114000000,103900000,97000000,91000000,94401000,96082000,104463000,125479000,111553000,116571000,123157000,127073000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,3100000,45500000,- -,124100000,- -,2599000,158300000,178100000,228000000,335400000,496500000,650898000,306700000,380000000,41000,- -,74920000,164000,- -,223662000,188377000,- -,- -,253630000,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38932000,138000,7214000,21906000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73528000,66178000,56639000,68118000,- -,92335000,51732000,44860000,72896000,74350000,66850000,58007000,58736000,60184000,66686000,- -,84044000,88419000,- -,- -
52,Other Current Liabilities,280100000,322100000,310600000,469500000,328500000,283200000,304200000,260000000,438300000,327000000,357100000,436300000,507900000,339900000,481800000,696469000,531600000,306372000,289622000,537561000,300782000,404568000,373765000,426568000,336399000,317504000,260130000,258586000,199493000,223709000,218942000,227588000,290178000,224077000,232705000,363591000,432079000
53,Total Current Liabilities,280100000,322100000,310600000,469500000,435100000,408400000,437600000,399100000,553700000,451200000,516900000,653700000,697500000,627800000,673500000,877370000,860900000,735700000,760400000,1119700000,1066500000,1297994000,975700000,1033200000,500500000,504400000,513300000,422600000,348500000,600508000,563585000,398737000,415657000,673304000,437695000,486748000,559152000
54,Long-Term Debt,273600000,216500000,390600000,377500000,337400000,319400000,213500000,206900000,460100000,523200000,637900000,636600000,535400000,597800000,598300000,636866000,598700000,728800000,725700000,471500000,898300000,720790000,678700000,580400000,769200000,996400000,698200000,696900000,684100000,426458000,242851000,246978000,243404000,- -,- -,52695000,63614000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,113500000,120800000,142300000,160500000,295200000,292400000,289400000,187700000,196900000,176600000,168700000,- -,- -,- -,- -,106247000,- -,- -,- -,- -,- -,- -,- -,- -,- -,68875000,73055000,58214000,65859000,63640000,- -,- -,- -,128431000,115229000,- -,- -
57,Other Non-Current Liabilities,42700000,41000000,45000000,34300000,52700000,71800000,112300000,199900000,403800000,441300000,441100000,624400000,678100000,708000000,775300000,705033000,829400000,900000000,926400000,958100000,1052000000,1011335000,840500000,1284100000,1214800000,1056125000,1092545000,996086000,631141000,749540000,784503000,691865000,543356000,354607000,364211000,440135000,400617000
58,Total Non-Current Liabilities,429800000,378300000,577900000,572300000,685300000,683600000,615200000,594500000,1060800000,1141100000,1247700000,1261000000,1213500000,1305800000,1373600000,1448146000,1428100000,1628800000,1652100000,1429600000,1950300000,1732125000,1519200000,1864500000,1984000000,2121400000,1863800000,1751200000,1381100000,1239638000,1027354000,938843000,786760000,483038000,479440000,492830000,464231000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80226000,78816000,77873000,76338000,74240000,6694000,6646000,6752000,- -,- -,- -,- -,6736000,- -,- -,6805000,6832000,55136000,52695000,63614000
61,Total Liabilities,709900000,700400000,888500000,1041800000,1120400000,1092000000,1052800000,993600000,1614500000,1592300000,1764600000,1914700000,1911000000,1933600000,2047100000,2325516000,2289000000,2364500000,2412500000,2549300000,3016800000,3030119000,2494900000,2897700000,2484500000,2625800000,2377100000,2173800000,1729600000,1840146000,1590939000,1337580000,1202417000,1156342000,917135000,979578000,1023383000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11100000,11400000,18700000,17900000,16738000,15600000,15700000,15900000,15100000,15200000,14886000,14900000,14900000,14900000,15000000,15100000,15100000,15200000,15252000,16908000,17003000,17108000,17396000,17504000,17609000,17675000
64,Retained Earnings,525100000,632200000,765100000,902500000,1133700000,1157000000,1159000000,1065300000,1023000000,1179700000,1262000000,1290900000,1488900000,1677500000,1600700000,1467103000,1354200000,1573700000,1790800000,1684900000,1825800000,1111006000,1170300000,998700000,1018600000,1126300000,1086600000,1219800000,1283500000,1291907000,1328744000,1331911000,1310136000,1506004000,1612658000,1672586000,1845343000
65,Other Comprehensive Income/Loss,-218400000,-261600000,-317600000,-321600000,-369400000,-437300000,-503300000,-555800000,-571500000,-660000000,-740900000,-807100000,-868300000,-5200000,3200000,-1081114000,-11800000,-114900000,-87000000,-95000000,-173000000,21000000,20000000,14000000,16000000,10000000,10000000,11000000,13000000,6000000,-1018188000,-2000000,5000000,3000000,4000000,-410181000,-383202000
66,Other Total Stockholders Equity,278900000,334100000,375600000,292000000,302800000,337900000,419500000,491900000,1149200000,1025600000,1091000000,1130200000,1096100000,- -,- -,878436000,- -,-205193000,-327458000,-204458000,-151752000,-327050000,-227000000,-523637000,-445458000,-491373000,-605340000,-613400000,-468790000,-586831000,499287000,-499099000,-434965000,-485619000,-462159000,45503000,- -
67,Total Stockholders Equity,585600000,704700000,823100000,872900000,1067100000,1057600000,1075200000,1001400000,1600700000,1545300000,1612100000,1625100000,1728100000,1531500000,1448700000,1281163000,1149700000,1269307000,1392242000,1400542000,1516248000,819842000,978200000,503963000,604042000,659927000,506360000,632500000,842910000,726328000,826751000,847815000,897279000,1040781000,1172003000,1325517000,1538720000
68,Total Liabilities And Stockholders Equity,1295500000,1405100000,1711600000,1914700000,2187500000,2149600000,2128000000,1995000000,3215200000,3137600000,3376700000,3539800000,3639100000,3465100000,3495800000,3606679000,3438700000,3633807000,3804742000,3949842000,4533048000,3849961000,3473100000,3401663000,3088542000,3285727000,2883460000,2806300000,2572510000,2566474000,2417690000,2185395000,2099696000,2197123000,2089138000,2305095000,2562103000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,-100000,- -,- -,- -,- -,-7000,-42000,58000,-48000,5967000,- -,37000,58000,-27000,40000,- -,90000,- -,- -,- -,84000,- -,- -,2594000,2005000
70,Total Liabilities & Equity,1295500000,1405100000,1711600000,1914700000,2187500000,2149600000,2128000000,1995000000,3215200000,3137600000,3376700000,3539900000,3639000000,3465100000,3495800000,3606679000,3438700000,3633800000,3804700000,3949900000,4533000000,3855928000,3473100000,3401700000,3088600000,3285700000,2883500000,2806300000,2572600000,2566474000,2417690000,2185395000,2099780000,2197123000,2089138000,2307689000,2564108000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/71691/000095011295000622/0000950112-95-000622-index.html,https://www.sec.gov/Archives/edgar/data/71691/000095011296000742/0000950112-96-000742-index.html,https://www.sec.gov/Archives/edgar/data/71691/000091205797010816/0000912057-97-010816-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/71691/000104746903006543/0001047469-03-006543-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000104746904005136/0001047469-04-005136-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000104746905004590/0001047469-05-004590-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000104746906002366/0001047469-06-002366-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000110465907015629/0001104659-07-015629-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000110465908012938/0001104659-08-012938-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000110465909012370/0001104659-09-012370-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000119312510036478/0001193125-10-036478-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000119312511042247/0001193125-11-042247-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169112000003/0000071691-12-000003-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169113000004/0000071691-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169114000004/0000071691-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169115000004/0000071691-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169116000023/0000071691-16-000023-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169117000003/0000071691-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169118000004/0000071691-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169119000003/0000071691-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169120000003/0000071691-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169121000006/0000071691-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/71691/000007169122000006/0000071691-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,266600000,64800000,47000000,-44700000,6100000,213300000,135900000,84500000,262300000,278900000,310200000,397536000,444700000,299700000,302700000,292600000,259800000,-543443000,208700000,-57800000,19900000,107700000,-39700000,133200000,65100000,33300000,63246000,29068000,4296000,125684000,139966000,100103000,219971000
74,Depreciation and Amortization,- -,- -,- -,- -,99000000,126200000,72400000,107900000,128800000,154300000,139000000,147900000,173900000,188200000,197500000,227973000,194008000,153347000,147747000,146788000,143769000,169853000,189561000,144409000,133775000,120950000,116454000,103775000,85477000,79455000,61597000,61723000,61871000,59011000,68045000,70704000,66990000
