,https://roic.ai/company/DHR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313616/000031361695000001/0000313616-95-000001-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361696000001/0000313616-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361697000017/0000313616-97-000017-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361698000004/0000313616-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361699000002/0000313616-99-000002-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313616/000110465904006799/a04-3138_110k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312505043666/d10k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312506055148/d10k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312507043522/d10k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312508034637/d10k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312509037468/0001193125-09-037468-index.html,https://www.sec.gov/Archives/edgar/data/313616/000119312510038977/0001193125-10-038977-index.html,https://www.sec.gov/Archives/edgar/data/313616/000119312511044412/d10k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312512076756/0001193125-12-076756-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361613000026/0000313616-13-000026-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361614000023/dhr-20131231x10xk.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361615000038/dhr-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361616000145/0000313616-16-000145-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361617000066/0000313616-17-000066-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361618000038/0000313616-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361619000035/0000313616-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361620000041/0000313616-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361621000045/0000313616-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361622000061/0000313616-22-000061-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,94600000,46500000,13000000,24100000,4800000,600000,- -,1700000,6800000,2000000,7900000,26400000,33300000,41900000,260300000,176924000,706559000,810463000,1230156000,609115000,315551000,317810000,239108000,392854000,1721920000,1632980000,537001000,1678700000,3115200000,3005600000,790800000,963700000,630300000,787800000,19912300000,6035000000,2586000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,94600000,46500000,13000000,24100000,4800000,600000,- -,1700000,6800000,2000000,7900000,26400000,33300000,41900000,260300000,176924000,706559000,810463000,1230156000,609115000,315551000,317810000,239108000,392854000,1721920000,1632980000,537001000,1678700000,3115200000,3005600000,790800000,963700000,630300000,787800000,19912300000,6035000000,2586000000
34,Net Receivables,33800000,93700000,87100000,84600000,81000000,97500000,92600000,116800000,135400000,193400000,224700000,266700000,322600000,467100000,544700000,704214000,585318000,759028000,868097000,1231065000,1407858000,1674970000,1984384000,1894585000,1916831000,2218975000,3049895000,3267300000,3451600000,3633800000,3964100000,3186100000,3521800000,3489600000,3191400000,4045000000,4631000000
35,Inventory,42700000,125300000,107200000,96300000,74300000,125100000,109600000,101300000,107600000,142400000,201900000,204200000,209400000,323500000,324700000,460610000,408236000,485587000,536227000,703996000,825263000,1005360000,1193615000,1142309000,993016000,1225151000,1781352000,1813400000,1783500000,1831500000,2095400000,1709400000,1840800000,1910100000,1628300000,2292000000,2767000000
36,Other Current Assets,5400000,123900000,78300000,8300000,8700000,14200000,13900000,10200000,28000000,50900000,32000000,49400000,53000000,54400000,72400000,132558000,174502000,332188000,307671000,374514000,396347000,396762000,632660000,757371000,588861000,652407000,904109000,828400000,763400000,960400000,986400000,805900000,857100000,906300000,864600000,1430000000,1664000000
37,Total Current Assets,176500000,389400000,285600000,213300000,168800000,237400000,216100000,230000000,277800000,388700000,466500000,546700000,618300000,886900000,1202100000,1474306000,1874615000,2387266000,2942151000,2918690000,2945019000,3394902000,4049767000,4187119000,5220628000,5729513000,6272357000,7587800000,9113700000,9431300000,7836700000,6665100000,6850000000,7093800000,25596600000,13802000000,11648000000
38,PP&E,49300000,125600000,125900000,118500000,125200000,195800000,206900000,212800000,235700000,273100000,291900000,319600000,335200000,471000000,500200000,575531000,533572000,597379000,573365000,752966000,748172000,874368000,1108634000,1108653000,1143331000,1192303000,2100990000,2140900000,2211300000,2203000000,2825600000,2354000000,2454600000,2511200000,2302000000,3262000000,3790000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2292657000,- -,- -,- -,- -,6596123000,9241011000,9210581000,9817923000,10758402000,14474323000,15462000000,16038200000,16964200000,25070300000,23826900000,25138600000,25906000000,22712500000,35420000000,41184000000
40,Intangible Assets,22400000,197200000,219600000,207500000,203900000,305500000,306800000,320400000,337600000,442700000,608100000,792800000,853400000,1284600000,1292300000,1863900000,- -,3007704000,3341972000,4730532000,5309138000,1698324000,2564973000,2519422000,2655503000,3324502000,5840209000,6344000000,6247700000,7369200000,11270300000,11818000000,11667100000,11673100000,9749700000,21282000000,22843000000
41,Intangible Assets,22400000,197200000,219600000,207500000,203900000,305500000,306800000,320400000,337600000,442700000,608100000,792800000,853400000,1284600000,1292300000,1863900000,2292657000,3007704000,3341972000,4730532000,5309138000,8294447000,11805984000,11730003000,12473426000,14082904000,20314532000,21806000000,22285900000,24333400000,36340600000,35644900000,36805700000,37579100000,32462200000,56702000000,64027000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,511283000,521882000,548300000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,20700000,28500000,24200000,36500000,9300000,5800000,5200000,6600000,21400000,30400000,119500000,106000000,72800000,96200000,52500000,117942000,119639000,36796000,32562000,91705000,160780000,300434000,507550000,464353000,758035000,701127000,739686000,858000000,1061300000,1024000000,1219300000,631300000,538300000,648400000,1720800000,2395000000,3719000000
45,Total Non-Current Assets,92400000,351300000,369700000,362500000,338400000,507100000,518900000,539800000,594700000,746200000,1019500000,1218400000,1261400000,1851800000,1845000000,2557373000,2945868000,3641879000,3947899000,5575203000,6218090000,9469249000,13422168000,13303009000,14374792000,16487617000,23677090000,25353200000,25558500000,27560400000,40385500000,38630200000,39798600000,40738700000,36485000000,62359000000,71536000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,268900000,740700000,655300000,575800000,507200000,744500000,735000000,769800000,872500000,1134900000,1486000000,1765100000,1879700000,2738700000,3047100000,4031679000,4820483000,6029145000,6890050000,8493893000,9163109000,12864151000,17471935000,17490128000,19595420000,22217130000,29949447000,32941000000,34672200000,36991700000,48222200000,45295300000,46648600000,47832500000,62081600000,76161000000,83184000000
48,Accounts Payable,- -,- -,- -,- -,- -,72400000,66100000,62400000,72400000,94600000,92300000,110200000,135200000,158600000,213200000,262095000,235501000,366587000,472994000,612066000,782854000,952337000,1125600000,1108961000,1051487000,1215818000,1422438000,1546300000,1778200000,1875000000,2049000000,1485000000,1509900000,1712800000,1514400000,2049000000,2569000000
49,Short-Term Debt,2300000,91400000,1500000,2200000,700000,900000,2300000,31500000,2200000,68800000,15000000,16800000,35500000,59600000,33600000,81633000,72356000,112542000,14385000,424763000,183951000,10855000,330480000,66159000,44186000,40761000,98392000,55500000,62300000,71900000,845200000,2594800000,194700000,51800000,370200000,200000000,215000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194500000,224900000,566900000,422300000,293900000,386400000,292400000,356500000,552000000,707000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,730000000,686500000,766500000,633700000,539800000,666000000,685200000,687800000,1212000000,1613000000
52,Other Current Liabilities,47600000,175000000,139100000,142600000,143300000,108000000,105500000,118500000,160800000,232800000,296800000,347600000,353500000,470500000,462000000,674812000,709437000,786183000,892624000,1165457000,1301781000,1496364000,1443773000,1569977000,1665287000,2048175000,2651198000,1874300000,2000400000,2683000000,2642500000,2254400000,2421700000,2391700000,2359700000,3941000000,3743000000
53,Total Current Liabilities,49900000,266400000,140600000,144800000,144000000,181300000,173900000,212400000,235400000,396200000,404100000,474600000,524200000,688700000,708800000,1018540000,1017294000,1265312000,1380003000,2202286000,2268586000,2459556000,2899853000,2745097000,2760960000,3304754000,4172028000,4206100000,4527400000,5396400000,6170400000,6874000000,4792300000,4841500000,4932100000,7402000000,8140000000
54,Long-Term Debt,167000000,397600000,393100000,246200000,143000000,186100000,182200000,137300000,131400000,116500000,268600000,219600000,162700000,412900000,341000000,713557000,1119333000,1197422000,1284498000,925535000,857771000,2422861000,3395764000,2553170000,2889023000,2783907000,5206800000,5287600000,3436700000,3401500000,12025200000,9674200000,10327400000,9688500000,21516700000,21978000000,23057000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105200000,170200000,186800000,160400000,92700000,104900000,113800000,118100000,205000000,213000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2100000,11500000,18300000,29100000,28500000,72100000,59600000,71700000,142000000,146100000,227000000,270600000,275900000,285300000,288500000,357249000,455270000,556812000,578840000,746390000,956402000,1337074000,2090630000,2383299000,2315261000,2355703000,3598851000,4258200000,4086500000,4557200000,6102200000,5577600000,5056200000,4962000000,5232800000,6799000000,6597000000
58,Total Non-Current Liabilities,169100000,409100000,411400000,275300000,171500000,258200000,241800000,209000000,273400000,262600000,495600000,490200000,438600000,698200000,629500000,1070806000,1574603000,1754234000,1863338000,1671925000,1814173000,3759935000,5486394000,4936469000,5204284000,5139610000,8805651000,9651000000,7693400000,8145500000,18287800000,15344500000,15488500000,14764300000,26867600000,28982000000,29867000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,796900000,974000000,1096000000
61,Total Liabilities,219000000,675500000,552000000,420100000,315500000,439500000,415700000,421400000,508800000,658800000,899700000,964800000,962800000,1386900000,1338300000,2089346000,2591897000,3019546000,3243341000,3874211000,4082759000,6219491000,8386247000,7681566000,7965244000,8444364000,12977679000,13857100000,12220800000,13541900000,24458200000,22218500000,20280800000,19605800000,31799700000,36384000000,38007000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1599600000,3268000000,3268000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,1556000,1573000,1665000,1677000,3369000,3385000,3412000,3526000,3544000,3589000,7295000,7611000,7700000,7900000,7900000,8000000,8100000,8100000,8200000,8400000,9000000,9000000
64,Retained Earnings,-111300000,-95900000,-77000000,-33000000,28100000,63800000,77200000,108800000,123100000,200700000,304400000,506800000,655700000,978700000,1321300000,1635481000,1921470000,2198345000,2719853000,3448122000,4324369000,5421809000,6820756000,8095155000,9205142000,10945928000,13056869000,15379900000,18005300000,20323000000,21012300000,20703500000,22806100000,25163000000,24166300000,27159000000,32827000000
65,Other Comprehensive Income/Loss,-6700000,-13300000,-10500000,-22000000,-33100000,-51100000,-73600000,-94100000,-122600000,-148600000,-168600000,-218800000,-263200000,-441600000,-552700000,-632573000,-731422000,-105973000,-74607000,116037000,-109279000,191985000,542690000,-103100000,346944000,345386000,-36937000,-59200000,214500000,-1433700000,-2311200000,-3021700000,-1994200000,-2791100000,-3068300000,-368000000,-1027000000
66,Other Total Stockholders Equity,167900000,174400000,190800000,210700000,196700000,292300000,315700000,333700000,363200000,424000000,450500000,512300000,524400000,814700000,938700000,937869000,1036965000,915562000,999786000,1052154000,861875000,1027454000,1718716000,1812963000,2074501000,2412401000,3877240000,3688100000,4157600000,4480900000,4981200000,5312900000,5538200000,5834300000,7564600000,9698000000,10090000000
67,Total Stockholders Equity,49900000,65200000,103300000,155700000,191700000,305000000,319300000,348400000,363700000,476100000,586300000,800300000,916900000,1351800000,1708800000,1942333000,2228586000,3009599000,3646709000,4619682000,5080350000,6644660000,9085688000,9808562000,11630176000,13711010000,16904783000,19016500000,22385300000,23378100000,23690300000,23002800000,26358200000,28214400000,30270600000,39766000000,45167000000
68,Total Liabilities And Stockholders Equity,268900000,740700000,655300000,575800000,507200000,744500000,735000000,769800000,872500000,1134900000,1486000000,1765100000,1879700000,2738700000,3047100000,4031679000,4820483000,6029145000,6890050000,8493893000,9163109000,12864151000,17471935000,17490128000,19595420000,22155374000,29882462000,32873600000,34606100000,36920000000,48148500000,45221300000,46639000000,47820200000,62070300000,76150000000,83174000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61756000,66985000,67400000,66100000,71700000,73700000,74000000,9600000,12300000,11300000,11000000,10000000
70,Total Liabilities & Equity,268900000,740700000,655300000,575800000,507200000,744500000,735000000,769800000,872500000,1134900000,1486000000,1765100000,1879700000,2738700000,3047100000,4031679000,4820483000,6029145000,6890050000,8493893000,9163109000,12864151000,17471935000,17490128000,19595420000,22217130000,29949447000,32941000000,34672200000,36991700000,48222200000,45295300000,46648600000,47832500000,62081600000,76161000000,83184000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313616/000031361695000001/0000313616-95-000001-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361696000001/0000313616-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361697000017/0000313616-97-000017-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361698000004/0000313616-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361699000002/0000313616-99-000002-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313616/000110465904006799/a04-3138_110k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312505043666/d10k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312506055148/d10k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312507043522/d10k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312508034637/d10k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312509037468/0001193125-09-037468-index.html,https://www.sec.gov/Archives/edgar/data/313616/000119312510038977/0001193125-10-038977-index.html,https://www.sec.gov/Archives/edgar/data/313616/000119312511044412/d10k.htm,https://www.sec.gov/Archives/edgar/data/313616/000119312512076756/0001193125-12-076756-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361613000026/0000313616-13-000026-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361614000023/dhr-20131231x10xk.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361615000038/dhr-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361616000145/0000313616-16-000145-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361617000066/0000313616-17-000066-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361618000038/0000313616-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361619000035/0000313616-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361620000041/0000313616-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/313616/000031361621000045/0000313616-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361622000061/0000313616-22-000061-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,35700000,13300000,31600000,17700000,81700000,108400000,207800000,154800000,182900000,261600000,324213000,297665000,290391000,536834000,746000000,897800000,1122029000,1369904000,1317631000,1151704000,1793000000,2172264000,2392200000,2695000000,2598400000,3357400000,2553700000,2492100000,2650900000,3008200000,3646000000,6433000000
