,https://roic.ai/company/ODFL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0349,-0.0167,0.0256,0.0151,0.0189,-0.0234,0.0887,0.1015,0.1040,0.1143,0.1040,0.0984,0.1083,0.1251,0.1328,0.1435,0.1559,0.1499,0.1390,0.1325,0.1468,0.1726,0.1873,0.1991,0.2100,0.2222,0.2246,0.2334,0.2587,0.2623,0.2903,0.3139
17,Operating Income,134800000,22900000,29000000,30400000,36800000,30500000,12950000,20011000,22577000,28056000,26753000,24725000,36286000,51216000,70608000,97585000,130485000,129937000,129070000,70391000,137739000,234072000,285254000,338438000,441307000,498240000,483835000,575886000,817051000,818706000,906882000,1391602000
18,Operating Income ratio,1.0000,0.1469,0.1577,0.1480,0.1511,0.1229,0.0442,0.0609,0.0589,0.0658,0.0562,0.0492,0.0641,0.0767,0.0857,0.0919,0.1020,0.0927,0.0839,0.0565,0.0930,0.1243,0.1352,0.1448,0.1583,0.1676,0.1617,0.1715,0.2021,0.1992,0.2259,0.2647
19,Total Other Income Expenses (Gains),- -,-12700000,-15000000,-17200000,-20400000,-22700000,-3040000,-3820000,-4642000,-4599000,-4300000,-5208000,-6021000,-5919000,-6021000,-7314000,-11142000,-14142000,-16404000,-13226000,-13313000,-13988000,-12156000,-9752000,-8793000,-8223000,-6248000,-54000,-1538000,5243000,-5518000,-3179000
20,Income Before Tax,- -,10200000,14000000,13200000,16400000,7800000,9910000,16191000,17935000,23457000,22453000,19517000,30265000,45297000,64587000,90271000,119343000,115795000,112666000,57165000,124426000,220084000,273098000,328686000,432514000,490017000,477587000,575832000,815513000,823949000,901364000,1388423000
21,Income Before Tax Ratio,- -,0.0654,0.0761,0.0643,0.0674,0.0314,0.0338,0.0492,0.0468,0.0550,0.0472,0.0389,0.0534,0.0679,0.0784,0.0850,0.0933,0.0826,0.0733,0.0459,0.0840,0.1169,0.1294,0.1406,0.1551,0.1649,0.1596,0.1715,0.2017,0.2005,0.2245,0.2641
22,Income Tax expense (Gain),- -,3900000,5300000,4900000,6400000,3000000,3766000,6153000,6815000,9056000,8757000,7612000,11803000,17697000,25595000,36388000,46774000,43963000,43989000,22294000,48775000,80614000,103646000,122573000,165000000,185327000,181822000,112058000,209845000,208431000,228682000,354048000
23,Net Income,4700000,200000,8000000,8300000,10000000,4800000,6144000,10038000,11120000,14401000,13696000,11905000,18462000,27600000,38992000,53475000,72569000,71832000,68677000,34871000,75651000,139470000,169452000,206113000,267514000,304690000,295765000,463774000,605668000,615518000,672682000,1034375000
24,Net Income ratio,0.0349,0.0013,0.0435,0.0404,0.0411,0.0193,0.0210,0.0305,0.0290,0.0338,0.0288,0.0237,0.0326,0.0413,0.0473,0.0504,0.0567,0.0513,0.0447,0.0280,0.0511,0.0741,0.0803,0.0882,0.0960,0.1025,0.0989,0.1381,0.1498,0.1498,0.1675,0.1968
25,EPS,0.06,0.00,0.08,0.09,0.11,0.05,0.06,0.11,0.12,0.15,0.14,0.13,0.19,0.23,0.32,0.42,0.58,0.57,0.55,0.28,0.60,1.08,1.31,1.59,2.07,2.38,2.37,3.75,4.93,5.11,5.71,8.96
26,EPS Diluted,0.06,0.00,0.08,0.09,0.10,0.05,0.06,0.11,0.12,0.15,0.14,0.13,0.19,0.23,0.32,0.42,0.58,0.57,0.55,0.28,0.60,1.08,1.31,1.59,2.07,2.38,2.37,3.75,4.92,5.11,5.68,8.90
27,Weighted Average Shares Outstanding,76365553,113732098,95777286,95354236,94779676,94125850,94572973,94678875,94676300,94684080,94688443,94688443,98254027,121838886,123559581,125796010,125835778,125835778,125836875,125836875,125835750,128578500,129247500,129247500,129243000,128067000,124668000,123462000,122886000,120414000,117737000,115411000
28,Weighted Average Shares Outstanding Diluted,76365553,113732098,95777286,95354236,95576033,94125850,94779705,94792781,94806905,94728185,94700129,94703900,98450572,121979264,123643447,125807586,125835778,125835778,125836875,125836875,125835750,128578500,129247500,129247500,129243000,128067000,124731000,123610500,123030000,120609000,118493000,116162000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/878927/000102140803004927/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312504038217/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312505052687/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312506056599/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312507043879/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312508043137/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312509042346/0001193125-09-042346-index.html,https://www.sec.gov/Archives/edgar/data/878927/000119312510044645/0001193125-10-044645-index.html,https://www.sec.gov/Archives/edgar/data/878927/000119312511049846/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312512087645/0001193125-12-087645-index.html,https://www.sec.gov/Archives/edgar/data/878927/000087892713000012/0000878927-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/878927/000087892714000010/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/878927/000087892715000006/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/878927/000087892716000055/0000878927-16-000055-index.html,https://www.sec.gov/Archives/edgar/data/878927/000087892717000005/0000878927-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/878927/000087892718000005/0000878927-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/878927/000156459019004755/0001564590-19-004755-index.html,https://www.sec.gov/Archives/edgar/data/878927/000156459020006626/0001564590-20-006626-index.html,https://www.sec.gov/Archives/edgar/data/878927/000156459021008056/0001564590-21-008056-index.htm,https://www.sec.gov/Archives/edgar/data/878927/000156459022006303/0001564590-22-006303-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,1353000,674000,659000,781000,585000,761000,19259000,1051000,742000,986000,2564000,6328000,24104000,4171000,5450000,75850000,12857000,30174000,34787000,11472000,10171000,127462000,190282000,403571000,401430000,462564000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85160000,24375000,4861000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330274000,254433000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,1353000,674000,659000,781000,585000,761000,19259000,1051000,742000,986000,87724000,30703000,28965000,4171000,5450000,75850000,12857000,30174000,34787000,11472000,10171000,127462000,190282000,403571000,731704000,716997000
34,Net Receivables,- -,- -,- -,- -,- -,- -,40873000,44891000,51179000,56144000,58723000,52158000,68005000,75578000,97038000,127199000,144991000,158161000,146536000,140918000,180700000,217922000,220363000,258294000,347900000,345048000,334489000,415781000,468260000,408165000,454222000,599102000
35,Inventory,- -,- -,- -,- -,- -,- -,4514000,5052000,6325000,6428000,6912000,7346000,7988000,8833000,10551000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,9524000,9243000,11626000,12901000,13976000,13601000,19293000,15908000,18840000,22028000,23652000,27413000,33729000,29086000,36432000,38080000,41808000,44511000,50456000,25210000,37962000,41410000,47687000,55098000,57413000,67688000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,56264000,59860000,69789000,76254000,80196000,73866000,114545000,101370000,127171000,150213000,256367000,216277000,209230000,174175000,222582000,331852000,275028000,332979000,433143000,381730000,382622000,584653000,706229000,866834000,1243339000,1383787000
38,PP&E,- -,- -,- -,- -,- -,- -,109175000,124830000,158998000,166962000,201350000,218183000,255827000,315768000,363268000,466071000,607588000,721450000,824485000,939495000,964216000,1126950000,1379305000,1543059000,1743245000,2023448000,2241402000,2404459000,2754943000,2968835000,2914031000,3215686000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19463000,19463000,19463000,19463000,19463000,19463000,19463000,19463000,19463000,19463000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23518000,25550000,24635000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23518000,25550000,24635000,19463000,19463000,19463000,19463000,19463000,19463000,19463000,19463000,19463000,19463000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,5287000,6371000,13012000,14363000,15045000,18791000,19106000,17421000,18928000,25364000,28238000,19803000,15640000,20973000,33620000,34809000,38718000,36588000,40386000,41863000,52760000,59849000,64648000,140436000,212040000,222071000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,114462000,131201000,172010000,181325000,216395000,236974000,274933000,333189000,382196000,491435000,635826000,764771000,865675000,985103000,1017299000,1181222000,1437486000,1599110000,1803094000,2084774000,2313625000,2483771000,2839054000,3128734000,3126071000,3437757000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,170726000,191061000,241799000,257579000,296591000,310840000,389478000,434559000,509367000,641648000,892193000,981048000,1074905000,1159278000,1239881000,1513074000,1712514000,1932089000,2236237000,2466504000,2696247000,3068424000,3545283000,3995568000,4369410000,4821544000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,14860000,14161000,21350000,22944000,26515000,13799000,16841000,12185000,28126000,30967000,37686000,33341000,40999000,33468000,29221000,42096000,44891000,36788000,45314000,66774000,89216000,73729000,78518000,70254000,68511000,82519000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,3659000,5146000,9093000,21811000,9035000,8408000,11139000,22440000,22030000,17930000,12697000,12193000,11972000,36676000,37130000,39354000,38978000,35715000,35714000,26488000,- -,50000000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8711000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,17346000,19777000,24038000,26827000,27860000,28359000,35150000,43707000,48298000,62131000,71163000,82189000,89219000,77981000,103695000,123360000,141270000,159619000,174610000,192140000,199420000,227320000,278214000,295831000,304619000,381715000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,35865000,39084000,54481000,71582000,63410000,50566000,63130000,78332000,98454000,111028000,121546000,127723000,142190000,148125000,170046000,204810000,225139000,232122000,255638000,285402000,288636000,351049000,356732000,366085000,373130000,464234000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,39482000,42155000,61496000,43059000,74507000,90014000,82084000,74986000,57424000,111026000,261885000,251561000,240017000,268856000,234087000,229831000,201429000,155714000,120000000,107317000,104975000,45000000,45000000,45000000,99931000,99947000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,13377000,16617000,19549000,20798000,21645000,20781000,25855000,31263000,39315000,42773000,52115000,62312000,73968000,80722000,90768000,134916000,153186000,189117000,220783000,235054000,272599000,189960000,247669000,261964000,220210000,248718000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,7074000,7704000,9636000,11102000,12295000,12840000,14846000,17437000,22646000,31770000,39027000,50000000,60601000,68575000,76331000,86998000,106791000,123054000,145752000,154094000,178879000,205561000,215399000,241802000,349851000,328838000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,59933000,66476000,90681000,74959000,108447000,123635000,122785000,123686000,119385000,185569000,353027000,363873000,374586000,418153000,401186000,451745000,461406000,467885000,486535000,496465000,556453000,440521000,508068000,548766000,669992000,677503000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,95798000,105560000,145162000,146541000,171857000,174201000,185915000,202018000,217839000,296597000,474573000,491596000,516776000,566278000,571232000,656555000,686545000,700007000,742173000,781867000,845089000,791570000,864800000,914851000,1043122000,1141737000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,835000,831000,831000,831000,831000,831000,1065000,1606000,2485000,3728000,3728000,3728000,3728000,3728000,5593000,5744000,8616000,8616000,8609000,8441000,8242000,8238000,8123000,7969000,11706000,11501000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,50741000,60779000,71899000,86300000,99996000,111901000,130363000,157963000,196955000,250430000,322999000,394831000,463508000,498379000,574030000,713500000,882952000,1089065000,1351054000,1541795000,1707450000,2130257000,2530184000,2850318000,3088131000,3493861000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-70924000,-83064000,-97471000,-116249000,-130018000,-151333000,-175117000,-197257000,-232375000,-263104000,-308894000,-365174000,-428944000,-509233000,-580303000,-621982000,-648919000,-730074000,-831527000,-929377000,-1043582000,-1175470000,-1318209000,-1464235000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,94276000,106955000,121378000,140156000,153925000,175240000,247252000,270229000,324463000,353997000,399787000,456067000,519837000,600126000,669329000,759257000,783320000,864475000,965928000,1063778000,1179048000,1313829000,1460385000,1686665000,226451000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,74928000,85501000,96637000,111038000,124734000,136639000,203563000,232541000,291528000,345051000,417620000,489452000,558129000,593000000,668649000,856519000,1025969000,1232082000,1494064000,1684637000,1851158000,2276854000,2680483000,3080717000,3326288000,3679807000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,170726000,191061000,241799000,257579000,296591000,310840000,389478000,434559000,509367000,641648000,892193000,981048000,1074905000,1159278000,1239881000,1513074000,1712514000,1932089000,2236237000,2466504000,2696247000,3068424000,3545283000,3995568000,4369410000,4821544000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,170726000,191061000,241799000,257579000,296591000,310840000,389478000,434559000,509367000,641648000,892193000,981048000,1074905000,1159278000,1239881000,1513074000,1712514000,1932089000,2236237000,2466504000,2696247000,3068424000,3545283000,3995568000,4369410000,4821544000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/878927/000102140803004927/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312504038217/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312505052687/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312506056599/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312507043879/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312508043137/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312509042346/0001193125-09-042346-index.html,https://www.sec.gov/Archives/edgar/data/878927/000119312510044645/0001193125-10-044645-index.html,https://www.sec.gov/Archives/edgar/data/878927/000119312511049846/d10k.htm,https://www.sec.gov/Archives/edgar/data/878927/000119312512087645/0001193125-12-087645-index.html,https://www.sec.gov/Archives/edgar/data/878927/000087892713000012/0000878927-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/878927/000087892714000010/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/878927/000087892715000006/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/878927/000087892716000055/0000878927-16-000055-index.html,https://www.sec.gov/Archives/edgar/data/878927/000087892717000005/0000878927-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/878927/000087892718000005/0000878927-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/878927/000156459019004755/0001564590-19-004755-index.html,https://www.sec.gov/Archives/edgar/data/878927/000156459020006626/0001564590-20-006626-index.html,https://www.sec.gov/Archives/edgar/data/878927/000156459021008056/0001564590-21-008056-index.htm,https://www.sec.gov/Archives/edgar/data/878927/000156459022006303/0001564590-22-006303-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,200000,8000000,8300000,10000000,4800000,6144000,10038000,11120000,14401000,13696000,11905000,18462000,27600000,38992000,53475000,72569000,71832000,68677000,34871000,75651000,139470000,169452000,206113000,267514000,304690000,295765000,463774000,605668000,615518000,672682000,1034375000
74,Depreciation and Amortization,- -,-6700000,-8600000,-10100000,-11800000,-13600000,16091000,17173000,21887000,25295000,27037000,29888000,31081000,38210000,44823000,55897000,67634000,79863000,87113000,94784000,80362000,90820000,110743000,127072000,146466000,165343000,189867000,205763000,230357000,253681000,261267000,259899000
75,Deferred Income Tax,- -,-900000,1400000,1600000,1000000,2500000,3355000,3895000,2689000,1192000,1640000,-260000,2277000,4539000,7989000,-2350000,7703000,8553000,5352000,10778000,7624000,43348000,17682000,32736000,25544000,43642000,34808000,-82639000,57709000,13157000,-41011000,30165000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1410000,3242000,4894000,16717000,11337000,15039000
77,Change in Working Capital,- -,3800000,- -,- -,- -,20399000,- -,377000,-5468000,-10636000,12114000,6514000,28115000,-28377000,5679000,10468000,95636000,-46267000,-21514000,-40990000,26486000,74506000,-77153000,50968000,76648000,-81177000,-2342000,139618000,115893000,151252000,369460000,-141199000
78,Accounts Receivable,- -,6000000,-2900000,-6200000,-1700000,-6800000,-3453000,-4018000,-1094000,-4965000,-2579000,6565000,-15847000,-7573000,-21460000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,2600000,-300000,-800000,-800000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,6000000,-2900000,-6200000,-1700000,-6800000,4356000,-699000,7189000,1594000,3571000,-12716000,3042000,-4656000,15941000,5662000,6719000,-4345000,7658000,-7531000,-4247000,12875000,2795000,-8103000,8526000,21460000,22442000,-15487000,4789000,-8264000,-1743000,14008000
81,Other Working Capital,- -,- -,- -,- -,- -,20399000,20399000,20776000,15308000,4672000,16786000,23300000,51415000,23038000,28717000,39185000,134821000,88554000,67040000,26050000,52536000,127042000,49889000,100857000,177505000,96328000,93986000,233604000,349497000,500749000,870209000,4508000
82,Other Non-Cash Items,- -,13700000,20500000,16200000,23400000,-899000,-855000,-3696000,14043000,9737000,-12325000,-15788000,-35595000,33092000,-7638000,-3868000,-88932000,43755000,56878000,31273000,-49047000,-70764000,107332000,-66223000,-124498000,121382000,46075000,-193464000,-114405000,-66437000,-340711000,14327000
83,Cash Provided by Operating Activities,- -,10100000,21300000,16000000,22600000,13200000,24735000,27787000,44271000,39989000,42162000,32259000,44340000,75064000,89845000,113622000,154610000,157736000,196506000,130716000,141076000,277380000,328056000,350666000,391674000,553880000,565583000,536294000,900116000,983888000,933024000,1212606000
84,CAPEX,- -,-16500000,-21300000,-21300000,-27100000,-27800000,-38324000,-34223000,-45079000,-35992000,-63083000,-43614000,-69992000,-101903000,-93699000,-142596000,-199098000,-186828000,-181499000,-210888000,-106347000,-250214000,-373193000,-295606000,-367680000,-462059000,-417941000,-382125000,-588292000,-479325000,-225081000,-550077000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23000000,-19000000,-20000000,-7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-302346000,-160675000,-42391000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-360160000,-359389000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,217186000,221460000,61875000,4861000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29988000,435130000
88,Other Investing Activites,- -,4500000,1700000,700000,1600000,1300000,1031000,1573000,-14610000,1843000,2053000,-3349000,887000,3462000,1593000,5108000,5212000,4797000,3216000,2303000,2050000,5436000,12018000,11235000,21866000,24442000,10541000,14379000,7901000,5686000,3590000,19048000
89,Cash Used for Investing Activites,- -,-12000000,-19600000,-20600000,-25500000,-26500000,-37293000,-32650000,-59689000,-34149000,-61030000,-46963000,-69105000,-98441000,-92106000,-160488000,-298046000,-141246000,-165799000,-203724000,-104297000,-244778000,-361175000,-284371000,-345814000,-437617000,-407400000,-367746000,-580391000,-473639000,-551663000,-455288000
90,Debt Repayment,- -,-43700000,-5800000,- -,-7600000,-7200000,-25187000,-5680000,-7184000,-9537000,-10629000,-10693000,-10068000,-12447000,-22120000,-22399000,-17901000,-12726000,-12931000,-11972000,-36681000,-40382000,-40284000,-48978000,-35715000,-37778000,-28830000,-9975000,-50000000,- -,-45000000,- -
91,Common Stock Issued,- -,17400000,- -,-10400000,- -,300000,- -,24000,16000,- -,- -,- -,47878000,- -,19753000,- -,- -,- -,- -,- -,- -,48400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5532000,-114117000,-130316000,-8013000,-163265000,-240960000,-364057000,-536465000
