,https://roic.ai/company/PLUS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1022408/000095013397002378/0000950133-97-002378-index.html,- -,https://www.sec.gov/Archives/edgar/data/1022408/000102240899000007/0001022408-99-000007-index.html,https://www.sec.gov/Archives/edgar/data/1022408/000102240800000012/0001022408-00-000012-index.html,https://www.sec.gov/Archives/edgar/data/1022408/000102240801500006/0001022408-01-500006-index.html,https://www.sec.gov/Archives/edgar/data/1022408/000102240802000020/0001022408-02-000020-index.html,https://www.sec.gov/Archives/edgar/data/1022408/000102240803000008/0001022408-03-000008-index.html,https://www.sec.gov/Archives/edgar/data/1022408/000102240804000050/0001022408-04-000050-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1022408/000102240808000003/0001022408-08-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240808000030/0001022408-08-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240809000017/0001022408-09-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240810000024/0001022408-10-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240811000019/0001022408-11-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240812000020/0001022408-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240813000025/0001022408-13-000025-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1022408/000102240815000017/0001022408-15-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240816000072/0001022408-16-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240817000009/0001022408-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240818000014/0001022408-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240819000012/0001022408-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000114036120012223/0001140361-20-012223-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240821000014/0001022408-21-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,400000,6000000,18700000,7900000,21909784,24534183,28223503,27784090,25155011,38851714,20697373,39680000,58423000,107788000,85077000,75756000,33778000,52720000,80179000,76175000,94766000,109760000,118198000,79816000,86231000,129562000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7396000,982000,2544000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,400000,6000000,18700000,7900000,21909784,24534183,28223503,27784090,25155011,38851714,20697373,39680000,58423000,107788000,85077000,75756000,41174000,53702000,82723000,76175000,94766000,109760000,118198000,79816000,86231000,129562000
34,Net Receivables,1300000,7400000,20200000,44700000,61361860,59489719,41625234,38437939,51240626,93670170,103389392,110899000,110432000,85366000,110743000,127614000,198936000,224147000,301351000,316712000,332847000,342672000,366624000,404994000,481737000,538892000
35,Inventory,100000,200000,1200000,700000,2445425,2651087,871857,1373168,899748,2116855,2292266,6851000,9192000,9739000,9316000,9062000,23514000,14795000,22629000,19835000,33343000,93557000,39855000,50493000,50268000,69963000
36,Other Current Assets,200000,- -,100000,- -,94693,66082,69042,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18556000,31555000,17020000,51335000,43447000,24800000,31562000,39177000
37,Total Current Assets,2000000,13600000,40200000,53300000,85811762,86741071,70789636,67595197,77295385,134638739,126379031,157430000,178047000,202893000,205136000,212432000,263624000,292644000,425259000,444277000,477976000,597324000,568124000,560103000,649798000,777594000
38,PP&E,300000,300000,1100000,2000000,2895711,5216123,6144061,5249087,5230473,6647781,5629367,5529000,4680000,3313000,2057000,1817000,2086000,92923000,24281000,24056000,24004000,14966000,14464000,7314000,30336000,27029000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26125212,26125000,26125000,21601000,17573000,18604000,28444000,28660000,29570000,34112000,42151000,48397000,76624000,110807000,118097000,126645000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,19147132,20243310,26125212,- -,- -,- -,- -,- -,- -,- -,4304000,5013000,6686000,12003000,12159000,26302000,38928000,34464000,38614000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,19147132,20243310,26125212,26125212,26125000,26125000,21601000,17573000,18604000,28444000,32964000,34583000,40798000,54154000,60556000,102926000,149735000,152561000,165259000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,189000000,206000000,217000000,157000000,119256000,153553000,118308000,115974000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,310476,5471658,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1468000
44,Other Non-Current Assets,27500000,29200000,41900000,99100000,256627275,218599806,196590199,186949270,191432922,4328717,9811741,12046000,13896000,16809000,27312000,38415000,23560000,19341000,69722000,62415000,60546000,68873000,73190000,69046000,76418000,105425000
45,Total Non-Current Assets,27800000,29500000,43000000,101100000,259522986,224126405,208205918,211345489,216906705,226101710,247566320,260700000,201701000,160979000,200495000,177144000,170064000,145228000,128586000,127269000,138704000,144395000,190580000,226095000,259315000,299181000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,29800000,43100000,83200000,154400000,345334748,310867476,278995554,278940686,294202090,360740449,373945351,418130000,379748000,363872000,405631000,389576000,433688000,437872000,553845000,571546000,616680000,741719000,758704000,786198000,909113000,1076775000
48,Accounts Payable,5600000,5500000,28200000,30500000,52427452,28152752,19003984,31550161,42133747,64298015,73657170,83796000,84394000,66864000,116008000,85916000,129898000,102961000,68712000,165838000,198673000,246130000,219042000,202884000,210335000,165162000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66251000,125783000,128867000,150223000,159605000,154315000,154228000,194302000,158434000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4439000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15935000,16970000,21840000,34363000,18344000,65312000,38881000,47251000,55480000,72802000
52,Other Current Liabilities,1000000,3000000,4000000,5200000,13161985,23971888,19947628,14598802,12567732,33717418,37573778,30291000,35161000,34500000,48650000,57479000,34387000,-33076000,27783000,-70983000,-93794000,-94555000,-58938000,-75512000,-73478000,62966000
53,Total Current Liabilities,6600000,8500000,32200000,35700000,65589437,52124640,38951612,46148963,54701479,98015433,111230948,114087000,119555000,101364000,164658000,143395000,180220000,153106000,244118000,258085000,273446000,376492000,353300000,328851000,386639000,459364000
54,Long-Term Debt,20000000,20000000,26000000,71500000,221862320,166835301,133755033,118414651,117863071,121103891,133973456,153136000,93814000,85079000,53679000,29592000,28055000,41739000,36521000,27115000,19092000,10431000,10072000,10502000,5872000,23362000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1822000,2923000,1866000,4704000,12910000,13789000,16693000,26309000
56,Deferred Tax Liabilities,500000,600000,1500000,3300000,762139,- -,- -,4760029,10053226,9519309,165200,4708000,2677000,2957000,1803000,4227000,5786000,4795000,5001000,3271000,3001000,1799000,1662000,4915000,2730000,- -
57,Other Non-Current Liabilities,-200000,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,890000,397000,2376000,8157000,3888000,11034000,5330000
58,Total Non-Current Liabilities,20300000,20600000,27500000,74900000,222624459,166835301,133755033,123174680,127916297,130623200,134138656,157844000,96491000,88036000,55482000,33819000,33841000,46534000,43344000,34199000,24356000,19310000,32801000,33094000,36329000,55001000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13141000,8974000
61,Total Liabilities,26900000,29100000,59700000,110600000,288213896,218959941,172706645,169323643,182617776,228638633,245369604,271931000,216046000,189400000,220140000,177214000,214061000,199640000,287462000,292284000,297802000,395802000,386101000,361945000,422968000,514365000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,79584,97301,104619,105400,107172,108074,110372,112000,112000,115000,119000,125000,127000,129000,130000,131000,132000,142000,142000,143000,144000,145000
64,Retained Earnings,2800000,5300000,12000000,18700000,27115100,35433300,44345023,54057732,64211473,89499096,85376831,102754000,118623000,131452000,144197000,167924000,190906000,205358000,240637000,286477000,331224000,222823000,277945000,341137000,410219000,484616000
65,Other Comprehensive Income/Loss,-100000,-200000,-700000,-1300000,-1921000,-3334000,-5218000,-7216000,-6699000,-9176000,-9176000,-9176000,1000000,-14162000,-15482000,1000000,-14953000,-14051000,186000,-33882000,-36030000,-1000000,1000000,-25714000,-1000000,655000
66,Other Total Stockholders Equity,200000,8900000,12200000,26400000,31847168,59710934,67057267,62669911,53964669,51670646,52264544,52509000,43967000,57067000,56657000,43313000,43547000,46796000,25430000,26536000,23552000,123953000,93516000,108687000,76782000,76994000
67,Total Stockholders Equity,2900000,14000000,23500000,43800000,57120852,91907535,106288909,109617043,111584314,132101816,128575747,146199000,163702000,174472000,185491000,212362000,219627000,238232000,266383000,279262000,318878000,345918000,372603000,424253000,486145000,562410000
68,Total Liabilities And Stockholders Equity,29800000,43100000,83200000,154400000,345334748,310867476,278995554,278940686,294202090,360740449,373945351,418130000,379748000,363872000,405631000,389576000,433688000,437872000,553845000,571546000,616680000,741720000,758704000,786198000,909113000,1076775000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -
70,Total Liabilities & Equity,29800000,43100000,83200000,154400000,345334748,310867476,278995554,278940686,294202090,360740449,373945351,418130000,379748000,363872000,405631000,389576000,433688000,437872000,553845000,571546000,616680000,741719000,758704000,786198000,909113000,1076775000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1022408/000095013397002378/0000950133-97-002378-index.html,- -,https://www.sec.gov/Archives/edgar/data/1022408/000102240899000007/0001022408-99-000007-index.html,https://www.sec.gov/Archives/edgar/data/1022408/000102240800000012/0001022408-00-000012-index.html,https://www.sec.gov/Archives/edgar/data/1022408/000102240801500006/0001022408-01-500006-index.html,https://www.sec.gov/Archives/edgar/data/1022408/000102240802000020/0001022408-02-000020-index.html,https://www.sec.gov/Archives/edgar/data/1022408/000102240803000008/0001022408-03-000008-index.html,https://www.sec.gov/Archives/edgar/data/1022408/000102240804000050/0001022408-04-000050-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1022408/000102240808000003/0001022408-08-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240808000030/0001022408-08-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240809000017/0001022408-09-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240810000024/0001022408-10-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240811000019/0001022408-11-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240812000020/0001022408-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240813000025/0001022408-13-000025-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1022408/000102240815000017/0001022408-15-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240816000072/0001022408-16-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240817000009/0001022408-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240818000014/0001022408-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240819000012/0001022408-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000114036120012223/0001140361-20-012223-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000102240821000014/0001022408-21-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1600000,2500000,6000000,6700000,8375368,8318200,8911723,9712709,10153741,25287623,-521438,17377000,16360000,12829000,12745000,23727000,23367000,34830000,35273000,45840000,44747000,50556000,55122000,63192000,69082000,74397000
74,Depreciation and Amortization,2100000,3500000,4600000,4700000,7359180,11248760,5644713,4510705,10487439,12784225,17162002,21837000,21851000,15181000,11393000,9972000,9365000,12168000,14755000,15575000,15980000,11731000,15827000,18639000,19156000,19991000
75,Deferred Income Tax,600000,100000,900000,1800000,-2530071,-1072615,-5161182,10231687,5293197,-533917,-7676412,4543000,-2245000,280000,-1154000,3185000,1413000,-991000,-3536000,-1863000,3515000,-1196000,-44000,3280000,-2185000,-4198000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166000,474000,1258000,2392000,3283000,3968000,4585000,5711000,6025000,6464000,7243000,7954000,7169000
77,Change in Working Capital,3200000,9700000,2900000,9600000,2622325,14394106,-2778407,-10391790,1147672,14029400,-21475223,28194917,15149000,43037000,-61051000,28559000,14367000,56134000,41603000,5051000,18338000,16302000,-6008000,16428000,31907000,55071000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27364000,-26823000,-11330000,-50430000,-17840000,-39372000,-1035000,-11062000,-17232000,6582000,-34306000,-64388000,-5056000
79,Inventory,100000,- -,100000,1300000,6791464,-177422,1899869,-501311,473420,-1217107,-193448,-3059000,-1477000,-321000,-55000,118000,-13775000,8764000,-7724000,3161000,-13405000,-60022000,54982000,-10929000,115000,-16798000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6683000,36698000,-37134000,19953000,-7140000,33090000,-16810000,-738000,3845000,258000,12456000,-8884000,76772000
81,Other Working Capital,-4600000,5100000,8000000,17600000,20222325,34616431,31838024,21446234,22593906,36623306,15148083,43343000,58492000,101529000,40478000,69037000,83404000,139538000,181141000,186192000,204530000,220832000,214824000,231252000,263159000,318230000
82,Other Non-Cash Items,-1100000,-14600000,6300000,-31200000,2598991,-22421796,5733567,21727874,-6488361,-10004939,-25688628,-103997917,-39291000,-50279000,578000,-76099000,-72500000,-64154000,-100286000,-55341000,-74909000,-50402000,11405000,-69371000,-200088000,-22923000
83,Cash Provided by Operating Activities,6400000,1200000,20700000,-8400000,18425793,10466655,12350414,35791185,20593688,41562392,-38199699,-32046000,11824000,21214000,-37015000,-9398000,-21596000,41270000,-8223000,13847000,13382000,33016000,82766000,39411000,-74174000,129507000
84,CAPEX,-14100000,-24900000,-21900000,-5200000,-3513175,-6409100,-2576435,-13177151,-22393834,-26677584,-34505417,-29815000,-11826000,-4647000,-10814000,-13401000,-7655000,-15584000,-9952000,-11773000,-14468000,-9558000,-7590000,-11629000,-7009000,-11513000
85,Acquisitions Net,- -,- -,- -,- -,-1845730,- -,-3268334,- -,- -,-5000000,- -,- -,- -,-364000,- -,-1761000,-11805000,- -,-2845000,-8057000,-16649000,-9143000,-37718000,-49764000,-15035000,-27034000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7396000,-1233000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7647000,982000,2544000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-16100000,-1600000,200000,-81400000,-119518072,-12216598,-27827749,-18581805,-1680769,1222375,1973502,1626000,4837000,3671000,4980000,4062000,-11367000,-3488000,-16982000,-13306000,-19062000,-7644000,-12369000,-34812000,1705000,2791000
89,Cash Used for Investing Activites,-30200000,-26500000,-21700000,-86600000,-124876977,-18625698,-33672518,-31758956,-24074603,-30455209,-32531915,-28189000,-6989000,-1340000,-5834000,-11100000,-38223000,-12658000,-28797000,-30592000,-50179000,-26345000,-57677000,-96205000,-20339000,-35756000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16330000,-6262000,- -,-3000,-22765000,-2252000,-2206000,-257000,-40414000,-51805000,-39080000,-31880000,-74328000
91,Common Stock Issued,- -,9400000,2000000,9900000,1031249,26243483,165816,492718,1436033,685804,1841177,1886000,- -,- -,- -,3679000,623000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-574800,-6936324,-9681762,-5694995,-7096044,-2900000,- -,-4345000,-6117000,-2652000,-19418000,-1890000,-13188000,-37685000,-11339000,-30493000,-35245000,-18754000,-14425000,-6948000
93,Dividends Paid,- -,- -,-1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20100000,-108000,-90000,-80000,- -,- -,- -,- -,- -
94,Other Financing Activites,24000000,21500000,12100000,74400000,119438058,-15460041,25420408,1912656,9038306,7516613,57745929,80211000,13652000,50267000,32578000,10144000,36644000,35088000,80007000,52801000,66852000,78721000,70285000,76290000,146939000,31474000
95,Cash Used/Provided by Financing Activities,24000000,30900000,13000000,84300000,120469307,10783442,25011424,-4530950,792577,2507422,52491062,79197000,13652000,29592000,20199000,11171000,17846000,-9667000,64459000,12820000,55176000,7814000,-16765000,18456000,100634000,-49802000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,59308,59259,82098,86211,21000,256000,-101000,-61000,6000,-5000,-3000,20000,-79000,212000,509000,114000,-44000,294000,-617000
97,Net Change In Cash,24000000,30900000,13000000,84300000,14018123,2624399,3689320,-439413,-2629079,13696703,-18154341,18983000,18743000,49365000,-22711000,-9321000,-41978000,18942000,27459000,-4004000,18591000,14994000,8438000,-38382000,6415000,43332000
98,Cash at the End of Period,- -,- -,- -,- -,21909784,24534183,28223503,27784090,25155011,38851714,20697373,39680000,58423000,107788000,85077000,75756000,33778000,52720000,80179000,76175000,94766000,109760000,118198000,79816000,86231000,129563000
99,Cash at the Beginning of Period,300000,400000,6700000,18700000,7891661,21909784,24534183,28223503,27784090,25155011,38851714,20697000,39680000,58423000,107788000,85077000,75756000,33778000,52720000,80179000,76175000,94766000,109760000,118198000,79816000,86231000
100,Free Cash Flow,-7700000,-23700000,-1200000,-13600000,14912618,4057555,9773979,22614034,-1800146,14884808,-72705116,-61861000,-2000,16567000,-47829000,-22799000,-29251000,25686000,-18175000,2074000,-1086000,23458000,75176000,27782000,-81183000,117994000
