,https://roic.ai/company/HCSG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,39907061,44231012,43956044,46153846,55869885,58077839,55143680,59179866,58974407,61040357,63654518,61808682,58951480,58514610,56823980,55466656,55650805,59044471,60035519,62235000,63720000,64721250,65770500,66037500,66429000,67008000,67585000,68485000,70045000,71341000,72512000,73474000,74348000,74612000,74590000,74785000,75076000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/731012/0000950116-97-000555-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/731012/000095011601000464/0000950116-01-000464-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/731012/000089322007000449/0000893220-07-000449-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000089322008000430/0000893220-08-000430-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000089322009000364/0000893220-09-000364-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000095012310013368/0000950123-10-013368-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000095012311015770/0000950123-11-015770-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000119312512075632/0001193125-12-075632-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101213000034/0000731012-13-000034-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101214000034/0000731012-14-000034-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101215000033/0000731012-15-000033-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101216000120/0000731012-16-000120-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101217000038/0000731012-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101218000032/0000731012-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101219000040/0000731012-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101220000033/0000731012-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101221000026/0000731012-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101222000026/0000731012-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7600000,5700000,7400000,5000000,2400000,7300000,9800000,6400000,7900000,11200000,16300000,22700000,17800000,17200000,17200000,22841618,34259334,48320098,64180697,74847000,91005000,72997000,92461000,37501000,31301000,39692000,38639000,68949000,64155000,75280000,33189000,23853000,9557000,26025000,27329000,139330000,70794000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49414000,52648000,43437000,31337000,21322000,11445000,11799000,69496000,67730000,73221000,76362000,90711000,125012000,114396000
33,Cash and Short-Term Investments,7600000,5700000,7400000,5000000,2400000,7300000,9800000,6400000,7900000,11200000,16300000,22700000,17800000,17200000,17200000,22841618,34259334,48320098,64180697,74847000,91005000,72997000,92461000,86915000,83949000,83129000,69976000,90271000,75600000,87079000,102685000,91583000,82778000,102387000,118040000,264342000,185190000
34,Net Receivables,5600000,7300000,9400000,11600000,17000000,21800000,23900000,26700000,30800000,32800000,32500000,33300000,36600000,45100000,48600000,52744352,54076007,51750225,58145440,55725000,59197000,78086000,82951000,96558000,104356000,108426000,130744000,140218000,189107000,198128000,214854000,271276000,378720000,341838000,340930000,255474000,302201000
35,Inventory,500000,900000,1000000,1300000,1500000,5500000,3600000,4300000,5300000,6300000,7200000,7400000,7300000,7800000,8600000,8383963,7944199,8625727,10454838,11015000,11729000,12640000,15117000,16079000,16974000,20614000,25144000,28675000,32447000,35462000,36308000,37800000,42393000,41443000,36517000,31586000,26015000
36,Other Current Assets,500000,1200000,1100000,1500000,800000,1300000,5600000,5700000,4800000,4200000,4700000,2700000,3800000,2600000,4500000,4151868,4327904,6081919,5329757,3684000,3685000,4514000,4569000,7063000,6891000,9606000,6257000,8682000,12038000,14159000,12099000,13965000,23515000,22468000,20245000,21001000,32976000
37,Total Current Assets,14200000,15100000,18900000,19400000,21700000,35900000,42900000,43100000,48800000,54500000,60700000,66100000,65500000,72700000,78900000,88121801,100607444,114777969,138110732,145271000,165616000,168237000,195098000,206615000,212170000,221775000,232121000,267846000,309192000,334828000,365946000,414624000,527406000,508136000,515732000,572403000,546382000
38,PP&E,900000,1300000,1300000,1300000,1300000,5400000,5800000,7600000,7200000,5900000,6200000,6200000,5600000,6100000,5900000,5158027,4762189,4438096,4611597,4804000,4744000,4875000,4303000,3929000,4391000,6656000,9763000,10272000,11304000,12772000,13086000,13455000,13509000,12900000,28820000,26561000,28102000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1612322,1612322,- -,- -,1612000,14543000,15020000,15020000,17087000,16955000,16955000,16955000,40183000,44438000,44438000,44438000,51084000,51084000,51084000,51084000,74755000
40,Intangible Assets,3300000,3200000,3100000,19000000,14900000,4200000,4000000,3800000,3700000,3500000,2300000,2200000,2000000,1900000,1800000,1719946,- -,- -,- -,- -,- -,7148000,6090000,5033000,8862000,7262000,7372000,5203000,23372000,20349000,17108000,14409000,30881000,26518000,22353000,18187000,20805000
41,Intangible Assets,3300000,3200000,3100000,19000000,14900000,4200000,4000000,3800000,3700000,3500000,2300000,2200000,2000000,1900000,1800000,1719946,1612322,1612322,- -,- -,1612000,21691000,21110000,20053000,25949000,24217000,24327000,22158000,63555000,64787000,61546000,58847000,81965000,77602000,73437000,69271000,95560000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1523144,1955365,3134691,5563000,6181000,5403000,6349000,6386000,7907000,8109000,8181000,11215000,13274000,27233000,11963000,9822000,7498000,20552000,20364000,35554000,31535000
44,Other Non-Current Assets,300000,600000,700000,700000,5600000,8200000,6700000,6600000,9200000,11900000,11100000,11900000,11800000,12400000,11400000,13343091,12285398,11512558,12471112,11326000,10277000,15350000,16508000,11578000,15475000,17177000,15303000,19692000,28017000,29959000,28408000,31698000,45625000,73413000,84239000,81242000,75950000
45,Total Non-Current Assets,4500000,5100000,5100000,21000000,21800000,17800000,16500000,18000000,20100000,21300000,19600000,20300000,19400000,20400000,19100000,20221064,20183053,19518341,20217400,21693000,22814000,47319000,48270000,41946000,53722000,56159000,57574000,63337000,116150000,134751000,115003000,113822000,148597000,184467000,206860000,212628000,231147000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18700000,20200000,24000000,40400000,43500000,53700000,59400000,61100000,68900000,75800000,80300000,86400000,84900000,93100000,98000000,108342865,120790497,134296310,158328132,166964000,188430000,215556000,243368000,248561000,265892000,277934000,289695000,331183000,425342000,469579000,480949000,528446000,676003000,692603000,722592000,785031000,777529000
48,Accounts Payable,- -,- -,- -,- -,300000,400000,1100000,3000000,3300000,3600000,3500000,4100000,4300000,4400000,2500000,4829183,6439609,7201543,6536395,7272000,8760000,10139000,8902000,9301000,9134000,11434000,10650000,22810000,43682000,43554000,41472000,42912000,74463000,61467000,54418000,52239000,64419000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35382000,30000000,10000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000,- -,- -,1906000,1878000,- -,3212000,7686000,15378000,7140000,8075000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,4500000,4700000,4600000,3500000,2800000,4700000,11100000,6800000,4400000,4800000,6100000,4600000,5500000,6300000,6600000,9297509,11060290,13354025,18159828,12987000,14321000,17471000,18979000,19741000,25583000,29097000,34737000,44854000,55421000,74405000,54593000,57959000,74323000,71924000,84233000,110021000,126706000
53,Total Current Liabilities,4500000,4700000,4600000,3500000,3100000,5100000,12200000,9800000,7700000,8400000,9600000,8700000,9800000,10700000,9100000,14126692,17499899,20555568,24696223,20259000,23081000,27610000,27881000,29042000,34717000,40531000,45387000,67664000,99103000,117959000,96065000,100871000,184168000,163391000,148651000,162260000,191125000
54,Long-Term Debt,- -,- -,- -,8500000,8500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11363000,11299000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,200000,- -,1200000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,300000,-100000,2000000,100000,- -,- -,2000000,1000000,6200000,5300000,2200000,2800000,2900000,2200000,2900000,3410916,4347464,5859593,12433731,15245000,17186000,22469000,20769000,17837000,22401000,24324000,26582000,33949000,41096000,75790000,88428000,88733000,91883000,88432000,113636000,130947000,122428000
58,Total Non-Current Liabilities,300000,100000,2000000,9800000,8900000,- -,2000000,1000000,6200000,5300000,2200000,2800000,2900000,2200000,2900000,3410916,4347464,5859593,12433731,15245000,17186000,22469000,20769000,17837000,22401000,24324000,26582000,33949000,41096000,75790000,88428000,88733000,91883000,88432000,113636000,142310000,133727000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11649000,11363000,11299000
61,Total Liabilities,4800000,4800000,6600000,13300000,12000000,5100000,14200000,10800000,13900000,13700000,11800000,11500000,12700000,12900000,12000000,17537608,21847363,26415161,37129954,35504000,40267000,50079000,48650000,46879000,57118000,64855000,71969000,101613000,140199000,193749000,184493000,189604000,276051000,251823000,262287000,304570000,324852000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,110666,113377,116125,119591,185000,287000,290000,447000,456000,458000,693000,695000,700000,719000,729000,738000,742000,750000,753000,756000,758000,760000
64,Retained Earnings,3700000,5100000,7200000,9200000,13200000,18200000,14000000,18800000,23000000,29400000,33400000,40300000,46100000,55000000,60600000,66140713,73176074,81806772,91178370,101279000,112299000,124268000,136110000,137741000,135837000,130993000,126921000,127042000,127464000,100237000,106886000,130940000,163860000,190092000,195455000,200893000,183957000
65,Other Comprehensive Income/Loss,-500000,-800000,-1200000,-1600000,-2100000,-2600000,-4100000,-6000000,-8300000,-10200000,-12300000,-12800000,-14200000,-11400000,-11000000,-11863635,-12738533,-14144869,-10489224,-11592000,-12892000,-13077000,-14106000,-14296000,-14487000,-78000,343000,127000,49000,25000,543000,-319000,837000,158000,2919000,5563000,4000000
66,Other Total Stockholders Equity,10700000,11100000,11400000,19500000,20400000,33000000,35300000,37500000,40300000,42900000,47400000,47400000,40300000,36600000,36300000,36417513,38392216,40103121,40389441,41588000,48469000,53996000,72267000,77781000,86966000,81471000,89767000,101701000,156911000,174839000,188289000,207479000,234505000,249777000,261175000,273247000,- -
67,Total Stockholders Equity,13900000,15400000,17400000,27100000,31500000,48600000,45200000,50300000,55000000,62100000,68500000,74900000,72200000,80200000,86000000,90805257,98943134,107881149,121198178,131460000,148163000,165477000,194718000,201682000,208774000,213079000,217726000,229570000,285143000,275830000,296456000,338842000,399952000,440780000,460305000,480461000,452677000
68,Total Liabilities And Stockholders Equity,18700000,20200000,24000000,40400000,43500000,53700000,59400000,61100000,68900000,75800000,80300000,86400000,84900000,93100000,98000000,108342865,120790497,134296310,158328132,166964000,188430000,215556000,243368000,248561000,265892000,277934000,289695000,331183000,425342000,469579000,480949000,528446000,676003000,692603000,722592000,785031000,777529000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18700000,20200000,24000000,40400000,43500000,53700000,59400000,61100000,68900000,75800000,80300000,86400000,84900000,93100000,98000000,108342865,120790497,134296310,158328132,166964000,188430000,215556000,243368000,248561000,265892000,277934000,289695000,331183000,425342000,469579000,480949000,528446000,676003000,692603000,722592000,785031000,777529000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/731012/0000950116-97-000555-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/731012/000095011601000464/0000950116-01-000464-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/731012/000089322007000449/0000893220-07-000449-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000089322008000430/0000893220-08-000430-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000089322009000364/0000893220-09-000364-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000095012310013368/0000950123-10-013368-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000095012311015770/0000950123-11-015770-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000119312512075632/0001193125-12-075632-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101213000034/0000731012-13-000034-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101214000034/0000731012-14-000034-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101215000033/0000731012-15-000033-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101216000120/0000731012-16-000120-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101217000038/0000731012-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101218000032/0000731012-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101219000040/0000731012-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101220000033/0000731012-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101221000026/0000731012-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/731012/000073101222000026/0000731012-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,4200000,5400000,-1200000,4800000,4200000,6400000,3900000,6900000,5900000,8900000,5500000,5587752,7035361,8630698,10859728,14699000,19096000,25452000,29578000,26614000,30342000,34441000,38156000,44214000,47129000,21850000,58024000,77396000,88226000,83524000,64581000,98682000,45863000
74,Depreciation and Amortization,- -,- -,- -,- -,1000000,900000,1700000,2200000,2600000,2600000,2600000,2200000,2100000,2100000,2100000,2210157,2241473,2033567,1914928,1873000,1872000,2306000,3004000,2852000,3229000,3764000,4387000,5116000,6204000,7269000,7660000,7496000,8886000,9272000,13940000,14268000,14667000
75,Deferred Income Tax,- -,- -,- -,- -,-900000,-1000000,-3300000,300000,-200000,900000,1100000,700000,300000,-800000,- -,200800,-1480700,-1291100,-174400,-986000,-399000,-1386000,-759000,1182000,-2390000,517000,275000,-3493000,-4922000,-15059000,15969000,20000,1887000,-13013000,-684000,-5893000,3074000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,563000,1074000,1332000,2152000,2538000,2607000,3080000,3541000,4252000,276000,5900000,6865000,7872000,8827000
77,Change in Working Capital,- -,- -,- -,- -,-7300000,12200000,-100000,2600000,7800000,5000000,5000000,6300000,-1700000,6300000,7800000,4195109,9112436,11114856,19192108,11597491,17523000,-1908000,26590000,10356000,-120000,3791000,5490000,13448000,9907000,6780000,53012000,43872000,29485000,1507000,22336000,43062000,-43153000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37185000
79,Inventory,- -,- -,- -,- -,-200000,-1200000,-900000,-700000,-1000000,-1000000,-900000,-200000,100000,-500000,-800000,196218,439764,-681528,-1792185,-560000,-714000,-840000,-2477000,-963000,-620000,-3639000,-4531000,-3531000,-3772000,-3015000,-846000,-1492000,-1873000,950000,4765000,4931000,5599000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13664000,25961000,492000,2403000,-4251000,11197000,-9144000,-9532000,-7250000,10244000
81,Other Working Capital,- -,- -,- -,- -,18600000,30800000,30700000,33300000,41100000,46100000,51100000,57400000,55700000,62000000,69800000,73995109,83107545,94222401,113414509,125012000,142535000,140627000,167217000,177573000,177453000,181244000,186734000,200182000,210089000,216869000,269881000,313753000,343238000,344745000,367081000,410143000,14082000
82,Other Non-Cash Items,- -,- -,- -,- -,600000,-24400000,4400000,-9800000,-11400000,-11000000,-6700000,-7200000,-1200000,-13200000,-13800000,-4443285,-4412836,-4374575,-15049361,-7748491,-13597000,-8344000,-32642000,-24905000,6172000,-6098000,-17512000,-1447000,-28767000,33810000,-74845000,-91636000,-121130000,-7159000,-13457000,59222000,7830000
