,https://roic.ai/company/CAL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14707/0000014707-94-000019-index.html,https://www.sec.gov/Archives/edgar/data/319687/000031968795000009/0000319687-95-000009-index.html,https://www.sec.gov/Archives/edgar/data/319687/000095012996000217/0000950129-96-000217-index.html,https://www.sec.gov/Archives/edgar/data/319687/000031968797000002/0000319687-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/319687/000031968798000003/0000319687-98-000003-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/319687/000031968701500005/0000319687-01-500005-index.html,https://www.sec.gov/Archives/edgar/data/319687/000031968702000006/0000319687-02-000006-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/14707/000001470705000057/0000014707-05-000057-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470706000072/bws10k2005test.htm,https://www.sec.gov/Archives/edgar/data/14707/000001470707000068/0000014707-07-000068-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470709000060/0000014707-09-000060-index.htm,- -,https://www.sec.gov/Archives/edgar/data/319687/000031968710000011/0000319687-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470711000026/0000014707-11-000026-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470712000029/0000014707-12-000029-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470713000016/0000014707-13-000016-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470714000020/0000014707-14-000020-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470715000020/0000014707-15-000020-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470716000090/0000014707-16-000090-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470717000010/0000014707-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470718000013/0000014707-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470719000020/0000014707-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/100517/000010051720000010/0000100517-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470721000010/0000014707-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/14707/000001470722000019/0000014707-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,25900000,36200000,- -,21500000,12000000,22300000,16300000,18700000,21600000,16900000,18900000,35100000,38700000,50100000,45500000,34200000,50500000,22700000,32100000,55657000,79400000,34300000,53700000,59801000,86900000,125800000,126500000,47700000,68200000,82500000,67403000,118151000,55332000,64047000,30200000,45218000,88295000,30115000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,25900000,36200000,- -,21500000,12000000,22300000,16300000,18700000,21600000,16900000,18900000,35100000,38700000,50100000,45500000,34200000,50500000,22700000,32100000,55657000,79400000,34300000,53700000,59801000,86900000,125800000,126500000,47700000,68200000,82500000,67403000,118151000,55332000,64047000,30200000,45218000,88295000,30115000
34,Net Receivables,126700000,127900000,- -,133500000,135100000,141000000,120800000,98100000,125200000,110000000,98100000,86400000,90200000,77400000,67800000,68200000,64400000,68300000,82500000,81930000,97500000,158100000,132200000,116873000,84252000,88500000,124100000,159200000,128800000,132100000,137266000,164810000,162780000,152613000,196597000,168370000,160919000,122236000
35,Inventory,308900000,309400000,- -,324800000,338100000,333300000,362600000,359900000,388400000,375500000,322000000,342300000,398800000,380200000,362300000,366000000,427800000,396200000,392600000,376210000,421500000,414300000,420500000,435682000,466002000,456700000,524300000,561800000,533300000,547500000,543103000,546745000,585764000,569379000,683171000,618406000,487955000,596807000
36,Other Current Assets,18000000,20500000,- -,24300000,42100000,34400000,35900000,37200000,45000000,109500000,40000000,41500000,37100000,30800000,21800000,19400000,20000000,39700000,21000000,15888000,24400000,19000000,32000000,24701000,44289000,37200000,33400000,46400000,42100000,30400000,43124000,45359000,39869000,60750000,66479000,50305000,45387000,87318000
37,Total Current Assets,479500000,494000000,- -,504100000,527300000,531000000,535600000,513900000,580200000,611900000,479000000,505300000,564800000,538500000,497400000,487800000,562700000,526900000,528200000,529685000,622800000,625700000,638400000,637057000,681443000,708200000,808300000,815100000,772400000,792500000,790896000,875065000,843745000,846789000,976447000,882299000,782556000,836476000
38,PP&E,126500000,126800000,- -,142900000,146800000,146100000,148200000,138800000,124900000,97400000,92900000,87700000,85400000,82700000,82200000,84600000,90600000,85700000,84800000,85548000,114400000,116600000,138200000,141964000,157451000,141600000,135600000,131500000,146100000,143600000,149743000,179010000,219196000,212799000,230784000,920440000,726740000,653668000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18600000,- -,21500000,198700000,216400000,217382000,- -,- -,70600000,140600000,39600000,14000000,13954000,13954000,127098000,127081000,242531000,245275000,4956000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20405000,- -,- -,- -,- -,84000000,77200000,- -,- -,93000000,59700000,120633000,116945000,246660000,234387000,323766000,310504000,235115000,227503000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18600000,20405000,21500000,198700000,216400000,217382000,84000000,77200000,70600000,140600000,132600000,73700000,134587000,130899000,373758000,361468000,566297000,555779000,240071000,227503000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12700000,10800000,9200000,- -,6100000,8400000,7700000,7900000,1300000,- -,2200000,20300000,19200000,- -,17681000,- -,11500000,31100000,13900000,9400000,6956000,32268000,52702000,50667000,49986000,55013000,- -,14731000
44,Other Non-Current Assets,29300000,37500000,- -,36900000,54100000,35900000,53000000,52500000,55100000,62400000,51900000,57300000,63000000,73800000,69500000,69500000,79100000,80400000,72400000,83692000,85200000,66000000,86900000,103438000,85456000,113200000,122000000,109200000,106300000,130200000,134630000,86081000,-14128000,17692000,15054000,18176000,117683000,111548000
45,Total Non-Current Assets,155800000,164300000,- -,179800000,200900000,182000000,201200000,191300000,180000000,159800000,157500000,155800000,157600000,156500000,157800000,162500000,177400000,174000000,177100000,189645000,223300000,401600000,460700000,462784000,344588000,332000000,339700000,412400000,398900000,356900000,425916000,428258000,631528000,642626000,862121000,1549408000,1084494000,1007450000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,635300000,658300000,- -,683900000,728200000,713000000,736800000,705200000,760200000,771700000,636500000,661100000,722400000,695000000,655200000,650300000,740100000,700900000,705300000,719330000,846100000,1027300000,1099100000,1099841000,1026031000,1040200000,1148000000,1227500000,1171300000,1149400000,1216812000,1303323000,1475273000,1489415000,1838568000,2431707000,1867050000,1843926000
48,Accounts Payable,- -,- -,- -,- -,86400000,86100000,93000000,103100000,114700000,105400000,85000000,106100000,124700000,118900000,124900000,113800000,127900000,122400000,129200000,116677000,144000000,173100000,185800000,172947000,152339000,177700000,167200000,190600000,222700000,226600000,215921000,237802000,266370000,272962000,316298000,267018000,280501000,331470000
49,Short-Term Debt,1100000,7600000,- -,24000000,72300000,59900000,60600000,28600000,108500000,153800000,43100000,114000000,64000000,54000000,25000000,10000000,76500000,92800000,49000000,19500000,92000000,50000000,1000000,15000000,112500000,94500000,198000000,201000000,105000000,7000000,- -,- -,110000000,- -,335000000,402869000,403060000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4350000,6285000,3519000,3599000,8222000,6388000,7186000,5069000,33073000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12370000,6577000,618000,- -,- -,17894000,4503000,14432000,1461000,471000,- -,1847000,2486000,2305000,9833000,9735000,- -,- -
52,Other Current Liabilities,175200000,151800000,- -,163800000,85200000,78500000,96700000,85000000,94400000,112100000,91700000,75800000,75100000,105200000,96500000,94000000,91800000,86300000,106200000,99667000,93130000,128623000,147082000,115968000,137307000,124006000,142197000,118568000,139939000,152829000,181162000,150650000,148739000,154892000,192205000,171328000,221948000,694143000
53,Total Current Liabilities,176300000,159400000,- -,187800000,243900000,224500000,250300000,216700000,317600000,371300000,219800000,295900000,263800000,278100000,246400000,217800000,296200000,301500000,284400000,235844000,341500000,358300000,334500000,303915000,402146000,414100000,511900000,524600000,469100000,386900000,397083000,390299000,527595000,430159000,853336000,850950000,905509000,1025613000
54,Long-Term Debt,59800000,130900000,- -,120400000,136000000,132400000,128600000,144600000,123000000,135300000,133200000,105500000,197000000,197000000,172000000,162000000,152000000,123500000,103500000,100000000,50000000,150000000,150000000,150000000,150000000,150000000,150000000,198600000,198800000,199000000,199197000,196544000,197003000,197472000,197932000,198391000,717793000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41714000,- -,- -,32361000,33711000,38593000,- -,46506000,51124000,53071000,54850000,- -,- -,14731000
56,Deferred Tax Liabilities,5900000,9100000,- -,9700000,12500000,14000000,18700000,10000000,6800000,7200000,- -,- -,- -,6800000,- -,- -,- -,- -,- -,1645000,- -,- -,- -,11534000,- -,- -,- -,31136000,13862000,9371000,- -,32268000,52702000,11933000,7786000,55013000,8244000,14731000
57,Other Non-Current Liabilities,16400000,11900000,- -,11000000,3100000,3100000,3000000,20500000,23800000,24000000,33800000,28000000,24500000,13900000,19700000,20600000,21900000,19200000,20800000,26713000,63300000,84800000,90900000,73728000,29957000,73900000,71100000,28103000,30627000,38836000,78910000,36222000,33732000,79291000,90611000,681403000,31650000,465464000
58,Total Non-Current Liabilities,82100000,151900000,- -,141100000,151600000,149500000,150300000,175100000,153600000,166500000,167000000,133500000,221500000,217700000,191700000,182600000,173900000,142700000,124300000,128358000,113300000,234800000,240900000,235262000,221671000,223900000,221100000,290200000,277000000,285800000,278107000,311540000,334561000,341767000,351179000,934807000,757687000,494926000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,756901000,672002000,- -
61,Total Liabilities,258400000,311300000,- -,328900000,395500000,374000000,400600000,391800000,471200000,537800000,386800000,429400000,485300000,495800000,438100000,400400000,470100000,444200000,408700000,364202000,454800000,593100000,575400000,539177000,623817000,638000000,733000000,814800000,746100000,672700000,675190000,701839000,862156000,771926000,1204515000,1785757000,1663196000,1520539000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67400000,67200000,67400000,- -,68100000,68500000,65500000,65600000,66300000,67787000,68400000,103900000,162300000,418000,423000,400000,400000,400000,400000,400000,437000,437000,430000,430000,419000,404000,380000,376000
64,Retained Earnings,288900000,263900000,- -,272000000,247500000,251500000,248800000,224600000,201500000,141900000,151800000,131100000,133500000,97300000,113700000,141900000,167400000,155000000,193200000,232911000,263900000,297500000,349500000,396871000,251760000,249300000,274200000,286700000,302200000,328200000,398804000,468030000,521584000,595769000,519346000,523900000,48557000,157970000
65,Other Comprehensive Income/Loss,-116800000,-129800000,- -,-150700000,-152600000,-159800000,-173200000,-187300000,-171800000,-135500000,-32800000,-25400000,-20200000,-129600000,-25800000,-19200000,-19000000,-23800000,-13108000,-8342000,-3644000,1101000,11881000,15598000,-5781000,177000,6141000,9637000,884000,16676000,2712000,-5864000,-30434000,-15170000,-31601000,-31843000,-9136000,-8606000
66,Other Total Stockholders Equity,204800000,212900000,- -,233700000,237800000,247300000,260600000,276100000,259300000,227500000,63300000,58700000,56300000,231500000,61200000,58700000,56100000,59900000,50215000,- -,62647000,31709000,-36000,145690000,147702000,152294000,134339000,115932000,121645000,131423000,138957000,138881000,121537000,136460000,145889000,153489000,160446000,323387000
67,Total Stockholders Equity,376900000,347000000,- -,355000000,332700000,339000000,336200000,313400000,289000000,233900000,249700000,231600000,237000000,199200000,217200000,249900000,270000000,256700000,296607000,355128000,391303000,434210000,523645000,558577000,394104000,402171000,415080000,412669000,425129000,476699000,540910000,601484000,613117000,717489000,634053000,645950000,200247000,323387000
68,Total Liabilities And Stockholders Equity,635300000,658300000,- -,683900000,728200000,713000000,736800000,705200000,760200000,771700000,636500000,661000000,722300000,695000000,655300000,650300000,740100000,700900000,705307000,719330000,846103000,1027310000,1099045000,1097754000,1017921000,1040171000,1148080000,1227469000,1171229000,1149399000,1216100000,1303323000,1475273000,1489415000,1838568000,2431707000,1863443000,1843926000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,- -,-100000,- -,- -,- -,-7000,- -,-3000,-10000,55000,2087000,8110000,29000,-80000,31000,71000,1000,712000,- -,- -,- -,- -,- -,3607000,- -
70,Total Liabilities & Equity,635300000,658300000,- -,683900000,728200000,713000000,736800000,705200000,760200000,771700000,636500000,661100000,722400000,695000000,655200000,650300000,740100000,700900000,705300000,719330000,846100000,1027300000,1099100000,1099841000,1026031000,1040200000,1148000000,1227500000,1171300000,1149400000,1216812000,1303323000,1475273000,1489415000,1838568000,2431707000,1867050000,1843926000
71,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14707/0000014707-94-000019-index.html,https://www.sec.gov/Archives/edgar/data/319687/000031968795000009/0000319687-95-000009-index.html,https://www.sec.gov/Archives/edgar/data/319687/000095012996000217/0000950129-96-000217-index.html,https://www.sec.gov/Archives/edgar/data/319687/000031968797000002/0000319687-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/319687/000031968798000003/0000319687-98-000003-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/319687/000031968701500005/0000319687-01-500005-index.html,https://www.sec.gov/Archives/edgar/data/319687/000031968702000006/0000319687-02-000006-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/14707/000001470705000057/0000014707-05-000057-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470706000072/bws10k2005test.htm,https://www.sec.gov/Archives/edgar/data/14707/000001470707000068/0000014707-07-000068-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470709000060/0000014707-09-000060-index.htm,- -,https://www.sec.gov/Archives/edgar/data/319687/000031968710000011/0000319687-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470711000026/0000014707-11-000026-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470712000029/0000014707-12-000029-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470713000016/0000014707-13-000016-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470714000020/0000014707-14-000020-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470715000020/0000014707-15-000020-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470716000090/0000014707-16-000090-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470717000010/0000014707-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470718000013/0000014707-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470719000020/0000014707-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/100517/000010051720000010/0000100517-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/14707/000001470721000010/0000014707-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/14707/000001470722000019/0000014707-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,26200000,30800000,31800000,15700000,4700000,-31600000,39400000,3300000,20300000,-20900000,23700000,35500000,36400000,-4000000,45200000,46894000,43300000,41000000,65700000,60427000,-133238000,9500000,37200000,24600000,27500000,38100000,82850000,81479000,65658000,87200000,-5441000,62819000,-439114000,137019000
74,Depreciation and Amortization,- -,- -,- -,- -,26500000,28000000,28600000,30100000,28400000,22800000,22100000,23800000,25900000,26700000,26900000,25547000,23953000,26707000,24891000,25472000,31910000,40334000,41808000,52268000,54873000,51100000,50322000,59111000,54783000,55329000,51615000,51439000,56131000,64070000,62697000,65562000,60539000,46637000
