,https://roic.ai/company/INT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0274,0.0217,0.0243,0.0341,0.0281,0.0205,0.0287,0.0063,0.0208,0.0224,0.0170,0.0172,0.0198,0.0203,0.0080,0.0070,0.0126,0.0082,0.0051,0.0045,0.0059,0.0047,0.0057,0.0104,0.0077,0.0056,0.0049,0.0049,0.0051,0.0062,0.0047,-0.0051,0.0032,0.0049,0.0054,0.0024
25,EPS,0.01,0.01,0.03,0.07,0.10,0.11,0.14,0.04,0.12,0.18,0.23,0.27,0.33,0.30,0.20,0.25,0.41,0.52,0.65,0.83,1.17,1.15,1.83,1.99,2.36,2.74,2.66,2.85,3.13,2.66,1.82,-2.50,1.89,2.71,1.72,1.17
26,EPS Diluted,0.01,0.01,0.03,0.07,0.10,0.11,0.14,0.04,0.12,0.18,0.23,0.27,0.32,0.30,0.20,0.25,0.41,0.49,0.61,0.79,1.10,1.11,1.81,1.96,2.31,2.71,2.64,2.83,3.11,2.64,1.81,-2.50,1.89,2.69,1.71,1.16
27,Weighted Average Shares Outstanding,16000000,26666667,30769231,32592593,41025641,42666667,42909091,45714286,42448980,44154000,48600000,49182000,48920000,49500000,48180000,42576000,41524000,42468000,44208000,47400000,54934000,56204000,57394000,59003000,62168000,70687000,71154000,71224000,70750000,70200000,69300000,68100000,67400000,66100000,63700000,62900000
28,Weighted Average Shares Outstanding Diluted,16000000,26666667,30769231,32592593,41025641,42666667,42909091,45714286,42448980,44154000,48600000,49620253,50112000,50132000,48404000,42652000,42584000,44676000,46908000,50428000,57846000,58124000,58058000,59901000,63441000,71510000,71817000,71800000,71323000,70700000,69800000,68100000,67700000,66500000,64000000,63300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789460/000095017096000276/0000950170-96-000276-index.html,https://www.sec.gov/Archives/edgar/data/789460/000101684397000372/0001016843-97-000372-index.html,- -,https://www.sec.gov/Archives/edgar/data/789460/000101684399000628/0001016843-99-000628-index.html,https://www.sec.gov/Archives/edgar/data/789460/000101684300000457/0001016843-00-000457-index.html,https://www.sec.gov/Archives/edgar/data/789460/000102140801502209/0001021408-01-502209-index.html,- -,https://www.sec.gov/Archives/edgar/data/789460/000119312504042155/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000119312505067072/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000119312506056673/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000119312507044566/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000119312508041954/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000119312509039256/0001193125-09-039256-index.html,https://www.sec.gov/Archives/edgar/data/789460/000119312510040758/0001193125-10-040758-index.html,https://www.sec.gov/Archives/edgar/data/789460/000119312511045452/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000104746912001378/0001047469-12-001378-index.html,https://www.sec.gov/Archives/edgar/data/789460/000104746913001398/0001047469-13-001398-index.html,https://www.sec.gov/Archives/edgar/data/789460/000104746914000906/a2218162z10-k.htm,https://www.sec.gov/Archives/edgar/data/789460/000155837015000073/int-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000155837016003246/0001558370-16-003246-index.html,https://www.sec.gov/Archives/edgar/data/789460/000162828017001482/0001628280-17-001482-index.html,https://www.sec.gov/Archives/edgar/data/789460/000162828018002457/0001628280-18-002457-index.html,https://www.sec.gov/Archives/edgar/data/789460/000162828019002382/0001628280-19-002382-index.html,https://www.sec.gov/Archives/edgar/data/789460/000162828020002590/0001628280-20-002590-index.html,https://www.sec.gov/Archives/edgar/data/789460/000162828021003481/0001628280-21-003481-index.htm,https://www.sec.gov/Archives/edgar/data/789460/000162828022004028/0001628280-22-004028-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,600000,2200000,2300000,2700000,3700000,7300000,5000000,3700000,7700000,10900000,12900000,11000000,14500000,16300000,32773000,38977000,- -,76256000,64178000,133284000,176495000,36151000,314352000,298843000,272893000,205415000,172740000,292061000,302264000,582500000,698600000,372300000,211700000,186100000,658800000,652200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,12500000,8100000,8100000,8100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,600000,2200000,2300000,2700000,3700000,7300000,5000000,3700000,7700000,10900000,12900000,11000000,14500000,16300000,32773000,38977000,- -,76256000,64178000,143284000,188995000,44251000,322452000,306943000,272893000,205415000,172740000,292061000,302264000,582500000,698600000,372300000,211700000,186100000,658800000,652200000
34,Net Receivables,600000,1100000,2700000,6700000,20600000,23200000,26800000,27000000,19900000,38800000,62700000,70800000,81600000,92900000,142250000,125863000,- -,192119000,490780000,688129000,860084000,1457187000,676100000,951398000,1441825000,2160561000,2193866000,2538642000,2307852000,1812600000,2344000000,2705600000,2739600000,2891900000,1238400000,2355300000
35,Inventory,100000,400000,300000,400000,3400000,2700000,3800000,2900000,2800000,3700000,4600000,6400000,5500000,6200000,10418000,5009000,- -,22940000,40901000,35802000,74519000,103029000,28726000,126793000,211526000,472584000,572313000,655046000,437566000,359100000,458000000,505000000,523100000,593300000,344300000,477900000
36,Other Current Assets,300000,100000,200000,400000,1100000,1200000,1400000,5700000,3300000,4600000,3100000,5200000,5900000,11400000,9829000,18376000,- -,19706000,52209000,81095000,72493000,60841000,144872000,78844000,141623000,283667000,342458000,329752000,627161000,500400000,336000000,357500000,500400000,498800000,397800000,534300000
37,Total Current Assets,1600000,3800000,5500000,10200000,28800000,34400000,37000000,39300000,33700000,58000000,83300000,93400000,107500000,126800000,195270000,188225000,- -,311021000,648068000,948310000,1196091000,1665308000,1172150000,1463978000,2067867000,3122227000,3281377000,3815501000,3674843000,3254600000,3836600000,3940400000,3974800000,4170100000,2639300000,4019700000
38,PP&E,1900000,2400000,3700000,4900000,8400000,11800000,14600000,12400000,14400000,15600000,14500000,16300000,18100000,21500000,5120000,6131000,- -,6963000,7092000,11579000,26730000,36870000,35328000,38777000,64106000,90710000,112525000,129685000,202716000,225600000,311200000,329800000,350400000,360800000,342700000,348900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24598000,- -,34003000,- -,- -,44321000,52104000,122010000,153841000,287434000,346246000,470506000,483591000,656078000,675800000,835800000,845500000,852700000,843700000,858600000,861900000
40,Intangible Assets,- -,600000,600000,800000,2500000,2200000,2200000,1900000,1800000,12400000,12100000,11800000,15400000,15100000,23040000,- -,- -,1104000,49833000,48161000,4961000,26478000,59189000,72805000,117726000,107620000,172273000,167202000,213591000,210900000,282400000,279700000,245400000,221700000,202900000,711900000
41,Intangible Assets,- -,600000,600000,800000,2500000,2200000,2200000,1900000,1800000,12400000,12100000,11800000,15400000,15100000,23040000,24598000,- -,35107000,49833000,48161000,49282000,78582000,181199000,226646000,405160000,453866000,642779000,650793000,869669000,886700000,1118200000,1125200000,1098100000,1065400000,1061500000,1573800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,300000,- -,100000,400000,400000,1500000,1600000,1100000,3800000,3500000,2100000,1600000,2300000,2500000,3346000,3211000,- -,4587000,7178000,5951000,5297000,17286000,15949000,11827000,29317000,30443000,71070000,143298000,132752000,182500000,146600000,192400000,253600000,396000000,456900000,- -
45,Total Non-Current Assets,2200000,3000000,4400000,6100000,11300000,15500000,18400000,15400000,20000000,31500000,28700000,29700000,35800000,39100000,31506000,33940000,- -,46657000,64103000,65691000,81309000,132738000,232476000,277250000,498583000,575019000,826374000,923776000,1205137000,1294800000,1576000000,1647400000,1702100000,1822200000,1861100000,1922700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3800000,6800000,9900000,16300000,40100000,49900000,55400000,54700000,53700000,89500000,112000000,123100000,143300000,165900000,226776000,222165000,- -,357678000,712171000,1014001000,1277400000,1798046000,1404626000,1741228000,2566450000,3697246000,4107751000,4739277000,4879980000,4549400000,5412600000,5587800000,5676900000,5992300000,4500400000,5942400000
48,Accounts Payable,- -,- -,- -,3200000,- -,10500000,16000000,11300000,9400000,24300000,37800000,38000000,40600000,49700000,80404000,69147000,- -,172885000,385243000,534064000,720790000,1066971000,548876000,796978000,1131228000,1739678000,1814794000,2210427000,1850134000,1349600000,1770400000,2239700000,2399600000,2602700000,1214700000,2399600000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,2200000,100000,100000,17000,2321000,- -,1600000,1100000,737000,10000,53000,23840000,6684000,17076000,17800000,26065000,14647000,17914000,25500000,15400000,25600000,41100000,54100000,22900000,30600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4423000,- -,- -,- -,- -,- -,- -,59910000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6320000,- -,- -,- -,- -,- -,- -,65480000,- -,96951000,- -,138803000,118300000,90800000,108300000,118200000,126700000,155800000,205500000
52,Other Current Liabilities,300000,1400000,2700000,1700000,9700000,4800000,4000000,4300000,3700000,6200000,4000000,4700000,6700000,7900000,40808000,40971000,- -,23957000,80642000,100755000,105961000,164087000,178330000,144080000,144700000,268664000,211488000,289441000,234503000,269400000,306100000,345000000,377000000,378900000,290600000,461000000
53,Total Current Liabilities,300000,1400000,2700000,4900000,9700000,15300000,20000000,15600000,13100000,30500000,43700000,44900000,47400000,57700000,121229000,112439000,- -,204762000,466985000,635556000,826761000,1231111000,751046000,947742000,1358484000,2026142000,2149298000,2514515000,2241354000,1762800000,2182700000,2718600000,2935900000,3162400000,1684000000,3096700000
54,Long-Term Debt,2000000,1400000,2100000,3100000,9600000,8300000,2300000,4800000,600000,4400000,2100000,400000,300000,- -,5886000,3158000,- -,- -,50467000,20006000,20062000,45191000,9537000,9925000,24566000,269348000,354253000,449064000,671954000,746700000,1170800000,884600000,659900000,574700000,501800000,478100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,200000,200000,200000,200000,- -,100000,400000,- -,- -,- -,800000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,100000,- -,-100000,- -,2500000,1600000,2100000,3700000,7400000,- -,2708000,- -,4537000,6216000,5092000,4608000,37867000,36156000,50312000,56836000,55038000,62576000,96804000,101791000,118500000,119100000,246700000,249600000,361400000,401600000,450800000
58,Total Non-Current Liabilities,2200000,1600000,2300000,3300000,9600000,8500000,2700000,4700000,600000,6900000,4500000,3000000,4000000,7400000,5886000,5866000,- -,4537000,56683000,25098000,24670000,83058000,45693000,60237000,81402000,324386000,416829000,545868000,773745000,865200000,1289900000,1131300000,909500000,936100000,903400000,928900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2500000,3000000,5000000,8200000,19300000,23800000,22700000,20300000,13700000,37400000,48200000,47900000,51400000,65100000,127115000,118305000,- -,209299000,523668000,660654000,851431000,1314169000,796739000,1007979000,1439886000,2350528000,2566127000,3060383000,3015099000,2628000000,3472600000,3849900000,3845400000,4098500000,2587400000,4025600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000,125000,- -,128000,255000,274000,285000,286000,293000,594000,696000,712000,721000,719000,721000,700000,700000,700000,700000,700000,600000,600000
64,Retained Earnings,300000,500000,1400000,3700000,7600000,12400000,18300000,19900000,25100000,31600000,41100000,52000000,65400000,78000000,85256000,93770000,- -,132976000,159496000,195494000,255245000,303757000,406953000,515218000,652796000,836222000,1014882000,1207299000,1418450000,1588600000,1679300000,1492800000,1606100000,1761300000,1836700000,1880600000
65,Other Comprehensive Income/Loss,-400000,-600000,-1200000,-1600000,-2300000,-3500000,-4700000,-3800000,-5000000,-5700000,-5900000,-7100000,-9100000,-10700000,-4289000,-5130000,- -,-9665000,-4369000,-5774000,164000,35000,-4401000,3795000,4753000,-6524000,-16018000,-29319000,-60215000,-113200000,-154800000,-126500000,-131700000,-146300000,-132600000,-136700000
66,Other Total Stockholders Equity,1400000,3900000,4700000,6000000,15500000,17200000,19100000,18300000,19900000,26200000,28600000,30300000,35600000,33500000,18569000,15095000,- -,24940000,33121000,163353000,170275000,179799000,205042000,213414000,468963000,502551000,517589000,495199000,496402000,435300000,399800000,354900000,340300000,274700000,204600000,168200000
67,Total Stockholders Equity,1300000,3800000,4900000,8100000,20800000,26100000,32700000,34400000,40000000,52100000,63800000,75200000,91900000,100800000,99661000,103860000,- -,148379000,188503000,353347000,425969000,483877000,607887000,733021000,1127208000,1332961000,1517174000,1673898000,1855358000,1911400000,1925000000,1721900000,1815400000,1890400000,1909300000,1912700000
68,Total Liabilities And Stockholders Equity,3800000,6800000,9900000,16300000,40100000,49900000,55400000,54700000,53700000,89500000,112000000,123100000,143300000,165900000,226776000,222165000,- -,357678000,712171000,1014001000,1277400000,1798046000,1404626000,1741000000,2567094000,3683489000,4083301000,4734281000,4870457000,4539400000,5397600000,5571800000,5660800000,5988900000,4496700000,5938300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228000,-644000,13757000,24450000,4996000,9523000,10000000,15000000,16000000,16100000,3400000,3700000,4100000
70,Total Liabilities & Equity,3800000,6800000,9900000,16300000,40100000,49900000,55400000,54700000,53700000,89500000,112000000,123100000,143300000,165900000,226776000,222165000,- -,357678000,712171000,1014001000,1277400000,1798046000,1404626000,1741228000,2566450000,3697246000,4107751000,4739277000,4879980000,4549400000,5412600000,5587800000,5676900000,5992300000,4500400000,5942400000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789460/000095017096000276/0000950170-96-000276-index.html,https://www.sec.gov/Archives/edgar/data/789460/000101684397000372/0001016843-97-000372-index.html,- -,https://www.sec.gov/Archives/edgar/data/789460/000101684399000628/0001016843-99-000628-index.html,https://www.sec.gov/Archives/edgar/data/789460/000101684300000457/0001016843-00-000457-index.html,https://www.sec.gov/Archives/edgar/data/789460/000102140801502209/0001021408-01-502209-index.html,undefined,https://www.sec.gov/Archives/edgar/data/789460/000119312504042155/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000119312505067072/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000119312506056673/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000119312507044566/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000119312508041954/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000119312509039256/0001193125-09-039256-index.html,https://www.sec.gov/Archives/edgar/data/789460/000119312510040758/0001193125-10-040758-index.html,https://www.sec.gov/Archives/edgar/data/789460/000119312511045452/d10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000104746912001378/0001047469-12-001378-index.html,https://www.sec.gov/Archives/edgar/data/789460/000104746913001398/0001047469-13-001398-index.html,https://www.sec.gov/Archives/edgar/data/789460/000104746914000906/a2218162z10-k.htm,https://www.sec.gov/Archives/edgar/data/789460/000155837015000073/int-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000155837016003246/0001558370-16-003246-index.html,https://www.sec.gov/Archives/edgar/data/789460/000162828017001482/0001628280-17-001482-index.html,https://www.sec.gov/Archives/edgar/data/789460/000162828018002457/0001628280-18-002457-index.html,https://www.sec.gov/Archives/edgar/data/789460/000162828019002382/0001628280-19-002382-index.html,https://www.sec.gov/Archives/edgar/data/789460/000162828020002590/0001628280-20-002590-index.html,https://www.sec.gov/Archives/edgar/data/789460/000162828021003481/0001628280-21-003481-index.htm,https://www.sec.gov/Archives/edgar/data/789460/000162828022004028/0001628280-22-004028-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,200000,200000,1000000,2200000,4000000,4800000,5900000,1600000,5200000,8100000,10900000,13300000,15900000,15100000,9635000,10634000,17235000,21874000,28559000,39609000,63948000,64773000,105039000,117139000,146865000,194029000,189345000,203075000,221747000,186900000,126500000,-170200000,127700000,178900000,109600000,73700000
74,Depreciation and Amortization,200000,300000,400000,500000,900000,1900000,2000000,1500000,1500000,1400000,1700000,1900000,2400000,2800000,2430000,2350000,1939000,3830000,3596000,3826000,4866000,6901000,13870000,16956000,19106000,40530000,36714000,44710000,59399000,63400000,82300000,86000000,81500000,87400000,85800000,81000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,300000,-400000,-200000,200000,1100000,-400000,400000,-500000,-2762000,-743000,-2163000,3175000,661000,-1446000,4187000,-3020000,545000,7495000,-7379000,1641000,9665000,-8243000,10351000,-7200000,-36000000,13900000,-3200000,3300000,-14400000,-7600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14674000,6480000,8789000,11041000,14079000,16716000,15755000,17000000,19200000,21200000,8300000,23600000,-900000,19600000
77,Change in Working Capital,- -,- -,1100000,400000,2500000,13800000,- -,-2100000,6700000,-3100000,6900000,12100000,8900000,11600000,9000000,4941000,1745000,30473000,74824000,131671000,56576000,64867000,-13093000,95132000,193147000,386702000,35994000,168907000,132503000,58311000,162100000,-432100000,-182900000,-31200000,-52400000,-13100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-262912000,-329105000,-725986000,97297000,-328969000,462517000,483200000,-506800000,-366600000,-445200000,-164100000,1300300000,-1132600000
79,Inventory,- -,- -,- -,-200000,- -,500000,-1100000,-300000,200000,-900000,-1000000,-1900000,900000,-700000,-5100000,5409000,2790000,-17796000,-18293000,4942000,-37871000,-26780000,74844000,-93606000,-58924000,-222445000,-90847000,-77754000,232258000,81400000,-49500000,-43900000,-11800000,-61300000,251000000,-135200000
