,https://roic.ai/company/TRS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,123520000,- -,- -,- -,4581650,44330000,5360000,18330000,38030000,2650000,-83100000,-126460000,-38460000,97140000,154090000,174240000,120520000,162850000,172840000,30740000,350000,127480000,163910000,172390000,7620000,137070000
16,EBITDA ratio,0.2058,- -,- -,- -,6.4788,0.0605,0.0073,0.0202,0.0364,0.0026,-0.0814,-0.1184,-0.0377,0.1209,0.1635,0.1607,0.0947,0.1168,0.1153,0.0356,0.0004,0.1559,0.1869,0.2383,0.0099,0.1599
17,Operating Income,104290000,- -,- -,- -,109260,67680000,67140000,48850000,62360000,84100000,-13620000,-91770000,-76380000,49910000,114080000,131320000,127870000,120530000,124550000,-4250000,-44000000,88490000,122070000,91220000,-88290000,95090000
18,Operating Income ratio,0.1738,- -,- -,- -,0.1545,0.0924,0.0915,0.0540,0.0597,0.0833,-0.0133,-0.0859,-0.0748,0.0621,0.1210,0.1211,0.1005,0.0864,0.0831,-0.0049,-0.0554,0.1082,0.1392,0.1261,-0.1147,0.1109
19,Total Other Income Expenses (Gains),-3700000,- -,- -,- -,- -,-77130000,-64020000,-85370000,-68840000,-81300000,-91820000,-79630000,-54290000,-28830000,-52930000,-51580000,-85610000,-22770000,-24950000,-17870000,-14230000,-22280000,-16090000,-12960000,-14420000,-25980000
20,Income Before Tax,100590000,- -,- -,- -,- -,-9450000,3120000,-36520000,-6480000,2800000,-105440000,-171400000,-130670000,21080000,61150000,79740000,42260000,97760000,99600000,-22120000,-58230000,66210000,105980000,78260000,-102710000,69110000
21,Income Before Tax Ratio,0.1676,- -,- -,- -,- -,-0.0129,0.0043,-0.0403,-0.0062,0.0028,-0.1033,-0.1604,-0.1279,0.0262,0.0649,0.0736,0.0332,0.0701,0.0664,-0.0256,-0.0733,0.0810,0.1208,0.1082,-0.1334,0.0806
22,Income Tax expense (Gain),39230000,- -,- -,- -,- -,1870000,2250000,-5590000,-4290000,1920000,2740000,-12080000,-2080000,8350000,19250000,28930000,5970000,18390000,32870000,6540000,-18430000,35250000,22680000,16320000,22950000,11800000
23,Net Income,61360000,- -,- -,- -,41650,-11320000,-35760000,-30930000,-2190000,-45460000,-128910000,-158430000,-136190000,-220000,45270000,60360000,33880000,75550000,68470000,-33400000,-39800000,30960000,83300000,98620000,-79760000,57310000
24,Net Income ratio,0.1022,- -,- -,- -,0.0589,-0.0155,-0.0487,-0.0342,-0.0021,-0.0450,-0.1263,-0.1483,-0.1333,-0.0003,0.0480,0.0557,0.0266,0.0542,0.0457,-0.0387,-0.0501,0.0379,0.0950,0.1363,-0.1036,0.0669
25,EPS,1.66,- -,- -,- -,0.00,-0.55,-1.72,-1.54,-0.11,-2.29,-6.37,-5.56,-4.07,-0.01,1.34,1.76,0.90,1.85,1.53,-0.74,-0.88,0.68,1.82,2.18,-1.83,1.32
26,EPS Diluted,1.55,- -,- -,- -,0.00,-0.55,-1.72,-1.54,-0.11,-2.29,-6.37,-5.56,-4.07,-0.01,1.31,1.73,0.89,1.83,1.51,-0.74,-0.88,0.67,1.80,2.16,-1.83,1.32
27,Weighted Average Shares Outstanding,36963855,- -,- -,- -,20759500,20759500,20759500,20047090,20010000,20010000,20229716,28498678,33422572,33489659,33761430,34246289,37520935,40926257,44881925,45123626,45407316,45682627,45824555,45303659,43581232,43581232
28,Weighted Average Shares Outstanding Diluted,39587097,- -,- -,- -,37099338,37099338,37099338,20047090,20010000,20010000,20229716,28498678,33441448,33892170,34435245,34779693,37949021,41395706,45269409,45123626,45407316,45990252,46170464,45595154,43581232,43581232
29,SEC Link,- -,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842633/000095013604000888/file001.htm,https://www.sec.gov/Archives/edgar/data/842633/000095013605001568/file001.htm,https://www.sec.gov/Archives/edgar/data/842633/000095013606002701/file001.htm,https://www.sec.gov/Archives/edgar/data/842633/000104746907002079/a2176795z10-k.htm,https://www.sec.gov/Archives/edgar/data/842633/000104746908002695/a2183660z10-k.htm,https://www.sec.gov/Archives/edgar/data/842633/000104746909002427/0001047469-09-002427-index.html,https://www.sec.gov/Archives/edgar/data/842633/000104746910001784/0001047469-10-001784-index.html,https://www.sec.gov/Archives/edgar/data/842633/000104746911001479/a2202276z10-k.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263312000012/0000842633-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263313000015/0000842633-13-000015-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263314000015/trs201310-k.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263315000016/trs201410-k.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263316000176/0000842633-16-000176-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263317000010/0000842633-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263318000010/0000842633-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263319000010/0000842633-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263320000014/0000842633-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263321000005/0000842633-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263322000008/0000842633-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,105890000,- -,- -,- -,- -,3780000,100440000,6780000,3090000,3730000,3600000,4800000,3910000,9480000,46370000,88920000,20580000,27000000,24420000,19450000,20710000,27580000,108150000,172470000,62790000,129790000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,105890000,- -,- -,- -,- -,3780000,100440000,6780000,3090000,3730000,3600000,4800000,3910000,9480000,46370000,88920000,20580000,27000000,24420000,19450000,20710000,27580000,108150000,172470000,62790000,129790000
34,Net Receivables,80390000,- -,- -,- -,- -,34240000,95580000,118970000,93390000,89960000,99240000,89370000,104760000,93380000,117050000,135610000,150390000,180210000,196320000,121990000,111570000,112220000,123110000,108860000,113410000,125630000
35,Inventory,92210000,- -,- -,- -,- -,96810000,91410000,124090000,180040000,149210000,165360000,190590000,188950000,141840000,161300000,178030000,238020000,270690000,294630000,167370000,160460000,155350000,173120000,132660000,149380000,152450000
36,Other Current Assets,4130000,- -,- -,- -,- -,17040000,28100000,19340000,25980000,72760000,43400000,29200000,50600000,35070000,42050000,29130000,28800000,37110000,43250000,17810000,16060000,16120000,7430000,20050000,26250000,23900000
37,Total Current Assets,282620000,- -,- -,- -,- -,151870000,315530000,269180000,302500000,315660000,311600000,313960000,348220000,279770000,366770000,431690000,437790000,515010000,558620000,326620000,308800000,311270000,411810000,434040000,351830000,431770000
38,PP&E,194540000,- -,- -,- -,- -,254380000,234990000,187420000,198610000,164630000,165200000,195120000,181570000,162220000,167510000,159210000,185030000,206150000,232650000,181130000,179160000,190250000,187800000,242180000,290880000,316280000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,658900000,657980000,644780000,529730000,377340000,202280000,196330000,205890000,215360000,270940000,309660000,466660000,378920000,315080000,319390000,316650000,334640000,303970000,315490000
40,Intangible Assets,- -,- -,- -,- -,729810,299490000,286270000,322750000,304910000,255220000,240120000,214290000,178880000,164080000,159930000,155670000,206160000,219530000,363930000,273870000,213920000,194220000,174530000,161390000,206200000,196730000
41,Intangible Assets,- -,- -,- -,- -,729810,299490000,286270000,981650000,962890000,900000000,769850000,591630000,381160000,360410000,365820000,371030000,477100000,529190000,830590000,652790000,529000000,513610000,491180000,496030000,510170000,512220000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9100000,1080000,500000,19580000,9740000
44,Other Non-Current Assets,219510000,- -,- -,- -,- -,560000000,573980000,61780000,58200000,48220000,39410000,27280000,19270000,23380000,24060000,24610000,31040000,50430000,39890000,9760000,34690000,8970000,8650000,19950000,21420000,33630000
45,Total Non-Current Assets,414050000,- -,- -,- -,- -,1113870000,1095240000,1230850000,1219700000,1112850000,974460000,814030000,582000000,546010000,557390000,554850000,693170000,785770000,1103130000,843680000,742850000,721930000,688710000,758660000,842050000,871870000
46,Other Assets,- -,- -,- -,- -,1239740,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,696670000,- -,- -,- -,1239740,1265740000,1410770000,1500030000,1522200000,1428510000,1286060000,1127990000,930220000,825780000,924160000,986540000,1130960000,1300780000,1661750000,1170300000,1051650000,1033200000,1100520000,1192700000,1193880000,1303640000
48,Accounts Payable,33750000,- -,- -,- -,- -,47000000,54480000,94130000,135230000,111250000,100070000,121860000,111810000,92840000,128300000,146930000,158410000,166090000,185010000,88420000,72270000,72410000,93430000,72670000,69910000,87800000
49,Short-Term Debt,- -,- -,- -,- -,- -,28900000,2990000,10920000,2990000,15920000,9700000,8390000,10360000,20390000,17730000,7290000,14370000,10290000,23860000,13850000,13810000,- -,- -,5100000,6740000,8120000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,45430000,- -,- -,- -,- -,56190000,73100000,79500000,70830000,106060000,95500000,73280000,67680000,66820000,68400000,70140000,74420000,85130000,101050000,50480000,47190000,49470000,48300000,42020000,60540000,58980000
53,Total Current Liabilities,79180000,- -,- -,- -,- -,132090000,130570000,184550000,209050000,233230000,205270000,203530000,189850000,180050000,214430000,224360000,247200000,261510000,309920000,152750000,133270000,121880000,141730000,119790000,137190000,154900000
54,Long-Term Debt,187120000,- -,- -,- -,- -,411860000,693190000,725060000,735030000,711760000,724790000,607600000,599580000,494160000,476920000,462610000,408070000,295450000,615470000,405780000,360840000,303080000,293560000,294690000,377900000,437600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,169780000,155920000,149030000,133540000,95980000,89940000,73280000,51650000,42590000,63880000,64780000,60370000,64940000,55290000,11260000,5910000,5650000,5560000,16830000,24850000,21260000
57,Other Non-Current Liabilities,39920000,- -,- -,- -,- -,31010000,43040000,44730000,39420000,38240000,33280000,35090000,34240000,47000000,56610000,61000000,111740000,129470000,90440000,53320000,51910000,58570000,39220000,63910000,69690000,59030000
58,Total Non-Current Liabilities,227040000,- -,- -,- -,- -,612650000,892150000,918820000,907990000,845980000,848010000,715970000,685470000,583750000,597410000,588390000,580180000,489860000,761200000,470360000,418660000,367300000,338340000,375430000,472440000,517890000
59,Other Liabilities,- -,- -,- -,- -,541150,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28200000,38350000,51900000
61,Total Liabilities,306220000,- -,- -,- -,541150,744740000,1022720000,1103370000,1117040000,1079210000,1053280000,919500000,875320000,763800000,811840000,812750000,827380000,751370000,1071120000,623110000,551930000,489180000,480070000,495220000,609630000,672790000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,370000,- -,- -,- -,- -,- -,190000,200000,200000,200000,210000,330000,330000,330000,340000,350000,390000,450000,450000,450000,460000,460000,460000,450000,430000,430000
64,Retained Earnings,238290000,- -,- -,- -,- -,- -,-6940000,-38240000,-40430000,-86310000,-215220000,-373970000,-510160000,-510380000,-465110000,-404750000,-370870000,-295320000,-226850000,-254120000,-293920000,-262960000,-179660000,-79850000,-159610000,-102300000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,7300000,34830000,45940000,38430000,48720000,56170000,37730000,43660000,46060000,39580000,39260000,27830000,10220000,-11300000,-24400000,-17330000,-16850000,-6000000,-5620000,230000
66,Other Total Stockholders Equity,151790000,- -,- -,- -,698590,521000000,387500000,399870000,399450000,396980000,399070000,525960000,527000000,528370000,531030000,538610000,634800000,816450000,806810000,812160000,817580000,823850000,816500000,782880000,749050000,732490000
67,Total Stockholders Equity,390450000,- -,- -,- -,698590,521000000,388050000,396660000,405160000,349300000,232780000,208490000,54900000,61980000,112320000,173790000,303580000,549410000,590630000,547190000,499720000,544020000,620450000,697480000,584250000,630850000
68,Total Liabilities And Stockholders Equity,696670000,- -,- -,- -,1239740,1265740000,1410770000,1500030000,1522200000,1428510000,1286060000,1127990000,930220000,825780000,924160000,986540000,1130960000,1300780000,1661750000,1170300000,1051650000,1033200000,1100520000,1192700000,1193880000,1303640000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,696670000,- -,- -,- -,1239740,1265740000,1410770000,1500030000,1522200000,1428510000,1286060000,1127990000,930220000,825780000,924160000,986540000,1130960000,1300780000,1661750000,1170300000,1051650000,1033200000,1100520000,1192700000,1193880000,1303640000
71,SEC Link,- -,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842633/000095013604000888/file001.htm,https://www.sec.gov/Archives/edgar/data/842633/000095013605001568/file001.htm,https://www.sec.gov/Archives/edgar/data/842633/000095013606002701/file001.htm,https://www.sec.gov/Archives/edgar/data/842633/000104746907002079/a2176795z10-k.htm,https://www.sec.gov/Archives/edgar/data/842633/000104746908002695/a2183660z10-k.htm,https://www.sec.gov/Archives/edgar/data/842633/000104746909002427/0001047469-09-002427-index.html,https://www.sec.gov/Archives/edgar/data/842633/000104746910001784/0001047469-10-001784-index.html,https://www.sec.gov/Archives/edgar/data/842633/000104746911001479/a2202276z10-k.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263312000012/0000842633-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263313000015/0000842633-13-000015-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263314000015/trs201310-k.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263315000016/trs201410-k.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263316000176/0000842633-16-000176-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263317000010/0000842633-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263318000010/0000842633-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263319000010/0000842633-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263320000014/0000842633-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263321000005/0000842633-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263322000008/0000842633-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,61360000,- -,- -,- -,41650,-11320000,-35760000,-30930000,-2190000,-45460000,-128910000,-158430000,-136190000,-220000,45270000,60360000,33880000,75550000,68470000,-33400000,-39800000,30960000,83300000,98620000,-79760000,57310000
74,Depreciation and Amortization,22930000,- -,- -,- -,4540000,53780000,38870000,54850000,44510000,46190000,43070000,44050000,44070000,43940000,37740000,40470000,44870000,50580000,56480000,43540000,44860000,46870000,44020000,43500000,49770000,53450000
75,Deferred Income Tax,2100000,- -,- -,- -,2750000,8810000,-7200000,-15140000,-19060000,-37580000,-11280000,-9480000,-19690000,-5950000,11900000,12680000,-8330000,-8800000,-8620000,-8750000,-32160000,15260000,7200000,2100000,-33710000,1680000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1040000,580000,2180000,3510000,9280000,9200000,7440000,6340000,6940000,6780000,7170000,6450000,8170000,9500000
77,Change in Working Capital,5980000,- -,- -,- -,-203440000,19780000,165180000,-100330000,8820000,-11020000,23900000,4100000,47940000,-58650000,52620000,54990000,-16740000,62910000,-4800000,-74830000,1660000,13860000,80690000,44170000,-99610000,-4990000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11420000,- -,- -,- -
79,Inventory,-2430000,- -,- -,- -,-2740000,15250000,-2580000,-1470000,-54130000,8900000,-11310000,-25080000,-8740000,51780000,-12820000,-16840000,-48010000,-10690000,-7510000,3250000,5180000,4350000,-18690000,740000,3980000,-960000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,203440000,- -,- -,- -,- -,19780000,184960000,84630000,93450000,82430000,106330000,110430000,158370000,99720000,152340000,207330000,190590000,253500000,248700000,173870000,175530000,189390000,270080000,314250000,214640000,- -
82,Other Non-Cash Items,-1290000,- -,- -,- -,214818350,4930000,-186200000,132910000,10540000,77760000,89100000,184730000,94000000,103810000,-54750000,-76200000,10260000,-101830000,4430000,129640000,98970000,6330000,-93060000,-119240000,282550000,17270000
83,Cash Provided by Operating Activities,91080000,- -,- -,- -,18710000,75980000,-25110000,41360000,42620000,29890000,15880000,64970000,31170000,83510000,94960000,95810000,73220000,87610000,123400000,62540000,80470000,120060000,129320000,75600000,127410000,134220000
84,CAPEX,-26670000,- -,- -,- -,-3260000,-18690000,-32140000,-31690000,-42990000,-21670000,-29840000,-64690000,-29170000,-14060000,-21900000,-32620000,-46120000,-39490000,-34450000,-28660000,-31330000,-36800000,-25050000,-29670000,-40480000,-45060000
85,Acquisitions Net,-27490000,- -,- -,- -,- -,- -,-1920000,-205770000,-5500000,- -,- -,-13540000,-4210000,23190000,-15950000,7390000,-86880000,-90850000,-375640000,-8300000,- -,- -,- -,60990000,-191590000,-34120000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-26670000,- -,- -,- -,-1300000,-12620000,-35320000,44490000,-41340000,5030000,7680000,9320000,-29170000,-14060000,-21900000,-32620000,-46120000,-39490000,-34450000,-31170000,-31110000,-32350000,-24800000,-31910000,-40480000,-45060000
89,Cash Used for Investing Activites,-54160000,- -,- -,- -,-1300000,-12620000,-37240000,-161280000,-46840000,-16640000,-22160000,-68910000,-33380000,9130000,-37850000,-25230000,-133000000,-130340000,-410090000,-39470000,-31110000,-32350000,-24800000,29080000,-232070000,-79180000
90,Debt Repayment,- -,- -,- -,- -,- -,-32160000,-32720000,-436050000,-838790000,- -,- -,- -,-576160000,-1118140000,-497020000,-953670000,-1403420000,-1705020000,-1177740000,-1614260000,-447200000,-775250000,-68490000,-189340000,-319120000,-348620000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,35200000,- -,- -,- -,126460000,- -,- -,- -,- -,79040000,174670000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12140000,-36740000,-39420000,-24320000
93,Dividends Paid,-8060000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1740000
94,Other Financing Activites,-15360000,- -,- -,- -,-16790000,-34480000,191730000,447110000,839320000,-12610000,6150000,-121320000,577480000,1031070000,476800000,925640000,1315820000,1579500000,1461850000,1586220000,399100000,694410000,56680000,185720000,364680000,386430000
95,Cash Used/Provided by Financing Activities,-23420000,- -,- -,- -,-16790000,-66640000,159010000,26260000,530000,-12610000,6150000,5140000,1320000,-87070000,-20220000,-28030000,-8560000,49150000,284110000,-28040000,-48100000,-80840000,-23950000,-40360000,6140000,11750000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,13500000,- -,- -,- -,620000,-3280000,96660000,-93660000,-3690000,640000,-130000,1200000,-890000,5570000,36890000,42550000,-68340000,6420000,-2580000,-4970000,1260000,6870000,80570000,64320000,-98520000,66790000
98,Cash at the End of Period,105890000,- -,- -,- -,7060000,3780000,100440000,6780000,3090000,3730000,3600000,4800000,3910000,9480000,46370000,88920000,20580000,27000000,24420000,19450000,20710000,27580000,108150000,172470000,73950000,140740000
99,Cash at the Beginning of Period,92390000,- -,- -,- -,6440000,7060000,3780000,100440000,6780000,3090000,3730000,3600000,4800000,3910000,9480000,46370000,88920000,20580000,27000000,24420000,19450000,20710000,27580000,108150000,172470000,73950000
100,Free Cash Flow,64410000,- -,- -,- -,15450000,57290000,-57250000,9670000,-370000,8220000,-13960000,280000,2000000,69450000,73060000,63190000,27100000,48120000,88950000,33880000,49140000,83260000,104270000,45930000,86930000,89160000
101,SEC Link,- -,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842633/000095013604000888/file001.htm,https://www.sec.gov/Archives/edgar/data/842633/000095013605001568/file001.htm,https://www.sec.gov/Archives/edgar/data/842633/000095013606002701/file001.htm,https://www.sec.gov/Archives/edgar/data/842633/000104746907002079/a2176795z10-k.htm,https://www.sec.gov/Archives/edgar/data/842633/000104746908002695/a2183660z10-k.htm,https://www.sec.gov/Archives/edgar/data/842633/000104746909002427/0001047469-09-002427-index.html,https://www.sec.gov/Archives/edgar/data/842633/000104746910001784/0001047469-10-001784-index.html,https://www.sec.gov/Archives/edgar/data/842633/000104746911001479/a2202276z10-k.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263312000012/0000842633-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263313000015/0000842633-13-000015-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263314000015/trs201310-k.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263315000016/trs201410-k.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263316000176/0000842633-16-000176-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263317000010/0000842633-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263318000010/0000842633-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263319000010/0000842633-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263320000014/0000842633-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/842633/000084263321000005/0000842633-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263322000008/0000842633-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
