,https://roic.ai/company/IBM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,11619000000,8389000000,8609000000,9033000000,10885000000,14420000000,5271000000,-867000000,-4201000000,12677000000,14140000000,14315000000,14756000000,14745000000,19069000000,17246000000,15773000000,10148000000,15545000000,17064000000,17574000000,18654000000,20301000000,22838000000,23534000000,24922000000,26229000000,27037000000,24604000000,21232000000,20094000000,17332000000,16551000000,16550000000,17565000000,12709000000,13438000000
16,EBITDA ratio,0.2321,0.1637,0.1588,0.1514,0.1736,0.2089,0.0814,-0.0134,-0.0670,0.1979,0.1966,0.1926,0.1880,0.1865,0.2178,0.1951,0.1837,0.1250,0.1744,0.1772,0.1928,0.2040,0.2055,0.2204,0.2458,0.2495,0.2453,0.2587,0.2467,0.2288,0.2458,0.2169,0.2091,0.2079,0.2277,0.1726,0.2343
17,Operating Income,11230000000,7859000000,7742000000,8746000000,6893000000,11032000000,942000000,3406000000,-8637000000,5005000000,7591000000,8596000000,9098000000,6572000000,11927000000,11634000000,9295000000,6796000000,10089000000,10975000000,9376000000,11929000000,13516000000,15938000000,17012000000,18149000000,20286000000,21568000000,19756000000,18866000000,15921000000,13192000000,11855000000,13285000000,10631000000,6895000000,6865000000
18,Operating Income ratio,0.2243,0.1533,0.1428,0.1465,0.1099,0.1598,0.0145,0.0528,-0.1377,0.0781,0.1055,0.1157,0.1159,0.0831,0.1362,0.1316,0.1083,0.0837,0.1132,0.1140,0.1029,0.1305,0.1368,0.1538,0.1777,0.1817,0.1897,0.2064,0.1981,0.2033,0.1948,0.1651,0.1498,0.1669,0.1378,0.0937,0.1197
19,Total Other Income Expenses (Gains),389000000,530000000,867000000,287000000,-248000000,-829000000,-821000000,-12432000000,-160000000,150000000,222000000,-9000000,-71000000,2468000000,-170000000,-100000000,1658000000,728000000,785000000,1053000000,2850000000,1388000000,973000000,777000000,1126000000,1574000000,717000000,334000000,-232000000,1120000000,24000000,-862000000,-455000000,-1943000000,-465000000,-2258000000,-2028000000
20,Income Before Tax,11619000000,8389000000,8609000000,9033000000,6645000000,10203000000,121000000,-9026000000,-8797000000,5155000000,7813000000,8587000000,9027000000,9040000000,11757000000,11534000000,10953000000,7524000000,10874000000,12028000000,12226000000,13317000000,14489000000,16715000000,18138000000,19723000000,21003000000,21902000000,19524000000,19986000000,15945000000,12330000000,11400000000,11342000000,10166000000,4637000000,4837000000
21,Income Before Tax Ratio,0.2321,0.1637,0.1588,0.1514,0.1060,0.1478,0.0019,-0.1399,-0.1403,0.0805,0.1086,0.1155,0.1150,0.1143,0.1343,0.1305,0.1276,0.0927,0.1220,0.1249,0.1342,0.1457,0.1467,0.1613,0.1894,0.1975,0.1964,0.2096,0.1957,0.2154,0.1951,0.1543,0.1441,0.1425,0.1318,0.0630,0.0843
22,Income Tax expense (Gain),5064000000,3600000000,3351000000,3542000000,2887000000,4183000000,685000000,-2161000000,-810000000,2134000000,3635000000,3158000000,2934000000,2712000000,4045000000,3441000000,3230000000,2190000000,3261000000,3580000000,4232000000,3901000000,4071000000,4381000000,4713000000,4890000000,5148000000,5298000000,3041000000,4234000000,2581000000,449000000,5642000000,2619000000,731000000,-864000000,124000000
23,Net Income,6555000000,4789000000,5258000000,5491000000,3758000000,6020000000,-564000000,-4965000000,-8101000000,3021000000,4178000000,5429000000,6093000000,6328000000,7712000000,8093000000,7723000000,3579000000,7583000000,8430000000,7934000000,9492000000,10418000000,12334000000,13425000000,14833000000,15855000000,16604000000,16483000000,12022000000,13190000000,11872000000,5753000000,8728000000,9431000000,5590000000,5742000000
24,Net Income ratio,0.1310,0.0934,0.0970,0.0920,0.0599,0.0872,-0.0087,-0.0769,-0.1292,0.0472,0.0581,0.0730,0.0776,0.0800,0.0881,0.0916,0.0899,0.0441,0.0851,0.0875,0.0871,0.1038,0.1055,0.1190,0.1402,0.1485,0.1483,0.1589,0.1652,0.1296,0.1614,0.1485,0.0727,0.1097,0.1222,0.0759,0.1001
25,EPS,2.67,1.96,2.18,2.32,1.62,2.63,-0.25,-2.17,-3.56,1.25,1.81,2.56,3.09,3.38,4.25,4.58,4.45,2.10,4.40,5.03,4.96,6.20,7.32,9.07,10.12,11.69,13.25,14.53,15.06,11.97,13.48,12.43,6.17,9.57,10.63,6.28,6.41
26,EPS Diluted,2.67,1.96,2.18,2.32,1.62,2.63,-0.25,-2.17,-3.56,1.25,1.81,2.56,3.00,3.29,4.12,4.44,4.35,2.06,4.32,4.93,4.87,6.11,7.18,8.93,10.01,11.52,13.06,14.37,14.94,11.90,13.42,12.38,6.14,9.52,10.56,6.23,6.35
27,Weighted Average Shares Outstanding,2455056180,2443367347,2411926606,2366810345,2319753086,2288973384,2256000000,2288018433,2288764045,2339834796,2277536116,2113408376,1966572722,1869005570,1808538346,1763037049,1733258427,1703244345,1721588628,1674959086,1600591264,1530806987,1423039793,1359769923,1327200000,1268800000,1197000000,1142500000,1094500000,1004300000,978700000,955400000,932800000,912000000,887200000,890300000,895990771
28,Weighted Average Shares Outstanding Diluted,2455056180,2443367347,2411926606,2366810345,2319753086,2288973384,2256000000,2288018433,2288764045,2339834796,2277536116,2133200000,2021869884,1920130470,1871073912,1812118422,1773103448,1730941054,1756090689,1708872279,1627632662,1553535384,1450570579,1381773136,1341400000,1287400000,1213800000,1155400000,1103000000,1010000000,982700000,958700000,937400000,916300000,892800000,896600000,904641001
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51143/000095011295000774/0000950112-95-000774-index.html,- -,https://www.sec.gov/Archives/edgar/data/51143/000091205797010483/0000912057-97-010483-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51143/000091205701007563/0000912057-01-007563-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/51143/000104746904006934/0001047469-04-006934-index.htm,- -,https://www.sec.gov/Archives/edgar/data/51143/000104746906002608/0001047469-06-002608-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746907001434/0001047469-07-001434-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746908001731/0001047469-08-001731-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746909001737/0001047469-09-001737-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746910001151/0001047469-10-001151-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746911001117/0001047469-11-001117-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746912001742/0001047469-12-001742-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746913001698/0001047469-13-001698-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746914001302/0001047469-14-001302-index.htm,- -,https://www.sec.gov/Archives/edgar/data/51143/000104746916010329/0001047469-16-010329-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746917001061/0001047469-17-001061-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746918001117/0001047469-18-001117-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746919000712/0001047469-19-000712-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837020001334/0001558370-20-001334-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837021001489/0001558370-21-001489-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/0001558370-22-001584-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,7922000000,7259000000,7687000000,7106000000,5375000000,5043000000,3563000000,6330000000,5382000000,7290000000,10053000000,12568000000,8022000000,14991000000,12741000000,12183000000,10661000000,11922000000,10412000000,10716000000,8476000000,7686000000,7826000000,11972000000,11379000000,8172000000,13212000000,6650000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2632000000,442000000,450000000,447000000,393000000,788000000,159000000,63000000,593000000,357000000,517000000,1118000000,2634000000,1155000000,166000000,1791000000,990000000,- -,717000000,350000000,- -,508000000,701000000,608000000,618000000,696000000,600000000,600000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,10554000000,7701000000,8137000000,7553000000,5768000000,5831000000,3722000000,6393000000,5975000000,7647000000,10570000000,13686000000,10656000000,16146000000,12907000000,13974000000,11651000000,11922000000,11129000000,11066000000,8476000000,8194000000,8527000000,12580000000,11997000000,8868000000,13812000000,7250000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,21533000000,23402000000,23167000000,23826000000,26781000000,27618000000,30726000000,27018000000,27358000000,28923000000,28136000000,24428000000,26848000000,28789000000,27555000000,26793000000,28225000000,29561000000,30578000000,31836000000,31831000000,28554000000,29245000000,31630000000,30563000000,23795000000,18738000000,14977000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,6334000000,6323000000,5870000000,5139000000,5200000000,4868000000,4765000000,4304000000,3148000000,2942000000,3316000000,2841000000,2810000000,2664000000,2701000000,2494000000,2450000000,2595000000,2287000000,2310000000,2103000000,1551000000,1553000000,1583000000,1682000000,1619000000,1839000000,1649000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2917000000,3265000000,3521000000,3900000000,4611000000,4838000000,4667000000,4746000000,5171000000,5486000000,4948000000,4706000000,4346000000,5578000000,5841000000,5674000000,5790000000,6850000000,5439000000,6138000000,7012000000,4205000000,4563000000,3942000000,4904000000,4138000000,4776000000,5663000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,41338000000,40691000000,40695000000,40418000000,42360000000,43155000000,43880000000,42461000000,41652000000,44998000000,46970000000,45661000000,44660000000,53177000000,49004000000,48935000000,48116000000,50928000000,49433000000,51350000000,49422000000,42504000000,43888000000,49735000000,49146000000,38420000000,39165000000,29539000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,16664000000,16579000000,17407000000,18347000000,19631000000,17590000000,16714000000,16504000000,14440000000,14689000000,15175000000,13756000000,14439000000,15081000000,14304000000,14165000000,14096000000,40124000000,40501000000,40475000000,10772000000,29342000000,30133000000,32331000000,32460000000,32028000000,14726000000,8915000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8437000000,9441000000,12854000000,14285000000,18226000000,20190000000,25136000000,26213000000,29247000000,31184000000,30556000000,32021000000,36199000000,36788000000,36265000000,58222000000,59617000000,55643000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2963000000,2419000000,1435000000,819000000,599000000,663000000,- -,1278000000,4677000000,7495000000,1789000000,1663000000,2203000000,2107000000,2876000000,2513000000,3488000000,3392000000,3787000000,3871000000,3103000000,3486000000,4689000000,3741000000,3088000000,15236000000,13795000000,12511000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2963000000,2419000000,1435000000,819000000,599000000,663000000,- -,1278000000,4677000000,7495000000,10226000000,11104000000,15057000000,16392000000,21102000000,22703000000,28624000000,29605000000,33034000000,35055000000,33659000000,35507000000,40888000000,40529000000,39353000000,73458000000,73412000000,68154000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5468000000,4974000000,8381000000,6761000000,5058000000,5379000000,5778000000,4895000000,346000000,310000000,594000000,475000000,104000000,122000000,226000000,222000000,226000000,206000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2395000000,4314000000,4288000000,- -,- -,- -,- -,7270000000,4195000000,3220000000,3503000000,3973000000,3051000000,4808000000,4822000000,5224000000,4862000000,5216000000,5182000000,9241000000,7370000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,20126000000,20603000000,21595000000,21915000000,23510000000,26087000000,27755000000,25675000000,31401000000,32987000000,31344000000,30253000000,20697000000,29020000000,12786000000,13645000000,13618000000,-12622000000,-8074000000,-4018000000,18280000000,-2159000000,-2767000000,-2224000000,-3019000000,2876000000,19200000000,17815000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,39753000000,39601000000,40437000000,41081000000,43740000000,44340000000,44469000000,45852000000,54832000000,59459000000,62213000000,60087000000,58574000000,67254000000,60520000000,60087000000,65336000000,65505000000,69780000000,74873000000,68113000000,67987000000,73582000000,75620000000,74236000000,113766000000,116805000000,102460000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204922000000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,81091000000,80292000000,81132000000,81499000000,86100000000,87495000000,88349000000,88313000000,96484000000,104457000000,109183000000,105748000000,103234000000,120431000000,109524000000,109022000000,113452000000,116433000000,119213000000,126223000000,117532000000,110491000000,117470000000,125355000000,123382000000,152186000000,155970000000,132001000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,3778000000,4511000000,4767000000,5215000000,6252000000,6400000000,8192000000,7047000000,7630000000,8460000000,9444000000,7349000000,7964000000,8054000000,7014000000,7436000000,7804000000,8517000000,7952000000,7461000000,6864000000,6028000000,6209000000,6451000000,6558000000,4896000000,4908000000,3955000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,9570000000,11569000000,12957000000,13230000000,13905000000,14230000000,6684000000,11188000000,6031000000,6646000000,8099000000,7216000000,8902000000,12235000000,11237000000,4168000000,6778000000,8463000000,9182000000,6863000000,5731000000,6461000000,7513000000,6986000000,10207000000,10177000000,8540000000,7760000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4728000000,4710000000,4670000000,3673000000,- -,3826000000,4216000000,3313000000,4948000000,4633000000,5084000000,2847000000,3235000000,4219000000,3046000000,2839000000,3301000000,2289000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,3475000000,3469000000,3640000000,3445000000,4115000000,4529000000,4516000000,4223000000,5276000000,6492000000,7175000000,7319000000,8587000000,9802000000,10239000000,10845000000,11580000000,12196000000,11952000000,12557000000,11877000000,11021000000,11035000000,11552000000,11165000000,12026000000,12833000000,12518000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,12403000000,12099000000,12636000000,11617000000,12555000000,14419000000,17014000000,12661000000,15613000000,16302000000,15080000000,13268000000,14638000000,14219000000,13945000000,13553000000,14400000000,12947000000,14539000000,13273000000,15128000000,10759000000,11518000000,12374000000,10297000000,10602000000,13588000000,9386000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,29226000000,31648000000,34000000000,33507000000,36827000000,39578000000,36406000000,35119000000,34550000000,37900000000,39798000000,35152000000,40091000000,44310000000,42435000000,36002000000,40562000000,42123000000,43625000000,40154000000,39600000000,34269000000,36275000000,37363000000,38227000000,37701000000,39869000000,33619000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,12548000000,10060000000,9872000000,13696000000,15508000000,14124000000,18371000000,15963000000,19986000000,16986000000,14828000000,15425000000,13780000000,23039000000,22689000000,21932000000,21846000000,22857000000,24088000000,32856000000,35073000000,33428000000,34655000000,39837000000,35605000000,54102000000,54355000000,47379000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1266000000,- -,- -,- -,2222000000,2437000000,2502000000,3060000000,3171000000,3562000000,3666000000,3847000000,4491000000,4108000000,3691000000,3771000000,3600000000,3746000000,3445000000,3851000000,4301000000,3577000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1881000000,1807000000,1627000000,1487000000,1514000000,1354000000,1623000000,1593000000,1450000000,1834000000,1879000000,1616000000,665000000,1064000000,270000000,- -,- -,- -,448000000,1741000000,288000000,253000000,424000000,545000000,3696000000,5230000000,5472000000,3956000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,14023000000,14354000000,14005000000,12993000000,12818000000,11928000000,10059000000,12024000000,17716000000,19873000000,20709000000,18020000000,17690000000,20488000000,27494000000,24771000000,24206000000,27370000000,27577000000,24435000000,26866000000,24350000000,24124000000,26140000000,25479000000,30317000000,31248000000,24474000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,28452000000,26221000000,25504000000,28176000000,29840000000,27406000000,31319000000,29580000000,39152000000,38693000000,39638000000,37498000000,34637000000,47651000000,53624000000,50265000000,49718000000,54074000000,56604000000,63140000000,65918000000,61802000000,62803000000,70268000000,68225000000,93500000000,95376000000,79386000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5259000000,4931000000,3436000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,57678000000,57869000000,59504000000,61683000000,66667000000,66984000000,67725000000,64699000000,73702000000,76593000000,79436000000,72650000000,74728000000,91961000000,96059000000,86267000000,90280000000,96197000000,100229000000,103294000000,105518000000,96071000000,99078000000,107631000000,106452000000,131201000000,135245000000,113005000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,7342000000,7488000000,7752000000,8601000000,10121000000,11762000000,12400000000,14248000000,14858000000,16269000000,18355000000,28926000000,31271000000,35188000000,39129000000,41810000000,45418000000,48129000000,50110000000,51594000000,52666000000,53262000000,53935000000,54566000000,55151000000,55895000000,56556000000,57319000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,12352000000,11630000000,11189000000,11010000000,10141000000,16878000000,23784000000,30142000000,31555000000,37525000000,44525000000,44734000000,52432000000,60640000000,70353000000,80900000000,92532000000,104857000000,117641000000,130042000000,137793000000,146124000000,152759000000,153126000000,159206000000,162954000000,162717000000,154209000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28156000000,-27402000000,-24486000000,-23786000000,-25239000000,-22026000000,-21741000000,-21871000000,-3418000000,-1896000000,-2061000000,-2016000000,-8901000000,-3414000000,-21845000000,-18830000000,-18743000000,-21885000000,-25759000000,-21602000000,-27875000000,-29607000000,-29398000000,-26592000000,-29490000000,-28597000000,-29337000000,-23234000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,31875000000,30707000000,27173000000,23991000000,24410000000,13897000000,6181000000,1095000000,-20213000000,-24034000000,-31072000000,-38546000000,-46296000000,-63944000000,-74172000000,-81243000000,-96161000000,-110963000000,-123132000000,-137242000000,- -,-155517000000,-159050000000,-163506000000,-168071000000,-169411000000,-169339000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,23413000000,22423000000,21628000000,19816000000,19433000000,20511000000,20624000000,23614000000,22782000000,27864000000,29747000000,33098000000,28506000000,28470000000,13465000000,22637000000,23046000000,20138000000,18860000000,22792000000,11868000000,14262000000,18246000000,17594000000,16796000000,20841000000,20597000000,18901000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,81091000000,80292000000,81132000000,81499000000,86100000000,87495000000,88349000000,88313000000,96484000000,104457000000,109183000000,105748000000,103234000000,120431000000,109524000000,108904000000,113326000000,116335000000,119089000000,126086000000,117386000000,110333000000,117324000000,125225000000,123248000000,152042000000,155842000000,131906000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118000000,126000000,98000000,124000000,137000000,146000000,158000000,146000000,130000000,134000000,144000000,128000000,95000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,81091000000,80292000000,81132000000,81499000000,86100000000,87495000000,88349000000,88313000000,96484000000,104457000000,109183000000,105748000000,103234000000,120431000000,109524000000,109022000000,113452000000,116433000000,119213000000,126223000000,117532000000,110491000000,117470000000,125355000000,123382000000,152186000000,155970000000,132001000000
