,https://roic.ai/company/XOM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.81,0.93,0.86,0.99,0.69,0.99,1.11,0.94,1.05,1.02,1.29,1.50,1.71,1.30,1.14,2.55,2.23,1.69,3.24,3.91,5.76,6.68,7.36,8.78,3.99,6.24,8.43,9.70,7.37,7.60,3.85,1.88,4.63,4.88,3.36,-5.25,5.39
26,EPS Diluted,0.81,0.93,0.86,0.99,0.69,0.99,1.11,0.94,1.04,1.02,1.29,1.50,1.69,1.29,1.13,2.52,2.21,1.68,3.23,3.89,5.71,6.62,7.28,8.69,3.98,6.22,8.42,9.70,7.37,7.60,3.85,1.88,4.63,4.88,3.36,-5.25,5.39
27,Weighted Average Shares Outstanding,6012345679,5763440860,5627906977,5313131313,5124087591,4989696970,4963677130,4983280423,4957238095,4970909091,4966795367,4972093023,4961876833,4873563218,6907017544,6949019608,6869955157,6781065089,6638888889,6478260870,6272569444,5913173653,5517663043,5149000000,4832000000,4885000000,4870699881,4628000000,4420624152,4278947368,4194805195,4170212766,4256000000,4237000000,4234000000,4274285714,4274285714
28,Weighted Average Shares Outstanding Diluted,6012345679,5763440860,5627906977,5313131313,5124087591,4989696970,4963677130,4983280423,4980956938,5039370079,4989583333,5040201005,5020771513,4930232558,6999111111,7031746032,6932126697,6821428571,6659442724,6511568123,6327495622,5966767372,5578296703,5203682394,4844221106,4897000000,4875000000,4628000000,4420624152,4278947368,4194805195,4170212766,4256000000,4237000000,4270000000,4274285714,4274285714
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34088/000095010995000647/0000950109-95-000647-index.html,https://www.sec.gov/Archives/edgar/data/34088/000093066196000138/0000930661-96-000138-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34088/000093066101000781/0000930661-01-000781-index.html,https://www.sec.gov/Archives/edgar/data/34088/000093066102000889/0000930661-02-000889-index.html,- -,https://www.sec.gov/Archives/edgar/data/34088/000119312504041877/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312505038144/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312506040951/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312507042435/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312508041781/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312509040966/0001193125-09-040966-index.html,https://www.sec.gov/Archives/edgar/data/34088/000119312510042929/0001193125-10-042929-index.html,https://www.sec.gov/Archives/edgar/data/34088/000119312511047394/d10k.htm,https://www.sec.gov/Archives/edgar/data/34088/000119312512078102/0001193125-12-078102-index.html,- -,https://www.sec.gov/Archives/edgar/data/34088/000003408814000012/xom10k2013.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408815000013/xom10k2014.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408816000065/0000034088-16-000065-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408817000017/0000034088-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408818000015/0000034088-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408819000010/0000034088-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408820000016/0000034088-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408821000012/0000034088-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408822000011/0000034088-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,1157000000,1508000000,2951000000,4047000000,1441000000,1688000000,7080000000,6547000000,7229000000,10626000000,18531000000,28671000000,28244000000,33981000000,31437000000,10693000000,7825000000,12664000000,9582000000,4644000000,4616000000,3705000000,3657000000,3177000000,3042000000,3089000000,4364000000,6802000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,73000000,1000000,- -,- -,- -,- -,- -,- -,519000000,570000000,169000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,43515000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1157000000,1508000000,2951000000,4047000000,1461000000,1761000000,7081000000,6547000000,7229000000,10626000000,18531000000,28671000000,28244000000,34500000000,32007000000,10862000000,7827000000,12664000000,9582000000,4644000000,4616000000,3705000000,3657000000,3177000000,3042000000,3089000000,47879000000,6802000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,8073000000,8925000000,10499000000,10702000000,9512000000,19155000000,22996000000,19549000000,21163000000,24309000000,25359000000,27484000000,28942000000,36450000000,24702000000,27645000000,32284000000,38642000000,34987000000,33152000000,28009000000,19875000000,21394000000,25597000000,24701000000,26966000000,20581000000,32383000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,5541000000,5681000000,5285000000,5487000000,5605000000,8492000000,8304000000,7904000000,8068000000,8957000000,9487000000,9321000000,10714000000,11089000000,11646000000,11553000000,12976000000,15024000000,14542000000,16135000000,16678000000,16245000000,15080000000,16992000000,18958000000,18528000000,18850000000,18780000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1689000000,1204000000,1175000000,956000000,1015000000,1733000000,2018000000,1681000000,1831000000,2068000000,7000000000,7866000000,7877000000,3924000000,3911000000,5175000000,5897000000,6633000000,5349000000,5377000000,3607000000,2798000000,1285000000,1368000000,1272000000,1469000000,-42417000000,1189000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,16460000000,17318000000,19910000000,21192000000,17593000000,31141000000,40399000000,35681000000,38291000000,45960000000,60377000000,73342000000,75777000000,85963000000,72266000000,55235000000,58984000000,72963000000,64460000000,59308000000,52910000000,42623000000,41416000000,47134000000,47973000000,50052000000,44893000000,59154000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,63425000000,65446000000,66607000000,66414000000,65199000000,94043000000,89829000000,89602000000,94940000000,104965000000,108639000000,107010000000,113687000000,120869000000,121346000000,139116000000,199548000000,214664000000,226949000000,243650000000,252668000000,251605000000,244224000000,252630000000,247101000000,253018000000,227553000000,216552000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16789000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7307000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16789000000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31665000000,35338000000,34333000000,34718000000,36328000000,35239000000,34245000000,35102000000,39160000000,40790000000,43164000000,43515000000,45195000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
